Symbol,% Chg(Open),Last Trade,Change,High  ,Low   ,Volume   ,Prev Close,Open  ,% Change,Market Cap,Sector                ,Exchange,P/E (ttm), 
FAST  ,-2.78      ,49.99     ,-1.45 ,51.84 ,49.96 ,1845686  ,51.44     ,51.42 ,-2.82   ,14.88B    ,Industrials           ,NGM/NGS ,29.76    , 
TSO   ,-2.75      ,80.94     ,-2.82 ,83.23 ,80.39 ,2281917  ,83.76     ,83.23 ,-3.37   ,9.80B     ,Energy                ,NYSE    ,13.68    , 
PPG   ,-2.68      ,103.16    ,-3.68 ,107.32,101.42,5069326  ,106.83    ,106.00,-3.44   ,27.47B    ,Materials             ,NYSE    ,32.56    , 
AAL   ,-2.67      ,43.31     ,-1.58 ,44.93 ,43.25 ,7819891  ,44.89     ,44.50 ,-3.52   ,22.63B    ,Industrials           ,NASDAQ  ,9.33     , 
SPG   ,-2.61      ,170.11    ,-4.58 ,174.77,169.50,2920625  ,174.69    ,174.66,-2.62   ,55.87B    ,Real Estate           ,NYSE    ,29.76    , 
GGP   ,-2.58      ,23.02     ,-0.56 ,23.70 ,22.86 ,6122257  ,23.58     ,23.63 ,-2.37   ,20.87B    ,Real Estate           ,NYSE    ,17.60    , 
FLR   ,-2.50      ,53.00     ,-1.63 ,54.52 ,52.91 ,1257492  ,54.63     ,54.36 ,-2.98   ,7.61B     ,Industrials           ,NYSE    ,27.32    , 
KIM   ,-2.50      ,21.67     ,-0.58 ,22.39 ,21.59 ,4110630  ,22.24     ,22.22 ,-2.59   ,9.47B     ,Real Estate           ,NYSE    ,28.15    , 
THO   ,-2.38      ,99.08     ,-2.37 ,101.76,98.23 ,1270427  ,101.45    ,101.50,-2.34   ,5.33B     ,Consumer Discretionary,NYSE    ,17.53    , 
IRM   ,-2.21      ,34.00     ,-0.76 ,34.86 ,33.94 ,1168874  ,34.76     ,34.77 ,-2.19   ,9.17B     ,Real Estate           ,NYSE    ,82.07    , 
REG   ,-2.21      ,63.18     ,-1.60 ,65.04 ,62.92 ,1243054  ,64.78     ,64.61 ,-2.47   ,11.02B    ,Real Estate           ,NYSE    ,45.62    , 
STX   ,-2.12      ,46.54     ,-1.57 ,47.80 ,45.58 ,5444363  ,48.11     ,47.55 ,-3.26   ,14.20B    ,Information Technology,NASDAQ  ,28.06    , 
URI   ,-2.03      ,121.48    ,-2.82 ,125.22,120.59,2452885  ,124.30    ,124.00,-2.27   ,10.48B    ,Industrials           ,NYSE    ,19.27    , 
HUN   ,-2.01      ,21.71     ,-0.44 ,22.18 ,21.61 ,1494619  ,22.14     ,22.15 ,-1.96   ,5.28B     ,Materials             ,NYSE    ,16.24    , 
SCCO  ,-1.98      ,35.23     ,-0.83 ,36.11 ,35.09 ,1164536  ,36.06     ,35.94 ,-2.30   ,27.87B    ,Materials             ,NYSE    ,35.93    , 
YNDX  ,-1.97      ,22.77     ,-0.66 ,23.23 ,22.64 ,2322619  ,23.43     ,23.23 ,-2.81   ,6.48B     ,Information Technology,NASDAQ  ,75.58    , 
BX    ,-1.96      ,28.51     ,-0.59 ,29.27 ,28.45 ,4870244  ,29.10     ,29.08 ,-2.03   ,17.10B    ,Financials            ,NYSE    ,18.62    , 
SXL   ,-1.89      ,24.34     ,-0.60 ,24.83 ,24.04 ,1793752  ,24.94     ,24.81 ,-2.41   ,8.04B     ,Energy                ,NYSE    ,25.48    , 
HCP   ,-1.88      ,29.78     ,-0.58 ,30.47 ,29.59 ,1612403  ,30.36     ,30.35 ,-1.91   ,14.21B    ,Real Estate           ,NYSE    ,22.68    , 
BRX   ,-1.86      ,20.88     ,-0.32 ,21.48 ,20.76 ,2916578  ,21.20     ,21.27 ,-1.53   ,6.45B     ,Real Estate           ,NYSE    ,23.27    , 
