Symbol,% Chg(Open),Last Trade,Volume   ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Exchange, 
AMPH  ,-13.11     ,12.13     ,1423854  ,32.20    ,678.39M   ,118            ,+3.86                     ,19.90     ,14.80     ,-0.73,-97.88      ,4.19                   ,-30.78            ,22.21                  ,15.40                  ,NSC     , 
YY    ,-8.22      ,47.10     ,4443127  ,14.46    ,1.82B     ,215            ,+3.77                     ,57.36     ,46.02     ,0.90 ,-58.76      ,22.36                  ,-18.43            ,22.53                  ,46.12                  ,NASDAQ  , 
MUX   ,-7.10      ,3.01      ,4847118  ,46.86    ,987.02M   ,44             ,+8.43                     ,36.32     ,3.30      ,-0.23,-86.80      ,16.44                  ,-30.33            ,36.02                  ,3.52                   ,NYSE    , 
HL    ,-4.41      ,4.665     ,6893603  ,27.44    ,1.94B     ,42             ,+2.40                     ,22.38     ,5.24      ,-0.41,-97.16      ,17.19                  ,-39.14            ,42.75                  ,5.61                   ,NYSE    , 
IIVI  ,-4.21      ,33.00     ,1275356  ,31.70    ,2.16B     ,37             ,-0.70                     ,23.17     ,35.66     ,-0.40,-93.75      ,21.62                  ,-27.10            ,23.11                  ,36.76                  ,NGM/NGS , 
DSW   ,-4.19      ,20.00     ,6079007  ,15.56    ,1.43B     ,61             ,-2.39                     ,38.07     ,20.67     ,-0.32,-91.33      ,4.17                   ,-16.79            ,18.89                  ,21.02                  ,NYSE    , 
AAOI  ,-4.19      ,48.45     ,921818   ,29.01    ,953.70M   ,114            ,-0.14                     ,57.00     ,47.81     ,4.93 ,-38.77      ,20.86                  ,21.21             ,66.70                  ,45.40                  ,NASDAQ  , 
UAL   ,-4.05      ,66.57     ,6731511  ,10.20    ,21.98B    ,237            ,-1.56                     ,25.01     ,72.37     ,-0.90,-99.51      ,1.72                   ,-28.23            ,13.04                  ,73.79                  ,NYSE    , 
WTW   ,-3.93      ,15.91     ,1036975  ,16.15    ,1.06B     ,60             ,-1.35                     ,53.71     ,15.97     ,1.21 ,-50.58      ,23.53                  ,12.12             ,50.04                  ,15.08                  ,NYSE    , 
CDE   ,-3.90      ,7.39      ,2187390  ,22.74    ,1.40B     ,58             ,+3.04                     ,28.07     ,8.10      ,-0.74,-95.34      ,20.93                  ,-13.04            ,43.35                  ,8.34                   ,NYSE    , 
SSRI  ,-3.62      ,10.11     ,1839827  ,16.98    ,1.26B     ,69             ,+4.92                     ,43.62     ,10.41     ,-0.19,-83.04      ,16.42                  ,-18.47            ,18.19                  ,10.72                  ,NCM     , 
ELP   ,-3.48      ,10.53     ,276946   ,7.64     ,2.57B     ,54             ,+3.16                     ,46.28     ,10.76     ,0.13 ,-77.59      ,25.45                  ,-8.72             ,17.80                  ,10.85                  ,NYSE    , 
TRQ   ,-3.47      ,3.06      ,2196609  ,22.12    ,6.38B     ,11             ,+1.60                     ,31.50     ,3.24      ,-0.10,-98.18      ,8.33                   ,-12.29            ,23.48                  ,3.33                   ,NYSE    , 
MYGN  ,-3.43      ,19.22     ,824076   ,22.23    ,1.34B     ,47             ,+1.96                     ,59.64     ,18.96     ,0.63 ,-50.37      ,4.95                   ,24.14             ,41.78                  ,18.87                  ,NGM/NGS , 
CIG   ,-3.37      ,3.44      ,3682818  ,17.41    ,4.61B     ,28             ,+3.63                     ,53.20     ,3.42      ,0.16 ,-55.10      ,32.40                  ,15.96             ,36.58                  ,3.41                   ,NYSE    , 
FNSR  ,-3.03      ,25.76     ,6515044  ,22.77    ,2.98B     ,118            ,-10.07                    ,21.80     ,31.60     ,-0.86,-98.50      ,9.80                   ,-47.65            ,18.49                  ,33.29                  ,NCM     , 
