Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Exchange, 
MSCI  ,-8.52      ,99.27     ,6632898   ,35.68    ,8.72B     ,173            ,+0.30                     ,77.82     ,95.26     ,1.98 ,-64.31      ,20.41                  ,-19.85            ,41.14                  ,95.22                  ,NYSE    , 
RAD   ,-2.61      ,4.86      ,30128132  ,61.27    ,5.13B     ,43             ,+1.67                     ,30.09     ,5.19      ,-0.42,-82.52      ,51.72                  ,-35.42            ,42.06                  ,5.47                   ,NYSE    , 
BCO   ,-2.50      ,52.55     ,353110    ,78.09    ,2.68B     ,51             ,+1.44                     ,54.81     ,52.36     ,1.34 ,-52.72      ,27.50                  ,-13.81            ,33.02                  ,52.62                  ,NYSE    , 
AF    ,-2.31      ,20.74     ,1270852   ,34.11    ,2.14B     ,60             ,+0.12                     ,65.79     ,20.12     ,0.65 ,-28.13      ,11.59                  ,2.99              ,38.93                  ,19.56                  ,NYSE    , 
FITB  ,-2.29      ,26.46     ,3577870   ,13.86    ,20.08B    ,72             ,-0.79                     ,34.84     ,27.19     ,-0.01,-93.84      ,21.52                  ,-6.43             ,16.44                  ,27.45                  ,NGM/NGS , 
WBS   ,-2.30      ,53.45     ,445920    ,25.19    ,5.01B     ,69             ,+0.65                     ,39.44     ,54.65     ,0.05 ,-90.20      ,15.10                  ,-10.71            ,20.32                  ,55.27                  ,NYSE    , 
STL   ,-2.22      ,24.20     ,1313393   ,22.99    ,3.34B     ,26             ,-0.08                     ,43.32     ,24.64     ,0.11 ,-75.00      ,23.53                  ,-19.04            ,15.79                  ,24.84                  ,NYSE    , 
FNB   ,-2.13      ,15.39     ,3586783   ,20.13    ,5.07B     ,59             ,-0.44                     ,40.65     ,15.71     ,0.09 ,-94.44      ,11.46                  ,15.61             ,19.10                  ,15.75                  ,NYSE    , 
WIT   ,-2.05      ,9.805     ,947026    ,19.46    ,18.51B    ,14             ,+1.10                     ,51.02     ,9.82      ,0.10 ,-66.33      ,26.79                  ,26.23             ,20.84                  ,9.79                   ,NYSE    , 
FRC   ,-1.95      ,94.67     ,791198    ,24.47    ,14.84B    ,100            ,+0.29                     ,42.15     ,95.75     ,0.41 ,-75.41      ,17.47                  ,-3.26             ,18.62                  ,95.84                  ,NYSE    , 
SNV   ,-1.89      ,41.47     ,458422    ,22.26    ,5.15B     ,57             ,-0.11                     ,36.70     ,42.37     ,0.04 ,-94.58      ,9.43                   ,-6.20             ,13.76                  ,42.58                  ,NYSE    , 
FHN   ,-1.88      ,19.06     ,2052483   ,20.57    ,4.52B     ,59             ,+0.27                     ,33.25     ,19.66     ,-0.19,-94.89      ,18.27                  ,-21.70            ,16.92                  ,19.91                  ,NYSE    , 
WAL   ,-1.87      ,51.02     ,357923    ,20.69    ,5.45B     ,47             ,+0.71                     ,44.80     ,51.54     ,0.24 ,-81.03      ,12.70                  ,-2.93             ,13.00                  ,51.99                  ,NYSE    , 
RJF   ,-1.85      ,77.11     ,1206756   ,19.88    ,11.24B    ,54             ,-0.45                     ,38.49     ,78.62     ,0.51 ,-92.66      ,19.19                  ,-17.67            ,22.77                  ,79.03                  ,NYSE    , 
CFG   ,-1.71      ,36.76     ,4127488   ,18.88    ,18.94B    ,88             ,-0.39                     ,40.06     ,37.53     ,0.15 ,-90.88      ,11.22                  ,-7.04             ,13.92                  ,37.77                  ,NYSE    , 
DFS   ,-1.68      ,70.65     ,2328692   ,12.44    ,27.68B    ,88             ,+0.68                     ,45.21     ,71.15     ,0.27 ,-84.70      ,25.30                  ,1.28              ,12.80                  ,71.28                  ,NYSE    , 
STI   ,-1.67      ,57.88     ,4516531   ,16.29    ,28.82B    ,154            ,-0.11                     ,35.53     ,59.07     ,0.23 ,-91.61      ,21.91                  ,3.62              ,21.47                  ,59.54                  ,NYSE    , 
NCMI  ,-5.46      ,12.47     ,606205    ,30.19    ,799.28M   ,76             ,-0.08                     ,36.72     ,12.75     ,-0.28,-47.51      ,3.91                   ,16.99             ,25.64                  ,12.69                  ,NASDAQ  , 
CYOU  ,-3.24      ,29.00     ,307128    ,10.98    ,508.95M   ,30             ,-0.40                     ,56.80     ,28.65     ,1.27 ,-49.80      ,8.11                   ,-6.99             ,32.50                  ,28.05                  ,NASDAQ  , 
BLX   ,-2.59      ,26.71     ,342736    ,12.26    ,811.94M   ,51             ,-0.34                     ,30.04     ,27.71     ,-0.22,-95.41      ,11.24                  ,-41.38            ,15.02                  ,27.98                  ,NYSE    , 
INSY  ,-2.44      ,10.59     ,608529    ,34.58    ,776.55M   ,29             ,-0.38                     ,39.50     ,11.17     ,0.03 ,-98.00      ,13.39                  ,-34.89            ,20.79                  ,11.62                  ,NASDAQ  , 
VIRT  ,-1.93      ,16.53     ,333497    ,19.15    ,685.24M   ,12             ,+0.59                     ,29.84     ,17.23     ,-0.29,-95.22      ,7.14                   ,-17.77            ,35.42                  ,17.61                  ,NASDAQ  , 
OFG   ,-1.87      ,11.83     ,249432    ,11.69    ,529.18M   ,6              ,+0.12                     ,24.56     ,12.53     ,-0.33,-95.95      ,18.75                  ,-30.87            ,22.08                  ,12.87                  ,NYSE    , 
ARES  ,-1.84      ,18.65     ,353998    ,15.82    ,1.54B     ,24             ,+0.32                     ,29.77     ,19.72     ,-0.36,-92.00      ,53.33                  ,-14.92            ,25.03                  ,20.56                  ,NYSE    , 
CUBI  ,-1.67      ,32.30     ,528746    ,14.21    ,1.00B     ,54             ,-0.68                     ,23.54     ,33.78     ,-0.48,-93.75      ,27.50                  ,-32.00            ,18.98                  ,34.33                  ,NYSE    , 
ORLY  ,-1.67      ,271.16    ,1252010   ,25.67    ,25.24B    ,130            ,+1.26                     ,51.53     ,270.87    ,0.83 ,-45.11      ,30.62                  ,16.80             ,13.87                  ,270.05                 ,NGM/NGS , 
