Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                   ,Exchange,Description              ,Sub-Industry                              ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin   ,Sales per Employee,Change ,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap ,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
ARTX  ,-13.70     ,3.15      ,2240664   ,--       ,108.40M   ,29             ,+8.26                     ,30.03     ,3.78      ,-0.08,-95.24      ,8.33                   ,-30.42            ,12.39                  ,3.80                   ,Aerospace & Defense                        ,NASDAQ  ,AROTECH CORP             ,Aerospace & Defense                       ,--      ,4.10          ,3.15  ,22300   ,442380       ,398959      ,506.50                  ,561.63                 ,No        ,3.65  ,3.70  ,3.20  ,22.10                 ,306604        ,439420     ,730.80                   ,509.91                ,No                ,Industrials           ,--            ,4.09      ,3.10  ,20500   ,334794      ,315.76                    ,669.27                 ,1.73M          ,No                  ,NC ,--       ,B-                 ,100.00         ,--                    ,--              ,--                     ,--              ,2                 ,1.00              ,-2.94M    ,96.57M ,-2.94M  ,26.44M            ,-0.02   ,-0.12     ,0.15      ,0.19        ,0.12      ,-0.21     ,-0.82     ,--                          ,-3.05      ,184.65            ,-0.94  ,-0.85                  ,+7.76                      ,+0.5377                ,+0.64                   ,+44.49               ,+190.08              ,+41.82               ,+1.36     ,4.15         ,4.20     ,1.30                   ,3.50      ,2.25     ,91.67                   ,20.19                        ,-22.98  ,-0.44,-0.40                  ,-0.16                 ,+0.2341                ,+15.14                   ,+17.14               ,-32.74               ,0.00                 ,-0.63             ,1               ,4.15      ,5.00    ,3.90        ,3.50    ,-0.85                ,0.55           ,-0.50    ,-10.76,+0.312                  ,+0.2945                  ,+6.07                    ,+0.026                ,+48.44               ,+227.59              ,+38.79               ,-0.35             ,4.18       ,5.00      ,3.65     ,3.45   ,0.60         ,24.00            ,-0.05         ,-10.95            ,--                   ,--                       ,10.72           ,18.51        ,21.58                ,1.12     ,3.74      ,4.06      ,3.62       ,3.81      ,3.72       ,62.41                ,45.49     ,35.80                   ,4.76 ,4.19                ,-0.06                     ,-0.70          ,3.97      ,3.30       ,3.79      ,3.86      ,3.66       ,41.46     ,53.15                ,27.98         ,57.27,-0.06      ,-1.25          ,0.29                      ,3.80      ,3.72       ,3.85      ,53.32                ,20.15                   ,66.84   ,3.40                   ,-1.00          ,-0.06                     ,-1966.41  , 
TELL  ,-12.78     ,11.06     ,1050669   ,--       ,2.55B     ,96             ,+10.55                    ,38.96     ,13.11     ,-0.52,-88.63      ,3.35                   ,-27.83            ,26.05                  ,14.42                  ,Oil Gas & Consumable Fuels                 ,NASDAQ  ,TELLURIAN INC            ,Oil & Gas Refining & Marketing            ,--      ,12.81         ,11.02 ,100     ,2107284      ,356633      ,49.86                   ,294.61                 ,No        ,12.68 ,12.79 ,11.05 ,--                    ,1269344       ,684853     ,82.77                    ,153.42                ,No                ,Energy                ,--            ,12.81     ,11.00 ,200     ,1192764     ,72.81                     ,88.09                  ,24.02M         ,No                  ,NC ,--       ,C                  ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,100.00K   ,1.69M  ,100.00K ,199.38M           ,-0.64   ,--        ,--        ,--          ,--        ,--        ,--        ,--                          ,6.23       ,--                ,-1.75  ,-6.94                  ,-11.18                     ,+4.12                  ,-3.21                   ,0.00                 ,0.00                 ,0.00                 ,0.00      ,13.07        ,21.74    ,8.95                   ,9.69      ,0.80     ,96.65                   ,31.21                        ,-13.66  ,-0.13,-0.44                  ,+0.12                 ,-1.42                  ,+47.46                   ,0.00                 ,0.00                 ,0.00                 ,0.00              ,2               ,13.07     ,21.74   ,11.83       ,9.69    ,-10.20               ,1.73           ,-1.62    ,-1.01 ,+1.22                   ,-1.61                    ,-9.96                    ,-0.43                 ,0.00                 ,0.00                 ,0.00                 ,0.00              ,21.74      ,21.74     ,9.69     ,9.69   ,1.79         ,--               ,-0.06         ,-0.85             ,--                   ,--                       ,--              ,--           ,--                   ,1514.89  ,12.56     ,13.24     ,9.06       ,13.33     ,10.59      ,46.12                ,50.65     ,26.91                   ,11.37,20.60               ,1.30                      ,4.37           ,12.63     ,6.66       ,14.51     ,12.62     ,9.91       ,47.61     ,53.42                ,1.20          ,19.47,0.08       ,-2.09          ,6.36                      ,14.42     ,9.75       ,12.20     ,51.12                ,27.56                   ,18.32   ,8.25                   ,-1.43          ,-3.12                     ,-6172.17  , 
PTCT  ,-11.60     ,8.9197    ,3588356   ,--       ,374.07M   ,123            ,+5.60                     ,28.35     ,10.94     ,-0.85,-99.64      ,1.64                   ,-27.47            ,19.65                  ,11.71                  ,Biotechnology                              ,NASDAQ  ,PTC THERAPEUTICS INC     ,Biotechnology                             ,--      ,10.90         ,8.91  ,2000    ,1191178      ,1582010     ,301.24                  ,226.82                 ,No        ,10.09 ,10.10 ,8.92  ,84.44                 ,1613677       ,1107262    ,222.37                   ,324.07                ,No                ,Health Care           ,--            ,10.90     ,8.90  ,100     ,1501083     ,252.34                    ,239.05                 ,12.64M         ,No                  ,C  ,--       ,--                 ,12.50          ,12.50                 ,75.00           ,--                     ,--              ,8                 ,2.63              ,-170.45M  ,36.77M ,-170.45M,34.32M            ,-4.89   ,-5.07     ,-2.97     ,-4.25       ,-5.18     ,--        ,--        ,--                          ,-463.60    ,116.72            ,-1.9803,-4.9803                ,-6.88                      ,-0.4367                ,-15.43                  ,-85.27               ,0.00                 ,+67.03               ,+1.33     ,11.01        ,14.43    ,6.40                   ,9.63      ,4.03     ,98.36                   ,24.29                        ,-18.17  ,-0.81,-2.1403                ,-0.14                 ,-1.0723                ,-3.85                    ,-0.09                ,-65.73               ,+22.35               ,-81.24            ,1               ,11.01     ,16.50   ,10.21       ,9.63    ,-4.87                ,1.1803         ,-1.1703  ,-7.43 ,+0.5781                 ,-0.8055                  ,-8.96                    ,-1.988                ,+84.72               ,0.00                 ,+66.02               ,-48.59            ,14.43      ,16.50     ,10.11    ,9.63   ,1.20         ,7.00             ,-0.0197       ,-0.09             ,--                   ,--                       ,1.64            ,41.86        ,--                   ,10.17    ,10.22     ,12.84     ,11.56      ,11.27     ,11.71      ,42.80                ,43.89     ,30.84                   ,0.36 ,15.04               ,-1.94                     ,-3.51          ,12.65     ,9.97       ,11.09     ,11.98     ,11.65      ,39.13     ,47.95                ,37.30         ,14.22,-0.68      ,-5.50          ,-1.25                     ,11.71     ,11.50      ,11.98     ,45.29                ,14.08                   ,18.77   ,8.37                   ,-3.84          ,-3.81                     ,-7940.53  , 
PFSW  ,-10.71     ,6.92      ,253276    ,--       ,143.48M   ,28             ,+3.15                     ,40.03     ,7.33      ,-0.11,-70.00      ,33.60                  ,3.10              ,19.12                  ,7.30                   ,IT Services                                ,NSC     ,PFSWEB INC               ,IT Consulting & Other Services            ,--      ,7.67          ,6.89  ,200     ,76808        ,70661       ,329.75                  ,358.44                 ,No        ,7.75  ,7.75  ,6.93  ,58.21                 ,63607         ,52673      ,398.19                   ,480.85                ,No                ,Information Technology,--            ,7.67      ,6.50  ,100     ,61574       ,591.34                    ,411.34                 ,571.00K        ,No                  ,C  ,--       ,C                  ,100.00         ,--                    ,--              ,--                     ,--              ,7                 ,1.00              ,-7.86M    ,240.83M,-7.86M  ,18.71M            ,-0.25   ,-0.45     ,-0.28     ,0.16        ,-0.39     ,-0.12     ,-0.36     ,20.00                       ,-3.26      ,114.68            ,-0.75  ,-0.24                  ,+5.13                      ,-0.5379                ,-1.05                   ,-29.92               ,+183.70              ,-43.81               ,+1.15     ,7.74         ,8.03     ,8.12                   ,6.85      ,6.71     ,66.40                   ,4.88                         ,-9.78   ,+0.08,-1.77                  ,-0.02                 ,+0.2809                ,-6.55                    ,-9.76                ,-18.42               ,-11.82               ,-10.46            ,0               ,7.90      ,8.69    ,7.27        ,6.85    ,0.21                 ,0.83           ,-0.83    ,+1.04 ,+0.234                  ,+0.374                   ,+3.80                    ,-0.0816               ,-40.71               ,+124.63              ,-27.36               ,-2.62             ,7.90       ,15.87     ,6.93     ,6.85   ,1.25         ,7.00             ,-0.42         ,-1.32             ,--                   ,--                       ,--              ,73.67        ,47.35                ,0.60     ,7.30      ,7.72      ,8.06       ,7.37      ,8.08       ,57.50                ,43.23     ,21.89                   ,30.00,7.71                ,-0.18                     ,-2.17          ,7.88      ,8.90       ,7.26      ,7.65      ,8.27       ,42.33     ,47.32                ,13.96         ,51.90,-0.14      ,-1.40          ,-1.14                     ,7.30      ,7.91       ,7.73      ,49.12                ,16.53                   ,61.79   ,6.88                   ,-0.87          ,-0.68                     ,39.19     , 
AVID  ,-10.40     ,4.48      ,2376836   ,5.51     ,217.34M   ,39             ,+6.15                     ,23.76     ,5.22      ,-0.13,-85.18      ,34.30                  ,-21.72            ,29.94                  ,5.45                   ,Technology Hardware Storage & Peripherals  ,NGM/NGS ,AVID TECHNOLOGY INC      ,Technology Hardware Storage & Peripherals ,--      ,5.35          ,4.48  ,1800    ,322708       ,547283      ,736.53                  ,434.30                 ,No        ,5.00  ,5.00  ,4.49  ,58.96                 ,343834        ,433905     ,691.27                   ,547.78                ,No                ,Information Technology,--            ,5.35      ,4.2085,900     ,349169      ,438.98                    ,680.71                 ,1.67M          ,No                  ,C  ,--       ,C                  ,33.33          ,--                    ,66.67           ,--                     ,--              ,3                 ,2.33              ,2.48M     ,505.60M,2.48M   ,40.63M            ,0.97    ,0.06      ,0.38      ,1.68        ,0.54      ,2.39      ,5.88      ,30.00                       ,0.49       ,332.19            ,-0.87  ,-1.23                  ,-1.85                      ,-0.4473                ,+1.22                   ,-65.77               ,-53.56               ,-5.55                ,+1.89     ,5.38         ,6.07     ,4.78                   ,4.95      ,3.99     ,65.70                   ,18.35                        ,-16.26  ,-0.35,+0.08                  ,-0.11                 ,-0.1741                ,-7.72                    ,+21.59               ,-26.23               ,+33.49               ,-12.86            ,0               ,5.38      ,6.07    ,5.16        ,4.95    ,-0.2185              ,0.52           ,-0.52    ,-6.54 ,+0.31                   ,-0.101                   ,-3.15                    ,+0.0644               ,-26.45               ,-25.69               ,-37.49               ,+14.65            ,6.07       ,9.78      ,4.95     ,4.34   ,0.7915       ,84.00            ,-0.2715       ,0.23              ,--                   ,89.17                    ,--              ,-29.11       ,3.18                 ,0.43     ,5.10      ,5.28      ,5.56       ,5.27      ,5.50       ,49.84                ,41.74     ,39.10                   ,14.82,6.25                ,-0.35                     ,0.16           ,5.15      ,6.22       ,5.30      ,5.31      ,5.60       ,38.18     ,48.49                ,46.05         ,23.29,-0.04      ,-0.55          ,1.05                      ,5.45      ,5.16       ,5.33      ,49.97                ,14.44                   ,20.88   ,4.66                   ,-1.23          ,0.34                      ,-1477.83  , 
NK    ,-7.67      ,3.49      ,374433    ,--       ,313.85M   ,23             ,+1.17                     ,24.85     ,4.17      ,-0.45,-100.00     ,--                     ,-37.40            ,40.92                  ,4.43                   ,Biotechnology                              ,NASDAQ  ,NANTKWEST INC            ,Biotechnology                             ,--      ,3.81          ,3.49  ,1000    ,368418       ,256519      ,101.63                  ,145.97                 ,No        ,3.78  ,3.80  ,3.50  ,75.89                 ,285072        ,279955     ,131.35                   ,133.75                ,No                ,Health Care           ,--            ,3.81      ,3.49  ,500     ,279443      ,101.36                    ,133.99                 ,1.41M          ,No                  ,D  ,--       ,--                 ,33.33          ,16.67                 ,50.00           ,--                     ,--              ,6                 ,2.17              ,-236.88M  ,240.00K,-236.88M,82.38M            ,-1.50   ,-2.91     ,-0.75     ,-0.59       ,-2.57     ,--        ,--        ,-47.93                      ,-100371.19 ,7.61              ,-0.32  ,-1.37                  ,-13.93                     ,-2.5718                ,-27.88                  ,0.00                 ,0.00                 ,-37.93               ,0.00      ,3.91         ,5.61     ,6.46                   ,3.52      ,3.86     ,100.00                  ,20.97                        ,-8.40   ,-0.03,-2.25                  ,-0.13                 ,-0.7977                ,-40.30                   ,-33.39               ,0.00                 ,-27.68               ,-36.62            ,2               ,4.19      ,6.74    ,3.56        ,3.52    ,0.37                 ,0.31           ,-0.29    ,-0.79 ,+0.044                  ,-0.6165                  ,-17.31                   ,-1.473                ,-51.95               ,0.00                 ,-41.53               ,-35.12            ,5.61       ,10.26     ,3.52     ,3.52   ,0.31         ,1.00             ,0.00          ,-0.11             ,--                   ,--                       ,0.89            ,0.69         ,--                   ,1329.87  ,3.97      ,5.23      ,6.12       ,4.33      ,5.71       ,30.24                ,37.28     ,32.77                   ,--   ,5.47                ,-1.67                     ,-2.79          ,5.36      ,6.57       ,4.22      ,5.03      ,--         ,32.34     ,38.68                ,61.59         ,7.43 ,-0.39      ,-2.71          ,-2.57                     ,4.43      ,5.89       ,5.19      ,34.57                ,7.79                    ,7.80    ,3.38                   ,-1.97          ,-2.39                     ,-1677.00  , 
ARLZ  ,-7.37      ,2.1769    ,1004560   ,--       ,155.74M   ,26             ,-6.15                     ,18.71     ,3.20      ,-0.51,-93.69      ,20.91                  ,-29.92            ,37.44                  ,3.66                   ,Pharmaceuticals                            ,NASDAQ  ,ARALEZ PHARMACEUTICALS IN,Pharmaceuticals                           ,--      ,2.37          ,2.17  ,1900    ,3373836      ,910530      ,29.78                   ,110.33                 ,No        ,2.35  ,2.43  ,2.18  ,32.43                 ,1327164       ,804707     ,75.69                    ,124.84                ,No                ,Health Care           ,--            ,2.37      ,2.11  ,3700    ,1235953     ,24.30                     ,81.28                  ,8.27M          ,No                  ,NC ,--       ,C                  ,50.00          ,50.00                 ,--              ,--                     ,--              ,2                 ,1.50              ,-102.98M  ,54.27M ,-102.98M,65.68M            ,-1.67   ,-1.67     ,-1.16     ,--          ,0.60      ,-0.55     ,-0.84     ,30.00                       ,-189.75    ,--                ,-0.1931,-1.8731                ,-35.19                     ,-2.235                 ,-42.41                  ,-50.97               ,+12.41               ,+1.00                ,+0.99     ,2.63         ,4.65     ,4.37                   ,2.04      ,3.10     ,79.09                   ,56.15                        ,-8.15   ,-0.02,-2.2431                ,-0.39                 ,-1.4777                ,-48.53                   ,-46.26               ,-56.42               ,-20.47               ,-153.39           ,4               ,3.69      ,4.79    ,2.11        ,2.04    ,0.99                 ,0.2531         ,-0.1731  ,-0.84 ,-0.1554                 ,-1.2868                  ,-38.41                   ,-1.7456               ,-40.27               ,-11.79               ,-18.71               ,-37.47            ,4.65       ,6.80      ,2.04     ,2.04   ,0.32         ,2.00             ,-0.0669       ,-0.06             ,--                   ,--                       ,--              ,229.68       ,--                   ,2.87     ,3.06      ,4.07      ,4.47       ,3.39      ,4.23       ,20.60                ,34.30     ,42.56                   ,6.31 ,5.20                ,-2.22                     ,-2.69          ,4.16      ,4.38       ,3.40      ,3.93      ,4.29       ,28.02     ,35.32                ,64.51         ,7.81 ,-0.32      ,-2.04          ,-2.56                     ,3.66      ,4.37       ,4.01      ,29.33                ,9.18                    ,8.57    ,2.12                   ,-2.45          ,-1.83                     ,-7459.05  , 
CERU  ,-7.21      ,3.0436    ,15217369  ,--       ,81.76M    ,42             ,+21.40                    ,84.76     ,1.92      ,0.38 ,-19.57      ,61.04                  ,30.59             ,63.78                  ,1.62                   ,Biotechnology                              ,NASDAQ  ,CERULEAN PHARMA INC      ,Biotechnology                             ,--      ,2.98          ,3.04  ,900     ,13909061     ,1492397     ,109.41                  ,1019.66                ,No        ,3.28  ,3.48  ,3.05  ,10.01                 ,4075393       ,3024501    ,373.40                   ,503.14                ,No                ,Health Care           ,--            ,2.98      ,2.36  ,500     ,4102090     ,48.21                     ,370.97                 ,37.02M         ,No                  ,NC ,--       ,--                 ,50.00          ,--                    ,50.00           ,--                     ,--              ,2                 ,2.00              ,-39.59M   ,--     ,-39.59M ,27.44M            ,-1.65   ,-1.56     ,-1.60     ,-1.39       ,-25.05    ,-36.39    ,-32.33    ,--                          ,--         ,--                ,+0.0636,+1.6836                ,+83.82                     ,+2.0104                ,+152.37                 ,-81.21               ,0.00                 ,-45.87               ,+2.69     ,3.47         ,3.47     ,0.85                   ,1.17      ,0.63     ,38.96                   ,-43.57                       ,+2.13   ,+0.30,+2.3236                ,+1.17                 ,+1.445                 ,+207.34                  ,+320.79              ,0.00                 ,+93.56               ,-119.76           ,26              ,3.47      ,3.47    ,2.33        ,1.17    ,-1.73                ,0.4364         ,-0.2364  ,+10.07,+0.5253                 ,+1.3588                  ,+94.14                   ,+1.7992               ,-29.95               ,0.00                 ,+28.43               ,-74.96            ,3.47       ,4.33      ,1.36     ,0.71   ,1.12         ,--               ,-0.6836       ,-0.08             ,--                   ,--                       ,1.68            ,26.00        ,--                   ,--       ,1.92      ,1.23      ,0.98       ,1.78      ,1.25       ,84.25                ,71.61     ,1.80                    ,80.43,2.74                ,1.54                      ,2.28           ,1.15      ,1.40       ,1.72      ,1.38      ,1.27       ,77.65     ,71.17                ,93.01         ,77.08,0.21       ,2.24           ,2.24                      ,1.62      ,1.00       ,1.32      ,77.20                ,49.69                   ,80.02   ,0.51                   ,1.63           ,2.16                      ,27672.27  , 
INO   ,-6.74      ,6.1085    ,1906925   ,--       ,508.80M   ,55             ,+4.19                     ,33.14     ,6.68      ,-0.06,-95.04      ,9.00                   ,-14.42            ,12.45                  ,6.79                   ,Biotechnology                              ,NASDAQ  ,INOVIO PHARMACEUTICALS IN,Biotechnology                             ,--      ,6.87          ,6.10  ,300     ,589919       ,955891      ,323.25                  ,199.49                 ,No        ,6.55  ,6.70  ,6.11  ,28.51                 ,713894        ,750529     ,267.12                   ,254.08                ,No                ,Health Care           ,--            ,6.87      ,6.05  ,600     ,746913      ,245.81                    ,255.31                 ,3.95M          ,No                  ,D  ,--       ,C                  ,40.00          ,40.00                 ,20.00           ,--                     ,--              ,5                 ,1.80              ,-29.10M   ,40.57M ,-29.10M ,74.06M            ,-0.90   ,-0.44     ,-0.64     ,-0.96       ,-1.43     ,-0.58     ,-0.48     ,--                          ,-71.94     ,258.42            ,-0.7615,-1.0415                ,+1.20                      ,-0.62                  ,+1.92                   ,-5.78                ,+165.08              ,-37.72               ,+2.99     ,6.88         ,7.23     ,4.99                   ,6.50      ,5.85     ,91.00                   ,10.78                        ,-11.08  ,-0.32,-0.8615                ,-0.08                 ,+0.0364                ,-8.28                    ,-1.01                ,-52.56               ,-0.42                ,-38.50            ,3               ,6.88      ,7.45    ,6.60        ,6.46    ,-0.20                ,0.5915         ,-0.4415  ,-4.66 ,+0.2763                 ,+0.0816                  ,+0.53                    ,+0.1292               ,-0.30                ,+209.26              ,-23.12               ,-30.78            ,7.23       ,11.69     ,6.50     ,5.85   ,0.65         ,19.00            ,-0.0585       ,-0.32             ,--                   ,--                       ,3.07            ,--           ,--                   ,12.54    ,6.67      ,6.72      ,7.29       ,6.70      ,7.14       ,54.68                ,43.94     ,29.57                   ,4.96 ,7.25                ,0.01                      ,-0.81          ,6.77      ,8.18       ,6.77      ,6.80      ,7.27       ,42.34     ,48.19                ,26.66         ,23.57,--         ,-0.63          ,-0.07                     ,6.79      ,6.93       ,6.86      ,49.87                ,17.12                   ,25.67   ,6.33                   ,-0.90          ,0.17                      ,-1570.45  , 
TGTX  ,-5.41      ,13.81     ,4138323   ,--       ,864.88M   ,44             ,+11.14                    ,79.60     ,10.32     ,2.26 ,-12.78      ,36.41                  ,9.67              ,56.92                  ,8.35                   ,Biotechnology                              ,NASDAQ  ,TG THERAPEUTICS INC      ,Biotechnology                             ,--      ,14.45         ,13.80 ,700     ,6599646      ,1051869     ,62.71                   ,393.43                 ,No        ,14.60 ,15.05 ,13.85 ,28.63                 ,4441845       ,1971644    ,93.17                    ,209.89                ,No                ,Health Care           ,--            ,14.45     ,13.10 ,1800    ,4072396     ,65.18                     ,101.62                 ,82.28M         ,No                  ,D  ,--       ,C                  ,83.33          ,16.67                 ,--              ,--                     ,--              ,6                 ,1.17              ,-78.25M   ,150.00K,-78.25M ,59.85M            ,-1.60   ,-1.60     ,-1.38     ,-1.38       ,-1.64     ,-0.81     ,-1.38     ,--                          ,-51353.45  ,--                ,-0.64  ,+8.11                  ,+73.05                     ,+8.31                  ,+139.96                 ,-28.88               ,+55.90               ,-24.20               ,+1.07     ,14.45        ,14.45    ,-3.45                  ,4.50      ,4.10     ,63.59                   ,-31.35                       ,-4.43   ,+0.15,+9.01                  ,+0.17                 ,+6.81                  ,+135.49                  ,+210.75              ,+72.73               ,-0.87                ,-98.85            ,11              ,14.45     ,14.45   ,13.15       ,4.50    ,-9.00                ,1.24           ,-0.79    ,+1.04 ,+1.45                   ,+6.10                    ,+89.12                   ,+8.43                 ,+36.69               ,+195.34              ,-10.24               ,0.00              ,14.45      ,11.60     ,10.25    ,4.09   ,1.95         ,100.00           ,-0.71         ,-0.39             ,--                   ,--                       ,14.14           ,--           ,--                   ,5675.75  ,11.34     ,6.21      ,6.09       ,9.47      ,6.52       ,86.65                ,70.87     ,2.10                    ,87.22,15.28               ,9.45                      ,8.81           ,5.96      ,6.25       ,9.48      ,7.25      ,6.49       ,75.88     ,73.52                ,91.17         ,93.06,1.57       ,9.26           ,9.45                      ,8.35      ,5.79       ,6.97      ,79.63                ,45.48                   ,93.10   ,1.42                   ,8.91           ,9.86                      ,8584.27   , 
