Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                           ,Exchange,Description              ,Sub-Industry                      ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
BGS   ,-5.43      ,39.15     ,2099690   ,24.31    ,2.80B     ,56             ,+1.74                     ,22.66     ,42.20     ,-1.08,-93.94      ,11.76                  ,-31.31            ,33.48                  ,43.28                  ,Food Products                                      ,NYSE    ,B&G FOODS INC            ,Packaged Foods & Meats            ,1.86    ,42.05         ,39.10 ,1400    ,440667       ,615017      ,476.48                  ,341.40                 ,No        ,41.40 ,41.40 ,39.15 ,88.16                 ,686350        ,548702     ,305.92                   ,382.66                ,No                ,Consumer Staples      ,4.40          ,42.05     ,38.85 ,500     ,665065      ,367.52                    ,315.71                 ,18.42M         ,Yes                 ,F  ,--       ,A-                 ,--             ,9.09                  ,90.91           ,--                     ,--              ,11                ,2.91              ,109.42M   ,1.39B  ,109.42M ,66.47M            ,1.73    ,1.73      ,1.22      ,2.20        ,0.76      ,0.98      ,1.20      ,7.00                        ,7.87    ,537.16            ,-2.90 ,-3.60                  ,-2.83                      ,-2.78                  ,-4.76                   ,+64.45               ,+127.47              ,+1.68                ,+0.02     ,42.20        ,47.75    ,11.44                  ,40.95     ,31.81    ,88.24                   ,7.25                         ,-6.90   ,-0.65,-4.60                  ,-0.06                 ,-1.86                  ,-6.20                    ,-4.00                ,+58.62               ,+0.36                ,+17.60            ,0               ,42.25     ,47.75   ,41.35       ,40.95   ,-7.04                ,2.25           ,-2.25    ,-1.55,+0.72                   ,-1.23                    ,-4.24                    ,-2.10                 ,+28.07               ,+62.43               ,-8.76                ,+3.92             ,47.75      ,52.84     ,41.00    ,40.95  ,2.55         ,15.00            ,-0.30         ,1.03              ,--                   ,24.31                    ,--              ,218.32       ,19.10                ,2.01     ,41.57     ,44.07     ,44.51      ,42.62     ,44.09      ,39.10                ,40.83     ,40.20                   ,6.06 ,48.04               ,-4.35                     ,-4.70          ,44.05     ,45.62      ,41.99     ,43.62     ,44.12      ,35.94     ,45.65                ,54.81         ,14.26,-0.80      ,-6.45          ,-1.35                     ,43.28     ,43.68      ,43.76     ,43.38                ,11.73                   ,14.47   ,38.51                  ,-7.70          ,-3.30                     ,-3405.22  , 
ERI   ,-5.18      ,18.78     ,268020    ,37.88    ,928.26M   ,26             ,+4.38                     ,63.45     ,18.04     ,0.78 ,-27.22      ,6.52                   ,34.38             ,33.62                  ,17.48                  ,Hotels Restaurants & Leisure                       ,NASDAQ  ,ELDORADO RESORTS INC     ,Casinos & Gaming                  ,--      ,19.70         ,18.75 ,600     ,838779       ,434121      ,31.95                   ,61.74                  ,No        ,19.80 ,19.85 ,18.80 ,41.17                 ,523804        ,398943     ,51.17                    ,67.18                 ,No                ,Consumer Discretionary,--            ,19.70     ,18.70 ,300     ,501401      ,13.17                     ,53.45                  ,15.90M         ,No                  ,NR ,--       ,C                  ,100.00         ,--                    ,--              ,--                     ,--              ,2                 ,1.00              ,24.80M    ,892.90M,24.80M  ,47.12M            ,0.52    ,0.52      ,2.43      ,0.95        ,-0.48     ,0.81      ,-0.04     ,5.00                        ,2.78    ,120.66            ,-0.92 ,+2.32                  ,+12.70                     ,+4.71                  ,+19.40                  ,+225.23              ,0.00                 ,+9.40                ,+1.03     ,19.80        ,19.80    ,-1.30                  ,15.90     ,10.42    ,93.48                   ,-4.89                        ,-4.70   ,+0.10,+1.68                  ,+0.06                 ,+2.44                  ,+31.44                   ,+16.22               ,0.00                 ,+18.55               ,+8.72             ,1               ,19.80     ,19.80   ,19.14       ,15.77   ,-8.28                ,1.08           ,-1.02    ,+0.51,+0.83                   ,+2.22                    ,+14.15                   ,+3.20                 ,+63.64               ,0.00                 ,+16.76               ,+1.89             ,19.80      ,18.55     ,17.45    ,14.90  ,1.15         ,79.00            ,-0.08         ,1.61              ,--                   ,37.88                    ,--              ,266.67       ,20.74                ,1.04     ,18.45     ,16.53     ,15.11      ,17.75     ,15.90      ,82.45                ,60.53     ,13.08                   ,72.78,19.69               ,3.70                      ,2.33           ,16.55     ,14.86      ,17.86     ,16.77     ,15.65      ,62.42     ,64.87                ,42.28         ,88.50,0.61       ,2.98           ,3.31                      ,17.48     ,15.36      ,16.56     ,69.44                ,32.23                   ,90.59   ,15.27                  ,2.18           ,4.25                      ,3027.65   , 
TAHO  ,-4.69      ,7.52      ,2156134   ,18.93    ,2.40B     ,54             ,+3.55                     ,38.69     ,7.89      ,-0.41,-75.88      ,8.70                   ,-9.81             ,24.58                  ,8.14                   ,Metals & Mining                                    ,NYSE    ,TAHOE RESOURCES INC      ,Gold                              ,0.24    ,7.70          ,7.51  ,2000    ,3814213      ,2482397     ,56.53                   ,86.86                  ,No        ,7.89  ,7.9399,7.52  ,68.36                 ,3074538       ,2868327    ,70.13                    ,75.17                 ,No                ,Materials             ,3.10          ,7.70      ,7.48  ,4000    ,2989443     ,59.34                     ,72.12                  ,28.58M         ,No                  ,D  ,--       ,--                 ,31.25          ,50.00                 ,18.75           ,--                     ,--              ,16                ,1.88              ,117.88M   ,784.50M,117.88M ,311.74M           ,0.41    ,0.41      ,-0.35     ,0.41        ,0.61      ,-0.45     ,-0.65     ,5.00                        ,15.03   ,278.19            ,-0.18 ,-0.72                  ,-5.39                      ,-2.602                 ,-12.89                  ,-33.93               ,-65.44               ,-27.89               ,+0.59     ,7.76         ,9.24     ,9.0701                 ,7.11      ,7.66     ,91.30                   ,5.20                         ,-2.34   ,+0.19,-1.98                  ,-0.05                 ,-0.5886                ,-25.26                   ,-17.90               ,-65.94               ,-11.02               ,+5.57             ,6               ,8.01      ,11.43   ,7.11        ,7.11    ,0.18                 ,0.4199         ,-0.37    ,+2.47,+0.264                  ,-0.439                   ,-7.10                    ,-1.1398               ,-26.74               ,-52.95               ,-34.29               ,+4.65             ,9.21       ,17.01     ,7.11     ,7.11   ,0.4599       ,4.00             ,-0.04         ,0.80              ,--                   ,18.93                    ,0.98            ,1.64         ,18.84                ,3.06     ,7.69      ,8.79      ,9.89       ,8.05      ,9.53       ,41.77                ,41.84     ,26.42                   ,24.12,9.22                ,-1.41                     ,-1.23          ,8.84      ,11.75      ,7.91      ,8.67      ,9.80       ,40.48     ,42.46                ,22.97         ,19.50,-0.36      ,-1.71          ,-1.04                     ,8.14      ,9.45       ,8.85      ,41.52                ,16.55                   ,13.31   ,7.06                   ,-1.38          ,-1.47                     ,-4635.74  , 
STLD  ,-4.63      ,35.45     ,2399841   ,22.85    ,8.64B     ,80             ,+2.37                     ,50.44     ,35.30     ,-0.32,-59.82      ,9.47                   ,-14.41            ,14.42                  ,35.81                  ,Metals & Mining                                    ,NGM/NGS ,STEEL DYNAMICS INC       ,Steel                             ,0.56    ,35.65         ,35.44 ,2700    ,2502998      ,3726258     ,95.88                   ,64.40                  ,No        ,37.17 ,37.17 ,35.45 ,89.23                 ,2934742       ,3828471    ,81.77                    ,62.68                 ,Yes               ,Materials             ,1.60          ,35.65     ,35.27 ,500     ,3003109     ,90.52                     ,79.91                  ,86.52M         ,No                  ,D  ,*****    ,B-                 ,40.00          ,26.67                 ,26.67           ,--                     ,6.67            ,15                ,2.07              ,360.01M   ,7.78B  ,360.01M ,242.35M           ,1.56    ,1.56      ,-0.54     ,2.49        ,0.67      ,0.83      ,0.73      ,7.50                        ,4.91    ,1010.67           ,-0.20 ,-1.91                  ,-0.46                      ,+3.53                  ,-0.53                   ,+108.87              ,+170.41              ,+50.52               ,+1.45     ,35.70        ,38.25    ,3.00                   ,33.65     ,20.02    ,90.53                   ,-0.09                        ,-0.56   ,+1.52,-0.49                  ,+0.04                 ,-0.44                  ,+10.99                   ,+0.20                ,+113.53              ,+3.55                ,+12.84            ,0               ,35.70     ,38.47   ,34.47       ,33.65   ,-15.25               ,1.72           ,-1.72    ,+4.26,+0.83                   ,-0.16                    ,-1.21                    ,-0.19                 ,+63.99               ,+135.63              ,+50.05               ,+5.70             ,38.24      ,40.17     ,33.65    ,32.81  ,1.90         ,16.00            ,-0.18         ,0.97              ,--                   ,22.85                    ,3.87            ,81.46        ,14.32                ,1.11     ,34.86     ,35.82     ,33.01      ,35.43     ,33.95      ,52.29                ,52.54     ,22.99                   ,40.18,38.25               ,-2.16                     ,-1.23          ,35.97     ,29.99      ,35.42     ,35.42     ,33.27      ,50.61     ,52.90                ,12.63         ,35.71,-0.25      ,-1.82          ,-1.71                     ,35.81     ,34.68      ,35.21     ,51.17                ,29.64                   ,24.64   ,33.38                  ,-2.08          ,0.04                      ,-6177.95  , 
SWK   ,-4.32      ,130.99    ,477171    ,20.13    ,20.00B    ,22             ,+0.57                     ,68.10     ,128.84    ,1.71 ,-56.72      ,8.30                   ,-0.47             ,38.66                  ,128.33                 ,Machinery                                          ,NYSE    ,STANLEY BLACK & DECKER IN,Industrial Machinery              ,2.32    ,131.07        ,130.96,300     ,887213       ,1006363     ,53.78                   ,47.42                  ,Yes       ,136.90,136.90,131.03,89.66                 ,738568        ,908591     ,64.61                    ,52.52                 ,No                ,Industrials           ,1.80          ,131.07    ,130.46,100     ,755442      ,51.74                     ,63.16                  ,115.26M        ,No                  ,B  ,****     ,B+                 ,27.78          ,5.56                  ,66.67           ,--                     ,--              ,18                ,2.39              ,964.90M   ,11.41B ,964.90M ,152.63M           ,6.51    ,6.51      ,5.79      ,7.04        ,4.77      ,3.09      ,5.30      ,10.73                       ,8.46    ,211.15            ,-0.08 ,+1.99                  ,+2.13                      ,+9.73                  ,+5.69                   ,+40.09               ,+86.49               ,+13.94               ,+1.12     ,131.25       ,131.25   ,-6.43                  ,125.33    ,97.47    ,91.70                   ,-1.67                        ,-0.06   ,+5.83,+15.35                 ,+0.03                 ,+3.13                  ,+8.01                    ,+14.80               ,+67.90               ,+7.67                ,+15.85            ,0               ,131.25    ,131.25  ,129.61      ,124.55  ,-32.99               ,5.91           ,-5.91    ,+4.45,+0.74                   ,+2.74                    ,+2.45                    ,+7.05                 ,+33.87               ,+78.44               ,+3.72                ,+6.27             ,131.25     ,130.47    ,127.45   ,114.86 ,6.45         ,74.00            ,-0.54         ,0.86              ,--                   ,20.13                    ,--              ,60.60        ,18.61                ,1.75     ,129.20    ,124.32    ,121.41     ,128.22    ,122.84     ,68.78                ,60.01     ,8.51                    ,43.28,131.06              ,5.28                      ,14.22          ,122.95    ,120.14     ,128.80    ,125.31    ,122.09     ,63.50     ,60.12                ,68.56         ,70.21,1.63       ,10.79          ,12.91                     ,128.33    ,121.38     ,124.67    ,63.71                ,45.62                   ,77.82   ,125.61                 ,4.28           ,12.77                     ,-50.65    , 
SSRI  ,-4.00      ,10.81     ,1532788   ,17.63    ,1.29B     ,58             ,+4.51                     ,53.92     ,10.51     ,-0.10,-51.54      ,42.31                  ,-3.95             ,17.88                  ,10.65                  ,Metals & Mining                                    ,NCM     ,SILVER STANDARD RES INC  ,Gold                              ,--      ,10.93         ,10.81 ,1200    ,2446793      ,2126422     ,62.64                   ,72.08                  ,No        ,11.26 ,11.26 ,10.82 ,56.94                 ,2593847       ,2263025    ,59.09                    ,67.73                 ,No                ,Materials             ,--            ,10.93     ,10.48 ,1500    ,2481549     ,44.05                     ,61.77                  ,25.36M         ,No                  ,NC ,--       ,C                  ,30.00          ,20.00                 ,50.00           ,--                     ,--              ,10                ,2.20              ,64.96M    ,490.99M,64.96M  ,119.4M            ,0.62    ,0.62      ,-1.54     ,0.50        ,-1.57     ,-2.85     ,0.69      ,100.00                      ,13.23   ,--                ,-0.12 ,-0.08                  ,+2.62                      ,+0.28                  ,+3.36                   ,+133.41              ,-35.55               ,+22.92               ,+0.22     ,11.08        ,12.01    ,4.58                   ,9.71      ,5.20     ,57.69                   ,-3.08                        ,-1.10   ,+0.33,+1.72                  ,+0.11                 ,+0.16                  ,+2.63                    ,+22.53               ,-7.07                ,+12.58               ,+9.63             ,0               ,11.08     ,12.25   ,10.00       ,9.71    ,-5.28                ,0.45           ,-0.45    ,+3.02,+0.47                   ,+0.28                    ,+1.52                    ,+0.36                 ,+72.24               ,-0.30                ,-5.29                ,+5.62             ,12.01      ,15.84     ,9.71     ,8.97   ,0.78         ,75.00            ,-0.33         ,0.75              ,--                   ,17.63                    ,1.54            ,24.40        ,22.03                ,2.66     ,10.24     ,10.60     ,10.42      ,10.56     ,10.55      ,55.73                ,50.83     ,14.78                   ,48.46,11.78               ,-0.75                     ,2.66           ,10.26     ,11.44      ,10.48     ,10.53     ,10.55      ,51.55     ,51.22                ,18.74         ,38.47,-0.10      ,0.88           ,2.67                      ,10.65     ,10.25      ,10.52     ,52.20                ,21.59                   ,31.09   ,9.52                   ,-0.55          ,0.62                      ,-1429.31  , 
IAG   ,-3.75      ,3.85      ,7928764   ,32.33    ,1.78B     ,33             ,+5.55                     ,48.98     ,3.81      ,-0.21,-56.64      ,32.00                  ,-8.01             ,29.50                  ,3.92                   ,Metals & Mining                                    ,NYSE    ,IAMGOLD CORP             ,Gold                              ,--      ,3.88          ,3.85  ,56900   ,12926550     ,9944194     ,61.34                   ,79.73                  ,No        ,4.00  ,4.02  ,3.86  ,60.10                 ,10794367      ,9830994    ,73.45                    ,80.65                 ,No                ,Materials             ,--            ,3.88      ,3.77  ,23400   ,10525116    ,38.54                     ,75.33                  ,47.05M         ,No                  ,NC ,--       ,C                  ,11.76          ,17.65                 ,41.18           ,17.65                  ,11.76           ,17                ,3.00              ,61.80M    ,987.10M,61.80M  ,463.03M           ,0.12    ,0.12      ,-1.94     ,0.03        ,-0.55     ,-2.21     ,0.89      ,3.00                        ,5.33    ,202.23            ,-0.03 ,-0.01                  ,-1.05                      ,-0.1505                ,-10.63                  ,+102.21              ,-73.35               ,+20.86               ,-0.05     ,3.92         ,4.84     ,1.85                   ,3.36      ,1.95     ,68.00                   ,-3.03                        ,-0.77   ,+0.12,-0.01                  ,+0.12                 ,-0.1527                ,-3.73                    ,+0.78                ,-2.66                ,+7.36                ,+3.00             ,2               ,3.92      ,5.23    ,3.36        ,3.36    ,-1.82                ,0.17           ,-0.15    ,+3.09,+0.204                  ,-0.041                   ,-3.79                    ,-0.4614               ,+60.53               ,-42.54               ,+6.49                ,+1.86             ,4.80       ,5.87      ,3.36     ,3.36   ,0.25         ,29.00            ,-0.08         ,1.37              ,--                   ,32.33                    ,0.80            ,21.36        ,140.68               ,1.82     ,3.63      ,4.34      ,4.01       ,3.89      ,4.09       ,50.00                ,48.09     ,20.98                   ,43.36,4.70                ,-0.86                     ,0.53           ,4.21      ,4.17       ,3.73      ,4.09      ,4.07       ,46.60     ,48.31                ,4.95          ,30.22,-0.22      ,-0.58          ,0.67                      ,3.92      ,4.07       ,4.10      ,46.97                ,19.00                   ,21.11   ,3.14                   ,-0.82          ,-0.71                     ,-12905.25 , 
HL    ,-3.72      ,5.045     ,5552092   ,28.40    ,2.00B     ,39             ,+3.41                     ,40.47     ,5.20      ,-0.36,-70.21      ,25.34                  ,-23.31            ,41.95                  ,5.46                   ,Metals & Mining                                    ,NYSE    ,HECLA MINING CO          ,Silver                            ,0.01    ,5.07          ,5.04  ,27400   ,6875703      ,10687251    ,80.75                   ,51.95                  ,No        ,5.24  ,5.266 ,5.05  ,58.72                 ,7537017       ,7059551    ,73.66                    ,78.65                 ,No                ,Materials             ,0.20          ,5.07      ,4.97  ,12100   ,7288146     ,65.30                     ,76.18                  ,33.33M         ,No                  ,B  ,--       ,B-                 ,11.11          ,11.11                 ,66.67           ,11.11                  ,--              ,9                 ,2.78              ,69.55M    ,645.96M,69.55M  ,395.44M           ,0.18    ,0.18      ,-0.23     ,0.10        ,0.05      ,-0.08     ,0.05      ,1.00                        ,10.77   ,462.72            ,-0.025,-0.455                 ,-7.17                      ,-0.8096                ,-14.50                  ,+79.84               ,+0.49                ,+37.55               ,+0.42     ,5.12         ,6.72     ,2.374                  ,4.61      ,2.46     ,74.66                   ,1.81                         ,-0.49   ,+0.17,-0.255                 ,+0.07                 ,-0.5509                ,-13.77                   ,-3.20                ,+44.24               ,-8.22                ,+4.93             ,8               ,5.12      ,6.78    ,4.70        ,4.61    ,-2.51                ,0.221          ,-0.195   ,+3.35,+0.167                  ,-0.3918                  ,-9.80                    ,-0.8598               ,+81.10               ,+15.66               ,+0.04                ,+3.03             ,6.72       ,7.64      ,4.61     ,4.61   ,0.296        ,6.00             ,-0.075        ,1.21              ,--                   ,28.40                    ,1.36            ,34.25        ,50.99                ,3.10     ,4.92      ,5.92      ,5.88       ,5.34      ,5.78       ,41.13                ,44.88     ,28.77                   ,29.79,6.77                ,-1.46                     ,-0.35          ,5.82      ,5.81       ,5.14      ,5.71      ,5.74       ,41.64     ,45.03                ,30.90         ,20.08,-0.33      ,-1.02          ,-0.35                     ,5.46      ,5.95       ,5.75      ,41.88                ,15.19                   ,13.45   ,4.16                   ,-1.41          ,-1.02                     ,-24348.98 , 
MASI  ,-3.58      ,92.05     ,1361387   ,17.07    ,4.86B     ,140            ,+1.34                     ,55.20     ,92.33     ,4.56 ,-56.55      ,21.99                  ,32.18             ,73.00                  ,91.32                  ,Health Care Equipment & Supplies                   ,NASDAQ  ,MASIMO CORP              ,Health Care Equipment             ,--      ,96.47         ,92.01 ,100     ,889232       ,482312      ,153.10                  ,282.26                 ,No        ,95.47 ,95.62 ,92.09 ,83.28                 ,1131958       ,716424     ,120.27                   ,190.03                ,No                ,Health Care           ,--            ,96.47     ,91.05 ,200     ,1092044     ,132.10                    ,124.66                 ,85.08M         ,Yes                 ,B  ,--       ,B+                 ,14.29          ,28.57                 ,57.14           ,--                     ,--              ,7                 ,2.43              ,300.67M   ,694.62M,300.67M ,50.42M            ,5.65    ,5.65      ,1.55      ,2.32        ,1.30      ,1.02      ,1.07      ,15.00                       ,43.28   ,558.83            ,-4.42 ,+1.05                  ,+5.64                      ,+28.42                 ,+20.98                  ,+212.59              ,+350.47              ,+81.66               ,+1.09     ,96.50        ,96.68    ,-0.88                  ,76.05     ,37.16    ,78.01                   ,1.46                         ,-4.58   ,-1.00,+23.79                 ,-0.03                 ,+7.06                  ,+41.77                   ,+43.13               ,+243.43              ,+46.05               ,+71.96            ,1               ,96.68     ,96.68   ,95.06       ,75.06   ,-53.89               ,3.56           ,-3.42    ,-1.04,+1.27                   ,+5.15                    ,+7.90                    ,+16.73                ,+154.18              ,+353.71              ,+52.79               ,+42.28            ,96.68      ,94.74     ,93.55    ,66.79  ,4.57         ,99.00            ,-1.00         ,0.73              ,--                   ,17.07                    ,9.48            ,--           ,41.55                ,7.00     ,94.61     ,80.23     ,69.23      ,90.66     ,74.62      ,90.39                ,72.74     ,19.60                   ,43.45,99.76               ,19.49                     ,25.50          ,78.08     ,63.45      ,93.40     ,82.49     ,72.38      ,72.27     ,82.07                ,26.71         ,77.57,4.99       ,19.86          ,30.77                     ,91.32     ,71.21      ,80.51     ,86.81                ,33.88                   ,89.32   ,82.87                  ,12.03          ,24.91                     ,4667.21   , 
CDE   ,-3.38      ,8.01      ,2340991   ,23.79    ,1.46B     ,51             ,+4.33                     ,44.45     ,8.09      ,-0.62,-63.21      ,19.44                  ,-0.82             ,40.53                  ,8.22                   ,Metals & Mining                                    ,NYSE    ,COEUR MINING INC         ,Silver                            ,--      ,8.09          ,8.00  ,3200    ,3229465      ,4978800     ,72.49                   ,47.02                  ,No        ,8.29  ,8.30  ,8.01  ,69.52                 ,4617601       ,4479082    ,50.70                    ,52.26                 ,No                ,Materials             ,--            ,8.09      ,7.94  ,1000    ,4706175     ,50.80                     ,49.74                  ,24.78M         ,No                  ,C  ,--       ,C                  ,--             ,62.50                 ,37.50           ,--                     ,--              ,8                 ,2.38              ,55.35M    ,665.78M,55.35M  ,181.06M           ,0.34    ,0.34      ,-2.83     ,0.33        ,-11.59    ,-6.65     ,0.54      ,10.00                       ,8.31    ,319.01            ,-0.08 ,-0.33                  ,-1.56                      ,-2.4222                ,-18.42                  ,+70.27               ,-71.29               ,+14.08               ,+0.78     ,8.14         ,9.78     ,8.11                   ,7.30      ,4.30     ,80.56                   ,-0.53                        ,-0.99   ,+0.20,-1.20                  ,+0.09                 ,-0.2827                ,-23.04                   ,-11.00               ,-28.68               ,-10.98               ,+9.30             ,1               ,8.14      ,12.30   ,7.39        ,7.30    ,-3.64                ,0.29           ,-0.28    ,+2.47,+0.336                  ,-0.128                   ,-3.38                    ,-1.8262               ,+54.60               ,-60.04               ,-32.57               ,+4.18             ,9.34       ,16.41     ,7.30     ,7.30   ,0.36         ,5.00             ,-0.07         ,1.01              ,--                   ,23.79                    ,1.91            ,25.88        ,24.52                ,2.20     ,7.71      ,9.88      ,10.20      ,8.32      ,9.86       ,45.83                ,43.53     ,24.70                   ,36.79,9.40                ,-1.23                     ,-1.07          ,9.76      ,11.14      ,7.97      ,9.24      ,9.95       ,41.46     ,43.77                ,19.31         ,27.29,-0.68      ,-3.46          ,-0.91                     ,8.22      ,9.97       ,9.42      ,41.86                ,16.71                   ,20.68   ,7.04                   ,-1.14          ,-3.51                     ,-517.47   , 
