Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                      ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
YRD   ,-8.63      ,25.71     ,1880917   ,13.06    ,1.71B     ,91             ,+4.57                     ,45.20     ,27.06     ,1.26 ,-70.50      ,3.44                   ,1.33              ,30.93                  ,26.40                  ,Internet Software & Services                  ,NYSE    ,YIRENDAI LTD -ADR        ,Internet Software & Services      ,--      ,29.29         ,25.65 ,200     ,718538       ,621469      ,261.77                  ,302.66                 ,No        ,28.14 ,30.50 ,25.73 ,9.73                  ,587707        ,509727     ,320.04                   ,369.00                ,No                ,Information Technology,--            ,29.29     ,25.54 ,200     ,589791      ,257.62                    ,318.91                 ,20.41M         ,No                  ,-- ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,43.83M    ,209.09M,43.83M  ,58.5M             ,2.24    ,0.87      ,-0.09     ,2.24        ,-0.17     ,--        ,--        ,--                          ,20.96   ,343.89            ,-3.58 ,+1.65                  ,+10.93                     ,+4.15                  ,+23.23                  ,0.00                 ,0.00                 ,+64.14               ,0.00      ,29.50        ,31.64    ,11.84                  ,23.23     ,5.63     ,96.56                   ,4.87                         ,-12.22  ,-1.15,+4.05                  ,-0.08                 ,+3.23                  ,+16.50                   ,+41.36               ,0.00                 ,-16.11               ,+79.29            ,71              ,31.64     ,31.64   ,28.06       ,22.66   ,-19.91               ,4.79           ,-2.43    ,-3.93,+1.28                   ,+2.89                    ,+12.41                   ,+5.52                 ,+255.47              ,0.00                 ,-1.20                ,+33.65            ,31.64      ,42.34     ,27.61    ,19.85  ,4.96         ,43.00            ,-0.17         ,0.56              ,--                   ,33.63                    ,11.37           ,--           ,13.10                ,8.19     ,28.22     ,23.86     ,25.55      ,26.58     ,--         ,66.78                ,--        ,20.78                   ,29.50,30.54               ,5.42                      ,0.24           ,23.56     ,23.78      ,26.96     ,25.20     ,--         ,51.29     ,50.00                ,8.04          ,55.33,1.28       ,4.79           ,2.51                      ,26.40     ,25.46      ,25.06     ,59.57                ,24.42                   ,60.39   ,22.26                  ,2.06           ,7.53                      ,130.83    , 
BGS   ,-5.43      ,39.15     ,2101340   ,24.31    ,2.80B     ,56             ,+1.74                     ,22.66     ,42.20     ,-1.08,-93.94      ,11.76                  ,-31.31            ,33.48                  ,43.28                  ,Food Products                                 ,NYSE    ,B&G FOODS INC            ,Packaged Foods & Meats            ,1.86    ,42.05         ,39.10 ,1500    ,440667       ,615017      ,476.85                  ,341.67                 ,No        ,41.40 ,41.40 ,39.15 ,88.16                 ,686350        ,548702     ,306.16                   ,382.97                ,No                ,Consumer Staples      ,4.40          ,42.05     ,38.85 ,500     ,665065      ,367.81                    ,315.96                 ,18.42M         ,Yes                 ,F  ,--       ,A-                 ,--             ,9.09                  ,90.91           ,--                     ,--              ,11                ,2.91              ,109.42M   ,1.39B  ,109.42M ,66.47M            ,1.73    ,1.73      ,1.22      ,2.20        ,0.76      ,0.98      ,1.20      ,7.00                        ,7.87    ,537.16            ,-2.90 ,-3.60                  ,-2.83                      ,-2.78                  ,-4.76                   ,+64.45               ,+127.47              ,+1.68                ,+0.02     ,42.20        ,47.75    ,11.44                  ,40.95     ,31.81    ,88.24                   ,7.25                         ,-6.90   ,-0.65,-4.60                  ,-0.06                 ,-1.86                  ,-6.20                    ,-4.00                ,+58.62               ,+0.36                ,+17.60            ,0               ,42.25     ,47.75   ,41.35       ,40.95   ,-7.04                ,2.25           ,-2.25    ,-1.55,+0.72                   ,-1.23                    ,-4.24                    ,-2.10                 ,+28.07               ,+62.43               ,-8.76                ,+3.92             ,47.75      ,52.84     ,41.00    ,40.95  ,2.55         ,15.00            ,-0.30         ,1.03              ,--                   ,24.31                    ,--              ,218.32       ,19.10                ,2.01     ,41.57     ,44.07     ,44.51      ,42.62     ,44.09      ,39.10                ,40.83     ,40.20                   ,6.06 ,48.04               ,-4.35                     ,-4.70          ,44.05     ,45.62      ,41.99     ,43.62     ,44.12      ,35.94     ,45.65                ,54.81         ,14.26,-0.80      ,-6.45          ,-1.35                     ,43.28     ,43.68      ,43.76     ,43.38                ,11.73                   ,14.47   ,38.51                  ,-7.70          ,-3.30                     ,-3406.48  , 
CLF   ,-5.35      ,9.37      ,14593058  ,11.15    ,2.88B     ,89             ,+5.68                     ,43.38     ,9.66      ,-0.26,-72.24      ,54.92                  ,-19.99            ,23.33                  ,10.17                  ,Metals & Mining                               ,NYSE    ,CLIFFS NATURAL RESOURCES ,Steel                             ,--      ,9.71          ,9.37  ,8100    ,16070387     ,15607946    ,90.81                   ,93.50                  ,No        ,9.90  ,9.92  ,9.38  ,46.98                 ,19046270      ,20553463   ,76.62                    ,71.00                 ,No                ,Materials             ,--            ,9.71      ,8.70  ,13300   ,22015716    ,73.38                     ,66.28                  ,146.91M        ,No                  ,C  ,*****    ,C                  ,12.50          ,12.50                 ,62.50           ,12.50                  ,--              ,8                 ,2.75              ,199.30M   ,2.11B  ,199.30M ,296.39M           ,0.87    ,0.87      ,-5.13     ,1.39        ,-47.52    ,2.08      ,-6.32     ,2.00                        ,8.26    ,721.52            ,-0.34 ,-1.72                  ,-4.50                      ,+1.5892                ,-0.19                   ,+60.07               ,-84.80               ,+149.07              ,+1.83     ,9.77         ,12.37    ,2.45                   ,8.64      ,2.13     ,45.08                   ,4.09                         ,-3.50   ,+0.19,+0.78                  ,+0.05                 ,-0.7336                ,+19.57                   ,+15.46               ,-49.74               ,+21.00               ,-9.54             ,1               ,9.77      ,12.37   ,8.97        ,8.64    ,-6.57                ,0.55           ,-0.53    ,+1.96,+0.522                  ,-0.4575                  ,-7.02                    ,-0.0186               ,+252.42              ,-62.57               ,+87.02               ,+9.82             ,12.22      ,12.37     ,8.64     ,8.27   ,1.22         ,12.00            ,-0.67         ,0.47              ,--                   ,11.15                    ,--              ,-166.37      ,6.97                 ,1.36     ,9.34      ,9.74      ,8.39       ,9.77      ,8.94       ,48.49                ,51.43     ,27.52                   ,27.76,12.10               ,-2.32                     ,0.18           ,9.60      ,7.49       ,9.75      ,9.66      ,8.64       ,49.04     ,52.64                ,23.11         ,26.82,-0.12      ,-0.06          ,-0.04                     ,10.17     ,8.91       ,9.53      ,50.87                ,17.19                   ,18.98   ,8.23                   ,-2.46          ,0.55                      ,-48116.54 , 
HMY   ,-5.18      ,2.38      ,5418726   ,5.72     ,958.60M   ,21             ,+6.80                     ,49.04     ,2.37      ,-0.08,-51.52      ,6.45                   ,-12.86            ,24.26                  ,2.45                   ,Metals & Mining                               ,NYSE    ,HARMONY GOLD MINING CO LT,Gold                              ,0.07    ,2.48          ,2.37  ,10400   ,6046811      ,5384572     ,89.61                   ,100.63                 ,No        ,2.51  ,2.525 ,2.38  ,87.82                 ,6180524       ,5698355    ,87.67                    ,95.09                 ,No                ,Materials             ,3.00          ,2.48      ,2.37  ,40100   ,6141399     ,62.89                     ,88.23                  ,13.83M         ,No                  ,-- ,--       ,--                 ,--             ,--                    ,50.00           ,50.00                  ,--              ,2                 ,3.50              ,65.58M    ,1.27B  ,65.58M  ,439.79M           ,0.43    ,0.15      ,-0.72     ,--          ,-0.20     ,-0.38     ,0.42      ,42.70                       ,0.36    ,46.58             ,-0.10 ,-0.04                  ,+1.04                      ,-0.2587                ,-1.55                   ,+24.71               ,-80.94               ,-17.48               ,-1.78     ,2.52         ,2.99     ,2.345                  ,2.06      ,1.86     ,93.55                   ,-1.37                        ,-4.03   ,+0.03,+0.13                  ,+0.14                 ,-0.0209                ,-9.45                    ,+13.95               ,-32.15               ,+9.65                ,+9.44             ,3               ,2.52      ,2.99    ,2.21        ,2.06    ,-0.51                ,0.145          ,-0.13    ,+1.21,+0.158                  ,+0.0255                  ,-0.84                    ,-0.039                ,-33.96               ,-64.40               ,-28.46               ,+7.10             ,2.99       ,4.87      ,2.06     ,2.06   ,0.155        ,71.00            ,-0.01         ,0.24              ,--                   ,16.85                    ,0.59            ,7.24         ,--                   ,0.86     ,2.26      ,2.52      ,2.64       ,2.40      ,2.63       ,54.09                ,47.36     ,20.38                   ,48.48,2.93                ,-0.29                     ,0.49           ,2.45      ,3.17       ,2.35      ,2.48      ,2.68       ,47.70     ,48.38                ,1.48          ,42.04,-0.08      ,-0.09          ,0.56                      ,2.45      ,2.52       ,2.51      ,49.47                ,19.78                   ,34.63   ,1.98                   ,-0.47          ,-0.08                     ,-11008.64 , 
ERI   ,-5.18      ,18.78     ,268020    ,37.88    ,928.26M   ,26             ,+4.38                     ,63.45     ,18.04     ,0.78 ,-27.22      ,6.52                   ,34.38             ,33.62                  ,17.48                  ,Hotels Restaurants & Leisure                  ,NASDAQ  ,ELDORADO RESORTS INC     ,Casinos & Gaming                  ,--      ,19.70         ,18.75 ,600     ,838779       ,434121      ,31.95                   ,61.74                  ,No        ,19.80 ,19.85 ,18.80 ,41.17                 ,523804        ,398943     ,51.17                    ,67.18                 ,No                ,Consumer Discretionary,--            ,19.70     ,18.70 ,300     ,501401      ,13.17                     ,53.45                  ,15.90M         ,No                  ,NR ,--       ,C                  ,100.00         ,--                    ,--              ,--                     ,--              ,2                 ,1.00              ,24.80M    ,892.90M,24.80M  ,47.12M            ,0.52    ,0.52      ,2.43      ,0.95        ,-0.48     ,0.81      ,-0.04     ,5.00                        ,2.78    ,120.66            ,-0.92 ,+2.32                  ,+12.70                     ,+4.71                  ,+19.40                  ,+225.23              ,0.00                 ,+9.40                ,+1.03     ,19.80        ,19.80    ,-1.30                  ,15.90     ,10.42    ,93.48                   ,-4.89                        ,-4.70   ,+0.10,+1.68                  ,+0.06                 ,+2.44                  ,+31.44                   ,+16.22               ,0.00                 ,+18.55               ,+8.72             ,1               ,19.80     ,19.80   ,19.14       ,15.77   ,-8.28                ,1.08           ,-1.02    ,+0.51,+0.83                   ,+2.22                    ,+14.15                   ,+3.20                 ,+63.64               ,0.00                 ,+16.76               ,+1.89             ,19.80      ,18.55     ,17.45    ,14.90  ,1.15         ,79.00            ,-0.08         ,1.61              ,--                   ,37.88                    ,--              ,266.67       ,20.74                ,1.04     ,18.45     ,16.53     ,15.11      ,17.75     ,15.90      ,82.45                ,60.53     ,13.08                   ,72.78,19.69               ,3.70                      ,2.33           ,16.55     ,14.86      ,17.86     ,16.77     ,15.65      ,62.42     ,64.87                ,42.28         ,88.50,0.61       ,2.98           ,3.31                      ,17.48     ,15.36      ,16.56     ,69.44                ,32.23                   ,90.59   ,15.27                  ,2.18           ,4.25                      ,3027.65   , 
MUX   ,-5.00      ,3.325     ,3736599   ,48.57    ,1.01B     ,30             ,+5.95                     ,48.61     ,3.31      ,-0.18,-50.51      ,15.56                  ,-19.03            ,32.03                  ,3.43                   ,Metals & Mining                               ,NYSE    ,MCEWEN MINING INC        ,Gold                              ,0.01    ,3.40          ,3.32  ,20100   ,5413564      ,4404705     ,69.02                   ,84.83                  ,No        ,3.50  ,3.515 ,3.33  ,34.33                 ,5042001       ,4466910    ,74.11                    ,83.65                 ,No                ,Materials             ,0.30          ,3.40      ,3.29  ,7300    ,4880428     ,64.31                     ,76.56                  ,16.97M         ,No                  ,NC ,--       ,C                  ,100.00         ,--                    ,--              ,--                     ,--              ,1                 ,1.00              ,21.06M    ,60.39M ,21.06M  ,299.57M           ,0.07    ,0.07      ,-0.07     ,--          ,-1.05     ,-0.50     ,-0.26     ,--                          ,34.87   ,206.10            ,-0.075,-0.045                 ,-0.95                      ,-0.0322                ,-8.62                   ,+229.88              ,-35.27               ,+54.18               ,-0.41     ,3.48         ,4.30     ,1.405                  ,2.84      ,1.72     ,84.44                   ,-2.77                        ,-2.21   ,+0.10,+0.355                 ,+0.17                 ,-0.1418                ,-0.94                    ,+16.99               ,+5.11                ,+21.36               ,+4.89             ,1               ,3.48      ,4.43    ,2.98        ,2.84    ,-1.57                ,0.19           ,-0.175   ,+2.94,+0.191                  ,-0.0328                  ,-4.00                    ,-0.3206               ,+53.37               ,+17.46               ,+0.13                ,+4.33             ,4.26       ,4.92      ,2.84     ,2.84   ,0.225        ,60.00            ,-0.035        ,2.07              ,--                   ,48.57                    ,2.30            ,--           ,--                   ,16.87    ,3.13      ,3.72      ,3.39       ,3.38      ,3.49       ,50.88                ,48.70     ,20.90                   ,49.49,4.24                ,-0.84                     ,0.58           ,3.58      ,3.59       ,3.23      ,3.52      ,3.46       ,47.51     ,49.28                ,5.74          ,36.75,-0.18      ,-0.50          ,0.60                      ,3.43      ,3.37       ,3.52      ,48.42                ,18.63                   ,29.93   ,2.62                   ,-0.84          ,-0.54                     ,-13599.55 , 
TAHO  ,-4.75      ,7.515     ,2156734   ,18.93    ,2.40B     ,54             ,+3.56                     ,38.61     ,7.89      ,-0.41,-76.18      ,7.61                   ,-9.91             ,24.58                  ,8.14                   ,Metals & Mining                               ,NYSE    ,TAHOE RESOURCES INC      ,Gold                              ,0.24    ,7.70          ,7.51  ,3200    ,3814213      ,2482397     ,56.54                   ,86.88                  ,No        ,7.89  ,7.9399,7.52  ,68.36                 ,3074538       ,2868327    ,70.15                    ,75.19                 ,No                ,Materials             ,3.10          ,7.70      ,7.48  ,3200    ,2989443     ,59.36                     ,72.15                  ,28.58M         ,No                  ,D  ,--       ,--                 ,31.25          ,50.00                 ,18.75           ,--                     ,--              ,16                ,1.88              ,117.88M   ,784.50M,117.88M ,311.74M           ,0.41    ,0.41      ,-0.35     ,0.41        ,0.61      ,-0.45     ,-0.65     ,5.00                        ,15.03   ,278.19            ,-0.185,-0.725                 ,-5.39                      ,-2.602                 ,-12.89                  ,-33.93               ,-65.44               ,-27.89               ,+0.59     ,7.76         ,9.24     ,9.0701                 ,7.11      ,7.66     ,92.39                   ,5.27                         ,-2.40   ,+0.19,-1.985                 ,-0.05                 ,-0.5886                ,-25.26                   ,-17.90               ,-65.94               ,-11.02               ,+5.57             ,6               ,8.01      ,11.43   ,7.11        ,7.11    ,0.18                 ,0.4249         ,-0.375   ,+2.47,+0.265                  ,-0.4388                  ,-7.10                    ,-1.1398               ,-26.74               ,-52.95               ,-34.29               ,+4.65             ,9.21       ,17.01     ,7.11     ,7.11   ,0.4599       ,4.00             ,-0.035        ,0.80              ,--                   ,18.93                    ,0.98            ,1.64         ,18.84                ,3.06     ,7.69      ,8.79      ,9.89       ,8.04      ,9.53       ,41.77                ,41.83     ,26.42                   ,23.82,9.22                ,-1.41                     ,-1.24          ,8.84      ,11.75      ,7.91      ,8.67      ,9.80       ,40.45     ,42.46                ,22.97         ,19.40,-0.36      ,-1.72          ,-1.04                     ,8.14      ,9.45       ,8.85      ,41.52                ,16.55                   ,13.28   ,7.06                   ,-1.39          ,-1.47                     ,-4683.13  , 
STLD  ,-4.71      ,35.42     ,2402691   ,22.85    ,8.64B     ,80             ,+2.39                     ,50.18     ,35.30     ,-0.32,-60.49      ,7.89                   ,-14.59            ,14.42                  ,35.81                  ,Metals & Mining                               ,NGM/NGS ,STEEL DYNAMICS INC       ,Steel                             ,0.56    ,35.65         ,35.42 ,1000    ,2502998      ,3726258     ,95.99                   ,64.48                  ,No        ,37.17 ,37.17 ,35.44 ,89.23                 ,2934742       ,3828471    ,81.87                    ,62.76                 ,Yes               ,Materials             ,1.60          ,35.65     ,35.27 ,200     ,3003109     ,90.63                     ,80.01                  ,86.52M         ,No                  ,D  ,*****    ,B-                 ,40.00          ,26.67                 ,26.67           ,--                     ,6.67            ,15                ,2.07              ,360.01M   ,7.78B  ,360.01M ,242.35M           ,1.56    ,1.56      ,-0.54     ,2.49        ,0.67      ,0.83      ,0.73      ,7.50                        ,4.91    ,1010.67           ,-0.23 ,-1.94                  ,-0.45                      ,+3.53                  ,-0.53                   ,+108.87              ,+170.41              ,+50.52               ,+1.45     ,35.70        ,38.25    ,3.00                   ,33.65     ,20.02    ,92.11                   ,-0.01                        ,-0.65   ,+1.52,-0.52                  ,+0.04                 ,-0.44                  ,+10.99                   ,+0.20                ,+113.53              ,+3.55                ,+12.84            ,0               ,35.70     ,38.47   ,34.47       ,33.65   ,-15.25               ,1.75           ,-1.75    ,+4.26,+0.83                   ,-0.16                    ,-1.21                    ,-0.19                 ,+63.99               ,+135.63              ,+50.05               ,+5.70             ,38.24      ,40.17     ,33.65    ,32.81  ,1.90         ,16.00            ,-0.15         ,0.97              ,--                   ,22.85                    ,3.87            ,81.46        ,14.32                ,1.11     ,34.85     ,35.82     ,33.01      ,35.42     ,33.95      ,52.29                ,52.49     ,22.99                   ,39.51,38.25               ,-2.16                     ,-1.26          ,35.97     ,29.99      ,35.42     ,35.42     ,33.27      ,50.53     ,52.90                ,12.63         ,35.49,-0.25      ,-1.85          ,-1.71                     ,35.81     ,34.68      ,35.21     ,51.17                ,29.64                   ,24.56   ,33.37                  ,-2.11          ,0.04                      ,-6256.14  , 
SWK   ,-4.32      ,130.99    ,477176    ,20.13    ,20.00B    ,22             ,+0.57                     ,68.10     ,128.84    ,1.71 ,-56.72      ,8.30                   ,-0.47             ,38.66                  ,128.33                 ,Machinery                                     ,NYSE    ,STANLEY BLACK & DECKER IN,Industrial Machinery              ,2.32    ,131.07        ,130.96,100     ,887213       ,1006363     ,53.78                   ,47.42                  ,Yes       ,136.90,136.90,131.02,89.66                 ,738568        ,908591     ,64.61                    ,52.52                 ,No                ,Industrials           ,1.80          ,131.07    ,130.46,100     ,755442      ,51.74                     ,63.17                  ,115.26M        ,No                  ,B  ,****     ,B+                 ,27.78          ,5.56                  ,66.67           ,--                     ,--              ,18                ,2.39              ,964.90M   ,11.41B ,964.90M ,152.63M           ,6.51    ,6.51      ,5.79      ,7.04        ,4.77      ,3.09      ,5.30      ,10.73                       ,8.46    ,211.15            ,-0.08 ,+1.99                  ,+2.13                      ,+9.73                  ,+5.69                   ,+40.09               ,+86.49               ,+13.94               ,+1.12     ,131.25       ,131.25   ,-6.43                  ,125.33    ,97.47    ,91.70                   ,-1.67                        ,-0.06   ,+5.83,+15.35                 ,+0.03                 ,+3.13                  ,+8.01                    ,+14.80               ,+67.90               ,+7.67                ,+15.85            ,0               ,131.25    ,131.25  ,129.61      ,124.55  ,-32.99               ,5.91           ,-5.91    ,+4.45,+0.74                   ,+2.74                    ,+2.45                    ,+7.05                 ,+33.87               ,+78.44               ,+3.72                ,+6.27             ,131.25     ,130.47    ,127.45   ,114.86 ,6.45         ,74.00            ,-0.54         ,0.86              ,--                   ,20.13                    ,--              ,60.60        ,18.61                ,1.75     ,129.20    ,124.32    ,121.41     ,128.22    ,122.84     ,68.78                ,60.01     ,8.51                    ,43.28,131.06              ,5.28                      ,14.22          ,122.95    ,120.14     ,128.80    ,125.31    ,122.09     ,63.50     ,60.12                ,68.56         ,70.21,1.63       ,10.79          ,12.91                     ,128.33    ,121.38     ,124.67    ,63.71                ,45.62                   ,77.82   ,125.61                 ,4.28           ,12.77                     ,-50.65    , 
SSRI  ,-4.00      ,10.81     ,1535098   ,17.63    ,1.29B     ,58             ,+4.49                     ,54.06     ,10.51     ,-0.10,-51.10      ,42.31                  ,-3.85             ,17.88                  ,10.65                  ,Metals & Mining                               ,NCM     ,SILVER STANDARD RES INC  ,Gold                              ,--      ,10.93         ,10.81 ,1000    ,2446793      ,2126422     ,62.74                   ,72.19                  ,No        ,11.26 ,11.26 ,10.82 ,56.94                 ,2593847       ,2263025    ,59.18                    ,67.83                 ,No                ,Materials             ,--            ,10.93     ,10.48 ,1600    ,2481549     ,44.12                     ,61.86                  ,25.36M         ,No                  ,NC ,--       ,C                  ,30.00          ,20.00                 ,50.00           ,--                     ,--              ,10                ,2.20              ,64.96M    ,490.99M,64.96M  ,119.4M            ,0.62    ,0.62      ,-1.54     ,0.50        ,-1.57     ,-2.85     ,0.69      ,100.00                      ,13.23   ,--                ,-0.12 ,-0.08                  ,+2.62                      ,+0.28                  ,+3.36                   ,+133.41              ,-35.55               ,+22.92               ,+0.22     ,11.08        ,12.01    ,4.58                   ,9.71      ,5.20     ,57.69                   ,-3.07                        ,-1.10   ,+0.33,+1.72                  ,+0.11                 ,+0.16                  ,+2.63                    ,+22.53               ,-7.07                ,+12.58               ,+9.63             ,0               ,11.08     ,12.25   ,10.00       ,9.71    ,-5.28                ,0.45           ,-0.45    ,+3.02,+0.47                   ,+0.28                    ,+1.52                    ,+0.36                 ,+72.24               ,-0.30                ,-5.29                ,+5.62             ,12.01      ,15.84     ,9.71     ,8.97   ,0.78         ,75.00            ,-0.33         ,0.75              ,--                   ,17.63                    ,1.54            ,24.40        ,22.03                ,2.66     ,10.24     ,10.60     ,10.42      ,10.56     ,10.55      ,55.73                ,50.86     ,14.78                   ,48.90,11.78               ,-0.75                     ,2.67           ,10.26     ,11.44      ,10.48     ,10.53     ,10.55      ,51.61     ,51.22                ,18.74         ,38.62,-0.10      ,0.89           ,2.67                      ,10.65     ,10.25      ,10.52     ,52.20                ,21.59                   ,31.13   ,9.52                   ,-0.54          ,0.62                      ,-1390.70  , 
