Symbol,% Chg(Open),Last Trade,Change,High  ,Low   ,Volume    ,Prev Close,Open  ,% Change,Market Cap,Sector                ,Exchange,P/E (ttm), 
VSI   ,-7.84      ,21.15     ,-0.15 ,23.25 ,20.55 ,373043    ,21.30     ,22.95 ,-0.70   ,507.30M   ,Consumer Discretionary,NYSE    ,12.56    , 
AMBA  ,-7.59      ,55.95     ,-3.00 ,60.68 ,55.31 ,3325008   ,58.95     ,60.54 ,-5.10   ,1.95B     ,Information Technology,NASDAQ  ,45.26    , 
BKE   ,-6.95      ,18.75     ,-1.10 ,20.25 ,18.30 ,762457    ,19.85     ,20.15 ,-5.54   ,965.17M   ,Consumer Discretionary,NYSE    ,8.24     , 
DIN   ,-6.60      ,52.26     ,-7.56 ,57.45 ,52.13 ,1199649   ,59.82     ,55.95 ,-12.64  ,1.08B     ,Consumer Discretionary,NYSE    ,10.87    , 
ITRI  ,-6.41      ,60.60     ,-4.10 ,64.75 ,58.35 ,517800    ,64.70     ,64.75 ,-6.34   ,2.48B     ,Information Technology,NGM/NGS ,86.15    , 
EXPR  ,-5.92      ,10.73     ,-0.52 ,11.50 ,10.43 ,1676894   ,11.24     ,11.40 ,-4.58   ,881.35M   ,Consumer Discretionary,NYSE    ,9.88     , 
AEO   ,-5.55      ,13.95     ,-1.90 ,14.96 ,13.85 ,13586531  ,15.85     ,14.77 ,-11.99  ,2.88B     ,Consumer Discretionary,NYSE    ,12.31    , 
STMP  ,-5.09      ,121.10    ,-5.00 ,128.25,120.60,336130    ,126.10    ,127.60,-3.97   ,2.15B     ,Information Technology,NCM     ,30.61    , 
GES   ,-4.98      ,12.28     ,-0.42 ,12.95 ,12.09 ,1200368   ,12.70     ,12.92 ,-3.33   ,1.07B     ,Consumer Discretionary,NYSE    ,16.85    , 
AMC   ,-4.68      ,30.03     ,-1.32 ,31.55 ,29.30 ,2631703   ,31.35     ,31.50 ,-4.23   ,1.68B     ,Consumer Discretionary,NYSE    ,24.75    , 
ANF   ,-4.68      ,11.31     ,-0.66 ,11.86 ,10.97 ,5587187   ,11.96     ,11.86 ,-5.48   ,809.39M   ,Consumer Discretionary,NYSE    ,63.70    , 
PLCE  ,-4.52      ,98.15     ,-3.15 ,102.80,98.10 ,267001    ,101.30    ,102.80,-3.11   ,1.83B     ,Consumer Discretionary,NGM/NGS ,22.96    , 
MGRC  ,-4.38      ,34.90     ,-2.73 ,37.46 ,34.43 ,115533    ,37.63     ,36.50 ,-7.25   ,899.88M   ,Industrials           ,NGM/NGS ,22.59    , 
PRAA  ,-4.29      ,35.70     ,-5.09 ,37.70 ,34.80 ,1744218   ,40.79     ,37.30 ,-12.48  ,1.89B     ,Financials            ,NGM/NGS ,13.28    , 
CHS   ,-4.27      ,14.11     ,-0.37 ,14.83 ,13.99 ,2244942   ,14.48     ,14.74 ,-2.56   ,1.87B     ,Consumer Discretionary,NYSE    ,20.99    , 
ZUMZ  ,-4.11      ,19.85     ,-0.54 ,20.73 ,19.35 ,274130    ,20.39     ,20.70 ,-2.65   ,507.90M   ,Consumer Discretionary,NGM/NGS ,24.55    , 
ECPG  ,-3.93      ,32.38     ,-0.91 ,33.70 ,32.23 ,489886    ,33.29     ,33.70 ,-2.74   ,852.41M   ,Financials            ,NGM/NGS ,11.25    , 
FLT   ,-3.80      ,164.50    ,-5.50 ,171.78,163.96,1515110   ,170.00    ,170.99,-3.24   ,15.61B    ,Information Technology,NYSE    ,35.79    , 
ZION  ,-3.70      ,46.54     ,+1.64 ,48.33 ,45.95 ,2173963   ,44.90     ,48.33 ,+3.65   ,9.09B     ,Financials            ,NGM/NGS ,22.56    , 
RUN   ,-3.65      ,5.54      ,-0.15 ,5.80  ,5.515 ,1002630   ,5.69      ,5.75  ,-2.64   ,590.72M   ,Industrials           ,NASDAQ  ,12.39    , 
DDS   ,-3.63      ,53.06     ,-1.46 ,55.70 ,52.80 ,771926    ,54.52     ,55.06 ,-2.68   ,1.60B     ,Consumer Discretionary,NYSE    ,11.05    , 
GCO   ,-3.63      ,57.15     ,-1.15 ,59.40 ,56.85 ,124135    ,58.30     ,59.30 ,-1.97   ,1.16B     ,Consumer Discretionary,NYSE    ,12.64    , 
DFIN  ,-3.44      ,22.47     ,-0.64 ,23.39 ,22.47 ,303068    ,23.11     ,23.27 ,-2.77   ,753.39M   ,Financials            ,NYSE    ,9.07     , 
OUT   ,-3.39      ,25.10     ,-0.85 ,26.16 ,24.97 ,532243    ,25.95     ,25.98 ,-3.28   ,3.59B     ,Real Estate           ,NYSE    ,39.37    , 
JWN   ,-3.35      ,45.30     ,-1.36 ,47.05 ,44.70 ,3411500   ,46.66     ,46.87 ,-2.91   ,7.93B     ,Consumer Discretionary,NYSE    ,23.10    , 
FRAN  ,-3.29      ,16.48     ,-0.49 ,17.05 ,16.29 ,577143    ,16.97     ,17.04 ,-2.89   ,641.16M   ,Consumer Discretionary,NASDAQ  ,15.93    , 
CSIQ  ,-3.21      ,14.46     ,-0.26 ,14.98 ,14.33 ,801142    ,14.72     ,14.94 ,-1.77   ,850.62M   ,Information Technology,NASDAQ  ,6.14     , 
URBN  ,-3.14      ,25.30     ,-0.73 ,26.32 ,25.01 ,2552450   ,26.03     ,26.12 ,-2.80   ,3.03B     ,Consumer Discretionary,NGM/NGS ,13.53    , 
CATO  ,-3.06      ,24.41     ,-0.60 ,25.22 ,24.25 ,163335    ,25.01     ,25.18 ,-2.40   ,627.55M   ,Consumer Discretionary,NYSE    ,9.67     , 
RH    ,-2.93      ,29.92     ,-0.52 ,31.40 ,29.86 ,1626460   ,30.44     ,30.82 ,-1.71   ,1.24B     ,Consumer Discretionary,NYSE    ,42.60    , 
LTRPA ,-2.91      ,13.35     ,-0.10 ,13.75 ,13.20 ,586935    ,13.45     ,13.75 ,-0.74   ,1.02B     ,Consumer Discretionary,NASDAQ  ,48.04    , 
PRTY  ,-2.90      ,14.23     ,-0.22 ,14.65 ,13.95 ,371262    ,14.45     ,14.65 ,-1.56   ,1.73B     ,Consumer Discretionary,NYSE    ,14.80    , 
LAMR  ,-2.90      ,75.51     ,+0.02 ,77.76 ,75.28 ,301995    ,75.48     ,77.76 ,+0.03   ,6.25B     ,Real Estate           ,NGM/NGS ,24.75    , 
LKSD  ,-2.85      ,27.64     ,-0.78 ,28.77 ,27.60 ,173913    ,28.42     ,28.45 ,-2.74   ,922.23M   ,Industrials           ,NYSE    ,8.80     , 
