Symbol,% Chg(Open),Last Trade,Change,High  ,Low   ,Volume    ,Prev Close,Open  ,% Change,Market Cap,Sector                    ,Exchange,P/E (ttm), 
I     ,-11.26     ,4.49      ,-0.49 ,5.09  ,4.37  ,1370765   ,4.98      ,5.06  ,-9.84   ,586.64M   ,Telecommunication Services,NYSE    ,--       , 
PCRX  ,-10.80     ,50.40     ,+6.70 ,58.95 ,47.75 ,5102300   ,43.70     ,56.50 ,+15.33  ,1.63B     ,Health Care               ,NASDAQ  ,--       , 
ETSY  ,-9.42      ,10.38     ,-1.74 ,11.79 ,10.06 ,7205877   ,12.12     ,11.46 ,-14.36  ,1.40B     ,Consumer Discretionary    ,NASDAQ  ,--       , 
BW    ,-9.29      ,10.06     ,-6.44 ,11.50 ,9.43  ,5559424   ,16.50     ,11.09 ,-39.03  ,803.30M   ,Industrials               ,NYSE    ,--       , 
IPXL  ,-8.18      ,10.10     ,-4.15 ,11.70 ,9.75  ,5250321   ,14.25     ,11.00 ,-29.12  ,1.05B     ,Health Care               ,NASDAQ  ,--       , 
VSI   ,-7.84      ,21.15     ,-0.15 ,23.25 ,20.55 ,373043    ,21.30     ,22.95 ,-0.70   ,507.30M   ,Consumer Discretionary    ,NYSE    ,12.56    , 
GTYHU ,-7.77      ,10.48     ,+0.03 ,11.36 ,10.44 ,3399      ,10.45     ,11.36 ,+0.28   ,576.84M   ,--                        ,NASDAQ  ,--       , 
AMBA  ,-7.59      ,55.95     ,-3.00 ,60.68 ,55.31 ,3325018   ,58.95     ,60.54 ,-5.10   ,1.95B     ,Information Technology    ,NASDAQ  ,45.26    , 
ASNA  ,-7.42      ,4.37      ,-0.22 ,4.78  ,4.34  ,2231651   ,4.59      ,4.72  ,-4.79   ,895.91M   ,Consumer Discretionary    ,NGM/NGS ,43.46    , 
BKE   ,-6.95      ,18.75     ,-1.10 ,20.25 ,18.30 ,762457    ,19.85     ,20.15 ,-5.54   ,965.17M   ,Consumer Discretionary    ,NYSE    ,8.24     , 
DIN   ,-6.60      ,52.26     ,-7.56 ,57.45 ,52.13 ,1201549   ,59.82     ,55.95 ,-12.64  ,1.08B     ,Consumer Discretionary    ,NYSE    ,10.87    , 
ITRI  ,-6.41      ,60.60     ,-4.10 ,64.75 ,58.35 ,517800    ,64.70     ,64.75 ,-6.34   ,2.48B     ,Information Technology    ,NGM/NGS ,86.15    , 
LXRX  ,-6.16      ,15.55     ,-0.49 ,16.63 ,15.35 ,1868009   ,16.04     ,16.57 ,-3.05   ,1.67B     ,Health Care               ,NASDAQ  ,--       , 
VSAR  ,-6.05      ,21.75     ,-0.10 ,23.92 ,21.70 ,192421    ,21.85     ,23.15 ,-0.46   ,760.29M   ,Health Care               ,NASDAQ  ,--       , 
EXPR  ,-5.92      ,10.73     ,-0.52 ,11.50 ,10.43 ,1677094   ,11.24     ,11.40 ,-4.58   ,881.35M   ,Consumer Discretionary    ,NYSE    ,9.88     , 
ENDP  ,-5.78      ,13.03     ,-0.62 ,13.91 ,12.62 ,15453663  ,13.65     ,13.83 ,-4.54   ,3.04B     ,Health Care               ,NGM/NGS ,--       , 
AEO   ,-5.55      ,13.95     ,-1.90 ,14.96 ,13.85 ,13597471  ,15.85     ,14.77 ,-11.99  ,2.88B     ,Consumer Discretionary    ,NYSE    ,12.31    , 
CRSP  ,-5.45      ,22.22     ,-1.51 ,23.50 ,21.50 ,67486     ,23.73     ,23.50 ,-6.36   ,944.67M   ,Health Care               ,NASDAQ  ,--       , 
SPWR  ,-5.30      ,8.39      ,-0.37 ,9.17  ,8.17  ,2816532   ,8.76      ,8.86  ,-4.22   ,1.21B     ,Information Technology    ,NCM     ,--       , 
MGNX  ,-5.29      ,19.89     ,-1.25 ,21.01 ,19.55 ,217960    ,21.14     ,21.00 ,-5.91   ,736.43M   ,Health Care               ,NASDAQ  ,--       , 
FPRX  ,-5.27      ,44.27     ,-1.60 ,47.10 ,44.01 ,445783    ,45.87     ,46.73 ,-3.50   ,1.33B     ,Health Care               ,NASDAQ  ,--       , 
STMP  ,-5.13      ,121.05    ,-5.05 ,128.25,120.60,336439    ,126.10    ,127.60,-4.00   ,2.15B     ,Information Technology    ,NCM     ,30.61    , 
AXIM  ,-5.03      ,9.165     ,-0.585,9.75  ,9.085 ,54999     ,9.75      ,9.65  ,-6.00   ,502.06M   ,Health Care               ,OTC     ,--       , 
KTOS  ,-4.97      ,8.03      ,-0.22 ,8.503 ,8.025 ,1653301   ,8.25      ,8.45  ,-2.67   ,614.90M   ,Industrials               ,NGM/NGS ,--       , 
GES   ,-4.96      ,12.28     ,-0.42 ,12.95 ,12.09 ,1200968   ,12.70     ,12.92 ,-3.31   ,1.07B     ,Consumer Discretionary    ,NYSE    ,16.85    , 
CSU   ,-4.92      ,15.36     ,-1.44 ,16.45 ,14.52 ,1141844   ,16.80     ,16.15 ,-8.60   ,503.82M   ,Health Care               ,NYSE    ,--       , 
AMC   ,-4.76      ,30.00     ,-1.35 ,31.55 ,29.30 ,2632476   ,31.35     ,31.50 ,-4.31   ,1.68B     ,Consumer Discretionary    ,NYSE    ,24.75    , 
ANF   ,-4.69      ,11.30     ,-0.66 ,11.86 ,10.97 ,5587327   ,11.96     ,11.86 ,-5.49   ,809.39M   ,Consumer Discretionary    ,NYSE    ,63.70    , 
PLCE  ,-4.52      ,98.15     ,-3.15 ,102.80,98.10 ,267001    ,101.30    ,102.80,-3.11   ,1.83B     ,Consumer Discretionary    ,NGM/NGS ,22.96    , 
MGRC  ,-4.38      ,34.90     ,-2.73 ,37.46 ,34.43 ,115533    ,37.63     ,36.50 ,-7.25   ,899.88M   ,Industrials               ,NGM/NGS ,22.59    , 
FSLR  ,-4.38      ,34.94     ,-1.25 ,36.88 ,34.87 ,2562991   ,36.19     ,36.54 ,-3.45   ,3.77B     ,Information Technology    ,NASDAQ  ,--       , 
MTW   ,-4.32      ,6.20      ,+0.12 ,6.54  ,6.19  ,1830005   ,6.08      ,6.48  ,+1.97   ,852.36M   ,Industrials               ,NYSE    ,--       , 
CHS   ,-4.27      ,14.11     ,-0.37 ,14.83 ,13.99 ,2244942   ,14.48     ,14.74 ,-2.56   ,1.87B     ,Consumer Discretionary    ,NYSE    ,20.99    , 
GDS   ,-4.25      ,7.66      ,-0.11 ,8.20  ,7.57  ,82088     ,7.77      ,8.00  ,-1.42   ,665.28M   ,Information Technology    ,NASDAQ  ,--       , 
KERX  ,-4.24      ,4.97      ,-0.06 ,5.46  ,4.92  ,1786533   ,5.03      ,5.19  ,-1.19   ,532.98M   ,Health Care               ,NCM     ,--       , 
PRAA  ,-4.22      ,35.73     ,-5.06 ,37.70 ,34.80 ,1744518   ,40.79     ,37.30 ,-12.42  ,1.89B     ,Financials                ,NGM/NGS ,13.28    , 
SGRY  ,-4.18      ,21.80     ,-0.70 ,22.75 ,21.50 ,353886    ,22.50     ,22.75 ,-3.11   ,1.09B     ,Health Care               ,NASDAQ  ,--       , 
TDTF  ,-4.12      ,25.11     ,-0.13 ,26.19 ,25.08 ,47601     ,25.24     ,26.19 ,-0.52   ,727.13M   ,--                        ,NYSE    ,--       , 
ZUMZ  ,-4.11      ,19.85     ,-0.54 ,20.73 ,19.35 ,274130    ,20.39     ,20.70 ,-2.65   ,507.90M   ,Consumer Discretionary    ,NGM/NGS ,24.55    , 
TOO   ,-4.05      ,4.98      ,-0.13 ,5.20  ,4.93  ,658122    ,5.11      ,5.19  ,-2.54   ,753.80M   ,Energy                    ,NYSE    ,--       , 
ECPG  ,-3.93      ,32.38     ,-0.91 ,33.70 ,32.23 ,489886    ,33.29     ,33.70 ,-2.74   ,852.41M   ,Financials                ,NGM/NGS ,11.25    , 
ACAD  ,-3.83      ,36.64     ,-1.47 ,38.66 ,36.45 ,2852446   ,38.11     ,38.10 ,-3.86   ,4.62B     ,Health Care               ,NCM     ,--       , 
FLT   ,-3.81      ,164.47    ,-5.53 ,171.78,163.96,1516412   ,170.00    ,170.99,-3.25   ,15.61B    ,Information Technology    ,NYSE    ,35.79    , 
SHLD  ,-3.77      ,7.65      ,-0.19 ,7.97  ,7.60  ,313415    ,7.84      ,7.95  ,-2.42   ,839.14M   ,Consumer Discretionary    ,NGM/NGS ,--       , 
EVBG  ,-3.74      ,18.65     ,-0.40 ,19.37 ,18.62 ,149044    ,19.04     ,19.37 ,-2.07   ,516.90M   ,Information Technology    ,NASDAQ  ,--       , 
TSRO  ,-3.72      ,179.67    ,-8.70 ,189.97,178.47,919867    ,188.37    ,186.62,-4.62   ,10.06B    ,Health Care               ,NGM/NGS ,--       , 
PEGI  ,-3.70      ,20.02     ,-0.77 ,21.19 ,19.63 ,2235490   ,20.79     ,20.79 ,-3.70   ,1.82B     ,Utilities                 ,NASDAQ  ,--       , 
ZION  ,-3.70      ,46.54     ,+1.64 ,48.33 ,45.95 ,2174063   ,44.90     ,48.33 ,+3.65   ,9.09B     ,Financials                ,NGM/NGS ,22.56    , 
RUN   ,-3.65      ,5.54      ,-0.15 ,5.80  ,5.515 ,1002630   ,5.69      ,5.75  ,-2.64   ,590.72M   ,Industrials               ,NASDAQ  ,12.39    , 
VRX   ,-3.64      ,14.02     ,-0.36 ,14.58 ,14.00 ,17004184  ,14.38     ,14.55 ,-2.50   ,4.89B     ,Health Care               ,NYSE    ,--       , 
