Symbol,% Chg(Open),Last Trade,Change ,High  ,Low   ,Volume    ,Prev Close,Open  ,% Change,Market Cap,Sector                    ,Exchange,P/E (ttm), 
GRVY  ,-17.06     ,29.70     ,-6.11  ,36.50 ,29.30 ,95661     ,35.81     ,35.81 ,-17.06  ,124.42M   ,Information Technology    ,NCM     ,--       , 
CONN  ,-16.16     ,8.30      ,-1.25  ,9.90  ,8.30  ,815078    ,9.55      ,9.90  ,-13.09  ,294.70M   ,Consumer Discretionary    ,NGM/NGS ,--       , 
SDLP  ,-15.72     ,3.801     ,-0.869 ,4.58  ,3.80  ,3638041   ,4.67      ,4.51  ,-18.61  ,351.55M   ,Energy                    ,NYSE    ,1.77     , 
CNBX  ,-14.12     ,3.74      ,-0.55  ,4.46  ,3.61  ,1339670   ,4.29      ,4.355 ,-12.82  ,489.58M   ,Health Care               ,OTC     ,--       , 
CYBE  ,-13.75     ,27.60     ,-6.80  ,32.00 ,26.80 ,1145426   ,34.40     ,32.00 ,-19.77  ,236.74M   ,Information Technology    ,NCM     ,43.71    , 
RCAR  ,-12.94     ,3.70      ,-0.51  ,4.33  ,3.40  ,77560     ,4.21      ,4.25  ,-12.11  ,295.85M   ,Health Care               ,OTC     ,--       , 
APEI  ,-12.61     ,19.93     ,-4.22  ,22.95 ,19.35 ,158445    ,24.15     ,22.80 ,-17.49  ,388.72M   ,Consumer Discretionary    ,NASDAQ  ,14.41    , 
I     ,-11.26     ,4.49      ,-0.49  ,5.09  ,4.37  ,1370865   ,4.98      ,5.06  ,-9.84   ,586.64M   ,Telecommunication Services,NYSE    ,--       , 
CLNE  ,-9.93      ,2.72      ,+0.27  ,3.12  ,2.67  ,8390770   ,2.45      ,3.02  ,+11.02  ,335.26M   ,Energy                    ,NASDAQ  ,--       , 
JDST  ,-9.40      ,17.20     ,-0.14  ,19.10 ,16.42 ,16562679  ,17.34     ,18.98 ,-0.84   ,172.64M   ,--                        ,NYSE    ,--       , 
BW    ,-9.29      ,10.06     ,-6.44  ,11.50 ,9.43  ,5560929   ,16.50     ,11.09 ,-39.03  ,803.30M   ,Industrials               ,NYSE    ,--       , 
XOXO  ,-8.60      ,16.36     ,-2.07  ,17.90 ,14.99 ,642913    ,18.43     ,17.90 ,-11.23  ,487.66M   ,Information Technology    ,NYSE    ,73.48    , 
FRBA  ,-8.15      ,12.40     ,-1.15  ,13.75 ,12.30 ,67627     ,13.55     ,13.50 ,-8.49   ,115.45M   ,Financials                ,NASDAQ  ,22.21    , 
VSI   ,-7.84      ,21.15     ,-0.15  ,23.25 ,20.55 ,373043    ,21.30     ,22.95 ,-0.70   ,507.30M   ,Consumer Discretionary    ,NYSE    ,12.56    , 
AIOCF ,-7.84      ,11.77     ,+0.45  ,12.82 ,11.77 ,5750      ,11.32     ,12.77 ,+3.97   ,498.09M   ,Information Technology    ,OTC     ,79.10    , 
GTYHU ,-7.77      ,10.48     ,+0.03  ,11.36 ,10.44 ,3399      ,10.45     ,11.36 ,+0.28   ,576.84M   ,--                        ,NASDAQ  ,--       , 
