Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                    ,Exchange,Description              ,Sub-Industry                       ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm) ,EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin  ,Sales per Employee,Change ,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap   ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow , 
RRD   ,-6.58      ,12.78     ,930197    ,--       ,953.94M   ,101            ,+1.25                     ,19.12     ,14.68     ,-1.11,-99.72      ,1.02                   ,-30.43            ,38.94                  ,15.74                  ,Commercial Services & Supplies              ,NYSE    ,DONNELLEY (R R) & SONS CO,Commercial Printing                ,0.56    ,13.65         ,12.77 ,100     ,2166116      ,1443457     ,42.94                   ,64.44                  ,No        ,13.68 ,13.75 ,12.78 ,90.07                 ,1888227       ,1270833    ,49.26                    ,73.20                 ,No                ,Industrials           ,4.10          ,13.65     ,12.77 ,500     ,1791842     ,22.02                     ,51.91                  ,29.52M         ,Yes                 ,D  ,***      ,B-                 ,33.33          ,33.33                 ,--              ,--                     ,33.33           ,3                 ,2.67              ,-494.60M  ,6.90B  ,-494.60M,69.89M            ,-7.09    ,-7.09     ,2.20      ,0.97        ,1.77      ,3.45      ,-10.83    ,5.75                        ,-7.19     ,155.45            ,-0.87  ,-4.09                  ,-13.29                     ,-7.74                  ,-18.51                  ,-44.58               ,-1.92                ,-28.38               ,+2.12     ,13.85        ,18.51    ,14.33                  ,13.14     ,14.80    ,98.98                   ,16.89                        ,-6.37   ,+0.03 ,-3.65                  ,-0.06                 ,-2.46                  ,-36.19                   ,-15.71               ,-40.56               ,-2.81                ,-171.44           ,2               ,14.34     ,18.51   ,13.51       ,13.14   ,2.03                 ,0.97           ,-0.90    ,+0.22,+0.17                   ,-2.09                    ,-15.28                   ,-3.10                 ,-41.63               ,+6.42                ,-32.79               ,-8.55             ,18.51      ,28.08     ,13.14    ,13.14  ,0.98         ,7.00             ,-0.01         ,-0.08             ,--                   ,--                       ,--              ,-2580.48     ,14.02                ,0.14     ,13.94     ,16.65     ,18.38      ,15.10     ,19.96      ,24.35                ,32.10     ,44.48                   ,0.28 ,19.64               ,-3.85                     ,-4.24          ,16.63     ,31.39      ,14.94     ,16.51     ,21.57      ,30.70     ,33.54                ,66.10         ,5.87 ,-0.82      ,-3.81          ,-3.95                     ,15.74     ,16.85      ,17.04     ,33.25                ,9.08                    ,8.35    ,11.84                  ,-4.79          ,-2.97                     ,-8894.33   , 
SPWR  ,-6.46      ,6.52      ,5035008   ,--       ,967.79M   ,66             ,+0.09                     ,29.17     ,7.33      ,-0.18,-99.25      ,4.08                   ,-44.01            ,21.89                  ,7.85                   ,Semiconductors & Semiconductor Equipment    ,NCM     ,SUNPOWER CORP            ,Semiconductors                     ,--      ,6.98          ,6.52  ,2400    ,3080030      ,3111208     ,163.47                  ,161.83                 ,No        ,6.97  ,6.99  ,6.53  ,31.19                 ,3985799       ,3212551    ,126.32                   ,156.73                ,No                ,Information Technology,--            ,6.98      ,6.50  ,700     ,4103414     ,141.09                    ,122.70                 ,21.80M         ,No                  ,D  ,***      ,C                  ,15.00          ,5.00                  ,75.00           ,5.00                   ,--              ,20                ,2.70              ,-543.84M  ,2.56B  ,-543.84M,138.65M           ,-3.41    ,-3.41     ,-1.39     ,-0.82       ,1.55      ,0.70      ,-3.01     ,-8.06                       ,-18.40    ,287.53            ,-0.46  ,-2.34                  ,-11.04                     ,-0.5822                ,-5.07                   ,-78.82               ,-10.63               ,-50.03               ,+2.74     ,7.34         ,9.19     ,18.01                  ,6.65      ,6.00     ,95.92                   ,15.56                        ,-6.59   ,-0.01 ,-0.19                  ,-0.08                 ,-0.8518                ,-7.70                    ,+5.60                ,-78.02               ,+29.59               ,-44.27            ,2               ,7.47      ,9.19    ,6.98        ,6.53    ,-0.50                ,0.47           ,-0.45    ,-0.14,+0.006                  ,-0.866                   ,-10.88                   ,-0.3729               ,-71.79               ,-40.85               ,-12.05               ,-11.54            ,9.19       ,25.00     ,6.81     ,6.19   ,0.49         ,17.00            ,-0.02         ,-0.09             ,--                   ,--                       ,1.01            ,151.09       ,--                   ,0.38     ,7.14      ,7.36      ,7.46       ,7.40      ,7.95       ,36.37                ,43.93     ,32.00                   ,0.75 ,9.40                ,0.22                      ,-0.83          ,7.29      ,9.64       ,7.53      ,7.44      ,8.34       ,42.64     ,45.71                ,34.42         ,9.29 ,-0.02      ,-0.47          ,-0.54                     ,7.85      ,7.22       ,7.48      ,45.78                ,15.61                   ,11.92   ,6.29                   ,-1.37          ,0.11                      ,-19099.48  , 
CMRE  ,-6.38      ,6.525     ,900036    ,8.88     ,637.33M   ,51             ,+5.02                     ,56.62     ,6.40      ,0.19 ,-53.50      ,5.00                   ,-1.79             ,30.46                  ,6.29                   ,Marine                                      ,NYSE    ,COSTAMARE INC            ,Marine                             ,0.40    ,6.97          ,6.52  ,1300    ,1008419      ,722458      ,89.25                   ,124.58                 ,No        ,6.97  ,7.00  ,6.53  ,18.64                 ,927672        ,902741     ,97.02                    ,99.70                 ,No                ,Industrials           ,5.70          ,6.97      ,6.50  ,1100    ,887054      ,56.57                     ,101.46                 ,6.78M          ,No                  ,C  ,--       ,--                 ,12.50          ,25.00                 ,50.00           ,12.50                  ,--              ,8                 ,2.63              ,81.70M    ,468.19M,81.70M  ,91.44M            ,0.79     ,0.79      ,1.68      ,0.90        ,1.38      ,1.36      ,1.20      ,5.00                        ,17.45     ,234.09            ,-0.445 ,+0.405                 ,+10.74                     ,+0.2631                ,+15.81                  ,-54.97               ,-34.41               ,-34.11               ,+2.07     ,7.06         ,7.06     ,4.00                   ,5.97      ,5.07     ,95.00                   ,-2.64                        ,-6.38   ,0.00  ,+0.865                 ,+0.03                 ,+0.7155                ,+3.92                    ,+26.51               ,-57.52               ,+7.82                ,+8.02             ,4               ,7.06      ,7.06    ,6.88        ,5.97    ,-1.43                ,0.475          ,-0.445   ,0.00 ,+0.333                  ,+0.6763                  ,+11.44                   ,+0.9513               ,-18.83               ,-41.25               ,-28.46               ,+3.15             ,7.06       ,11.00     ,6.07     ,5.07   ,0.50         ,68.00            ,-0.025        ,0.38              ,--                   ,8.88                     ,0.59            ,110.53       ,7.75                 ,1.36     ,6.42      ,6.02      ,6.45       ,6.32      ,6.46       ,78.82                ,50.53     ,19.01                   ,46.50,6.79                ,0.92                      ,0.83           ,5.99      ,7.50       ,6.35      ,6.18      ,6.62       ,54.09     ,53.84                ,26.69         ,78.76,0.15       ,0.39           ,1.27                      ,6.29      ,6.17       ,6.20      ,60.66                ,32.86                   ,87.86   ,5.80                   ,0.48           ,0.89                      ,-250.54    , 
VNET  ,-6.32      ,5.48      ,689430    ,--       ,660.54M   ,44             ,+4.74                     ,29.03     ,6.14      ,-0.47,-86.85      ,5.13                   ,-37.59            ,34.10                  ,6.56                   ,Internet Software & Services                ,NASDAQ  ,21VIANET GROUP INC       ,Internet Software & Services       ,--      ,5.83          ,5.48  ,900     ,1175067      ,720090      ,58.67                   ,95.74                  ,No        ,5.85  ,5.85  ,5.49  ,23.59                 ,789030        ,612320     ,87.38                    ,112.59                ,No                ,Information Technology,--            ,5.83      ,5.46  ,1600    ,769569      ,112.70                    ,89.59                  ,6.50M          ,No                  ,-- ,--       ,--                 ,--             ,--                    ,100.00          ,--                     ,--              ,2                 ,3.00              ,-140.44M  ,548.79M,-140.44M,113.3M            ,-1.24    ,-1.24     ,-0.77     ,-0.34       ,-0.80     ,-0.12     ,0.14      ,20.00                       ,-3.38     ,--                ,-0.35  ,-1.75                  ,-11.08                     ,-1.5736                ,-16.90                  ,-66.10               ,-47.71               ,-50.21               ,+1.31     ,5.85         ,7.70     ,15.27                  ,5.20      ,6.77     ,94.87                   ,15.12                        ,-6.00   ,+0.02 ,-1.58                  ,-0.04                 ,-0.8986                ,-21.25                   ,-16.83               ,-79.03               ,-7.90                ,-19.23            ,0               ,5.85      ,7.70    ,5.60        ,5.20    ,1.31                 ,0.37           ,-0.37    ,+0.34,+0.264                  ,-0.7265                  ,-13.36                   ,-1.186                ,-70.78               ,-34.35               ,-22.01               ,-8.38             ,7.46       ,21.12     ,5.20     ,5.20   ,0.39         ,2.00             ,-0.02         ,-0.20             ,--                   ,--                       ,1.43            ,11.75        ,--                   ,1.20     ,5.88      ,6.97      ,7.28       ,6.32      ,7.41       ,34.69                ,37.44     ,37.47                   ,13.15,8.16                ,-1.65                     ,-1.84          ,6.99      ,8.33       ,6.31      ,6.83      ,7.72       ,34.29     ,39.20                ,56.71         ,22.14,-0.35      ,-1.56          ,-1.49                     ,6.56      ,7.21       ,6.93      ,37.03                ,10.35                   ,19.69   ,4.95                   ,-1.91          ,-1.23                     ,-5663.42   , 
STNG  ,-6.08      ,4.405     ,2174726   ,--       ,831.24M   ,44             ,+10.83                    ,59.70     ,4.16      ,0.08 ,-36.32      ,8.06                   ,26.98             ,20.22                  ,4.08                   ,Oil Gas & Consumable Fuels                  ,NYSE    ,SCORPIO TANKERS INC      ,Oil & Gas Storage & Transportation ,0.04    ,4.76          ,4.40  ,3200    ,3585452      ,3009169     ,60.65                   ,72.27                  ,No        ,4.69  ,4.69  ,4.41  ,77.98                 ,2833051       ,3196574    ,76.76                    ,68.03                 ,No                ,Energy                ,0.80          ,4.76      ,4.38  ,3200    ,2942000     ,29.37                     ,73.92                  ,15.89M         ,No                  ,D  ,--       ,--                 ,42.86          ,28.57                 ,21.43           ,7.14                   ,--              ,14                ,1.93              ,-24.90M   ,522.75M,-24.90M ,174.63M           ,-0.15    ,-0.15     ,1.20      ,0.23        ,0.30      ,0.11      ,-0.64     ,98.89                       ,-4.76     ,--                ,-0.355 ,+0.505                 ,+16.59                     ,+0.4593                ,+15.09                  ,-39.45               ,-16.95               ,-30.71               ,+1.89     ,4.79         ,4.79     ,2.01                   ,3.73      ,3.50     ,91.94                   ,-8.17                        ,-7.46   ,-0.07 ,-0.225                 ,+0.10                 ,+0.6632                ,+10.68                   ,+5.32                ,-45.29               ,-8.77                ,-1.83             ,0               ,4.79      ,4.93    ,4.34        ,3.73    ,-0.88                ,0.285          ,-0.285   ,-1.47,+0.465                  ,+0.6773                  ,+16.19                   ,+0.624                ,-17.56               ,-30.20               ,-16.68               ,-0.74             ,4.79       ,6.70      ,3.89     ,3.50   ,0.31         ,13.00            ,-0.025        ,-1.31             ,--                   ,--                       ,0.59            ,116.31       ,20.70                ,1.59     ,4.14      ,4.10      ,4.25       ,4.13      ,4.26       ,77.29                ,51.33     ,13.82                   ,63.68,4.56                ,0.58                      ,-0.23          ,4.19      ,4.49       ,4.05      ,4.13      ,4.33       ,53.67     ,54.69                ,46.86         ,86.46,0.01       ,0.08           ,0.22                      ,4.08      ,4.18       ,4.15      ,59.50                ,38.20                   ,74.62   ,3.60                   ,0.11           ,0.43                      ,10321.20   , 
FSLR  ,-5.95      ,30.21     ,6578902   ,--       ,3.31B     ,241            ,-0.58                     ,30.67     ,32.85     ,-0.63,-93.03      ,20.73                  ,-55.51            ,17.76                  ,34.04                  ,Semiconductors & Semiconductor Equipment    ,NASDAQ  ,FIRST SOLAR INC          ,Semiconductors                     ,--      ,31.83         ,30.21 ,700     ,5494378      ,3117531     ,119.74                  ,211.03                 ,Yes       ,32.12 ,32.12 ,30.22 ,69.08                 ,4304390       ,2756060    ,152.84                   ,238.71                ,No                ,Information Technology,--            ,31.83     ,29.71 ,200     ,4150106     ,35.55                     ,158.52                 ,176.42M        ,No                  ,D  ,***      ,B-                 ,17.39          ,8.70                  ,56.52           ,8.70                   ,8.70            ,23                ,2.83              ,-357.96M  ,2.95B  ,-357.96M,104.05M           ,-3.48    ,-3.48     ,5.37      ,0.34        ,3.90      ,3.67      ,-1.11     ,-31.79                      ,-12.13    ,546.54            ,-1.62  ,-6.33                  ,-6.50                      ,-2.89                  ,-5.36                   ,-47.38               ,+9.46                ,-27.11               ,+2.17     ,33.25        ,38.50    ,42.17                  ,31.81     ,28.60    ,79.27                   ,9.84                         ,-5.09   ,+0.29 ,-2.40                  ,-0.08                 ,-2.46                  ,-8.34                    ,-0.81                ,-43.68               ,+19.36               ,-6.65             ,0               ,34.04     ,38.50   ,31.81       ,31.81   ,-1.11                ,1.91           ,-1.91    ,+0.91,-0.19                   ,-2.21                    ,-7.16                    ,-1.80                 ,-56.52               ,+19.62               ,-4.31                ,-5.05             ,38.50      ,74.29     ,31.81    ,30.34  ,2.41         ,25.00            ,-0.50         ,-0.39             ,--                   ,--                       ,0.65            ,3.72         ,92.92                ,1.12     ,32.31     ,33.55     ,34.56      ,33.09     ,34.73      ,38.25                ,44.07     ,33.40                   ,6.97 ,38.30               ,-2.28                     ,-4.26          ,33.48     ,38.05      ,33.18     ,33.53     ,35.48      ,42.40     ,46.00                ,30.93         ,8.31 ,-0.24      ,-4.54          ,-3.14                     ,34.04     ,33.57      ,33.67     ,45.55                ,17.62                   ,10.77   ,29.78                  ,-4.63          ,-2.59                     ,-27846.71  , 
HCLP  ,-5.71      ,15.70     ,924962    ,--       ,1.40B     ,24             ,+3.43                     ,35.71     ,16.90     ,-0.98,-63.16      ,20.83                  ,7.26              ,29.32                  ,17.55                  ,Metals & Mining                             ,NYSE    ,HI-CRUSH PARTNERS LP     ,Diversified Metals & Mining        ,--      ,16.65         ,15.70 ,2000    ,1395005      ,1032955     ,66.31                   ,89.55                  ,No        ,16.65 ,16.65 ,15.75 ,34.78                 ,3128657       ,1598614    ,29.56                    ,57.86                 ,No                ,Materials             ,--            ,16.64     ,15.45 ,500     ,2882252     ,118.19                    ,32.09                  ,22.16M         ,No                  ,NC ,--       ,--                 ,62.50          ,12.50                 ,25.00           ,--                     ,--              ,8                 ,1.63              ,-81.13M   ,204.43M,-81.13M ,84.2M             ,-1.64    ,-1.64     ,0.69      ,0.52        ,3.44      ,2.08      ,0.64      ,20.00                       ,-39.64    ,--                ,-0.94  ,-1.75                  ,-5.21                      ,-1.10                  ,-12.45                  ,-47.81               ,0.00                 ,+97.25               ,+1.06     ,16.89        ,23.30    ,6.65                   ,13.95     ,4.25     ,79.17                   ,7.02                         ,-5.65   ,+0.01 ,-4.60                  ,+0.01                 ,-1.47                  ,-6.21                    ,-15.91               ,-54.06               ,-5.75                ,-38.23            ,0               ,16.89     ,23.30   ,16.25       ,13.95   ,-11.20               ,0.95           ,-0.95    ,+0.06,+0.55                   ,-0.91                    ,-8.13                    ,-2.37                 ,+160.16              ,+8.20                ,+25.00               ,-15.26            ,23.30      ,23.30     ,13.95    ,13.95  ,1.20         ,9.00             ,-0.25         ,-0.43             ,--                   ,--                       ,3.79            ,66.05        ,32.08                ,6.86     ,16.28     ,18.85     ,18.01      ,17.28     ,17.78      ,42.52                ,45.65     ,35.29                   ,36.84,21.25               ,-4.36                     ,-3.05          ,19.01     ,16.00      ,16.80     ,18.20     ,17.44      ,41.75     ,47.46                ,40.90         ,47.30,-0.86      ,-3.60          ,-1.66                     ,17.55     ,18.28      ,18.22     ,44.39                ,14.80                   ,45.86   ,13.86                  ,-5.60          ,-2.00                     ,2202.15    , 
BKE   ,-5.59      ,17.75     ,337133    ,9.29     ,916.54M   ,27             ,+1.14                     ,36.23     ,18.75     ,-0.66,-66.67      ,--                     ,8.55              ,31.42                  ,19.01                  ,Specialty Retail                            ,NYSE    ,BUCKLE INC               ,Apparel Retail                     ,1.75    ,18.85         ,17.75 ,1500    ,737273       ,523607      ,45.73                   ,64.39                  ,No        ,18.80 ,18.95 ,17.80 ,60.71                 ,731995        ,593834     ,46.06                    ,56.77                 ,No                ,Consumer Discretionary,9.30          ,18.85     ,17.75 ,1400    ,708330      ,43.70                     ,47.60                  ,13.81M         ,Yes                 ,D  ,***      ,B+                 ,--             ,--                    ,75.00           ,--                     ,25.00           ,4                 ,3.50              ,97.96M    ,974.87M,97.96M  ,48.62M            ,2.03     ,2.03      ,3.06      ,1.78        ,3.38      ,3.39      ,3.44      ,9.00                        ,10.05     ,--                ,-1.10  ,-2.39                  ,-0.87                      ,-3.38                  ,-8.38                   ,-56.14               ,-43.88               ,-14.30               ,+1.13     ,19.05        ,21.68    ,16.07                  ,16.50     ,17.75    ,100.00                  ,4.25                         ,-5.84   ,-0.05 ,-5.40                  ,-0.04                 ,-0.51                  ,-15.20                   ,-13.56               ,-49.21               ,-17.97               ,+23.24            ,2               ,19.20     ,24.07   ,18.45       ,16.50   ,0.00                 ,1.20           ,-1.05    ,-0.27,+0.21                   ,-0.16                    ,-2.65                    ,-1.72                 ,-39.66               ,-50.47               ,-18.52               ,+17.00            ,21.55      ,35.02     ,17.70    ,16.50  ,1.20         ,2.00             ,0.00          ,0.40              ,--                   ,9.29                     ,2.11            ,--           ,10.60                ,0.94     ,18.30     ,20.36     ,21.93      ,18.99     ,21.51      ,46.95                ,41.63     ,24.73                   ,33.33,21.23               ,-2.20                     ,-6.55          ,20.79     ,23.48      ,18.50     ,20.21     ,21.95      ,39.79     ,43.74                ,37.95         ,51.14,-0.72      ,-3.40          ,-4.60                     ,19.01     ,21.88      ,20.52     ,43.21                ,11.12                   ,54.49   ,16.80                  ,-3.10          ,-2.20                     ,921.01     , 
SSW   ,-5.32      ,6.59      ,1196149   ,--       ,732.79M   ,50             ,+2.06                     ,29.92     ,7.13      ,-0.45,-98.72      ,6.82                   ,-31.55            ,31.03                  ,7.38                   ,Marine                                      ,NYSE    ,SEASPAN CORP             ,Marine                             ,1.50    ,6.92          ,6.59  ,1200    ,1570428      ,929287      ,76.17                   ,128.72                 ,No        ,6.96  ,7.00  ,6.60  ,13.52                 ,1428753       ,1379710    ,83.72                    ,86.70                 ,No                ,Industrials           ,21.70         ,6.92      ,6.56  ,1900    ,1425041     ,43.27                     ,83.94                  ,10.78M         ,No                  ,NC ,--       ,--                 ,7.69           ,--                    ,61.54           ,15.38                  ,15.38           ,13                ,3.31              ,-139.04M  ,877.90M,-139.04M,105.89M           ,-1.89    ,-1.89     ,1.46      ,0.72        ,0.79      ,2.93      ,0.81      ,11.30                       ,-15.84    ,199.52            ,-0.33  ,-0.72                  ,-6.27                      ,-3.2817                ,-19.67                  ,-54.65               ,-46.94               ,-42.85               ,+0.71     ,7.07         ,8.91     ,13.00                  ,6.60      ,6.62     ,93.18                   ,9.75                         ,-4.77   ,+0.04 ,-2.69                  ,-0.05                 ,-0.6009                ,-32.17                   ,-21.62               ,-59.87               ,-9.52                ,-7.89             ,1               ,7.21      ,11.76   ,6.81        ,6.60    ,0.06                 ,0.41           ,-0.37    ,+0.58,+0.14                   ,-0.463                   ,-7.99                    ,-1.694                ,-60.58               ,-52.17               ,-42.38               ,-2.37             ,8.91       ,20.00     ,6.65     ,6.60   ,0.44         ,3.00             ,-0.03         ,-0.16             ,--                   ,--                       ,0.45            ,173.36       ,9.57                 ,0.83     ,6.87      ,8.51      ,9.80       ,7.30      ,9.31       ,36.35                ,37.72     ,37.63                   ,1.28 ,8.46                ,-0.93                     ,-2.39          ,8.62      ,11.69      ,7.23      ,8.14      ,9.73       ,36.28     ,38.87                ,32.98         ,8.07 ,-0.44      ,-4.45          ,-2.24                     ,7.38      ,9.12       ,8.38      ,38.17                ,18.97                   ,9.04    ,6.30                   ,-1.57          ,-4.03                     ,-7204.89   , 
ASNA  ,-5.28      ,3.95      ,1787532   ,--       ,812.89M   ,30             ,+1.88                     ,27.90     ,4.32      ,-0.28,-99.40      ,--                     ,-4.12             ,28.24                  ,4.49                   ,Specialty Retail                            ,NGM/NGS ,ASCENA RETAIL GROUP INC  ,Apparel Retail                     ,--      ,4.17          ,3.95  ,11400   ,3883638      ,4343712     ,46.03                   ,41.15                  ,No        ,4.17  ,4.18  ,3.96  ,72.49                 ,3883640       ,3657556    ,46.03                    ,48.87                 ,No                ,Consumer Discretionary,--            ,4.17      ,3.95  ,9900    ,3726802     ,32.71                     ,47.96                  ,16.00M         ,Yes                 ,B  ,--       ,C                  ,18.18          ,--                    ,72.73           ,--                     ,9.09            ,11                ,2.82              ,-11.90M   ,7.00B  ,-11.90M ,194.94M           ,0.04     ,-0.06     ,-1.46     ,0.38        ,0.81      ,0.93      ,1.02      ,20.00                       ,-0.17     ,170.62            ,-0.22  ,-0.77                  ,-7.06                      ,-1.5302                ,-15.95                  ,-69.67               ,-80.80               ,-36.29               ,+1.84     ,4.25         ,5.46     ,7.08                   ,3.99      ,4.27     ,100.00                  ,9.21                         ,-5.28   ,0.00  ,-2.35                  ,-0.03                 ,-0.4364                ,-26.84                   ,-32.63               ,-76.74               ,-23.84               ,+0.43             ,1               ,4.26      ,6.61    ,4.09        ,3.99    ,0.32                 ,0.23           ,-0.22    ,0.00 ,+0.077                  ,-0.3168                  ,-9.47                    ,-0.7912               ,-60.06               ,-78.43               ,-43.49               ,+0.15             ,5.21       ,11.26     ,3.99     ,3.99   ,0.23         ,1.00             ,0.00          ,4.92              ,--                   ,--                       ,--              ,85.57        ,10.86                ,0.12     ,4.21      ,4.86      ,5.54       ,4.42      ,5.46       ,34.45                ,39.83     ,26.22                   ,0.60 ,5.21                ,-0.88                     ,-3.17          ,5.11      ,6.35       ,4.31      ,4.90      ,5.65       ,36.61     ,41.01                ,30.92         ,11.37,-0.25      ,-0.93          ,-2.94                     ,4.49      ,5.58       ,5.03      ,38.63                ,13.84                   ,12.09   ,3.77                   ,-1.16          ,-0.67                     ,-2466.06   , 
