Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                    ,Exchange,Description              ,Sub-Industry                       ,Dividend,Reported Close,Bid  ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open ,High  ,Ask  ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low  ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm) ,EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change ,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap   ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow , 
CMCM  ,-8.26      ,12.11     ,2081500   ,--       ,478.31M   ,86             ,+2.53                     ,62.56     ,11.55     ,0.75 ,-40.19      ,2.89                   ,34.55             ,27.60                  ,10.82                  ,Software                                    ,NYSE    ,CHEETAH MOBILE INC  -ADR ,Systems Software                   ,--      ,13.07         ,12.11,400     ,1634518      ,539935      ,127.35                  ,385.51                 ,No        ,13.20,13.79 ,12.12,9.69                  ,779075        ,571049     ,267.18                   ,364.50                ,No                ,Information Technology,--            ,13.07     ,12.06,1400    ,735557      ,194.47                    ,282.98                 ,20.89M         ,No                  ,-- ,--       ,--                 ,28.57          ,--                    ,42.86           ,14.29                  ,14.29           ,7                 ,2.86              ,27.26M    ,586.38M,27.26M  ,36.6M             ,-0.09    ,0.20      ,0.08      ,1.45        ,0.09      ,0.01      ,-0.05     ,57.00                       ,0.76    ,272.61            ,-0.96  ,+2.10                  ,+20.82                     ,+2.34                  ,+27.63                  ,-28.54               ,0.00                 ,-7.06                ,+3.04     ,13.40        ,13.40    ,4.40                   ,9.36      ,8.77     ,97.11                   ,-7.66                        ,-7.35   ,+0.13 ,+2.53                  ,-0.04                 ,+2.42                  ,+21.75                   ,+36.72               ,0.00                 ,-1.48                ,-2.56             ,27              ,13.40     ,13.40   ,12.76       ,9.36    ,-3.29                ,1.68           ,-1.09    ,+0.99,+0.32                   ,+2.25                    ,+22.74                   ,+2.83                 ,-22.75               ,0.00                 ,-22.16               ,-1.52             ,13.40      ,18.19     ,11.15    ,9.31   ,1.73         ,89.00            ,-0.05         ,-6.13             ,--                   ,66.34                    ,5.70            ,0.35         ,9.04                 ,0.82     ,11.77     ,10.32     ,10.53      ,11.27     ,10.60      ,86.17                ,56.47     ,15.26                   ,59.81,13.47               ,3.07                      ,2.78           ,10.17     ,10.78      ,11.18     ,10.61     ,10.71      ,60.66     ,61.41                ,37.89         ,82.51,0.49       ,2.10           ,3.67                      ,10.82     ,10.17      ,10.55     ,69.52                ,33.88                   ,89.90   ,8.17                   ,2.09           ,3.13                      ,5365.40    , 
RRD   ,-6.51      ,12.79     ,936644    ,--       ,953.94M   ,101            ,+1.25                     ,19.15     ,14.68     ,-1.11,-99.62      ,2.04                   ,-30.42            ,38.94                  ,15.74                  ,Commercial Services & Supplies              ,NYSE    ,DONNELLEY (R R) & SONS CO,Commercial Printing                ,0.56    ,13.65         ,12.78,300     ,2166116      ,1443457     ,43.24                   ,64.89                  ,No        ,13.68,13.75 ,12.79,90.07                 ,1888227       ,1270833    ,49.60                    ,73.70                 ,No                ,Industrials           ,4.10          ,13.65     ,12.77,300     ,1791842     ,22.17                     ,52.27                  ,29.52M         ,Yes                 ,D  ,***      ,B-                 ,33.33          ,33.33                 ,--              ,--                     ,33.33           ,3                 ,2.67              ,-494.60M  ,6.90B  ,-494.60M,69.89M            ,-7.09    ,-7.09     ,2.20      ,0.97        ,1.77      ,3.45      ,-10.83    ,5.75                        ,-7.19   ,155.45            ,-0.86  ,-4.08                  ,-13.29                     ,-7.74                  ,-18.51                  ,-44.58               ,-1.92                ,-28.38               ,+2.12     ,13.85        ,18.51    ,14.33                  ,13.14     ,14.80    ,97.96                   ,16.80                        ,-6.30   ,+0.03 ,-3.64                  ,-0.06                 ,-2.46                  ,-36.19                   ,-15.71               ,-40.56               ,-2.81                ,-171.44           ,2               ,14.34     ,18.51   ,13.51       ,13.14   ,2.03                 ,0.96           ,-0.89    ,+0.22,+0.17                   ,-2.09                    ,-15.28                   ,-3.10                 ,-41.63               ,+6.42                ,-32.79               ,-8.55             ,18.51      ,28.08     ,13.14    ,13.14  ,0.98         ,7.00             ,-0.02         ,-0.08             ,--                   ,--                       ,--              ,-2580.48     ,14.02                ,0.14     ,13.94     ,16.65     ,18.38      ,15.10     ,19.96      ,24.35                ,32.11     ,44.48                   ,0.38 ,19.64               ,-3.85                     ,-4.23          ,16.63     ,31.39      ,14.94     ,16.51     ,21.57      ,30.71     ,33.54                ,66.10         ,5.90 ,-0.82      ,-3.80          ,-3.95                     ,15.74     ,16.85      ,17.04     ,33.25                ,9.08                    ,8.36    ,11.84                  ,-4.78          ,-2.97                     ,-8893.25   , 
CMRE  ,-6.31      ,6.53      ,901236    ,8.88     ,637.33M   ,51             ,+5.00                     ,56.80     ,6.40      ,0.19 ,-53.00      ,6.00                   ,-1.66             ,30.46                  ,6.29                   ,Marine                                      ,NYSE    ,COSTAMARE INC            ,Marine                             ,0.40    ,6.97          ,6.52 ,1300    ,1008419      ,722458      ,89.37                   ,124.75                 ,No        ,6.97 ,7.00  ,6.53 ,18.64                 ,927672        ,902741     ,97.15                    ,99.83                 ,No                ,Industrials           ,5.70          ,6.97      ,6.50 ,1100    ,887054      ,56.64                     ,101.60                 ,6.78M          ,No                  ,C  ,--       ,--                 ,12.50          ,25.00                 ,50.00           ,12.50                  ,--              ,8                 ,2.63              ,81.70M    ,468.19M,81.70M  ,91.44M            ,0.79     ,0.79      ,1.68      ,0.90        ,1.38      ,1.36      ,1.20      ,5.00                        ,17.45   ,234.09            ,-0.44  ,+0.41                  ,+10.74                     ,+0.2631                ,+15.81                  ,-54.97               ,-34.41               ,-34.11               ,+2.07     ,7.06         ,7.06     ,4.00                   ,5.97      ,5.07     ,94.00                   ,-2.71                        ,-6.31   ,0.00  ,+0.87                  ,+0.03                 ,+0.7155                ,+3.92                    ,+26.51               ,-57.52               ,+7.82                ,+8.02             ,4               ,7.06      ,7.06    ,6.88        ,5.97    ,-1.43                ,0.47           ,-0.44    ,0.00 ,+0.332                  ,+0.676                   ,+11.44                   ,+0.9513               ,-18.83               ,-41.25               ,-28.46               ,+3.15             ,7.06       ,11.00     ,6.07     ,5.07   ,0.50         ,68.00            ,-0.03         ,0.38              ,--                   ,8.88                     ,0.59            ,110.53       ,7.75                 ,1.36     ,6.43      ,6.02      ,6.45       ,6.32      ,6.46       ,78.82                ,50.56     ,19.01                   ,47.00,6.79                ,0.92                      ,0.83           ,5.99      ,7.50       ,6.35      ,6.18      ,6.62       ,54.16     ,53.84                ,26.69         ,78.93,0.15       ,0.39           ,1.27                      ,6.29      ,6.17       ,6.20      ,60.66                ,32.86                   ,87.92   ,5.80                   ,0.48           ,0.89                      ,-233.59    , 
STNG  ,-6.08      ,4.405     ,2175031   ,--       ,831.24M   ,44             ,+10.83                    ,59.70     ,4.16      ,0.08 ,-36.32      ,8.06                   ,26.98             ,20.22                  ,4.08                   ,Oil Gas & Consumable Fuels                  ,NYSE    ,SCORPIO TANKERS INC      ,Oil & Gas Storage & Transportation ,0.04    ,4.76          ,4.40 ,6200    ,3585452      ,3009169     ,60.66                   ,72.28                  ,No        ,4.69 ,4.69  ,4.41 ,77.98                 ,2833051       ,3196574    ,76.77                    ,68.04                 ,No                ,Energy                ,0.80          ,4.76      ,4.38 ,2700    ,2942000     ,29.37                     ,73.93                  ,15.89M         ,No                  ,D  ,--       ,--                 ,42.86          ,28.57                 ,21.43           ,7.14                   ,--              ,14                ,1.93              ,-24.90M   ,522.75M,-24.90M ,174.63M           ,-0.15    ,-0.15     ,1.20      ,0.23        ,0.30      ,0.11      ,-0.64     ,98.89                       ,-4.76   ,--                ,-0.355 ,+0.505                 ,+16.59                     ,+0.4593                ,+15.09                  ,-39.45               ,-16.95               ,-30.71               ,+1.89     ,4.79         ,4.79     ,2.01                   ,3.73      ,3.50     ,91.94                   ,-8.17                        ,-7.46   ,-0.07 ,-0.225                 ,+0.10                 ,+0.6632                ,+10.68                   ,+5.32                ,-45.29               ,-8.77                ,-1.83             ,0               ,4.79      ,4.93    ,4.34        ,3.73    ,-0.88                ,0.285          ,-0.285   ,-1.47,+0.465                  ,+0.6773                  ,+16.19                   ,+0.624                ,-17.56               ,-30.20               ,-16.68               ,-0.74             ,4.79       ,6.70      ,3.89     ,3.50   ,0.31         ,13.00            ,-0.025        ,-1.31             ,--                   ,--                       ,0.59            ,116.31       ,20.70                ,1.59     ,4.14      ,4.10      ,4.25       ,4.13      ,4.26       ,77.29                ,51.33     ,13.82                   ,63.68,4.56                ,0.58                      ,-0.23          ,4.19      ,4.49       ,4.05      ,4.13      ,4.33       ,53.67     ,54.69                ,46.86         ,86.46,0.01       ,0.08           ,0.22                      ,4.08      ,4.18       ,4.15      ,59.50                ,38.20                   ,74.62   ,3.60                   ,0.11           ,0.43                      ,10320.95   , 
HCLP  ,-5.66      ,15.71     ,926982    ,--       ,1.40B     ,24             ,+3.42                     ,35.75     ,16.90     ,-0.98,-63.01      ,21.41                  ,7.29              ,29.32                  ,17.55                  ,Metals & Mining                             ,NYSE    ,HI-CRUSH PARTNERS LP     ,Diversified Metals & Mining        ,--      ,16.65         ,15.70,1600    ,1395005      ,1032955     ,66.45                   ,89.74                  ,No        ,16.65,16.65 ,15.75,34.78                 ,3128657       ,1598614    ,29.63                    ,57.99                 ,No                ,Materials             ,--            ,16.64     ,15.45,700     ,2882252     ,118.45                    ,32.16                  ,22.16M         ,No                  ,NC ,--       ,--                 ,62.50          ,12.50                 ,25.00           ,--                     ,--              ,8                 ,1.63              ,-81.13M   ,204.43M,-81.13M ,84.2M             ,-1.64    ,-1.64     ,0.69      ,0.52        ,3.44      ,2.08      ,0.64      ,20.00                       ,-39.64  ,--                ,-0.93  ,-1.74                  ,-5.21                      ,-1.10                  ,-12.45                  ,-47.81               ,0.00                 ,+97.25               ,+1.06     ,16.89        ,23.30    ,6.65                   ,13.95     ,4.25     ,78.59                   ,6.98                         ,-5.61   ,+0.01 ,-4.59                  ,+0.01                 ,-1.47                  ,-6.21                    ,-15.91               ,-54.06               ,-5.75                ,-38.23            ,0               ,16.89     ,23.30   ,16.25       ,13.95   ,-11.20               ,0.94           ,-0.94    ,+0.06,+0.55                   ,-0.91                    ,-8.13                    ,-2.37                 ,+160.16              ,+8.20                ,+25.00               ,-15.26            ,23.30      ,23.30     ,13.95    ,13.95  ,1.20         ,9.00             ,-0.26         ,-0.43             ,--                   ,--                       ,3.79            ,66.05        ,32.08                ,6.86     ,16.28     ,18.85     ,18.01      ,17.28     ,17.78      ,42.52                ,45.66     ,35.29                   ,36.99,21.25               ,-4.36                     ,-3.04          ,19.01     ,16.00      ,16.80     ,18.20     ,17.44      ,41.77     ,47.46                ,40.90         ,47.35,-0.86      ,-3.59          ,-1.66                     ,17.55     ,18.28      ,18.22     ,44.39                ,14.80                   ,45.87   ,13.86                  ,-5.59          ,-2.00                     ,2211.63    , 
BKE   ,-5.59      ,17.75     ,337253    ,9.29     ,916.54M   ,27             ,+1.14                     ,36.23     ,18.75     ,-0.66,-66.67      ,--                     ,8.55              ,31.42                  ,19.01                  ,Specialty Retail                            ,NYSE    ,BUCKLE INC               ,Apparel Retail                     ,1.75    ,18.85         ,17.75,1500    ,737273       ,523607      ,45.74                   ,64.41                  ,No        ,18.80,18.95 ,17.80,60.71                 ,731995        ,593834     ,46.07                    ,56.79                 ,No                ,Consumer Discretionary,9.30          ,18.85     ,17.75,1500    ,708330      ,43.72                     ,47.61                  ,13.81M         ,Yes                 ,D  ,***      ,B+                 ,--             ,--                    ,75.00           ,--                     ,25.00           ,4                 ,3.50              ,97.96M    ,974.87M,97.96M  ,48.62M            ,2.03     ,2.03      ,3.06      ,1.78        ,3.38      ,3.39      ,3.44      ,9.00                        ,10.05   ,--                ,-1.10  ,-2.39                  ,-0.87                      ,-3.38                  ,-8.38                   ,-56.14               ,-43.88               ,-14.30               ,+1.13     ,19.05        ,21.68    ,16.07                  ,16.50     ,17.75    ,100.00                  ,4.25                         ,-5.84   ,-0.05 ,-5.40                  ,-0.04                 ,-0.51                  ,-15.20                   ,-13.56               ,-49.21               ,-17.97               ,+23.24            ,2               ,19.20     ,24.07   ,18.45       ,16.50   ,0.00                 ,1.20           ,-1.05    ,-0.27,+0.21                   ,-0.16                    ,-2.65                    ,-1.72                 ,-39.66               ,-50.47               ,-18.52               ,+17.00            ,21.55      ,35.02     ,17.70    ,16.50  ,1.20         ,2.00             ,0.00          ,0.40              ,--                   ,9.29                     ,2.11            ,--           ,10.60                ,0.94     ,18.30     ,20.36     ,21.93      ,18.99     ,21.51      ,46.95                ,41.63     ,24.73                   ,33.33,21.23               ,-2.20                     ,-6.55          ,20.79     ,23.48      ,18.50     ,20.21     ,21.95      ,39.79     ,43.74                ,37.95         ,51.14,-0.72      ,-3.40          ,-4.60                     ,19.01     ,21.88      ,20.52     ,43.21                ,11.12                   ,54.49   ,16.80                  ,-3.10          ,-2.20                     ,920.89     , 
SSW   ,-5.03      ,6.61      ,1212845   ,--       ,732.79M   ,50             ,+2.00                     ,30.25     ,7.14      ,-0.45,-97.87      ,11.36                  ,-31.11            ,31.03                  ,7.38                   ,Marine                                      ,NYSE    ,SEASPAN CORP             ,Marine                             ,1.50    ,6.92          ,6.60 ,1100    ,1570428      ,929287      ,77.23                   ,130.51                 ,No        ,6.96 ,7.00  ,6.61 ,13.52                 ,1428753       ,1379710    ,84.89                    ,87.91                 ,No                ,Industrials           ,21.70         ,6.92      ,6.56 ,2000    ,1425041     ,43.87                     ,85.11                  ,10.78M         ,No                  ,NC ,--       ,--                 ,7.69           ,--                    ,61.54           ,15.38                  ,15.38           ,13                ,3.31              ,-139.04M  ,877.90M,-139.04M,105.89M           ,-1.89    ,-1.89     ,1.46      ,0.72        ,0.79      ,2.93      ,0.81      ,11.30                       ,-15.84  ,199.52            ,-0.31  ,-0.70                  ,-6.28                      ,-3.2817                ,-19.67                  ,-54.65               ,-46.94               ,-42.85               ,+0.71     ,7.07         ,8.91     ,13.00                  ,6.60      ,6.62     ,88.64                   ,9.44                         ,-4.48   ,+0.04 ,-2.67                  ,-0.05                 ,-0.6009                ,-32.17                   ,-21.62               ,-59.87               ,-9.52                ,-7.89             ,1               ,7.21      ,11.76   ,6.81        ,6.60    ,0.06                 ,0.39           ,-0.35    ,+0.58,+0.136                  ,-0.464                   ,-7.99                    ,-1.694                ,-60.58               ,-52.17               ,-42.38               ,-2.37             ,8.91       ,20.00     ,6.65     ,6.60   ,0.44         ,3.00             ,-0.05         ,-0.16             ,--                   ,--                       ,0.45            ,173.36       ,9.57                 ,0.83     ,6.87      ,8.51      ,9.80       ,7.30      ,9.31       ,36.35                ,37.79     ,37.63                   ,2.13 ,8.46                ,-0.93                     ,-2.37          ,8.62      ,11.69      ,7.23      ,8.14      ,9.73       ,36.39     ,38.87                ,32.98         ,8.36 ,-0.44      ,-4.43          ,-2.24                     ,7.38      ,9.12       ,8.38      ,38.17                ,18.97                   ,9.13    ,6.31                   ,-1.55          ,-4.03                     ,-7109.05   , 
KSS   ,-4.96      ,38.54     ,3895595   ,13.02    ,7.15B     ,195            ,+1.69                     ,35.05     ,40.31     ,-0.65,-93.64      ,12.40                  ,-20.89            ,14.22                  ,40.89                  ,Multiline Retail                            ,NYSE    ,KOHL'S CORP              ,Department Stores                  ,2.20    ,40.49         ,38.53,100     ,5454731      ,4296977     ,71.42                   ,90.66                  ,Yes       ,40.55,40.80 ,38.54,99.35                 ,4923457       ,5123309    ,79.12                    ,76.04                 ,No                ,Consumer Discretionary,5.40          ,40.49     ,38.22,100     ,4820938     ,34.87                     ,80.81                  ,219.13M        ,No                  ,C  ,***      ,B+                 ,17.39          ,--                    ,60.87           ,13.04                  ,8.70            ,23                ,2.96              ,556.00M   ,18.69B ,556.00M ,176.47M           ,3.11     ,3.11      ,3.46      ,3.62        ,4.24      ,4.05      ,4.17      ,7.20                        ,2.98    ,--                ,-1.95  ,-4.38                  ,-0.99                      ,-4.94                  ,-1.86                   ,-40.79               ,-5.19                ,+22.33               ,+1.12     ,41.07        ,44.50    ,18.87                  ,38.88     ,33.87    ,87.60                   ,4.94                         ,-4.82   ,+0.06 ,-11.21                 ,-0.03                 ,-0.68                  ,-10.87                   ,-16.86               ,-19.05               ,-20.10               ,+10.42            ,4               ,41.07     ,51.98   ,40.11       ,38.88   ,-4.35                ,2.26           ,-2.01    ,+0.15,+0.67                   ,-0.40                    ,-1.65                    ,-0.77                 ,-11.98               ,-5.85                ,-1.97                ,+4.09             ,44.50      ,59.67     ,38.88    ,38.47  ,2.58         ,2.00             ,-0.32         ,0.56              ,--                   ,13.02                    ,1.37            ,86.54        ,11.19                ,0.38     ,39.92     ,40.81     ,45.61      ,40.54     ,43.53      ,47.93                ,43.55     ,28.62                   ,6.36 ,43.56               ,-1.04                     ,-15.04         ,42.26     ,43.59      ,40.44     ,42.06     ,43.78      ,41.22     ,45.82                ,21.35         ,23.95,-0.55      ,-1.99          ,-11.59                    ,40.89     ,45.90      ,42.50     ,45.02                ,18.55                   ,23.46   ,38.23                  ,-3.43          ,0.27                      ,-13584.56  , 
PIR   ,-4.77      ,6.695     ,913544    ,26.29    ,584.56M   ,45             ,+2.31                     ,43.14     ,6.89      ,-0.10,-85.78      ,9.21                   ,-26.62            ,16.40                  ,6.87                   ,Specialty Retail                            ,NYSE    ,PIER 1 IMPORTS INC/DE    ,Homefurnishing Retail              ,0.28    ,7.04          ,6.69 ,2400    ,1562964      ,2972757     ,58.45                   ,30.73                  ,No        ,7.03 ,7.04  ,6.70 ,81.52                 ,2244949       ,2688703    ,40.69                    ,33.98                 ,No                ,Consumer Discretionary,4.00          ,7.04      ,6.66 ,1400    ,2169906     ,36.44                     ,42.10                  ,10.83M         ,No                  ,B  ,***      ,B-                 ,5.88           ,11.76                 ,52.94           ,5.88                   ,23.53           ,17                ,3.29              ,39.63M    ,1.89B  ,39.63M  ,83.03M            ,0.27     ,0.46      ,0.82      ,0.43        ,1.01      ,1.20      ,1.48      ,8.97                        ,2.09    ,140.17            ,-0.345 ,-0.115                 ,+2.51                      ,+0.8246                ,-5.00                   ,-41.56               ,-54.48               ,+25.01               ,+1.65     ,7.16         ,7.63     ,2.64                   ,6.54      ,3.73     ,90.79                   ,2.46                         ,-4.90   ,-0.01 ,-2.075                 ,-0.01                 ,+0.1418                ,+13.27                   ,-16.86               ,-59.51               ,+21.43               ,+8.21             ,1               ,7.17      ,9.23    ,6.97        ,6.54    ,-2.93                ,0.345          ,-0.335   ,-0.14,+0.159                  ,+0.1723                  ,+2.06                    ,-0.3706               ,+13.36               ,-65.41               ,+49.72               ,+2.54             ,7.63       ,9.68      ,6.61     ,6.54   ,0.38         ,51.00            ,-0.035        ,1.12              ,--                   ,15.30                    ,2.04            ,70.32        ,16.53                ,0.31     ,6.88      ,7.30      ,6.45       ,6.93      ,6.78       ,53.23                ,49.45     ,24.37                   ,14.22,7.17                ,-0.02                     ,-2.80          ,7.55      ,5.84       ,6.86      ,7.05      ,6.67       ,46.78     ,51.47                ,12.21         ,34.40,-0.13      ,-1.02          ,-1.97                     ,6.87      ,6.86       ,7.02      ,50.02                ,19.07                   ,35.73   ,6.57                   ,-0.22          ,-0.65                     ,-8228.03   , 
EXPR  ,-4.69      ,8.94      ,2311252   ,12.92    ,739.43M   ,48             ,+0.90                     ,22.87     ,9.86      ,-0.48,-99.61      ,2.13                   ,-6.97             ,34.83                  ,10.33                  ,Specialty Retail                            ,NYSE    ,EXPRESS INC              ,Apparel Retail                     ,--      ,9.43          ,8.94 ,2400    ,1556436      ,2103121     ,148.50                  ,109.90                 ,No        ,9.38 ,9.40  ,8.95 ,96.40                 ,2152995       ,1865070    ,107.35                   ,123.92                ,No                ,Consumer Discretionary,--            ,9.43      ,8.93 ,4700    ,2053890     ,114.45                    ,112.53                 ,14.69M         ,Yes                 ,C  ,--       ,--                 ,--             ,8.33                  ,83.33           ,--                     ,8.33            ,12                ,3.08              ,57.42M    ,2.19B  ,57.42M  ,78.41M            ,0.73     ,0.73      ,1.38      ,0.67        ,0.81      ,1.37      ,1.60      ,-12.00                      ,2.62    ,--                ,-0.49  ,-2.46                  ,-8.69                      ,-2.1367                ,-11.22                  ,-42.29               ,-62.90               ,-22.70               ,+1.54     ,9.51         ,11.69    ,12.17                  ,9.02      ,9.03     ,97.87                   ,12.15                        ,-5.20   ,-0.05 ,-1.96                  ,-0.05                 ,-1.1018                ,-18.47                   ,-12.36               ,-39.71               ,-15.87               ,+9.16             ,1               ,9.65      ,11.69   ,9.27        ,9.02    ,0.10                 ,0.46           ,-0.44    ,-0.53,+0.084                  ,-0.898                   ,-10.46                   ,-1.1913               ,-55.29               ,-48.22               ,-4.99                ,+4.86             ,11.68      ,21.57     ,9.27     ,9.02   ,0.47         ,5.00             ,-0.01         ,0.55              ,--                   ,12.92                    ,1.69            ,--           ,14.04                ,0.34     ,9.54      ,10.59     ,11.51      ,10.04     ,11.27      ,29.44                ,40.28     ,36.14                   ,0.39 ,12.05               ,-1.74                     ,-2.79          ,10.64     ,12.46      ,10.03     ,10.60     ,11.54      ,37.06     ,41.97                ,55.06         ,11.15,-0.34      ,-1.71          ,-2.16                     ,10.33     ,11.39      ,10.74     ,39.78                ,10.48                   ,15.32   ,8.60                   ,-2.44          ,-1.26                     ,-2477.64   , 
