Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                       ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow , 
CMRE  ,-6.38      ,6.525     ,904452    ,8.88     ,637.33M   ,51             ,+5.02                     ,56.62     ,6.40      ,0.19 ,-53.50      ,5.00                   ,-1.81             ,30.46                  ,6.29                   ,Marine                                        ,NYSE    ,COSTAMARE INC            ,Marine                             ,0.40    ,6.97          ,6.53  ,1200    ,1008419      ,722458      ,89.69                   ,125.19                 ,No        ,6.97  ,7.00  ,6.54  ,18.64                 ,927672        ,902741     ,97.50                    ,100.19                ,No                ,Industrials           ,5.70          ,6.97      ,6.50  ,1200    ,887054      ,56.84                     ,101.96                 ,6.78M          ,No                  ,C  ,--       ,--                 ,12.50          ,25.00                 ,50.00           ,12.50                  ,--              ,8                 ,2.63              ,81.70M    ,468.19M,81.70M  ,91.44M            ,0.79    ,0.79      ,1.68      ,0.90        ,1.38      ,1.36      ,1.20      ,5.00                        ,17.45   ,234.09            ,-0.445,+0.405                 ,+10.74                     ,+0.2631                ,+15.81                  ,-54.97               ,-34.41               ,-34.11               ,+2.07     ,7.06         ,7.06     ,4.00                   ,5.97      ,5.07     ,95.00                   ,-2.64                        ,-6.38   ,0.00 ,+0.865                 ,+0.03                 ,+0.7155                ,+3.92                    ,+26.51               ,-57.52               ,+7.82                ,+8.02             ,4               ,7.06      ,7.06    ,6.88        ,5.97    ,-1.43                ,0.475          ,-0.445   ,0.00 ,+0.333                  ,+0.6763                  ,+11.44                   ,+0.9513               ,-18.83               ,-41.25               ,-28.46               ,+3.15             ,7.06       ,11.00     ,6.07     ,5.07   ,0.50         ,68.00            ,-0.025        ,0.38              ,--                   ,8.88                     ,0.59            ,110.53       ,7.75                 ,1.36     ,6.42      ,6.02      ,6.45       ,6.32      ,6.46       ,78.82                ,50.53     ,19.01                   ,46.50,6.79                ,0.92                      ,0.83           ,5.99      ,7.50       ,6.35      ,6.18      ,6.62       ,54.09     ,53.84                ,26.69         ,78.76,0.15       ,0.39           ,1.27                      ,6.29      ,6.17       ,6.20      ,60.66                ,32.86                   ,87.86   ,5.80                   ,0.48           ,0.89                      ,-254.51    , 
BKE   ,-5.59      ,17.75     ,337593    ,9.29     ,916.54M   ,27             ,+1.11                     ,36.42     ,18.75     ,-0.66,-66.00      ,--                     ,8.68              ,31.42                  ,19.02                  ,Specialty Retail                              ,NYSE    ,BUCKLE INC               ,Apparel Retail                     ,1.75    ,18.85         ,17.75 ,1500    ,737273       ,523607      ,45.79                   ,64.47                  ,No        ,18.80 ,18.95 ,17.80 ,60.71                 ,731995        ,593834     ,46.12                    ,56.85                 ,No                ,Consumer Discretionary,9.30          ,18.85     ,17.75 ,1800    ,708330      ,43.76                     ,47.66                  ,13.81M         ,Yes                 ,D  ,***      ,B+                 ,--             ,--                    ,75.00           ,--                     ,25.00           ,4                 ,3.50              ,97.96M    ,974.87M,97.96M  ,48.62M            ,2.03    ,2.03      ,3.06      ,1.78        ,3.38      ,3.39      ,3.44      ,9.00                        ,10.05   ,--                ,-1.10 ,-2.39                  ,-0.87                      ,-3.38                  ,-8.38                   ,-56.14               ,-43.88               ,-14.30               ,+1.13     ,19.05        ,21.68    ,16.07                  ,16.50     ,17.75    ,100.00                  ,4.26                         ,-5.84   ,-0.05,-5.40                  ,-0.04                 ,-0.51                  ,-15.20                   ,-13.56               ,-49.21               ,-17.97               ,+23.24            ,2               ,19.20     ,24.07   ,18.45       ,16.50   ,0.00                 ,1.20           ,-1.05    ,-0.27,+0.21                   ,-0.17                    ,-2.65                    ,-1.72                 ,-39.66               ,-50.47               ,-18.52               ,+17.00            ,21.55      ,35.02     ,17.70    ,16.50  ,1.20         ,2.00             ,0.00          ,0.40              ,--                   ,9.29                     ,2.11            ,--           ,10.60                ,0.94     ,18.30     ,20.36     ,21.93      ,19.00     ,21.51      ,46.95                ,41.68     ,24.73                   ,34.00,21.23               ,-2.20                     ,-6.53          ,20.79     ,23.48      ,18.51     ,20.22     ,21.95      ,39.87     ,43.74                ,37.95         ,51.36,-0.72      ,-3.38          ,-4.60                     ,19.02     ,21.88      ,20.52     ,43.21                ,11.12                   ,54.56   ,16.80                  ,-3.08          ,-2.20                     ,934.71     , 
AMBC  ,-5.12      ,18.71     ,333452    ,11.85    ,879.25M   ,90             ,-0.63                     ,17.44     ,20.36     ,-0.69,-99.18      ,3.48                   ,-23.43            ,37.48                  ,21.05                  ,Insurance                                     ,NASDAQ  ,AMBAC FINANCIAL GROUP INC,Property & Casualty Insurance      ,--      ,19.44         ,18.71 ,200     ,316009       ,345936      ,105.52                  ,96.39                  ,No        ,19.72 ,19.82 ,18.74 ,75.28                 ,507390        ,368283     ,65.72                    ,90.54                 ,No                ,Financials            ,--            ,19.44     ,18.67 ,100     ,507707      ,81.63                     ,65.68                  ,6.24M          ,No                  ,B  ,--       ,--                 ,66.67          ,--                    ,--              ,--                     ,33.33           ,3                 ,2.33              ,74.32M    ,543.59M,74.32M  ,45.23M            ,1.64    ,1.64      ,10.72     ,3.02        ,10.31     ,29.52     ,-0.85     ,14.00                       ,13.77   ,3529.78           ,-0.73 ,-2.29                  ,-7.66                      ,-1.84                  ,-9.94                   ,-23.07               ,0.00                 ,+34.02               ,+1.89     ,19.89        ,23.55    ,7.43                   ,19.32     ,14.42    ,96.52                   ,10.55                        ,-3.76   ,+0.28,-3.86                  ,-0.06                 ,-1.92                  ,-8.67                    ,-13.60               ,-39.70               ,-9.80                ,+4.37             ,3               ,20.25     ,23.55   ,19.32       ,19.32   ,-4.25                ,1.11           ,-1.01    ,+1.44,-0.12                   ,-1.61                    ,-8.99                    ,-2.15                 ,+20.30               ,0.00                 ,+21.83               ,+0.32             ,23.55      ,27.25     ,19.32    ,19.32  ,1.15         ,4.00             ,-0.04         ,0.51              ,--                   ,11.85                    ,1.17            ,620.33       ,6.45                 ,1.62     ,19.99     ,21.47     ,21.59      ,20.62     ,21.27      ,22.66                ,41.27     ,37.72                   ,0.82 ,23.40               ,-3.19                     ,-3.36          ,21.67     ,19.94      ,20.68     ,21.34     ,21.08      ,34.41     ,43.39                ,62.27         ,4.54 ,-0.45      ,-3.51          ,-2.55                     ,21.05     ,22.11      ,21.41     ,37.47                ,8.77                    ,8.22    ,18.70                  ,-3.79          ,-2.85                     ,-1869.89   , 
KSS   ,-4.94      ,38.55     ,3901474   ,13.02    ,7.15B     ,195            ,+1.68                     ,35.08     ,40.31     ,-0.65,-93.51      ,12.66                  ,-20.87            ,14.22                  ,40.89                  ,Multiline Retail                              ,NYSE    ,KOHL'S CORP              ,Department Stores                  ,2.20    ,40.49         ,38.54 ,200     ,5454731      ,4296977     ,71.52                   ,90.80                  ,Yes       ,40.55 ,40.80 ,38.56 ,99.35                 ,4923457       ,5123309    ,79.24                    ,76.15                 ,No                ,Consumer Discretionary,5.40          ,40.49     ,38.22 ,300     ,4820938     ,34.92                     ,80.93                  ,219.13M        ,No                  ,C  ,***      ,B+                 ,17.39          ,--                    ,60.87           ,13.04                  ,8.70            ,23                ,2.96              ,556.00M   ,18.69B ,556.00M ,176.47M           ,3.11    ,3.11      ,3.46      ,3.62        ,4.24      ,4.05      ,4.17      ,7.20                        ,2.98    ,--                ,-1.94 ,-4.37                  ,-0.99                      ,-4.94                  ,-1.86                   ,-40.79               ,-5.19                ,+22.33               ,+1.12     ,41.07        ,44.50    ,18.87                  ,38.88     ,33.87    ,87.34                   ,4.92                         ,-4.80   ,+0.06,-11.20                 ,-0.03                 ,-0.68                  ,-10.87                   ,-16.86               ,-19.05               ,-20.10               ,+10.42            ,4               ,41.07     ,51.98   ,40.11       ,38.88   ,-4.35                ,2.25           ,-2.00    ,+0.15,+0.67                   ,-0.40                    ,-1.65                    ,-0.77                 ,-11.98               ,-5.85                ,-1.97                ,+4.09             ,44.50      ,59.67     ,38.88    ,38.47  ,2.58         ,2.00             ,-0.33         ,0.56              ,--                   ,13.02                    ,1.37            ,86.54        ,11.19                ,0.38     ,39.92     ,40.81     ,45.61      ,40.54     ,43.53      ,47.93                ,43.56     ,28.62                   ,6.49 ,43.56               ,-1.04                     ,-15.03         ,42.26     ,43.59      ,40.44     ,42.06     ,43.78      ,41.23     ,45.82                ,21.35         ,23.99,-0.55      ,-1.98          ,-11.59                    ,40.89     ,45.90      ,42.50     ,45.02                ,18.55                   ,23.48   ,38.23                  ,-3.42          ,0.27                      ,-13569.32  , 
PIR   ,-4.84      ,6.69      ,914044    ,26.29    ,584.56M   ,45             ,+2.33                     ,43.02     ,6.89      ,-0.10,-86.24      ,7.89                   ,-26.70            ,16.40                  ,6.87                   ,Specialty Retail                              ,NYSE    ,PIER 1 IMPORTS INC/DE    ,Homefurnishing Retail              ,0.28    ,7.04          ,6.69  ,2700    ,1562964      ,2972757     ,58.48                   ,30.75                  ,No        ,7.03  ,7.04  ,6.70  ,81.52                 ,2244949       ,2688703    ,40.72                    ,34.00                 ,No                ,Consumer Discretionary,4.00          ,7.04      ,6.66  ,1200    ,2169906     ,36.46                     ,42.12                  ,10.83M         ,No                  ,B  ,***      ,B-                 ,5.88           ,11.76                 ,52.94           ,5.88                   ,23.53           ,17                ,3.29              ,39.63M    ,1.89B  ,39.63M  ,83.03M            ,0.27    ,0.46      ,0.82      ,0.43        ,1.01      ,1.20      ,1.48      ,8.97                        ,2.09    ,140.17            ,-0.35 ,-0.12                  ,+2.51                      ,+0.8246                ,-5.00                   ,-41.56               ,-54.48               ,+25.01               ,+1.65     ,7.16         ,7.63     ,2.64                   ,6.54      ,3.73     ,92.11                   ,2.53                         ,-4.97   ,-0.01,-2.08                  ,-0.01                 ,+0.1418                ,+13.27                   ,-16.86               ,-59.51               ,+21.43               ,+8.21             ,1               ,7.17      ,9.23    ,6.97        ,6.54    ,-2.93                ,0.35           ,-0.34    ,-0.14,+0.16                   ,+0.1725                  ,+2.06                    ,-0.3706               ,+13.36               ,-65.41               ,+49.72               ,+2.54             ,7.63       ,9.68      ,6.61     ,6.54   ,0.38         ,51.00            ,-0.03         ,1.12              ,--                   ,15.30                    ,2.04            ,70.32        ,16.53                ,0.31     ,6.88      ,7.30      ,6.45       ,6.93      ,6.78       ,53.23                ,49.42     ,24.37                   ,13.76,7.17                ,-0.02                     ,-2.80          ,7.55      ,5.84       ,6.86      ,7.05      ,6.67       ,46.73     ,51.47                ,12.21         ,34.25,-0.13      ,-1.02          ,-1.97                     ,6.87      ,6.86       ,7.02      ,50.02                ,19.07                   ,35.68   ,6.57                   ,-0.22          ,-0.65                     ,-8252.49   , 
FRAN  ,-4.79      ,15.69     ,1001673   ,15.47    ,622.65M   ,62             ,+1.98                     ,35.18     ,16.45     ,-0.46,-91.88      ,10.74                  ,13.23             ,25.08                  ,16.69                  ,Specialty Retail                              ,NASDAQ  ,FRANCESCAS HOLDINGS CORP ,Apparel Retail                     ,--      ,16.48         ,15.69 ,300     ,823771       ,921660      ,121.60                  ,108.68                 ,No        ,16.48 ,16.77 ,15.70 ,99.03                 ,667645        ,805121     ,150.03                   ,124.41                ,No                ,Consumer Discretionary,--            ,16.48     ,15.56 ,400     ,651843      ,75.10                     ,153.67                 ,13.39M         ,Yes                 ,C  ,--       ,--                 ,10.00          ,--                    ,80.00           ,10.00                  ,--              ,10                ,2.90              ,38.15M    ,439.38M,38.15M  ,37.78M            ,1.07    ,0.91      ,0.76      ,1.06        ,1.02      ,1.05      ,0.52      ,12.25                       ,8.68    ,134.61            ,-0.79 ,-1.35                  ,-1.26                      ,-0.67                  ,-5.94                   ,+2.68                ,-46.35               ,+62.86               ,+0.75     ,16.48        ,18.98    ,5.62                   ,15.60     ,9.75     ,89.26                   ,4.44                         ,-4.79   ,0.00 ,-2.54                  ,-0.02                 ,-0.44                  ,-3.91                    ,-8.60                ,-18.54               ,+6.20                ,+36.33            ,2               ,16.60     ,19.50   ,16.10       ,15.60   ,-5.81                ,1.08           ,-0.79    ,0.00 ,+0.32                   ,-0.21                    ,-2.61                    ,-1.04                 ,-8.24                ,-40.12               ,+24.32               ,+22.61            ,18.63      ,22.39     ,15.60    ,15.60  ,1.21         ,4.00             ,-0.13         ,0.66              ,--                   ,18.15                    ,5.36            ,--           ,15.49                ,1.42     ,16.18     ,17.46     ,17.34      ,16.62     ,17.10      ,45.94                ,46.00     ,23.79                   ,8.13 ,18.08               ,-1.38                     ,-4.80          ,17.62     ,15.52      ,16.39     ,17.19     ,16.97      ,42.60     ,48.10                ,35.41         ,29.23,-0.43      ,-2.31          ,-3.90                     ,16.69     ,17.60      ,17.23     ,45.97                ,11.35                   ,32.28   ,15.30                  ,-2.34          ,-1.40                     ,1303.14    , 
UPLMQ ,-4.65      ,6.15      ,326659    ,18.03    ,995.68M   ,15             ,+0.75                     ,31.27     ,6.66      ,-0.31,-95.93      ,2.94                   ,-28.89            ,17.25                  ,6.83                   ,Oil Gas & Consumable Fuels                    ,OTC     ,ULTRA PETROLEUM CORP     ,Oil & Gas Exploration & Production ,--      ,6.49          ,6.14  ,1000    ,774161       ,750848      ,42.20                   ,43.51                  ,No        ,6.45  ,6.48  ,6.15  ,21.25                 ,710590        ,600502     ,45.97                    ,54.40                 ,No                ,Energy                ,--            ,6.49      ,6.14  ,300     ,739070      ,111.28                    ,44.20                  ,5.07M          ,No                  ,NC ,--       ,--                 ,--             ,--                    ,100.00          ,--                     ,--              ,1                 ,3.00              ,56.15M    ,651.35M,56.15M  ,153.42M           ,0.36    ,0.36      ,-20.94    ,1.26        ,3.51      ,1.54      ,-14.24    ,13.00                       ,8.62    ,3923.82           ,-0.34 ,-0.65                  ,-5.04                      ,+0.0287                ,-10.26                  ,-59.05               ,-73.94               ,+711.65              ,+1.56     ,6.74         ,8.44     ,2.27                   ,6.10      ,0.16     ,97.06                   ,7.52                         ,-5.24   ,-0.04,-1.02                  ,-0.03                 ,-0.5245                ,+0.44                    ,-10.24               ,-73.87               ,-3.81                ,-1.90             ,1               ,7.05      ,8.75    ,6.45        ,6.10    ,-5.98                ,0.33           ,-0.30    ,-0.62,+0.048                  ,-0.3445                  ,-7.48                    ,-0.7417               ,+1018.77             ,-68.14               ,+68.27               ,+4.50             ,8.15       ,8.75      ,6.35     ,6.10   ,0.34         ,5.00             ,-0.01         ,0.77              ,--                   ,18.03                    ,--              ,--           ,5.15                 ,1.53     ,6.43      ,7.24      ,6.68       ,6.78      ,6.62       ,38.56                ,47.35     ,26.09                   ,4.07 ,7.82                ,-1.24                     ,-1.36          ,7.23      ,5.15       ,6.61      ,7.01      ,6.41       ,42.45     ,49.13                ,17.24         ,23.04,-0.27      ,-1.03          ,-1.06                     ,6.83      ,6.92       ,6.98      ,45.12                ,18.42                   ,26.93   ,5.84                   ,-1.60          ,-0.71                     ,-2192.02   , 
EXPR  ,-4.64      ,8.945     ,2313379   ,12.92    ,739.43M   ,48             ,+0.89                     ,22.92     ,9.86      ,-0.48,-99.42      ,3.19                   ,-6.83             ,34.83                  ,10.33                  ,Specialty Retail                              ,NYSE    ,EXPRESS INC              ,Apparel Retail                     ,--      ,9.43          ,8.94  ,2600    ,1556436      ,2103121     ,148.63                  ,110.00                 ,No        ,9.38  ,9.40  ,8.95  ,96.40                 ,2152995       ,1865070    ,107.45                   ,124.04                ,No                ,Consumer Discretionary,--            ,9.43      ,8.93  ,5000    ,2053890     ,114.55                    ,112.63                 ,14.69M         ,Yes                 ,C  ,--       ,--                 ,--             ,8.33                  ,83.33           ,--                     ,8.33            ,12                ,3.08              ,57.42M    ,2.19B  ,57.42M  ,78.41M            ,0.73    ,0.73      ,1.38      ,0.67        ,0.81      ,1.37      ,1.60      ,-12.00                      ,2.62    ,--                ,-0.485,-2.455                 ,-8.70                      ,-2.1367                ,-11.22                  ,-42.29               ,-62.90               ,-22.70               ,+1.54     ,9.51         ,11.69    ,12.17                  ,9.02      ,9.03     ,96.81                   ,12.09                        ,-5.14   ,-0.05,-1.955                 ,-0.05                 ,-1.1018                ,-18.47                   ,-12.36               ,-39.71               ,-15.87               ,+9.16             ,1               ,9.65      ,11.69   ,9.27        ,9.02    ,0.10                 ,0.455          ,-0.435   ,-0.53,+0.083                  ,-0.8983                  ,-10.46                   ,-1.1913               ,-55.29               ,-48.22               ,-4.99                ,+4.86             ,11.68      ,21.57     ,9.27     ,9.02   ,0.47         ,5.00             ,-0.015        ,0.55              ,--                   ,12.92                    ,1.69            ,--           ,14.04                ,0.34     ,9.54      ,10.59     ,11.51      ,10.04     ,11.27      ,29.44                ,40.29     ,36.14                   ,0.58 ,12.05               ,-1.74                     ,-2.79          ,10.64     ,12.46      ,10.03     ,10.60     ,11.54      ,37.08     ,41.97                ,55.06         ,11.22,-0.34      ,-1.71          ,-2.16                     ,10.33     ,11.39      ,10.74     ,39.78                ,10.48                   ,15.34   ,8.61                   ,-2.44          ,-1.26                     ,-2430.46   , 
DDS   ,-4.57      ,49.76     ,546825    ,10.57    ,1.53B     ,120            ,+1.01                     ,30.91     ,52.64     ,-1.49,-95.89      ,9.14                   ,-2.78             ,24.08                  ,53.16                  ,Multiline Retail                              ,NYSE    ,DILLARDS INC  -CL A      ,Department Stores                  ,0.28    ,52.15         ,49.76 ,100     ,551649       ,662838      ,99.13                   ,82.50                  ,No        ,52.14 ,52.29 ,49.80 ,49.86                 ,1276046       ,878797     ,42.85                    ,62.22                 ,Yes               ,Consumer Discretionary,0.50          ,52.15     ,49.50 ,200     ,1211517     ,65.91                     ,45.14                  ,28.66M         ,No                  ,C  ,***      ,B                  ,--             ,--                    ,50.00           ,33.33                  ,16.67           ,6                 ,3.67              ,169.20M   ,6.42B  ,169.20M ,29.39M            ,4.93    ,4.93      ,6.91      ,4.80        ,7.79      ,7.10      ,6.87      ,3.79                        ,2.64    ,--                ,-2.40 ,-5.30                  ,-1.89                      ,-8.71                  ,-6.53                   ,-61.01               ,-10.99               ,-7.45                ,+0.85     ,52.86        ,60.95    ,36.29                  ,51.00     ,51.00    ,90.86                   ,5.39                         ,-4.59   ,-0.01,-13.88                 ,-0.04                 ,-1.96                  ,-14.32                   ,-16.81               ,-42.16               ,-23.67               ,+9.63             ,3               ,52.95     ,63.64   ,51.86       ,51.00   ,1.50                 ,2.54           ,-2.38    ,-0.02,+0.52                   ,-1.01                    ,-3.62                    ,-3.64                 ,-38.84               ,-34.22               ,-9.29                ,+4.36             ,58.82      ,88.58     ,51.04    ,51.00  ,2.79         ,3.00             ,-0.26         ,0.45              ,--                   ,10.57                    ,0.98            ,42.51        ,10.86                ,0.24     ,52.06     ,55.40     ,61.11      ,53.18     ,58.68      ,41.10                ,41.90     ,29.48                   ,4.11 ,56.52               ,-5.98                     ,-17.84         ,56.51     ,61.38      ,52.44     ,55.89     ,59.50      ,39.36     ,43.78                ,36.84         ,14.58,-1.38      ,-7.29          ,-12.58                    ,53.16     ,60.89      ,56.61     ,42.44                ,13.61                   ,16.33   ,49.79                  ,-8.64          ,-3.94                     ,-284.33    , 
SFS   ,-4.56      ,11.50     ,222072    ,71.18    ,883.74M   ,17             ,+5.14                     ,33.53     ,12.23     ,-0.82,-76.06      ,14.81                  ,-7.25             ,33.84                  ,12.88                  ,Food & Staples Retailing                      ,NYSE    ,SMART & FINAL STORES INC ,Food Retail                        ,--      ,12.10         ,11.50 ,1700    ,604719       ,350888      ,36.72                   ,63.29                  ,No        ,12.05 ,12.08 ,11.55 ,40.81                 ,563095        ,384891     ,39.44                    ,57.70                 ,No                ,Consumer Staples      ,--            ,12.10     ,11.40 ,400     ,530101      ,30.07                     ,41.89                  ,6.90M          ,No                  ,D  ,--       ,--                 ,30.00          ,20.00                 ,40.00           ,--                     ,10.00           ,10                ,2.40              ,12.95M    ,4.34B  ,12.95M  ,73.04M            ,0.17    ,0.17      ,0.50      ,0.51        ,0.52      ,0.14      ,0.26      ,24.35                       ,0.30    ,--                ,-0.60 ,-2.65                  ,-6.07                      ,-1.33                  ,-13.68                  ,-27.11               ,0.00                 ,-12.10               ,+0.21     ,12.40        ,15.40    ,4.65                   ,10.65     ,11.55    ,85.19                   ,6.40                         ,-4.96   ,-0.05,-2.60                  ,+0.05                 ,-1.13                  ,-9.92                    ,-14.18               ,0.00                 ,+3.33                ,+2.31             ,1               ,12.40     ,15.45   ,11.45       ,10.65   ,0.15                 ,0.58           ,-0.55    ,-0.41,+0.59                   ,-0.78                    ,-8.55                    ,-1.92                 ,-22.58               ,0.00                 ,+9.15                ,+0.69             ,15.40      ,16.72     ,10.65    ,10.65  ,0.68         ,7.00             ,-0.10         ,3.04              ,--                   ,71.18                    ,--              ,111.65       ,23.60                ,0.20     ,11.61     ,13.95     ,13.50      ,12.55     ,13.64      ,40.90                ,41.07     ,28.65                   ,23.94,15.76               ,-2.80                     ,-3.35          ,14.02     ,13.82      ,12.24     ,13.39     ,13.71      ,37.31     ,43.19                ,16.56         ,28.27,-0.73      ,-3.65          ,-2.40                     ,12.88     ,13.63      ,13.48     ,40.32                ,20.51                   ,23.43   ,10.00                  ,-3.50          ,-2.95                     ,-648.39    , 
