Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                      ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin   ,Sales per Employee,Change ,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap ,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
SBLK  ,-14.78     ,9.80      ,783726    ,--       ,638.09M   ,107            ,+5.59                     ,47.61     ,10.16     ,0.53 ,-64.75      ,1.16                   ,4.54              ,25.78                  ,9.99                   ,Marine                                        ,NASDAQ  ,STAR BULK CARRIERS CORP  ,Marine                            ,--      ,11.38         ,9.79  ,300     ,518800       ,439874      ,151.07                  ,178.17                 ,No        ,11.50 ,11.50 ,9.81  ,10.70                 ,669956        ,591429     ,116.98                   ,132.51                ,No                ,Industrials           ,--            ,11.38     ,9.78  ,200     ,632155      ,171.69                    ,123.98                 ,5.69M          ,No                  ,NC ,--       ,--                 ,37.50          ,12.50                 ,37.50           ,--                     ,12.50           ,8                 ,2.38              ,-153.84M  ,222.11M,-153.84M,56.07M            ,-3.23   ,-3.23     ,-11.71    ,-1.10       ,-1.00     ,0.65      ,--        ,--                          ,-69.27     ,--                ,-1.58  ,+0.28                  ,+13.91                     ,+4.9246                ,+30.07                  ,-28.39               ,-81.15               ,+131.59              ,+2.79     ,11.60        ,11.60    ,-0.36                  ,8.69      ,2.61     ,98.84                   ,3.97                         ,-13.88  ,+0.12,+4.56                  ,-0.01                 ,+1.5755                ,+76.29                   ,+122.70              ,-83.55               ,+81.24               ,-14.16            ,0               ,11.60     ,11.60   ,11.02       ,8.10    ,-7.17                ,1.70           ,-1.70    ,+1.05 ,+0.602                  ,+1.3895                  ,+16.07                   ,+2.6308               ,+195.64              ,-55.44               ,+123.63              ,-7.37             ,11.60      ,11.14     ,9.27     ,5.21   ,1.72         ,100.00           ,-0.02         ,-0.15             ,--                   ,--                       ,0.70            ,91.08        ,--                   ,2.87     ,10.18     ,8.99      ,6.66       ,9.98      ,7.66       ,70.01                ,57.30     ,23.26                   ,35.25,11.37               ,3.12                      ,5.02           ,8.40      ,5.60       ,10.19     ,8.92      ,7.32       ,55.68     ,64.12                ,6.84          ,75.66,0.51       ,0.58           ,6.58                      ,9.99      ,7.06       ,8.61      ,65.45                ,26.67                   ,83.88   ,8.61                   ,0.50           ,2.32                      ,379.08    , 
QTNA  ,-14.42     ,21.09     ,685565    ,--       ,805.73M   ,122            ,+4.91                     ,42.31     ,22.34     ,--   ,-86.56      ,16.02                  ,0.79              ,28.29                  ,22.02                  ,Communications Equipment                      ,NASDAQ  ,QUANTENNA COMMUNICATIONS ,Communications Equipment          ,--      ,24.36         ,20.99 ,100     ,430811       ,280250      ,159.13                  ,244.63                 ,No        ,24.64 ,24.64 ,21.08 ,--                    ,221911        ,247143     ,308.94                   ,277.40                ,No                ,Information Technology,--            ,24.36     ,20.41 ,100     ,224967      ,334.88                    ,304.74                 ,10.31M         ,No                  ,F  ,--       ,--                 ,50.00          ,50.00                 ,--              ,--                     ,--              ,6                 ,1.50              ,-1.90M    ,129.07M,-1.90M  ,33.08M            ,-0.30   ,-0.30     ,-9.16     ,0.25        ,-20.72    ,--        ,--        ,22.50                       ,-1.47      ,397.14            ,-3.27  ,-0.07                  ,+10.63                     ,+4.96                  ,+16.80                  ,0.00                 ,0.00                 ,0.00                 ,0.00      ,24.67        ,25.45    ,-0.50                  ,20.65     ,13.75    ,83.98                   ,5.03                         ,-13.43  ,+0.28,+2.63                  ,-0.03                 ,+2.34                  ,+25.54                   ,+34.36               ,0.00                 ,+10.27               ,+14.08            ,0               ,25.45     ,25.45   ,24.06       ,20.25   ,-6.66                ,3.55           ,-3.55    ,+1.15 ,+1.14                   ,+2.34                    ,+10.64                   ,+3.50                 ,0.00                 ,0.00                 ,0.00                 ,-1.88             ,25.45      ,24.14     ,21.75    ,17.75  ,4.23         ,98.00            ,-0.68         ,-3.51             ,--                   ,--                       ,6.26            ,2.86         ,95.75                ,6.24     ,22.61     ,20.84     ,--         ,22.10     ,--         ,73.85                ,--        ,27.49                   ,13.44,24.17               ,2.93                      ,3.00           ,20.59     ,--         ,22.15     ,--        ,--         ,--        ,50.00                ,1.03          ,57.81,--         ,2.52           ,5.82                      ,22.02     ,--         ,--        ,50.00                ,26.93                   ,71.25   ,19.87                  ,-1.75          ,5.33                      ,31.75     , 
ESPR  ,-11.87     ,39.50     ,20371897  ,--       ,929.76M   ,321            ,+24.43                    ,66.45     ,31.39     ,3.76 ,-31.31      ,5.43                   ,10.86             ,57.11                  ,30.10                  ,Biotechnology                                 ,NASDAQ  ,ESPERION THERAPEUTICS INC,Biotechnology                     ,--      ,41.22         ,39.43 ,400     ,8578238      ,841691      ,237.48                  ,2420.35                ,No        ,44.82 ,48.21 ,39.50 ,54.83                 ,3138996       ,1620157    ,648.99                   ,1257.40               ,No                ,Health Care           ,--            ,41.22     ,39.00 ,100     ,3000365     ,66.81                     ,678.98                 ,314.03M        ,No                  ,C  ,--       ,--                 ,20.00          ,20.00                 ,50.00           ,10.00                  ,--              ,10                ,2.50              ,-74.98M   ,--     ,-74.98M ,22.56M            ,-3.33   ,-3.33     ,-2.26     ,-5.99       ,-2.22     ,-3.31     ,-36.31    ,-5.76                       ,--         ,--                ,-1.72  ,+12.64                 ,+36.95                     ,+25.81                 ,+101.68                 ,-76.23               ,0.00                 ,+52.86               ,+2.85     ,42.59        ,42.59    ,-13.07                 ,20.39     ,9.40     ,94.57                   ,-19.20                       ,-4.17   ,+3.60,+26.70                 ,+0.29                 ,+12.35                 ,+167.52                  ,+229.23              ,+52.71               ,+147.82              ,-29.07            ,163             ,42.59     ,42.59   ,32.10       ,20.39   ,-29.60               ,8.71           ,-5.32    ,+8.73 ,+8.09                   ,+11.12                   ,+42.80                   ,+20.78                ,+64.60               ,0.00                 ,+142.99              ,-27.73            ,42.59      ,35.14     ,20.39    ,10.71  ,9.21         ,99.00            ,-0.50         ,-0.53             ,--                   ,--                       ,4.07            ,0.45         ,--                   ,--       ,32.51     ,21.37     ,15.95      ,30.01     ,19.53      ,70.34                ,66.40     ,17.29                   ,68.69,39.49               ,16.22                     ,26.62          ,19.98     ,14.52      ,31.91     ,23.96     ,18.72      ,67.26     ,68.30                ,47.89         ,61.59,3.50       ,28.53          ,27.79                     ,30.10     ,16.55      ,22.68     ,69.65                ,49.08                   ,55.14   ,20.70                  ,15.08          ,30.14                     ,7918.98   , 
PBYI  ,-10.28     ,40.15     ,696836    ,--       ,1.64B     ,83             ,+2.99                     ,50.44     ,40.63     ,2.02 ,-32.08      ,6.93                   ,25.51             ,24.47                  ,38.75                  ,Biotechnology                                 ,NASDAQ  ,PUMA BIOTECHNOLOGY INC   ,Biotechnology                     ,--      ,44.45         ,40.10 ,100     ,1025623      ,1073986     ,67.94                   ,64.88                  ,No        ,44.75 ,44.85 ,40.20 ,68.05                 ,1503910       ,1025775    ,46.33                    ,67.93                 ,No                ,Health Care           ,--            ,44.45     ,39.80 ,200     ,1465060     ,136.80                    ,47.56                  ,44.68M         ,No                  ,D  ,--       ,--                 ,42.86          ,28.57                 ,28.57           ,--                     ,--              ,7                 ,1.86              ,-276.01M  ,--     ,-276.01M,36.95M            ,-8.29   ,-8.29     ,-7.45     ,-7.76       ,-4.73     ,-1.90     ,-3.42     ,-95.91                      ,--         ,--                ,-4.30  ,+2.80                  ,+14.70                     ,+1.53                  ,+23.37                  ,-82.00               ,0.00                 ,-2.88                ,+0.43     ,45.44        ,45.44    ,28.42                  ,28.95     ,19.74    ,93.07                   ,-1.07                        ,-9.67   ,+0.30,+8.90                  ,-0.04                 ,+5.78                  ,+3.57                    ,+44.79               ,-60.86               ,-14.75               ,-132.75           ,3               ,45.44     ,45.44   ,42.60       ,28.95   ,-20.06               ,4.70           ,-4.60    ,+0.67 ,+1.29                   ,+5.70                    ,+14.93                   ,+8.42                 ,+16.15               ,+51.61               ,-37.95               ,-112.06           ,45.44      ,73.27     ,41.70    ,28.95  ,5.05         ,92.00            ,-0.35         ,-0.23             ,--                   ,--                       ,7.81            ,--           ,--                   ,--       ,42.20     ,36.33     ,40.62      ,39.87     ,39.15      ,65.89                ,50.68     ,21.36                   ,67.92,46.57               ,4.20                      ,7.40           ,35.69     ,42.61      ,39.72     ,38.09     ,39.82      ,52.23     ,53.71                ,12.97         ,85.15,1.66       ,9.05           ,9.95                      ,38.75     ,37.55      ,38.14     ,57.51                ,27.73                   ,89.67   ,30.94                  ,1.80           ,12.20                     ,6413.23   , 
BCRX  ,-10.27     ,8.30      ,1232788   ,--       ,736.74M   ,101            ,+4.72                     ,55.71     ,8.18      ,0.69 ,-35.58      ,3.06                   ,43.85             ,22.40                  ,7.65                   ,Biotechnology                                 ,NCM     ,BIOCRYST PHARMACEUTICALS ,Biotechnology                     ,--      ,9.20          ,8.29  ,200     ,1546139      ,1268602     ,79.73                   ,97.18                  ,No        ,9.25  ,9.25  ,8.30  ,45.71                 ,3355066       ,1877961    ,36.74                    ,65.65                 ,No                ,Health Care           ,--            ,9.19      ,8.27  ,1400    ,3200894     ,78.70                     ,38.51                  ,13.59M         ,No                  ,C  ,--       ,C                  ,30.00          ,30.00                 ,30.00           ,10.00                  ,--              ,10                ,2.20              ,-55.14M   ,26.35M ,-55.14M ,80.08M            ,-0.75   ,-0.75     ,-0.59     ,-0.67       ,-0.68     ,-0.55     ,-0.79     ,-17.40                      ,-209.25    ,405.43            ,-0.89  ,+2.00                  ,+20.06                     ,+3.4727                ,+37.40                  ,-12.12               ,+64.80               ,+84.07               ,+3.52     ,9.20         ,9.20     ,-0.56                  ,4.20      ,2.36     ,96.94                   ,-0.09                        ,-9.68   ,+0.06,+1.85                  ,-0.01                 ,+1.7341                ,+60.74                   ,+45.34               ,-17.06               ,+11.63               ,-223.70           ,0               ,9.20      ,9.20    ,8.67        ,4.20    ,-5.91                ,0.95           ,-0.95    ,+0.65 ,+0.414                  ,+1.5355                  ,+23.26                   ,+2.5015               ,+241.70              ,+575.57              ,+51.82               ,-51.97            ,9.20       ,8.69      ,8.21     ,4.20   ,0.98         ,98.00            ,-0.03         ,-0.53             ,--                   ,--                       ,430.17          ,1614.77      ,--                   ,27.96    ,8.69      ,6.71      ,5.87       ,7.92      ,6.32       ,77.14                ,58.83     ,18.59                   ,64.42,10.14               ,2.63                      ,1.71           ,6.71      ,5.02       ,8.29      ,7.04      ,6.14       ,59.54     ,63.83                ,20.08         ,85.36,0.64       ,2.38           ,2.31                      ,7.65      ,6.17       ,6.86      ,67.32                ,27.92                   ,90.92   ,5.17                   ,2.20           ,3.24                      ,16685.35  , 
CRBP  ,-9.86      ,9.4652    ,2453448   ,--       ,504.07M   ,36             ,+7.24                     ,54.89     ,9.32      ,0.47 ,-62.72      ,23.35                  ,1.67              ,--                     ,9.19                   ,Biotechnology                                 ,NASDAQ  ,CORBUS PHARMACEUTICALS HL,Biotechnology                     ,--      ,10.35         ,9.45  ,6400    ,1129172      ,1353903     ,217.28                  ,181.21                 ,No        ,10.50 ,10.50 ,9.50  ,16.29                 ,1177163       ,945550     ,208.42                   ,259.47                ,No                ,Health Care           ,--            ,10.35     ,9.15  ,1200    ,1196220     ,90.06                     ,205.10                 ,11.14M         ,No                  ,NC ,--       ,--                 ,75.00          ,25.00                 ,--              ,--                     ,--              ,4                 ,1.25              ,-20.00M   ,1.91M  ,-20.00M ,48.7M             ,-0.49   ,-0.49     ,-0.28     ,-0.64       ,-0.13     ,-0.09     ,-0.13     ,--                          ,-1046.27   ,76.46             ,-0.8848,+0.6652                ,+12.59                     ,+2.6727                ,+28.57                  ,+220.00              ,0.00                 ,+162.27              ,+2.46     ,10.50        ,10.50    ,0.28                   ,8.00      ,1.63     ,76.65                   ,-0.79                        ,-8.55   ,+0.15,+0.8652                ,+0.03                 ,+1.2459                ,+34.81                   ,+22.49               ,0.00                 ,+12.50               ,-223.40           ,0               ,10.50     ,10.50   ,9.60        ,8.00    ,-7.52                ,1.0348         ,-1.0348  ,+1.45 ,+0.699                  ,+1.1572                  ,+13.69                   ,+2.2996               ,+448.57              ,0.00                 ,+109.05              ,-130.02           ,10.50      ,10.78     ,8.85     ,6.15   ,1.35         ,88.00            ,-0.3152       ,-0.91             ,--                   ,--                       ,51.86           ,0.05         ,--                   ,263.71   ,9.48      ,8.05      ,7.81       ,9.14      ,7.77       ,75.31                ,55.83     ,13.90                   ,37.28,10.10               ,1.50                      ,1.03           ,8.13      ,6.20       ,9.39      ,8.47      ,7.50       ,56.64     ,59.40                ,32.62         ,67.81,0.46       ,2.87           ,1.55                      ,9.19      ,7.75       ,8.32      ,62.96                ,27.36                   ,71.24   ,8.29                   ,0.72           ,3.45                      ,298.34    , 
ALNY  ,-9.40      ,54.36     ,1232754   ,--       ,5.14B     ,155            ,+7.37                     ,57.74     ,52.73     ,2.81 ,-53.02      ,4.87                   ,30.99             ,31.71                  ,51.49                  ,Biotechnology                                 ,NCM     ,ALNYLAM PHARMACEUTICALS I,Biotechnology                     ,--      ,59.71         ,54.34 ,100     ,2067155      ,1364299     ,59.64                   ,90.36                  ,No        ,60.00 ,60.41 ,54.38 ,84.42                 ,1152563       ,1027028    ,106.96                   ,120.03                ,No                ,Health Care           ,--            ,59.71     ,54.05 ,100     ,1123662     ,66.74                     ,109.71                 ,114.58M        ,No                  ,D  ,***      ,C                  ,31.25          ,31.25                 ,37.50           ,--                     ,--              ,16                ,2.06              ,-410.11M  ,47.16M ,-410.11M,86.05M            ,-4.79   ,-4.79     ,-3.45     ,-5.41       ,-4.85     ,-1.45     ,-2.11     ,0.90                        ,-869.63    ,91.75             ,-5.35  ,+1.57                  ,+15.96                     ,+12.56                 ,+32.27                  ,-52.49               ,+376.70              ,-28.00               ,+2.76     ,59.80        ,59.80    ,19.70                  ,45.00     ,31.38    ,95.13                   ,-3.35                        ,-8.96   ,+0.29,+16.21                 ,+0.05                 ,+8.91                  ,+26.65                   ,+59.48               ,-24.05               ,+17.71               ,-37.54            ,10              ,59.80     ,59.80   ,55.41       ,45.00   ,-22.67               ,6.05           ,-5.64    ,+0.49 ,+4.10                   ,+8.22                    ,+17.53                   ,+14.57                ,-4.48                ,+121.00              ,-26.07               ,-30.96            ,59.80      ,80.11     ,49.50    ,35.97  ,6.36         ,94.00            ,-0.31         ,-0.53             ,--                   ,--                       ,5.58            ,16.30        ,--                   ,108.96   ,53.45     ,45.67     ,44.16      ,51.69     ,47.90      ,82.63                ,54.69     ,15.80                   ,46.98,57.74               ,11.43                     ,13.89          ,44.74     ,53.68      ,52.54     ,47.97     ,48.72      ,58.44     ,59.18                ,27.45         ,77.37,2.52       ,16.21          ,17.49                     ,51.49     ,43.70      ,47.54     ,67.07                ,27.76                   ,85.34   ,45.24                  ,7.50           ,20.75                     ,5587.92   , 
KITE  ,-9.17      ,77.81     ,1978313   ,--       ,4.66B     ,273            ,+2.43                     ,54.35     ,78.03     ,7.19 ,-63.09      ,15.50                  ,-6.50             ,49.64                  ,74.42                  ,Biotechnology                                 ,NASDAQ  ,KITE PHARMA INC          ,Biotechnology                     ,--      ,84.94         ,77.79 ,200     ,1847355      ,1290763     ,107.09                  ,153.27                 ,No        ,85.66 ,85.79 ,77.82 ,87.60                 ,2717315       ,1515195    ,72.80                    ,130.56                ,No                ,Health Care           ,--            ,84.94     ,76.34 ,100     ,2526357     ,149.73                    ,78.31                  ,155.27M        ,No                  ,D  ,--       ,--                 ,33.33          ,33.33                 ,33.33           ,--                     ,--              ,18                ,2.00              ,-267.07M  ,22.17M ,-267.07M,54.83M            ,-5.46   ,-5.46     ,-2.33     ,-5.83       ,-1.91     ,-1.43     ,-0.48     ,--                          ,-1204.65   ,49.60             ,-7.14  ,+6.56                  ,+14.14                     ,+30.97                 ,+43.50                  ,+31.94               ,0.00                 ,+38.09               ,+2.91     ,86.60        ,88.58    ,-4.97                  ,51.42     ,39.82    ,84.50                   ,2.95                         ,-8.40   ,+0.72,+32.30                 ,-0.07                 ,+13.36                 ,+57.37                   ,+89.43               ,0.00                 ,+38.96               ,-51.18            ,1               ,86.60     ,88.58   ,83.30       ,51.42   ,-36.52               ,7.99           ,-7.86    ,+0.85 ,+2.01                   ,+10.52                   ,+18.67                   ,+25.75                ,+88.30               ,0.00                 ,+22.82               ,-43.35            ,88.58      ,80.82     ,82.28    ,44.84  ,9.45         ,99.00            ,-1.47         ,-0.67             ,--                   ,--                       ,10.73           ,--           ,--                   ,210.08   ,82.60     ,60.38     ,53.95      ,75.34     ,58.95      ,76.25                ,61.11     ,18.14                   ,36.91,96.71               ,30.28                     ,28.92          ,58.22     ,54.30      ,80.10     ,65.02     ,57.86      ,62.81     ,66.61                ,29.40         ,67.22,7.42       ,31.90          ,33.56                     ,74.42     ,54.33      ,63.15     ,71.54                ,33.25                   ,79.10   ,52.12                  ,22.80          ,37.73                     ,-2336.11  , 
JUNO  ,-9.09      ,20.80     ,1618202   ,--       ,2.42B     ,192            ,+0.57                     ,36.57     ,22.56     ,0.17 ,-93.13      ,10.00                  ,-16.32            ,19.76                  ,22.66                  ,Biotechnology                                 ,NASDAQ  ,JUNO THERAPEUTICS INC    ,Biotechnology                     ,--      ,22.85         ,20.80 ,300     ,1717845      ,1857537     ,94.20                   ,87.12                  ,No        ,22.88 ,23.05 ,20.82 ,47.78                 ,1969649       ,1656097    ,82.16                    ,97.71                 ,No                ,Health Care           ,--            ,22.85     ,20.55 ,500     ,1922418     ,139.63                    ,84.18                  ,40.03M         ,No                  ,F  ,--       ,--                 ,35.71          ,7.14                  ,57.14           ,--                     ,--              ,14                ,2.21              ,-245.58M  ,79.36M ,-245.58M,106.02M           ,-2.42   ,-2.42     ,-2.72     ,-2.86       ,-36.82    ,-33.99    ,--        ,--                          ,-309.47    ,143.50            ,-2.05  ,-4.01                  ,+0.83                      ,-1.09                  ,+6.22                   ,-57.01               ,0.00                 ,-44.65               ,+2.33     ,23.50        ,25.50    ,26.67                  ,20.50     ,17.52    ,90.00                   ,8.71                         ,-8.97   ,+0.03,+1.71                  ,-0.12                 ,+0.04                  ,-4.56                    ,+21.22               ,0.00                 ,+19.90               ,-22.13            ,3               ,24.35     ,25.50   ,22.62       ,20.50   ,-3.03                ,2.25           ,-2.08    ,+0.13 ,+0.13                   ,+0.19                    ,+0.16                    ,+1.34                 ,-39.68               ,0.00                 ,-18.73               ,-17.58            ,25.50      ,49.72     ,22.38    ,18.89  ,2.50         ,92.00            ,-0.25         ,-0.40             ,--                   ,--                       ,3.04            ,--           ,--                   ,30.53    ,22.73     ,21.61     ,23.28      ,22.50     ,23.29      ,51.41                ,46.51     ,27.88                   ,6.87 ,24.88               ,-0.28                     ,2.77           ,21.24     ,27.52      ,22.61     ,22.18     ,23.99      ,46.32     ,49.33                ,8.55          ,34.29,0.34       ,1.25           ,3.74                      ,22.66     ,22.22      ,22.27     ,51.49                ,23.49                   ,46.85   ,20.44                  ,-2.29          ,3.22                      ,-4443.44  , 
ARRY  ,-8.61      ,9.13      ,4680163   ,--       ,1.70B     ,129            ,-2.06                     ,22.11     ,10.76     ,-0.23,-93.79      ,5.43                   ,-0.65             ,23.97                  ,11.04                  ,Biotechnology                                 ,NCM     ,ARRAY BIOPHARMA INC      ,Biotechnology                     ,--      ,10.07         ,9.12  ,2500    ,6804178      ,5541153     ,68.78                   ,84.46                  ,No        ,9.99  ,10.00 ,9.13  ,78.24                 ,4329165       ,4706033    ,108.11                   ,99.45                 ,No                ,Health Care           ,--            ,10.07     ,9.08  ,1700    ,4284124     ,30.84                     ,109.24                 ,70.98M         ,No                  ,C  ,--       ,C                  ,66.67          ,11.11                 ,22.22           ,--                     ,--              ,9                 ,1.56              ,-92.84M   ,30.55M ,-92.84M ,169.01M           ,-0.66   ,-0.65     ,0.07      ,-0.71       ,-0.69     ,-0.57     ,-0.33     ,16.00                       ,-303.91    ,172.59            ,-0.94  ,-2.52                  ,-8.77                      ,+1.6466                ,-7.44                   ,+29.89               ,+234.18              ,+205.04              ,+2.16     ,10.30        ,12.15    ,3.40                   ,8.93      ,2.50     ,94.57                   ,21.34                        ,-9.33   ,-0.08,+0.13                  ,-0.17                 ,-1.0691                ,+19.55                   ,+14.56               ,+102.30              ,+42.06               ,-343.88           ,2               ,11.43     ,13.40   ,8.93        ,8.93    ,-6.58                ,0.87           ,-0.86    ,-0.79 ,-0.212                  ,-0.968                   ,-9.60                    ,-0.81                 ,+301.52              ,+159.78              ,+235.28              ,-42.19            ,12.15      ,13.40     ,8.93     ,8.50   ,0.92         ,91.00            ,-0.05         ,-0.65             ,--                   ,--                       ,--              ,-299.63      ,--                   ,55.71    ,10.79     ,11.01     ,8.90       ,10.86     ,9.46       ,30.50                ,48.62     ,29.87                   ,6.21 ,12.35               ,-1.30                     ,0.55           ,10.63     ,6.81       ,11.08     ,10.59     ,9.04       ,42.45     ,52.37                ,41.58         ,19.31,0.01       ,-2.05          ,1.31                      ,11.04     ,9.38       ,10.38     ,47.58                ,12.33                   ,20.85   ,9.72                   ,-1.75          ,-1.29                     ,-432.97   , 
