Symbol,% Chg(Open),% Total Return (YTD3),Last Trade,Volume     ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                ,Exchange,Description              ,Sub-Industry                  ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow , 
SND   ,-9.43      ,0.00                 ,14.41     ,1143297    ,37.90    ,646.19M   ,72             ,+7.00                     ,40.78     ,15.34     ,--   ,-69.35      ,6.28                   ,-21.61            ,21.02                  ,16.12                  ,Energy Equipment & Services             ,NASDAQ  ,SMART SAND INC           ,Oil & Gas Equipment & Services,--      ,15.92         ,14.37 ,100     ,1231464      ,653467      ,92.84                   ,174.96                 ,No        ,15.91 ,16.20 ,14.41 ,32.16                 ,1027527       ,782701     ,111.27                   ,146.07                ,No                ,Energy                ,--            ,15.92     ,14.29 ,200     ,962010      ,220.85                    ,118.84                 ,18.34M         ,No                  ,D  ,--       ,--                 ,50.00          ,33.33                 ,16.67           ,--                     ,--              ,6                 ,1.67              ,10.38M    ,59.23M ,10.38M  ,40.59M            ,0.42    ,0.42      ,0.19      ,0.45        ,0.29      ,--        ,--        ,34.07                       ,17.52   ,575.06            ,-1.51 ,-2.98                  ,-1.26                      ,+0.25                  ,-8.65                   ,0.00                 ,0.00                 ,0.00                 ,0.00      ,16.02        ,21.99    ,5.79                   ,12.51     ,10.30    ,93.72                   ,5.49                         ,-9.48   ,-0.01,-2.34                  ,+0.11                 ,-0.70                  ,+1.57                    ,-3.81                ,+25.60               ,+14.20            ,3               ,16.82     ,21.99   ,15.27       ,12.51   ,-3.99                ,1.79           ,-1.50    ,-0.06,+1.04                   ,-0.20                    ,-4.23                    ,-1.51                 ,0.00                 ,0.00                 ,0.00                 ,+6.78             ,21.99      ,21.99     ,12.51    ,12.51  ,1.91         ,72.00            ,-0.12         ,1.62              ,--                   ,37.90                    ,4.34            ,0.60         ,35.03                ,10.91    ,14.28     ,17.37     ,--         ,15.68     ,--         ,51.45                ,--        ,27.51                   ,30.65,20.58               ,-2.92                     ,-1.50          ,17.25     ,--         ,15.20     ,--        ,--         ,--        ,50.00                ,4.14          ,46.83,--         ,-4.02          ,0.52                      ,16.12     ,--         ,--        ,50.00                ,25.32                   ,42.75   ,11.67                  ,-5.53          ,-3.04                     ,-3055.48   , 
PPBI  ,-9.24      ,+136.37              ,35.40     ,400674     ,26.47    ,1.08B     ,71             ,+0.71                     ,23.99     ,38.94     ,-0.32,-94.53      ,8.86                   ,-11.60            ,14.54                  ,39.66                  ,Banks                                   ,NCM     ,PACIFIC PREMIER BANCORP I,Regional Banks                ,--      ,38.65         ,35.30 ,500     ,292868       ,194208      ,136.78                  ,206.26                 ,No        ,38.95 ,38.95 ,35.40 ,82.45                 ,201139        ,245428     ,199.15                   ,163.21                ,No                ,Financials            ,--            ,38.65     ,35.00 ,700     ,193379      ,166.85                    ,207.14                 ,11.55M         ,No                  ,D  ,--       ,B                  ,42.86          ,42.86                 ,14.29           ,--                     ,--              ,7                 ,1.71              ,40.10M    ,186.19M,40.10M  ,27.91M            ,1.46    ,1.46      ,1.19      ,1.94        ,0.96      ,0.54      ,1.44      ,8.00                        ,24.47   ,367.45            ,-3.30 ,-5.55                  ,-2.54                      ,+5.53                  ,-0.20                   ,+144.94              ,+387.18              ,+60.00               ,+0.71     ,39.79        ,41.90    ,2.95                   ,38.50     ,20.05    ,91.14                   ,11.15                        ,-8.54   ,+0.30,-0.69                  ,-0.10                 ,-1.29                  ,+16.68                   ,+9.34                ,+24.80               ,+10.57            ,0               ,40.20     ,41.90   ,38.54       ,38.50   ,-14.95               ,3.60           ,-3.60    ,+0.78,+0.27                   ,-1.01                    ,-3.23                    ,-0.08                 ,+92.75               ,+220.22              ,+48.20               ,+1.18             ,41.90      ,41.90     ,38.50    ,34.60  ,3.95         ,90.00            ,-0.35         ,1.13              ,--                   ,26.47                    ,3.09            ,--           ,19.89                ,5.79     ,38.80     ,38.94     ,33.83      ,39.09     ,35.76      ,41.03                ,49.13     ,34.44                   ,5.47 ,42.20               ,-1.60                     ,1.10           ,38.32     ,30.48      ,39.29     ,38.29     ,34.84      ,42.81     ,56.03                ,33.82         ,17.02,0.10       ,-0.65          ,4.30                      ,39.66     ,35.31      ,37.79     ,52.47                ,17.03                   ,20.31   ,37.11                  ,-5.25          ,2.40                      ,-348.34    , 
BXS   ,-7.94      ,+33.18               ,28.98     ,1121888    ,22.22    ,2.93B     ,68             ,+0.84                     ,26.43     ,31.09     ,-0.01,-97.10      ,3.70                   ,-19.07            ,12.73                  ,31.34                  ,Banks                                   ,NYSE    ,BANCORPSOUTH INC         ,Regional Banks                ,0.50    ,31.30         ,28.95 ,300     ,622970       ,590687      ,180.07                  ,189.91                 ,No        ,31.50 ,31.60 ,29.00 ,68.76                 ,494059        ,500886     ,227.06                   ,223.96                ,Yes               ,Financials            ,1.60          ,31.30     ,28.90 ,1700    ,490954      ,207.28                    ,228.49                 ,19.64M         ,No                  ,C  ,***      ,B                  ,9.09           ,--                    ,90.91           ,--                     ,--              ,11                ,2.82              ,132.73M   ,762.21M,132.73M ,93.73M            ,1.41    ,1.41      ,1.33      ,1.62        ,1.21      ,0.99      ,0.90      ,20.00                       ,18.22   ,182.21            ,-2.30 ,-2.75                  ,-0.14                      ,+3.25                  ,+1.44                   ,+40.80               ,+143.17              ,+31.57               ,+1.33     ,31.80        ,32.40    ,0.80                   ,30.60     ,20.19    ,96.30                   ,7.90                         ,-7.35   ,+0.20,-2.65                  ,-0.07                 ,-0.17                  ,+11.60                   ,+1.21                ,+9.04                ,+7.86             ,1               ,32.00     ,32.40   ,31.25       ,30.60   ,-8.71                ,2.60           ,-2.50    ,+0.64,+0.26                   ,-0.04                    ,-0.55                    ,+0.45                 ,+54.67               ,+109.35              ,+25.67               ,+0.93             ,32.40      ,32.40     ,30.75    ,28.60  ,2.70         ,65.00            ,-0.10         ,0.95              ,--                   ,22.22                    ,2.10            ,--           ,19.33                ,3.85     ,31.16     ,30.76     ,28.51      ,31.10     ,29.44      ,49.34                ,48.74     ,34.79                   ,2.90 ,32.57               ,-0.10                     ,-2.05          ,30.87     ,26.49      ,31.29     ,30.68     ,28.97      ,43.61     ,55.54                ,41.17         ,36.15,0.19       ,-1.00          ,0.75                      ,31.34     ,29.58      ,30.45     ,54.05                ,14.50                   ,50.63   ,30.12                  ,-2.60          ,1.35                      ,-1566.13   , 
CAR   ,-7.93      ,-30.31               ,29.72     ,4514994    ,18.30    ,2.75B     ,243            ,-1.55                     ,29.00     ,32.89     ,-1.08,-87.30      ,22.19                  ,-31.91            ,15.99                  ,33.06                  ,Road & Rail                             ,NASDAQ  ,AVIS BUDGET GROUP INC    ,Trucking                      ,--      ,32.03         ,29.71 ,800     ,1706843      ,2106735     ,264.52                  ,214.31                 ,No        ,32.28 ,32.28 ,29.73 ,82.05                 ,1878560       ,1904581    ,240.34                   ,237.06                ,Yes               ,Industrials           ,--            ,32.03     ,28.99 ,800     ,2475685     ,249.86                    ,182.37                 ,56.32M         ,No                  ,C  ,--       ,B-                 ,60.00          ,--                    ,30.00           ,--                     ,10.00           ,10                ,2.00              ,163.00M   ,8.66B  ,163.00M ,85.99M            ,1.75    ,1.75      ,2.98      ,3.42        ,2.22      ,0.15      ,2.42      ,15.00                       ,1.88    ,338.24            ,-2.31 ,-5.32                  ,-3.12                      ,-3.96                  ,-10.22                  ,-43.94               ,+128.91              ,+15.27               ,+2.05     ,32.75        ,36.74    ,9.25                   ,31.77     ,21.85    ,77.81                   ,10.64                        ,-7.21   ,+0.25,-7.60                  ,-0.09                 ,-1.40                  ,-11.02                   ,-12.68               ,-9.69                ,+49.39            ,0               ,34.61     ,41.00   ,31.77       ,31.77   ,-7.14                ,2.56           ,-2.56    ,+0.78,-0.50                   ,-1.03                    ,-4.20                    ,-3.65                 ,+14.34               ,+16.37               ,-4.29                ,+0.92             ,35.76      ,41.53     ,31.77    ,31.77  ,3.29         ,7.00             ,-0.73         ,0.78              ,--                   ,18.30                    ,--              ,5486.88      ,9.36                 ,0.32     ,32.57     ,35.47     ,35.87      ,33.29     ,35.45      ,38.68                ,43.00     ,43.35                   ,12.70,35.38               ,-1.73                     ,-9.22          ,35.74     ,35.67      ,32.88     ,34.82     ,35.45      ,39.24     ,45.52                ,37.86         ,12.17,-0.97      ,-6.95          ,-7.44                     ,33.06     ,36.50      ,35.07     ,43.13                ,19.54                   ,27.77   ,30.74                  ,-4.80          ,-4.06                     ,-8832.81   , 
GWB   ,-7.63      ,0.00                 ,40.94     ,370640     ,19.79    ,2.58B     ,128            ,+0.02                     ,27.42     ,43.91     ,0.15 ,-91.39      ,11.52                  ,3.64              ,22.35                  ,43.99                  ,Banks                                   ,NYSE    ,GREAT WESTERN BANCORP INC,Regional Banks                ,0.68    ,43.98         ,40.89 ,100     ,373133       ,346800      ,99.33                   ,106.87                 ,No        ,44.32 ,44.32 ,40.93 ,99.83                 ,370076        ,314013     ,100.15                   ,118.03                ,No                ,Financials            ,1.50          ,43.98     ,40.50 ,200     ,371572      ,119.95                    ,99.75                  ,16.71M         ,Yes                 ,D  ,--       ,--                 ,42.86          ,42.86                 ,14.29           ,--                     ,--              ,7                 ,1.71              ,121.25M   ,438.24M,121.25M ,58.76M            ,2.22    ,2.14      ,1.90      ,2.54        ,1.81      ,1.66      ,1.26      ,8.30                        ,31.27   ,247.29            ,-3.04 ,-3.54                  ,-0.01                      ,+4.78                  ,+1.41                   ,+109.43              ,0.00                 ,+27.34               ,+1.74     ,45.10        ,45.61    ,1.29                   ,41.72     ,25.87    ,88.48                   ,8.39                         ,-6.91   ,+0.34,-3.06                  ,-0.08                 ,+0.09                  ,+12.18                   ,+1.30                ,+7.28                ,+8.10             ,0               ,45.60     ,45.61   ,43.92       ,41.65   ,-14.63               ,3.38           ,-3.38    ,+0.77,+0.01                   ,-0.01                    ,+0.20                    ,+0.61                 ,+67.88               ,0.00                 ,+25.98               ,+1.19             ,45.61      ,45.61     ,43.46    ,41.23  ,3.82         ,67.00            ,-0.44         ,0.85              ,--                   ,20.55                    ,2.83            ,--           ,17.34                ,5.90     ,44.24     ,43.29     ,39.94      ,43.86     ,41.22      ,47.42                ,49.37     ,32.19                   ,8.61 ,46.20               ,1.88                      ,-2.47          ,43.34     ,37.08      ,44.38     ,43.11     ,40.49      ,44.26     ,55.89                ,27.01         ,41.88,0.41       ,-1.21          ,0.03                      ,43.99     ,41.25      ,42.75     ,54.14                ,18.50                   ,62.61   ,41.77                  ,-1.45          ,1.53                      ,219.01     , 
FFBC  ,-7.58      ,+79.02               ,26.53     ,305655     ,19.93    ,1.77B     ,49             ,+1.44                     ,32.84     ,27.91     ,-0.04,-95.04      ,5.43                   ,5.69              ,17.43                  ,27.99                  ,Banks                                   ,NGM/NGS ,FIRST FINL BANCORP INC/OH,Regional Banks                ,0.68    ,28.50         ,26.50 ,1100    ,413421       ,238090      ,73.93                   ,128.38                 ,No        ,28.70 ,28.70 ,26.55 ,74.80                 ,271703        ,230407     ,112.50                   ,132.66                ,No                ,Financials            ,2.40          ,28.50     ,26.40 ,600     ,264477      ,96.61                     ,115.57                 ,11.76M         ,Yes                 ,C  ,--       ,B                  ,--             ,--                    ,87.50           ,12.50                  ,--              ,8                 ,3.13              ,88.53M    ,375.55M,88.53M  ,62M               ,1.43    ,1.43      ,1.21      ,1.52        ,1.09      ,0.83      ,1.14      ,5.00                        ,26.65   ,218.36            ,-1.98 ,-1.92                  ,+1.82                      ,+2.84                  ,+1.82                   ,+71.54               ,+106.47              ,+43.11               ,+1.23     ,28.85        ,28.92    ,1.10                   ,26.55     ,16.93    ,94.57                   ,5.04                         ,-6.93   ,+0.20,-2.18                  ,-0.05                 ,+0.37                  ,+11.07                   ,+0.79                ,+4.18                ,+10.57            ,0               ,28.92     ,29.10   ,28.25       ,26.55   ,-9.47                ,2.18           ,-2.18    ,+0.70,+0.41                   ,+0.51                    ,+1.31                    ,+0.51                 ,+63.53               ,+107.83              ,+28.84               ,+1.07             ,28.92      ,29.80     ,27.35    ,26.55  ,2.30         ,46.00            ,-0.13         ,0.85              ,--                   ,19.93                    ,2.70            ,--           ,18.73                ,4.70     ,27.83     ,27.92     ,26.08      ,27.93     ,26.71      ,58.18                ,49.39     ,33.59                   ,4.96 ,29.19               ,0.10                      ,-2.03          ,28.01     ,23.95      ,27.86     ,27.75     ,26.26      ,45.05     ,55.72                ,31.56         ,58.24,--         ,-1.38          ,-0.05                     ,27.99     ,26.99      ,27.58     ,54.68                ,17.47                   ,75.54   ,26.79                  ,-2.18          ,0.75                      ,231.31     , 
PACW  ,-7.45      ,+45.72               ,51.04     ,761241     ,18.92    ,6.57B     ,195            ,+0.71                     ,23.06     ,54.98     ,-0.39,-96.72      ,5.08                   ,2.86              ,12.54                  ,55.51                  ,Banks                                   ,NSC     ,PACWEST BANCORP          ,Regional Banks                ,2.00    ,54.80         ,51.03 ,200     ,1163486      ,743444      ,65.43                   ,102.39                 ,No        ,55.15 ,55.15 ,51.05 ,91.81                 ,809223        ,661521     ,94.07                    ,115.07                ,Yes               ,Financials            ,3.60          ,54.80     ,50.82 ,100     ,778790      ,155.27                    ,97.75                  ,64.60M         ,No                  ,D  ,--       ,B                  ,20.00          ,40.00                 ,40.00           ,--                     ,--              ,10                ,2.20              ,352.17M   ,1.13B  ,352.17M ,119.87M           ,2.90    ,2.90      ,2.79      ,3.02        ,1.92      ,1.08      ,1.54      ,10.00                       ,34.97   ,603.42            ,-3.76 ,-5.33                  ,-1.28                      ,+4.35                  ,-0.98                   ,+30.01               ,+178.70              ,+36.41               ,+1.50     ,55.68        ,57.53    ,2.38                   ,54.25     ,34.37    ,94.92                   ,8.67                         ,-6.86   ,+0.35,-4.29                  ,-0.08                 ,-0.94                  ,+8.61                    ,+1.56                ,+8.47                ,+7.93             ,0               ,57.08     ,57.53   ,54.75       ,54.25   ,-16.45               ,4.11           ,-4.11    ,+0.64,+0.39                   ,-0.71                    ,-1.68                    ,-0.54                 ,+61.25               ,+130.30              ,+29.70               ,+1.63             ,57.53      ,57.53     ,54.25    ,52.29  ,4.33         ,50.00            ,-0.22         ,0.81              ,--                   ,18.92                    ,2.90            ,--           ,18.14                ,5.83     ,54.94     ,55.25     ,51.32      ,55.13     ,52.67      ,41.77                ,47.35     ,31.55                   ,3.28 ,57.86               ,-0.78                     ,-3.86          ,55.21     ,47.24      ,55.47     ,54.79     ,51.81      ,41.25     ,53.59                ,35.67         ,22.54,--         ,-2.45          ,-0.38                     ,55.51     ,53.04      ,54.43     ,50.64                ,14.96                   ,31.06   ,53.16                  ,-4.54          ,1.33                      ,347.91     , 
WAL   ,-7.43      ,+122.84              ,47.33     ,1905203    ,20.32    ,5.35B     ,215            ,+0.53                     ,25.86     ,50.97     ,-0.18,-92.29      ,12.02                  ,-23.82            ,13.04                  ,51.52                  ,Banks                                   ,NYSE    ,WESTERN ALLIANCE BANCORP ,Regional Banks                ,--      ,50.80         ,47.30 ,100     ,688416       ,665094      ,276.75                  ,286.46                 ,No        ,51.13 ,51.21 ,47.32 ,85.34                 ,519769        ,572385     ,366.55                   ,332.85                ,No                ,Financials            ,--            ,50.80     ,46.80 ,200     ,512637      ,300.30                    ,371.65                 ,35.45M         ,No                  ,C  ,--       ,B-                 ,44.44          ,44.44                 ,11.11           ,--                     ,--              ,9                 ,1.67              ,259.80M   ,743.42M,259.80M ,105.33M           ,2.50    ,2.50      ,2.03      ,2.97        ,1.68      ,1.31      ,0.83      ,10.67                       ,37.54   ,444.53            ,-3.47 ,-5.97                  ,-1.40                      ,+5.56                  ,+0.71                   ,+72.10               ,+481.12              ,+36.98               ,+1.58     ,52.29        ,53.84    ,2.63                   ,50.36     ,29.72    ,87.98                   ,8.48                         ,-6.83   ,+0.33,-2.82                  ,-0.09                 ,-1.06                  ,+12.28                   ,+4.29                ,+10.53               ,+14.92            ,1               ,52.29     ,53.84   ,50.75       ,50.36   ,-17.08               ,3.88           ,-3.80    ,+0.65,+0.27                   ,-0.72                    ,-2.04                    ,+0.36                 ,+68.48               ,+263.45              ,+35.11               ,+1.65             ,53.84      ,53.84     ,50.75    ,47.15  ,4.41         ,66.00            ,-0.53         ,0.87              ,--                   ,20.32                    ,3.32            ,--           ,17.12                ,7.20     ,50.98     ,50.48     ,46.19      ,51.06     ,47.76      ,43.51                ,49.21     ,35.51                   ,7.71 ,53.73               ,-1.61                     ,-1.87          ,50.28     ,41.79      ,51.34     ,50.26     ,46.81      ,43.53     ,55.38                ,39.96         ,22.59,0.23       ,-0.50          ,1.56                      ,51.52     ,47.85      ,49.79     ,52.64                ,15.23                   ,28.83   ,49.30                  ,-5.41          ,2.58                      ,-2005.25   , 
CVBF  ,-7.24      ,+61.43               ,21.66     ,445939     ,24.66    ,2.55B     ,102            ,+0.36                     ,26.24     ,23.20     ,-0.07,-95.04      ,8.40                   ,-7.94             ,20.34                  ,23.47                  ,Banks                                   ,NGM/NGS ,CVB FINANCIAL CORP       ,Regional Banks                ,0.48    ,23.18         ,21.66 ,300     ,612335       ,493086      ,72.83                   ,90.44                  ,No        ,23.35 ,23.35 ,21.67 ,69.07                 ,435929        ,423068     ,102.30                   ,105.41                ,No                ,Financials            ,2.10          ,23.18     ,21.51 ,100     ,465058      ,164.30                    ,95.89                  ,14.42M         ,Yes                 ,D  ,--       ,B+                 ,--             ,--                    ,100.00          ,--                     ,--              ,5                 ,3.00              ,101.43M   ,298.04M,101.43M ,109.98M           ,0.94    ,0.94      ,0.93      ,1.04        ,0.98      ,0.91      ,0.74      ,9.50                        ,34.21   ,--                ,-1.52 ,-2.54                  ,-1.25                      ,+2.38                  ,+0.41                   ,+56.68               ,+139.42              ,+38.03               ,+1.48     ,23.71        ,24.63    ,1.28                   ,22.79     ,15.25    ,91.60                   ,7.89                         ,-6.56   ,+0.17,-1.63                  ,-0.07                 ,-0.39                  ,+11.43                   ,+1.61                ,+14.93               ,+10.60            ,0               ,23.85     ,24.63   ,23.15       ,22.79   ,-6.26                ,1.69           ,-1.69    ,+0.73,+0.08                   ,-0.29                    ,-1.64                    ,+0.09                 ,+43.79               ,+135.24              ,+35.12               ,+1.29             ,24.63      ,24.63     ,22.94    ,21.87  ,1.85         ,64.00            ,-0.16         ,1.05              ,--                   ,24.66                    ,2.81            ,--           ,22.33                ,8.55     ,23.15     ,23.06     ,21.20      ,23.23     ,21.93      ,44.77                ,48.95     ,30.15                   ,4.96 ,24.56               ,-0.31                     ,-1.32          ,23.05     ,19.49      ,23.37     ,22.94     ,21.54      ,43.46     ,54.98                ,31.39         ,26.29,0.08       ,-1.00          ,0.31                      ,23.47     ,21.96      ,22.75     ,52.57                ,15.74                   ,35.58   ,22.39                  ,-1.99          ,0.39                      ,-498.43    , 
LTXB  ,-7.17      ,+70.32               ,39.22     ,264706     ,20.07    ,2.01B     ,68             ,+1.07                     ,28.12     ,41.77     ,-0.29,-98.11      ,3.50                   ,-2.35             ,12.47                  ,42.29                  ,Banks                                   ,NASDAQ  ,LEGACY TEX FINANCIAL GRP ,Regional Banks                ,0.60    ,41.94         ,39.20 ,200     ,231567       ,261437      ,114.31                  ,101.25                 ,No        ,42.25 ,42.25 ,39.24 ,87.38                 ,194858        ,220176     ,135.85                   ,120.22                ,No                ,Financials            ,1.40          ,41.94     ,39.11 ,200     ,198500      ,157.73                    ,133.35                 ,9.72M          ,Yes                 ,C  ,--       ,B+                 ,50.00          ,25.00                 ,25.00           ,--                     ,--              ,8                 ,1.75              ,97.82M    ,369.28M,97.82M  ,47.89M            ,2.09    ,2.09      ,1.53      ,2.40        ,0.81      ,0.83      ,0.98      ,12.00                       ,31.83   ,348.02            ,-2.72 ,-4.25                  ,-0.82                      ,+3.42                  ,-0.39                   ,+84.12               ,+202.88              ,+60.33               ,+1.06     ,42.24        ,44.94    ,2.69                   ,40.76     ,17.83    ,96.50                   ,6.96                         ,-6.49   ,+0.31,-4.26                  ,-0.06                 ,-0.58                  ,+8.89                    ,-2.24                ,+8.89                ,+11.58            ,0               ,42.61     ,44.94   ,41.80       ,40.76   ,-21.28               ,3.03           ,-3.03    ,+0.74,+0.44                   ,-0.35                    ,-1.37                    ,-0.17                 ,+116.19              ,+120.57              ,+41.58               ,+1.22             ,44.94      ,44.94     ,41.16    ,38.33  ,3.14         ,38.00            ,-0.11         ,0.86              ,--                   ,20.07                    ,2.76            ,--           ,17.48                ,5.44     ,41.54     ,41.97     ,39.31      ,41.88     ,39.94      ,47.29                ,48.71     ,28.15                   ,1.89 ,44.41               ,-0.59                     ,-3.70          ,42.17     ,35.14      ,41.95     ,41.70     ,39.12      ,43.81     ,53.56                ,36.47         ,22.80,-0.06      ,-1.88          ,-1.02                     ,42.29     ,40.66      ,41.43     ,51.24                ,13.10                   ,29.53   ,40.16                  ,-4.38          ,0.91                      ,-59.95     , 
