Symbol,% Chg(Open),Last Trade,P/E (ttm),Market Cap,Description              ,Industry                                ,% Total Return (YTD3),Dividend,In S&P Small Cap 600,% Vol Over Yesterday's Vol,DM (DX) 14 Day, 
AEIS  ,-5.79      ,65.95     ,21.93    ,2.77B     ,ADVANCED ENERGY INDS INC ,Semiconductors & Semiconductor Equipment,+172.52              ,--      ,Yes                 ,190.24                    ,29.66         , 
CAR   ,-7.93      ,29.72     ,18.30    ,2.75B     ,AVIS BUDGET GROUP INC    ,Road & Rail                             ,-30.31               ,--      ,No                  ,251.09                    ,37.86         , 
STLD  ,-5.67      ,34.28     ,23.34    ,8.82B     ,STEEL DYNAMICS INC       ,Metals & Mining                         ,+134.66              ,0.62    ,No                  ,115.66                    ,8.53          , 
AEL   ,-6.00      ,23.95     ,26.04    ,2.23B     ,AMERICAN EQTY INVT LIFE H,Insurance                               ,+9.17                ,0.24    ,Yes                 ,146.86                    ,38.59         , 
CIG   ,-7.00      ,3.255     ,17.12    ,4.68B     ,CIA ENERGETICA DE MINAS  ,Electric Utilities                      ,-5.59                ,0.19    ,No                  ,165.88                    ,1.20          , 
EGRX  ,-6.19      ,78.62     ,16.81    ,1.27B     ,EAGLE PHARMACEUTICALS INC,Biotechnology                           ,+475.97              ,--      ,Yes                 ,51.17                     ,5.92          , 
PPBI  ,-9.24      ,35.35     ,26.47    ,1.08B     ,PACIFIC PREMIER BANCORP I,Banks                                   ,+136.37              ,--      ,No                  ,167.21                    ,33.82         , 
IBTX  ,-7.70      ,61.15     ,22.92    ,1.25B     ,INDEPENDENT BK GRP INC   ,Banks                                   ,+24.74               ,0.40    ,No                  ,134.39                    ,21.18         , 
BXS   ,-7.94      ,29.00     ,22.22    ,2.93B     ,BANCORPSOUTH INC         ,Banks                                   ,+33.18               ,0.50    ,No                  ,208.93                    ,41.17         , 
GWB   ,-7.65      ,40.93     ,19.79    ,2.58B     ,GREAT WESTERN BANCORP INC,Banks                                   ,0.00                 ,0.68    ,Yes                 ,120.73                    ,27.01         , 
PACW  ,-7.52      ,51.00     ,18.92    ,6.57B     ,PACWEST BANCORP          ,Banks                                   ,+45.72               ,2.00    ,No                  ,156.68                    ,35.67         , 
FFBC  ,-7.58      ,26.53     ,19.93    ,1.77B     ,FIRST FINL BANCORP INC/OH,Banks                                   ,+79.02               ,0.68    ,Yes                 ,98.71                     ,31.56         , 
WAL   ,-7.35      ,47.37     ,20.32    ,5.35B     ,WESTERN ALLIANCE BANCORP ,Banks                                   ,+122.84              ,--      ,No                  ,301.86                    ,39.96         , 
HAFC  ,-6.80      ,29.45     ,18.03    ,1.02B     ,HANMI FINANCIAL CORP     ,Banks                                   ,+40.69               ,0.76    ,Yes                 ,147.30                    ,64.04         , 
CVBF  ,-7.24      ,21.66     ,24.66    ,2.55B     ,CVB FINANCIAL CORP       ,Banks                                   ,+61.43               ,0.48    ,Yes                 ,165.51                    ,31.39         , 
SFNC  ,-6.91      ,53.25     ,18.21    ,1.79B     ,SIMMONS FIRST NATL CP  -C,Banks                                   ,+64.65               ,1.00    ,Yes                 ,144.78                    ,66.57         , 
SSB   ,-7.13      ,84.05     ,21.52    ,2.63B     ,SOUTH STATE CORP         ,Banks                                   ,+51.89               ,1.32    ,No                  ,112.26                    ,45.42         , 
