Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                           ,Exchange,Description              ,Sub-Industry                                ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                    ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap ,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow , 
DLTH  ,-6.53      ,21.89     ,2888643   ,32.86    ,558.77M   ,96             ,-1.46                     ,68.08     ,19.75     ,-0.67,-29.59      ,35.17                  ,-12.83            ,40.64                  ,19.70                  ,Internet & Direct Marketing Retail                 ,NASDAQ  ,DULUTH HOLDINGS INC      ,Internet & Direct Marketing Retail          ,--      ,19.26         ,21.89 ,300     ,355545       ,267006      ,812.45                  ,1081.86                ,No        ,23.42 ,23.42 ,21.92 ,30.96                 ,288083        ,234811     ,1002.71                  ,1230.20               ,No                ,Consumer Discretionary    ,--            ,19.26     ,21.06 ,200     ,278818      ,531.89                    ,1036.03                ,6.77M          ,No                  ,F  ,--       ,--                 ,40.00          ,40.00                 ,20.00           ,--                     ,--              ,5                 ,1.80              ,17.51M    ,304.16M,17.51M  ,29.01M            ,0.59    ,0.66      ,0.59      ,0.57        ,0.39      ,--        ,--        ,25.00                       ,5.68    ,414.38            ,+2.63 ,+0.48                  ,-2.24                      ,-6.80                  ,-13.66                  ,0.00                 ,0.00                 ,-20.42               ,0.00      ,19.51        ,22.27    ,14.77                  ,18.25     ,17.02    ,64.83                   ,-11.97                       ,+13.66  ,+4.16,-3.78                  ,+0.14                 ,-0.60                  ,-26.10                   ,-24.17               ,0.00                 ,-37.06               ,+29.03            ,0               ,19.61     ,26.99   ,18.88       ,18.25   ,-4.04                ,1.53           ,-1.53    ,+21.60,-0.29                   ,-0.44                    ,-3.01                    ,-3.05                 ,-4.12                ,0.00                 ,-30.42               ,+14.63            ,21.99      ,38.19     ,18.25    ,18.25  ,2.36         ,3.00             ,-0.83         ,1.42              ,--                   ,29.18                    ,7.05            ,4.75         ,33.59                ,1.84     ,19.22     ,21.92     ,25.85      ,19.99     ,--         ,43.18                ,--        ,18.32                   ,70.41,21.82               ,-2.25                     ,-4.47          ,22.59     ,26.16      ,19.27     ,21.86     ,--         ,48.53     ,50.00                ,36.05         ,46.36,-1.01      ,-1.30          ,-7.40                     ,19.70     ,25.63      ,22.40     ,38.44                ,38.98                   ,31.45   ,17.58                  ,0.74           ,-4.05                     ,-835.14    , 
ESPR  ,-6.48      ,37.96     ,4449270   ,--       ,880.81M   ,170            ,+13.83                    ,62.98     ,32.15     ,3.91 ,-37.02      ,15.77                  ,8.43              ,56.24                  ,30.84                  ,Biotechnology                                      ,NASDAQ  ,ESPERION THERAPEUTICS INC,Biotechnology                               ,--      ,39.05         ,37.92 ,200     ,12799449     ,1004673     ,34.76                   ,442.86                 ,No        ,40.59 ,41.70 ,37.97 ,54.83                 ,4170631       ,1995586    ,106.68                   ,222.96                ,No                ,Health Care               ,--            ,39.04     ,37.26 ,200     ,3931400     ,20.32                     ,113.17                 ,480.15M        ,No                  ,C  ,--       ,--                 ,20.00          ,20.00                 ,60.00           ,--                     ,--              ,10                ,2.40              ,-74.98M   ,--     ,-74.98M ,22.56M            ,-3.33   ,-3.33     ,-2.26     ,-5.99       ,-2.22     ,-3.31     ,-36.31    ,-5.76                       ,--      ,--                ,-1.08 ,+11.10                 ,+26.57                     ,+23.42                 ,+87.85                  ,-76.23               ,0.00                 ,+52.86               ,+2.85     ,48.21        ,48.21    ,-6.56                  ,20.39     ,9.40     ,84.23                   ,-14.69                       ,-2.77   ,+1.55,+25.16                 ,+0.20                 ,+9.45                  ,+149.89                  ,+211.90              ,+52.71               ,+147.82              ,-29.07            ,47              ,48.21     ,48.21   ,38.00       ,20.39   ,-27.86               ,3.74           ,-2.63    ,+3.97 ,+4.74                   ,+8.20                    ,+31.95                   ,+18.26                ,+64.60               ,0.00                 ,+142.99              ,-27.73            ,48.21      ,35.14     ,20.39    ,10.71  ,4.44         ,99.00            ,-0.70         ,-0.51             ,--                   ,--                       ,3.86            ,0.45         ,--                   ,--       ,32.85     ,21.84     ,16.15      ,30.72     ,19.88      ,65.49                ,64.72     ,16.99                   ,62.98,40.07               ,14.62                     ,25.25          ,20.40     ,14.61      ,32.38     ,24.49     ,19.03      ,65.14     ,65.92                ,45.02         ,74.61,3.58       ,26.70          ,26.16                     ,30.84     ,16.81      ,23.17     ,66.65                ,44.81                   ,63.84   ,21.62                  ,15.38          ,28.07                     ,6557.48    , 
DYN   ,-6.47      ,6.79      ,3882316   ,--       ,955.11M   ,85             ,+1.24                     ,27.54     ,7.55      ,-0.46,-93.03      ,19.35                  ,-1.80             ,36.79                  ,7.76                   ,Independent Power & Renewable Electricity Producers,NYSE    ,DYNEGY INC               ,Independent Power Producers & Energy Traders,--      ,7.29          ,6.78  ,2200    ,3979634      ,3656291     ,97.55                   ,106.18                 ,No        ,7.26  ,7.29  ,6.79  ,78.93                 ,3672376       ,3442182    ,105.72                   ,112.79                ,No                ,Utilities                 ,--            ,7.29      ,6.67  ,4100    ,3573074     ,113.34                    ,108.65                 ,29.15M         ,No                  ,C  ,--       ,--                 ,38.46          ,15.38                 ,30.77           ,--                     ,15.38           ,13                ,2.38              ,-1.24B    ,4.32B  ,-1.24B  ,131.02M           ,-9.78   ,-9.78     ,0.22      ,-0.98       ,-2.65     ,-3.56     ,-1.07     ,-34.74                      ,-28.72  ,1757.43           ,-0.50 ,-1.39                  ,-6.10                      ,-2.4343                ,-16.73                  ,-73.91               ,0.00                 ,-57.32               ,+1.85     ,7.35         ,9.30     ,14.72                  ,7.07      ,7.01     ,80.65                   ,11.59                        ,-6.86   ,-0.03,-1.68                  ,-0.07                 ,-0.6932                ,-25.03                   ,-13.83               ,-70.13               ,-7.05                ,-59.76            ,1               ,7.60      ,10.46   ,7.09        ,7.07    ,0.34                 ,0.50           ,-0.47    ,-0.41 ,+0.089                  ,-0.4738                  ,-8.68                    ,-1.465                ,-46.17               ,-68.12               ,-36.54               ,-10.15            ,9.25       ,22.01     ,7.07     ,7.07   ,0.62         ,6.00             ,-0.12         ,-0.03             ,--                   ,--                       ,1.05            ,471.31       ,--                   ,0.22     ,7.37      ,8.70      ,9.37       ,7.72      ,9.25       ,35.55                ,40.79     ,33.03                   ,6.97 ,8.76                ,-1.82                     ,-1.23          ,8.70      ,11.60      ,7.58      ,8.37      ,9.62       ,37.64     ,42.37                ,50.38         ,9.41 ,-0.40      ,-2.74          ,-1.06                     ,7.76      ,8.74       ,8.53      ,40.46                ,10.90                   ,12.01   ,6.77                   ,-2.22          ,-1.80                     ,-905.36    , 
JNUG  ,-6.16      ,7.16      ,49013512  ,--       ,1.23B     ,100            ,+3.11                     ,48.00     ,7.20      ,-0.59,-32.28      ,46.07                  ,3.57              ,27.98                  ,7.13                   ,--                                                 ,NYSE    ,DIREXION DLY JR GOLD MNRS,--                                          ,0.02    ,7.37          ,7.15  ,3100    ,88173549     ,43491266    ,55.59                   ,112.70                 ,No        ,7.63  ,7.64  ,7.16  ,100.00                ,79117061      ,63587364   ,61.95                    ,77.08                 ,No                ,--                        ,0.30          ,7.37      ,6.75  ,4400    ,75442375    ,59.02                     ,64.97                  ,643.05M        ,No                  ,NC ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,--        ,--     ,--      ,167.47M           ,--      ,--        ,--        ,--          ,--        ,--        ,--        ,--                          ,--      ,--                ,-0.21 ,+0.01                  ,+3.38                      ,-2.5567                ,-15.49                  ,-10.16               ,0.00                 ,-27.21               ,-0.23     ,7.78         ,12.39    ,25.65                  ,5.20      ,3.77     ,53.93                   ,-9.31                        ,-2.85   ,+0.26,+1.46                  ,-0.06                 ,-0.3055                ,-25.76                   ,+32.08               ,-95.93               ,+17.34               ,0.00              ,2               ,8.09      ,13.03   ,7.21        ,5.20    ,-2.98                ,0.48           ,-0.47    ,+3.53 ,+0.2226                 ,+0.2412                  ,-3.98                    ,-1.3504               ,-11.02               ,0.00                 ,-50.85               ,0.00              ,11.73      ,33.29     ,5.71     ,5.20   ,0.89         ,99.00            ,-0.41         ,--                ,--                   ,--                       ,--              ,--           ,--                   ,--       ,6.75      ,8.81      ,8.93       ,7.43      ,9.44       ,49.67                ,46.82     ,26.60                   ,67.72,10.07               ,-3.65                     ,3.03           ,8.41      ,14.54      ,6.49      ,8.21      ,9.90       ,46.73     ,47.10                ,18.74         ,67.75,-0.73      ,-1.74          ,3.24                      ,7.13      ,8.23       ,8.42      ,47.24                ,18.20                   ,59.22   ,4.18                   ,-3.82          ,-1.80                     ,42413.50   , 
VRTU  ,-6.16      ,29.11     ,561249    ,67.34    ,925.70M   ,97             ,-0.43                     ,33.62     ,31.14     ,0.64 ,-99.15      ,2.16                   ,-24.01            ,32.15                  ,31.38                  ,IT Services                                        ,NASDAQ  ,VIRTUSA CORP             ,IT Consulting & Other Services              ,--      ,30.90         ,29.11 ,200     ,512295       ,343803      ,109.56                  ,163.25                 ,No        ,31.02 ,31.37 ,29.16 ,91.34                 ,553440        ,323614     ,101.41                   ,173.43                ,No                ,Information Technology    ,--            ,30.90     ,29.06 ,100     ,517498      ,114.98                    ,108.45                 ,16.22M         ,Yes                 ,D  ,--       ,--                 ,44.44          ,33.33                 ,22.22           ,--                     ,--              ,9                 ,1.78              ,45.02M    ,600.30M,45.02M  ,29.96M            ,0.46    ,1.49      ,1.44      ,1.27        ,1.27      ,1.11      ,0.79      ,15.83                       ,7.46    ,32.94             ,-1.79 ,-2.29                  ,-1.54                      ,+5.84                  ,+8.07                   ,-21.94               ,+103.08              ,-11.98               ,+1.56     ,32.29        ,34.92    ,6.94                   ,27.08     ,18.03    ,97.84                   ,9.36                         ,-5.79   ,+0.12,+3.92                  ,-0.09                 ,-0.22                  ,+23.33                   ,+23.01               ,-10.06               ,+39.56               ,+3.66             ,2               ,33.09     ,34.92   ,30.82       ,27.08   ,-11.03               ,2.26           ,-1.91    ,+0.39 ,-0.13                   ,-0.48                    ,-0.72                    ,+2.31                 ,-8.29                ,+33.14               ,+18.22               ,+2.38             ,34.92      ,38.31     ,30.82    ,24.84  ,2.31         ,95.00            ,-0.05         ,2.91              ,--                   ,20.74                    ,4.38            ,29.56        ,24.24                ,1.54     ,31.67     ,28.85     ,25.11      ,30.91     ,27.55      ,47.00                ,53.18     ,22.01                   ,0.85 ,33.98               ,2.04                      ,4.46           ,28.30     ,25.98      ,31.83     ,29.12     ,27.41      ,51.38     ,57.31                ,1.43          ,3.80 ,1.07       ,2.17           ,5.92                      ,31.38     ,25.64      ,28.64     ,57.89                ,21.39                   ,16.88   ,28.79                  ,0.31           ,4.34                      ,-2024.43   , 
RRD   ,-5.99      ,11.46     ,1312492   ,--       ,854.01M   ,85             ,-4.08                     ,13.77     ,14.01     ,-1.31,-100.00     ,0.68                   ,-51.26            ,43.47                  ,15.11                  ,Commercial Services & Supplies                     ,NYSE    ,DONNELLEY (R R) & SONS CO,Commercial Printing                         ,0.56    ,12.22         ,11.45 ,200     ,1958089      ,1457113     ,67.03                   ,90.07                  ,No        ,12.19 ,12.19 ,11.46 ,90.07                 ,1930914       ,1273078    ,67.97                    ,103.10                ,No                ,Industrials               ,4.60          ,12.22     ,11.46 ,1400    ,1837612     ,94.34                     ,71.42                  ,26.10M         ,Yes                 ,D  ,***      ,B-                 ,33.33          ,33.33                 ,--              ,--                     ,33.33           ,3                 ,2.67              ,-494.60M  ,6.90B  ,-494.60M,69.89M            ,-7.09   ,-7.09     ,2.20      ,0.97        ,1.77      ,3.45      ,-10.83    ,5.75                        ,-7.19   ,155.45            ,-0.76 ,-5.41                  ,-19.15                     ,-8.60                  ,-26.36                  ,-44.58               ,-1.92                ,-28.38               ,+2.12     ,12.95        ,18.51    ,15.89                  ,12.21     ,14.80    ,99.32                   ,24.34                        ,-6.22   ,-0.03,-4.97                  ,-0.17                 ,-3.45                  ,-41.30                   ,-24.54               ,-40.56               ,-2.81                ,-171.44           ,0               ,13.86     ,18.51   ,12.21       ,12.21   ,3.35                 ,0.73           ,-0.73    ,-0.25 ,-0.52                   ,-2.89                    ,-21.99                   ,-4.37                 ,-41.63               ,+6.42                ,-32.79               ,-8.55             ,18.51      ,28.08     ,12.21    ,12.21  ,0.74         ,5.00             ,-0.01         ,-0.07             ,--                   ,--                       ,--              ,-2580.48     ,12.55                ,0.12     ,13.34     ,16.44     ,17.77      ,14.51     ,19.64      ,16.54                ,30.07     ,50.97                   ,--   ,19.30               ,-6.06                     ,-4.74          ,16.48     ,31.02      ,14.25     ,16.15     ,21.25      ,27.30     ,31.21                ,73.75         ,0.37 ,-0.98      ,-5.59          ,-4.67                     ,15.11     ,16.71      ,16.71     ,29.18                ,7.70                    ,3.33    ,10.93                  ,-6.51          ,-4.26                     ,-13420.24  , 
TWI   ,-5.87      ,9.30      ,609556    ,--       ,591.07M   ,62             ,-3.05                     ,16.55     ,11.32     ,-0.75,-97.85      ,12.33                  ,-33.66            ,38.13                  ,12.10                  ,Machinery                                          ,NYSE    ,TITAN INTERNATIONAL INC  ,Agriculture & Farm Machinery                ,0.02    ,9.91          ,9.30  ,200     ,1311909      ,492825      ,46.46                   ,123.69                 ,No        ,9.88  ,9.94  ,9.31  ,68.77                 ,609784        ,476855     ,99.96                    ,127.83                ,No                ,Industrials               ,0.20          ,9.91      ,9.21  ,600     ,586191      ,89.82                     ,103.99                 ,13.87M         ,Yes                 ,B  ,--       ,B-                 ,25.00          ,25.00                 ,50.00           ,--                     ,--              ,4                 ,2.25              ,-36.14M   ,1.27B  ,-36.14M ,59.64M            ,-0.81   ,-0.81     ,-1.74     ,-0.11       ,-2.43     ,0.64      ,2.05      ,18.33                       ,-2.69   ,207.46            ,-0.61 ,-4.28                  ,-18.10                     ,-1.3244                ,-18.48                  ,+10.48               ,-58.14               ,+109.21              ,+1.48     ,10.60        ,14.23    ,4.29                   ,9.86      ,4.80     ,87.67                   ,25.35                        ,-6.16   ,-0.03,-2.01                  ,-0.13                 ,-2.5527                ,-11.79                   ,-11.60               ,-41.56               ,+14.58               ,-11.31            ,4               ,11.43     ,14.23   ,9.86        ,9.86    ,-4.41                ,0.64           ,-0.58    ,-0.30 ,-0.312                  ,-2.19                    ,-20.48                   ,-2.2472               ,+81.83               ,-51.35               ,+44.21               ,-2.85             ,14.23      ,14.23     ,9.86     ,9.86   ,0.73         ,17.00            ,-0.09         ,-0.53             ,--                   ,--                       ,1.94            ,103.55       ,--                   ,0.47     ,11.04     ,12.19     ,11.46      ,11.61     ,11.50      ,19.76                ,41.47     ,42.63                   ,2.15 ,14.71               ,-3.86                     ,-1.73          ,12.06     ,10.01      ,11.66     ,11.97     ,11.24      ,34.67     ,43.48                ,69.55         ,3.20 ,-0.38      ,-1.33          ,-1.44                     ,12.10     ,11.71      ,11.92     ,37.23                ,7.66                    ,6.94    ,9.49                   ,-4.85          ,-0.35                     ,-3240.71   , 
VCRA  ,-5.75      ,22.62     ,321620    ,--       ,671.20M   ,93             ,+1.31                     ,50.97     ,22.81     ,0.90 ,-50.12      ,18.95                  ,39.99             ,39.39                  ,22.20                  ,Health Care Technology                             ,NYSE    ,VOCERA COMMUNICATIONS INC,Health Care Technology                      ,--      ,24.13         ,22.61 ,200     ,242060       ,252668      ,132.87                  ,127.29                 ,No        ,24.00 ,24.16 ,22.65 ,97.52                 ,207780        ,269450     ,154.79                   ,119.36                ,No                ,Health Care               ,--            ,24.13     ,22.26 ,100     ,206527      ,118.06                    ,155.73                 ,5.81M          ,No                  ,B  ,--       ,--                 ,70.00          ,30.00                 ,--              ,--                     ,--              ,10                ,1.30              ,-17.27M   ,127.70M,-17.27M ,27.82M            ,-0.64   ,-0.64     ,-0.66     ,0.18        ,-1.12     ,-0.43     ,0.08      ,17.00                       ,-13.52  ,219.79            ,-1.51 ,+1.92                  ,+8.71                      ,+5.18                  ,+16.07                  ,+141.26              ,0.00                 ,+79.13               ,-0.24     ,24.60        ,24.67    ,-1.68                  ,19.80     ,10.46    ,81.05                   ,0.21                         ,-6.26   ,-0.13,+4.10                  ,-0.04                 ,+2.26                  ,+27.36                   ,+30.50               ,+48.21               ,+13.68               ,-16.61            ,2               ,24.67     ,24.67   ,23.93       ,19.48   ,-11.80               ,1.54           ,-1.38    ,-0.54 ,+0.31                   ,+1.93                    ,+10.35                   ,+3.34                 ,+77.10               ,+10.89               ,+26.93               ,-10.03            ,24.67      ,22.48     ,23.11    ,17.69  ,1.90         ,98.00            ,-0.36         ,-1.62             ,--                   ,--                       ,18.49           ,--           ,134.06               ,5.26     ,23.33     ,20.98     ,19.19      ,22.47     ,19.80      ,79.32                ,59.14     ,22.54                   ,49.88,24.81               ,4.19                      ,4.88           ,20.59     ,17.36      ,22.67     ,21.15     ,19.36      ,58.81     ,65.54                ,15.26         ,76.29,0.81       ,2.97           ,6.19                      ,22.20     ,19.44      ,20.84     ,69.07                ,30.65                   ,88.13   ,19.58                  ,2.66           ,4.49                      ,1313.33    , 
SSW   ,-5.66      ,6.17      ,1256014   ,--       ,692.55M   ,55             ,-1.21                     ,23.40     ,6.95      ,-0.48,-97.37      ,13.04                  ,-41.99            ,32.03                  ,7.23                   ,Marine                                             ,NYSE    ,SEASPAN CORP             ,Marine                                      ,1.50    ,6.54          ,6.16  ,1500    ,1778249      ,944867      ,70.63                   ,132.93                 ,No        ,6.54  ,6.57  ,6.17  ,13.52                 ,1488482       ,1390595    ,84.38                    ,90.32                 ,No                ,Industrials               ,22.90         ,6.54      ,6.11  ,1000    ,1451010     ,75.73                     ,86.56                  ,12.02M         ,No                  ,NC ,--       ,--                 ,7.69           ,--                    ,61.54           ,15.38                  ,15.38           ,13                ,3.31              ,-139.04M  ,877.90M,-139.04M,105.89M           ,-1.89   ,-1.89     ,1.46      ,0.72        ,0.79      ,2.93      ,0.81      ,11.30                       ,-15.84  ,199.52            ,-0.37 ,-1.14                  ,-9.48                      ,-3.5513                ,-23.41                  ,-54.65               ,-46.94               ,-42.85               ,+0.71     ,6.83         ,8.91     ,13.43                  ,6.52      ,6.62     ,86.96                   ,13.92                        ,-5.66   ,0.00 ,-3.11                  ,-0.09                 ,-0.8432                ,-35.19                   ,-25.93               ,-59.87               ,-9.52                ,-7.89             ,3               ,7.07      ,11.76   ,6.52        ,6.52    ,0.51                 ,0.40           ,-0.37    ,0.00  ,-0.08                   ,-0.685                   ,-11.42                   ,-1.9994               ,-60.58               ,-52.17               ,-42.38               ,-2.37             ,8.91       ,20.00     ,6.52     ,6.52   ,0.46         ,3.00             ,-0.06         ,-0.15             ,--                   ,--                       ,0.43            ,173.36       ,9.05                 ,0.79     ,6.74      ,8.37      ,9.68       ,7.13      ,9.19       ,28.94                ,36.30     ,40.60                   ,2.63 ,8.38                ,-1.57                     ,-2.74          ,8.54      ,11.61      ,7.03      ,8.00      ,9.62       ,33.99     ,37.55                ,42.41         ,2.57 ,-0.45      ,-4.36          ,-2.40                     ,7.23      ,8.99       ,8.26      ,35.99                ,16.42                   ,5.99    ,6.07                   ,-1.66          ,-4.11                     ,-8774.74   , 
CRC   ,-5.61      ,12.87     ,2095736   ,2.07     ,594.75M   ,96             ,-2.09                     ,24.18     ,15.45     ,-1.38,-97.20      ,14.10                  ,-15.69            ,22.31                  ,16.33                  ,Oil Gas & Consumable Fuels                         ,NYSE    ,CALIFORNIA RESOURCES CORP,Oil & Gas Exploration & Production          ,--      ,13.98         ,12.86 ,500     ,1814837      ,2148245     ,115.48                  ,97.56                  ,No        ,13.63 ,13.87 ,12.87 ,74.07                 ,1697970       ,1543601    ,123.43                   ,135.77                ,No                ,Energy                    ,--            ,13.98     ,12.70 ,200     ,1724637     ,114.95                    ,121.52                 ,26.90M         ,No                  ,D  ,--       ,--                 ,--             ,11.11                 ,66.67           ,22.22                  ,--              ,9                 ,3.11              ,279.00M   ,1.75B  ,279.00M ,42.54M            ,6.76    ,6.76      ,-92.79    ,-2.80       ,-37.54    ,22.39     ,--        ,-20.49                      ,15.92   ,1208.96           ,-1.12 ,-5.50                  ,-14.41                     ,-2.04                  ,-26.59                  ,-77.24               ,0.00                 ,+17.57               ,+6.45     ,14.58        ,19.98    ,11.63                  ,13.62     ,8.79     ,85.90                   ,21.96                        ,-7.98   ,-0.35,-9.14                  ,-0.18                 ,-2.81                  ,-12.72                   ,-34.34               ,0.00                 ,+2.70                ,-37.88            ,13              ,15.96     ,23.42   ,13.62       ,13.62   ,-3.91                ,1.01           ,-0.76    ,-2.50 ,-0.30                   ,-2.35                    ,-16.75                   ,-5.06                 ,-17.25               ,0.00                 ,+79.96               ,+4.16             ,19.98      ,25.50     ,13.62    ,13.62  ,1.17         ,4.00             ,-0.17         ,0.09              ,--                   ,2.07                     ,--              ,-927.83      ,--                   ,0.34     ,14.77     ,18.66     ,16.58      ,15.97     ,17.11      ,29.21                ,43.28     ,35.98                   ,2.80 ,19.92               ,-5.16                     ,-5.82          ,19.03     ,14.76      ,15.69     ,17.39     ,16.95      ,37.59     ,44.82                ,41.60         ,8.31 ,-1.15      ,-8.22          ,-4.69                     ,16.33     ,17.53      ,17.45     ,39.92                ,14.84                   ,13.92   ,12.74                  ,-5.96          ,-6.71                     ,-4087.53   , 
