Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                           ,Exchange,Description              ,Sub-Industry                                ,Dividend,Reported Close,Bid  ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open ,High  ,Ask  ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                    ,Dividend Yield,Prev Close,Low  ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change ,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
DYN   ,-6.27      ,6.805     ,3957669   ,--       ,955.11M   ,85             ,+1.18                     ,27.79     ,7.55      ,-0.46,-91.82      ,21.77                  ,-1.39             ,36.79                  ,7.76                   ,Independent Power & Renewable Electricity Producers,NYSE    ,DYNEGY INC               ,Independent Power Producers & Energy Traders,--      ,7.29          ,6.80 ,2600    ,3979634      ,3656291     ,99.45                   ,108.24                 ,No        ,7.26 ,7.29  ,6.81 ,78.93                 ,3672376       ,3442182    ,107.77                   ,114.98                ,No                ,Utilities                 ,--            ,7.29      ,6.67 ,3700    ,3573074     ,115.54                    ,110.76                 ,29.15M         ,No                  ,C  ,--       ,--                 ,38.46          ,15.38                 ,30.77           ,--                     ,15.38           ,13                ,2.38              ,-1.24B    ,4.32B  ,-1.24B  ,131.02M           ,-9.78   ,-9.78     ,0.22      ,-0.98       ,-2.65     ,-3.56     ,-1.07     ,-34.74                      ,-28.72  ,1757.43           ,-0.485 ,-1.375                 ,-6.11                      ,-2.4343                ,-16.73                  ,-73.91               ,0.00                 ,-57.32               ,+1.85     ,7.35         ,9.30     ,14.72                  ,7.07      ,7.01     ,78.23                   ,11.36                        ,-6.65   ,-0.03,-1.665                 ,-0.07                 ,-0.6932                ,-25.03                   ,-13.83               ,-70.13               ,-7.05                ,-59.76            ,1               ,7.60      ,10.46   ,7.09        ,7.07    ,0.34                 ,0.485          ,-0.455   ,-0.41,+0.085                  ,-0.4748                  ,-8.68                    ,-1.465                ,-46.17               ,-68.12               ,-36.54               ,-10.15            ,9.25       ,22.01     ,7.07     ,7.07   ,0.62         ,6.00             ,-0.135        ,-0.03             ,--                   ,--                       ,1.05            ,471.31       ,--                   ,0.22     ,7.38      ,8.70      ,9.37       ,7.73      ,9.25       ,35.55                ,40.85     ,33.03                   ,8.18 ,8.75                ,-1.82                     ,-1.21          ,8.70      ,11.60      ,7.58      ,8.37      ,9.62       ,37.74     ,42.37                ,50.38         ,9.81 ,-0.40      ,-2.72          ,-1.06                     ,7.76      ,8.74       ,8.54      ,40.46                ,10.90                   ,12.14   ,6.78                   ,-2.20          ,-1.80                     ,-697.62   , 
RRD   ,-6.15      ,11.44     ,1337549   ,--       ,854.01M   ,87             ,-4.05                     ,13.71     ,14.01     ,-1.32,-100.00     ,--                     ,-51.31            ,43.48                  ,15.11                  ,Commercial Services & Supplies                     ,NYSE    ,DONNELLEY (R R) & SONS CO,Commercial Printing                         ,0.56    ,12.22         ,11.44,1700    ,1958089      ,1457113     ,68.31                   ,91.79                  ,No        ,12.19,12.19 ,11.45,90.07                 ,1930914       ,1273078    ,69.27                    ,105.06                ,No                ,Industrials               ,4.60          ,12.22     ,11.44,800     ,1837612     ,96.14                     ,72.79                  ,26.10M         ,Yes                 ,D  ,***      ,B-                 ,33.33          ,33.33                 ,--              ,--                     ,33.33           ,3                 ,2.67              ,-494.60M  ,6.90B  ,-494.60M,69.89M            ,-7.09   ,-7.09     ,2.20      ,0.97        ,1.77      ,3.45      ,-10.83    ,5.75                        ,-7.19   ,155.45            ,-0.78  ,-5.43                  ,-19.14                     ,-8.60                  ,-26.36                  ,-44.58               ,-1.92                ,-28.38               ,+2.12     ,12.95        ,18.51    ,15.89                  ,12.21     ,14.80    ,100.00                  ,24.55                        ,-6.38   ,-0.03,-4.99                  ,-0.17                 ,-3.45                  ,-41.30                   ,-24.54               ,-40.56               ,-2.81                ,-171.44           ,0               ,13.86     ,18.51   ,12.21       ,12.21   ,3.36                 ,0.75           ,-0.75    ,-0.25,-0.52                   ,-2.89                    ,-21.99                   ,-4.37                 ,-41.63               ,+6.42                ,-32.79               ,-8.55             ,18.51      ,28.08     ,12.21    ,12.21  ,0.75         ,5.00             ,0.00          ,-0.07             ,--                   ,--                       ,--              ,-2580.48     ,12.55                ,0.12     ,13.33     ,16.44     ,17.77      ,14.51     ,19.64      ,16.54                ,30.04     ,51.07                   ,--   ,19.30               ,-6.06                     ,-4.76          ,16.48     ,31.02      ,14.25     ,16.15     ,21.25      ,27.26     ,31.21                ,73.84         ,0.37 ,-0.98      ,-5.61          ,-4.67                     ,15.11     ,16.71      ,16.71     ,29.18                ,7.68                    ,3.33    ,10.93                  ,-6.53          ,-4.26                     ,-13449.53 , 
TWI   ,-5.87      ,9.30      ,610005    ,--       ,591.07M   ,62             ,-3.05                     ,16.55     ,11.32     ,-0.75,-97.85      ,12.33                  ,-33.66            ,38.13                  ,12.10                  ,Machinery                                          ,NYSE    ,TITAN INTERNATIONAL INC  ,Agriculture & Farm Machinery                ,0.02    ,9.91          ,9.30 ,300     ,1311909      ,492825      ,46.50                   ,123.78                 ,No        ,9.88 ,9.94  ,9.31 ,68.77                 ,609784        ,476855     ,100.04                   ,127.92                ,No                ,Industrials               ,0.20          ,9.91      ,9.21 ,900     ,586191      ,89.89                     ,104.06                 ,13.87M         ,Yes                 ,B  ,--       ,B-                 ,25.00          ,25.00                 ,50.00           ,--                     ,--              ,4                 ,2.25              ,-36.14M   ,1.27B  ,-36.14M ,59.64M            ,-0.81   ,-0.81     ,-1.74     ,-0.11       ,-2.43     ,0.64      ,2.05      ,18.33                       ,-2.69   ,207.46            ,-0.61  ,-4.28                  ,-18.10                     ,-1.3244                ,-18.48                  ,+10.48               ,-58.14               ,+109.21              ,+1.48     ,10.60        ,14.23    ,4.29                   ,9.86      ,4.80     ,87.67                   ,25.35                        ,-6.16   ,-0.03,-2.01                  ,-0.13                 ,-2.5527                ,-11.79                   ,-11.60               ,-41.56               ,+14.58               ,-11.31            ,4               ,11.43     ,14.23   ,9.86        ,9.86    ,-4.41                ,0.64           ,-0.58    ,-0.30,-0.312                  ,-2.19                    ,-20.48                   ,-2.2472               ,+81.83               ,-51.35               ,+44.21               ,-2.85             ,14.23      ,14.23     ,9.86     ,9.86   ,0.73         ,17.00            ,-0.09         ,-0.53             ,--                   ,--                       ,1.94            ,103.55       ,--                   ,0.47     ,11.04     ,12.19     ,11.46      ,11.61     ,11.50      ,19.76                ,41.47     ,42.63                   ,2.15 ,14.71               ,-3.86                     ,-1.73          ,12.06     ,10.01      ,11.66     ,11.97     ,11.24      ,34.67     ,43.48                ,69.55         ,3.20 ,-0.38      ,-1.33          ,-1.44                     ,12.10     ,11.71      ,11.92     ,37.23                ,7.66                    ,6.94    ,9.49                   ,-4.85          ,-0.35                     ,-3241.05  , 
VCRA  ,-5.83      ,22.60     ,322312    ,--       ,671.20M   ,93             ,+1.32                     ,50.85     ,22.81     ,0.90 ,-50.36      ,17.89                  ,39.85             ,39.39                  ,22.20                  ,Health Care Technology                             ,NYSE    ,VOCERA COMMUNICATIONS INC,Health Care Technology                      ,--      ,24.13         ,22.59,300     ,242060       ,252668      ,133.15                  ,127.56                 ,No        ,24.00,24.16 ,22.63,97.52                 ,207780        ,269450     ,155.12                   ,119.62                ,No                ,Health Care               ,--            ,24.13     ,22.26,100     ,206527      ,118.32                    ,156.06                 ,5.81M          ,No                  ,B  ,--       ,--                 ,70.00          ,30.00                 ,--              ,--                     ,--              ,10                ,1.30              ,-17.27M   ,127.70M,-17.27M ,27.82M            ,-0.64   ,-0.64     ,-0.66     ,0.18        ,-1.12     ,-0.43     ,0.08      ,17.00                       ,-13.52  ,219.79            ,-1.53  ,+1.90                  ,+8.71                      ,+5.18                  ,+16.07                  ,+141.26              ,0.00                 ,+79.13               ,-0.24     ,24.60        ,24.67    ,-1.68                  ,19.80     ,10.46    ,82.11                   ,0.30                         ,-6.34   ,-0.13,+4.08                  ,-0.04                 ,+2.26                  ,+27.36                   ,+30.50               ,+48.21               ,+13.68               ,-16.61            ,2               ,24.67     ,24.67   ,23.93       ,19.48   ,-11.80               ,1.56           ,-1.40    ,-0.54,+0.31                   ,+1.93                    ,+10.35                   ,+3.34                 ,+77.10               ,+10.89               ,+26.93               ,-10.03            ,24.67      ,22.48     ,23.11    ,17.69  ,1.90         ,98.00            ,-0.34         ,-1.62             ,--                   ,--                       ,18.49           ,--           ,134.06               ,5.26     ,23.33     ,20.98     ,19.19      ,22.47     ,19.80      ,79.32                ,59.11     ,22.54                   ,49.64,24.81               ,4.19                      ,4.87           ,20.59     ,17.36      ,22.67     ,21.15     ,19.36      ,58.75     ,65.54                ,15.26         ,76.21,0.81       ,2.96           ,6.19                      ,22.20     ,19.44      ,20.84     ,69.07                ,30.65                   ,88.10   ,19.58                  ,2.65           ,4.49                      ,1309.25   , 
SSW   ,-5.81      ,6.16      ,1267614   ,--       ,692.55M   ,55             ,-1.18                     ,23.28     ,6.95      ,-0.48,-97.81      ,10.87                  ,-42.27            ,32.03                  ,7.22                   ,Marine                                             ,NYSE    ,SEASPAN CORP             ,Marine                                      ,1.50    ,6.54          ,6.16 ,1700    ,1778249      ,944867      ,71.28                   ,134.16                 ,No        ,6.54 ,6.57  ,6.17 ,13.52                 ,1488482       ,1390595    ,85.16                    ,91.16                 ,No                ,Industrials               ,22.90         ,6.54      ,6.11 ,600     ,1451010     ,76.43                     ,87.36                  ,12.02M         ,No                  ,NC ,--       ,--                 ,7.69           ,--                    ,61.54           ,15.38                  ,15.38           ,13                ,3.31              ,-139.04M  ,877.90M,-139.04M,105.89M           ,-1.89   ,-1.89     ,1.46      ,0.72        ,0.79      ,2.93      ,0.81      ,11.30                       ,-15.84  ,199.52            ,-0.38  ,-1.15                  ,-9.47                      ,-3.5513                ,-23.41                  ,-54.65               ,-46.94               ,-42.85               ,+0.71     ,6.83         ,8.91     ,13.43                  ,6.52      ,6.62     ,89.13                   ,14.09                        ,-5.81   ,0.00 ,-3.12                  ,-0.09                 ,-0.8432                ,-35.19                   ,-25.93               ,-59.87               ,-9.52                ,-7.89             ,3               ,7.07      ,11.76   ,6.52        ,6.52    ,0.51                 ,0.41           ,-0.38    ,0.00 ,-0.078                  ,-0.6845                  ,-11.42                   ,-1.9994               ,-60.58               ,-52.17               ,-42.38               ,-2.37             ,8.91       ,20.00     ,6.52     ,6.52   ,0.46         ,3.00             ,-0.05         ,-0.15             ,--                   ,--                       ,0.43            ,173.36       ,9.05                 ,0.79     ,6.74      ,8.37      ,9.68       ,7.13      ,9.19       ,28.94                ,36.27     ,40.60                   ,2.19 ,8.38                ,-1.57                     ,-2.75          ,8.54      ,11.61      ,7.03      ,8.00      ,9.62       ,33.94     ,37.55                ,42.41         ,2.43 ,-0.45      ,-4.37          ,-2.40                     ,7.22      ,8.99       ,8.25      ,35.99                ,16.42                   ,5.94    ,6.07                   ,-1.67          ,-4.11                     ,-8838.43  , 
JNUG  ,-5.77      ,7.19      ,49200001  ,--       ,1.23B     ,100            ,+3.03                     ,48.22     ,7.20      ,-0.59,-31.28      ,49.44                  ,3.84              ,27.98                  ,7.13                   ,--                                                 ,NYSE    ,DIREXION DLY JR GOLD MNRS,--                                          ,0.02    ,7.37          ,7.18 ,7000    ,88173549     ,43491266    ,55.80                   ,113.13                 ,No        ,7.63 ,7.64  ,7.19 ,100.00                ,79117061      ,63587364   ,62.19                    ,77.37                 ,No                ,--                        ,0.30          ,7.37      ,6.75 ,4900    ,75442375    ,59.25                     ,65.22                  ,643.05M        ,No                  ,NC ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,--        ,--     ,--      ,167.47M           ,--      ,--        ,--        ,--          ,--        ,--        ,--        ,--                          ,--      ,--                ,-0.18  ,+0.04                  ,+3.36                      ,-2.5567                ,-15.49                  ,-10.16               ,0.00                 ,-27.21               ,-0.23     ,7.78         ,12.39    ,25.65                  ,5.20      ,3.77     ,50.56                   ,-9.67                        ,-2.44   ,+0.26,+1.49                  ,-0.06                 ,-0.3055                ,-25.76                   ,+32.08               ,-95.93               ,+17.34               ,0.00              ,2               ,8.09      ,13.03   ,7.21        ,5.20    ,-2.98                ,0.45           ,-0.44    ,+3.53,+0.2168                 ,+0.2397                  ,-3.98                    ,-1.3504               ,-11.02               ,0.00                 ,-50.85               ,0.00              ,11.73      ,33.29     ,5.71     ,5.20   ,0.89         ,99.00            ,-0.44         ,--                ,--                   ,--                       ,--              ,--           ,--                   ,--       ,6.76      ,8.81      ,8.93       ,7.43      ,9.44       ,49.67                ,46.86     ,26.60                   ,68.72,10.07               ,-3.65                     ,3.06           ,8.41      ,14.54      ,6.50      ,8.21      ,9.90       ,46.80     ,47.10                ,18.74         ,68.09,-0.73      ,-1.71          ,3.24                      ,7.13      ,8.23       ,8.43      ,47.24                ,18.20                   ,59.34   ,4.19                   ,-3.79          ,-1.80                     ,45602.16  , 
LEJU  ,-5.76      ,3.11      ,204389    ,--       ,449.87M   ,17             ,-3.54                     ,14.46     ,3.61      ,-0.14,-93.62      ,16.22                  ,-32.44            ,18.99                  ,3.69                   ,Internet Software & Services                       ,NYSE    ,LEJU HOLDINGS LTD  -ADR  ,Internet Software & Services                ,--      ,3.32          ,3.10 ,400     ,56647        ,79553       ,360.81                  ,256.92                 ,No        ,3.30 ,3.42  ,3.11 ,5.29                  ,39356         ,51705      ,519.33                   ,395.30                ,No                ,Information Technology    ,--            ,3.32      ,3.05 ,400     ,39064       ,208.05                    ,523.22                 ,198.00K        ,No                  ,-- ,--       ,--                 ,--             ,11.11                 ,66.67           ,--                     ,22.22           ,9                 ,3.33              ,-11.60M   ,559.51M,-11.60M ,135.5M            ,-0.07   ,-0.07     ,0.26      ,0.24        ,0.50      ,0.35      ,-0.37     ,5.94                        ,-1.75   ,--                ,-0.21  ,-0.58                  ,-9.92                      ,-0.7789                ,-15.50                  ,-49.97               ,0.00                 ,-20.22               ,+3.10     ,3.56         ,3.99     ,2.41                   ,3.30      ,3.40     ,83.78                   ,17.66                        ,-6.33   ,-0.02,-1.59                  ,-0.18                 ,-0.4218                ,-19.00                   ,-30.83               ,0.00                 ,-9.51                ,-2.78             ,4               ,3.99      ,4.71    ,3.30        ,3.30    ,0.35                 ,0.31           ,-0.19    ,-0.60,-0.122                  ,-0.3655                  ,-11.27                   ,-0.6091               ,-35.74               ,0.00                 ,-7.71                ,-1.93             ,3.99       ,5.83      ,3.30     ,3.30   ,0.37         ,33.00            ,-0.06         ,-1.98             ,--                   ,--                       ,1.55            ,--           ,13.89                ,0.80     ,3.63      ,3.88      ,4.06       ,3.66      ,3.98       ,19.22                ,39.86     ,27.60                   ,6.38 ,4.06                ,-0.64                     ,-0.86          ,3.93      ,4.28       ,3.66      ,3.82      ,4.04       ,33.47     ,41.87                ,45.45         ,5.43 ,-0.08      ,-0.93          ,-0.67                     ,3.69      ,3.97       ,3.86      ,36.77                ,10.35                   ,9.82    ,3.31                   ,-0.77          ,-0.77                     ,-248.27   , 
EXK   ,-5.49      ,3.10      ,2173394   ,--       ,415.29M   ,25             ,+2.32                     ,39.37     ,3.35      ,-0.28,-64.38      ,--                     ,-10.64            ,35.67                  ,3.48                   ,Metals & Mining                                    ,NYSE    ,ENDEAVOUR SILVER CORP    ,Silver                                      ,--      ,3.27          ,3.10 ,11100   ,3190439      ,2550250     ,68.12                   ,85.22                  ,No        ,3.28 ,3.29  ,3.11 ,37.26                 ,3246499       ,2515430    ,66.95                    ,86.40                 ,No                ,Materials                 ,--            ,3.27      ,3.10 ,11000   ,3116123     ,73.86                     ,69.75                  ,10.39M         ,No                  ,NC ,--       ,--                 ,22.22          ,11.11                 ,44.44           ,11.11                  ,11.11           ,9                 ,2.78              ,3.91M     ,156.77M,3.91M   ,127.11M           ,0.03    ,0.03      ,-1.47     ,0.10        ,-0.74     ,-0.90     ,0.42      ,--                          ,2.49    ,103.82            ,-0.17  ,-1.03                  ,-5.90                      ,-0.8851                ,-18.77                  ,+86.83               ,-66.74               ,+40.00               ,-0.01     ,3.35         ,4.84     ,2.66                   ,2.84      ,2.10     ,100.00                  ,1.72                         ,-5.20   ,+0.01,-0.52                  ,-0.10                 ,-0.3923                ,-21.30                   ,-7.10                ,-41.35               ,+14.21               ,+4.25             ,1               ,3.57      ,4.90    ,3.19        ,2.84    ,-1.00                ,0.19           ,-0.18    ,+0.31,+0.074                  ,-0.205                   ,-10.71                   ,-0.7554               ,+20.00               ,-50.40               ,+0.46                ,+2.65             ,4.84       ,5.95      ,3.00     ,2.84   ,0.19         ,15.00            ,0.00          ,4.72              ,--                   ,109.00                   ,3.12            ,--           ,33.71                ,2.65     ,3.17      ,4.01      ,4.04       ,3.46      ,3.96       ,43.51                ,44.57     ,29.13                   ,35.62,4.64                ,-1.47                     ,-0.03          ,3.97      ,4.30       ,3.15      ,3.80      ,3.98       ,42.25     ,45.53                ,28.31         ,30.42,-0.29      ,-0.95          ,0.04                      ,3.48      ,3.96       ,3.85      ,43.76                ,16.28                   ,25.40   ,2.31                   ,-1.60          ,-0.91                     ,-4458.96  , 
CWH   ,-5.46      ,30.30     ,332236    ,--       ,606.84M   ,74             ,-2.30                     ,31.55     ,33.21     ,-0.30,-95.89      ,13.37                  ,-0.97             ,23.44                  ,34.05                  ,Specialty Retail                                   ,NYSE    ,CAMPING WORLD HOLDINGS IN,Automotive Retail                           ,0.32    ,32.03         ,30.29,100     ,462980       ,395157      ,71.76                   ,84.08                  ,No        ,32.05,32.05 ,30.34,60.34                 ,340855        ,251871     ,97.47                    ,131.91                ,No                ,Consumer Discretionary    ,1.00          ,32.03     ,30.03,200     ,319713      ,83.72                     ,103.92                 ,15.43M         ,No                  ,D  ,--       ,--                 ,33.33          ,11.11                 ,55.56           ,--                     ,--              ,9                 ,2.22              ,203.24M   ,3.53B  ,203.24M ,18.95M            ,0.09    ,0.09      ,1147.67   ,1.81        ,800.68    ,--        ,--        ,8.52                        ,5.43    ,478.78            ,-1.73  ,-5.56                  ,-5.93                      ,+2.83                  ,-2.97                   ,0.00                 ,0.00                 ,0.00                 ,0.00      ,34.05        ,36.60    ,4.55                   ,31.65     ,20.45    ,86.63                   ,11.20                        ,-5.40   ,+0.02,-3.77                  ,-0.08                 ,-2.14                  ,+9.69                    ,-1.26                ,0.00                 ,+26.43               ,-184.86           ,0               ,34.29     ,36.60   ,31.97       ,31.65   ,-9.58                ,1.75           ,-1.75    ,+0.06,-0.75                   ,-2.02                    ,-6.25                    ,-0.98                 ,0.00                 ,0.00                 ,0.00                 ,+14.01            ,36.60      ,36.60     ,31.97    ,29.41  ,2.02         ,66.00            ,-0.27         ,16.03             ,--                   ,370.47                   ,--              ,-2201.47     ,17.71                ,0.17     ,32.83     ,32.95     ,--         ,33.34     ,--         ,38.96                ,--        ,32.86                   ,4.11 ,37.08               ,-1.87                     ,-2.01          ,32.93     ,--         ,33.69     ,--        ,--         ,--        ,50.00                ,39.49         ,18.20,0.13       ,-1.28          ,-0.33                     ,34.05     ,30.26      ,--        ,50.00                ,14.25                   ,31.95   ,31.02                  ,-3.83          ,0.30                      ,-57.72    , 
CRC   ,-5.36      ,12.90     ,2111596   ,2.07     ,594.75M   ,96             ,-2.14                     ,24.31     ,15.46     ,-1.38,-96.61      ,17.09                  ,-15.24            ,22.31                  ,16.33                  ,Oil Gas & Consumable Fuels                         ,NYSE    ,CALIFORNIA RESOURCES CORP,Oil & Gas Exploration & Production          ,--      ,13.98         ,12.89,600     ,1814837      ,2148245     ,116.35                  ,98.29                  ,No        ,13.63,13.87 ,12.90,74.07                 ,1697970       ,1543601    ,124.36                   ,136.80                ,No                ,Energy                    ,--            ,13.98     ,12.70,100     ,1724637     ,115.82                    ,122.44                 ,26.90M         ,No                  ,D  ,--       ,--                 ,--             ,11.11                 ,66.67           ,22.22                  ,--              ,9                 ,3.11              ,279.00M   ,1.75B  ,279.00M ,42.54M            ,6.76    ,6.76      ,-92.79    ,-2.80       ,-37.54    ,22.39     ,--        ,-20.49                      ,15.92   ,1208.96           ,-1.08  ,-5.46                  ,-14.41                     ,-2.04                  ,-26.59                  ,-77.24               ,0.00                 ,+17.57               ,+6.45     ,14.58        ,19.98    ,11.63                  ,13.62     ,8.79     ,82.91                   ,21.65                        ,-7.73   ,-0.35,-9.11                  ,-0.18                 ,-2.81                  ,-12.72                   ,-34.34               ,0.00                 ,+2.70                ,-37.88            ,13              ,15.96     ,23.42   ,13.62       ,13.62   ,-3.91                ,0.97           ,-0.73    ,-2.50,-0.31                   ,-2.35                    ,-16.75                   ,-5.06                 ,-17.25               ,0.00                 ,+79.96               ,+4.16             ,19.98      ,25.50     ,13.62    ,13.62  ,1.17         ,4.00             ,-0.20         ,0.09              ,--                   ,2.07                     ,--              ,-927.83      ,--                   ,0.34     ,14.77     ,18.66     ,16.58      ,15.98     ,17.11      ,29.21                ,43.32     ,35.98                   ,3.39 ,19.92               ,-5.16                     ,-5.78          ,19.03     ,14.76      ,15.69     ,17.39     ,16.95      ,37.65     ,44.82                ,41.60         ,8.51 ,-1.15      ,-8.18          ,-4.69                     ,16.33     ,17.53      ,17.45     ,39.92                ,14.84                   ,13.98   ,12.75                  ,-5.92          ,-6.71                     ,-3972.59  , 
