Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                           ,Exchange,Description              ,Sub-Industry                                ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                    ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap ,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
DLTH  ,-6.51      ,21.90     ,2912267   ,32.86    ,558.77M   ,96             ,-1.47                     ,68.11     ,19.76     ,-0.67,-29.50      ,35.38                  ,-12.70            ,40.64                  ,19.70                  ,Internet & Direct Marketing Retail                 ,NASDAQ  ,DULUTH HOLDINGS INC      ,Internet & Direct Marketing Retail          ,--      ,19.26         ,21.88 ,200     ,355545       ,267006      ,819.10                  ,1090.71                ,No        ,23.42 ,23.42 ,21.90 ,30.96                 ,288083        ,234811     ,1010.91                  ,1240.26               ,No                ,Consumer Discretionary    ,--            ,19.26     ,21.06 ,200     ,278818      ,536.24                    ,1044.50                ,6.77M          ,No                  ,F  ,--       ,--                 ,40.00          ,40.00                 ,20.00           ,--                     ,--              ,5                 ,1.80              ,17.51M    ,304.16M,17.51M  ,29.01M            ,0.59    ,0.66      ,0.59      ,0.57        ,0.39      ,--        ,--        ,25.00                       ,5.68    ,414.38            ,+2.64 ,+0.48                  ,-2.24                      ,-6.80                  ,-13.66                  ,0.00                 ,0.00                 ,-20.42               ,0.00      ,19.51        ,22.27    ,14.77                  ,18.25     ,17.02    ,64.62                   ,-11.99                       ,+13.68  ,+4.16,-3.78                  ,+0.14                 ,-0.60                  ,-26.10                   ,-24.17               ,0.00                 ,-37.06               ,+29.03            ,0               ,19.61     ,26.99   ,18.88       ,18.25   ,-4.04                ,1.53           ,-1.52    ,+21.60,-0.29                   ,-0.44                    ,-3.01                    ,-3.05                 ,-4.12                ,0.00                 ,-30.42               ,+14.63            ,21.99      ,38.19     ,18.25    ,18.25  ,2.36         ,3.00             ,-0.84         ,1.42              ,--                   ,29.18                    ,7.05            ,4.75         ,33.59                ,1.84     ,19.22     ,21.92     ,25.85      ,19.99     ,--         ,43.18                ,--        ,18.32                   ,70.50,21.82               ,-2.25                     ,-4.47          ,22.59     ,26.16      ,19.27     ,21.86     ,--         ,48.55     ,50.00                ,36.05         ,46.40,-1.01      ,-1.30          ,-7.40                     ,19.70     ,25.63      ,22.40     ,38.44                ,38.98                   ,31.46   ,17.58                  ,0.75           ,-4.05                     ,-829.80   , 
VRTU  ,-6.25      ,29.08     ,563699    ,67.34    ,925.70M   ,98             ,-0.41                     ,33.46     ,31.13     ,0.64 ,-99.49      ,1.29                   ,-24.15            ,32.16                  ,31.38                  ,IT Services                                        ,NASDAQ  ,VIRTUSA CORP             ,IT Consulting & Other Services              ,--      ,30.90         ,29.08 ,200     ,512295       ,343803      ,110.03                  ,163.96                 ,No        ,31.02 ,31.37 ,29.10 ,91.34                 ,553440        ,323614     ,101.85                   ,174.19                ,No                ,Information Technology    ,--            ,30.90     ,29.05 ,200     ,517498      ,115.48                    ,108.93                 ,16.22M         ,Yes                 ,D  ,--       ,--                 ,44.44          ,33.33                 ,22.22           ,--                     ,--              ,9                 ,1.78              ,45.02M    ,600.30M,45.02M  ,29.96M            ,0.46    ,1.49      ,1.44      ,1.27        ,1.27      ,1.11      ,0.79      ,15.83                       ,7.46    ,32.94             ,-1.82 ,-2.32                  ,-1.54                      ,+5.84                  ,+8.07                   ,-21.94               ,+103.08              ,-11.98               ,+1.56     ,32.29        ,34.92    ,6.94                   ,27.08     ,18.03    ,98.71                   ,9.46                         ,-5.89   ,+0.12,+3.89                  ,-0.09                 ,-0.22                  ,+23.33                   ,+23.01               ,-10.06               ,+39.56               ,+3.66             ,2               ,33.09     ,34.92   ,30.82       ,27.08   ,-11.02               ,2.29           ,-1.94    ,+0.39 ,-0.13                   ,-0.48                    ,-0.72                    ,+2.31                 ,-8.29                ,+33.14               ,+18.22               ,+2.38             ,34.92      ,38.31     ,30.82    ,24.84  ,2.32         ,95.00            ,-0.03         ,2.91              ,--                   ,20.74                    ,4.38            ,29.56        ,24.24                ,1.54     ,31.66     ,28.85     ,25.11      ,30.91     ,27.55      ,47.00                ,53.11     ,22.04                   ,0.51 ,33.98               ,2.04                      ,4.43           ,28.30     ,25.98      ,31.83     ,29.12     ,27.41      ,51.28     ,57.31                ,1.54          ,3.68 ,1.07       ,2.14           ,5.92                      ,31.38     ,25.64      ,28.64     ,57.89                ,21.38                   ,16.84   ,28.78                  ,0.28           ,4.34                      ,-2036.60  , 
CRC   ,-5.43      ,12.89     ,2144483   ,2.07     ,594.75M   ,96             ,-2.13                     ,24.28     ,15.45     ,-1.38,-96.78      ,16.24                  ,-15.45            ,22.31                  ,16.33                  ,Oil Gas & Consumable Fuels                         ,NYSE    ,CALIFORNIA RESOURCES CORP,Oil & Gas Exploration & Production          ,--      ,13.98         ,12.89 ,300     ,1814837      ,2148245     ,118.16                  ,99.82                  ,No        ,13.63 ,13.87 ,12.90 ,74.07                 ,1697970       ,1543601    ,126.30                   ,138.93                ,No                ,Energy                    ,--            ,13.98     ,12.70 ,1100    ,1724637     ,117.63                    ,124.34                 ,26.90M         ,No                  ,D  ,--       ,--                 ,--             ,11.11                 ,66.67           ,22.22                  ,--              ,9                 ,3.11              ,279.00M   ,1.75B  ,279.00M ,42.54M            ,6.76    ,6.76      ,-92.79    ,-2.80       ,-37.54    ,22.39     ,--        ,-20.49                      ,15.92   ,1208.96           ,-1.09 ,-5.47                  ,-14.41                     ,-2.04                  ,-26.59                  ,-77.24               ,0.00                 ,+17.57               ,+6.45     ,14.58        ,19.98    ,11.63                  ,13.62     ,8.79     ,83.76                   ,21.74                        ,-7.80   ,-0.35,-9.12                  ,-0.18                 ,-2.81                  ,-12.72                   ,-34.34               ,0.00                 ,+2.70                ,-37.88            ,13              ,15.96     ,23.42   ,13.62       ,13.62   ,-3.91                ,0.98           ,-0.74    ,-2.50 ,-0.30                   ,-2.35                    ,-16.75                   ,-5.06                 ,-17.25               ,0.00                 ,+79.96               ,+4.16             ,19.98      ,25.50     ,13.62    ,13.62  ,1.17         ,4.00             ,-0.19         ,0.09              ,--                   ,2.07                     ,--              ,-927.83      ,--                   ,0.34     ,14.77     ,18.66     ,16.58      ,15.97     ,17.11      ,29.21                ,43.31     ,35.98                   ,3.22 ,19.92               ,-5.16                     ,-5.79          ,19.03     ,14.76      ,15.69     ,17.39     ,16.95      ,37.63     ,44.82                ,41.60         ,8.45 ,-1.15      ,-8.19          ,-4.69                     ,16.33     ,17.53      ,17.45     ,39.92                ,14.84                   ,13.97   ,12.75                  ,-5.93          ,-6.71                     ,-4030.89  , 
LKSD  ,-5.03      ,20.77     ,756267    ,6.87     ,731.30M   ,67             ,-1.49                     ,18.15     ,24.02     ,-1.30,-95.84      ,21.57                  ,-36.11            ,24.86                  ,25.32                  ,Commercial Services & Supplies                     ,NYSE    ,LSC COMMUNICATIONS INC   ,Commercial Printing                         ,1.00    ,22.18         ,20.71 ,100     ,316101       ,385463      ,239.25                  ,196.20                 ,No        ,21.87 ,21.97 ,20.79 ,64.21                 ,254890        ,214602     ,296.70                   ,352.40                ,No                ,Industrials               ,4.50          ,22.18     ,20.44 ,100     ,244253      ,179.86                    ,309.62                 ,7.33M          ,Yes                 ,C  ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,106.00M   ,3.65B  ,106.00M ,32.97M            ,3.23    ,3.23      ,2.27      ,2.60        ,1.79      ,--        ,--        ,--                          ,2.90    ,166.09            ,-1.41 ,-7.68                  ,-12.41                     ,-2.84                  ,-16.29                  ,0.00                 ,0.00                 ,0.00                 ,0.00      ,22.83        ,28.96    ,14.92                  ,21.31     ,17.00    ,78.43                   ,17.48                        ,-6.36   ,-0.31,-9.07                  ,-0.14                 ,-3.55                  ,-11.35                   ,-24.58               ,0.00                 ,+38.96               ,+13.97            ,2               ,24.43     ,30.10   ,21.31       ,21.31   ,-3.44                ,1.20           ,-1.10    ,-1.40 ,-0.34                   ,-3.14                    ,-13.80                   ,-4.32                 ,0.00                 ,0.00                 ,0.00                 ,+5.35             ,28.96      ,36.89     ,21.31    ,21.31  ,1.53         ,25.00            ,-0.33         ,0.30              ,--                   ,6.87                     ,28.79           ,309.17       ,8.53                 ,0.20     ,23.43     ,26.28     ,--         ,24.52     ,--         ,23.35                ,--        ,42.82                   ,4.16 ,29.80               ,-4.92                     ,-6.25          ,26.60     ,--         ,24.40     ,--        ,--         ,--        ,50.00                ,56.13         ,6.48 ,-0.85      ,-5.83          ,-3.49                     ,25.32     ,24.92      ,--        ,50.00                ,12.03                   ,5.71    ,20.84                  ,-5.66          ,-4.12                     ,-1451.94  , 
CACC  ,-4.44      ,185.70    ,522699    ,11.94    ,3.87B     ,63             ,-1.66                     ,26.20     ,198.08    ,-1.61,-96.68      ,7.15                   ,-38.60            ,14.27                  ,199.41                 ,Consumer Finance                                   ,NCM     ,CREDIT ACCEPTANCE CORP   ,Consumer Finance                            ,--      ,194.70        ,185.41,1000    ,443484       ,214930      ,117.86                  ,243.19                 ,No        ,194.32,194.72,186.00,43.36                 ,205304        ,179665     ,254.60                   ,290.93                ,No                ,Financials                ,--            ,194.70    ,185.00,300     ,210968      ,36.94                     ,247.76                 ,87.50M         ,No                  ,F  ,--       ,B+                 ,--             ,--                    ,30.00           ,50.00                  ,20.00           ,10                ,3.90              ,332.80M   ,969.20M,332.80M ,19.88M            ,16.31   ,16.31     ,14.28     ,18.50       ,11.92     ,10.54     ,8.58      ,2.48                        ,42.60   ,485.58            ,-9.00 ,-17.46                 ,-2.36                      ,-3.27                  ,-4.06                   ,+2.85                ,+103.76              ,+7.00                ,+0.66     ,202.46       ,205.99   ,28.85                  ,193.02    ,160.63   ,92.85                   ,7.04                         ,-4.63   ,-0.38,-31.80                 ,-0.08                 ,-4.65                  ,-1.65                    ,-10.49               ,+43.38               ,+4.49                ,+31.67            ,1               ,205.94    ,221.00  ,194.01      ,190.57  ,-24.37               ,9.03           ,-8.62    ,-0.20 ,-3.30                   ,-4.71                    ,-2.33                    ,-8.23                 ,+4.01                ,+60.60               ,+0.41                ,+8.77             ,205.99     ,223.57    ,194.01   ,190.00 ,9.72         ,24.00            ,-0.70         ,0.52              ,--                   ,11.94                    ,3.31            ,221.84       ,10.53                ,3.99     ,198.09    ,201.61    ,197.94     ,198.66    ,199.73     ,37.43                ,45.05     ,33.71                   ,3.32 ,207.91              ,0.62                      ,-29.36         ,203.77    ,195.14     ,198.77    ,200.44    ,199.21     ,40.79     ,48.03                ,36.66         ,26.64,-0.86      ,-24.05         ,-20.77                    ,199.41    ,199.63     ,200.50    ,45.75                ,15.62                   ,50.06   ,190.92                 ,-11.27         ,-9.48                     ,-1363.69  , 
GIII  ,-4.13      ,21.61     ,655912    ,13.30    ,1.10B     ,41             ,-3.13                     ,23.10     ,24.11     ,-0.86,-93.53      ,25.00                  ,-28.03            ,25.84                  ,24.74                  ,Textiles Apparel & Luxury Goods                    ,NCM     ,G-III APPAREL GROUP LTD  ,Apparel Accessories & Luxury Goods          ,--      ,22.68         ,21.60 ,100     ,829739       ,757581      ,79.05                   ,86.58                  ,No        ,22.54 ,22.54 ,21.62 ,88.30                 ,545056        ,662162     ,120.34                   ,99.06                 ,No                ,Consumer Discretionary    ,--            ,22.68     ,21.30 ,200     ,525141      ,62.70                     ,124.90                 ,19.87M         ,Yes                 ,D  ,--       ,B                  ,42.86          ,--                    ,57.14           ,--                     ,--              ,7                 ,2.14              ,114.33M   ,2.34B  ,114.33M ,48.64M            ,1.70    ,2.46      ,2.48      ,1.44        ,1.85      ,1.40      ,1.23      ,18.90                       ,4.88    ,304.71            ,-1.07 ,-4.61                  ,-8.33                      ,-5.21                  ,-13.04                  ,-54.84               ,+85.47               ,-34.23               ,+0.47     ,24.16        ,27.48    ,33.35                  ,22.14     ,24.05    ,75.00                   ,12.01                        ,-4.72   ,-0.14,-8.39                  ,-0.13                 ,-2.46                  ,-18.68                   ,-23.27               ,-35.51               ,-5.27                ,+8.63             ,0               ,25.44     ,31.00   ,22.14       ,22.14   ,2.75                 ,0.93           ,-0.93    ,-0.62 ,-0.73                   ,-2.06                    ,-9.80                    ,-3.40                 ,-54.85               ,+29.73               ,-18.50               ,+5.63             ,27.48      ,55.89     ,22.14    ,22.14  ,1.24         ,4.00             ,-0.31         ,0.58              ,--                   ,9.22                     ,1.36            ,--           ,15.79                ,0.47     ,23.89     ,25.72     ,27.65      ,24.43     ,27.77      ,28.44                ,39.69     ,33.86                   ,6.47 ,27.30               ,-3.96                     ,-8.30          ,26.33     ,32.79      ,24.21     ,25.77     ,28.64      ,36.13     ,41.15                ,53.74         ,7.55 ,-0.64      ,-5.40          ,-9.61                     ,24.74     ,27.48      ,26.15     ,38.59                ,10.19                   ,12.11   ,22.18                  ,-5.23          ,-3.88                     ,-2292.80  , 
CBL   ,-4.11      ,8.87      ,4890380   ,12.53    ,1.61B     ,75             ,-0.47                     ,24.80     ,9.59      ,-0.31,-90.51      ,25.00                  ,-15.75            ,28.70                  ,9.73                   ,Equity Real Estate Investment Trusts (REITs)       ,NYSE    ,CBL & ASSOCIATES PPTYS IN,Retail REITs                                ,1.06    ,9.39          ,8.86  ,2500    ,2543608      ,2428643     ,192.26                  ,201.36                 ,No        ,9.25  ,9.32  ,8.87  ,90.82                 ,2436293       ,2342376    ,200.73                   ,208.78                ,No                ,Real Estate               ,11.30         ,9.39      ,8.72  ,8200    ,2360252     ,158.00                    ,207.20                 ,24.39M         ,No                  ,D  ,***      ,B                  ,20.00          ,--                    ,66.67           ,6.67                   ,6.67            ,15                ,2.80              ,195.53M   ,--     ,195.53M ,171.09M           ,0.75    ,0.75      ,0.34      ,0.67        ,1.02      ,0.24      ,0.54      ,2.88                        ,16.81   ,1601.65           ,-0.52 ,-1.19                  ,-3.48                      ,-1.8216                ,-9.74                   ,-40.76               ,-29.58               ,+12.24               ,+1.24     ,9.65         ,10.63    ,4.98                   ,9.15      ,8.86     ,75.00                   ,8.25                         ,-5.54   ,-0.14,-2.77                  ,-0.09                 ,-0.4759                ,-16.25                   ,-18.35               ,-29.34               ,-13.43               ,+15.56            ,2               ,9.86      ,11.92   ,9.25        ,9.15    ,0.14                 ,0.45           ,-0.38    ,-1.49 ,-0.044                  ,-0.3385                  ,-4.82                    ,-1.0133               ,-16.82               ,-45.51               ,-26.48               ,+3.11             ,10.63      ,14.30     ,9.25     ,9.15   ,0.60         ,6.00             ,-0.15         ,0.54              ,--                   ,12.53                    ,1.38            ,328.61       ,13.99                ,--       ,9.43      ,10.25     ,11.04      ,9.71      ,10.70      ,34.92                ,39.60     ,39.82                   ,9.49 ,10.50               ,-1.12                     ,-2.64          ,10.46     ,11.28      ,9.60      ,10.22     ,10.83      ,35.51     ,42.04                ,50.36         ,23.11,-0.28      ,-1.59          ,-2.36                     ,9.73      ,10.87      ,10.34     ,39.44                ,13.15                   ,32.58   ,8.95                   ,-1.64          ,-1.08                     ,-6067.92  , 
CSIQ  ,-3.84      ,11.91     ,1955637   ,5.14     ,712.51M   ,88             ,-6.29                     ,29.20     ,13.40     ,-0.14,-94.17      ,24.31                  ,-30.34            ,23.21                  ,13.86                  ,Semiconductors & Semiconductor Equipment           ,NASDAQ  ,CANADIAN SOLAR INC       ,Semiconductors                              ,--      ,12.33         ,11.90 ,1600    ,1975194      ,1500608     ,99.01                   ,130.32                 ,No        ,12.38 ,12.45 ,11.91 ,38.75                 ,1451659       ,1243152    ,134.72                   ,157.31                ,No                ,Information Technology    ,--            ,12.33     ,11.73 ,1000    ,1581168     ,36.00                     ,123.68                 ,25.68M         ,No                  ,NC ,***      ,B-                 ,9.09           ,9.09                  ,63.64           ,--                     ,18.18           ,11                ,3.09              ,173.32M   ,3.47B  ,173.32M ,57.79M            ,2.40    ,2.93      ,4.11      ,1.61        ,0.63      ,-4.53     ,-2.11     ,14.00                       ,4.96    ,386.62            ,-0.42 ,-3.04                  ,-11.06                     ,-0.73                  ,-6.17                   ,-59.86               ,+294.83              ,-21.20               ,+2.96     ,13.23        ,15.85    ,9.55                   ,12.05     ,10.25    ,75.69                   ,13.94                        ,-3.45   ,+0.05,-0.44                  ,-0.14                 ,-1.71                  ,-5.58                    ,+1.23                ,-59.11               ,+27.67               ,+16.73            ,5               ,14.61     ,15.85   ,12.05       ,12.05   ,-1.48                ,0.55           ,-0.48    ,+0.41 ,-0.83                   ,-1.53                    ,-12.19                   ,-0.81                 ,-34.48               ,+292.57              ,+14.20               ,+3.04             ,15.15      ,22.00     ,12.05    ,11.21  ,0.72         ,75.00            ,-0.18         ,0.22              ,--                   ,4.21                     ,0.99            ,95.11        ,7.68                 ,0.21     ,13.37     ,13.16     ,13.10      ,13.46     ,13.28      ,32.55                ,45.82     ,33.70                   ,5.83 ,15.46               ,-3.03                     ,-0.67          ,13.06     ,13.56      ,13.56     ,13.30     ,13.41      ,43.34     ,47.01                ,29.47         ,12.18,0.10       ,-0.59          ,0.01                      ,13.86     ,12.76      ,13.25     ,45.17                ,18.36                   ,22.85   ,12.26                  ,-2.18          ,-0.30                     ,-5777.46  , 
AMN   ,-3.78      ,40.75     ,481082    ,19.77    ,2.03B     ,55             ,+0.05                     ,44.97     ,41.53     ,0.79 ,-74.88      ,18.92                  ,-7.82             ,26.29                  ,41.46                  ,Health Care Providers & Services                   ,NYSE    ,AMN HEALTHCARE SERVICES I,Health Care Services                        ,--      ,42.50         ,40.75 ,200     ,592147       ,680630      ,81.24                   ,70.68                  ,No        ,42.35 ,42.55 ,40.80 ,98.62                 ,499231        ,548210     ,96.36                    ,87.76                 ,No                ,Health Care               ,--            ,42.50     ,40.33 ,100     ,580556      ,90.59                     ,82.87                  ,25.33M         ,Yes                 ,B  ,--       ,B-                 ,70.00          ,10.00                 ,10.00           ,--                     ,10.00           ,10                ,1.70              ,105.84M   ,1.90B  ,105.84M ,47.86M            ,2.15    ,2.15      ,1.68      ,2.56        ,0.69      ,0.69      ,0.37      ,13.50                       ,5.56    ,636.20            ,-1.75 ,-0.95                  ,+2.50                      ,+6.39                  ,+8.87                   ,+102.91              ,+681.19              ,+10.20               ,+0.67     ,43.40        ,43.85    ,2.44                   ,39.71     ,26.00    ,81.08                   ,1.63                         ,-4.12   ,-0.15,+1.85                  ,-0.03                 ,+0.98                  ,+17.71                   ,+10.53               ,+205.95              ,+23.57               ,+26.55            ,4               ,43.85     ,43.85   ,42.22       ,38.65   ,-14.33               ,1.80           ,-1.60    ,-0.35 ,+0.02                   ,+1.04                    ,+2.36                    ,+3.46                 ,+35.34               ,+186.47              ,+13.58               ,+10.24            ,43.85      ,44.99     ,40.65    ,33.61  ,2.22         ,82.00            ,-0.42         ,0.86              ,--                   ,19.77                    ,--              ,79.93        ,16.63                ,1.07     ,41.72     ,39.12     ,36.37      ,41.24     ,38.23      ,63.35                ,54.67     ,25.34                   ,25.12,43.33               ,0.25                      ,1.50           ,39.07     ,37.22      ,41.42     ,39.71     ,37.86      ,54.52     ,58.41                ,1.86          ,58.13,0.85       ,4.65           ,3.05                      ,41.46     ,37.08      ,39.32     ,61.24                ,26.31                   ,74.56   ,39.59                  ,-1.25          ,5.96                      ,-528.74   , 
BKE   ,-3.76      ,16.65     ,502659    ,8.52     ,841.18M   ,13             ,-3.57                     ,28.42     ,18.35     ,-0.80,-95.08      ,13.33                  ,0.02              ,33.96                  ,18.60                  ,Specialty Retail                                   ,NYSE    ,BUCKLE INC               ,Apparel Retail                              ,1.75    ,17.30         ,16.65 ,1000    ,657690       ,528266      ,76.43                   ,95.15                  ,No        ,17.30 ,17.30 ,16.70 ,60.71                 ,729813        ,595093     ,68.88                    ,84.47                 ,No                ,Consumer Discretionary    ,10.10         ,17.30     ,16.55 ,1800    ,722526      ,63.50                     ,69.57                  ,12.06M         ,Yes                 ,D  ,***      ,B+                 ,--             ,--                    ,75.00           ,--                     ,25.00           ,4                 ,3.50              ,97.96M    ,974.87M,97.96M  ,48.62M            ,2.03    ,2.03      ,3.06      ,1.78        ,3.38      ,3.39      ,3.44      ,9.00                        ,10.05   ,--                ,-0.65 ,-3.49                  ,-6.97                      ,-4.83                  ,-15.46                  ,-56.14               ,-43.88               ,-14.30               ,+1.13     ,18.06        ,21.55    ,17.72                  ,16.50     ,17.75    ,86.67                   ,9.23                         ,-3.76   ,0.00 ,-6.50                  ,-0.11                 ,-1.73                  ,-21.82                   ,-20.67               ,-49.21               ,-17.97               ,+23.24            ,0               ,19.20     ,24.07   ,16.95       ,16.50   ,1.20                 ,0.65           ,-0.65    ,0.00  ,-0.64                   ,-1.30                    ,-9.09                    ,-3.16                 ,-39.66               ,-50.47               ,-18.52               ,+17.00            ,21.55      ,35.02     ,16.95    ,16.50  ,0.75         ,5.00             ,-0.10         ,0.37              ,--                   ,8.52                     ,1.94            ,--           ,9.73                 ,0.86     ,18.09     ,20.15     ,21.82      ,18.64     ,21.34      ,32.69                ,39.65     ,30.12                   ,4.92 ,20.55               ,-4.00                     ,-5.50          ,20.59     ,23.40      ,18.19     ,19.97     ,21.79      ,36.71     ,40.80                ,51.45         ,22.49,-0.73      ,-4.70          ,-6.30                     ,18.60     ,21.79      ,20.30     ,38.49                ,9.66                    ,38.87   ,16.64                  ,-4.55          ,-3.65                     ,1.61      , 
