Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                           ,Exchange,Description              ,Sub-Industry                                ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                    ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
CACC  ,-4.45      ,185.68    ,523167    ,11.94    ,3.87B     ,63             ,-1.66                     ,26.19     ,198.08    ,-1.61,-96.75      ,7.00                   ,-38.65            ,14.27                  ,199.41                 ,Consumer Finance                                   ,NCM     ,CREDIT ACCEPTANCE CORP   ,Consumer Finance                            ,--      ,194.70        ,185.59,100     ,443484       ,214930      ,117.97                  ,243.41                 ,No        ,194.32,194.72,185.83,43.36                 ,205304        ,179665     ,254.83                   ,291.19                ,No                ,Financials                ,--            ,194.70    ,185.00,100     ,210968      ,36.98                     ,247.98                 ,87.50M         ,No                  ,F  ,--       ,B+                 ,--             ,--                    ,30.00           ,50.00                  ,20.00           ,10                ,3.90              ,332.80M   ,969.20M,332.80M ,19.88M            ,16.31   ,16.31     ,14.28     ,18.50       ,11.92     ,10.54     ,8.58      ,2.48                        ,42.60   ,485.58            ,-9.02 ,-17.47                 ,-2.36                      ,-3.27                  ,-4.06                   ,+2.85                ,+103.76              ,+7.00                ,+0.66     ,202.46       ,205.99   ,28.85                  ,193.02    ,160.63   ,93.00                   ,7.05                         ,-4.63   ,-0.38,-31.81                 ,-0.08                 ,-4.65                  ,-1.65                    ,-10.49               ,+43.38               ,+4.49                ,+31.67            ,1               ,205.94    ,221.00  ,194.01      ,190.57  ,-24.37               ,9.04           ,-8.64    ,-0.20,-3.29                   ,-4.71                    ,-2.33                    ,-8.23                 ,+4.01                ,+60.60               ,+0.41                ,+8.77             ,205.99     ,223.57    ,194.01   ,190.00 ,9.72         ,24.00            ,-0.68         ,0.52              ,--                   ,11.94                    ,3.31            ,221.84       ,10.53                ,3.99     ,198.09    ,201.61    ,197.94     ,198.66    ,199.73     ,37.43                ,45.05     ,33.71                   ,3.25 ,207.91              ,0.62                      ,-29.37         ,203.77    ,195.14     ,198.76    ,200.44    ,199.21     ,40.79     ,48.03                ,36.66         ,26.62,-0.86      ,-24.06         ,-20.77                    ,199.41    ,199.63     ,200.50    ,45.75                ,15.62                   ,50.05   ,190.91                 ,-11.28         ,-9.48                     ,-1365.62  , 
AMN   ,-3.78      ,40.75     ,481482    ,19.77    ,2.03B     ,55             ,+0.05                     ,44.97     ,41.53     ,0.79 ,-74.88      ,18.92                  ,-7.82             ,26.29                  ,41.46                  ,Health Care Providers & Services                   ,NYSE    ,AMN HEALTHCARE SERVICES I,Health Care Services                        ,--      ,42.50         ,40.75 ,200     ,592147       ,680630      ,81.31                   ,70.74                  ,No        ,42.35 ,42.55 ,40.80 ,98.62                 ,499231        ,548210     ,96.44                    ,87.83                 ,No                ,Health Care               ,--            ,42.50     ,40.33 ,100     ,580556      ,90.67                     ,82.93                  ,25.33M         ,Yes                 ,B  ,--       ,B-                 ,70.00          ,10.00                 ,10.00           ,--                     ,10.00           ,10                ,1.70              ,105.84M   ,1.90B  ,105.84M ,47.86M            ,2.15    ,2.15      ,1.68      ,2.56        ,0.69      ,0.69      ,0.37      ,13.50                       ,5.56    ,636.20            ,-1.75 ,-0.95                  ,+2.50                      ,+6.39                  ,+8.87                   ,+102.91              ,+681.19              ,+10.20               ,+0.67     ,43.40        ,43.85    ,2.44                   ,39.71     ,26.00    ,81.08                   ,1.63                         ,-4.12   ,-0.15,+1.85                  ,-0.03                 ,+0.98                  ,+17.71                   ,+10.53               ,+205.95              ,+23.57               ,+26.55            ,4               ,43.85     ,43.85   ,42.22       ,38.65   ,-14.33               ,1.80           ,-1.60    ,-0.35,+0.02                   ,+1.04                    ,+2.36                    ,+3.46                 ,+35.34               ,+186.47              ,+13.58               ,+10.24            ,43.85      ,44.99     ,40.65    ,33.61  ,2.22         ,82.00            ,-0.42         ,0.86              ,--                   ,19.77                    ,--              ,79.93        ,16.63                ,1.07     ,41.72     ,39.12     ,36.37      ,41.24     ,38.23      ,63.35                ,54.67     ,25.34                   ,25.12,43.33               ,0.25                      ,1.50           ,39.07     ,37.22      ,41.42     ,39.71     ,37.86      ,54.52     ,58.41                ,1.86          ,58.13,0.85       ,4.65           ,3.05                      ,41.46     ,37.08      ,39.32     ,61.24                ,26.31                   ,74.56   ,39.59                  ,-1.25          ,5.96                      ,-528.99   , 
MNK   ,-3.40      ,42.62     ,4603653   ,17.10    ,4.61B     ,166            ,-3.38                     ,16.46     ,47.81     ,-1.69,-90.77      ,37.23                  ,-35.34            ,34.14                  ,49.71                  ,Pharmaceuticals                                    ,NYSE    ,MALLINCKRODT PLC         ,Pharmaceuticals                             ,--      ,44.05         ,42.60 ,300     ,1980327      ,2096433     ,232.47                  ,219.59                 ,Yes       ,44.12 ,44.39 ,42.62 ,86.77                 ,1795038       ,2228695    ,256.47                   ,206.56                ,No                ,Health Care               ,--            ,44.05     ,41.57 ,300     ,1870568     ,139.98                    ,246.11                 ,91.75M         ,No                  ,C  ,****     ,--                 ,58.82          ,35.29                 ,5.88            ,--                     ,--              ,17                ,1.47              ,643.70M   ,3.38B  ,643.70M ,104.7M            ,2.58    ,5.78      ,2.75      ,7.57        ,-4.92     ,1.02      ,2.33      ,8.63                        ,19.04   ,751.29            ,-1.43 ,-10.50                 ,-11.38                     ,-12.94                 ,-12.11                  ,-64.27               ,0.00                 ,-17.27               ,+1.49     ,46.66        ,55.32    ,41.44                  ,44.00     ,42.67    ,62.77                   ,13.83                        ,-3.25   ,+0.07,-7.88                  ,-0.12                 ,-6.61                  ,-22.70                   ,-11.58               ,-34.07               ,-0.53                ,+5.49             ,13              ,49.28     ,55.32   ,44.00       ,44.00   ,1.10                 ,1.77           ,-1.50    ,+0.16,-1.54                   ,-5.66                    ,-13.05                   ,-6.07                 ,-12.21               ,0.00                 ,-29.68               ,+1.79             ,55.32      ,85.83     ,44.00    ,42.67  ,2.82         ,8.00             ,-1.05         ,0.74              ,--                   ,7.62                     ,--              ,109.83       ,5.82                 ,1.36     ,47.27     ,49.68     ,54.98      ,48.45     ,53.42      ,19.39                ,39.47     ,41.56                   ,9.23 ,55.90               ,-10.06                    ,-9.41          ,50.05     ,60.76      ,48.51     ,50.32     ,54.57      ,35.17     ,40.58                ,66.25         ,3.67 ,-0.87      ,-3.59          ,-8.38                     ,49.71     ,52.62      ,50.93     ,37.01                ,8.44                    ,2.95    ,43.51                  ,-11.59         ,-1.59                     ,-9472.25  , 
AKR   ,-3.21      ,29.55     ,526449    ,32.48    ,2.59B     ,87             ,+0.08                     ,31.51     ,30.71     ,-0.46,-88.61      ,16.67                  ,-4.02             ,25.71                  ,31.08                  ,Equity Real Estate Investment Trusts (REITs)       ,NYSE    ,ACADIA REALTY TRUST      ,Retail REITs                                ,1.14    ,30.53         ,29.54 ,300     ,787302       ,478482      ,66.87                   ,110.02                 ,No        ,30.53 ,30.65 ,29.56 ,99.42                 ,650502        ,503824     ,80.93                    ,104.49                ,No                ,Real Estate               ,3.70          ,30.53     ,29.33 ,700     ,647898      ,95.56                     ,81.25                  ,24.26M         ,Yes                 ,D  ,****     ,B+                 ,28.57          ,28.57                 ,42.86           ,--                     ,--              ,7                 ,2.14              ,134.59M   ,--     ,134.59M ,84.71M            ,0.94    ,0.94      ,0.94      ,0.33        ,1.18      ,0.72      ,0.86      ,6.97                        ,32.83   ,1817.02           ,-0.98 ,-2.35                  ,-1.77                      ,-2.52                  ,-3.91                   ,-3.05                ,+65.47               ,-2.94                ,+0.62     ,30.77        ,32.89    ,7.36                   ,29.23     ,30.12    ,83.33                   ,3.75                         ,-3.21   ,0.00 ,-3.10                  ,-0.05                 ,-0.77                  ,-7.63                    ,-6.58                ,+31.34               ,-1.86                ,+10.01            ,1               ,31.31     ,33.45   ,30.36       ,29.23   ,0.79                 ,1.10           ,-0.98    ,0.00 ,+0.02                   ,-0.55                    ,-2.45                    ,-1.24                 ,-8.78                ,+28.14               ,-11.57               ,+3.83             ,32.89      ,38.01     ,30.36    ,29.23  ,1.32         ,17.00            ,-0.22         ,1.41              ,--                   ,32.48                    ,1.74            ,71.73        ,93.94                ,--       ,30.30     ,31.61     ,32.69      ,30.88     ,32.32      ,42.11                ,41.36     ,39.45                   ,11.39,33.12               ,-1.94                     ,-2.52          ,31.77     ,34.02      ,30.66     ,31.55     ,32.55      ,39.06     ,44.00                ,40.34         ,34.43,-0.40      ,-2.52          ,-1.69                     ,31.08     ,32.24      ,31.72     ,43.21                ,16.77                   ,43.22   ,29.04                  ,-2.71          ,-1.50                     ,-375.54   , 
BGCP  ,-2.82      ,10.88     ,1088834   ,30.14    ,2.72B     ,25             ,-2.32                     ,29.44     ,11.29     ,-0.04,-71.67      ,44.74                  ,-12.67            ,19.77                  ,11.37                  ,Capital Markets                                    ,NCM     ,BGC PARTNERS INC         ,Investment Banking & Brokerage              ,0.64    ,10.97         ,10.87 ,4100    ,1141785      ,1251611     ,95.36                   ,86.99                  ,No        ,11.19 ,11.19 ,10.88 ,42.46                 ,1080229       ,1212443    ,100.80                   ,89.80                 ,No                ,Financials                ,5.80          ,10.97     ,10.62 ,1600    ,1062037     ,73.38                     ,102.52                 ,12.91M         ,No                  ,D  ,--       ,B                  ,100.00         ,--                    ,--              ,--                     ,--              ,1                 ,1.00              ,128.01M   ,2.61B  ,128.01M ,247.64M           ,0.36    ,0.36      ,0.48      ,0.95        ,-0.01     ,0.36      ,0.16      ,12.70                       ,4.01    ,315.78            ,-0.10 ,-0.60                  ,-3.49                      ,+0.87                  ,-2.06                   ,+45.02               ,+128.89              ,+27.41               ,+1.36     ,11.43        ,11.85    ,0.66                   ,10.95     ,8.18     ,55.26                   ,4.00                         ,-0.87   ,+0.22,+0.48                  ,-0.05                 ,-0.47                  ,+8.67                    ,+8.72                ,+102.28              ,+17.05               ,+17.34            ,0               ,11.52     ,11.85   ,10.95       ,10.95   ,-2.44                ,0.32           ,-0.32    ,+2.01,-0.26                   ,-0.40                    ,-4.10                    ,-0.23                 ,+31.72               ,+233.40              ,+32.54               ,+3.42             ,11.85      ,11.85     ,10.95    ,10.29  ,0.57         ,86.00            ,-0.26         ,1.30              ,--                   ,30.14                    ,--              ,80.06        ,11.55                ,1.04     ,11.28     ,11.26     ,10.22      ,11.31     ,10.65      ,32.06                ,52.07     ,34.57                   ,28.33,11.75               ,-0.76                     ,0.73           ,11.12     ,9.68       ,11.31     ,11.13     ,10.49      ,47.48     ,53.00                ,47.23         ,20.74,0.03       ,-0.05          ,0.80                      ,11.37     ,10.50      ,11.03     ,48.89                ,12.39                   ,36.59   ,10.98                  ,-0.91          ,0.17                      ,-1749.56  , 
PVH   ,-2.78      ,89.82     ,1150719   ,12.97    ,7.35B     ,90             ,-0.25                     ,40.12     ,91.85     ,0.36 ,-85.24      ,1.42                   ,-4.13             ,11.12                  ,91.68                  ,Textiles Apparel & Luxury Goods                    ,NYSE    ,PVH CORP                 ,Apparel Accessories & Luxury Goods          ,0.15    ,92.68         ,89.82 ,400     ,1212954      ,1123232     ,94.87                   ,102.45                 ,Yes       ,92.39 ,92.60 ,89.86 ,99.38                 ,1064665       ,1196960    ,108.08                   ,96.14                 ,No                ,Consumer Discretionary    ,0.20          ,92.68     ,89.78 ,200     ,1057728     ,83.78                     ,108.79                 ,113.27M        ,No                  ,C  ,****     ,B+                 ,43.75          ,18.75                 ,31.25           ,6.25                   ,--              ,16                ,2.00              ,572.40M   ,8.02B  ,572.40M ,79.27M            ,7.15    ,6.89      ,5.27      ,6.76        ,1.74      ,5.87      ,3.78      ,7.03                        ,7.14    ,306.12            ,-2.86 ,-2.66                  ,+1.10                      ,-7.13                  ,+1.51                   ,-3.40                ,+6.79                ,-2.24                ,+0.59     ,93.93        ,95.19    ,22.80                  ,88.89     ,82.10    ,98.58                   ,2.06                         ,-3.09   ,-0.29,-1.14                  ,-0.03                 ,+1.06                  ,-7.15                    ,+2.75                ,-18.28               ,-13.50               ,+12.47            ,6               ,95.19     ,96.50   ,91.33       ,88.19   ,-7.68                ,2.78           ,-2.57    ,-0.31,-0.23                   ,+1.00                    ,+1.16                    ,+1.37                 ,+6.26                ,-19.29               ,-14.93               ,+5.33             ,95.19      ,115.40    ,90.72    ,84.53  ,2.82         ,47.00            ,-0.04         ,0.56              ,--                   ,13.45                    ,--              ,67.09        ,13.71                ,0.92     ,92.17     ,91.19     ,98.89      ,91.69     ,95.01      ,54.79                ,46.01     ,20.26                   ,14.76,94.26               ,2.43                      ,-0.54          ,91.20     ,99.98      ,91.67     ,92.41     ,95.65      ,45.64     ,48.10                ,8.82          ,49.79,0.30       ,-3.37          ,0.18                      ,91.68     ,96.57      ,92.99     ,49.48                ,16.98                   ,68.85   ,89.09                  ,-1.57          ,0.48                      ,-572.87   , 
BRX   ,-2.66      ,21.06     ,1790064   ,23.85    ,6.61B     ,100            ,+0.38                     ,31.89     ,21.88     ,-0.58,-79.10      ,24.34                  ,8.18              ,36.83                  ,22.12                  ,Equity Real Estate Investment Trusts (REITs)       ,NYSE    ,BRIXMOR PROPERTY GROUP IN,Retail REITs                                ,1.04    ,21.73         ,21.05 ,1200    ,2231227      ,1914253     ,80.23                   ,93.51                  ,No        ,21.63 ,21.63 ,21.06 ,98.96                 ,2755684       ,2149870    ,64.96                    ,83.26                 ,No                ,Real Estate               ,4.80          ,21.73     ,20.87 ,1500    ,2812539     ,101.67                    ,63.65                  ,48.77M         ,No                  ,C  ,--       ,--                 ,30.77          ,15.38                 ,53.85           ,--                     ,--              ,13                ,2.23              ,278.14M   ,--     ,278.14M ,304.41M           ,0.91    ,0.91      ,0.65      ,0.88        ,0.36      ,-0.50     ,-0.68     ,4.83                        ,21.60   ,2887.44           ,-0.68 ,-2.24                  ,-1.77                      ,-2.98                  ,-7.69                   ,-7.89                ,0.00                 ,-4.87                ,+0.52     ,21.79        ,23.85    ,7.51                   ,20.66     ,21.12    ,75.66                   ,2.90                         ,-3.11   ,-0.10,-3.12                  ,-0.04                 ,-0.64                  ,-12.08                   ,-10.07               ,+12.61               ,-3.13                ,+9.60             ,0               ,22.19     ,25.34   ,21.46       ,20.66   ,0.25                 ,0.58           ,-0.58    ,-0.46,+0.08                   ,-0.39                    ,-2.88                    ,-1.81                 ,-8.06                ,0.00                 ,-16.67               ,+2.96             ,23.85      ,29.14     ,21.46    ,20.66  ,0.76         ,11.00            ,-0.19         ,1.03              ,--                   ,23.85                    ,2.44            ,199.47       ,24.60                ,--       ,21.50     ,23.35     ,24.33      ,22.09     ,23.90      ,40.92                ,38.50     ,36.31                   ,20.90,23.93               ,-1.96                     ,-3.09          ,23.55     ,25.56      ,21.67     ,23.02     ,24.13      ,35.68     ,40.69                ,45.80         ,34.84,-0.60      ,-3.77          ,-2.76                     ,22.12     ,23.86      ,23.23     ,39.06                ,13.50                   ,39.09   ,20.32                  ,-2.67          ,-3.14                     ,3243.53   , 
TAHO  ,-2.64      ,7.37      ,1484725   ,18.53    ,2.35B     ,24             ,+0.53                     ,36.86     ,7.73      ,-0.37,-78.15      ,--                     ,-11.61            ,24.94                  ,7.87                   ,Metals & Mining                                    ,NYSE    ,TAHOE RESOURCES INC      ,Gold                                        ,0.24    ,7.54          ,7.36  ,5000    ,2965463      ,2506467     ,50.07                   ,59.24                  ,No        ,7.57  ,7.57  ,7.37  ,68.36                 ,3218192       ,2863152    ,46.14                    ,51.86                 ,No                ,Materials                 ,3.20          ,7.54      ,7.37  ,2600    ,3110986     ,61.99                     ,47.73                  ,22.42M         ,No                  ,D  ,--       ,--                 ,31.25          ,50.00                 ,18.75           ,--                     ,--              ,16                ,1.88              ,117.88M   ,784.50M,117.88M ,311.74M           ,0.41    ,0.41      ,-0.35     ,0.40        ,0.61      ,-0.45     ,-0.65     ,5.00                        ,15.03   ,278.19            ,-0.17 ,-0.87                  ,-4.22                      ,-2.5511                ,-13.76                  ,-29.65               ,-65.99               ,-27.89               ,+0.59     ,7.66         ,9.21     ,9.44                   ,7.11      ,7.66     ,100.00                  ,4.03                         ,-2.25   ,+0.03,-2.13                  ,-0.04                 ,-0.4709                ,-25.28                   ,-19.39               ,-65.37               ,-11.02               ,+5.57             ,0               ,7.93      ,11.43   ,7.46        ,7.11    ,0.29                 ,0.20           ,-0.20    ,+0.40,+0.04                   ,-0.3325                  ,-5.88                    ,-1.203                ,-30.11               ,-52.83               ,-34.29               ,+4.65             ,9.00       ,17.01     ,7.11     ,7.11   ,0.20         ,7.00             ,0.00          ,0.80              ,--                   ,18.53                    ,0.96            ,1.64         ,18.72                ,3.00     ,7.51      ,8.58      ,9.68       ,7.86      ,9.37       ,40.34                ,41.48     ,26.06                   ,21.85,8.77                ,-1.13                     ,-1.35          ,8.76      ,11.65      ,7.67      ,8.50      ,9.65       ,39.90     ,42.08                ,26.35         ,27.08,-0.37      ,-1.80          ,-1.23                     ,7.87      ,9.27       ,8.69      ,40.95                ,15.19                   ,26.70   ,6.97                   ,-1.26          ,-1.76                     ,-5062.97  , 
TPX   ,-2.61      ,43.86     ,830965    ,13.34    ,2.43B     ,77             ,-0.58                     ,35.92     ,45.58     ,-1.32,-93.04      ,21.63                  ,-10.53            ,18.40                  ,45.72                  ,Household Durables                                 ,NYSE    ,TEMPUR SEALY INTL INC    ,Home Furnishings                            ,--      ,45.08         ,43.84 ,300     ,1158590      ,1662591     ,71.72                   ,49.98                  ,No        ,45.03 ,45.25 ,43.87 ,89.21                 ,1409047       ,2148822    ,58.97                    ,38.67                 ,Yes               ,Consumer Discretionary    ,--            ,45.08     ,43.47 ,300     ,1477899     ,108.61                    ,56.23                  ,53.05M         ,No                  ,C  ,***      ,B                  ,8.33           ,8.33                  ,58.33           ,--                     ,25.00           ,12                ,3.25              ,196.50M   ,3.13B  ,196.50M ,53.89M            ,3.38    ,3.38      ,1.17      ,3.05        ,1.75      ,1.28      ,1.70      ,11.13                       ,6.46    ,428.40            ,-1.22 ,-3.00                  ,-1.41                      ,-13.04                 ,-13.91                  ,-17.54               ,-44.68               ,-20.66               ,+1.61     ,46.37        ,49.25    ,37.07                  ,44.37     ,41.11    ,78.37                   ,3.67                         ,-2.72   ,-0.05,-24.70                 ,-0.04                 ,-0.96                  ,-22.43                   ,-33.98               ,-9.95                ,-27.03               ,+142.91           ,1               ,46.68     ,70.45   ,44.56       ,44.37   ,-2.36                ,1.40           ,-1.18    ,-0.11,-0.26                   ,-0.64                    ,-2.09                    ,-7.28                 ,-25.95               ,+0.53                ,-41.10               ,+7.33             ,49.00      ,82.32     ,44.56    ,41.11  ,1.78         ,2.00             ,-0.39         ,0.58              ,--                   ,13.34                    ,--              ,-39517.39    ,14.80                ,0.78     ,45.29     ,50.55     ,56.22      ,46.01     ,54.60      ,42.30                ,39.75     ,29.40                   ,6.96 ,47.42               ,-2.40                     ,-23.16         ,53.55     ,61.26      ,45.47     ,50.00     ,55.74      ,37.83     ,40.69                ,21.07         ,20.54,-1.61      ,-23.17         ,-23.90                    ,45.72     ,56.91      ,51.18     ,39.41                ,19.16                   ,27.77   ,44.02                  ,-2.64          ,-19.07                    ,-2092.81  , 
KIM   ,-2.55      ,22.00     ,2408207   ,28.58    ,9.61B     ,92             ,+0.16                     ,31.49     ,22.71     ,-0.55,-75.55      ,19.07                  ,-4.31             ,31.79                  ,22.96                  ,Equity Real Estate Investment Trusts (REITs)       ,NYSE    ,KIMCO REALTY CORP        ,Retail REITs                                ,1.08    ,22.58         ,21.99 ,3200    ,4836977      ,3634839     ,49.79                   ,66.25                  ,Yes       ,22.57 ,22.57 ,22.00 ,93.22                 ,4689416       ,3639264    ,51.35                    ,66.17                 ,No                ,Real Estate               ,4.80          ,22.58     ,21.86 ,6400    ,4497615     ,78.13                     ,53.54                  ,109.92M        ,No                  ,D  ,****     ,B+                 ,30.00          ,20.00                 ,45.00           ,5.00                   ,--              ,20                ,2.25              ,386.14M   ,--     ,386.14M ,425.64M           ,0.79    ,0.79      ,2.00      ,0.58        ,0.89      ,0.43      ,0.42      ,6.47                        ,32.31   ,2127.81           ,-0.58 ,-2.11                  ,-1.65                      ,-3.27                  ,-7.10                   ,-6.60                ,+41.45               ,-11.50               ,+0.72     ,22.71        ,24.75    ,9.67                   ,21.46     ,22.12    ,80.93                   ,2.40                         ,-2.59   ,-0.01,-3.38                  ,-0.04                 ,-0.62                  ,-12.64                   ,-10.25               ,+16.95               ,-4.02                ,+7.50             ,0               ,23.02     ,26.16   ,22.48       ,21.46   ,0.26                 ,0.57           ,-0.57    ,-0.04,+0.04                   ,-0.38                    ,-2.69                    ,-1.73                 ,-18.60               ,+20.72               ,-17.68               ,+3.42             ,24.75      ,32.24     ,22.23    ,21.46  ,0.71         ,10.00            ,-0.14         ,1.24              ,--                   ,28.58                    ,1.94            ,79.31        ,39.23                ,--       ,22.28     ,24.11     ,25.44      ,22.91     ,24.97      ,40.46                ,38.19     ,36.71                   ,24.45,24.79               ,-2.07                     ,-3.18          ,24.32     ,27.39      ,22.52     ,23.87     ,25.30      ,35.73     ,40.02                ,39.29         ,38.29,-0.59      ,-3.40          ,-2.73                     ,22.96     ,24.91      ,24.12     ,38.70                ,16.00                   ,41.42   ,21.13                  ,-2.35          ,-2.77                     ,-2850.69  , 
