Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                           ,Exchange,Description              ,Sub-Industry                                ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                    ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin  ,Sales per Employee,Change ,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap   ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap ,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow , 
DYN   ,-6.27      ,6.805     ,3898424   ,--       ,955.11M   ,85             ,+1.18                     ,27.79     ,7.55      ,-0.46,-91.82      ,21.77                  ,-1.32             ,36.79                  ,7.76                   ,Independent Power & Renewable Electricity Producers,NYSE    ,DYNEGY INC               ,Independent Power Producers & Energy Traders,--      ,7.29          ,6.80  ,2300    ,3979634      ,3656291     ,97.96                   ,106.62                 ,No        ,7.26  ,7.29  ,6.81  ,78.93                 ,3672376       ,3442182    ,106.16                   ,113.25                ,No                ,Utilities                 ,--            ,7.29      ,6.67  ,2300    ,3573074     ,113.81                    ,109.11                 ,29.15M         ,No                  ,C  ,--       ,--                 ,38.46          ,15.38                 ,30.77           ,--                     ,15.38           ,13                ,2.38              ,-1.24B    ,4.32B  ,-1.24B  ,131.02M           ,-9.78   ,-9.78     ,0.22      ,-0.98       ,-2.65     ,-3.56     ,-1.07     ,-34.74                      ,-28.72    ,1757.43           ,-0.485 ,-1.375                 ,-6.11                      ,-2.4343                ,-16.73                  ,-73.91               ,0.00                 ,-57.32               ,+1.85     ,7.35         ,9.30     ,14.72                  ,7.07      ,7.01     ,78.23                   ,11.36                        ,-6.65   ,-0.03 ,-1.665                 ,-0.07                 ,-0.6932                ,-25.03                   ,-13.83               ,-70.13               ,-7.05                ,-59.76            ,1               ,7.60      ,10.46   ,7.09        ,7.07    ,0.34                 ,0.485          ,-0.455   ,-0.41 ,+0.085                  ,-0.4748                  ,-8.68                    ,-1.465                ,-46.17               ,-68.12               ,-36.54               ,-10.15            ,9.25       ,22.01     ,7.07     ,7.07   ,0.62         ,6.00             ,-0.135        ,-0.03             ,--                   ,--                       ,1.05            ,471.31       ,--                   ,0.22     ,7.38      ,8.70      ,9.37       ,7.73      ,9.25       ,35.55                ,40.85     ,33.03                   ,8.18 ,8.75                ,-1.82                     ,-1.21          ,8.70      ,11.60      ,7.58      ,8.37      ,9.62       ,37.74     ,42.37                ,50.38         ,9.81 ,-0.40      ,-2.72          ,-1.06                     ,7.76      ,8.74       ,8.54      ,40.46                ,10.90                   ,12.14   ,6.78                   ,-2.20          ,-1.80                     ,-663.44    , 
VRTU  ,-6.16      ,29.11     ,561449    ,67.34    ,925.70M   ,97             ,-0.43                     ,33.62     ,31.14     ,0.64 ,-99.15      ,2.16                   ,-24.01            ,32.15                  ,31.38                  ,IT Services                                        ,NASDAQ  ,VIRTUSA CORP             ,IT Consulting & Other Services              ,--      ,30.90         ,29.10 ,100     ,512295       ,343803      ,109.59                  ,163.31                 ,No        ,31.02 ,31.37 ,29.15 ,91.34                 ,553440        ,323614     ,101.45                   ,173.49                ,No                ,Information Technology    ,--            ,30.90     ,29.06 ,100     ,517498      ,115.02                    ,108.49                 ,16.22M         ,Yes                 ,D  ,--       ,--                 ,44.44          ,33.33                 ,22.22           ,--                     ,--              ,9                 ,1.78              ,45.02M    ,600.30M,45.02M  ,29.96M            ,0.46    ,1.49      ,1.44      ,1.27        ,1.27      ,1.11      ,0.79      ,15.83                       ,7.46      ,32.94             ,-1.79  ,-2.29                  ,-1.54                      ,+5.84                  ,+8.07                   ,-21.94               ,+103.08              ,-11.98               ,+1.56     ,32.29        ,34.92    ,6.94                   ,27.08     ,18.03    ,97.84                   ,9.36                         ,-5.79   ,+0.12 ,+3.92                  ,-0.09                 ,-0.22                  ,+23.33                   ,+23.01               ,-10.06               ,+39.56               ,+3.66             ,2               ,33.09     ,34.92   ,30.82       ,27.08   ,-11.03               ,2.26           ,-1.91    ,+0.39 ,-0.13                   ,-0.48                    ,-0.72                    ,+2.31                 ,-8.29                ,+33.14               ,+18.22               ,+2.38             ,34.92      ,38.31     ,30.82    ,24.84  ,2.31         ,95.00            ,-0.05         ,2.91              ,--                   ,20.74                    ,4.38            ,29.56        ,24.24                ,1.54     ,31.67     ,28.85     ,25.11      ,30.91     ,27.55      ,47.00                ,53.18     ,22.01                   ,0.85 ,33.98               ,2.04                      ,4.46           ,28.30     ,25.98      ,31.83     ,29.12     ,27.41      ,51.38     ,57.31                ,1.43          ,3.80 ,1.07       ,2.17           ,5.92                      ,31.38     ,25.64      ,28.64     ,57.89                ,21.39                   ,16.88   ,28.79                  ,0.31           ,4.34                      ,-2024.53   , 
RRD   ,-6.07      ,11.45     ,1313564   ,--       ,854.01M   ,86             ,-4.07                     ,13.74     ,14.01     ,-1.31,-100.00     ,--                     ,-51.27            ,43.47                  ,15.11                  ,Commercial Services & Supplies                     ,NYSE    ,DONNELLEY (R R) & SONS CO,Commercial Printing                         ,0.56    ,12.22         ,11.45 ,900     ,1958089      ,1457113     ,67.08                   ,90.15                  ,No        ,12.19 ,12.19 ,11.46 ,90.07                 ,1930914       ,1273078    ,68.03                    ,103.18                ,No                ,Industrials               ,4.60          ,12.22     ,11.45 ,700     ,1837612     ,94.42                     ,71.48                  ,26.10M         ,Yes                 ,D  ,***      ,B-                 ,33.33          ,33.33                 ,--              ,--                     ,33.33           ,3                 ,2.67              ,-494.60M  ,6.90B  ,-494.60M,69.89M            ,-7.09   ,-7.09     ,2.20      ,0.97        ,1.77      ,3.45      ,-10.83    ,5.75                        ,-7.19     ,155.45            ,-0.77  ,-5.42                  ,-19.15                     ,-8.60                  ,-26.36                  ,-44.58               ,-1.92                ,-28.38               ,+2.12     ,12.95        ,18.51    ,15.89                  ,12.21     ,14.80    ,100.00                  ,24.44                        ,-6.30   ,-0.03 ,-4.98                  ,-0.17                 ,-3.45                  ,-41.30                   ,-24.54               ,-40.56               ,-2.81                ,-171.44           ,0               ,13.86     ,18.51   ,12.21       ,12.21   ,3.35                 ,0.74           ,-0.74    ,-0.25 ,-0.52                   ,-2.89                    ,-21.99                   ,-4.37                 ,-41.63               ,+6.42                ,-32.79               ,-8.55             ,18.51      ,28.08     ,12.21    ,12.21  ,0.74         ,5.00             ,0.00          ,-0.07             ,--                   ,--                       ,--              ,-2580.48     ,12.55                ,0.12     ,13.33     ,16.44     ,17.77      ,14.51     ,19.64      ,16.54                ,30.05     ,51.02                   ,--   ,19.30               ,-6.06                     ,-4.75          ,16.48     ,31.02      ,14.25     ,16.15     ,21.25      ,27.28     ,31.21                ,73.79         ,0.37 ,-0.98      ,-5.60          ,-4.67                     ,15.11     ,16.71      ,16.71     ,29.18                ,7.69                    ,3.33    ,10.93                  ,-6.52          ,-4.26                     ,-13425.55  , 
TWI   ,-5.87      ,9.30      ,609556    ,--       ,591.07M   ,62             ,-3.05                     ,16.55     ,11.32     ,-0.75,-97.85      ,12.33                  ,-33.66            ,38.13                  ,12.10                  ,Machinery                                          ,NYSE    ,TITAN INTERNATIONAL INC  ,Agriculture & Farm Machinery                ,0.02    ,9.91          ,9.30  ,400     ,1311909      ,492825      ,46.46                   ,123.69                 ,No        ,9.88  ,9.94  ,9.31  ,68.77                 ,609784        ,476855     ,99.96                    ,127.83                ,No                ,Industrials               ,0.20          ,9.91      ,9.21  ,600     ,586191      ,89.82                     ,103.99                 ,13.87M         ,Yes                 ,B  ,--       ,B-                 ,25.00          ,25.00                 ,50.00           ,--                     ,--              ,4                 ,2.25              ,-36.14M   ,1.27B  ,-36.14M ,59.64M            ,-0.81   ,-0.81     ,-1.74     ,-0.11       ,-2.43     ,0.64      ,2.05      ,18.33                       ,-2.69     ,207.46            ,-0.61  ,-4.28                  ,-18.10                     ,-1.3244                ,-18.48                  ,+10.48               ,-58.14               ,+109.21              ,+1.48     ,10.60        ,14.23    ,4.29                   ,9.86      ,4.80     ,87.67                   ,25.35                        ,-6.16   ,-0.03 ,-2.01                  ,-0.13                 ,-2.5527                ,-11.79                   ,-11.60               ,-41.56               ,+14.58               ,-11.31            ,4               ,11.43     ,14.23   ,9.86        ,9.86    ,-4.41                ,0.64           ,-0.58    ,-0.30 ,-0.312                  ,-2.19                    ,-20.48                   ,-2.2472               ,+81.83               ,-51.35               ,+44.21               ,-2.85             ,14.23      ,14.23     ,9.86     ,9.86   ,0.73         ,17.00            ,-0.09         ,-0.53             ,--                   ,--                       ,1.94            ,103.55       ,--                   ,0.47     ,11.04     ,12.19     ,11.46      ,11.61     ,11.50      ,19.76                ,41.47     ,42.63                   ,2.15 ,14.71               ,-3.86                     ,-1.73          ,12.06     ,10.01      ,11.66     ,11.97     ,11.24      ,34.67     ,43.48                ,69.55         ,3.20 ,-0.38      ,-1.33          ,-1.44                     ,12.10     ,11.71      ,11.92     ,37.23                ,7.66                    ,6.94    ,9.49                   ,-4.85          ,-0.35                     ,-3240.71   , 
VCRA  ,-5.75      ,22.62     ,321620    ,--       ,671.20M   ,93             ,+1.30                     ,51.09     ,22.81     ,0.90 ,-49.88      ,18.95                  ,40.08             ,39.39                  ,22.20                  ,Health Care Technology                             ,NYSE    ,VOCERA COMMUNICATIONS INC,Health Care Technology                      ,--      ,24.13         ,22.61 ,200     ,242060       ,252668      ,132.87                  ,127.29                 ,No        ,24.00 ,24.16 ,22.65 ,97.52                 ,207780        ,269450     ,154.79                   ,119.36                ,No                ,Health Care               ,--            ,24.13     ,22.26 ,100     ,206527      ,118.06                    ,155.73                 ,5.81M          ,No                  ,B  ,--       ,--                 ,70.00          ,30.00                 ,--              ,--                     ,--              ,10                ,1.30              ,-17.27M   ,127.70M,-17.27M ,27.82M            ,-0.64   ,-0.64     ,-0.66     ,0.18        ,-1.12     ,-0.43     ,0.08      ,17.00                       ,-13.52    ,219.79            ,-1.51  ,+1.92                  ,+8.71                      ,+5.18                  ,+16.07                  ,+141.26              ,0.00                 ,+79.13               ,-0.24     ,24.60        ,24.67    ,-1.68                  ,19.80     ,10.46    ,81.05                   ,0.22                         ,-6.26   ,-0.13 ,+4.10                  ,-0.04                 ,+2.26                  ,+27.36                   ,+30.50               ,+48.21               ,+13.68               ,-16.61            ,2               ,24.67     ,24.67   ,23.93       ,19.48   ,-11.80               ,1.54           ,-1.38    ,-0.54 ,+0.31                   ,+1.93                    ,+10.35                   ,+3.34                 ,+77.10               ,+10.89               ,+26.93               ,-10.03            ,24.67      ,22.48     ,23.11    ,17.69  ,1.90         ,98.00            ,-0.36         ,-1.62             ,--                   ,--                       ,18.49           ,--           ,134.06               ,5.26     ,23.33     ,20.98     ,19.19      ,22.47     ,19.80      ,79.32                ,59.18     ,22.54                   ,50.12,24.81               ,4.19                      ,4.89           ,20.59     ,17.36      ,22.67     ,21.16     ,19.36      ,58.86     ,65.54                ,15.26         ,76.37,0.81       ,2.98           ,6.19                      ,22.20     ,19.44      ,20.84     ,69.07                ,30.65                   ,88.16   ,19.59                  ,2.67           ,4.49                      ,1316.46    , 
SSW   ,-5.73      ,6.1655    ,1261514   ,--       ,692.55M   ,55             ,-1.19                     ,23.34     ,6.95      ,-0.48,-97.59      ,12.07                  ,-42.13            ,32.03                  ,7.22                   ,Marine                                             ,NYSE    ,SEASPAN CORP             ,Marine                                      ,1.50    ,6.54          ,6.16  ,1200    ,1778249      ,944867      ,70.94                   ,133.51                 ,No        ,6.54  ,6.57  ,6.17  ,13.52                 ,1488482       ,1390595    ,84.75                    ,90.72                 ,No                ,Industrials               ,22.90         ,6.54      ,6.11  ,1200    ,1451010     ,76.06                     ,86.94                  ,12.02M         ,No                  ,NC ,--       ,--                 ,7.69           ,--                    ,61.54           ,15.38                  ,15.38           ,13                ,3.31              ,-139.04M  ,877.90M,-139.04M,105.89M           ,-1.89   ,-1.89     ,1.46      ,0.72        ,0.79      ,2.93      ,0.81      ,11.30                       ,-15.84    ,199.52            ,-0.3745,-1.1445                ,-9.48                      ,-3.5513                ,-23.41                  ,-54.65               ,-46.94               ,-42.85               ,+0.71     ,6.83         ,8.91     ,13.43                  ,6.52      ,6.62     ,87.93                   ,13.99                        ,-5.73   ,0.00  ,-3.1145                ,-0.09                 ,-0.8432                ,-35.19                   ,-25.93               ,-59.87               ,-9.52                ,-7.89             ,3               ,7.07      ,11.76   ,6.52        ,6.52    ,0.51                 ,0.4045         ,-0.3745  ,0.00  ,-0.079                  ,-0.6848                  ,-11.42                   ,-1.9994               ,-60.58               ,-52.17               ,-42.38               ,-2.37             ,8.91       ,20.00     ,6.52     ,6.52   ,0.46         ,3.00             ,-0.0555       ,-0.15             ,--                   ,--                       ,0.43            ,173.36       ,9.05                 ,0.79     ,6.74      ,8.37      ,9.68       ,7.13      ,9.19       ,28.94                ,36.29     ,40.60                   ,2.41 ,8.38                ,-1.57                     ,-2.75          ,8.54      ,11.61      ,7.03      ,8.00      ,9.62       ,33.96     ,37.55                ,42.41         ,2.50 ,-0.45      ,-4.37          ,-2.40                     ,7.22      ,8.99       ,8.26      ,35.99                ,16.42                   ,5.96    ,6.07                   ,-1.67          ,-4.11                     ,-8805.93   , 
WIN   ,-5.63      ,5.8701    ,5849475   ,--       ,1.18B     ,34             ,+2.60                     ,27.04     ,6.48      ,-0.35,-98.88      ,5.43                   ,-17.91            ,31.83                  ,6.77                   ,Diversified Telecommunication Services             ,NGM/NGS ,WINDSTREAM HOLDINGS INC  ,Integrated Telecommunication Services       ,0.22    ,6.39          ,5.87  ,4900    ,4713981      ,2194314     ,124.09                  ,266.57                 ,No        ,6.22  ,6.22  ,5.88  ,37.60                 ,4913038       ,2758178    ,119.06                   ,212.08                ,No                ,Telecommunication Services,3.40          ,6.39      ,5.85  ,5000    ,4613530     ,187.33                    ,126.79                 ,29.43M         ,No                  ,NR ,***      ,B                  ,16.67          ,8.33                  ,58.33           ,8.33                   ,8.33            ,12                ,2.83              ,-383.50M  ,--     ,-383.50M,185.23M           ,-4.11   ,-4.11     ,0.24      ,-2.58       ,-0.45     ,2.41      ,1.69      ,-2.00                       ,-7.12     ,453.83            ,-0.5199,-1.6899                ,-5.62                      ,-1.4568                ,-13.62                  ,-30.94               ,-38.83               ,-5.14                ,+0.35     ,6.42         ,7.93     ,4.24                   ,5.86      ,6.37     ,94.57                   ,11.26                        ,-8.14   ,-0.17 ,-1.3999                ,-0.03                 ,-0.4741                ,-18.57                   ,-11.72               ,-28.49               ,+4.12                ,-161.00           ,0               ,6.47      ,8.34    ,6.23        ,5.86    ,0.52                 ,0.3499         ,-0.3499  ,-2.66 ,+0.162                  ,-0.3805                  ,-6.91                    ,-1.0076               ,-13.31               ,-24.19               ,-8.03                ,-3.16             ,7.93       ,10.46     ,5.86     ,5.86   ,0.37         ,6.00             ,-0.0201       ,-0.07             ,--                   ,--                       ,--              ,5707.35      ,--                   ,--       ,6.25      ,7.33      ,7.64       ,6.62      ,7.46       ,38.54                ,38.81     ,34.68                   ,1.12 ,7.99                ,-0.81                     ,-1.63          ,7.39      ,8.21       ,6.53      ,7.09      ,7.56       ,34.91     ,41.82                ,40.03         ,17.79,-0.31      ,-2.35          ,-1.29                     ,6.77      ,7.40       ,7.18      ,39.50                ,14.85                   ,21.26   ,5.55                   ,-1.35          ,-1.87                     ,-11313.93  , 
CRC   ,-5.61      ,12.87     ,2095736   ,2.07     ,594.75M   ,96             ,-2.09                     ,24.18     ,15.45     ,-1.38,-97.20      ,14.10                  ,-15.69            ,22.31                  ,16.33                  ,Oil Gas & Consumable Fuels                         ,NYSE    ,CALIFORNIA RESOURCES CORP,Oil & Gas Exploration & Production          ,--      ,13.98         ,12.86 ,500     ,1814837      ,2148245     ,115.48                  ,97.56                  ,No        ,13.63 ,13.87 ,12.87 ,74.07                 ,1697970       ,1543601    ,123.43                   ,135.77                ,No                ,Energy                    ,--            ,13.98     ,12.70 ,300     ,1724637     ,114.95                    ,121.52                 ,26.90M         ,No                  ,D  ,--       ,--                 ,--             ,11.11                 ,66.67           ,22.22                  ,--              ,9                 ,3.11              ,279.00M   ,1.75B  ,279.00M ,42.54M            ,6.76    ,6.76      ,-92.79    ,-2.80       ,-37.54    ,22.39     ,--        ,-20.49                      ,15.92     ,1208.96           ,-1.12  ,-5.50                  ,-14.41                     ,-2.04                  ,-26.59                  ,-77.24               ,0.00                 ,+17.57               ,+6.45     ,14.58        ,19.98    ,11.63                  ,13.62     ,8.79     ,85.90                   ,21.96                        ,-7.98   ,-0.35 ,-9.14                  ,-0.18                 ,-2.81                  ,-12.72                   ,-34.34               ,0.00                 ,+2.70                ,-37.88            ,13              ,15.96     ,23.42   ,13.62       ,13.62   ,-3.91                ,1.01           ,-0.76    ,-2.50 ,-0.30                   ,-2.35                    ,-16.75                   ,-5.06                 ,-17.25               ,0.00                 ,+79.96               ,+4.16             ,19.98      ,25.50     ,13.62    ,13.62  ,1.17         ,4.00             ,-0.17         ,0.09              ,--                   ,2.07                     ,--              ,-927.83      ,--                   ,0.34     ,14.77     ,18.66     ,16.58      ,15.97     ,17.11      ,29.21                ,43.28     ,35.98                   ,2.80 ,19.92               ,-5.16                     ,-5.82          ,19.03     ,14.76      ,15.69     ,17.39     ,16.95      ,37.59     ,44.82                ,41.60         ,8.31 ,-1.15      ,-8.22          ,-4.69                     ,16.33     ,17.53      ,17.45     ,39.92                ,14.84                   ,13.92   ,12.74                  ,-5.96          ,-6.71                     ,-4087.53   , 
CWH   ,-5.46      ,30.30     ,331111    ,--       ,606.84M   ,74             ,-2.30                     ,31.55     ,33.21     ,-0.30,-95.89      ,13.37                  ,-0.96             ,23.44                  ,34.05                  ,Specialty Retail                                   ,NYSE    ,CAMPING WORLD HOLDINGS IN,Automotive Retail                           ,0.32    ,32.03         ,30.29 ,100     ,462980       ,395157      ,71.52                   ,83.79                  ,No        ,32.05 ,32.05 ,30.35 ,60.34                 ,340855        ,251871     ,97.14                    ,131.46                ,No                ,Consumer Discretionary    ,1.00          ,32.03     ,30.03 ,200     ,319713      ,83.43                     ,103.57                 ,15.43M         ,No                  ,D  ,--       ,--                 ,33.33          ,11.11                 ,55.56           ,--                     ,--              ,9                 ,2.22              ,203.24M   ,3.53B  ,203.24M ,18.95M            ,0.09    ,0.09      ,1147.67   ,1.81        ,800.68    ,--        ,--        ,8.52                        ,5.43      ,478.78            ,-1.73  ,-5.56                  ,-5.93                      ,+2.83                  ,-2.97                   ,0.00                 ,0.00                 ,0.00                 ,0.00      ,34.05        ,36.60    ,4.55                   ,31.65     ,20.45    ,86.63                   ,11.20                        ,-5.40   ,+0.02 ,-3.77                  ,-0.08                 ,-2.14                  ,+9.69                    ,-1.26                ,0.00                 ,+26.43               ,-184.86           ,0               ,34.29     ,36.60   ,31.97       ,31.65   ,-9.58                ,1.75           ,-1.75    ,+0.06 ,-0.75                   ,-2.02                    ,-6.25                    ,-0.98                 ,0.00                 ,0.00                 ,0.00                 ,+14.01            ,36.60      ,36.60     ,31.97    ,29.41  ,2.02         ,66.00            ,-0.27         ,16.03             ,--                   ,370.47                   ,--              ,-2201.47     ,17.71                ,0.17     ,32.83     ,32.95     ,--         ,33.34     ,--         ,38.96                ,--        ,32.86                   ,4.11 ,37.08               ,-1.87                     ,-2.01          ,32.93     ,--         ,33.69     ,--        ,--         ,--        ,50.00                ,39.49         ,18.20,0.13       ,-1.28          ,-0.33                     ,34.05     ,30.26      ,--        ,50.00                ,14.25                   ,31.95   ,31.02                  ,-3.83          ,0.30                      ,-56.90     , 
MDRX  ,-5.29      ,11.64     ,2608991   ,--       ,2.22B     ,86             ,+1.99                     ,39.99     ,11.99     ,0.03 ,-91.67      ,9.33                   ,1.01              ,15.10                  ,12.02                  ,Health Care Technology                             ,NCM     ,ALLSCRIPTS HEALTHCARE SOL,Health Care Technology                      ,--      ,12.30         ,11.64 ,2900    ,2520628      ,2173784     ,103.51                  ,120.02                 ,No        ,12.29 ,12.32 ,11.65 ,93.98                 ,1769885       ,1996245    ,147.41                   ,130.69                ,Yes               ,Health Care               ,--            ,12.30     ,11.57 ,1900    ,1790858     ,66.93                     ,145.68                 ,30.66M         ,No                  ,B  ,****     ,--                 ,29.17          ,12.50                 ,50.00           ,4.17                   ,4.17            ,24                ,2.42              ,3.03M     ,1.55B  ,3.03M   ,180.51M           ,-0.14   ,-0.14     ,-0.01     ,0.62        ,-0.37     ,-0.59     ,-0.01     ,11.51                       ,-1.65     ,206.65            ,-0.66  ,-0.63                  ,+2.35                      ,+0.55                  ,+4.37                   ,+2.82                ,-33.07               ,-9.71                ,+1.34     ,12.41        ,12.55    ,2.85                   ,11.66     ,9.80     ,90.67                   ,2.78                         ,-5.37   ,-0.01 ,+1.29                  ,-0.03                 ,+0.24                  ,+4.70                    ,+20.47               ,-37.13               ,+10.93               ,+0.23             ,1               ,12.41     ,12.55   ,12.07       ,11.66   ,-1.77                ,0.68           ,-0.65    ,-0.08 ,+0.24                   ,+0.28                    ,+1.96                    ,+0.52                 ,-3.06                ,-12.96               ,-5.65                ,+0.09             ,12.41      ,15.17     ,11.80    ,10.24  ,0.75         ,81.00            ,-0.07         ,-3.80             ,--                   ,--                       ,--              ,78.55        ,19.75                ,1.43     ,11.96     ,11.89     ,11.61      ,11.98     ,11.82      ,60.86                ,48.87     ,24.78                   ,8.33 ,12.41               ,0.09                      ,1.10           ,11.67     ,12.25      ,11.96     ,11.83     ,11.87      ,48.21     ,53.38                ,0.49          ,50.75,0.05       ,0.34           ,1.94                      ,12.02     ,11.34      ,11.80     ,56.08                ,24.54                   ,60.66   ,11.62                  ,-0.45          ,1.08                      ,263.00     , 
