Symbol,% Chg(Open),Last Trade,P/E (ttm),Market Cap,Description              ,Industry                                           ,% Total Return (YTD3),Dividend,In S&P Small Cap 600,% Vol Over Yesterday's Vol,DM (DX) 14 Day, 
VRTU  ,-5.77      ,29.23     ,67.34    ,925.70M   ,VIRTUSA CORP             ,IT Services                                        ,-10.06               ,--      ,Yes                 ,118.81                    ,1.54          , 
FRTA  ,-4.56      ,17.58     ,95.24    ,1.17B     ,FORTERRA INC             ,Construction Materials                             ,0.00                 ,--      ,No                  ,62.82                     ,35.83         , 
AMN   ,-3.60      ,40.83     ,19.77    ,2.03B     ,AMN HEALTHCARE SERVICES I,Health Care Providers & Services                   ,+205.95              ,--      ,Yes                 ,91.74                     ,1.86          , 
MNK   ,-3.51      ,42.57     ,17.10    ,4.61B     ,MALLINCKRODT PLC         ,Pharmaceuticals                                    ,-34.07               ,--      ,No                  ,140.46                    ,66.25         , 
ACCO  ,-3.48      ,12.84     ,15.23    ,1.43B     ,ACCO BRANDS CORP         ,Commercial Services & Supplies                     ,+127.82              ,--      ,No                  ,48.42                     ,0.79          , 
WPG   ,-3.45      ,7.975     ,28.95    ,1.54B     ,WASHINGTON PRIME GROUP IN,Equity Real Estate Investment Trusts (REITs)       ,0.00                 ,1.00    ,No                  ,134.72                    ,48.82         , 
IAG   ,-3.25      ,3.87      ,33.08    ,1.85B     ,IAMGOLD CORP             ,Metals & Mining                                    ,-1.77                ,--      ,No                  ,53.97                     ,0.38          , 
AKR   ,-3.18      ,29.56     ,32.48    ,2.59B     ,ACADIA REALTY TRUST      ,Equity Real Estate Investment Trusts (REITs)       ,+31.34               ,1.14    ,Yes                 ,95.57                     ,40.34         , 
VG    ,-3.04      ,6.38      ,82.50    ,1.45B     ,VONAGE HOLDINGS CORP     ,Diversified Telecommunication Services             ,+50.00               ,--      ,No                  ,33.98                     ,4.72          , 
HHC   ,-2.99      ,114.56    ,24.98    ,4.74B     ,HOWARD HUGHES CORP       ,Real Estate Management & Development               ,-17.68               ,--      ,No                  ,67.78                     ,6.49          , 
