Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                              ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change ,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap   ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K   ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
MPEL  ,+3.23      ,19.00     ,1787446   ,54.26    ,9.21B     ,8              ,+0.32                     ,78.40     ,17.99     ,0.54 ,-10.98      ,95.83                  ,9.04              ,21.86                  ,17.50                  ,Hotels Restaurants & Leisure                  ,NASDAQ  ,MELCO CROWN ENTMT LTD    ,Casinos & Gaming                          ,0.17    ,18.72         ,18.99 ,1300    ,2870779      ,3926446     ,62.26                   ,45.52                  ,No        ,18.40 ,19.03 ,19.00 ,47.88                 ,2971888       ,4081197    ,60.15                    ,43.80                 ,No                ,Consumer Discretionary,0.90          ,18.72     ,18.19 ,1300    ,2965396     ,91.46                     ,60.28                  ,53.35M         ,No                  ,-- ,--       ,--                 ,50.00          ,12.50                 ,37.50           ,--                     ,--              ,24                ,1.88              ,66.92M    ,4.52B  ,66.92M  ,491.98M           ,0.34    ,0.34      ,0.19      ,0.57        ,1.10      ,1.15      ,0.76      ,9.34                        ,3.89    ,--                ,+0.28  ,+2.02                  ,+6.95                      ,+1.74                  ,+10.05                  ,-7.04                ,+58.46               ,+23.24               ,+2.04     ,18.95        ,19.32    ,0.97                   ,16.00     ,11.91    ,4.17                    ,-6.76                        ,+1.47   ,-0.32 ,+2.96                  ,+0.02                 ,+1.47                  ,+10.27                   ,+27.81               ,-44.27               ,-9.61                ,+1.74             ,62              ,19.32     ,19.32   ,18.57       ,16.00   ,-6.28                ,0.04           ,+0.60    ,-1.71,+0.06                   ,+1.22                    ,+8.52                    ,+1.71                 ,+23.11               ,-1.15                ,+37.21               ,+0.68             ,19.32      ,20.00     ,18.00    ,15.70  ,0.84         ,85.00            ,-0.81         ,2.35              ,--                   ,54.26                    ,4.29            ,102.84       ,32.61                ,2.04     ,18.25     ,17.15     ,17.11      ,17.78     ,16.94      ,75.46                ,57.51     ,18.86                   ,89.02 ,19.29               ,2.67                      ,3.23           ,17.01     ,15.85      ,17.71     ,17.29     ,16.82      ,61.62     ,56.65                ,24.11         ,82.60,0.35       ,1.74           ,3.07                      ,17.50     ,17.24      ,17.21     ,60.23                ,30.84                   ,77.42   ,15.71                  ,2.87           ,1.54                      ,4128.17   , 
CRAY  ,+3.25      ,21.48     ,161885    ,80.96    ,857.49M   ,2              ,+0.50                     ,71.30     ,20.65     ,0.29 ,--          ,100.00                 ,40.71             ,19.07                  ,20.38                  ,Technology Hardware Storage & Peripherals     ,NASDAQ  ,CRAY INC                 ,Technology Hardware Storage & Peripherals ,--      ,21.05         ,21.45 ,1000    ,332659       ,465785      ,48.66                   ,34.76                  ,No        ,20.80 ,21.48 ,21.50 ,97.77                 ,314059        ,470496     ,51.55                    ,34.41                 ,No                ,Information Technology,--            ,21.05     ,20.60 ,5000    ,319178      ,41.97                     ,50.72                  ,6.92M          ,Yes                 ,C  ,--       ,B-                 ,60.00          ,20.00                 ,20.00           ,--                     ,--              ,5                 ,1.60              ,10.62M    ,629.81M,10.62M  ,40.74M            ,0.26    ,0.26      ,0.68      ,-0.13       ,1.54      ,0.81      ,4.27      ,21.50                       ,1.69    ,480.04            ,+0.42  ,+0.28                  ,+3.29                      ,+0.64                  ,+7.65                   ,-30.94               ,+183.69              ,-37.42               ,+1.35     ,21.20        ,21.85    ,21.93                  ,19.20     ,16.10    ,--                      ,-5.15                        ,+2.02   ,-0.25 ,+0.52                  ,+0.03                 ,+0.60                  ,+3.14                    ,+1.69                ,-45.02               ,+8.03                ,+2.09             ,18              ,21.20     ,22.55   ,20.70       ,19.20   ,-4.50                ,0.00           ,+0.68    ,-1.19,+0.11                   ,+0.67                    ,+2.95                    ,+1.50                 ,-47.91               ,-1.54                ,-8.95                ,+1.51             ,21.45      ,43.40     ,19.85    ,16.10  ,0.88         ,27.00            ,-0.88         ,3.50              ,--                   ,80.96                    ,1.66            ,--           ,--                   ,1.36     ,20.71     ,19.50     ,20.08      ,20.54     ,20.65      ,65.05                ,52.34     ,17.28                   ,100.00,21.51               ,0.10                      ,0.83           ,19.63     ,22.65      ,20.37     ,20.17     ,21.07      ,56.85     ,51.21                ,19.81         ,91.36,0.22       ,4.84           ,0.35                      ,20.38     ,19.76      ,20.17     ,54.91                ,25.81                   ,85.47   ,19.25                  ,0.23           ,4.16                      ,1768.73   , 
FOSL  ,+3.29      ,16.64     ,909489    ,10.05    ,790.66M   ,7              ,+0.21                     ,36.91     ,16.95     ,-1.28,-49.40      ,70.93                  ,33.99             ,49.33                  ,17.03                  ,Textiles Apparel & Luxury Goods               ,NGM/NGS ,FOSSIL GROUP INC         ,Apparel Accessories & Luxury Goods        ,--      ,16.38         ,16.64 ,400     ,1255444      ,1458265     ,72.44                   ,62.37                  ,No        ,16.11 ,16.89 ,16.65 ,87.28                 ,2062095       ,2098388    ,44.11                    ,43.34                 ,No                ,Consumer Discretionary,--            ,16.38     ,16.03 ,500     ,2072928     ,93.75                     ,43.87                  ,20.49M         ,Yes                 ,C  ,*        ,B+                 ,7.69           ,--                    ,53.85           ,15.38                  ,23.08           ,13                ,3.46              ,85.60M    ,3.04B  ,85.60M  ,48.27M            ,1.63    ,1.63      ,4.51      ,1.03        ,7.10      ,6.56      ,5.59      ,11.93                       ,2.59    ,209.82            ,+0.26  ,-2.45                  ,-3.84                      ,-9.86                  ,-24.02                  ,-80.22               ,-87.70               ,-32.15               ,+1.29     ,16.53        ,20.12    ,33.02                  ,15.79     ,16.81    ,29.07                   ,-0.10                        ,+1.59   ,-0.27 ,-9.43                  ,+0.01                 ,-0.98                  ,-37.58                   ,-36.66               ,-85.97               ,-43.42               ,+8.88             ,63              ,16.92     ,27.33   ,16.14       ,15.79   ,0.78                 ,0.25           ,+0.53    ,-1.65,+0.03                   ,-0.65                    ,-5.67                    ,-5.18                 ,-62.73               ,-82.85               ,-33.79               ,+3.77             ,19.51      ,49.91     ,15.79    ,15.79  ,0.86         ,1.00             ,-0.61         ,0.43              ,--                   ,10.05                    ,1.57            ,60.07        ,15.85                ,0.26     ,16.48     ,20.85     ,25.94      ,17.40     ,23.47      ,30.54                ,37.15     ,31.71                   ,50.60 ,18.72               ,-2.81                     ,-9.55          ,21.62     ,27.31      ,16.62     ,20.30     ,24.41      ,33.72     ,36.54                ,26.94         ,39.94,-1.51      ,-8.69          ,-9.97                     ,17.03     ,25.46      ,21.10     ,32.46                ,18.25                   ,28.22   ,15.35                  ,-2.73          ,-8.79                     ,9036.89   , 
VIAV  ,+3.31      ,10.92     ,3266866   ,27.41    ,2.47B     ,18             ,-0.46                     ,71.24     ,10.43     ,0.27 ,-5.41       ,96.23                  ,6.49              ,21.19                  ,10.17                  ,Communications Equipment                      ,NASDAQ  ,VIAVI SOLUTIONS INC      ,Communications Equipment                  ,--      ,10.72         ,10.91 ,2200    ,3987606      ,2658891     ,81.93                   ,122.87                 ,No        ,10.57 ,10.94 ,10.92 ,90.05                 ,5170491       ,3969283    ,63.18                    ,82.30                 ,No                ,Information Technology,--            ,10.72     ,10.41 ,1600    ,4913898     ,86.56                     ,66.48                  ,42.84M         ,Yes                 ,B  ,--       ,B-                 ,36.36          ,9.09                  ,54.55           ,--                     ,--              ,11                ,2.18              ,-99.20M   ,906.30M,-99.20M ,230.31M           ,0.39    ,-0.43     ,-0.38     ,0.36        ,-0.08     ,0.24      ,-0.24     ,15.00                       ,-10.95  ,302.10            ,+0.20  ,+0.71                  ,+5.44                      ,+2.19                  ,+11.41                  ,+41.34               ,+37.26               ,+46.71               ,+2.14     ,10.89        ,11.00    ,-0.05                  ,9.47      ,5.93     ,3.77                    ,-6.17                        ,+1.87   ,-0.15 ,+2.67                  ,+0.01                 ,+0.58                  ,+25.63                   ,+31.05               ,+33.23               ,+27.64               ,+12.53            ,59              ,11.00     ,11.00   ,10.60       ,9.47    ,-4.48                ,0.02           ,+0.35    ,-1.40,-0.05                   ,+0.55                    ,+5.68                    ,+1.10                 ,+58.35               ,+41.44               ,+28.79               ,+5.32             ,11.00      ,10.89     ,10.26    ,8.12   ,0.53         ,95.00            ,-0.51         ,1.19              ,--                   ,--                       ,5.23            ,89.51        ,29.51                ,2.72     ,10.51     ,9.84      ,8.68       ,10.34     ,9.19       ,66.73                ,63.57     ,20.28                   ,94.59 ,11.08               ,0.28                      ,2.67           ,9.60      ,8.10       ,10.25     ,9.84      ,8.99       ,64.92     ,62.41                ,5.33          ,86.94,0.20       ,1.69           ,2.31                      ,10.17     ,8.96       ,9.69      ,63.18                ,22.56                   ,84.63   ,9.25                   ,0.94           ,1.62                      ,3659.57   , 
JAZZ  ,+3.35      ,146.33    ,461575    ,22.33    ,8.55B     ,5              ,-0.22                     ,72.71     ,139.81    ,3.65 ,-10.96      ,74.16                  ,29.57             ,36.61                  ,137.51                 ,Pharmaceuticals                               ,NASDAQ  ,JAZZ PHARMACEUTICALS PLC ,Pharmaceuticals                           ,--      ,143.14        ,146.24,100     ,899893       ,622595      ,51.29                   ,74.14                  ,No        ,141.59,148.14,146.42,91.95                 ,624398        ,629872     ,73.92                    ,73.28                 ,No                ,Health Care           ,--            ,143.13    ,141.14,300     ,601648      ,76.68                     ,76.72                  ,128.85M        ,No                  ,NC ,--       ,--                 ,63.16          ,21.05                 ,15.79           ,--                     ,--              ,19                ,1.53              ,396.83M   ,1.49B  ,396.83M ,59.74M            ,6.41    ,6.41      ,5.23      ,11.13       ,0.93      ,3.51      ,4.80      ,16.29                       ,26.67   ,1430.74           ,+3.20  ,+8.08                  ,+4.09                      ,+22.89                 ,+11.07                  ,-20.92               ,+197.16              ,-12.50               ,+1.20     ,144.59       ,144.92   ,11.86                  ,130.25    ,95.80    ,25.84                   ,-5.29                        ,+2.24   ,-1.54 ,+36.33                 ,+0.02                 ,+6.20                  ,+19.04                   ,+31.28               ,+4.24                ,+27.97               ,+22.83            ,125             ,144.92    ,144.92  ,141.63      ,130.25  ,-45.34               ,1.81           ,+4.74    ,-1.08,-0.32                   ,+5.62                    ,+4.53                    ,+14.26                ,+20.70               ,+151.21              ,+7.10                ,+9.76             ,144.92     ,160.00    ,139.30   ,109.14 ,7.01         ,95.00            ,-5.20         ,0.97              ,--                   ,22.33                    ,--              ,106.19       ,12.86                ,5.75     ,140.76    ,131.35    ,119.89     ,138.50    ,127.16     ,67.01                ,61.07     ,10.29                   ,89.04 ,146.16              ,7.02                      ,37.97          ,128.47    ,126.42     ,138.59    ,131.92    ,126.72     ,65.67     ,59.60                ,52.75         ,86.78,3.14       ,26.85          ,30.93                     ,137.51    ,119.88     ,130.37    ,63.43                ,33.28                   ,85.16   ,128.86                 ,9.36           ,23.67                     ,2519.00   , 
GIMO  ,+3.36      ,35.35     ,413528    ,26.30    ,1.26B     ,11             ,-1.43                     ,56.17     ,34.76     ,0.09 ,-31.33      ,92.86                  ,9.06              ,15.71                  ,34.12                  ,Software                                      ,NYSE    ,GIGAMON INC              ,Systems Software                          ,--      ,34.45         ,35.30 ,100     ,1014231      ,1123536     ,40.77                   ,36.81                  ,No        ,34.20 ,35.50 ,35.35 ,89.84                 ,1080554       ,1437797    ,38.27                    ,28.76                 ,No                ,Information Technology,--            ,34.45     ,33.40 ,700     ,1056224     ,47.88                     ,39.15                  ,35.72M         ,No                  ,F  ,--       ,--                 ,36.36          ,36.36                 ,27.27           ,--                     ,--              ,11                ,1.91              ,49.43M    ,310.86M,49.43M  ,36.69M            ,1.31    ,1.31      ,0.17      ,1.04        ,-1.27     ,-0.39     ,0.21      ,20.81                       ,15.90   ,454.47            ,+0.90  ,+0.50                  ,+0.97                      ,-10.70                 ,-3.60                   ,+63.04               ,0.00                 ,+9.31                ,+1.55     ,35.00        ,36.97    ,25.75                  ,31.20     ,28.16    ,7.14                    ,-2.41                        ,+2.61   ,-0.25 ,-10.60                 ,-0.03                 ,+0.22                  ,-23.71                   ,-24.37               ,+1.62                ,-36.18               ,+23.65            ,34              ,36.95     ,48.25   ,34.15       ,31.20   ,-5.24                ,0.15           ,+1.15    ,-0.73,-0.50                   ,+0.33                    ,+0.65                    ,-1.29                 ,+10.99               ,0.00                 ,-22.96               ,+14.53            ,36.97      ,61.25     ,34.15    ,28.50  ,2.10         ,3.00             ,-1.95         ,1.14              ,--                   ,26.30                    ,4.77            ,--           ,33.24                ,4.07     ,35.27     ,34.17     ,44.13      ,34.69     ,39.41      ,48.35                ,45.16     ,25.08                   ,68.67 ,37.00               ,-1.15                     ,-10.20         ,36.06     ,43.96      ,34.50     ,36.27     ,40.01      ,46.27     ,43.97                ,8.09          ,59.86,-0.10      ,2.40           ,-13.00                    ,34.12     ,42.72      ,37.06     ,44.05                ,21.33                   ,61.45   ,31.23                  ,0.60           ,1.95                      ,1319.61   , 
WYNN  ,+3.37      ,114.54    ,2668373   ,47.03    ,11.41B    ,23             ,-0.76                     ,80.26     ,108.10    ,4.24 ,-7.09       ,78.00                  ,17.70             ,42.99                  ,105.16                 ,Hotels Restaurants & Leisure                  ,NGM/NGS ,WYNN RESORTS LTD         ,Casinos & Gaming                          ,2.00    ,111.92        ,114.51,200     ,3123789      ,2834760     ,85.42                   ,94.13                  ,Yes       ,110.81,115.77,114.55,73.47                 ,2722981       ,2449752    ,97.99                    ,108.92                ,No                ,Consumer Discretionary,1.80          ,111.92    ,110.18,200     ,2657921     ,160.13                    ,100.39                 ,350.04M        ,No                  ,B  ,***      ,B                  ,23.81          ,9.52                  ,61.90           ,4.76                   ,--              ,21                ,2.48              ,302.47M   ,4.47B  ,302.47M ,101.92M           ,2.38    ,2.38      ,1.92      ,4.10        ,7.18      ,7.17      ,4.82      ,8.00                        ,5.42    ,181.56            ,+2.62  ,+14.64                 ,+6.42                      ,+15.42                 ,+13.73                  ,-9.66                ,+9.32                ,+1.56                ,+1.87     ,113.26       ,114.08   ,-6.27                  ,94.28     ,79.77    ,22.00                   ,-6.71                        ,+2.34   ,-1.11 ,+27.34                 ,+0.03                 ,+8.64                  ,+15.98                   ,+30.03               ,-45.92               ,-5.25                ,+1315.94          ,246             ,114.08    ,114.08  ,110.89      ,92.67   ,-30.41               ,1.23           ,+3.73    ,-0.99,-0.86                   ,+6.76                    ,+8.37                    ,+13.51                ,+22.32               ,+3.83                ,+8.81                ,+2.70             ,114.08     ,109.50    ,110.00   ,86.20  ,5.59         ,91.00            ,-4.36         ,2.03              ,--                   ,47.03                    ,256.46          ,3926.37      ,27.30                ,2.55     ,110.13    ,99.80     ,96.00      ,106.52    ,98.43      ,75.80                ,61.22     ,8.50                    ,92.91 ,116.60              ,17.91                     ,27.46          ,98.29     ,96.63      ,106.86    ,101.40    ,97.77      ,66.98     ,59.77                ,63.10         ,89.38,3.34       ,11.46          ,23.68                     ,105.16    ,96.06      ,100.52    ,64.81                ,37.57                   ,90.07   ,93.72                  ,19.03          ,16.42                     ,6912.42   , 
EGRX  ,+3.38      ,83.00     ,171325    ,16.10    ,1.22B     ,9              ,-0.70                     ,60.73     ,79.90     ,2.00 ,-9.53       ,100.00                 ,22.08             ,16.79                  ,79.23                  ,Biotechnology                                 ,NASDAQ  ,EAGLE PHARMACEUTICALS INC,Biotechnology                             ,--      ,79.88         ,82.87 ,100     ,286745       ,358268      ,59.75                   ,47.82                  ,No        ,80.29 ,83.00 ,83.00 ,67.09                 ,287026        ,321613     ,59.69                    ,53.27                 ,No                ,Health Care           ,--            ,79.88     ,79.24 ,300     ,284194      ,57.20                     ,60.28                  ,23.07M         ,Yes                 ,C  ,--       ,--                 ,25.00          ,50.00                 ,--              ,--                     ,25.00           ,4                 ,2.50              ,81.45M    ,189.48M,81.45M  ,15.23M            ,4.96    ,4.96      ,0.16      ,3.79        ,-1.54     ,-3.25     ,-14.11    ,15.00                       ,42.99   ,2310.76           ,+3.12  ,+5.82                  ,+0.82                      ,+7.41                  ,+8.52                   ,+95.11               ,0.00                 ,+61.35               ,+1.47     ,82.88        ,83.81    ,4.78                   ,71.06     ,33.02    ,--                      ,-3.53                        ,+3.91   ,+0.41 ,+2.74                  ,0.00                  ,+1.20                  ,+10.23                   ,+0.68                ,+486.92              ,-2.87                ,+67.44            ,36              ,83.81     ,86.00   ,78.75       ,71.06   ,-46.22               ,0.00           ,+2.71    ,+0.51,-0.57                   ,+0.65                    ,+1.53                    ,+6.27                 ,+106.51              ,0.00                 ,+28.35               ,+48.07            ,83.81      ,87.78     ,77.06    ,61.10  ,3.76         ,70.00            ,-3.76         ,0.70              ,--                   ,16.10                    ,15.68           ,--           ,21.10                ,6.42     ,80.95     ,73.85     ,73.21      ,79.15     ,73.19      ,53.10                ,55.95     ,14.33                   ,90.47 ,83.84               ,3.95                      ,4.67           ,73.95     ,65.17      ,80.07     ,76.21     ,72.08      ,57.66     ,54.25                ,5.58          ,77.75,2.03       ,16.25          ,0.01                      ,79.23     ,75.01      ,75.57     ,54.83                ,16.03                   ,69.23   ,74.61                  ,5.05           ,13.83                     ,814.04    , 
MOMO  ,+3.43      ,34.09     ,2933920   ,46.29    ,6.48B     ,25             ,+0.60                     ,63.89     ,32.31     ,2.09 ,-26.95      ,90.48                  ,11.28             ,38.69                  ,31.39                  ,Internet Software & Services                  ,NASDAQ  ,MOMO INC  -ADR           ,Internet Software & Services              ,--      ,33.33         ,34.04 ,200     ,5966551      ,3115628     ,49.17                   ,94.17                  ,No        ,32.96 ,34.27 ,34.09 ,22.76                 ,6760079       ,3508056    ,43.40                    ,83.63                 ,No                ,Information Technology,--            ,33.33     ,32.37 ,300     ,6352804     ,107.18                    ,46.18                  ,197.75M        ,No                  ,-- ,--       ,--                 ,54.55          ,36.36                 ,9.09            ,--                     ,--              ,11                ,1.55              ,145.25M   ,553.10M,145.25M ,194.47M           ,0.72    ,0.72      ,0.06      ,1.37        ,-1.95     ,-0.52     ,-0.24     ,41.57                       ,26.26   ,--                ,+0.76  ,+7.09                  ,+6.18                      ,+9.45                  ,+28.17                  ,+219.25              ,0.00                 ,+108.45              ,+1.91     ,34.15        ,35.76    ,0.08                   ,25.49     ,8.88     ,9.52                    ,-3.48                        ,+2.28   ,-0.37 ,+15.39                 ,0.00                  ,+2.82                  ,+39.56                   ,+81.34               ,0.00                 ,+23.76               ,+26.35            ,118             ,35.76     ,35.76   ,33.02       ,24.78   ,-23.49               ,0.18           ,+1.13    ,-1.11,+0.20                   ,+1.94                    ,+9.25                    ,+7.33                 ,+173.65              ,0.00                 ,+10.95               ,+22.14            ,35.76      ,34.35     ,31.21    ,18.23  ,1.90         ,100.00           ,-1.72         ,2.00              ,--                   ,46.29                    ,10.22           ,--           ,24.35                ,11.72    ,33.71     ,27.03     ,24.04      ,31.55     ,25.27      ,60.78                ,62.15     ,15.75                   ,73.05 ,37.33               ,7.47                      ,15.30          ,25.88     ,21.04      ,32.90     ,28.10     ,24.50      ,63.94     ,61.36                ,28.62         ,70.31,2.18       ,11.19          ,14.32                     ,31.39     ,23.89      ,27.36     ,62.79                ,28.38                   ,69.35   ,25.45                  ,8.19           ,10.38                     ,11552.32  , 
SUPN  ,+3.53      ,30.80     ,617739    ,17.06    ,1.50B     ,3              ,+2.53                     ,66.21     ,28.56     ,0.92 ,-9.86       ,70.10                  ,28.11             ,13.74                  ,28.09                  ,Pharmaceuticals                               ,NASDAQ  ,SUPERNUS PHARMACEUTICALS ,Pharmaceuticals                           ,--      ,29.95         ,30.75 ,200     ,578379       ,620230      ,106.81                  ,99.60                  ,No        ,29.75 ,31.33 ,30.80 ,94.40                 ,804664        ,564141     ,76.77                    ,109.50                ,No                ,Health Care           ,--            ,29.95     ,29.57 ,400     ,760127      ,80.23                     ,81.27                  ,16.85M         ,Yes                 ,NR ,--       ,--                 ,83.33          ,--                    ,16.67           ,--                     ,--              ,6                 ,1.33              ,91.22M    ,215.00M,91.22M  ,50.16M            ,1.76    ,1.76      ,0.28      ,1.28        ,-0.26     ,-2.90     ,-2.72     ,25.00                       ,42.43   ,592.29            ,+0.85  ,+4.70                  ,+6.64                      ,+5.55                  ,+13.32                  ,+158.64              ,0.00                 ,+31.73               ,+1.82     ,30.20        ,30.36    ,-0.96                  ,24.92     ,13.42    ,29.90                   ,-8.20                        ,+2.84   ,-0.20 ,+5.35                  ,+0.03                 ,+2.30                  ,+22.76                   ,+18.61               ,+247.05              ,+19.26               ,+65.21            ,54              ,30.20     ,30.36   ,28.46       ,24.65   ,-16.15               ,0.53           ,+1.05    ,-0.67,+0.74                   ,+1.87                    ,+8.34                    ,+3.52                 ,+107.99              ,+414.60              ,+20.21               ,+36.62            ,30.36      ,30.37     ,27.80    ,23.10  ,1.76         ,92.00            ,-1.23         ,0.74              ,--                   ,17.06                    ,8.54            ,2.17         ,23.37                ,6.99     ,28.87     ,26.55     ,24.34      ,28.22     ,25.47      ,62.52                ,57.85     ,16.38                   ,90.14 ,30.78               ,4.65                      ,5.75           ,26.47     ,23.38      ,28.27     ,26.89     ,25.00      ,59.64     ,56.78                ,33.38         ,82.92,0.73       ,4.80           ,4.25                      ,28.09     ,24.87      ,26.56     ,58.06                ,32.80                   ,73.77   ,25.39                  ,4.15           ,3.95                      ,2538.46   , 
