Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                           ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                    ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin  ,Sales per Employee,Change ,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap    ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap ,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
SVNT  ,-6.16      ,38.00     ,100233    ,--       ,983.16M   ,2              ,+3.43                     ,27.15     ,43.40     ,-1.60,-100.00     ,--                     ,-0.63             ,21.31                  ,44.80                  ,Energy Equipment & Services                        ,OTC     ,SEVENTY SEVEN ENERGY INC ,Oil & Gas Equipment & Services       ,--      ,42.83         ,--    ,--      ,36312        ,16337129    ,276.03                  ,0.61                   ,No        ,40.49 ,40.83 ,--    ,28.95                 ,57559         ,90949      ,174.14                   ,110.21                ,No                ,Energy                    ,--            ,42.83     ,38.00 ,--      ,54987       ,73.21                     ,182.28                 ,1.53M          ,No                  ,NC ,--       ,--                 ,--             ,--                    ,100.00          ,--                     ,--              ,1                 ,3.00              ,-219.27M  ,556.30M,-219.27M,22.96M            ,-5.32   ,-5.32     ,-4.42     ,-2.61       ,-0.17     ,-0.42     ,1.48      ,--                          ,-39.42    ,327.23            ,-4.83  ,-9.50                  ,-4.39                      ,+8.11                  ,-8.37                   ,0.00                 ,0.00                 ,0.00                 ,0.00      ,42.83        ,49.68    ,10.02                  ,41.80     ,14.75    ,100.00                  ,15.20                        ,-11.28  ,-2.34  ,-7.00                  ,-0.14                 ,-2.72                  ,+23.37                   ,-4.82                ,0.00                 ,+101.15              ,-76.92            ,1               ,44.23     ,50.85   ,42.00       ,41.80   ,-23.25               ,2.83           ,-2.49    ,-5.46 ,+1.42                   ,-1.97                    ,-5.97                    ,-3.91                 ,0.00                 ,0.00                 ,+179.20              ,-15.38            ,49.68      ,50.85     ,41.80    ,41.80  ,2.83         ,--               ,0.00          ,-0.35             ,--                   ,--                       ,2.13            ,94.23        ,--                   ,1.77     ,42.75     ,46.55     ,36.48      ,44.03     ,--         ,40.84                ,--        ,45.58                   ,--   ,50.54               ,-6.17                     ,-6.24          ,46.44     ,--         ,43.78     ,--        ,--         ,--        ,50.00                ,41.84         ,4.97 ,-1.00      ,-10.50         ,-0.72                     ,44.80     ,39.47      ,--        ,50.00                ,18.69                   ,4.20    ,39.06                  ,-9.60          ,-3.17                     ,-4.65     , 
DLTH  ,-4.47      ,21.56     ,270448    ,34.48    ,661.79M   ,53             ,+5.40                     ,58.82     ,20.57     ,-0.06,-35.98      ,5.00                   ,-0.97             ,38.98                  ,19.90                  ,Internet & Direct Marketing Retail                 ,NASDAQ  ,DULUTH HOLDINGS INC      ,Internet & Direct Marketing Retail   ,--      ,22.76         ,21.52 ,100     ,1065993      ,295139      ,25.37                   ,91.63                  ,No        ,22.57 ,22.70 ,21.56 ,30.97                 ,455865        ,298241     ,59.33                    ,90.68                 ,No                ,Consumer Discretionary    ,--            ,22.76     ,21.50 ,500     ,442626      ,58.39                     ,61.10                  ,23.01M         ,No                  ,F  ,--       ,--                 ,33.33          ,33.33                 ,33.33           ,--                     ,--              ,6                 ,2.00              ,21.53M    ,376.12M,21.53M  ,29.08M            ,0.66    ,0.66      ,1.06      ,0.71        ,0.99      ,0.39      ,--        ,5.00                        ,5.67      ,369.47            ,-1.20  ,+0.15                  ,+14.37                     ,-3.18                  ,+2.01                   ,0.00                 ,0.00                 ,-20.42               ,0.00      ,23.00        ,23.42    ,15.49                  ,18.25     ,17.02    ,95.00                   ,-8.21                        ,-5.27   ,-0.19  ,-4.11                  ,+0.12                 ,+2.79                  ,-12.24                   ,-10.39               ,0.00                 ,-37.06               ,+21.53            ,1               ,23.42     ,26.99   ,22.36       ,18.25   ,-4.48                ,1.14           ,-1.01    ,-0.83 ,+1.17                   ,+2.86                    ,+13.99                   ,+0.45                 ,+17.32               ,0.00                 ,-30.42               ,+15.57            ,23.42      ,38.19     ,18.85    ,18.25  ,1.20         ,3.00             ,-0.06         ,1.49              ,--                   ,34.48                    ,6.66            ,2.97         ,32.24                ,1.76     ,20.25     ,21.70     ,25.75      ,20.57     ,--         ,72.65                ,--        ,21.18                   ,64.02,22.60               ,1.25                      ,-3.97          ,22.40     ,26.12      ,19.79     ,21.91     ,--         ,47.56     ,50.00                ,22.95         ,76.98,-0.60      ,-1.41          ,-3.41                     ,19.90     ,25.49      ,22.39     ,51.29                ,33.80                   ,73.22   ,17.20                  ,0.35           ,-0.60                     ,-72.03    , 
SNCR  ,-4.36      ,24.54     ,979979    ,57.70    ,1.19B     ,87             ,+1.70                     ,23.03     ,26.33     ,-1.81,-97.01      ,5.74                   ,-21.87            ,60.01                  ,26.16                  ,Software                                           ,NCM     ,SYNCHRONOSS TECHNOLOGIES ,Application Software                 ,--      ,25.94         ,24.53 ,100     ,499697       ,575827      ,196.11                  ,170.19                 ,No        ,25.66 ,25.73 ,24.54 ,88.50                 ,907604        ,737259     ,107.97                   ,132.92                ,No                ,Information Technology    ,--            ,25.94     ,24.47 ,200     ,995600      ,205.96                    ,98.43                  ,12.95M         ,Yes                 ,C  ,--       ,B                  ,55.56          ,22.22                 ,22.22           ,--                     ,--              ,9                 ,1.67              ,7.99M     ,476.75M,7.99M   ,46M               ,0.45    ,0.45      ,0.96      ,2.54        ,0.96      ,0.58      ,0.69      ,18.50                       ,4.11      ,270.11            ,-1.40  ,-2.96                  ,-0.83                      ,-12.11                 ,-21.65                  ,-43.86               ,-20.16               ,-23.22               ,+2.12     ,26.13        ,31.21    ,24.21                  ,25.15     ,25.38    ,94.26                   ,5.78                         ,-5.40   ,-0.28  ,-14.22                 ,-0.08                 ,-0.82                  ,-31.82                   ,-32.27               ,-24.55               ,-44.14               ,+1.26             ,1               ,26.89     ,40.28   ,25.60       ,25.15   ,0.91                 ,1.19           ,-1.12    ,-1.08 ,+0.43                   ,-0.22                    ,-3.05                    ,-7.17                 ,-16.81               ,-14.16               ,-35.14               ,+0.73             ,30.43      ,49.94     ,25.15    ,25.15  ,1.26         ,1.00             ,-0.07         ,2.50              ,--                   ,57.70                    ,6.23            ,33.72        ,10.23                ,2.50     ,25.81     ,32.02     ,37.55      ,26.97     ,34.29      ,32.72                ,33.62     ,40.59                   ,2.99 ,27.37               ,-4.55                     ,-13.79         ,33.14     ,37.81      ,25.96     ,30.86     ,34.95      ,28.31     ,35.25                ,61.91         ,23.11,-2.09      ,-14.93         ,-13.70                    ,26.16     ,37.40      ,31.84     ,30.82                ,9.55                    ,23.84   ,24.95                  ,-4.15          ,-13.31                    ,-2158.82  , 
GIII  ,-4.02      ,19.44     ,6638219   ,13.44    ,1.11B     ,120            ,+4.17                     ,21.15     ,23.32     ,-1.13,-94.79      ,20.06                  ,-25.56            ,29.06                  ,24.01                  ,Textiles Apparel & Luxury Goods                    ,NCM     ,G-III APPAREL GROUP LTD  ,Apparel Accessories & Luxury Goods   ,--      ,22.92         ,19.43 ,900     ,1088072      ,770772      ,610.09                  ,861.24                 ,No        ,20.25 ,20.75 ,19.44 ,88.30                 ,677607        ,692856     ,979.66                   ,958.10                ,No                ,Consumer Discretionary    ,--            ,22.92     ,19.11 ,200     ,651263      ,372.78                    ,1019.28                ,24.78M         ,Yes                 ,D  ,--       ,B                  ,42.86          ,--                    ,57.14           ,--                     ,--              ,7                 ,2.14              ,114.33M   ,2.34B  ,114.33M ,48.64M            ,1.70    ,2.46      ,2.48      ,1.44        ,1.85      ,1.40      ,1.23      ,18.90                       ,4.88      ,304.71            ,-3.48  ,-6.78                  ,-4.54                      ,-4.81                  ,-11.51                  ,-59.40               ,+62.44               ,-34.23               ,+0.47     ,23.28        ,27.48    ,35.14                  ,21.30     ,24.05    ,79.94                   ,21.27                        ,-15.21  ,-2.67  ,-10.56                 ,-0.18                 ,-1.68                  ,-17.35                   ,-22.46               ,-38.44               ,-5.27                ,+8.63             ,17              ,24.16     ,31.00   ,22.41       ,21.30   ,4.95                 ,1.32           ,-0.82    ,-11.65,+0.92                   ,-1.09                    ,-6.82                    ,-2.98                 ,-49.47               ,+17.96               ,-18.50               ,+5.63             ,27.33      ,55.89     ,21.30    ,21.30  ,1.65         ,4.00             ,-0.33         ,0.58              ,--                   ,9.32                     ,1.38            ,--           ,15.94                ,0.48     ,23.22     ,25.35     ,27.47      ,23.74     ,27.43      ,36.99                ,37.54     ,41.26                   ,5.21 ,26.90               ,-4.00                     ,-10.54         ,25.92     ,32.47      ,23.57     ,25.32     ,28.31      ,33.12     ,42.04                ,57.04         ,27.10,-0.79      ,-5.82          ,-7.34                     ,24.01     ,27.36      ,25.74     ,40.46                ,11.29                   ,26.30   ,21.12                  ,-7.47          ,-3.74                     ,-4172.15  , 
WIN   ,-3.97      ,5.195     ,2995155   ,--       ,1.01B     ,39             ,-4.59                     ,18.28     ,6.13      ,-0.47,-97.60      ,12.96                  ,-23.32            ,35.75                  ,6.47                   ,Diversified Telecommunication Services             ,NGM/NGS ,WINDSTREAM HOLDINGS INC  ,Integrated Telecommunication Services,0.22    ,5.45          ,5.19  ,7000    ,4544232      ,2280745     ,65.91                   ,131.32                 ,No        ,5.41  ,5.43  ,5.20  ,37.60                 ,5084494       ,2898395    ,58.91                    ,103.34                ,No                ,Telecommunication Services,4.00          ,5.45      ,5.16  ,6100    ,5146080     ,79.18                     ,58.20                  ,26.82M         ,No                  ,NR ,***      ,B                  ,15.38          ,7.69                  ,53.85           ,15.38                  ,7.69            ,13                ,2.92              ,-383.50M  ,--     ,-383.50M,185.23M           ,-4.11   ,-4.11     ,0.24      ,-2.58       ,-0.45     ,2.41      ,1.69      ,-2.00                       ,-7.12     ,453.83            ,-0.255 ,-2.365                 ,-15.70                     ,-2.3159                ,-25.40                  ,-42.17               ,-46.09               ,-5.14                ,+0.35     ,5.64         ,7.93     ,5.03                   ,5.44      ,6.37     ,87.04                   ,18.00                        ,-4.68   ,-0.04  ,-2.075                 ,-0.18                 ,-1.2095                ,-29.82                   ,-24.70               ,-38.46               ,+4.12                ,-161.00           ,2               ,6.47      ,8.34    ,5.44        ,5.44    ,1.21                 ,0.235          ,-0.215   ,-0.73 ,-0.262                  ,-1.015                   ,-18.16                   ,-1.856                ,-21.06               ,-32.52               ,-8.03                ,-3.16             ,7.93       ,10.46     ,5.44     ,5.44   ,0.27         ,6.00             ,-0.035        ,-0.06             ,--                   ,--                       ,--              ,5707.35      ,--                   ,--       ,5.95      ,7.18      ,7.52       ,6.30      ,7.34       ,21.09                ,35.40     ,43.30                   ,2.40 ,7.83                ,-1.82                     ,-2.36          ,7.27      ,8.16       ,6.13      ,6.90      ,7.45       ,30.08     ,36.62                ,56.51         ,1.34 ,-0.37      ,-3.03          ,-2.32                     ,6.47      ,7.33       ,7.02      ,31.77                ,12.03                   ,4.32    ,5.10                   ,-2.65          ,-2.70                     ,-14806.87 , 
SWIR  ,-3.70      ,27.59     ,884220    ,61.88    ,955.39M   ,43             ,+3.20                     ,47.43     ,28.21     ,1.18 ,-64.68      ,60.80                  ,3.95              ,45.21                  ,28.40                  ,Communications Equipment                           ,NCM     ,SIERRA WIRELESS INC      ,Communications Equipment             ,--      ,29.70         ,27.55 ,900     ,522336       ,335882      ,169.28                  ,263.25                 ,No        ,28.65 ,28.65 ,27.60 ,26.99                 ,516721        ,501188     ,171.12                   ,176.42                ,No                ,Information Technology    ,--            ,29.70     ,25.95 ,700     ,525522      ,177.00                    ,168.26                 ,15.22M         ,No                  ,NC ,--       ,B                  ,16.67          ,25.00                 ,50.00           ,--                     ,8.33            ,12                ,2.58              ,15.38M    ,615.61M,15.38M  ,32.15M            ,0.48    ,0.48      ,-0.08     ,0.83        ,-0.53     ,1.79      ,0.88      ,19.17                       ,2.50      ,529.78            ,-2.11  ,-1.31                  ,+4.57                      ,+11.51                 ,+30.86                  ,-14.66               ,+326.11              ,+42.89               ,+2.20     ,30.56        ,30.60    ,1.20                   ,26.85     ,12.30    ,39.20                   ,2.53                         ,-7.10   ,-1.05  ,+11.69                 ,-0.02                 ,+1.38                  ,+63.28                   ,+89.17               ,+31.42               ,+84.04               ,+4.27             ,0               ,30.60     ,30.60   ,29.30       ,25.95   ,-13.65               ,1.06           ,-1.06    ,-3.54 ,+0.92                   ,+1.30                    ,+4.86                    ,+7.00                 ,+120.16              ,+178.35              ,+101.50              ,+2.74             ,30.60      ,29.85     ,27.60    ,15.65  ,2.70         ,99.00            ,-1.64         ,2.68              ,--                   ,61.88                    ,7.19            ,--           ,35.83                ,1.55     ,28.36     ,23.82     ,18.72      ,27.80     ,21.55      ,70.19                ,63.64     ,28.48                   ,35.32,29.80               ,2.55                      ,11.39          ,22.55     ,17.53      ,28.29     ,24.74     ,20.81      ,62.07     ,70.25                ,0.08          ,65.55,1.47       ,9.79           ,13.56                     ,28.40     ,19.72      ,23.90     ,71.87                ,28.52                   ,67.24   ,27.00                  ,-1.31          ,11.90                     ,262.05    , 
TLND  ,-3.36      ,27.33     ,143749    ,--       ,820.19M   ,20             ,-0.27                     ,40.79     ,28.32     ,0.77 ,-82.02      ,17.39                  ,-41.27            ,33.82                  ,28.06                  ,Software                                           ,NASDAQ  ,TALEND SA  -ADR          ,Systems Software                     ,--      ,28.57         ,27.29 ,300     ,145548       ,124917      ,98.76                   ,115.08                 ,No        ,28.28 ,28.28 ,27.40 ,18.09                 ,226912        ,126632     ,63.35                    ,113.52                ,No                ,Information Technology    ,--            ,28.57     ,27.13 ,200     ,210038      ,138.73                    ,68.44                  ,4.23M          ,No                  ,-- ,--       ,--                 ,33.33          ,33.33                 ,33.33           ,--                     ,--              ,6                 ,2.00              ,-24.24M   ,105.98M,-24.24M ,28.71M            ,-1.68   ,-1.68     ,-5.79     ,-0.71       ,-6.09     ,-6.40     ,--        ,30.00                       ,-22.87    ,156.09            ,-1.24  ,+0.35                  ,+1.82                      ,+4.10                  ,+12.41                  ,0.00                 ,0.00                 ,0.00                 ,0.00      ,29.20        ,31.39    ,6.21                   ,25.56     ,21.02    ,82.61                   ,3.82                         ,-4.34   ,-0.29  ,+4.74                  ,-0.09                 ,+0.61                  ,+16.75                   ,+28.69               ,0.00                 ,+17.41               ,+140.71           ,0               ,30.34     ,31.39   ,28.26       ,25.56   ,-6.11                ,0.95           ,-0.95    ,-1.02 ,-0.08                   ,+0.51                    ,+2.20                    ,+3.15                 ,0.00                 ,0.00                 ,+5.90                ,-25.16            ,31.39      ,34.49     ,28.26    ,21.25  ,1.15         ,93.00            ,-0.20         ,-0.74             ,--                   ,--                       ,55.87           ,0.03         ,--                   ,7.74     ,28.95     ,25.88     ,24.35      ,28.04     ,--         ,55.69                ,--        ,22.34                   ,17.98,30.25               ,1.37                      ,4.83           ,25.35     ,--         ,28.37     ,--        ,--         ,--        ,50.00                ,3.85          ,42.30,0.96       ,4.84           ,5.80                      ,28.06     ,24.52      ,--        ,50.00                ,24.12                   ,53.30   ,25.87                  ,0.46           ,6.24                      ,-1741.63  , 
PBYI  ,-3.03      ,38.45     ,334867    ,--       ,1.47B     ,16             ,-0.77                     ,44.69     ,40.29     ,1.14 ,-67.60      ,19.35                  ,12.83             ,19.93                  ,39.62                  ,Biotechnology                                      ,NASDAQ  ,PUMA BIOTECHNOLOGY INC   ,Biotechnology                        ,--      ,39.70         ,38.45 ,200     ,602304       ,1071195     ,55.60                   ,31.26                  ,No        ,39.65 ,39.70 ,38.55 ,68.05                 ,1465231       ,997688     ,22.85                    ,33.56                 ,No                ,Health Care               ,--            ,39.70     ,38.15 ,200     ,1389843     ,66.78                     ,24.09                  ,24.75M         ,No                  ,D  ,--       ,--                 ,42.86          ,28.57                 ,28.57           ,--                     ,--              ,7                 ,1.86              ,-276.01M  ,--     ,-276.01M,36.95M            ,-8.29   ,-8.29     ,-7.45     ,-7.76       ,-4.73     ,-1.90     ,-3.42     ,-95.91                      ,--        ,--                ,-1.25  ,+1.10                  ,+0.20                      ,-2.59                  ,+9.26                   ,-82.39               ,0.00                 ,-2.88                ,+0.43     ,40.70        ,45.44    ,33.57                  ,28.95     ,19.74    ,80.65                   ,7.06                         ,-3.15   ,-0.05  ,+7.20                  ,-0.13                 ,+0.51                  ,-6.12                    ,+29.32               ,-62.83               ,-14.75               ,-132.75           ,1               ,45.44     ,45.44   ,39.29       ,28.95   ,-18.41               ,1.25           ,-1.20    ,-0.13 ,-0.31                   ,+0.08                    ,+1.30                    ,+3.36                 ,+7.36                ,+27.28               ,-37.95               ,-112.06           ,45.44      ,73.27     ,39.29    ,28.95  ,1.55         ,92.00            ,-0.30         ,-0.21             ,--                   ,--                       ,6.97            ,--           ,--                   ,--       ,41.75     ,36.75     ,39.74      ,39.86     ,39.20      ,48.56                ,49.49     ,23.21                   ,32.40,46.78               ,3.50                      ,6.80           ,36.18     ,42.70      ,41.17     ,38.36     ,39.82      ,50.11     ,50.34                ,0.06          ,50.06,1.55       ,6.30           ,6.85                      ,39.62     ,37.56      ,38.36     ,51.54                ,23.24                   ,60.11   ,32.46                  ,1.10           ,7.70                      ,1807.88   , 
KGFHY ,-2.97      ,8.16      ,250272    ,11.20    ,9.06B     ,9              ,-1.01                     ,36.98     ,8.37      ,--   ,-95.31      ,--                     ,50.30             ,19.12                  ,8.36                   ,Specialty Retail                                   ,OTC     ,KINGFISHER PLC           ,Home Improvement Retail              ,0.28    ,8.09          ,8.16  ,100     ,1078042      ,402261      ,23.22                   ,62.22                  ,No        ,8.41  ,8.42  ,8.35  ,87.87                 ,535570        ,408200     ,46.73                    ,61.31                 ,No                ,Consumer Discretionary    ,3.50          ,8.26      ,8.16  ,2200    ,614691      ,6.33                      ,40.72                  ,8.90M          ,No                  ,-- ,--       ,--                 ,--             ,100.00                ,--              ,--                     ,--              ,1                 ,2.00              ,815.79M   ,15.01B ,815.79M ,2.24B             ,0.72    ,0.72      ,0.48      ,--          ,0.65      ,0.79      ,0.64      ,10.61                       ,7.27      ,--                ,-0.10  ,-0.01                  ,-1.15                      ,-0.5352                ,-1.78                   ,-21.76               ,-4.75                ,-22.71               ,+0.89     ,8.27         ,8.77     ,2.53                   ,8.01      ,7.90     ,100.00                  ,2.95                         ,-1.21   ,+0.15  ,-0.24                  ,-0.06                 ,-0.0755                ,-6.09                    ,-6.56                ,-33.79               ,-7.14                ,+10.00            ,1               ,8.77      ,8.77    ,8.13        ,8.01    ,-0.26                ,0.26           ,-0.25    ,+1.82 ,-0.084                  ,-0.096                   ,-0.91                    ,-0.1496               ,-21.15               ,+4.22                ,-15.02               ,+6.50             ,8.77       ,10.95     ,8.13     ,8.01   ,0.26         ,31.00            ,0.00          ,0.48              ,--                   ,11.20                    ,1.78            ,2.72         ,--                   ,1.21     ,8.47      ,8.40      ,8.69       ,8.37      ,8.61       ,41.52                ,44.34     ,27.46                   ,4.69 ,8.73                ,0.10                      ,-0.25          ,8.41      ,8.97       ,8.40      ,8.43      ,8.69       ,43.44     ,45.46                ,3.10          ,11.07,0.02       ,-0.25          ,-0.26                     ,8.36      ,8.60       ,8.46      ,45.39                ,29.22                   ,27.29   ,7.98                   ,0.05           ,-0.14                     ,3628.17   , 
FTR   ,-2.90      ,2.01      ,32029383  ,--       ,2.45B     ,15             ,-0.57                     ,25.54     ,2.37      ,-0.29,-88.31      ,20.00                  ,-6.26             ,51.51                  ,2.50                   ,Diversified Telecommunication Services             ,NASDAQ  ,FRONTIER COMMUNICATIONS C,Integrated Telecommunication Services,0.42    ,2.09          ,2.00  ,133300  ,66682386     ,29438298    ,48.03                   ,108.80                 ,No        ,2.07  ,2.09  ,2.01  ,71.09                 ,71754688      ,38555927   ,44.64                    ,83.07                 ,Yes               ,Telecommunication Services,20.10         ,2.09      ,1.99  ,216100  ,66801246    ,40.18                     ,47.95                  ,142.11M        ,No                  ,C  ,***      ,B                  ,25.00          ,12.50                 ,50.00           ,6.25                   ,6.25            ,16                ,2.56              ,-373.00M  ,--     ,-373.00M,1.17B             ,-0.51   ,-0.51     ,-0.29     ,-0.22       ,0.13      ,0.11      ,0.13      ,1.00                        ,-4.19     ,314.35            ,-0.08  ,-0.94                  ,-16.23                     ,-1.3992                ,-33.46                  ,-65.50               ,-21.94               ,-38.94               ,+0.65     ,2.11         ,3.42     ,3.66                   ,1.92      ,2.49     ,80.00                   ,18.11                        ,-3.83   ,-0.02  ,-1.39                  ,-0.17                 ,-0.5436                ,-40.10                   ,-35.60               ,-50.02               ,-17.28               ,-7.36             ,3               ,2.50      ,3.82    ,1.92        ,1.92    ,0.50                 ,0.08           ,-0.06    ,-0.96 ,-0.012                  ,-0.405                   ,-20.64                   ,-1.0511               ,-55.50               ,-25.39               ,-32.83               ,-1.33             ,3.39       ,5.75      ,1.92     ,1.92   ,0.10         ,2.00             ,-0.02         ,-0.18             ,--                   ,--                       ,--              ,388.91       ,--                   ,--       ,2.27      ,3.04      ,3.39       ,2.48      ,3.26       ,27.70                ,32.96     ,40.41                   ,11.69,3.07                ,-1.28                     ,-1.34          ,3.13      ,3.95       ,2.37      ,2.89      ,3.38       ,29.28     ,33.68                ,65.09         ,11.50,-0.25      ,-1.53          ,-1.33                     ,2.50      ,3.26       ,2.98      ,30.29                ,8.55                    ,11.11   ,1.92                   ,-1.28          ,-1.41                     ,-66920.30 , 
