Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                    ,Exchange,Description              ,Sub-Industry                       ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                    ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
EBR   ,-5.70      ,5.62      ,209486    ,--       ,8.41B     ,29             ,+2.15                     ,33.45     ,6.17      ,-0.24,-96.15      ,10.53                  ,-30.54            ,21.03                  ,6.32                   ,Electric Utilities                          ,NYSE    ,ELETROBRAS-CENTR ELETR BR,Electric Utilities                 ,--      ,6.07          ,5.62  ,500     ,86648        ,220794      ,241.77                  ,94.88                  ,No        ,5.96  ,5.96  ,5.63  ,34.49                 ,381961        ,254987     ,54.84                    ,82.16                 ,No                ,Utilities                 ,--            ,6.07      ,5.58  ,1100    ,363281      ,380.52                    ,57.67                  ,525.00K        ,No                  ,-- ,--       ,--                 ,--             ,--                    ,--              ,100.00                 ,--              ,1                 ,4.00              ,-4.48B    ,9.77B  ,-4.48B  ,1.35B             ,-0.15   ,-3.20     ,-0.67     ,--          ,-1.37     ,-1.52     ,0.83      ,-188.68                     ,-13.28  ,--                ,-0.45 ,-0.88                  ,-3.97                      ,-0.6447                ,-9.79                   ,+219.47              ,-15.14               ,+210.38              ,+1.49     ,6.09         ,7.20     ,1.74                   ,5.91      ,1.59     ,89.47                   ,10.25                        ,-7.41   ,-0.11,-1.25                  ,-0.10                 ,-0.3436                ,-9.60                    ,-11.52               ,+150.37              ,-12.38               ,-1.14             ,0               ,6.44      ,7.34    ,5.96        ,5.91    ,-3.99                ,0.34           ,-0.34    ,-1.81,+0.128                  ,-0.251                   ,-5.36                    ,-0.6586               ,+242.94              ,+117.59              ,-4.22                ,-0.36             ,6.92       ,7.70      ,5.91     ,5.91   ,0.38         ,11.00            ,-0.04         ,-1.76             ,--                   ,--                       ,2.56            ,--           ,--                   ,0.84     ,6.05      ,6.67      ,6.77       ,6.26      ,6.51       ,42.59                ,44.34     ,29.92                   ,3.85 ,6.97                ,-0.69                     ,-1.28          ,6.72      ,6.15       ,6.20      ,6.53      ,6.41       ,40.63     ,46.96                ,44.21         ,6.56 ,-0.19      ,-1.20          ,-0.68                     ,6.32      ,6.78       ,6.56      ,44.48                ,11.57                   ,8.77    ,5.67                   ,-1.01          ,-0.88                     ,-628.45   , 
QUAD  ,-5.48      ,21.90     ,298668    ,26.08    ,891.65M   ,61             ,+1.43                     ,22.87     ,24.11     ,-0.90,-99.59      ,1.35                   ,-31.89            ,34.02                  ,25.01                  ,Commercial Services & Supplies              ,NYSE    ,QUAD/GRAPHICS INC        ,Commercial Printing                ,1.20    ,23.47         ,21.87 ,300     ,411902       ,292878      ,72.51                   ,101.98                 ,No        ,23.17 ,23.37 ,21.90 ,52.20                 ,365064        ,295218     ,81.81                    ,101.17                ,No                ,Industrials               ,5.10          ,23.47     ,21.88 ,500     ,372391      ,91.18                     ,80.20                  ,9.70M          ,No                  ,B  ,--       ,--                 ,50.00          ,--                    ,50.00           ,--                     ,--              ,2                 ,2.00              ,44.90M    ,4.33B  ,44.90M  ,37.99M            ,0.90    ,0.90      ,-13.40    ,1.68        ,0.38      ,0.65      ,1.78      ,5.00                        ,1.04    ,191.57            ,-1.57 ,-5.62                  ,-6.16                      ,-2.36                  ,-8.98                   ,+14.65               ,+147.16              ,+48.30               ,+1.37     ,23.84        ,28.40    ,6.14                   ,23.09     ,11.83    ,98.65                   ,10.58                        ,-6.69   ,-0.30,-5.03                  ,-0.10                 ,-1.95                  ,-9.13                    ,-11.71               ,+24.28               ,-2.40                ,+10.38            ,2               ,24.74     ,28.40   ,23.40       ,23.09   ,-10.05               ,1.47           ,-1.27    ,-1.28,+0.33                   ,-1.54                    ,-7.67                    ,-2.32                 ,+94.37               ,+22.41               ,+2.47                ,+1.66             ,28.40      ,29.50     ,23.09    ,23.01  ,1.49         ,13.00            ,-0.02         ,1.13              ,--                   ,26.08                    ,3.17            ,236.49       ,14.01                ,0.21     ,23.63     ,25.74     ,25.79      ,24.46     ,25.47      ,33.02                ,41.67     ,34.92                   ,0.41 ,28.36               ,-3.45                     ,-5.11          ,25.76     ,25.71      ,24.22     ,25.34     ,25.31      ,36.59     ,44.88                ,60.12         ,6.13 ,-0.64      ,-4.91          ,-3.90                     ,25.01     ,25.90      ,25.44     ,41.35                ,8.70                    ,6.89    ,21.66                  ,-5.41          ,-3.64                     ,-1618.61  , 
SA    ,-4.17      ,12.08     ,454307    ,--       ,654.05M   ,21             ,-1.51                     ,61.92     ,11.40     ,0.51 ,-22.14      ,31.56                  ,15.13             ,28.27                  ,10.75                  ,Metals & Mining                             ,NYSE    ,SEABRIDGE GOLD INC       ,Gold                               ,--      ,12.05         ,12.05 ,3900    ,1019009      ,718280      ,44.58                   ,63.25                  ,No        ,12.60 ,12.67 ,12.10 ,49.20                 ,913644        ,712196     ,49.72                    ,63.79                 ,No                ,Materials                 ,--            ,12.05     ,11.80 ,2100    ,896945      ,58.85                     ,50.65                  ,12.42M         ,No                  ,NC ,--       ,--                 ,40.00          ,40.00                 ,20.00           ,--                     ,--              ,5                 ,1.80              ,-7.09M    ,--     ,-7.09M  ,54.19M            ,-0.10   ,-0.14     ,-0.21     ,-0.13       ,-0.23     ,-0.22     ,-0.37     ,--                          ,--      ,--                ,+0.02 ,+2.08                  ,+12.07                     ,+1.89                  ,+17.04                  ,+90.06               ,-40.35               ,-15.21               ,-0.03     ,12.85        ,12.85    ,3.21                   ,9.21      ,7.35     ,68.44                   ,-8.54                        ,+0.21   ,+0.55,+3.92                  ,+0.05                 ,+1.33                  ,+18.62                   ,+47.85               ,+55.89               ,+9.68                ,-2.41             ,2               ,12.85     ,12.85   ,12.02       ,9.21    ,-4.45                ,0.60           ,-0.52    ,+4.56,-0.19                   ,+1.30                    ,+12.38                   ,+1.75                 ,+13.15               ,-12.87               ,-3.32                ,-2.22             ,12.85      ,15.88     ,10.95    ,8.15   ,0.87         ,98.00            ,-0.28         ,-5.12             ,--                   ,--                       ,3.10            ,--           ,--                   ,--       ,11.59     ,10.53     ,10.07      ,11.21     ,10.46      ,61.67                ,55.22     ,12.40                   ,77.86,12.81               ,0.70                      ,3.98           ,10.26     ,11.15      ,11.04     ,10.63     ,10.49      ,57.85     ,55.15                ,34.81         ,84.64,0.32       ,2.64           ,3.90                      ,10.75     ,9.93       ,10.54     ,57.75                ,25.64                   ,90.41   ,8.69                   ,1.89           ,2.65                      ,1914.22   , 
TAL   ,-4.10      ,101.32    ,752041    ,99.31    ,4.87B     ,132            ,+3.16                     ,65.18     ,98.03     ,4.88 ,-38.03      ,28.55                  ,12.87             ,47.58                  ,95.30                  ,Diversified Consumer Services               ,NYSE    ,TAL EDUCATION GROUP      ,Education Services                 ,--      ,106.37        ,101.11,100     ,510283       ,477970      ,147.38                  ,157.34                 ,No        ,105.65,105.65,101.46,55.94                 ,437526        ,466526     ,171.88                   ,161.20                ,No                ,Consumer Discretionary    ,--            ,106.37    ,99.59 ,100     ,440854      ,139.77                    ,170.59                 ,52.39M         ,No                  ,-- ,--       ,--                 ,62.50          ,37.50                 ,--              ,--                     ,--              ,16                ,1.38              ,102.76M   ,619.95M,102.76M ,45.75M            ,1.07    ,1.21      ,0.82      ,1.55        ,0.76      ,0.42      ,0.32      ,35.15                       ,16.59   ,51.17             ,-5.05 ,+14.81                 ,+11.62                     ,+28.12                 ,+24.41                  ,+220.30              ,+923.62              ,+61.87               ,+0.35     ,108.50       ,108.50   ,-13.11                 ,83.55     ,47.69    ,71.45                   ,-4.21                        ,-4.75   ,-0.72,+30.32                 ,+0.01                 ,+12.69                 ,+35.94                   ,+51.63               ,+381.09              ,+12.99               ,+17.81            ,0               ,108.50    ,108.50  ,103.57      ,83.55   ,-51.90               ,4.33           ,-4.33    ,-0.68,+3.26                   ,+11.07                   ,+13.55                   ,+20.87                ,+112.10              ,+1019.68             ,+44.70               ,+6.41             ,108.50     ,92.54     ,99.16    ,70.17  ,6.06         ,98.00            ,-1.73         ,4.30              ,--                   ,88.20                    ,25.71           ,51.69        ,68.56                ,7.85     ,99.90     ,87.43     ,79.37      ,96.23     ,82.50      ,91.86                ,65.91     ,14.16                   ,61.97,106.34              ,21.12                     ,30.87          ,85.27     ,72.45      ,97.06     ,89.05     ,80.53      ,68.33     ,71.96                ,46.21         ,80.70,4.21       ,20.41          ,35.87                     ,95.30     ,80.52      ,87.43     ,78.56                ,38.50                   ,88.95   ,84.26                  ,15.58          ,26.10                     ,770.35    , 
FRAC  ,-4.06      ,14.17     ,1289422   ,--       ,1.57B     ,29             ,-1.12                     ,--        ,--        ,--   ,-97.83      ,9.78                   ,-13.41            ,--                     ,16.28                  ,Energy Equipment & Services                 ,NYSE    ,KEANE GROUP INC          ,Oil & Gas Equipment & Services     ,--      ,15.21         ,14.15 ,200     ,1306170      ,2150082     ,98.72                   ,59.97                  ,No        ,14.77 ,14.91 ,14.20 ,2.13                  ,1990934       ,2150082    ,64.76                    ,59.97                 ,No                ,Energy                    ,--            ,15.21     ,14.09 ,700     ,1993542     ,75.96                     ,64.68                  ,20.56M         ,No                  ,NC ,--       ,--                 ,55.56          ,33.33                 ,11.11           ,--                     ,--              ,9                 ,1.56              ,-187.09M  ,420.57M,-187.09M,103.13M           ,-2.14   ,-2.14     ,-0.74     ,-0.14       ,-0.52     ,--        ,--        ,40.00                       ,-44.48  ,300.19            ,-1.04 ,-4.06                  ,-6.55                      ,-3.77                  ,-19.85                  ,0.00                 ,0.00                 ,0.00                 ,0.00      ,16.17        ,20.20    ,8.02                   ,14.49     ,15.35    ,90.22                   ,11.97                        ,-6.84   ,-0.44,-7.83                  ,-0.12                 ,-1.45                  ,-19.85                   ,0.00                 ,0.00                 ,0.00                 ,-154.35           ,1               ,16.55     ,22.93   ,15.04       ,14.49   ,1.26                 ,0.74           ,-0.60    ,-2.89,-0.17                   ,-1.07                    ,-8.72                    ,-3.77                 ,0.00                 ,0.00                 ,0.00                 ,-43.42            ,18.32      ,22.93     ,15.04    ,14.49  ,0.82         ,--               ,-0.08         ,-0.31             ,--                   ,--                       ,23.15           ,168.89       ,--                   ,3.73     ,15.81     ,--        ,--         ,--        ,--         ,50.00                ,--        ,--                      ,2.17 ,18.14               ,-2.99                     ,--             ,--        ,--         ,15.87     ,--        ,--         ,--        ,--                   ,--            ,24.63,--         ,-7.98          ,--                        ,16.28     ,--         ,--        ,50.00                ,--                      ,33.97   ,14.41                  ,-3.91          ,-6.44                     ,-3810.34  , 
VXX   ,-3.85      ,16.74     ,57597870  ,--       ,1.28B     ,129            ,+0.48                     ,46.27     ,16.78     ,-0.54,-37.67      ,22.00                  ,4.15              ,20.80                  ,16.95                  ,--                                          ,NYSE    ,IPATH S&P 500 VIX S-TERM ,--                                 ,--      ,16.77         ,16.74 ,26900   ,74766945     ,40979384    ,77.04                   ,140.55                 ,No        ,17.41 ,17.52 ,16.75 ,100.13                ,49516232      ,45012332   ,116.32                   ,127.96                ,No                ,--                        ,--            ,16.77     ,16.52 ,15700   ,50069123    ,66.09                     ,115.04                 ,1.24B          ,No                  ,NC ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,--        ,--     ,--      ,76.09M            ,--      ,--        ,--        ,--          ,--        ,--        ,--        ,--                          ,--      ,--                ,-0.03 ,-0.88                  ,-1.09                      ,-8.89                  ,-10.65                  ,-83.33               ,-98.49               ,-66.06               ,-4.66     ,17.50        ,19.05    ,74.80                  ,15.40     ,16.76    ,78.00                   ,-0.51                        ,-0.18   ,+0.64,-7.74                  ,+0.06                 ,-0.35                  ,-34.64                   ,-34.26               ,-90.55               ,-33.95               ,0.00              ,15              ,17.50     ,24.66   ,16.45       ,15.40   ,0.24                 ,0.78           ,-0.67    ,+3.82,+0.08                   ,-0.18                    ,-2.06                    ,-2.00                 ,-78.28               ,-95.00               ,-49.17               ,0.00              ,18.55      ,92.32     ,15.40    ,15.40  ,1.00         ,1.00             ,-0.22         ,--                ,--                   ,--                       ,--              ,--           ,--                   ,--       ,16.44     ,18.18     ,24.51      ,16.96     ,23.09      ,46.79                ,36.18     ,19.56                   ,62.33,18.36               ,-1.32                     ,-7.88          ,18.95     ,32.24      ,16.65     ,18.75     ,25.06      ,36.07     ,36.23                ,7.56          ,67.67,-0.67      ,-2.23          ,-7.05                     ,16.95     ,22.79      ,19.52     ,36.18                ,22.76                   ,60.43   ,15.55                  ,-1.24          ,-2.40                     ,31451.50  , 
RRD   ,-3.69      ,11.23     ,1079193   ,--       ,819.06M   ,43             ,+0.10                     ,15.00     ,13.21     ,-1.44,-100.00     ,--                     ,-36.88            ,49.30                  ,14.13                  ,Commercial Services & Supplies              ,NYSE    ,DONNELLEY (R R) & SONS CO,Commercial Printing                ,0.56    ,11.72         ,11.22 ,800     ,1469996      ,1479533     ,73.41                   ,72.94                  ,No        ,11.66 ,11.68 ,11.23 ,90.07                 ,1991835       ,1288303    ,54.18                    ,83.77                 ,No                ,Industrials               ,4.80          ,11.72     ,11.23 ,600     ,1916108     ,104.24                    ,56.32                  ,17.61M         ,Yes                 ,D  ,***      ,B-                 ,33.33          ,33.33                 ,--              ,--                     ,33.33           ,3                 ,2.67              ,-494.60M  ,6.90B  ,-494.60M,69.89M            ,-7.09   ,-7.09     ,2.20      ,0.97        ,1.77      ,3.45      ,-10.83    ,5.75                        ,-7.19   ,155.45            ,-0.49 ,-5.64                  ,-17.07                     ,-8.27                  ,-28.26                  ,-53.44               ,-12.87               ,-28.38               ,+2.12     ,11.99        ,18.51    ,16.40                  ,11.43     ,14.80    ,100.00                  ,17.51                        ,-4.18   ,-0.06,-5.20                  ,-0.12                 ,-3.09                  ,-41.37                   ,-27.63               ,-48.44               ,-2.81                ,-171.44           ,2               ,13.75     ,18.51   ,11.69       ,11.43   ,3.57                 ,0.45           ,-0.43    ,-0.51,+0.01                   ,-2.41                    ,-20.89                   ,-4.62                 ,-48.80               ,-13.12               ,-32.79               ,-8.55             ,18.51      ,28.08     ,11.43    ,11.43  ,0.45         ,5.00             ,0.00          ,-0.07             ,--                   ,--                       ,--              ,-2580.48     ,12.04                ,0.12     ,12.60     ,16.11     ,17.08      ,13.75     ,19.17      ,17.19                ,29.99     ,50.08                   ,--   ,18.06               ,-6.41                     ,-4.87          ,16.25     ,30.44      ,13.20     ,15.64     ,20.78      ,27.26     ,30.74                ,73.39         ,4.22 ,-1.18      ,-6.11          ,-4.53                     ,14.13     ,16.52      ,16.22     ,28.50                ,7.69                    ,4.05    ,10.21                  ,-6.87          ,-5.64                     ,-8860.54  , 
NOAH  ,-3.67      ,26.00     ,351696    ,16.99    ,1.54B     ,59             ,+0.45                     ,38.95     ,27.29     ,0.47 ,-84.55      ,27.42                  ,-8.80             ,38.63                  ,27.60                  ,Capital Markets                             ,NYSE    ,NOAH HOLDINGS LTD  -ADR  ,Asset Management & Custody Banks   ,--      ,27.44         ,25.97 ,200     ,275663       ,160240      ,127.58                  ,219.48                 ,No        ,26.99 ,27.35 ,26.01 ,26.29                 ,296469        ,175117     ,118.63                   ,200.83                ,No                ,Financials                ,--            ,27.44     ,25.49 ,100     ,283329      ,120.21                    ,124.13                 ,7.60M          ,No                  ,-- ,--       ,--                 ,--             ,50.00                 ,50.00           ,--                     ,--              ,2                 ,2.50              ,90.10M    ,--     ,90.10M  ,56.25M            ,1.62    ,1.62      ,1.38      ,1.98        ,1.19      ,0.85      ,0.40      ,21.00                       ,3.86    ,--                ,-1.44 ,-0.34                  ,-0.58                      ,+2.76                  ,+9.94                   ,+18.94               ,+248.55              ,+3.35                ,+2.45     ,27.75        ,29.73    ,2.38                   ,25.29     ,21.33    ,72.58                   ,6.62                         ,-5.25   ,-0.45,+3.99                  ,-0.08                 ,+0.02                  ,+11.17                   ,+25.13               ,+80.53               ,+6.51                ,+21.43            ,3               ,28.72     ,29.73   ,26.82       ,25.29   ,-4.16                ,1.35           ,-0.99    ,-1.64,+0.12                   ,-0.16                    ,+0.07                    ,+2.48                 ,+8.98                ,+310.78              ,-0.42                ,+12.45            ,29.73      ,29.73     ,26.82    ,21.64  ,1.86         ,94.00            ,-0.51         ,0.74              ,--                   ,16.99                    ,3.18            ,14.92        ,13.89                ,--       ,27.48     ,25.41     ,24.48      ,27.12     ,25.21      ,51.67                ,51.98     ,21.40                   ,15.45,28.97               ,1.79                      ,4.01           ,24.88     ,24.95      ,27.72     ,25.95     ,25.12      ,51.07     ,55.99                ,2.41          ,29.34,0.76       ,3.07           ,5.16                      ,27.60     ,24.29      ,25.70     ,57.24                ,20.39                   ,37.81   ,26.23                  ,0.19           ,4.24                      ,-287.57   , 
ITGR  ,-3.64      ,37.68     ,310923    ,--       ,1.26B     ,26             ,+3.08                     ,44.53     ,38.89     ,1.25 ,-84.18      ,35.23                  ,20.09             ,41.13                  ,38.50                  ,Health Care Equipment & Supplies            ,NYSE    ,INTEGER HOLDINGS CORP    ,Health Care Equipment              ,--      ,40.70         ,37.65 ,200     ,222779       ,210292      ,139.57                  ,147.85                 ,No        ,39.10 ,39.10 ,37.70 ,80.19                 ,225029        ,172540     ,138.17                   ,180.20                ,No                ,Health Care               ,--            ,40.70     ,36.90 ,500     ,213512      ,147.91                    ,145.62                 ,8.91M          ,Yes                 ,B  ,****     ,B                  ,80.00          ,--                    ,20.00           ,--                     ,--              ,5                 ,1.40              ,5.96M     ,1.39B  ,5.96M   ,31M               ,0.19    ,0.19      ,-0.29     ,2.90        ,2.14      ,1.43      ,-0.20     ,12.67                       ,0.43    ,147.53            ,-3.02 ,+0.82                  ,+5.71                      ,+11.82                 ,+17.75                  ,-20.61               ,+85.40               ,+14.54               ,+1.14     ,41.00        ,41.80    ,0.35                   ,35.29     ,18.10    ,64.77                   ,3.43                         ,-7.43   ,-1.60,+7.82                  ,-0.08                 ,+2.43                  ,+40.92                   ,+38.20               ,-1.78                ,+27.96               ,+0.76             ,0               ,41.80     ,41.80   ,40.15       ,35.29   ,-18.80               ,1.43           ,-1.42    ,-3.93,+1.22                   ,+2.20                    ,+6.35                    ,+6.14                 ,+19.67               ,+49.84               ,+49.38               ,+0.21             ,41.80      ,39.45     ,38.50    ,29.00  ,2.20         ,97.00            ,-0.78         ,9.27              ,--                   ,214.21                   ,--              ,234.24       ,14.03                ,0.91     ,39.68     ,35.28     ,29.76      ,38.44     ,32.92      ,68.46                ,57.82     ,27.22                   ,15.82,41.42               ,4.30                      ,7.88           ,34.45     ,28.48      ,38.97     ,35.79     ,32.35      ,56.72     ,64.13                ,7.30          ,53.96,1.44       ,6.03           ,10.45                     ,38.50     ,31.68      ,35.05     ,67.02                ,23.52                   ,60.86   ,35.59                  ,0.73           ,9.65                      ,623.12    , 
I     ,-3.30      ,4.255     ,245000    ,0.53     ,525.24M   ,18             ,+2.56                     ,52.08     ,4.23      ,0.11 ,-36.02      ,19.44                  ,10.45             ,33.23                  ,4.14                   ,Diversified Telecommunication Services      ,NYSE    ,INTELSAT SA              ,Alternative Carriers               ,--      ,4.45          ,4.25  ,100     ,495682       ,504389      ,49.43                   ,48.57                  ,No        ,4.40  ,4.40  ,4.26  ,29.51                 ,1154161       ,687500     ,21.23                    ,35.64                 ,No                ,Telecommunication Services,--            ,4.45      ,4.22  ,300     ,1091223     ,89.05                     ,22.45                  ,2.12M          ,No                  ,B  ,--       ,--                 ,--             ,12.50                 ,37.50           ,37.50                  ,12.50           ,8                 ,3.50              ,994.11M   ,--     ,994.11M ,118.03M           ,8.36    ,8.36      ,-36.69    ,-0.61       ,1.99      ,-2.70     ,-1.82     ,-10.58                      ,45.25   ,1902.65           ,-0.195,-0.795                 ,+7.52                      ,+1.1477                ,+19.38                  ,-61.84               ,0.00                 ,+54.18               ,+2.08     ,4.48         ,5.87     ,1.47                   ,3.40      ,2.05     ,80.56                   ,-2.69                        ,-4.38   ,-0.05,+1.545                 ,0.00                  ,+0.1973                ,+34.75                   ,+66.67               ,-75.07               ,+20.87               ,-24.00            ,0               ,4.59      ,5.87    ,4.38        ,3.40    ,-2.17                ,0.145          ,-0.145   ,-1.12,+0.111                  ,+0.3113                  ,+4.64                    ,+0.7223               ,+86.19               ,0.00                 ,+84.44               ,+7.89             ,5.87       ,5.87      ,4.11     ,2.71   ,0.18         ,98.00            ,-0.035        ,0.02              ,--                   ,0.53                     ,--              ,-399.14      ,--                   ,--       ,4.25      ,3.86      ,3.37       ,4.19      ,3.62       ,59.89                ,54.20     ,15.59                   ,63.98,4.77                ,-0.24                     ,1.44           ,3.70      ,3.09       ,4.14      ,3.92      ,3.55       ,54.19     ,55.60                ,28.37         ,78.52,0.11       ,0.91           ,1.60                      ,4.14      ,3.50       ,3.84      ,56.40                ,27.93                   ,80.75   ,3.51                   ,-1.62          ,1.20                      ,712.01    , 
