Symbol,% Chg(Open),% Total Return (YTD3),Last Trade,Volume   ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                           ,Exchange,Description              ,Sub-Industry                                ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                    ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
DFT   ,-2.48      ,+148.16              ,47.91     ,296116   ,29.52    ,3.82B     ,64             ,+1.52                     ,43.00     ,48.54     ,-0.10,-72.00      ,2.60                   ,-10.85            ,27.54                  ,48.74                  ,Equity Real Estate Investment Trusts (REITs)       ,NYSE    ,DUPONT FABROS TECHNOLOGY ,Specialized REITs                           ,2.00    ,49.30         ,47.89 ,100     ,597055       ,791047      ,49.60                   ,37.43                  ,No        ,49.13 ,49.41 ,47.93 ,99.16                 ,931008        ,821980     ,31.81                    ,36.02                 ,No                ,Real Estate               ,4.10          ,49.30     ,47.87 ,100     ,950372      ,57.24                     ,31.16                  ,28.97M         ,No                  ,C  ,--       ,B                  ,40.00          ,20.00                 ,33.33           ,--                     ,6.67            ,15                ,2.13              ,181.45M   ,--     ,181.45M ,77.5M             ,1.67    ,1.67      ,-0.40     ,1.88        ,1.18      ,0.32      ,0.41      ,11.00                       ,30.54   ,--                ,-1.39 ,-3.54                  ,+1.14                      ,+4.89                  ,+1.93                   ,+60.88               ,+153.62              ,+25.88               ,+0.78     ,49.60        ,52.03    ,2.62                   ,47.07     ,36.05    ,97.40                   ,0.41                         ,-2.82   ,-0.17,+3.98                  ,0.00                  ,+0.18                  ,+11.02                   ,+12.22               ,+28.11               ,+26.47            ,8               ,50.06     ,52.03   ,49.00       ,47.07   ,-11.82               ,1.50           ,-1.22    ,-0.34,+0.74                   ,+0.56                    ,+0.36                    ,+0.93                 ,+27.74               ,+151.36              ,+24.37               ,+6.20             ,52.01      ,52.03     ,47.39    ,43.71  ,1.54         ,83.00            ,-0.04         ,1.28              ,--                   ,29.52                    ,4.89            ,80.10        ,26.29                ,--       ,48.29     ,48.63     ,44.65      ,48.60     ,46.52      ,57.91                ,52.68     ,19.60                   ,28.00,51.28               ,-2.37                     ,5.09           ,48.21     ,44.89      ,48.11     ,48.01     ,46.05      ,50.69     ,55.65                ,14.11         ,56.40,-0.08      ,0.37           ,5.33                      ,48.74     ,45.35      ,47.68     ,55.82                ,26.04                   ,52.86   ,46.21                  ,-2.87          ,1.51                      ,-1172.97  , 
NOAH  ,-3.67      ,+80.53               ,26.00     ,351696   ,16.99    ,1.54B     ,59             ,+0.45                     ,38.95     ,27.29     ,0.47 ,-84.55      ,27.42                  ,-8.80             ,38.63                  ,27.60                  ,Capital Markets                                    ,NYSE    ,NOAH HOLDINGS LTD  -ADR  ,Asset Management & Custody Banks            ,--      ,27.44         ,25.97 ,200     ,275663       ,160240      ,127.58                  ,219.48                 ,No        ,26.99 ,27.35 ,26.01 ,26.29                 ,296469        ,175117     ,118.63                   ,200.83                ,No                ,Financials                ,--            ,27.44     ,25.49 ,100     ,283329      ,120.21                    ,124.13                 ,7.60M          ,No                  ,-- ,--       ,--                 ,--             ,50.00                 ,50.00           ,--                     ,--              ,2                 ,2.50              ,90.10M    ,--     ,90.10M  ,56.25M            ,1.62    ,1.62      ,1.38      ,1.98        ,1.19      ,0.85      ,0.40      ,21.00                       ,3.86    ,--                ,-1.44 ,-0.34                  ,-0.58                      ,+2.76                  ,+9.94                   ,+18.94               ,+248.55              ,+3.35                ,+2.45     ,27.75        ,29.73    ,2.38                   ,25.29     ,21.33    ,72.58                   ,6.62                         ,-5.25   ,-0.45,+3.99                  ,-0.08                 ,+0.02                  ,+11.17                   ,+25.13               ,+6.51                ,+21.43            ,3               ,28.72     ,29.73   ,26.82       ,25.29   ,-4.16                ,1.35           ,-0.99    ,-1.64,+0.12                   ,-0.16                    ,+0.07                    ,+2.48                 ,+8.98                ,+310.78              ,-0.42                ,+12.45            ,29.73      ,29.73     ,26.82    ,21.64  ,1.86         ,94.00            ,-0.51         ,0.74              ,--                   ,16.99                    ,3.18            ,14.92        ,13.89                ,--       ,27.48     ,25.41     ,24.48      ,27.12     ,25.21      ,51.67                ,51.98     ,21.40                   ,15.45,28.97               ,1.79                      ,4.01           ,24.88     ,24.95      ,27.72     ,25.95     ,25.12      ,51.07     ,55.99                ,2.41          ,29.34,0.76       ,3.07           ,5.16                      ,27.60     ,24.29      ,25.70     ,57.24                ,20.39                   ,37.81   ,26.23                  ,0.19           ,4.24                      ,-287.57   , 
DRE   ,-1.42      ,+78.12               ,25.62     ,971550   ,29.64    ,9.31B     ,49             ,+1.32                     ,49.57     ,25.66     ,0.08 ,-44.14      ,1.79                   ,5.56              ,14.86                  ,25.63                  ,Equity Real Estate Investment Trusts (REITs)       ,NYSE    ,DUKE REALTY CORP         ,Industrial REITs                            ,0.76    ,26.17         ,25.61 ,1000    ,1836040      ,2801984     ,52.92                   ,34.67                  ,No        ,25.99 ,26.17 ,25.62 ,93.51                 ,2666992       ,2510698    ,36.43                    ,38.70                 ,Yes               ,Real Estate               ,2.90          ,26.17     ,25.61 ,2700    ,2549264     ,45.96                     ,38.11                  ,47.51M         ,No                  ,D  ,***      ,B-                 ,23.53          ,23.53                 ,52.94           ,--                     ,--              ,17                ,2.29              ,315.28M   ,--     ,315.28M ,355.56M           ,0.88    ,0.88      ,1.77      ,0.32        ,0.60      ,0.47      ,-0.48     ,4.29                        ,34.00   ,1836.09           ,-0.55 ,+0.09                  ,+2.09                      ,+0.42                  ,+1.81                   ,+28.28               ,+125.50              ,+10.72               ,+0.95     ,26.26        ,26.26    ,2.82                   ,24.81     ,20.78    ,98.21                   ,-0.25                        ,-2.10   ,-0.18,-1.08                  ,-0.01                 ,+0.51                  ,+1.65                    ,-0.72                ,+1.59                ,+9.49             ,14              ,26.26     ,27.27   ,25.97       ,24.81   ,-4.83                ,0.55           ,-0.37    ,-0.69,+0.34                   ,+0.54                    ,+2.01                    ,+0.46                 ,+23.99               ,+80.52               ,-7.39                ,+4.61             ,26.26      ,28.99     ,25.39    ,23.93  ,0.56         ,22.00            ,-0.01         ,1.28              ,--                   ,29.64                    ,2.79            ,83.26        ,82.73                ,--       ,25.65     ,25.52     ,25.59      ,25.63     ,25.68      ,65.17                ,49.74     ,20.60                   ,55.86,26.30               ,0.40                      ,-0.04          ,25.73     ,26.23      ,25.56     ,25.62     ,25.66      ,49.90     ,52.23                ,7.78          ,78.35,0.04       ,1.31           ,0.27                      ,25.63     ,25.55      ,25.64     ,54.26                ,24.08                   ,76.49   ,24.97                  ,-0.38          ,0.94                      ,1845.69   , 
EXR   ,-1.49      ,+74.87               ,74.11     ,383918   ,25.81    ,9.45B     ,41             ,-0.06                     ,36.06     ,75.54     ,-0.41,-80.89      ,4.88                   ,-21.00            ,16.91                  ,76.46                  ,Equity Real Estate Investment Trusts (REITs)       ,NYSE    ,EXTRA SPACE STORAGE INC  ,Specialized REITs                           ,3.12    ,75.04         ,74.11 ,300     ,767713       ,950039      ,50.01                   ,40.41                  ,Yes       ,75.23 ,75.28 ,74.14 ,96.57                 ,900967        ,905267     ,42.61                    ,42.41                 ,No                ,Real Estate               ,4.20          ,75.04     ,74.05 ,100     ,891686      ,66.97                     ,43.06                  ,57.83M         ,No                  ,F  ,***      ,B+                 ,23.53          ,11.76                 ,52.94           ,--                     ,11.76           ,17                ,2.65              ,397.09M   ,--     ,397.09M ,125.91M           ,2.91    ,2.91      ,1.56      ,2.67        ,1.53      ,1.53      ,1.14      ,8.66                        ,36.44   ,305.68            ,-0.93 ,-4.83                  ,-1.86                      ,+0.07                  ,-0.70                   ,+17.72               ,+218.02              ,-12.25               ,+0.48     ,75.90        ,80.36    ,19.53                  ,72.86     ,68.09    ,95.12                   ,1.86                         ,-1.24   ,+0.19,-3.14                  ,-0.02                 ,-1.93                  ,+0.10                    ,-1.81                ,+14.09               ,+18.32            ,2               ,76.20     ,80.36   ,74.80       ,72.86   ,-5.96                ,1.17           ,-1.12    ,+0.25,-0.05                   ,-1.42                    ,-2.50                    ,-0.53                 ,-13.27               ,+120.90              ,+0.39                ,+6.03             ,80.36      ,94.81     ,74.54    ,71.47  ,1.23         ,40.00            ,-0.06         ,1.12              ,--                   ,25.81                    ,4.25            ,165.87       ,28.07                ,--       ,75.05     ,75.32     ,74.51      ,75.71     ,75.98      ,42.33                ,47.55     ,25.93                   ,19.11,80.71               ,-4.44                     ,-0.23          ,75.58     ,78.74      ,75.49     ,75.65     ,76.34      ,46.41     ,48.73                ,17.81         ,30.31,-0.15      ,0.91           ,-0.34                     ,76.46     ,74.40      ,75.61     ,48.49                ,18.09                   ,34.57   ,72.21                  ,-5.40          ,1.06                      ,-2814.10  , 
XPER  ,-1.42      ,+74.59               ,36.53     ,246342   ,33.26    ,1.83B     ,16             ,+1.52                     ,48.36     ,36.43     ,-1.01,-39.90      ,41.30                  ,5.14              ,34.52                  ,35.43                  ,Semiconductors & Semiconductor Equipment           ,NASDAQ  ,XPERI CORPORATION        ,Semiconductor Equipment                     ,0.80    ,37.25         ,36.50 ,900     ,689930       ,423945      ,35.71                   ,58.11                  ,No        ,37.05 ,37.20 ,36.55 ,95.37                 ,587221        ,455948     ,41.95                    ,54.03                 ,No                ,Information Technology    ,2.10          ,37.25     ,36.05 ,300     ,623493      ,50.71                     ,39.51                  ,25.47M         ,Yes                 ,C  ,--       ,B-                 ,100.00         ,--                    ,--              ,--                     ,--              ,3                 ,1.00              ,56.09M    ,259.56M,56.09M  ,49.22M            ,1.12    ,1.12      ,2.23      ,2.05        ,3.19      ,-3.48     ,-0.58     ,22.50                       ,21.61   ,370.81            ,-0.72 ,+0.52                  ,+5.13                      ,-2.98                  ,-9.53                   ,-8.89                ,+153.13              ,+12.96               ,+0.95     ,37.50        ,44.55    ,8.75                   ,33.40     ,28.57    ,58.70                   ,-3.00                        ,-1.95   ,-0.20,-7.68                  ,-0.03                 ,+1.43                  ,-7.41                    ,-15.27               ,-8.98                ,+10.97            ,1               ,38.60     ,45.95   ,36.70       ,33.40   ,-7.48                ,0.68           ,-0.52    ,-0.54,+0.56                   ,+1.82                    ,+4.01                    ,-3.92                 ,+25.45               ,+131.49              ,+8.03                ,+6.50             ,38.60      ,45.95     ,35.85    ,33.40  ,1.15         ,5.00             ,-0.48         ,1.44              ,--                   ,33.26                    ,--              ,113.68       ,18.14                ,7.06     ,36.10     ,40.53     ,40.58      ,36.80     ,39.48      ,54.62                ,44.56     ,26.53                   ,60.10,37.71               ,-0.70                     ,-7.98          ,41.21     ,37.49      ,35.43     ,38.96     ,39.26      ,42.10     ,45.75                ,3.42          ,64.58,-1.56      ,-9.28          ,-8.15                     ,35.43     ,41.10      ,39.29     ,43.87                ,24.78                   ,63.07   ,33.15                  ,-0.38          ,-8.05                     ,376.43    , 
TPCA  ,-1.61      ,+70.73               ,30.50     ,166312   ,18.77    ,776.00M   ,2              ,-1.25                     ,41.30     ,31.36     ,0.02 ,-73.10      ,--                     ,-80.95            ,27.67                  ,31.35                  ,Hotels Restaurants & Leisure                       ,OTC     ,TROPICANA ENTERTAINMENT I,Casinos & Gaming                            ,--      ,31.50         ,30.25 ,3800    ,3380         ,23101       ,4920.47                 ,719.93                 ,No        ,31.00 ,31.00 ,30.50 ,76.57                 ,7356          ,8739       ,2260.90                  ,1903.10               ,No                ,Consumer Discretionary    ,--            ,31.50     ,30.50 ,100     ,6705        ,1710.15                   ,2480.42                ,82.00K         ,No                  ,NC ,--       ,--                 ,100.00         ,--                    ,--              ,--                     ,--              ,1                 ,1.00              ,43.54M    ,847.15M,43.54M  ,24.64M            ,1.68    ,1.68      ,1.42      ,1.54        ,9.55      ,0.69      ,0.73      ,--                          ,5.14    ,121.02            ,-1.00 ,-2.50                  ,+0.49                      ,+3.65                  ,+1.60                   ,+98.49               ,+97.12               ,+67.51               ,+0.49     ,32.78        ,34.00    ,3.00                   ,29.58     ,17.00    ,100.00                  ,1.74                         ,-3.17   ,-0.50,+0.74                  ,-0.05                 ,-0.10                  ,+13.09                   ,+3.79                ,+10.00               ,+4.82             ,0               ,33.00     ,34.00   ,31.00       ,29.58   ,-13.50               ,0.50           ,-0.50    ,-1.59,-0.40                   ,+0.15                    ,-0.33                    ,+0.50                 ,+78.47               ,+100.00              ,+76.00               ,+3.30             ,34.00      ,34.00     ,29.75    ,29.05  ,0.50         ,16.00            ,0.00          ,0.81              ,--                   ,18.77                    ,0.96            ,31.41        ,20.45                ,0.92     ,31.19     ,31.18     ,28.73      ,31.36     ,29.24      ,50.44                ,53.25     ,22.10                   ,26.90,33.42               ,-1.42                     ,0.49           ,30.95     ,24.96      ,31.03     ,30.91     ,28.55      ,49.40     ,56.18                ,9.36          ,51.27,0.02       ,0.40           ,0.85                      ,31.35     ,29.69      ,30.62     ,53.63                ,26.67                   ,67.72   ,29.27                  ,-2.50          ,1.40                      ,-165.78   , 
UDR   ,-1.35      ,+59.72               ,35.83     ,590985   ,33.71    ,9.73B     ,39             ,+0.61                     ,47.25     ,35.99     ,0.13 ,-44.22      ,--                     ,-19.52            ,13.09                  ,35.96                  ,Equity Real Estate Investment Trusts (REITs)       ,NYSE    ,UDR INC                  ,Residential REITs                           ,1.24    ,36.41         ,35.83 ,800     ,1278613      ,1593188     ,46.22                   ,37.09                  ,Yes       ,36.32 ,36.49 ,35.84 ,98.81                 ,1350943       ,1494113    ,43.75                    ,39.55                 ,No                ,Real Estate               ,3.40          ,36.40     ,35.83 ,400     ,1325104     ,60.22                     ,44.60                  ,46.30M         ,No                  ,C  ,***      ,B-                 ,22.22          ,--                    ,72.22           ,--                     ,5.56            ,18                ,2.67              ,320.38M   ,--     ,320.38M ,267.37M           ,1.08    ,1.08      ,1.29      ,0.22        ,0.59      ,0.16      ,0.85      ,6.01                        ,30.35   ,614.66            ,-0.57 ,-0.38                  ,+1.24                      ,+1.35                  ,+1.93                   ,+11.80               ,+69.36               ,+3.85                ,+0.40     ,36.71        ,36.71    ,2.12                   ,34.72     ,32.79    ,100.00                  ,0.05                         ,-1.57   ,-0.08,-0.84                  ,-0.01                 ,+0.40                  ,+3.85                    ,+0.62                ,+8.10                ,+10.86            ,8               ,36.71     ,36.78   ,36.36       ,34.72   ,-3.04                ,0.66           ,-0.49    ,-0.22,+0.22                   ,+0.45                    ,+1.11                    ,+0.69                 ,+1.53                ,+75.05               ,+2.59                ,+4.18             ,36.71      ,38.61     ,35.82    ,34.40  ,0.66         ,46.00            ,0.00          ,1.46              ,--                   ,33.71                    ,3.20            ,83.63        ,164.99               ,--       ,36.04     ,35.66     ,34.96      ,35.94     ,35.48      ,61.97                ,51.24     ,21.77                   ,55.78,36.91               ,0.20                      ,0.34           ,35.73     ,35.44      ,35.85     ,35.70     ,35.45      ,51.22     ,53.40                ,7.61          ,76.19,0.11       ,0.91           ,0.82                      ,35.96     ,35.17      ,35.64     ,55.19                ,18.69                   ,81.51   ,35.00                  ,-0.53          ,1.39                      ,-3596.30  , 
BABY  ,-2.29      ,+58.89               ,38.50     ,147130   ,30.62    ,1.30B     ,24             ,+2.15                     ,54.39     ,38.26     ,0.43 ,-40.06      ,21.39                  ,7.77              ,12.40                  ,37.88                  ,Health Care Equipment & Supplies                   ,NCM     ,NATUS MEDICAL INC        ,Health Care Equipment                       ,--      ,39.50         ,38.50 ,600     ,257018       ,436335      ,57.25                   ,33.72                  ,No        ,39.40 ,39.40 ,38.60 ,93.29                 ,247981        ,433173     ,59.33                    ,33.97                 ,No                ,Health Care               ,--            ,39.50     ,38.25 ,300     ,246879      ,49.19                     ,59.60                  ,9.95M          ,Yes                 ,B  ,--       ,B                  ,50.00          ,25.00                 ,25.00           ,--                     ,--              ,4                 ,1.75              ,42.59M    ,381.89M,42.59M  ,32.87M            ,1.29    ,1.29      ,1.14      ,1.79        ,--        ,0.75      ,0.13      ,18.50                       ,11.15   ,329.22            ,-1.00 ,+0.96                  ,+4.29                      ,+0.82                  ,+5.57                   ,+0.84                ,+237.61              ,+14.52               ,+1.06     ,39.75        ,39.75    ,4.99                   ,36.62     ,29.54    ,78.61                   ,-1.12                        ,-2.54   ,-0.10,+3.40                  ,-0.01                 ,+1.64                  ,+2.12                    ,+13.51               ,-7.09                ,+10.54            ,0               ,39.75     ,39.75   ,38.54       ,36.62   ,-8.71                ,0.90           ,-0.90    ,-0.25,+0.83                   ,+1.62                    ,+4.34                    ,+2.08                 ,+6.44                ,+191.51              ,-4.84                ,+7.55             ,39.75      ,44.39     ,37.45    ,33.54  ,1.15         ,79.00            ,-0.25         ,1.32              ,--                   ,30.62                    ,5.64            ,33.54        ,22.04                ,3.40     ,38.50     ,37.59     ,38.37      ,38.09     ,37.92      ,69.08                ,51.11     ,19.78                   ,59.94,39.42               ,1.55                      ,4.05           ,37.35     ,38.70      ,38.06     ,37.75     ,37.99      ,52.55     ,53.12                ,9.17          ,73.60,0.32       ,-0.60          ,4.55                      ,37.88     ,37.95      ,37.76     ,56.32                ,23.77                   ,72.00   ,36.34                  ,0.40           ,0.55                      ,274.64    , 
NEE   ,-1.33      ,+54.32               ,131.28    ,1231494  ,21.25    ,62.09B    ,142            ,+0.54                     ,54.70     ,130.92    ,1.42 ,-43.76      ,25.96                  ,-17.41            ,42.41                  ,130.75                 ,Electric Utilities                                 ,NYSE    ,NEXTERA ENERGY INC       ,Electric Utilities                          ,3.93    ,132.80        ,131.26,200     ,1728359      ,2196720     ,71.25                   ,56.06                  ,Yes       ,133.05,133.11,131.29,79.26                 ,1915837       ,1801051    ,64.28                    ,68.38                 ,No                ,Utilities                 ,3.00          ,132.80    ,130.64,200     ,1944831     ,86.00                     ,63.32                  ,227.57M        ,No                  ,D  ,***      ,A                  ,52.63          ,31.58                 ,10.53           ,5.26                   ,--              ,19                ,1.68              ,3.01B     ,16.16B ,3.01B   ,467.58M           ,6.25    ,6.25      ,6.06      ,6.62        ,5.60      ,4.47      ,4.56      ,6.74                        ,18.03   ,1098.98           ,-1.52 ,+1.72                  ,+1.57                      ,+10.22                 ,+5.90                   ,+34.47               ,+157.40              ,+11.51               ,+0.28     ,133.28       ,133.28   ,-1.13                  ,128.61    ,110.49   ,74.04                   ,-0.35                        ,-1.14   ,+0.25,+11.74                 ,+0.01                 ,+2.18                  ,+8.34                    ,+12.00               ,+15.54               ,+12.81            ,1               ,133.28    ,133.28  ,131.72      ,128.19  ,-20.15               ,1.83           ,-1.77    ,+0.19,+0.71                   ,+2.05                    ,+1.67                    ,+7.40                 ,+15.44               ,+96.90               ,+9.96                ,+3.48             ,133.28     ,131.98    ,129.54   ,117.33 ,2.47         ,74.00            ,-0.64         ,0.92              ,--                   ,21.25                    ,2.79            ,109.82       ,20.06                ,3.84     ,131.29    ,126.55    ,122.39     ,130.42    ,124.86     ,65.94                ,57.21     ,12.75                   ,56.24,132.83              ,1.84                      ,12.63          ,125.31    ,123.77     ,130.82    ,127.40    ,124.28     ,58.97     ,59.21                ,26.23         ,73.73,1.54       ,9.91           ,13.55                     ,130.75    ,122.18     ,126.67    ,62.60                ,21.81                   ,78.56   ,128.68                 ,1.41           ,14.05                     ,-4579.40  , 
ESS   ,-1.60      ,+53.30               ,232.73    ,119776   ,37.74    ,15.51B    ,24             ,+0.70                     ,52.24     ,232.55    ,1.67 ,-36.48      ,1.91                   ,-23.04            ,14.03                  ,231.55                 ,Equity Real Estate Investment Trusts (REITs)       ,NYSE    ,ESSEX PROPERTY TRUST     ,Residential REITs                           ,7.00    ,236.65        ,232.66,200     ,334401       ,403401      ,35.82                   ,29.69                  ,Yes       ,236.52,237.34,232.83,99.41                 ,349001        ,366849     ,34.32                    ,32.65                 ,No                ,Real Estate               ,3.00          ,236.65    ,232.64,100     ,346336      ,40.50                     ,34.58                  ,78.50M         ,No                  ,C  ,***      ,B+                 ,23.08          ,19.23                 ,57.69           ,--                     ,--              ,26                ,2.35              ,438.41M   ,--     ,438.41M ,65.56M            ,6.27    ,6.27      ,3.49      ,4.31        ,2.06      ,4.04      ,3.41      ,5.80                        ,31.21   ,739.13            ,-3.92 ,-0.54                  ,+2.20                      ,+13.93                 ,+3.30                   ,+5.00                ,+85.80               ,+5.50                ,+0.57     ,238.57       ,238.57   ,0.16                   ,222.56    ,200.01   ,98.09                   ,-0.60                        ,-1.66   ,-0.13,-1.07                  ,0.00                  ,+4.99                  ,+6.25                    ,+1.78                ,+9.46                ,+7.10             ,5               ,238.57    ,238.57  ,236.35      ,222.56  ,-32.63               ,4.61           ,-3.79    ,-0.05,+1.64                   ,+5.10                    ,+2.15                    ,+7.56                 ,+7.58                ,+76.73               ,+4.81                ,+3.62             ,238.57     ,237.50    ,231.82   ,218.41 ,4.70         ,46.00            ,-0.09         ,1.63              ,--                   ,37.74                    ,2.51            ,86.48        ,54.91                ,--       ,233.15    ,228.96    ,222.43     ,231.94    ,226.76     ,67.99                ,53.35     ,21.33                   ,63.52,239.05              ,4.30                      ,5.18           ,229.21    ,223.71     ,231.34    ,229.40    ,226.14     ,53.88     ,55.77                ,3.26          ,81.19,1.24       ,7.32           ,7.36                      ,231.55    ,225.00     ,228.72    ,58.21                ,22.77                   ,87.75   ,224.06                 ,-1.59          ,11.27                     ,-1167.70  , 
