Symbol,% Chg(Open),Last Trade,Volume   ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                    ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                    ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap ,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
QUAD  ,-5.27      ,21.95     ,301944   ,26.08    ,891.65M   ,61             ,+1.38                     ,23.10     ,24.12     ,-0.89,-98.55      ,4.71                   ,-31.53            ,34.02                  ,25.01                  ,Commercial Services & Supplies              ,NYSE    ,QUAD/GRAPHICS INC        ,Commercial Printing                  ,1.20    ,23.47         ,21.95 ,100     ,411902       ,292878      ,73.30                   ,103.10                 ,No        ,23.17 ,23.37 ,21.98 ,52.20                 ,365064        ,295218     ,82.71                    ,102.28                ,No                ,Industrials               ,5.10          ,23.47     ,21.88 ,200     ,372391      ,92.18                     ,81.08                  ,9.70M          ,No                  ,B  ,--       ,--                 ,50.00          ,--                    ,50.00           ,--                     ,--              ,2                 ,2.00              ,44.90M    ,4.33B  ,44.90M  ,37.99M            ,0.90    ,0.90      ,-13.40    ,1.68        ,0.38      ,0.65      ,1.78      ,5.00                        ,1.04    ,191.57            ,-1.52 ,-5.57                  ,-6.17                      ,-2.36                  ,-8.98                   ,+14.65               ,+147.16              ,+48.30               ,+1.37     ,23.84        ,28.40    ,6.14                   ,23.09     ,11.83    ,95.29                   ,10.34                        ,-6.48   ,-0.30,-4.98                  ,-0.09                 ,-1.95                  ,-9.13                    ,-11.71               ,+24.28               ,-2.40                ,+10.38            ,2               ,24.74     ,28.40   ,23.40       ,23.09   ,-10.05               ,1.42           ,-1.22    ,-1.28 ,+0.32                   ,-1.54                    ,-7.67                    ,-2.32                 ,+94.37               ,+22.41               ,+2.47                ,+1.66             ,28.40      ,29.50     ,23.09    ,23.01  ,1.49         ,13.00            ,-0.07         ,1.13              ,--                   ,26.08                    ,3.17            ,236.49       ,14.01                ,0.21     ,23.63     ,25.74     ,25.79      ,24.46     ,25.47      ,33.02                ,41.76     ,34.92                   ,1.45 ,28.35               ,-3.45                     ,-5.06          ,25.76     ,25.71      ,24.22     ,25.34     ,25.31      ,36.73     ,44.88                ,60.12         ,6.48 ,-0.64      ,-4.86          ,-3.90                     ,25.01     ,25.90      ,25.45     ,41.35                ,8.70                    ,7.01    ,21.68                  ,-5.36          ,-3.64                     ,-1601.46  , 
DLTH  ,-4.43      ,21.57     ,282621   ,34.48    ,661.79M   ,53             ,+5.39                     ,58.91     ,20.57     ,-0.06,-35.78      ,5.83                   ,-1.05             ,38.98                  ,19.90                  ,Internet & Direct Marketing Retail          ,NASDAQ  ,DULUTH HOLDINGS INC      ,Internet & Direct Marketing Retail   ,--      ,22.76         ,21.56 ,100     ,1065993      ,295139      ,26.51                   ,95.76                  ,No        ,22.57 ,22.70 ,21.60 ,30.97                 ,455865        ,298241     ,62.00                    ,94.76                 ,No                ,Consumer Discretionary    ,--            ,22.76     ,21.50 ,400     ,442626      ,61.02                     ,63.85                  ,23.01M         ,No                  ,F  ,--       ,--                 ,33.33          ,33.33                 ,33.33           ,--                     ,--              ,6                 ,2.00              ,21.53M    ,376.12M,21.53M  ,29.08M            ,0.66    ,0.66      ,1.06      ,0.71        ,0.99      ,0.39      ,--        ,5.00                        ,5.67    ,369.47            ,-1.19 ,+0.16                  ,+14.37                     ,-3.18                  ,+2.01                   ,0.00                 ,0.00                 ,-20.42               ,0.00      ,23.00        ,23.42    ,15.49                  ,18.25     ,17.02    ,94.17                   ,-8.25                        ,-5.23   ,-0.19,-4.10                  ,+0.12                 ,+2.79                  ,-12.24                   ,-10.39               ,0.00                 ,-37.06               ,+21.53            ,1               ,23.42     ,26.99   ,22.36       ,18.25   ,-4.48                ,1.13           ,-1.00    ,-0.83 ,+1.16                   ,+2.86                    ,+13.99                   ,+0.45                 ,+17.32               ,0.00                 ,-30.42               ,+15.57            ,23.42      ,38.19     ,18.85    ,18.25  ,1.20         ,3.00             ,-0.07         ,1.49              ,--                   ,34.48                    ,6.66            ,2.97         ,32.24                ,1.76     ,20.25     ,21.70     ,25.75      ,20.58     ,--         ,72.65                ,--        ,21.18                   ,64.22,22.60               ,1.25                      ,-3.96          ,22.40     ,26.12      ,19.79     ,21.91     ,--         ,47.59     ,50.00                ,22.95         ,77.05,-0.60      ,-1.40          ,-3.41                     ,19.90     ,25.49      ,22.39     ,51.29                ,33.80                   ,73.24   ,17.20                  ,0.36           ,-0.60                     ,-78.27    , 
TAL   ,-4.27      ,101.14    ,752995   ,99.31    ,4.87B     ,132            ,+3.20                     ,64.52     ,98.01     ,4.87 ,-38.98      ,25.58                  ,12.12             ,47.58                  ,95.29                  ,Diversified Consumer Services               ,NYSE    ,TAL EDUCATION GROUP      ,Education Services                   ,--      ,106.37        ,100.98,100     ,510283       ,477970      ,147.56                  ,157.54                 ,No        ,105.65,105.65,101.24,55.94                 ,437526        ,466526     ,172.10                   ,161.40                ,No                ,Consumer Discretionary    ,--            ,106.37    ,99.59 ,100     ,440854      ,139.95                    ,170.80                 ,52.39M         ,No                  ,-- ,--       ,--                 ,62.50          ,37.50                 ,--              ,--                     ,--              ,16                ,1.38              ,102.76M   ,619.95M,102.76M ,45.75M            ,1.07    ,1.21      ,0.82      ,1.55        ,0.76      ,0.42      ,0.32      ,35.15                       ,16.59   ,51.17             ,-5.23 ,+14.63                 ,+11.63                     ,+28.12                 ,+24.41                  ,+220.30              ,+923.62              ,+61.87               ,+0.35     ,108.50       ,108.50   ,-13.11                 ,83.55     ,47.69    ,74.42                   ,-4.05                        ,-4.92   ,-0.72,+30.14                 ,+0.01                 ,+12.69                 ,+35.94                   ,+51.63               ,+381.09              ,+12.99               ,+17.81            ,0               ,108.50    ,108.50  ,103.57      ,83.55   ,-51.90               ,4.51           ,-4.51    ,-0.68 ,+3.29                   ,+11.08                   ,+13.55                   ,+20.87                ,+112.10              ,+1019.68             ,+44.70               ,+6.41             ,108.50     ,92.54     ,99.16    ,70.17  ,6.06         ,98.00            ,-1.55         ,4.30              ,--                   ,88.20                    ,25.71           ,51.69        ,68.56                ,7.85     ,99.88     ,87.42     ,79.37      ,96.21     ,82.49      ,91.86                ,65.71     ,14.16                   ,61.02,106.31              ,21.12                     ,30.69          ,85.26     ,72.44      ,97.04     ,89.05     ,80.52      ,68.01     ,71.96                ,46.21         ,80.38,4.21       ,20.23          ,35.87                     ,95.29     ,80.52      ,87.43     ,78.56                ,38.50                   ,88.84   ,84.27                  ,15.40          ,26.10                     ,725.21    , 
GIII  ,-4.25      ,19.39     ,6676038  ,13.44    ,1.11B     ,120            ,+4.21                     ,21.03     ,23.32     ,-1.13,-95.50      ,17.33                  ,-27.86            ,29.06                  ,24.01                  ,Textiles Apparel & Luxury Goods             ,NCM     ,G-III APPAREL GROUP LTD  ,Apparel Accessories & Luxury Goods   ,--      ,22.92         ,19.37 ,200     ,1088072      ,770772      ,613.57                  ,866.15                 ,No        ,20.25 ,20.75 ,19.39 ,88.30                 ,677607        ,692856     ,985.24                   ,963.55                ,No                ,Consumer Discretionary    ,--            ,22.92     ,19.11 ,200     ,651263      ,374.91                    ,1025.09                ,24.78M         ,Yes                 ,D  ,--       ,B                  ,42.86          ,--                    ,57.14           ,--                     ,--              ,7                 ,2.14              ,114.33M   ,2.34B  ,114.33M ,48.64M            ,1.70    ,2.46      ,2.48      ,1.44        ,1.85      ,1.40      ,1.23      ,18.90                       ,4.88    ,304.71            ,-3.53 ,-6.83                  ,-4.54                      ,-4.81                  ,-11.51                  ,-59.40               ,+62.44               ,-34.23               ,+0.47     ,23.28        ,27.48    ,35.14                  ,21.30     ,24.05    ,82.67                   ,21.53                        ,-15.40  ,-2.67,-10.61                 ,-0.18                 ,-1.68                  ,-17.35                   ,-22.46               ,-38.44               ,-5.27                ,+8.63             ,17              ,24.16     ,31.00   ,22.41       ,21.30   ,4.95                 ,1.36           ,-0.86    ,-11.65,+0.93                   ,-1.09                    ,-6.82                    ,-2.98                 ,-49.47               ,+17.96               ,-18.50               ,+5.63             ,27.33      ,55.89     ,21.30    ,21.30  ,1.65         ,4.00             ,-0.29         ,0.58              ,--                   ,9.32                     ,1.38            ,--           ,15.94                ,0.48     ,23.22     ,25.35     ,27.47      ,23.73     ,27.43      ,36.99                ,37.49     ,41.26                   ,4.50 ,26.91               ,-4.00                     ,-10.58         ,25.92     ,32.47      ,23.57     ,25.32     ,28.31      ,33.04     ,42.04                ,57.04         ,26.87,-0.79      ,-5.86          ,-7.34                     ,24.01     ,27.36      ,25.74     ,40.46                ,11.29                   ,26.22   ,21.10                  ,-7.51          ,-3.74                     ,-4555.41  , 
SNCR  ,-4.13      ,24.60     ,984294   ,57.70    ,1.19B     ,87             ,+1.65                     ,23.32     ,26.33     ,-1.81,-94.53      ,10.49                  ,-20.96            ,60.01                  ,26.16                  ,Software                                    ,NCM     ,SYNCHRONOSS TECHNOLOGIES ,Application Software                 ,--      ,25.94         ,24.59 ,200     ,499697       ,575827      ,196.98                  ,170.94                 ,No        ,25.66 ,25.73 ,24.60 ,88.50                 ,907604        ,737259     ,108.45                   ,133.51                ,No                ,Information Technology    ,--            ,25.94     ,24.47 ,200     ,995600      ,206.87                    ,98.86                  ,12.95M         ,Yes                 ,C  ,--       ,B                  ,55.56          ,22.22                 ,22.22           ,--                     ,--              ,9                 ,1.67              ,7.99M     ,476.75M,7.99M   ,46M               ,0.45    ,0.45      ,0.96      ,2.54        ,0.96      ,0.58      ,0.69      ,18.50                       ,4.11    ,270.11            ,-1.34 ,-2.90                  ,-0.84                      ,-12.11                 ,-21.65                  ,-43.86               ,-20.16               ,-23.22               ,+2.12     ,26.13        ,31.21    ,24.21                  ,25.15     ,25.38    ,89.51                   ,5.53                         ,-5.17   ,-0.28,-14.16                 ,-0.07                 ,-0.82                  ,-31.82                   ,-32.27               ,-24.55               ,-44.14               ,+1.26             ,1               ,26.89     ,40.28   ,25.60       ,25.15   ,0.91                 ,1.13           ,-1.06    ,-1.08 ,+0.42                   ,-0.22                    ,-3.05                    ,-7.17                 ,-16.81               ,-14.16               ,-35.14               ,+0.73             ,30.43      ,49.94     ,25.15    ,25.15  ,1.26         ,1.00             ,-0.13         ,2.50              ,--                   ,57.70                    ,6.23            ,33.72        ,10.23                ,2.50     ,25.82     ,32.02     ,37.55      ,26.98     ,34.29      ,32.72                ,33.68     ,40.59                   ,5.47 ,27.36               ,-4.55                     ,-13.73         ,33.14     ,37.81      ,25.96     ,30.87     ,34.95      ,28.41     ,35.25                ,61.91         ,23.94,-2.09      ,-14.87         ,-13.70                    ,26.16     ,37.40      ,31.84     ,30.82                ,9.55                    ,24.11   ,24.97                  ,-4.09          ,-13.31                    ,-2069.13  , 
SWIR  ,-3.75      ,27.57     ,887739   ,61.88    ,955.39M   ,43             ,+3.22                     ,47.31     ,28.20     ,1.18 ,-65.02      ,60.22                  ,3.81              ,45.21                  ,28.40                  ,Communications Equipment                    ,NCM     ,SIERRA WIRELESS INC      ,Communications Equipment             ,--      ,29.70         ,27.55 ,700     ,522336       ,335882      ,169.96                  ,264.30                 ,No        ,28.65 ,28.65 ,27.60 ,26.99                 ,516721        ,501188     ,171.80                   ,177.13                ,No                ,Information Technology    ,--            ,29.70     ,25.95 ,600     ,525522      ,177.70                    ,168.93                 ,15.22M         ,No                  ,NC ,--       ,B                  ,16.67          ,25.00                 ,50.00           ,--                     ,8.33            ,12                ,2.58              ,15.38M    ,615.61M,15.38M  ,32.15M            ,0.48    ,0.48      ,-0.08     ,0.83        ,-0.53     ,1.79      ,0.88      ,19.17                       ,2.50    ,529.78            ,-2.13 ,-1.33                  ,+4.57                      ,+11.51                 ,+30.86                  ,-14.66               ,+326.11              ,+42.89               ,+2.20     ,30.56        ,30.60    ,1.20                   ,26.85     ,12.30    ,39.78                   ,2.59                         ,-7.16   ,-1.05,+11.67                 ,-0.02                 ,+1.38                  ,+63.28                   ,+89.17               ,+31.42               ,+84.04               ,+4.27             ,0               ,30.60     ,30.60   ,29.30       ,25.95   ,-13.65               ,1.08           ,-1.08    ,-3.54 ,+0.93                   ,+1.30                    ,+4.86                    ,+7.00                 ,+120.16              ,+178.35              ,+101.50              ,+2.74             ,30.60      ,29.85     ,27.60    ,15.65  ,2.70         ,99.00            ,-1.63         ,2.68              ,--                   ,61.88                    ,7.19            ,--           ,35.83                ,1.55     ,28.36     ,23.82     ,18.72      ,27.80     ,21.55      ,70.19                ,63.59     ,28.48                   ,34.98,29.81               ,2.55                      ,11.37          ,22.55     ,17.53      ,28.29     ,24.74     ,20.81      ,62.01     ,70.25                ,0.08          ,65.44,1.47       ,9.77           ,13.56                     ,28.40     ,19.72      ,23.90     ,71.87                ,28.52                   ,67.20   ,27.00                  ,-1.33          ,11.90                     ,252.50    , 
NOAH  ,-3.45      ,26.06     ,352493   ,16.99    ,1.54B     ,59             ,+0.40                     ,39.35     ,27.30     ,0.47 ,-82.73      ,30.65                  ,-8.11             ,38.63                  ,27.60                  ,Capital Markets                             ,NYSE    ,NOAH HOLDINGS LTD  -ADR  ,Asset Management & Custody Banks     ,--      ,27.44         ,26.05 ,200     ,275663       ,160240      ,127.87                  ,219.98                 ,No        ,26.99 ,27.35 ,26.27 ,26.29                 ,296469        ,175117     ,118.90                   ,201.29                ,No                ,Financials                ,--            ,27.44     ,25.49 ,200     ,283329      ,120.48                    ,124.41                 ,7.60M          ,No                  ,-- ,--       ,--                 ,--             ,50.00                 ,50.00           ,--                     ,--              ,2                 ,2.50              ,90.10M    ,--     ,90.10M  ,56.25M            ,1.62    ,1.62      ,1.38      ,1.98        ,1.19      ,0.85      ,0.40      ,21.00                       ,3.86    ,--                ,-1.38 ,-0.28                  ,-0.59                      ,+2.76                  ,+9.94                   ,+18.94               ,+248.55              ,+3.35                ,+2.45     ,27.75        ,29.73    ,2.38                   ,25.29     ,21.33    ,69.35                   ,6.39                         ,-5.03   ,-0.45,+4.05                  ,-0.08                 ,+0.02                  ,+11.17                   ,+25.13               ,+80.53               ,+6.51                ,+21.43            ,3               ,28.72     ,29.73   ,26.82       ,25.29   ,-4.16                ,1.29           ,-0.93    ,-1.64 ,+0.11                   ,-0.16                    ,+0.07                    ,+2.48                 ,+8.98                ,+310.78              ,-0.42                ,+12.45            ,29.73      ,29.73     ,26.82    ,21.64  ,1.86         ,94.00            ,-0.57         ,0.74              ,--                   ,16.99                    ,3.18            ,14.92        ,13.89                ,--       ,27.49     ,25.41     ,24.48      ,27.13     ,25.21      ,51.67                ,52.14     ,21.40                   ,17.27,28.96               ,1.79                      ,4.07           ,24.88     ,24.95      ,27.72     ,25.95     ,25.12      ,51.30     ,55.99                ,2.41          ,29.95,0.76       ,3.13           ,5.16                      ,27.60     ,24.29      ,25.71     ,57.24                ,20.39                   ,38.01   ,26.25                  ,0.25           ,4.24                      ,-265.19   , 
I     ,-3.30      ,4.255     ,249122   ,0.53     ,525.24M   ,18             ,+2.56                     ,52.08     ,4.23      ,0.11 ,-36.02      ,19.44                  ,10.40             ,33.23                  ,4.14                   ,Diversified Telecommunication Services      ,NYSE    ,INTELSAT SA              ,Alternative Carriers                 ,--      ,4.45          ,4.25  ,200     ,495682       ,504389      ,50.26                   ,49.39                  ,No        ,4.40  ,4.40  ,4.26  ,29.51                 ,1154161       ,687500     ,21.58                    ,36.24                 ,No                ,Telecommunication Services,--            ,4.45      ,4.22  ,300     ,1091223     ,90.54                     ,22.83                  ,2.12M          ,No                  ,B  ,--       ,--                 ,--             ,12.50                 ,37.50           ,37.50                  ,12.50           ,8                 ,3.50              ,994.11M   ,--     ,994.11M ,118.03M           ,8.36    ,8.36      ,-36.69    ,-0.61       ,1.99      ,-2.70     ,-1.82     ,-10.58                      ,45.25   ,1902.65           ,-0.195,-0.795                 ,+7.52                      ,+1.1477                ,+19.38                  ,-61.84               ,0.00                 ,+54.18               ,+2.08     ,4.48         ,5.87     ,1.47                   ,3.40      ,2.05     ,80.56                   ,-2.69                        ,-4.38   ,-0.05,+1.545                 ,0.00                  ,+0.1973                ,+34.75                   ,+66.67               ,-75.07               ,+20.87               ,-24.00            ,0               ,4.59      ,5.87    ,4.38        ,3.40    ,-2.17                ,0.145          ,-0.145   ,-1.12 ,+0.111                  ,+0.3113                  ,+4.64                    ,+0.7223               ,+86.19               ,0.00                 ,+84.44               ,+7.89             ,5.87       ,5.87      ,4.11     ,2.71   ,0.18         ,98.00            ,-0.035        ,0.02              ,--                   ,0.53                     ,--              ,-399.14      ,--                   ,--       ,4.25      ,3.86      ,3.37       ,4.19      ,3.62       ,59.89                ,54.20     ,15.59                   ,63.98,4.77                ,-0.24                     ,1.44           ,3.70      ,3.09       ,4.14      ,3.92      ,3.55       ,54.19     ,55.60                ,28.37         ,78.52,0.11       ,0.91           ,1.60                      ,4.14      ,3.50       ,3.84      ,56.40                ,27.93                   ,80.75   ,3.51                   ,-1.62          ,1.20                      ,709.49    , 
SEE   ,-3.04      ,42.91     ,4652420  ,18.16    ,8.64B     ,103            ,-0.20                     ,22.98     ,45.29     ,-0.71,-90.74      ,21.34                  ,-8.44             ,21.50                  ,45.44                  ,Containers & Packaging                      ,NYSE    ,SEALED AIR CORP          ,Paper Packaging                      ,0.64    ,44.67         ,42.90 ,200     ,1397038      ,1831130     ,333.02                  ,254.07                 ,Yes       ,44.25 ,44.25 ,42.91 ,94.53                 ,2117388       ,1889788    ,219.72                   ,246.19                ,No                ,Materials                 ,1.40          ,44.67     ,42.54 ,300     ,2068762     ,220.47                    ,224.89                 ,63.34M         ,No                  ,D  ,****     ,B                  ,37.50          ,25.00                 ,37.50           ,--                     ,--              ,16                ,2.00              ,486.40M   ,6.78B  ,486.40M ,193.48M           ,2.46    ,2.46      ,1.62      ,2.73        ,1.20      ,0.58      ,-7.32     ,6.94                        ,7.18    ,294.71            ,-1.76 ,-3.96                  ,-1.70                      ,-1.89                  ,-5.59                   ,-0.64                ,+149.06              ,+1.13                ,+1.27     ,45.46        ,48.32    ,8.58                   ,44.00     ,42.01    ,78.66                   ,5.18                         ,-3.95   ,-0.42,-2.76                  ,-0.07                 ,-1.14                  ,-4.05                    ,-1.14                ,+45.95               ,+1.93                ,+85.57            ,0               ,46.48     ,50.62   ,44.33       ,44.00   ,-0.53                ,1.35           ,-1.34    ,-0.94 ,-0.09                   ,-0.77                    ,-2.48                    ,-2.64                 ,-4.26                ,+99.25               ,-1.03                ,+6.58             ,47.50      ,52.83     ,44.33    ,44.00  ,1.71         ,22.00            ,-0.36         ,0.79              ,--                   ,18.16                    ,--              ,645.94       ,16.39                ,1.28     ,45.33     ,47.20     ,46.57      ,45.56     ,46.70      ,34.30                ,41.61     ,43.50                   ,9.26 ,47.35               ,-2.59                     ,-2.81          ,47.18     ,46.70      ,45.13     ,46.43     ,46.72      ,36.79     ,45.06                ,48.10         ,31.72,-0.60      ,-6.30          ,-1.76                     ,45.44     ,47.01      ,46.54     ,42.01                ,15.24                   ,42.76   ,43.54                  ,-3.79          ,-4.56                     ,-2516.02  , 
THR   ,-2.89      ,20.50     ,203864   ,42.99    ,625.82M   ,1              ,-1.57                     ,57.55     ,19.98     ,-0.10,-40.33      ,42.01                  ,-7.50             ,16.34                  ,20.09                  ,Electrical Equipment                        ,NYSE    ,THERMON GROUP HOLDINGS IN,Electrical Components & Equipment    ,--      ,19.35         ,20.50 ,100     ,260710       ,134149      ,78.20                   ,151.97                 ,No        ,21.11 ,21.48 ,20.53 ,98.70                 ,139385        ,117685     ,146.26                   ,173.23                ,No                ,Industrials               ,--            ,19.35     ,19.79 ,100     ,134545      ,285.90                    ,151.52                 ,5.17M          ,No                  ,D  ,--       ,--                 ,14.29          ,--                    ,85.71           ,--                     ,--              ,7                 ,2.71              ,23.65M    ,281.93M,23.65M  ,32.34M            ,0.45    ,0.71      ,1.52      ,0.48        ,0.80      ,0.85      ,0.40      ,10.00                       ,8.16    ,276.13            ,+1.15 ,+0.03                  ,-3.67                      ,-0.34                  ,-3.08                   ,-19.74               ,-1.12                ,+0.30                ,+0.99     ,19.54        ,20.99    ,0.39                   ,19.05     ,16.50    ,57.99                   ,-2.64                        ,+5.94   ,+1.76,+1.09                  ,0.00                  ,-0.74                  ,-1.71                    ,+1.36                ,-21.50               ,+4.78                ,+5.21             ,4               ,20.57     ,21.03   ,19.30       ,19.05   ,-3.29                ,0.98           ,-0.61    ,+9.10 ,-0.31                   ,-0.74                    ,-3.67                    ,-0.61                 ,+10.63               ,-9.66                ,+7.06                ,+3.33             ,20.99      ,21.87     ,19.05    ,18.32  ,1.69         ,29.00            ,-0.71         ,1.86              ,--                   ,27.25                    ,9.05            ,26.82        ,40.74                ,2.22     ,20.00     ,20.11     ,19.78      ,20.02     ,19.88      ,37.51                ,52.25     ,21.39                   ,59.67,20.99               ,-0.87                     ,1.07           ,19.95     ,19.69      ,19.96     ,20.03     ,19.82      ,52.98     ,47.98                ,27.05         ,33.30,-0.06      ,-0.41          ,-0.24                     ,20.09     ,19.88      ,20.00     ,45.74                ,37.24                   ,21.74   ,19.18                  ,0.20           ,-1.25                     ,-177.96   , 
