Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                      ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow , 
SFBS  ,+1.60      ,35.46     ,177649    ,23.46    ,1.88B     ,1              ,-0.67                     ,13.05     ,38.11     ,-1.25,-81.99      ,92.71                  ,-49.33            ,29.24                  ,39.39                  ,Banks                         ,NASDAQ  ,SERVISFIRST BANCSHARES IN,Regional Banks                       ,0.20    ,35.66         ,35.43 ,100     ,382571       ,229378      ,46.44                   ,77.45                  ,No        ,34.90 ,35.57 ,35.47 ,40.80                 ,336810        ,221072     ,52.74                    ,80.36                 ,No                ,Financials            ,0.60          ,35.65     ,34.06 ,200     ,317924      ,50.13                     ,55.88                  ,13.92M         ,Yes                 ,D  ,--       ,--                 ,--             ,--                    ,100.00          ,--                     ,--              ,2                 ,3.00              ,81.48M    ,228.50M,81.48M  ,52.76M            ,1.52    ,1.52      ,1.20      ,1.69        ,1.05      ,0.95      ,0.83      ,--                          ,43.04   ,450.70            ,-0.19 ,-6.64                  ,-9.48                      ,+1.12                  ,-9.82                   ,+124.10              ,0.00                 ,+60.45               ,+1.39     ,36.54        ,42.66    ,7.09                   ,34.96     ,18.50    ,7.29                    ,9.04                         ,-0.53   ,-0.75,-2.55                  ,-0.09                 ,-4.31                  ,+3.26                    ,-4.75                ,0.00                 ,+13.05               ,+16.78            ,24              ,39.81     ,42.66   ,35.43       ,34.96   ,-15.56               ,0.11           ,+0.56    ,-2.10,-0.24                   ,-3.74                    ,-10.79                   ,-3.88                 ,+81.99               ,0.00                 ,+59.05               ,+1.42             ,42.54      ,42.66     ,34.96    ,34.96  ,1.51         ,73.00            ,-1.40         ,1.02              ,--                   ,23.46                    ,3.70            ,--           ,21.16                ,8.23     ,37.79     ,39.73     ,35.49      ,38.61     ,36.84      ,13.61                ,46.81     ,40.63                   ,18.01,43.71               ,-6.37                     ,-2.49          ,39.39     ,31.44      ,38.67     ,38.89     ,35.96      ,38.38     ,47.20                ,63.80         ,13.72,-0.64      ,-3.47          ,-2.18                     ,39.39     ,37.29      ,38.57     ,38.90                ,8.98                    ,11.80   ,35.06                  ,-6.78          ,-3.53                     ,-2588.98   , 
AHL   ,+1.11      ,51.97     ,210429    ,19.92    ,3.12B     ,2              ,-0.90                     ,17.13     ,53.72     ,-0.97,-81.64      ,88.11                  ,-18.38            ,29.89                  ,54.51                  ,Insurance                     ,NYSE    ,ASPEN INSURANCE HOLDINGS ,Property & Casualty Insurance        ,0.88    ,52.00         ,52.00 ,200     ,310207       ,269220      ,67.84                   ,78.16                  ,No        ,51.40 ,52.08 ,52.05 ,97.99                 ,237205        ,254802     ,88.71                    ,82.59                 ,Yes               ,Financials            ,1.70          ,52.00     ,51.20 ,600     ,236189      ,56.22                     ,89.09                  ,16.34M         ,No                  ,D  ,***      ,--                 ,--             ,--                    ,100.00          ,--                     ,--              ,4                 ,3.00              ,203.40M   ,2.88B  ,203.40M ,59.95M            ,2.61    ,2.61      ,4.54      ,4.17        ,4.82      ,4.14      ,3.39      ,16.37                       ,7.07    ,1794.82           ,-0.03 ,-4.68                  ,-4.60                      ,-0.58                  ,-6.68                   ,+14.29               ,+107.26              ,+18.69               ,+0.65     ,52.80        ,57.55    ,5.73                   ,51.85     ,43.27    ,11.89                   ,3.72                         ,-0.06   ,-0.60,-3.38                  ,-0.03                 ,-2.89                  ,-1.09                    ,-5.08                ,+39.71               ,+10.44               ,+7.12             ,11              ,54.50     ,57.80   ,51.85       ,51.85   ,-7.93                ,0.10           ,+0.57    ,-1.15,-0.47                   ,-2.51                    ,-5.26                    ,-3.72                 ,+13.39               ,+45.70               ,+22.98               ,+1.76             ,57.55      ,57.80     ,51.85    ,51.85  ,0.88         ,42.00            ,-0.77         ,0.86              ,--                   ,19.92                    ,1.13            ,18.21        ,12.46                ,1.08     ,53.45     ,55.68     ,53.30      ,54.09     ,53.73      ,17.27                ,45.11     ,38.58                   ,18.36,57.41               ,-4.25                     ,-2.88          ,55.64     ,50.19      ,53.90     ,54.74     ,53.24      ,37.35     ,45.18                ,58.86         ,8.98 ,-0.67      ,-5.53          ,-3.15                     ,54.51     ,54.16      ,54.62     ,37.45                ,9.99                    ,7.25    ,51.60                  ,-4.43          ,-5.70                     ,-642.84    , 
PTHN  ,+0.12      ,25.98     ,309367    ,42.52    ,3.80B     ,14             ,-0.41                     ,17.27     ,28.12     ,-1.20,-71.99      ,62.38                  ,41.79             ,44.51                  ,29.46                  ,Life Sciences Tools & Services,NYSE    ,PATHEON NV               ,Life Sciences Tools & Services       ,--      ,26.18         ,25.99 ,300     ,663957       ,413664      ,46.59                   ,74.79                  ,No        ,25.95 ,26.18 ,26.04 ,24.42                 ,768384        ,468023     ,40.26                    ,66.10                 ,No                ,Health Care           ,--            ,26.18     ,25.65 ,300     ,721433      ,62.96                     ,42.88                  ,17.56M         ,No                  ,C  ,--       ,--                 ,36.36          ,36.36                 ,27.27           ,--                     ,--              ,11                ,1.91              ,31.70M    ,1.87B  ,31.70M  ,145.14M           ,0.62    ,0.26      ,1.20      ,1.14        ,-1.03     ,-0.26     ,-0.83     ,19.75                       ,1.70    ,205.13            ,-0.20 ,-5.72                  ,-11.12                     ,-2.43                  ,-11.28                  ,0.00                 ,0.00                 ,0.00                 ,0.00      ,27.10        ,32.95    ,6.77                   ,23.72     ,24.11    ,37.62                   ,10.49                        ,-0.76   ,-0.23,-3.02                  ,-0.03                 ,-3.83                  ,-8.49                    ,-8.81                ,0.00                 ,+15.13               ,-14.03            ,6               ,27.69     ,32.95   ,26.16       ,23.72   ,-1.54                ,0.20           ,+0.03    ,-0.88,-0.11                   ,-3.28                    ,-12.76                   ,-3.33                 ,0.00                 ,0.00                 ,+12.54               ,0.00              ,32.47      ,32.95     ,26.14    ,23.72  ,0.53         ,18.00            ,-0.33         ,1.84              ,--                   ,102.64                   ,--              ,-602.61      ,23.03                ,2.04     ,27.55     ,29.57     ,28.50      ,28.59     ,--         ,18.11                ,--        ,40.75                   ,28.01,34.13               ,-6.26                     ,-2.67          ,29.42     ,--         ,28.71     ,--        ,--         ,--        ,50.00                ,56.04         ,30.33,-0.67      ,-2.04          ,-2.33                     ,29.46     ,28.60      ,--        ,50.00                ,11.48                   ,31.30   ,24.79                  ,-6.16          ,-1.48                     ,5561.25    , 
SBNY  ,+1.05      ,143.10    ,452609    ,19.64    ,7.77B     ,20             ,-0.10                     ,17.91     ,151.07    ,-3.44,-81.58      ,94.22                  ,-12.94            ,26.79                  ,154.93                 ,Banks                         ,NGM/NGS ,SIGNATURE BANK/NY        ,Regional Banks                       ,--      ,144.74        ,143.00,200     ,579825       ,508202      ,78.06                   ,89.06                  ,No        ,141.61,143.37,143.29,97.89                 ,452273        ,396506     ,100.07                   ,114.15                ,Yes               ,Financials            ,--            ,144.74    ,138.70,100     ,442838      ,78.31                     ,102.21                 ,84.76M         ,No                  ,D  ,****     ,B+                 ,37.50          ,37.50                 ,25.00           ,--                     ,--              ,16                ,1.88              ,396.32M   ,1.36B  ,396.32M ,53.68M            ,7.37    ,7.37      ,7.27      ,9.17        ,5.95      ,4.76      ,3.91      ,10.75                       ,38.32   ,849.11            ,-1.64 ,-17.89                 ,-6.58                      ,+1.88                  ,-7.00                   ,+12.08               ,+128.51              ,+16.67               ,+0.93     ,146.43       ,163.98   ,20.86                  ,143.28    ,113.53   ,5.78                    ,6.95                         ,-1.13   ,-3.13,-9.16                  ,-0.07                 ,-11.18                 ,+1.32                    ,-3.64                ,+13.11               ,+5.07                ,+12.19            ,33              ,156.85    ,164.23  ,143.66      ,143.28  ,-25.17               ,0.27           ,+1.49    ,-2.16,-0.15                   ,-10.19                   ,-7.17                    ,-10.89                ,+4.71                ,+85.11               ,+29.10               ,+1.09             ,163.98     ,164.23    ,143.28   ,143.28 ,4.67         ,62.00            ,-4.40         ,0.85              ,--                   ,19.64                    ,2.16            ,--           ,15.79                ,5.71     ,150.08    ,156.13    ,145.74     ,152.42    ,149.25     ,19.99                ,46.27     ,37.56                   ,18.42,167.48              ,-12.17                    ,-6.50          ,155.22    ,135.97     ,153.05    ,153.64    ,147.56     ,39.84     ,47.18                ,61.94         ,10.89,-1.72      ,-17.31         ,-6.59                     ,154.93    ,151.08     ,152.96    ,41.18                ,8.83                    ,9.32    ,142.39                 ,-16.06         ,-18.51                    ,-951.78    , 
MHLD  ,-1.48      ,13.30     ,168941    ,71.84    ,1.18B     ,7              ,0.00                      ,17.96     ,14.38     ,-0.83,-97.44      ,20.00                  ,-33.99            ,52.70                  ,14.66                  ,Insurance                     ,NASDAQ  ,MAIDEN HOLDINGS LTD      ,Reinsurance                          ,0.60    ,13.65         ,13.30 ,3000    ,535339       ,524767      ,31.56                   ,32.19                  ,No        ,13.50 ,13.50 ,13.35 ,73.53                 ,588845        ,487221     ,28.69                    ,34.67                 ,No                ,Financials            ,4.40          ,13.65     ,13.25 ,800     ,576757      ,35.65                     ,29.29                  ,7.45M          ,Yes                 ,C  ,--       ,--                 ,--             ,50.00                 ,50.00           ,--                     ,--              ,4                 ,2.50              ,48.14M    ,2.73B  ,48.14M  ,86.27M            ,0.19    ,0.19      ,1.31      ,1.85        ,1.04      ,1.18      ,0.64      ,12.00                       ,1.79    ,12946.13          ,-0.35 ,-2.40                  ,-6.87                      ,-2.05                  ,-18.22                  ,-0.81                ,+82.32               ,+21.49               ,+1.15     ,14.40        ,17.00    ,5.45                   ,13.45     ,11.64    ,80.00                   ,7.84                         ,-2.56   ,-0.15,-4.30                  ,-0.07                 ,-1.32                  ,-13.08                   ,-21.78               ,+17.26               ,+1.18                ,+5.03             ,0               ,14.70     ,18.95   ,13.45       ,13.45   ,-1.61                ,0.20           ,-0.20    ,-1.10,0.00                    ,-1.01                    ,-8.82                    ,-3.04                 ,+11.91               ,+49.07               ,+14.09               ,+0.81             ,17.00      ,18.95     ,13.45    ,13.45  ,0.25         ,6.00             ,-0.05         ,3.11              ,--                   ,71.84                    ,1.22            ,25.82        ,7.38                 ,0.43     ,14.16     ,16.46     ,15.98      ,14.69     ,15.84      ,21.18                ,38.75     ,32.39                   ,2.56 ,16.13               ,-2.85                     ,-4.15          ,16.66     ,14.86      ,14.34     ,15.73     ,15.74      ,31.67     ,39.96                ,44.95         ,9.22 ,-0.77      ,-4.59          ,-3.95                     ,14.66     ,16.48      ,15.85     ,33.30                ,12.30                   ,8.81    ,13.19                  ,-3.20          ,-4.45                     ,-2582.78   , 
USB   ,+0.97      ,52.09     ,4986603   ,16.23    ,89.01B    ,27             ,+0.12                     ,17.98     ,53.70     ,-0.44,-78.15      ,76.47                  ,-35.06            ,30.79                  ,54.44                  ,Banks                         ,NYSE    ,U S BANCORP              ,Diversified Banks                    ,1.12    ,52.57         ,52.08 ,1000    ,9037790      ,7265319     ,55.18                   ,68.64                  ,Yes       ,51.59 ,52.41 ,52.09 ,71.52                 ,7304942       ,6860146    ,68.26                    ,72.69                 ,No                ,Financials            ,2.10          ,52.57     ,51.05 ,800     ,7316498     ,83.83                     ,68.16                  ,478.07M        ,No                  ,B  ,***      ,B+                 ,10.34          ,13.79                 ,72.41           ,--                     ,3.45            ,29                ,2.72              ,5.94B     ,22.32B ,5.94B   ,1.69B             ,3.24    ,3.24      ,3.16      ,3.48        ,3.08      ,--        ,2.84      ,5.65                        ,30.41   ,271.94            ,-0.48 ,-3.78                  ,-3.44                      ,+2.90                  ,-1.61                   ,+24.82               ,+86.74               ,+30.83               ,+0.84     ,52.98        ,56.61    ,4.20                   ,51.75     ,38.48    ,23.53                   ,3.81                         ,-0.91   ,-0.98,+0.47                  ,-0.04                 ,-2.09                  ,+5.85                    ,+2.34                ,+30.22               ,+11.44               ,+14.42            ,109             ,54.85     ,56.61   ,52.22       ,51.75   ,-12.57               ,0.32           ,+0.50    ,-1.86,+0.06                   ,-1.87                    ,-3.83                    ,-0.86                 ,+32.14               ,+72.14               ,+26.07               ,+1.37             ,56.61      ,56.61     ,51.75    ,49.99  ,1.36         ,60.00            ,-1.04         ,0.70              ,--                   ,16.23                    ,2.82            ,--           ,15.09                ,3.99     ,53.65     ,53.73     ,50.42      ,53.88     ,51.60      ,21.33                ,51.39     ,37.49                   ,21.85,56.83               ,-2.53                     ,0.31           ,53.34     ,47.12      ,54.08     ,53.46     ,50.90      ,44.36     ,52.92                ,42.27         ,20.83,-0.03      ,-0.90          ,0.26                      ,54.44     ,51.77      ,53.11     ,46.67                ,15.21                   ,18.72   ,52.06                  ,-3.20          ,-0.38                     ,-35988.68  , 
NSM   ,+1.76      ,15.01     ,364681    ,78.68    ,1.46B     ,6              ,-2.03                     ,18.26     ,16.15     ,-0.81,-86.23      ,79.12                  ,-32.44            ,40.92                  ,16.72                  ,Thrifts & Mortgage Finance    ,NYSE    ,NATIONSTAR MORTGAGE HOLDI,Thrifts & Mortgage Finance           ,--      ,14.95         ,15.00 ,400     ,604033       ,446279      ,60.37                   ,81.72                  ,No        ,14.75 ,15.10 ,15.03 ,32.09                 ,498873        ,459638     ,73.10                    ,79.34                 ,No                ,Financials            ,--            ,14.95     ,14.67 ,200     ,537042      ,49.01                     ,67.91                  ,9.25M          ,No                  ,A  ,--       ,--                 ,11.11          ,22.22                 ,33.33           ,22.22                  ,11.11           ,9                 ,3.00              ,16.00M    ,1.25B  ,16.00M  ,97.8M             ,0.19    ,0.19      ,0.37      ,1.76        ,2.45      ,2.40      ,2.40      ,10.00                       ,1.52    ,161.29            ,+0.06 ,-3.54                  ,-10.58                     ,-2.00                  ,-16.21                  ,-51.99               ,+9.85                ,+42.32               ,+0.86     ,15.15        ,18.71    ,4.73                   ,14.89     ,9.29     ,20.88                   ,7.95                         ,+0.40   ,-0.20,-3.16                  ,-0.08                 ,-2.05                  ,-11.78                   ,-17.22               ,-51.06               ,+6.95                ,+0.93             ,26              ,16.55     ,19.82   ,14.89       ,14.89   ,-5.38                ,0.09           ,+0.26    ,-1.34,-0.31                   ,-1.77                    ,-12.08                   ,-2.89                 ,+53.02               ,-54.50               ,+14.36               ,+0.09             ,18.71      ,19.83     ,14.89    ,14.89  ,0.43         ,10.00            ,-0.34         ,3.40              ,--                   ,78.68                    ,0.91            ,768.51       ,8.49                 ,1.17     ,15.83     ,17.64     ,17.13      ,16.46     ,17.08      ,16.19                ,41.75     ,41.97                   ,13.77,18.97               ,-3.28                     ,-3.12          ,17.80     ,15.76      ,16.20     ,17.23     ,16.89      ,35.06     ,41.48                ,70.18         ,5.18 ,-0.63      ,-2.74          ,-3.17                     ,16.72     ,17.60      ,17.28     ,34.56                ,7.36                    ,2.69    ,14.47                  ,-3.46          ,-3.10                     ,-2488.25   , 
PSXP  ,+0.20      ,49.88     ,100993    ,22.89    ,5.19B     ,2              ,+0.04                     ,18.33     ,51.52     ,-1.26,-94.35      ,64.24                  ,-9.91             ,41.49                  ,52.54                  ,Oil Gas & Consumable Fuels    ,NYSE    ,PHILLIPS 66 PARTNERS LP  ,Oil & Gas Storage & Transportation   ,2.23    ,50.23         ,49.78 ,100     ,235505       ,394839      ,42.88                   ,25.58                  ,No        ,49.78 ,50.05 ,49.92 ,41.54                 ,301385        ,353951     ,33.51                    ,28.53                 ,No                ,Energy                ,4.40          ,50.23     ,49.57 ,100     ,295418      ,101.29                    ,34.19                  ,11.85M         ,No                  ,NC ,--       ,--                 ,29.41          ,35.29                 ,29.41           ,5.88                   ,--              ,17                ,2.12              ,301.00M   ,758.00M,301.00M ,103.3M            ,2.19    ,2.19      ,1.89      ,3.16        ,1.47      ,0.40      ,--        ,16.20                       ,27.57   ,--                ,-0.35 ,-6.10                  ,-4.39                      ,+0.80                  ,-6.27                   ,-24.97               ,0.00                 ,+4.50                ,+1.51     ,50.73        ,57.23    ,16.76                  ,49.57     ,42.47    ,35.76                   ,3.27                         ,-0.70   ,-0.45,+0.66                  ,-0.02                 ,-2.92                  ,+1.62                    ,+4.30                ,+15.19               ,+24.49               ,+13.79            ,5               ,51.10     ,58.00   ,50.09       ,49.57   ,-7.10                ,0.17           ,+0.10    ,-0.90,+0.02                   ,-2.31                    ,-5.50                    ,-3.36                 ,-16.38               ,0.00                 ,+14.93               ,+7.75             ,56.75      ,66.81     ,49.57    ,48.75  ,0.48         ,74.00            ,-0.31         ,0.99              ,--                   ,22.89                    ,2.59            ,153.00       ,15.91                ,6.85     ,50.64     ,54.09     ,49.64      ,52.02     ,51.64      ,20.31                ,46.33     ,30.91                   ,5.65 ,56.88               ,-5.75                     ,1.23           ,53.35     ,50.29      ,51.51     ,52.54     ,51.49      ,40.86     ,47.00                ,56.12         ,9.46 ,-0.98      ,-6.26          ,1.23                      ,52.54     ,50.17      ,52.34     ,41.91                ,8.69                    ,10.09   ,48.19                  ,-6.09          ,-4.81                     ,-429.89    , 
MTB   ,+1.56      ,153.65    ,461714    ,19.92    ,23.83B    ,11             ,+0.19                     ,18.65     ,159.95    ,-2.73,-78.19      ,87.53                  ,-33.17            ,28.74                  ,163.18                 ,Banks                         ,NYSE    ,M & T BANK CORP          ,Regional Banks                       ,3.00    ,154.97        ,153.60,200     ,1011685      ,945040      ,45.64                   ,48.86                  ,Yes       ,151.29,154.24,153.70,81.06                 ,937823        ,916252     ,49.23                    ,50.39                 ,No                ,Financials            ,1.90          ,154.97    ,149.51,100     ,949621      ,52.74                     ,48.62                  ,157.73M        ,No                  ,D  ,***      ,B+                 ,--             ,9.52                  ,71.43           ,4.76                   ,14.29           ,21                ,3.24              ,1.32B     ,5.72B  ,1.32B   ,153.76M           ,7.78    ,7.78      ,7.18      ,8.70        ,7.42      ,8.20      ,7.54      ,6.13                        ,25.76   ,309.69            ,-1.32 ,-15.99                 ,-5.03                      ,+9.75                  ,-4.58                   ,+28.60               ,+104.11              ,+41.24               ,+0.77     ,156.86       ,173.72   ,19.48                  ,151.68    ,106.05   ,12.47                   ,5.10                         ,-0.85   ,-3.68,-4.54                  ,-0.05                 ,-9.41                  ,+6.71                    ,-0.49                ,+36.97               ,+16.00               ,+8.71             ,66              ,162.98    ,173.72  ,153.57      ,151.68  ,-43.46               ,0.59           ,+2.36    ,-2.37,+0.29                   ,-8.21                    ,-5.72                    ,-7.44                 ,+42.27               ,+64.82               ,+41.79               ,+1.07             ,173.72     ,173.72    ,151.68   ,151.68 ,4.73         ,63.00            ,-4.14         ,0.86              ,--                   ,19.92                    ,2.30            ,--           ,17.82                ,4.16     ,159.06    ,163.19    ,148.52     ,161.05    ,153.60     ,20.79                ,49.92     ,36.94                   ,21.81,173.93              ,-13.70                    ,-3.00          ,162.05    ,135.56     ,161.48    ,160.76    ,150.80     ,41.87     ,50.98                ,51.08         ,20.32,-1.23      ,-10.39         ,-3.13                     ,163.18    ,154.64     ,159.53    ,43.37                ,11.96                   ,17.53   ,152.42                 ,-14.30         ,-8.66                     ,-4384.12   , 
BKU   ,+2.55      ,35.43     ,664843    ,16.91    ,3.76B     ,7              ,-0.73                     ,18.73     ,37.34     ,-0.89,-81.15      ,87.80                  ,-38.86            ,29.88                  ,38.36                  ,Banks                         ,NYSE    ,BANKUNITED INC           ,Regional Banks                       ,0.84    ,35.40         ,35.42 ,400     ,1060575      ,863976      ,62.69                   ,76.95                  ,No        ,34.55 ,35.58 ,35.45 ,98.30                 ,688490        ,843212     ,96.57                    ,78.85                 ,No                ,Financials            ,2.40          ,35.40     ,34.35 ,100     ,690714      ,67.73                     ,96.25                  ,38.16M         ,No                  ,D  ,--       ,--                 ,41.67          ,25.00                 ,25.00           ,8.33                   ,--              ,12                ,2.00              ,225.74M   ,1.17B  ,225.74M ,106.3M            ,2.09    ,2.09      ,2.35      ,2.42        ,1.95      ,2.01      ,2.05      ,8.85                        ,24.38   ,556.42            ,+0.03 ,-5.32                  ,-7.72                      ,+0.25                  ,-7.28                   ,+11.30               ,+64.10               ,+22.09               ,+1.03     ,36.13        ,41.00    ,5.42                   ,35.15     ,27.85    ,12.20                   ,6.65                         ,+0.08   ,-0.85,-2.90                  ,-0.06                 ,-3.34                  ,+0.70                    ,-5.54                ,+12.97               ,+12.49               ,+9.68             ,68              ,38.50     ,41.00   ,35.15       ,35.15   ,-6.50                ,0.15           ,+0.88    ,-2.40,-0.26                   ,-2.96                    ,-8.61                    ,-2.78                 ,+5.11                ,+52.70               ,+24.87               ,+0.87             ,41.00      ,41.00     ,35.15    ,35.15  ,1.23         ,47.00            ,-1.08         ,0.73              ,--                   ,16.91                    ,1.58            ,--           ,14.64                ,3.23     ,37.08     ,38.27     ,35.67      ,37.68     ,36.78      ,18.10                ,46.52     ,39.73                   ,18.85,41.74               ,-4.49                     ,-2.29          ,38.11     ,33.70      ,37.79     ,37.91     ,36.38      ,40.08     ,46.44                ,54.90         ,10.80,-0.42      ,-3.84          ,-2.71                     ,38.36     ,36.89      ,37.72     ,39.93                ,11.57                   ,8.23    ,34.98                  ,-4.78          ,-2.94                     ,-4191.61   , 
