Symbol,% Chg(Open),Last Trade,Volume   ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                    ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                    ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
TDG   ,+3.04      ,213.75    ,1024230  ,24.55    ,11.10B    ,0              ,-2.30                     ,27.93     ,227.51    ,-8.00,-75.01      ,89.50                  ,-11.32            ,32.82                  ,234.87                 ,Aerospace & Defense                         ,NYSE    ,TRANSDIGM GROUP INC      ,Aerospace & Defense                  ,--      ,210.04        ,213.66,100     ,2377256      ,939640      ,43.08                   ,109.00                 ,Yes       ,207.44,214.49,213.75,99.31                 ,1683371       ,1466792    ,60.84                    ,69.83                 ,No                ,Industrials               ,--            ,210.04    ,207.44,200     ,1597932     ,51.81                     ,64.10                  ,519.95M        ,No                  ,F  ,***      ,B+                 ,47.06          ,29.41                 ,23.53           ,--                     ,--              ,17                ,1.76              ,586.41M   ,3.17B  ,586.41M ,52.85M            ,8.56    ,10.39     ,7.84      ,12.23       ,3.16      ,2.39      ,5.97      ,11.13                       ,18.49   ,341.01            ,+3.71 ,-40.61                 ,-10.57                     ,-45.12                 ,-12.63                  ,+6.63                ,+189.85              ,+5.35                ,+0.52     ,213.18       ,259.57   ,79.89                  ,203.72    ,214.65   ,10.50                   ,7.44                         ,+1.77   ,-2.60,-37.60                 ,-0.10                 ,-28.26                 ,-17.68                   ,-15.63               ,+44.05               ,+1.10                ,-40.57            ,95              ,241.01    ,259.57  ,203.72      ,203.72  ,7.21                 ,0.74           ,+6.31    ,-1.24,-4.95                   ,-24.83                   ,-11.86                   ,-30.36                ,+4.43                ,+103.92              ,-2.64                ,+6.27             ,259.57     ,294.38    ,203.72   ,203.72 ,7.05         ,18.00            ,-6.31         ,1.06              ,--                   ,20.22                    ,--              ,-1534.48     ,17.17                ,3.50     ,225.36    ,237.83    ,251.42     ,230.55    ,245.88     ,20.76                ,39.65     ,39.68                   ,24.99,261.65              ,-40.95                    ,-35.75         ,240.26    ,261.62     ,229.66    ,238.66    ,247.62     ,36.49     ,38.20                ,51.46         ,13.23,-4.88      ,-5.25          ,-40.86                    ,234.87    ,246.57     ,240.42    ,34.08                ,12.72                   ,9.52    ,208.08                 ,-39.54         ,-9.86                     ,-3163.78  , 
TVPT  ,+2.18      ,11.70     ,427681   ,88.85    ,1.43B     ,1              ,-0.84                     ,31.22     ,12.00     ,-0.45,-68.54      ,90.32                  ,11.34             ,55.55                  ,12.07                  ,IT Services                                 ,NYSE    ,TRAVELPORT WORLDWIDE LTD ,Data Processing & Outsourced Services,0.30    ,11.55         ,11.70 ,1400    ,754602       ,1077292     ,56.68                   ,39.70                  ,No        ,11.45 ,11.73 ,11.71 ,92.95                 ,1422895       ,1123585    ,30.06                    ,38.06                 ,No                ,Information Technology    ,2.60          ,11.55     ,11.42 ,1600    ,1426219     ,66.85                     ,29.99                  ,8.82M          ,No                  ,B  ,--       ,--                 ,54.55          ,9.09                  ,36.36           ,--                     ,--              ,11                ,1.82              ,15.05M    ,2.35B  ,15.05M  ,124.08M           ,0.13    ,0.13      ,0.13      ,1.34        ,0.98      ,-4.53     ,-35.92    ,8.80                        ,0.72    ,470.27            ,+0.15 ,-1.10                  ,-4.29                      ,-2.22                  ,-14.03                  ,-22.62               ,0.00                 ,-2.47                ,+0.55     ,11.70        ,13.22    ,3.42                   ,11.52     ,11.28    ,9.68                    ,2.17                         ,+1.30   ,-0.10,-2.42                  ,-0.03                 ,-0.65                  ,-16.14                   ,-17.60               ,0.00                 ,-8.75                ,-4.20             ,30              ,12.18     ,14.70   ,11.52       ,11.52   ,-0.14                ,0.03           ,+0.25    ,-0.87,-0.10                   ,-0.52                    ,-5.36                    ,-1.89                 ,-10.67               ,0.00                 ,-6.46                ,+0.52             ,12.96      ,15.15     ,11.52    ,11.52  ,0.31         ,9.00             ,-0.28         ,3.84              ,--                   ,88.85                    ,--              ,-679.37      ,8.62                 ,0.61     ,11.88     ,13.24     ,13.66      ,12.17     ,13.30      ,22.11                ,38.45     ,38.49                   ,31.46,12.67               ,-1.39                     ,-2.25          ,13.43     ,13.60      ,11.95     ,12.87     ,13.38      ,33.92     ,37.11                ,66.42         ,12.88,-0.46      ,-2.80          ,-2.62                     ,12.07     ,13.52      ,13.01     ,31.45                ,7.77                    ,9.84    ,11.46                  ,-1.22          ,-2.88                     ,1925.99   , 
CAR   ,+2.09      ,28.29     ,1731228  ,16.27    ,2.43B     ,9              ,-1.28                     ,24.35     ,31.10     ,-1.70,-87.17      ,86.11                  ,-27.65            ,22.92                  ,32.11                  ,Road & Rail                                 ,NASDAQ  ,AVIS BUDGET GROUP INC    ,Trucking                             ,--      ,28.47         ,28.27 ,200     ,2942524      ,2150981     ,58.83                   ,80.49                  ,No        ,27.71 ,28.44 ,28.29 ,82.02                 ,2126132       ,1997340    ,81.43                    ,86.68                 ,Yes               ,Industrials               ,--            ,28.47     ,27.36 ,600     ,2096708     ,70.42                     ,82.57                  ,86.80M         ,No                  ,C  ,--       ,B-                 ,60.00          ,--                    ,30.00           ,--                     ,10.00           ,10                ,2.00              ,163.00M   ,8.66B  ,163.00M ,85.45M            ,1.75    ,1.75      ,2.98      ,3.42        ,2.22      ,0.15      ,2.42      ,15.00                       ,1.88    ,338.24            ,-0.18 ,-6.75                  ,-11.35                     ,-7.34                  ,-19.14                  ,-50.74               ,+101.20              ,+15.27               ,+2.05     ,28.90        ,35.76    ,13.09                  ,28.10     ,21.85    ,13.89                   ,11.29                        ,-0.63   ,-0.76,-9.03                  ,-0.12                 ,-3.94                  ,-20.50                   ,-22.38               ,-40.38               ,-9.69                ,+49.39            ,41              ,32.75     ,41.00   ,28.10       ,28.10   ,-5.51                ,0.15           ,+0.58    ,-2.67,-0.37                   ,-3.64                    ,-12.16                   ,-6.74                 ,+5.25                ,+4.21                ,-4.29                ,+0.92             ,35.76      ,41.53     ,28.10    ,28.10  ,1.08         ,7.00             ,-0.93         ,0.70              ,--                   ,16.27                    ,--              ,5486.88      ,8.32                 ,0.28     ,30.96     ,34.87     ,35.69      ,31.74     ,34.92      ,24.97                ,41.52     ,44.28                   ,12.83,36.26               ,-3.99                     ,-8.50          ,35.15     ,35.57      ,31.48     ,33.90     ,35.00      ,37.04     ,41.71                ,47.62         ,6.82 ,-1.31      ,-10.96         ,-9.14                     ,32.11     ,36.36      ,34.26     ,37.32                ,15.71                   ,5.72    ,27.96                  ,-4.93          ,-10.14                    ,-8480.24  , 
UAA   ,+1.80      ,19.85     ,2565912  ,44.18    ,7.61B     ,10             ,+1.81                     ,49.54     ,19.65     ,-0.82,-11.59      ,78.57                  ,-11.07            ,39.97                  ,19.64                  ,Textiles Apparel & Luxury Goods             ,NYSE    ,UNDER ARMOUR INC         ,Apparel Accessories & Luxury Goods   ,--      ,19.66         ,19.84 ,800     ,5121174      ,5717192     ,50.10                   ,44.88                  ,Yes       ,19.49 ,19.96 ,19.85 ,61.83                 ,5109539       ,5882024    ,50.22                    ,43.62                 ,No                ,Consumer Discretionary    ,--            ,19.66     ,19.40 ,200     ,4980358     ,29.66                     ,51.52                  ,98.83M         ,No                  ,F  ,**       ,B+                 ,13.89          ,5.56                  ,66.67           ,8.33                   ,5.56            ,36                ,2.86              ,256.98M   ,4.83B  ,256.98M ,404.08M           ,0.45    ,0.45      ,0.53      ,0.42        ,0.47      ,0.38      ,0.31      ,16.52                       ,5.33    ,444.73            ,+0.18 ,-0.89                  ,+0.08                      ,-9.74                  ,-16.65                  ,-52.82               ,+58.39               ,-45.35               ,+0.13     ,20.03        ,22.05    ,27.99                  ,18.39     ,19.11    ,21.43                   ,-2.52                        ,+0.92   ,-0.17,-9.50                  ,+0.01                 ,-0.25                  ,-33.12                   ,-32.32               ,-35.18               ,-33.05               ,+13.89            ,57              ,20.03     ,31.06   ,19.43       ,18.39   ,-0.29                ,0.12           ,+0.35    ,-0.86,+0.35                   ,+0.02                    ,-1.26                    ,-3.93                 ,-53.20               ,+51.97               ,-47.97               ,+7.89             ,21.75      ,47.95     ,18.39    ,18.39  ,0.56         ,1.00             ,-0.44         ,1.91              ,--                   ,44.18                    ,6.15            ,38.94        ,46.69                ,1.65     ,19.38     ,22.42     ,28.28      ,19.93     ,26.05      ,46.53                ,34.97     ,28.04                   ,88.41,20.86               ,-2.15                     ,-9.58          ,23.71     ,32.92      ,19.34     ,22.36     ,27.23      ,35.18     ,34.41                ,16.71         ,64.10,-1.06      ,-9.29          ,-9.65                     ,19.64     ,26.62      ,23.19     ,34.14                ,20.01                   ,42.66   ,18.43                  ,-1.66          ,-9.47                     ,-7249.64  , 
HOPE  ,+1.75      ,18.60     ,263024   ,17.04    ,2.53B     ,8              ,+0.13                     ,19.91     ,19.82     ,-0.70,-82.81      ,90.91                  ,-13.95            ,26.80                  ,20.44                  ,Banks                                       ,NASDAQ  ,HOPE BANCORP INC         ,Regional Banks                       ,0.48    ,18.74         ,18.58 ,200     ,484397       ,618867      ,54.30                   ,42.50                  ,No        ,18.28 ,18.66 ,18.61 ,82.60                 ,461825        ,487172     ,56.95                    ,53.99                 ,No                ,Financials                ,2.60          ,18.73     ,18.00 ,100     ,454153      ,70.62                     ,57.92                  ,9.17M          ,Yes                 ,C  ,--       ,B                  ,20.00          ,20.00                 ,60.00           ,--                     ,--              ,5                 ,2.40              ,113.75M   ,473.75M,113.75M ,135.24M           ,1.10    ,1.10      ,1.16      ,1.35        ,1.11      ,1.03      ,0.99      ,10.00                       ,28.00   ,293.90            ,-0.13 ,-2.71                  ,-8.39                      ,-0.97                  ,-11.53                  ,+39.08               ,+92.59               ,+34.35               ,+1.25     ,19.14        ,22.24    ,4.33                   ,18.22     ,13.99    ,9.09                    ,7.89                         ,-0.69   ,-0.45,-3.75                  ,-0.08                 ,-1.98                  ,-4.93                    ,-13.89               ,+14.98               ,+8.16                ,+8.14             ,26              ,20.56     ,22.99   ,18.55       ,18.22   ,-4.01                ,0.06           ,+0.32    ,-2.40,+0.02                   ,-1.71                    ,-9.56                    ,-2.44                 ,+30.06               ,+56.65               ,+26.06               ,+1.07             ,22.24      ,22.99     ,18.22    ,18.22  ,0.66         ,16.00            ,-0.60         ,0.74              ,--                   ,17.04                    ,1.85            ,--           ,13.91                ,5.35     ,19.63     ,21.00     ,19.99      ,20.08     ,20.21      ,20.93                ,43.74     ,39.39                   ,17.19,22.62               ,-2.89                     ,-3.57          ,21.15     ,18.40      ,20.07     ,20.63     ,19.95      ,37.07     ,44.18                ,52.77         ,16.52,-0.45      ,-2.86          ,-3.68                     ,20.44     ,20.61      ,20.61     ,37.68                ,12.18                   ,13.31   ,18.27                  ,-3.25          ,-3.25                     ,-943.60   , 
BPOP  ,+1.72      ,38.66     ,432084   ,18.77    ,4.02B     ,9              ,-0.03                     ,20.12     ,40.31     ,-1.41,-81.80      ,95.18                  ,-32.27            ,33.92                  ,41.28                  ,Banks                                       ,NGM/NGS ,POPULAR INC              ,Regional Banks                       ,1.00    ,38.69         ,38.65 ,100     ,811888       ,584723      ,53.22                   ,73.90                  ,No        ,38.00 ,38.71 ,38.67 ,91.10                 ,774166        ,562385     ,55.81                    ,76.83                 ,No                ,Financials                ,2.60          ,38.69     ,37.57 ,200     ,732992      ,87.07                     ,58.95                  ,31.66M         ,No                  ,C  ,--       ,B-                 ,--             ,28.57                 ,71.43           ,--                     ,--              ,7                 ,2.71              ,216.69M   ,2.07B  ,216.69M ,103.81M           ,2.06    ,2.06      ,8.65      ,3.64        ,-3.08     ,5.78      ,2.35      ,5.00                        ,12.85   ,215.40            ,-0.04 ,-6.32                  ,-6.27                      ,-2.86                  ,-10.87                  ,+16.48               ,+92.02               ,+42.30               ,+1.45     ,39.11        ,45.79    ,7.25                   ,38.15     ,26.49    ,4.82                    ,4.32                         ,-0.09   ,-0.69,-5.82                  ,-0.04                 ,-3.15                  ,-6.88                    ,-11.16               ,+27.46               ,+8.76                ,+4.25             ,32              ,40.64     ,45.96   ,38.43       ,38.15   ,-11.08               ,0.06           ,+0.66    ,-1.78,-0.01                   ,-2.59                    ,-7.53                    ,-4.72                 ,+41.03               ,+39.59               ,+12.90               ,+0.58             ,45.79      ,45.96     ,38.15    ,38.15  ,1.14         ,14.00            ,-1.09         ,0.81              ,--                   ,18.77                    ,0.90            ,--           ,10.64                ,1.94     ,39.68     ,43.19     ,41.86      ,40.84     ,41.76      ,20.30                ,42.80     ,37.46                   ,18.20,45.30               ,-5.66                     ,-5.57          ,43.34     ,38.89      ,40.32     ,42.22     ,41.29      ,35.74     ,42.87                ,61.81         ,12.59,-1.16      ,-6.41          ,-6.01                     ,41.28     ,42.64      ,42.28     ,35.84                ,8.84                    ,9.23    ,37.25                  ,-6.03          ,-6.84                     ,-3753.75  , 
NSM   ,+1.69      ,15.00     ,364481   ,78.68    ,1.46B     ,6              ,-2.02                     ,17.92     ,16.15     ,-0.81,-86.64      ,76.80                  ,-32.66            ,40.92                  ,16.72                  ,Thrifts & Mortgage Finance                  ,NYSE    ,NATIONSTAR MORTGAGE HOLDI,Thrifts & Mortgage Finance           ,--      ,14.95         ,15.00 ,600     ,604033       ,446279      ,60.34                   ,81.67                  ,No        ,14.75 ,15.10 ,15.03 ,32.09                 ,498873        ,459638     ,73.06                    ,79.30                 ,No                ,Financials                ,--            ,14.95     ,14.67 ,300     ,537042      ,48.98                     ,67.87                  ,9.25M          ,No                  ,A  ,--       ,--                 ,11.11          ,22.22                 ,33.33           ,22.22                  ,11.11           ,9                 ,3.00              ,16.00M    ,1.25B  ,16.00M  ,97.8M             ,0.19    ,0.19      ,0.37      ,1.76        ,2.45      ,2.40      ,2.40      ,10.00                       ,1.52    ,161.29            ,+0.05 ,-3.55                  ,-10.57                     ,-2.00                  ,-16.21                  ,-51.99               ,+9.85                ,+42.32               ,+0.86     ,15.15        ,18.71    ,4.73                   ,14.89     ,9.29     ,23.20                   ,8.02                         ,+0.33   ,-0.20,-3.17                  ,-0.08                 ,-2.05                  ,-11.78                   ,-17.22               ,-51.06               ,+6.95                ,+0.93             ,26              ,16.55     ,19.82   ,14.89       ,14.89   ,-5.38                ,0.10           ,+0.25    ,-1.34,-0.31                   ,-1.77                    ,-12.08                   ,-2.89                 ,+53.02               ,-54.50               ,+14.36               ,+0.09             ,18.71      ,19.83     ,14.89    ,14.89  ,0.43         ,10.00            ,-0.33         ,3.40              ,--                   ,78.68                    ,0.91            ,768.51       ,8.49                 ,1.17     ,15.83     ,17.64     ,17.13      ,16.46     ,17.08      ,16.19                ,41.71     ,41.97                   ,13.36,18.97               ,-3.28                     ,-3.13          ,17.80     ,15.76      ,16.20     ,17.23     ,16.89      ,34.98     ,41.48                ,70.18         ,5.05 ,-0.63      ,-2.75          ,-3.17                     ,16.72     ,17.60      ,17.28     ,34.56                ,7.36                    ,2.64    ,14.47                  ,-3.47          ,-3.10                     ,-2505.33  , 
SFBS  ,+1.58      ,35.45     ,177262   ,23.46    ,1.88B     ,1              ,-0.67                     ,13.02     ,38.11     ,-1.25,-82.12      ,92.05                  ,-49.39            ,29.24                  ,39.39                  ,Banks                                       ,NASDAQ  ,SERVISFIRST BANCSHARES IN,Regional Banks                       ,0.20    ,35.66         ,35.45 ,100     ,382571       ,229378      ,46.33                   ,77.28                  ,No        ,34.90 ,35.57 ,35.47 ,40.80                 ,336810        ,221072     ,52.63                    ,80.18                 ,No                ,Financials                ,0.60          ,35.65     ,34.06 ,100     ,317924      ,50.03                     ,55.76                  ,13.92M         ,Yes                 ,D  ,--       ,--                 ,--             ,--                    ,100.00          ,--                     ,--              ,2                 ,3.00              ,81.48M    ,228.50M,81.48M  ,52.76M            ,1.52    ,1.52      ,1.20      ,1.69        ,1.05      ,0.95      ,0.83      ,--                          ,43.04   ,450.70            ,-0.20 ,-6.65                  ,-9.48                      ,+1.12                  ,-9.82                   ,+124.10              ,0.00                 ,+60.45               ,+1.39     ,36.54        ,42.66    ,7.09                   ,34.96     ,18.50    ,7.95                    ,9.07                         ,-0.56   ,-0.75,-2.56                  ,-0.09                 ,-4.31                  ,+3.26                    ,-4.75                ,0.00                 ,+13.05               ,+16.78            ,24              ,39.81     ,42.66   ,35.43       ,34.96   ,-15.56               ,0.12           ,+0.55    ,-2.10,-0.24                   ,-3.74                    ,-10.79                   ,-3.88                 ,+81.99               ,0.00                 ,+59.05               ,+1.42             ,42.54      ,42.66     ,34.96    ,34.96  ,1.51         ,73.00            ,-1.39         ,1.02              ,--                   ,23.46                    ,3.70            ,--           ,21.16                ,8.23     ,37.79     ,39.73     ,35.49      ,38.60     ,36.84      ,13.61                ,46.79     ,40.63                   ,17.88,43.71               ,-6.37                     ,-2.50          ,39.39     ,31.44      ,38.67     ,38.89     ,35.96      ,38.35     ,47.20                ,63.80         ,13.67,-0.64      ,-3.48          ,-2.18                     ,39.39     ,37.29      ,38.57     ,38.90                ,8.98                    ,11.79   ,35.06                  ,-6.79          ,-3.53                     ,-2591.66  , 
GVA   ,+1.49      ,46.42     ,247180   ,32.81    ,1.85B     ,10             ,+0.10                     ,27.21     ,49.00     ,-2.01,-84.73      ,96.33                  ,-15.74            ,36.83                  ,50.33                  ,Construction & Engineering                  ,NYSE    ,GRANITE CONSTRUCTION INC ,Construction & Engineering           ,0.52    ,46.59         ,46.42 ,200     ,490928       ,371817      ,50.35                   ,66.48                  ,No        ,45.74 ,46.46 ,46.47 ,94.54                 ,402568        ,374650     ,61.40                    ,65.98                 ,Yes               ,Industrials               ,1.10          ,46.59     ,45.37 ,100     ,422911      ,75.61                     ,58.45                  ,23.00M         ,No                  ,D  ,--       ,B-                 ,80.00          ,--                    ,20.00           ,--                     ,--              ,10                ,1.40              ,66.20M    ,2.51B  ,66.20M  ,39.63M            ,1.42    ,1.42      ,1.52      ,2.23        ,0.64      ,-0.94     ,1.15      ,18.50                       ,2.27    ,1257.31           ,-0.17 ,-7.84                  ,-7.43                      ,-6.27                  ,-13.12                  ,+40.58               ,+77.24               ,+24.48               ,+1.39     ,47.20        ,55.70    ,15.72                  ,45.22     ,40.16    ,3.67                    ,6.41                         ,-0.36   ,-0.85,-9.33                  ,-0.03                 ,-4.40                  ,-11.86                   ,-15.29               ,+20.58               ,-9.93                ,+7.67             ,39              ,48.97     ,59.99   ,46.32       ,45.22   ,-5.21                ,0.04           ,+0.68    ,-1.82,+0.05                   ,-3.74                    ,-8.63                    ,-7.04                 ,+1.29                ,+55.88               ,+10.98               ,+3.94             ,55.70      ,62.18     ,45.22    ,45.22  ,1.09         ,7.00             ,-1.05         ,1.42              ,--                   ,32.81                    ,2.27            ,24.88        ,20.89                ,0.73     ,48.37     ,53.29     ,53.33      ,49.75     ,52.61      ,27.81                ,42.58     ,39.63                   ,15.27,55.46               ,-7.32                     ,-9.53          ,53.56     ,51.06      ,49.40     ,52.13     ,52.37      ,37.83     ,42.75                ,50.31         ,17.77,-1.61      ,-11.77         ,-10.14                    ,50.33     ,54.81      ,52.44     ,38.09                ,13.10                   ,16.99   ,45.19                  ,-8.26          ,-12.24                    ,-876.32   , 
WSBC  ,+1.42      ,35.63     ,101794   ,16.57    ,1.57B     ,5              ,+0.29                     ,20.15     ,37.57     ,-1.36,-85.46      ,100.00                 ,-9.17             ,34.04                  ,38.54                  ,Banks                                       ,NGM/NGS ,WESBANCO INC             ,Regional Banks                       ,1.04    ,35.79         ,35.55 ,200     ,135792       ,117464      ,74.96                   ,86.66                  ,No        ,35.13 ,35.63 ,35.62 ,59.75                 ,130418        ,113700     ,78.05                    ,89.53                 ,No                ,Financials                ,2.90          ,35.79     ,34.81 ,100     ,129077      ,94.73                     ,78.86                  ,4.86M          ,No                  ,C  ,--       ,B+                 ,--             ,--                    ,100.00          ,--                     ,--              ,6                 ,3.00              ,86.64M    ,367.60M,86.64M  ,43.95M            ,2.16    ,2.16      ,2.15      ,2.52        ,2.39      ,2.18      ,1.84      ,15.00                       ,26.55   ,169.27            ,-0.16 ,-5.52                  ,-7.13                      ,-2.57                  ,-12.04                  ,+14.76               ,+104.24              ,+26.14               ,+0.88     ,36.11        ,41.91    ,8.56                   ,34.90     ,28.08    ,--                      ,6.26                         ,-0.45   ,-0.66,-8.00                  ,-0.07                 ,-3.27                  ,-6.71                    ,-16.34               ,+22.30               ,+1.82                ,+7.03             ,4               ,38.69     ,44.19   ,35.45       ,34.90   ,-6.73                ,0.00           ,+0.50    ,-1.84,+0.10                   ,-2.75                    ,-8.36                    ,-4.90                 ,+28.13               ,+66.29               ,+24.94               ,+0.95             ,41.65      ,44.19     ,34.90    ,34.90  ,0.82         ,14.00            ,-0.82         ,0.72              ,--                   ,16.57                    ,2.11            ,--           ,14.20                ,4.28     ,37.16     ,40.29     ,38.97      ,38.09     ,39.00      ,20.91                ,41.92     ,41.67                   ,14.54,42.19               ,-5.59                     ,-7.80          ,40.69     ,36.03      ,37.86     ,39.44     ,38.60      ,34.80     ,42.24                ,62.07         ,15.58,-1.03      ,-6.68          ,-7.53                     ,38.54     ,40.16      ,39.50     ,35.23                ,9.75                    ,12.43   ,34.88                  ,-5.45          ,-7.56                     ,-166.86   , 
