Symbol,% Chg(Open),Last Trade,P/E (ttm),Market Cap,Description              ,Industry                                    ,% Total Return (YTD3),Dividend,In S&P Small Cap 600,% Vol Over Yesterday's Vol,DM (DX) 14 Day,Avg $ Vol 5 Day,Volume   , 
QUAD  ,-5.31      ,21.94     ,26.08    ,891.65M   ,QUAD/GRAPHICS INC        ,Commercial Services & Supplies              ,+24.28               ,1.20    ,No                  ,92.78                     ,60.12         ,9.70M          ,303922   , 
DLTH  ,-4.56      ,21.54     ,34.48    ,661.79M   ,DULUTH HOLDINGS INC      ,Internet & Direct Marketing Retail          ,0.00                 ,--      ,No                  ,62.18                     ,22.95         ,23.01M         ,287988   , 
TAL   ,-4.30      ,101.11    ,99.31    ,4.87B     ,TAL EDUCATION GROUP      ,Diversified Consumer Services               ,+381.09              ,--      ,No                  ,140.17                    ,46.21         ,52.39M         ,754174   , 
SNCR  ,-4.05      ,24.62     ,57.70    ,1.19B     ,SYNCHRONOSS TECHNOLOGIES ,Software                                    ,-24.55               ,--      ,Yes                 ,211.64                    ,61.91         ,12.95M         ,1006982  , 
SWIR  ,-3.40      ,27.68     ,61.88    ,955.39M   ,SIERRA WIRELESS INC      ,Communications Equipment                    ,+31.42               ,--      ,No                  ,179.17                    ,0.08          ,15.22M         ,895079   , 
SEE   ,-2.95      ,42.95     ,18.16    ,8.64B     ,SEALED AIR CORP          ,Containers & Packaging                      ,+45.95               ,0.64    ,No                  ,221.21                    ,48.10         ,63.34M         ,4668048  , 
NOAH  ,-2.89      ,26.21     ,16.99    ,1.54B     ,NOAH HOLDINGS LTD  -ADR  ,Capital Markets                             ,+80.53               ,--      ,No                  ,120.59                    ,2.41          ,7.60M          ,352793   , 
WRI   ,-2.85      ,32.76     ,18.01    ,4.33B     ,WEINGARTEN REALTY INVST  ,Equity Real Estate Investment Trusts (REITs),+28.70               ,1.54    ,No                  ,73.05                     ,24.18         ,42.12M         ,747786   , 
THR   ,-2.79      ,20.52     ,42.99    ,625.82M   ,THERMON GROUP HOLDINGS IN,Electrical Equipment                        ,-21.50               ,--      ,No                  ,289.18                    ,27.05         ,5.17M          ,206200   , 
RLGY  ,-2.67      ,28.45     ,20.20    ,4.13B     ,REALOGY HOLDINGS CORP    ,Real Estate Management & Development        ,-32.89               ,0.36    ,No                  ,63.09                     ,26.25         ,42.79M         ,900971   , 
