Symbol,% Chg(Open),Last Trade,Volume   ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K   ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
RYAM  ,+3.28      ,12.90     ,191589   ,8.03     ,540.32M   ,1              ,-1.14                     ,47.47     ,12.93     ,-0.24,-52.87      ,93.33                  ,12.56             ,16.74                  ,13.09                  ,Chemicals                               ,NYSE    ,RAYONIER ADVANCED MATERIA,Specialty Chemicals                  ,0.28    ,12.49         ,12.90 ,100     ,516865       ,529560      ,37.07                   ,36.18                  ,No        ,12.49 ,12.94 ,12.91 ,88.19                 ,405553        ,469573     ,47.24                    ,40.80                 ,No                ,Materials             ,2.20          ,12.49     ,12.41 ,200     ,432543      ,72.82                     ,44.29                  ,6.50M          ,Yes                 ,D  ,--       ,--                 ,20.00          ,20.00                 ,60.00           ,--                     ,--              ,5                 ,2.40              ,73.29M    ,868.73M,73.29M  ,43.26M            ,1.55    ,1.55      ,1.30      ,0.88        ,0.75      ,5.21      ,5.74      ,-3.82                       ,8.44    ,723.94            ,+0.41 ,-0.61                  ,-4.57                      ,-1.39                  ,-11.43                  ,-13.30               ,0.00                 ,+3.99                ,+4.29     ,12.52        ,13.73    ,4.45                   ,12.16     ,8.11     ,6.67                    ,0.86                         ,+3.28   ,0.00 ,-2.80                  ,+0.01                 ,-0.57                  ,-10.02                   ,-18.79               ,0.00                 ,-4.03                ,+75.32            ,43              ,13.40     ,17.38   ,12.16       ,12.06   ,-4.30                ,0.04           ,+0.41    ,0.00 ,-0.14                   ,-0.60                    ,-4.40                    ,-1.61                 ,+33.05               ,0.00                 ,+8.97                ,+5.43             ,13.73      ,17.38     ,12.16    ,12.06  ,0.53         ,5.00             ,-0.49         ,0.35              ,--                   ,8.03                     ,2.56            ,365.38       ,14.23                ,0.62     ,12.95     ,13.72     ,14.03      ,13.02     ,13.71      ,35.45                ,46.76     ,25.45                   ,47.13 ,13.74               ,-0.50                     ,-2.65          ,14.10     ,13.58      ,13.01     ,13.52     ,13.68      ,45.06     ,45.00                ,9.25          ,24.45,-0.23      ,-3.88          ,-3.00                     ,13.09     ,14.20      ,13.61     ,41.83                ,21.14                   ,17.96   ,12.43                  ,-0.36          ,-4.64                     ,661.48    , 
AMG   ,+3.34      ,164.14    ,240016   ,18.56    ,9.02B     ,1              ,-0.64                     ,56.25     ,162.34    ,-0.64,-32.94      ,93.06                  ,-14.89            ,20.74                  ,163.99                 ,Capital Markets                         ,NYSE    ,AFFILIATED MANAGERS GRP I,Asset Management & Custody Banks     ,0.80    ,159.00        ,164.01,100     ,347967       ,562873      ,68.98                   ,42.64                  ,Yes       ,158.83,164.58,164.19,99.06                 ,424302        ,557256     ,56.57                    ,43.07                 ,No                ,Financials            ,0.50          ,159.00    ,158.17,100     ,422928      ,76.75                     ,56.75                  ,55.27M         ,No                  ,C  ,***      ,B                  ,36.36          ,45.45                 ,18.18           ,--                     ,--              ,11                ,1.82              ,739.00M   ,--     ,739.00M ,56.7M             ,8.57    ,8.57      ,9.17      ,14.77       ,7.69      ,6.54      ,3.28      ,14.59                       ,21.54   ,535.27            ,+5.14 ,-6.98                  ,-3.04                      ,+8.36                  ,+0.72                   ,-26.74               ,+43.59               ,-3.10                ,+1.62     ,159.24       ,171.65   ,15.27                  ,155.27    ,130.48   ,6.94                    ,-0.91                        ,+3.23   ,-0.17,+16.42                 ,+0.03                 ,-5.57                  ,+5.55                    ,+9.57                ,-15.23               ,+13.53               ,+22.89            ,109             ,163.52    ,171.65  ,155.27      ,155.27  ,-27.69               ,0.45           ,+5.30    ,-0.11,-1.02                   ,-4.99                    ,-3.38                    ,+1.14                 ,+1.03                ,+5.00                ,+18.37               ,+8.95             ,171.65     ,179.85    ,155.27   ,139.52 ,6.41         ,78.00            ,-5.97         ,0.80              ,--                   ,18.56                    ,--              ,41.36        ,10.77                ,--       ,161.61    ,160.22    ,151.45     ,162.66    ,156.01     ,29.04                ,55.07     ,26.54                   ,67.06 ,170.74              ,-9.96                     ,20.21          ,157.76    ,148.55     ,162.65    ,160.31    ,155.08     ,55.63     ,52.03                ,1.06          ,34.82,0.10       ,12.82          ,15.34                     ,163.99    ,153.11     ,159.25    ,49.77                ,25.98                   ,21.10   ,157.24                 ,-3.80          ,14.56                     ,-876.62   , 
MDR   ,+3.35      ,6.47      ,1844704  ,52.42    ,1.53B     ,6              ,-0.54                     ,43.33     ,6.53      ,-0.31,-41.18      ,92.59                  ,18.43             ,35.14                  ,6.59                   ,Energy Equipment & Services             ,NYSE    ,MCDERMOTT INTL INC       ,Oil & Gas Equipment & Services       ,--      ,6.29          ,6.47  ,4400    ,2802278      ,3103756     ,65.83                   ,59.43                  ,No        ,6.26  ,6.49  ,6.48  ,84.07                 ,3779943       ,3187996    ,48.80                    ,57.86                 ,No                ,Energy                ,--            ,6.29      ,6.22  ,3800    ,3697271     ,72.21                     ,49.89                  ,17.57M         ,No                  ,B  ,--       ,C                  ,30.00          ,10.00                 ,50.00           ,--                     ,10.00           ,10                ,2.50              ,36.30M    ,2.64B  ,36.30M  ,243.05M           ,0.12    ,0.12      ,-0.08     ,0.28        ,-0.32     ,-2.15     ,0.81      ,20.00                       ,1.29    ,212.58            ,+0.18 ,-1.02                  ,-4.53                      ,-0.317                 ,-14.92                  ,+66.84               ,-51.17               ,+54.95               ,+1.42     ,6.31         ,7.74     ,1.84                   ,6.07      ,3.53     ,7.41                    ,-0.41                        ,+2.86   ,-0.03,-0.98                  ,+0.04                 ,-0.4245                ,-4.80                    ,-14.88               ,-23.53               ,+6.98                ,+2.39             ,25              ,6.57      ,8.33    ,6.07        ,6.07    ,-2.69                ,0.02           ,+0.21    ,-0.48,-0.034                  ,-0.2985                  ,-6.32                    ,-1.1028               ,+57.18               ,-42.96               ,+40.73               ,+1.10             ,7.67       ,8.33      ,6.07     ,6.07   ,0.27         ,7.00             ,-0.25         ,2.27              ,--                   ,52.42                    ,0.98            ,44.15        ,22.21                ,0.58     ,6.41      ,7.37      ,6.80       ,6.65      ,6.86       ,34.04                ,46.76     ,33.69                   ,58.82 ,7.24                ,-1.28                     ,-0.97          ,7.38      ,6.06       ,6.44      ,7.01      ,6.73       ,42.63     ,45.17                ,32.67         ,36.72,-0.32      ,-1.58          ,-1.19                     ,6.59      ,7.10       ,7.02      ,39.82                ,17.10                   ,27.86   ,5.94                   ,-0.89          ,-1.77                     ,8020.10   , 
NSM   ,+3.36      ,16.00     ,586071   ,79.21    ,1.47B     ,6              ,-1.76                     ,43.63     ,16.13     ,-0.74,-45.27      ,81.93                  ,-21.51            ,39.99                  ,16.61                  ,Thrifts & Mortgage Finance              ,NYSE    ,NATIONSTAR MORTGAGE HOLDI,Thrifts & Mortgage Finance           ,--      ,15.05         ,16.00 ,800     ,650821       ,445905      ,90.05                   ,131.43                 ,No        ,15.48 ,16.15 ,16.01 ,32.09                 ,500289        ,461146     ,117.15                   ,127.09                ,No                ,Financials            ,--            ,15.05     ,15.32 ,400     ,500739      ,107.13                    ,117.04                 ,9.88M          ,No                  ,A  ,--       ,--                 ,11.11          ,22.22                 ,33.33           ,22.22                  ,11.11           ,9                 ,3.00              ,16.00M    ,1.25B  ,16.00M  ,97.8M             ,0.19    ,0.19      ,0.37      ,1.75        ,2.45      ,2.40      ,2.40      ,10.00                       ,1.52    ,161.29            ,+0.95 ,-2.55                  ,-9.40                      ,-1.89                  ,-15.42                  ,-51.99               ,+9.85                ,+42.32               ,+0.86     ,15.09        ,18.71    ,3.68                   ,14.67     ,9.29     ,18.07                   ,0.48                         ,+6.31   ,+0.43,-2.17                  ,+0.02                 ,-1.82                  ,-11.17                   ,-16.67               ,-51.06               ,+6.95                ,+0.93             ,48              ,16.55     ,19.82   ,14.67       ,14.67   ,-6.03                ,0.15           ,+0.52    ,+2.86,-0.27                   ,-1.56                    ,-10.78                   ,-2.74                 ,+53.02               ,-54.50               ,+14.36               ,+0.09             ,18.71      ,19.83     ,14.67    ,14.67  ,0.83         ,7.00             ,-0.68         ,3.43              ,--                   ,79.21                    ,0.92            ,768.51       ,8.61                 ,1.18     ,15.78     ,17.60     ,17.14      ,16.42     ,17.06      ,19.58                ,45.98     ,35.95                   ,54.73 ,18.77               ,-3.42                     ,-2.16          ,17.77     ,15.78      ,16.08     ,17.19     ,16.88      ,42.54     ,41.93                ,27.97         ,23.96,-0.65      ,-2.28          ,-3.08                     ,16.61     ,17.61      ,17.24     ,35.39                ,20.24                   ,10.47   ,14.45                  ,-2.16          ,-2.70                     ,-1500.84  , 
DV    ,+3.37      ,34.48     ,286536   ,26.26    ,2.10B     ,1              ,+0.04                     ,64.77     ,33.31     ,0.20 ,-0.85       ,98.15                  ,19.64             ,19.37                  ,33.24                  ,Diversified Consumer Services           ,NYSE    ,DEVRY EDUCATION GROUP INC,Education Services                   ,0.36    ,33.40         ,34.45 ,300     ,595221       ,754883      ,48.14                   ,37.96                  ,No        ,33.35 ,34.50 ,34.50 ,93.86                 ,638970        ,697581     ,44.84                    ,41.08                 ,Yes               ,Consumer Discretionary,1.10          ,33.40     ,33.15 ,600     ,619136      ,41.24                     ,46.28                  ,19.61M         ,No                  ,B  ,***      ,B                  ,--             ,57.14                 ,42.86           ,--                     ,--              ,7                 ,2.43              ,-2.76M    ,1.84B  ,-2.76M  ,62.89M            ,1.27    ,-0.05     ,2.15      ,2.67        ,2.07      ,1.65      ,2.09      ,11.00                       ,-0.17   ,163.36            ,+1.08 ,+1.82                  ,+0.49                      ,+4.14                  ,+1.53                   ,-6.29                ,+0.25                ,+80.46               ,+1.09     ,33.60        ,34.07    ,-0.02                  ,31.56     ,15.36    ,1.85                    ,-3.42                        ,+3.22   ,-0.05,+3.38                  ,+0.07                 ,+0.32                  ,+14.16                   ,+7.05                ,-15.04               ,+7.71                ,+5.35             ,26              ,33.75     ,34.47   ,32.75       ,31.56   ,-17.79               ,0.03           ,+1.12    ,-0.15,+0.02                   ,+0.16                    ,+0.96                    ,+0.50                 ,+84.82               ,+6.93                ,+40.38               ,+3.91             ,34.07      ,34.48     ,31.56    ,30.80  ,1.35         ,52.00            ,-1.33         ,1.14              ,--                   ,--                       ,3.21            ,--           ,12.50                ,1.14     ,33.37     ,32.98     ,30.01      ,33.24     ,30.96      ,54.06                ,59.05     ,22.18                   ,99.15 ,34.24               ,0.55                      ,3.23           ,32.89     ,26.60      ,33.30     ,32.67     ,30.28      ,58.96     ,56.67                ,5.00          ,79.27,0.14       ,1.63           ,1.20                      ,33.24     ,31.42      ,32.37     ,54.91                ,20.07                   ,67.10   ,32.24                  ,2.33           ,0.50                      ,1528.72   , 
JBLU  ,+3.38      ,20.98     ,3692646  ,9.12     ,6.84B     ,8              ,+0.52                     ,67.37     ,20.07     ,0.08 ,-0.52       ,98.79                  ,6.13              ,11.06                  ,19.93                  ,Airlines                                ,NGM/NGS ,JETBLUE AIRWAYS CORP     ,Airlines                             ,--      ,20.29         ,20.97 ,2000    ,4855130      ,6477982     ,76.06                   ,57.00                  ,No        ,20.29 ,20.99 ,20.98 ,82.56                 ,6915022       ,7037187    ,53.40                    ,52.47                 ,Yes               ,Industrials           ,--            ,20.29     ,20.16 ,1300    ,6826656     ,75.10                     ,54.09                  ,96.77M         ,No                  ,C  ,*****    ,B                  ,40.00          ,13.33                 ,40.00           ,--                     ,6.67            ,15                ,2.20              ,759.00M   ,6.63B  ,759.00M ,337.04M           ,2.22    ,2.22      ,1.98      ,1.80        ,1.19      ,0.52      ,0.40      ,8.00                        ,11.44   ,331.60            ,+0.68 ,+0.80                  ,+1.79                      ,+0.48                  ,-0.39                   ,+1.84                ,+291.36              ,+11.32               ,+0.35     ,20.38        ,20.65    ,2.17                   ,19.05     ,14.76    ,1.21                    ,-4.84                        ,+3.38   ,0.00 ,-1.68                  ,+0.06                 ,+0.42                  ,+2.40                    ,-9.50                ,+133.76              ,-0.65                ,+21.02            ,104             ,20.41     ,23.15   ,19.62       ,19.05   ,-5.40                ,0.01           ,+0.68    ,0.00 ,+0.11                   ,+0.36                    ,+2.10                    ,-0.08                 ,-1.48                ,+186.08              ,+25.14               ,+8.37             ,20.65      ,23.15     ,19.30    ,18.71  ,0.83         ,13.00            ,-0.82         ,0.40              ,--                   ,9.12                     ,1.75            ,29.78        ,11.30                ,1.03     ,20.12     ,20.05     ,20.10      ,20.04     ,20.01      ,57.65                ,53.29     ,24.29                   ,99.48 ,20.80               ,0.32                      ,-1.17          ,20.41     ,18.84      ,19.96     ,20.13     ,19.93      ,54.79     ,51.04                ,2.20          ,82.81,-0.03      ,1.62           ,-1.74                     ,19.93     ,20.54      ,20.14     ,51.07                ,25.39                   ,70.42   ,19.07                  ,1.02           ,0.65                      ,5771.38   , 
ETFC  ,+3.39      ,34.48     ,1776257  ,16.94    ,9.22B     ,3              ,-0.80                     ,46.60     ,34.57     ,-0.57,-43.40      ,95.90                  ,-9.45             ,19.30                  ,34.86                  ,Capital Markets                         ,NASDAQ  ,E TRADE FINANCIAL CORP   ,Investment Banking & Brokerage       ,--      ,33.55         ,34.48 ,100     ,2683275      ,3406556     ,66.20                   ,52.14                  ,Yes       ,33.35 ,34.53 ,34.49 ,94.83                 ,4092184       ,3656653    ,43.41                    ,48.58                 ,No                ,Financials            ,--            ,33.54     ,33.31 ,900     ,3939031     ,78.21                     ,45.09                  ,90.26M         ,No                  ,B  ,****     ,B-                 ,33.33          ,40.00                 ,26.67           ,--                     ,--              ,15                ,1.93              ,552.00M   ,2.03B  ,552.00M ,274.68M           ,1.98    ,1.98      ,0.91      ,1.86        ,--        ,0.29      ,-0.40     ,15.64                       ,26.45   ,579.56            ,+0.94 ,-0.56                  ,-3.78                      ,+0.15                  ,-6.69                   ,+21.93               ,+198.49              ,+23.74               ,+1.61     ,33.61        ,37.22    ,4.08                   ,32.25     ,21.52    ,4.10                    ,0.57                         ,+2.80   ,-0.19,-1.03                  ,+0.02                 ,-1.51                  ,+0.44                    ,-3.17                ,+39.01               ,0.00                 ,+9.45             ,128             ,35.26     ,38.61   ,32.25       ,32.25   ,-11.79               ,0.05           ,+1.13    ,-0.57,-0.27                   ,-1.32                    ,-4.32                    ,-2.41                 ,+36.42               ,+215.57              ,+30.82               ,+1.17             ,36.54      ,38.61     ,32.25    ,32.25  ,1.22         ,21.00            ,-1.17         ,0.73              ,--                   ,16.94                    ,2.98            ,22.37        ,18.09                ,4.55     ,34.41     ,35.82     ,33.93      ,34.79     ,34.22      ,32.27                ,50.53     ,32.51                   ,56.60 ,36.44               ,-3.66                     ,-0.11          ,35.90     ,30.62      ,34.68     ,35.19     ,33.72      ,47.72     ,48.40                ,26.28         ,36.88,-0.46      ,-3.47          ,-1.30                     ,34.86     ,34.98      ,35.09     ,44.00                ,18.98                   ,28.48   ,33.27                  ,-0.03          ,-4.73                     ,-4180.85  , 
RLGY  ,+3.39      ,29.70     ,1215373  ,19.67    ,4.02B     ,1              ,-1.41                     ,65.90     ,28.56     ,0.59 ,-4.50       ,95.53                  ,29.33             ,29.75                  ,28.18                  ,Real Estate Management & Development    ,NYSE    ,REALOGY HOLDINGS CORP    ,Real Estate Services                 ,0.36    ,28.72         ,29.70 ,700     ,1350092      ,1371748     ,90.02                   ,88.60                  ,No        ,28.72 ,29.75 ,29.71 ,99.34                 ,1154250       ,1053304    ,105.30                   ,115.39                ,No                ,Real Estate           ,1.30          ,28.72     ,28.52 ,100     ,1211810     ,91.87                     ,100.29                 ,39.11M         ,No                  ,B  ,--       ,--                 ,46.15          ,15.38                 ,30.77           ,7.69                   ,--              ,13                ,2.00              ,217.00M   ,--     ,217.00M ,140.08M           ,1.46    ,1.46      ,1.24      ,1.69        ,0.97      ,2.99      ,-14.41    ,20.00                       ,3.67    ,492.37            ,+0.98 ,+1.56                  ,+1.92                      ,+2.90                  ,+6.35                   ,-33.67               ,0.00                 ,-14.95               ,+1.43     ,29.34        ,29.91    ,7.58                   ,26.72     ,21.43    ,4.47                    ,-4.66                        ,+3.39   ,0.00 ,+3.62                  ,+0.03                 ,+0.59                  ,+11.22                   ,+11.98               ,-32.89               ,+14.70               ,+8.89             ,108             ,29.83     ,29.91   ,28.35       ,26.72   ,-7.09                ,0.06           ,+0.98    ,0.00 ,-0.41                   ,+0.54                    ,+2.10                    ,+1.71                 ,-11.67               ,-38.92               ,+3.60                ,+2.90             ,29.83      ,37.33     ,28.35    ,25.14  ,1.23         ,81.00            ,-1.18         ,0.85              ,--                   ,19.67                    ,--              ,133.58       ,17.00                ,--       ,28.79     ,27.17     ,25.85      ,28.34     ,26.96      ,56.71                ,57.76     ,17.02                   ,95.50 ,29.83               ,0.33                      ,3.89           ,27.03     ,26.72      ,28.31     ,27.47     ,27.01      ,61.11     ,55.35                ,32.17         ,82.96,0.48       ,3.68           ,2.81                      ,28.18     ,26.11      ,27.29     ,57.39                ,33.17                   ,81.93   ,26.53                  ,1.99           ,2.59                      ,5008.72   , 
CLGX  ,+3.40      ,40.15     ,359658   ,32.66    ,3.29B     ,3              ,-0.94                     ,64.07     ,39.44     ,0.28 ,-13.53      ,94.63                  ,-15.29            ,14.82                  ,39.57                  ,IT Services                             ,NYSE    ,CORELOGIC INC            ,Data Processing & Outsourced Services,--      ,38.93         ,40.15 ,300     ,362524       ,638510      ,99.21                   ,56.33                  ,No        ,38.83 ,40.23 ,40.16 ,91.49                 ,544348        ,640253     ,66.07                    ,56.17                 ,Yes               ,Information Technology,--            ,38.93     ,38.74 ,300     ,585003      ,69.93                     ,61.48                  ,14.14M         ,No                  ,C  ,--       ,B-                 ,54.55          ,9.09                  ,27.27           ,--                     ,9.09            ,11                ,2.00              ,106.55M   ,1.95B  ,106.55M ,84.52M            ,1.19    ,1.19      ,1.41      ,2.27        ,0.79      ,1.11      ,1.08      ,12.33                       ,5.46    ,309.93            ,+1.22 ,+0.65                  ,-1.61                      ,+0.58                  ,+3.18                   ,+14.20               ,+138.49              ,+5.15                ,+0.91     ,39.18        ,40.38    ,3.20                   ,38.57     ,32.54    ,5.37                    ,-1.28                        ,+3.13   ,-0.10,+3.26                  ,+0.03                 ,-0.57                  ,+1.53                    ,+5.70                ,+28.60               ,+3.87                ,+10.38            ,106             ,39.67     ,40.38   ,38.68       ,38.26   ,-6.20                ,0.08           ,+1.32    ,-0.26,-0.37                   ,-0.64                    ,-1.45                    ,+1.20                 ,+18.52               ,+54.60               ,-4.46                ,+2.81             ,40.38      ,43.43     ,38.68    ,34.59  ,1.49         ,64.00            ,-1.41         ,1.41              ,--                   ,32.66                    ,--              ,149.47       ,17.16                ,1.69     ,39.49     ,38.03     ,38.24      ,39.34     ,38.34      ,40.78                ,55.97     ,20.20                   ,86.47 ,40.39               ,-0.38                     ,3.25           ,37.75     ,38.72      ,39.64     ,38.65     ,38.30      ,59.56     ,52.20                ,11.37         ,38.78,0.41       ,4.87           ,2.24                      ,39.57     ,37.94      ,38.53     ,52.99                ,25.38                   ,22.78   ,38.74                  ,0.96           ,3.92                      ,-916.22   , 
VLRS  ,+3.40      ,13.99     ,391685   ,7.27     ,1.19B     ,9              ,+1.68                     ,74.41     ,13.04     ,0.08 ,-2.00       ,93.44                  ,26.32             ,16.60                  ,12.74                  ,Airlines                                ,NYSE    ,CONTROLADORA VUELA COMPAN,Airlines                             ,--      ,13.56         ,13.98 ,200     ,457819       ,428817      ,85.55                   ,91.34                  ,No        ,13.53 ,14.03 ,13.99 ,64.25                 ,516069        ,549711     ,75.90                    ,71.25                 ,No                ,Industrials           ,--            ,13.56     ,13.42 ,1800    ,536083      ,56.38                     ,73.06                  ,6.01M          ,No                  ,-- ,--       ,--                 ,54.55          ,18.18                 ,27.27           ,--                     ,--              ,11                ,1.73              ,188.70M   ,1.26B  ,188.70M ,87.79M            ,1.86    ,1.86      ,1.31      ,--          ,0.32      ,0.17      ,0.16      ,9.47                        ,0.80    ,277.10            ,+0.43 ,+1.68                  ,+6.41                      ,-1.70                  ,+1.28                   ,+12.76               ,0.00                 ,-37.23               ,+0.06     ,13.72        ,13.72    ,7.87                   ,11.77     ,11.33    ,6.56                    ,-8.31                        ,+3.17   ,-0.03,-0.98                  ,+0.09                 ,+0.99                  ,-11.14                   ,-9.84                ,+58.99               ,-17.27               ,+44.14            ,36              ,13.72     ,15.41   ,12.94       ,11.33   ,-2.09                ,0.04           ,+0.46    ,-0.22,+0.22                   ,+0.82                    ,+7.86                    ,+0.17                 ,-36.52               ,0.00                 ,-31.87               ,+20.71            ,13.72      ,21.90     ,12.50    ,11.33  ,0.61         ,13.00            ,-0.57         ,0.31              ,--                   ,7.27                     ,2.65            ,8.74         ,--                   ,0.94     ,13.10     ,13.23     ,15.03      ,13.00     ,14.29      ,68.36                ,48.84     ,19.68                   ,98.00 ,13.66               ,1.70                      ,-1.03          ,13.43     ,16.23      ,12.83     ,13.36     ,14.62      ,53.31     ,47.01                ,26.84         ,95.92,-0.12      ,0.61           ,-1.05                     ,12.74     ,14.26      ,13.55     ,50.37                ,34.11                   ,93.96   ,11.82                  ,1.87           ,0.08                      ,1725.68   , 
