Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                      ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High   ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin   ,Sales per Employee,Change ,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap    ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
VRAY  ,-10.95     ,8.6823    ,3427741   ,--       ,525.49M   ,114            ,+12.12                    ,72.96     ,7.23      ,0.91 ,-33.56      ,9.67                   ,17.59             ,49.19                  ,6.50                   ,Health Care Equipment & Supplies              ,NASDAQ  ,VIEWRAY INC              ,Health Care Equipment             ,--      ,9.47          ,8.67  ,300     ,1688006      ,303359      ,203.06                  ,1129.93                ,No        ,9.75  ,10.3854,8.70  ,28.99                 ,1337123       ,608852     ,256.35                   ,562.98                ,No                ,Health Care           ,--            ,9.47      ,8.50  ,100     ,1376918     ,146.44                    ,248.94                 ,13.89M         ,No                  ,D  ,--       ,--                 ,100.00         ,--                    ,--              ,--                     ,--              ,3                 ,1.00              ,-50.64M   ,22.24M ,-50.64M ,55.49M            ,-1.26   ,-1.26     ,-2.58     ,-0.64       ,-37.87    ,-34.59    ,-106.01   ,--                          ,-227.71    ,241.71            ,-0.7877,+3.4623                ,+45.59                     ,+5.1568                ,+80.67                  ,0.00                 ,0.00                 ,+10.99               ,0.00      ,9.94         ,9.94     ,-3.9454                ,5.00      ,2.64     ,90.33                   ,-21.26                       ,-8.32   ,+0.28  ,+5.5523                ,+0.21                 ,+3.2368                ,+119.56                  ,+202.56              ,0.00                 ,+59.57               ,+200.10           ,43              ,9.94      ,9.94    ,8.32        ,4.59    ,-5.86                ,1.7031         ,-1.0677  ,+2.96,+1.0235                 ,+2.9654                  ,+51.93                   ,+4.2283               ,+102.88              ,0.00                 ,+25.00               ,-100.35           ,9.94       ,6.44      ,6.60     ,3.01   ,1.8854       ,100.00           ,-0.1823       ,-0.32             ,--                   ,--                       ,--              ,-101.46      ,--                   ,23.63    ,7.47      ,5.69      ,4.31       ,6.90      ,--         ,89.93                ,--        ,6.27                    ,66.44,9.01                ,3.76                      ,5.42           ,5.26      ,4.15       ,6.84      ,5.81      ,--         ,69.11     ,50.00                ,76.08         ,82.53,0.60       ,3.05           ,6.14                      ,6.50      ,4.44       ,5.59      ,76.34                ,46.16                   ,88.07   ,4.00                   ,3.43           ,3.65                      ,3545.79   , 
TSRO  ,-7.97      ,154.10    ,2506675   ,--       ,8.40B     ,264            ,+0.43                     ,38.86     ,159.69    ,-4.95,-67.02      ,25.83                  ,-9.37             ,32.19                  ,163.83                 ,Biotechnology                                 ,NGM/NGS ,TESARO INC               ,Biotechnology                     ,--      ,156.73        ,154.01,100     ,895542       ,1075964     ,279.91                  ,232.97                 ,No        ,167.45,167.48 ,154.18,74.83                 ,1210263       ,1038343    ,207.12                   ,241.41                ,No                ,Health Care           ,--            ,156.72    ,149.44,200     ,1155144     ,247.05                    ,217.00                 ,139.03M        ,No                  ,C  ,--       ,--                 ,47.06          ,17.65                 ,35.29           ,--                     ,--              ,17                ,1.88              ,-387.47M  ,44.82M ,-387.47M,53.63M            ,-8.13   ,-8.13     ,-6.38     ,-7.74       ,-4.79     ,-2.93     ,-4.51     ,-189.38                     ,-864.45    ,100.50            ,-2.62  ,-32.52                 ,-4.34                      ,+15.91                 ,-4.14                   ,+173.97              ,0.00                 ,+306.85              ,+1.54     ,159.50       ,190.40   ,25.46                  ,141.47    ,36.68    ,74.17                   ,3.29                         ,-1.67   ,+10.73 ,+17.84                 ,+0.03                 ,-10.79                 ,+11.30                   ,+16.55               ,+399.84              ,+38.82               ,-111.01           ,1               ,161.72    ,192.94  ,153.61      ,141.47  ,-112.76              ,13.38          ,-13.35   ,+6.85,+0.68                   ,-7.11                    ,-6.44                    ,-6.77                 ,+233.75              ,+595.35              ,+122.42              ,-70.76            ,189.97     ,192.94    ,146.27   ,131.60 ,18.04        ,86.00            ,-4.66         ,-0.83             ,--                   ,--                       ,14.05           ,21.56        ,--                   ,187.51   ,153.79    ,166.75    ,144.87     ,161.72    ,149.76     ,41.88                ,51.21     ,20.41                   ,32.98,186.79              ,-30.70                    ,19.04          ,162.85    ,121.11     ,159.17    ,161.74    ,144.60     ,47.16     ,52.01                ,8.28          ,37.47,-3.94      ,0.66           ,21.86                     ,163.83    ,150.96     ,159.74    ,48.35                ,17.29                   ,36.24   ,140.87                 ,-34.27         ,2.87                      ,-1965.51  , 
ATRA  ,-7.35      ,18.90     ,132441    ,--       ,593.44M   ,36             ,-0.58                     ,47.58     ,19.65     ,1.12 ,-73.08      ,5.19                   ,16.34             ,33.48                  ,19.31                  ,Biotechnology                                 ,NASDAQ  ,ATARA BIOTHERAPEUTICS INC,Biotechnology                     ,--      ,20.40         ,18.90 ,400     ,271989       ,228705      ,48.69                   ,57.91                  ,No        ,20.40 ,20.73  ,18.95 ,45.26                 ,338472        ,246040     ,39.13                    ,53.83                 ,No                ,Health Care           ,--            ,20.39     ,18.80 ,400     ,329972      ,67.35                     ,40.14                  ,5.63M          ,No                  ,D  ,--       ,--                 ,50.00          ,16.67                 ,--              ,16.67                  ,16.67           ,6                 ,2.33              ,-79.05M   ,--     ,-79.05M ,29.09M            ,-2.75   ,-2.75     ,-2.24     ,-3.71       ,-5.62     ,-9.08     ,-16.81    ,--                          ,--         ,--                ,-1.49  ,+3.10                  ,+5.58                      ,+3.42                  ,+24.71                  ,-46.71               ,0.00                 ,-14.69               ,+1.48     ,20.80        ,23.00    ,5.01                   ,15.30     ,12.45    ,94.81                   ,6.34                         ,-7.31   ,+0.01  ,+4.45                  ,-0.06                 ,+1.63                  ,+20.18                   ,+43.66               ,0.00                 ,-22.17               ,-27.79            ,3               ,22.05     ,23.00   ,20.00       ,13.60   ,-6.35                ,1.83           ,-1.50    ,+0.05,-0.12                   ,+1.08                    ,+8.67                    ,+4.04                 ,+23.15               ,0.00                 ,-20.93               ,-26.85            ,23.00      ,25.73     ,20.00    ,12.45  ,1.93         ,97.00            ,-0.10         ,-0.32             ,--                   ,--                       ,2.33            ,--           ,--                   ,--       ,20.15     ,16.50     ,16.62      ,19.23     ,17.37      ,56.45                ,52.13     ,19.79                   ,26.92,22.90               ,4.19                      ,4.60           ,16.36     ,18.60      ,20.10     ,17.70     ,17.50      ,53.00     ,54.34                ,15.03         ,50.29,1.25       ,6.25           ,5.69                      ,19.31     ,16.83      ,17.50     ,56.55                ,26.79                   ,61.73   ,15.72                  ,3.45           ,6.94                      ,858.15    , 
XBIT  ,-6.90      ,16.87     ,175751    ,--       ,635.85M   ,43             ,-1.57                     ,56.00     ,16.66     ,1.41 ,-55.72      ,24.34                  ,22.71             ,60.42                  ,15.93                  ,Biotechnology                                 ,NASDAQ  ,XBIOTECH INC             ,Biotechnology                     ,--      ,18.09         ,16.76 ,200     ,291224       ,142311      ,60.35                   ,123.50                 ,No        ,18.12 ,18.30  ,17.01 ,17.14                 ,160727        ,119666     ,109.35                   ,146.87                ,No                ,Health Care           ,--            ,18.09     ,16.41 ,400     ,150823      ,32.49                     ,116.53                 ,5.34M          ,No                  ,D  ,--       ,--                 ,100.00         ,--                    ,--              ,--                     ,--              ,1                 ,1.00              ,-52.76M   ,--     ,-52.76M ,35.15M            ,-1.63   ,-1.63     ,-1.22     ,-1.82       ,-0.90     ,-0.45     ,-0.71     ,--                          ,--         ,--                ,-1.22  ,+3.27                  ,+13.56                     ,+4.99                  ,+40.75                  ,0.00                 ,0.00                 ,-12.40               ,0.00      ,20.18        ,20.18    ,6.70                   ,13.15     ,7.89     ,75.66                   ,-2.39                        ,-6.74   ,+0.03  ,+6.60                  ,0.00                  ,+2.59                  ,+38.09                   ,+78.75               ,0.00                 ,-3.57                ,-65.09            ,5               ,20.18     ,20.18   ,17.50       ,12.50   ,-8.52                ,1.43           ,-1.25    ,+0.17,-0.29                   ,+2.16                    ,+16.68                   ,+5.24                 ,+82.13               ,0.00                 ,+3.93                ,-59.82            ,20.18      ,25.00     ,16.23    ,9.36   ,1.89         ,100.00           ,-0.46         ,-0.48             ,--                   ,--                       ,10.00           ,--           ,--                   ,--       ,17.30     ,13.44     ,13.11      ,16.13     ,13.58      ,70.54                ,57.67     ,15.83                   ,44.28,19.28               ,4.88                      ,6.87           ,12.87     ,13.93      ,16.47     ,14.32     ,13.50      ,60.75     ,61.07                ,40.03         ,65.10,1.29       ,5.28           ,7.88                      ,15.93     ,12.91      ,14.05     ,66.80                ,36.95                   ,78.61   ,12.58                  ,3.38           ,6.18                      ,573.86    , 
SRPT  ,-6.65      ,29.41     ,1102055   ,--       ,1.68B     ,104            ,+2.03                     ,42.78     ,30.44     ,-0.32,-83.46      ,0.70                   ,-6.00             ,13.74                  ,31.24                  ,Biotechnology                                 ,NGM/NGS ,SAREPTA THERAPEUTICS INC ,Biotechnology                     ,--      ,30.56         ,29.39 ,100     ,1279205      ,3304978     ,86.15                   ,33.35                  ,No        ,31.50 ,31.54  ,29.42 ,71.03                 ,2422103       ,2609654    ,45.50                    ,42.23                 ,No                ,Health Care           ,--            ,30.56     ,29.39 ,200     ,2466920     ,88.14                     ,44.67                  ,38.15M         ,No                  ,C  ,--       ,C                  ,37.50          ,37.50                 ,25.00           ,--                     ,--              ,16                ,1.88              ,-267.26M  ,5.42M  ,-267.26M,54.81M            ,-5.49   ,-5.49     ,-5.20     ,-3.00       ,-3.39     ,-3.31     ,-5.14     ,0.37                        ,-4930.18   ,27.52             ,-1.16  ,-0.24                  ,-2.17                      ,-6.88                  ,-1.57                   ,+121.87              ,+223.92              ,+48.64               ,+1.75     ,30.60        ,34.85    ,32.19                  ,28.50     ,8.00     ,99.30                   ,4.68                         ,-3.78   ,+0.94  ,+1.06                  ,+0.02                 ,-0.86                  ,-18.38                   ,+11.41               ,+21.96               ,-9.19                ,-101.42           ,4               ,30.85     ,39.36   ,29.32       ,28.50   ,-21.39               ,2.14           ,-2.10    ,+3.08,+0.61                   ,-0.68                    ,-2.73                    ,-0.49                 ,+62.22               ,-8.67                ,+19.33               ,-76.59            ,34.85      ,63.73     ,28.55    ,26.26  ,2.15         ,36.00            ,-0.02         ,-0.24             ,--                   ,--                       ,5.10            ,1.79         ,--                   ,309.00   ,30.14     ,30.68     ,35.32      ,30.55     ,32.15      ,49.31                ,47.33     ,18.13                   ,16.54,34.24               ,-2.15                     ,1.78           ,30.96     ,32.74      ,30.78     ,31.14     ,32.22      ,46.46     ,48.40                ,1.97          ,25.34,-0.11      ,0.44           ,2.19                      ,31.24     ,32.42      ,31.42     ,48.39                ,18.86                   ,24.94   ,28.23                  ,-1.71          ,-0.27                     ,-1257.65  , 
ESPR  ,-5.72      ,36.24     ,1460345   ,--       ,863.22M   ,131            ,-0.78                     ,56.29     ,34.75     ,4.00 ,-43.02      ,23.77                  ,6.56              ,52.14                  ,33.56                  ,Biotechnology                                 ,NASDAQ  ,ESPERION THERAPEUTICS INC,Biotechnology                     ,--      ,38.27         ,36.21 ,200     ,6611391      ,1082198     ,22.09                   ,134.94                 ,No        ,38.44 ,38.72  ,36.32 ,58.54                 ,4474953       ,2050435    ,32.63                    ,71.22                 ,No                ,Health Care           ,--            ,38.27     ,35.47 ,600     ,4144355     ,120.04                    ,35.24                  ,258.68M        ,No                  ,C  ,--       ,--                 ,20.00          ,20.00                 ,60.00           ,--                     ,--              ,10                ,2.40              ,-74.98M   ,--     ,-74.98M ,22.56M            ,-3.33   ,-3.33     ,-2.26     ,-5.99       ,-2.22     ,-3.31     ,-36.31    ,-5.76                       ,--         ,--                ,-2.03  ,+9.38                  ,+14.05                     ,+21.80                 ,+73.56                  ,-62.10               ,0.00                 ,+52.86               ,+2.85     ,39.21        ,48.21    ,-3.58                  ,20.39     ,9.40     ,76.23                   ,-4.81                        ,-5.30   ,+0.17  ,+23.44                 ,-0.07                 ,+5.94                  ,+132.32                  ,+205.67              ,+174.42              ,+147.82              ,-29.07            ,6               ,48.21     ,48.21   ,37.33       ,20.39   ,-26.07               ,2.48           ,-2.20    ,+0.44,-0.30                   ,+4.71                    ,+18.38                   ,+16.22                ,+147.71              ,0.00                 ,+142.99              ,-27.73            ,48.21      ,35.14     ,37.26    ,10.71  ,3.25         ,100.00           ,-0.77         ,-0.50             ,--                   ,--                       ,3.78            ,0.45         ,--                   ,--       ,35.80     ,23.93     ,16.98      ,33.29     ,21.32      ,61.61                ,62.25     ,19.59                   ,56.98,42.56               ,12.40                     ,23.54          ,22.13     ,15.03      ,34.50     ,26.59     ,20.30      ,61.87     ,64.36                ,31.59         ,62.64,3.94       ,25.17          ,25.74                     ,33.56     ,17.93      ,25.10     ,64.60                ,37.68                   ,66.26   ,24.56                  ,10.07          ,26.52                     ,5339.15   , 
TELL  ,-5.25      ,11.14     ,391504    ,--       ,2.33B     ,22             ,+1.65                     ,41.88     ,11.98     ,-0.69,-58.84      ,22.86                  ,5.86              ,16.99                  ,12.60                  ,Oil Gas & Consumable Fuels                    ,NASDAQ  ,TELLURIAN INC            ,Oil & Gas Refining & Marketing    ,--      ,11.65         ,11.12 ,400     ,897362       ,426999      ,43.63                   ,91.69                  ,No        ,11.76 ,11.76  ,11.15 ,0.01                  ,1555128       ,783568     ,25.18                    ,49.96                 ,No                ,Energy                ,--            ,11.65     ,10.96 ,100     ,1496490     ,66.80                     ,26.16                  ,10.31M         ,No                  ,NC ,--       ,C                  ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,100.00K   ,1.69M  ,100.00K ,199.71M           ,-0.64   ,--        ,--        ,--          ,--        ,--        ,--        ,--                          ,6.23       ,--                ,-0.51  ,-6.86                  ,-7.54                      ,+2.60                  ,-10.24                  ,0.00                 ,0.00                 ,0.00                 ,0.00      ,11.80        ,21.74    ,9.98                   ,9.69      ,0.80     ,77.14                   ,1.85                         ,-4.35   ,+0.11  ,-0.36                  ,-0.01                 ,-1.88                  ,+28.79                   ,0.00                 ,0.00                 ,0.00                 ,0.00              ,0               ,13.22     ,21.74   ,10.92       ,9.69    ,-10.16               ,0.62           ,-0.62    ,+0.94,+0.19                   ,-0.95                    ,-13.89                   ,-1.33                 ,0.00                 ,0.00                 ,0.00                 ,0.00              ,21.01      ,21.74     ,10.82    ,9.69   ,0.80         ,--               ,-0.18         ,-0.78             ,--                   ,--                       ,--              ,--           ,--                   ,1379.94  ,11.50     ,13.20     ,9.45       ,12.26     ,10.71      ,45.00                ,50.64     ,21.52                   ,41.16,17.34               ,-8.82                     ,0.45           ,12.92     ,7.06       ,11.35     ,12.29     ,10.10      ,47.95     ,51.46                ,6.88          ,34.58,-0.56      ,-0.49          ,0.20                      ,12.60     ,10.25      ,12.01     ,49.05                ,24.70                   ,29.36   ,7.86                   ,-6.72          ,0.03                      ,1295.98   , 
SVMLF ,-5.14      ,3.32      ,130740    ,20.92    ,594.40M   ,21             ,+2.07                     ,40.47     ,3.55      ,-0.03,-92.98      ,13.79                  ,-0.23             ,12.19                  ,3.58                   ,Metals & Mining                               ,OTC     ,SILVERCORP METALS INC    ,Silver                            ,0.01    ,3.55          ,3.33  ,1000    ,91106        ,190601      ,143.50                  ,68.59                  ,No        ,3.50  ,3.57   ,3.35  ,23.07                 ,173123        ,225331     ,75.52                    ,58.02                 ,No                ,Materials             ,0.40          ,3.55      ,3.28  ,200     ,195433      ,127.91                    ,66.90                  ,321.00K        ,No                  ,-- ,--       ,--                 ,--             ,--                    ,--              ,100.00                 ,--              ,1                 ,4.00              ,9.94M     ,107.94M,9.94M   ,167.4M            ,0.17    ,0.04      ,-0.60     ,0.19        ,-0.24     ,0.16      ,0.43      ,65.00                       ,5.87       ,101.45            ,-0.23  ,-0.45                  ,-0.77                      ,+0.5632                ,+4.97                   ,+179.82              ,-46.36               ,+132.67              ,+1.34     ,3.56         ,4.45     ,0.93                   ,3.33      ,0.91     ,86.21                   ,6.49                         ,-6.48   ,-0.05  ,+0.99                  ,-0.09                 ,-0.0859                ,+18.86                   ,+51.36               ,+80.91               ,+51.57               ,+16.09            ,4               ,3.73      ,4.50    ,3.46        ,3.33    ,-2.37                ,0.25           ,-0.18    ,-1.41,+0.072                  ,-0.0275                  ,-2.36                    ,+0.1681               ,+177.87              ,-7.41                ,+44.34               ,+10.13            ,4.05       ,4.50      ,3.39     ,2.33   ,0.29         ,99.00            ,-0.04         ,0.91              ,--                   ,94.90                    ,2.54            ,--           ,18.68                ,5.51     ,3.54      ,3.50      ,2.96       ,3.57      ,--         ,48.30                ,--        ,27.87                   ,7.02 ,3.92                ,-0.11                     ,0.82           ,3.36      ,2.95       ,3.54      ,3.45      ,--         ,49.07     ,50.00                ,17.61         ,26.32,--         ,0.40           ,1.31                      ,3.58      ,3.02       ,3.39      ,51.95                ,19.52                   ,30.37   ,3.24                   ,-0.53          ,0.68                      ,-3.81     , 
LOXO  ,-5.02      ,43.96     ,173521    ,--       ,1.21B     ,50             ,+2.55                     ,49.67     ,44.27     ,0.89 ,-44.66      ,6.55                   ,38.74             ,17.14                  ,44.10                  ,Biotechnology                                 ,NASDAQ  ,LOXO ONCOLOGY INC        ,Biotechnology                     ,--      ,46.15         ,43.87 ,100     ,202266       ,199700      ,85.79                   ,86.89                  ,No        ,46.28 ,46.88  ,44.08 ,61.98                 ,241647        ,260136     ,71.81                    ,66.70                 ,No                ,Health Care           ,--            ,46.15     ,43.75 ,100     ,240265      ,159.63                    ,72.22                  ,8.99M          ,No                  ,D  ,--       ,--                 ,66.67          ,16.67                 ,16.67           ,--                     ,--              ,6                 ,1.50              ,-72.40M   ,--     ,-72.40M ,26.15M            ,-3.46   ,-3.46     ,-2.12     ,-3.97       ,-3.06     ,-106.19   ,--        ,--                          ,--         ,--                ,-2.20  ,-1.36                  ,+4.65                      ,+13.66                 ,+12.36                  ,+229.24              ,0.00                 ,+64.59               ,+2.91     ,46.39        ,47.46    ,0.58                   ,40.01     ,16.50    ,93.45                   ,0.02                         ,-4.76   ,+0.13  ,+12.12                 ,+0.01                 ,+2.06                  ,+42.05                   ,+43.70               ,0.00                 ,+61.25               ,-50.85            ,4               ,46.56     ,47.46   ,44.43       ,40.01   ,-27.25               ,2.93           ,-2.32    ,+0.28,+1.15                   ,+2.05                    ,+4.68                    ,+5.08                 ,+84.69               ,0.00                 ,+61.37               ,-47.82            ,47.46      ,47.46     ,42.79    ,30.51  ,3.13         ,96.00            ,-0.21         ,-0.58             ,--                   ,--                       ,7.69            ,--           ,--                   ,--       ,44.53     ,42.07     ,33.28      ,43.97     ,37.32      ,60.06                ,56.72     ,15.01                   ,55.34,47.30               ,0.74                      ,10.67          ,40.97     ,30.24      ,43.97     ,41.42     ,36.08      ,55.31     ,59.33                ,3.93          ,78.10,0.93       ,4.10           ,12.12                     ,44.10     ,35.61      ,40.50     ,59.28                ,16.24                   ,78.93   ,40.90                  ,-0.49          ,7.64                      ,1378.82   , 
HQY   ,-4.88      ,39.15     ,552967    ,93.82    ,2.46B     ,81             ,-0.39                     ,30.71     ,42.76     ,-0.69,-84.17      ,13.53                  ,0.38              ,19.74                  ,43.32                  ,Health Care Providers & Services              ,NASDAQ  ,HEALTHEQUITY INC         ,Managed Health Care               ,--      ,41.28         ,39.16 ,200     ,1011794      ,583944      ,54.65                   ,94.70                  ,No        ,41.16 ,41.45  ,39.22 ,78.11                 ,636179        ,603364     ,86.92                    ,91.65                 ,No                ,Health Care           ,--            ,41.28     ,38.79 ,200     ,643216      ,45.90                     ,85.97                  ,42.61M         ,Yes                 ,B  ,--       ,--                 ,60.00          ,30.00                 ,10.00           ,--                     ,--              ,10                ,1.50              ,26.38M    ,178.37M,26.38M  ,59.54M            ,0.44    ,0.44      ,0.28      ,0.64        ,0.21      ,-1.26     ,0.25      ,34.00                       ,14.79      ,--                ,-2.13  ,-5.01                  ,-4.72                      ,+0.23                  ,-7.22                   ,+55.56               ,0.00                 ,+69.31               ,+1.78     ,41.35        ,47.34    ,7.80                   ,37.61     ,21.42    ,86.47                   ,10.33                        ,-5.16   ,-0.12  ,-1.81                  ,-0.10                 ,-2.23                  ,+0.56                    ,+1.88                ,0.00                 ,-1.86                ,+11.33            ,6               ,47.34     ,49.25   ,37.61       ,37.61   ,-17.37               ,2.30           ,-2.01    ,-0.29,-0.16                   ,-2.04                    ,-5.12                    ,-3.21                 ,+78.92               ,0.00                 ,+34.21               ,+10.57            ,47.34      ,49.25     ,37.61    ,37.61  ,2.66         ,29.00            ,-0.36         ,4.06              ,--                   ,93.82                    ,12.79           ,--           ,64.09                ,13.78    ,43.44     ,44.50     ,41.49      ,43.02     ,41.89      ,38.07                ,46.45     ,29.37                   ,15.83,47.04               ,-2.68                     ,-2.03          ,44.34     ,37.45      ,43.20     ,43.34     ,41.13      ,42.05     ,49.07                ,35.86         ,19.62,-0.22      ,-6.93          ,0.23                      ,43.32     ,42.61      ,43.16     ,45.77                ,13.87                   ,21.92   ,39.61                  ,-4.55          ,-6.10                     ,38.40     , 
