Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                      ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                    ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change ,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
JNUG  ,-10.78     ,6.201     ,58241378  ,--       ,1.18B     ,138            ,+4.25                     ,41.21     ,6.95      ,-0.54,-67.38      ,18.10                  ,-6.70             ,26.64                  ,6.61                   ,--                                            ,NYSE    ,DIREXION DLY JR GOLD MNRS,--                                ,0.02    ,7.01          ,6.20  ,5900    ,65526397     ,44735715    ,88.88                   ,130.19                 ,No        ,6.95  ,7.02  ,6.21  ,100.00                ,80875246      ,63415850   ,72.01                    ,91.84                 ,No                ,--                        ,0.30          ,7.01      ,6.02  ,24000   ,79461443    ,101.22                    ,73.30                  ,457.17M        ,No                  ,NC ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,--        ,--     ,--      ,167.67M           ,--      ,--        ,--        ,--          ,--        ,--        ,--        ,--                          ,--      ,--                ,-0.809 ,-0.949                 ,+6.10                      ,-2.5475                ,-18.41                  ,-40.80               ,0.00                 ,-27.21               ,-0.23     ,7.19         ,11.68    ,26.27                  ,5.20      ,3.77     ,81.90                   ,7.05                         ,-11.54  ,-0.06,+0.501                 ,-0.16                 ,+0.1141                ,-26.65                   ,+26.01               ,-93.70               ,+17.34               ,0.00              ,8               ,7.78      ,13.03   ,6.72        ,5.20    ,-2.25                ,0.819          ,-0.749   ,-0.86,+0.286                  ,+0.403                   ,+1.65                    ,-1.5816               ,-1.42                ,0.00                 ,-50.85               ,0.00              ,8.40       ,33.29     ,6.35     ,5.20   ,1.00         ,99.00            ,-0.181        ,--                ,--                   ,--                       ,--              ,--           ,--                   ,--       ,6.98      ,8.66      ,8.63       ,7.16      ,9.22       ,47.90                ,45.66     ,29.21                   ,32.62,8.13                ,-0.46                     ,-0.47          ,8.50      ,14.34      ,6.64      ,7.98      ,9.69       ,44.62     ,46.73                ,27.56         ,47.57,-0.62      ,-2.10          ,1.77                      ,6.61      ,8.01       ,8.20      ,46.59                ,16.59                   ,52.23   ,5.09                   ,-1.64          ,-1.35                     ,-71819.52 , 
HOME  ,-9.09      ,15.00     ,379541    ,0.84     ,942.93M   ,54             ,+2.19                     ,47.42     ,15.16     ,0.06 ,-65.89      ,9.13                   ,-3.67             ,18.19                  ,14.94                  ,Specialty Retail                              ,NYSE    ,AT HOME GROUP INC        ,Homefurnishing Retail             ,--      ,15.62         ,14.99 ,100     ,96501        ,191423      ,393.30                  ,198.27                 ,No        ,16.50 ,16.99 ,15.02 ,54.54                 ,99928         ,142366     ,379.81                   ,266.60                ,No                ,Consumer Discretionary    ,--            ,15.62     ,14.80 ,100     ,98712       ,194.79                    ,384.49                 ,1.47M          ,No                  ,C  ,--       ,--                 ,66.67          ,16.67                 ,16.67           ,--                     ,--              ,6                 ,1.50              ,3.57M     ,622.16M,3.57M   ,60.37M            ,18.67   ,8.85      ,-1.10     ,0.57        ,-56.17    ,--        ,--        ,37.07                       ,0.57    ,216.93            ,-0.62  ,-0.24                  ,+4.58                      ,+1.66                  ,+3.41                   ,0.00                 ,0.00                 ,0.00                 ,0.00      ,15.89        ,15.94    ,0.03                   ,13.97     ,10.19    ,90.87                   ,0.08                         ,-3.97   ,+0.88,+0.19                  ,+0.02                 ,+0.66                  ,+11.93                   ,+6.77                ,0.00                 ,+16.69               ,+16.90            ,12              ,15.89     ,16.69   ,15.20       ,13.97   ,-4.61                ,1.99           ,-1.50    ,+5.63,+0.33                   ,+0.68                    ,+4.39                    ,+0.52                 ,0.00                 ,0.00                 ,-1.44                ,+6.30             ,15.94      ,17.02     ,14.44    ,13.58  ,2.19         ,67.00            ,-0.20         ,0.04              ,--                   ,1.76                     ,--              ,119.63       ,27.17                ,1.52     ,15.31     ,15.24     ,13.92      ,15.13     ,--         ,59.95                ,--        ,14.51                   ,34.11,15.90               ,0.24                      ,0.22           ,15.09     ,--         ,15.01     ,--        ,--         ,--        ,50.00                ,35.37         ,67.04,0.01       ,-0.17          ,0.97                      ,14.94     ,14.20      ,--        ,50.00                ,30.39                   ,70.01   ,13.97                  ,-0.03          ,0.48                      ,-54.09    , 
NUGT  ,-8.02      ,8.94      ,40815508  ,--       ,1.89B     ,135            ,+4.20                     ,46.03     ,9.20      ,-0.22,-40.77      ,15.45                  ,-6.75             ,20.30                  ,8.71                   ,--                                            ,NYSE    ,DIREXION DLY GOLD MINERS ,--                                ,--      ,9.78          ,8.94  ,21300   ,42685691     ,45434257    ,95.62                   ,89.83                  ,No        ,9.72  ,9.87  ,8.95  ,100.00                ,43788945      ,49813908   ,93.21                    ,81.94                 ,No                ,--                        ,--            ,9.77      ,8.77  ,6800    ,44354007    ,106.45                    ,92.02                  ,406.38M        ,No                  ,NC ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,--        ,--     ,--      ,192.89M           ,--      ,--        ,--        ,--          ,--        ,--        ,--        ,--                          ,--      ,--                ,-0.83  ,0.00                   ,+12.18                     ,-1.2914                ,-4.20                   ,-61.04               ,-99.45               ,-35.13               ,-0.06     ,9.94         ,12.08    ,25.93                  ,7.40      ,5.51     ,84.55                   ,-1.60                        ,-8.50   ,-0.05,+1.08                  ,-0.07                 ,+0.8868                ,-11.67                   ,+28.01               ,-88.02               ,+19.55               ,0.00              ,27              ,10.00     ,13.70   ,9.48        ,7.40    ,-3.26                ,0.93           ,-0.78    ,-0.51,+0.394                  ,+1.0605                  ,+9.98                    ,-0.4288               ,-15.67               ,-98.40               ,-46.71               ,0.00              ,10.15      ,35.80     ,8.85     ,7.40   ,1.10         ,99.00            ,-0.17         ,--                ,--                   ,--                       ,--              ,--           ,--                   ,--       ,9.29      ,10.32     ,10.19      ,9.28      ,10.95      ,56.45                ,46.54     ,26.43                   ,59.23,10.22               ,0.33                      ,0.18           ,10.14     ,16.24      ,8.80      ,9.77      ,11.46      ,46.55     ,47.89                ,14.01         ,73.33,-0.38      ,-1.20          ,2.66                      ,8.71      ,9.60       ,9.95      ,49.30                ,19.93                   ,76.07   ,7.20                   ,-0.54          ,-0.42                     ,-39523.58 , 
SBGL  ,-6.15      ,8.85      ,2072253   ,8.64     ,2.22B     ,103            ,+4.62                     ,57.08     ,8.58      ,0.20 ,-31.43      ,10.61                  ,11.30             ,24.65                  ,8.23                   ,Metals & Mining                               ,NYSE    ,SIBANYE GOLD LTD         ,Gold                              ,0.43    ,9.40          ,8.84  ,800     ,2451595      ,1930013     ,84.53                   ,107.37                 ,No        ,9.43  ,9.44  ,8.85  ,61.26                 ,2325012       ,2147881    ,89.13                    ,96.48                 ,No                ,Materials                 ,4.60          ,9.40      ,8.78  ,1800    ,2348879     ,72.96                     ,88.22                  ,22.07M         ,No                  ,-- ,--       ,--                 ,--             ,50.00                 ,50.00           ,--                     ,--              ,2                 ,2.50              ,221.82M   ,2.12B  ,221.82M ,929M              ,1.09    ,1.09      ,0.21      ,--          ,0.49      ,0.69      ,--        ,9.75                        ,0.80    ,--                ,-0.55  ,+0.99                  ,+14.27                     ,-0.0708                ,+12.24                  ,-0.51                ,0.00                 ,-29.58               ,-0.11     ,9.59         ,9.59     ,11.53                  ,7.22      ,6.16     ,89.39                   ,-5.65                        ,-5.85   ,+0.03,+1.48                  ,0.00                  ,+1.2077                ,-0.75                    ,+33.14               ,+15.32               ,-2.41                ,+19.24            ,1               ,9.59      ,9.59    ,9.20        ,7.22    ,-2.62                ,0.59           ,-0.58    ,+0.32,+0.415                  ,+1.1738                  ,+14.74                   ,+1.0248               ,-38.73               ,+89.49               ,-46.55               ,+8.67             ,9.59       ,20.97     ,8.48     ,7.22   ,0.66         ,97.00            ,-0.07         ,0.37              ,--                   ,8.64                     ,1.90            ,49.24        ,--                   ,4.12     ,8.73      ,8.47      ,8.98       ,8.51      ,9.13       ,72.85                ,48.92     ,18.43                   ,68.57,9.37                ,1.49                      ,1.46           ,8.36      ,11.80      ,8.35      ,8.47      ,9.43       ,52.20     ,51.13                ,23.56         ,82.32,0.07       ,0.26           ,2.37                      ,8.23      ,8.45       ,8.55      ,56.63                ,29.79                   ,87.84   ,7.08                   ,0.74           ,0.84                      ,3551.93   , 
CYH   ,-6.00      ,9.005     ,4958431   ,--       ,1.10B     ,84             ,+6.48                     ,50.12     ,9.07      ,0.27 ,-52.87      ,24.68                  ,4.15              ,24.89                  ,9.22                   ,Health Care Providers & Services              ,NYSE    ,COMMUNITY HEALTH SYSTEMS ,Health Care Facilities            ,--      ,9.64          ,9.00  ,600     ,5200393      ,5172123     ,95.35                   ,95.87                  ,No        ,9.58  ,9.60  ,9.01  ,96.03                 ,4368122       ,4200921    ,113.51                   ,118.03                ,No                ,Health Care               ,--            ,9.64      ,8.81  ,600     ,4347187     ,68.08                     ,114.06                 ,47.08M         ,Yes                 ,B  ,***      ,B-                 ,5.00           ,--                    ,75.00           ,20.00                  ,--              ,20                ,3.10              ,-1.63B    ,18.44B ,-1.63B  ,113.85M           ,-15.55  ,-15.55    ,1.37      ,0.63        ,0.81      ,1.50      ,2.96      ,8.33                        ,-9.33   ,170.72            ,-0.635 ,-0.265                 ,+4.50                      ,+2.0311                ,+24.91                  ,-78.22               ,-48.27               ,-27.46               ,+1.64     ,10.11        ,10.11    ,8.00                   ,8.02      ,4.15     ,75.32                   ,1.90                         ,-6.59   ,-0.06,+3.315                 ,+0.10                 ,+0.3605                ,+26.69                   ,+72.45               ,-67.26               ,+79.23               ,-57.72            ,2               ,10.11     ,10.11   ,9.50        ,8.02    ,-4.66                ,0.595          ,-0.575   ,-0.62,+0.587                  ,+0.4153                  ,+3.88                    ,+1.9224               ,-32.72               ,-74.34               ,-8.71                ,-6.70             ,10.11      ,17.60     ,8.02     ,5.41   ,0.79         ,99.00            ,-0.195        ,-0.03             ,--                   ,--                       ,--              ,650.22       ,15.20                ,0.06     ,9.07      ,7.98      ,7.26       ,8.98      ,8.16       ,60.42                ,52.95     ,26.53                   ,47.13,10.06               ,-0.05                     ,3.27           ,7.70      ,9.07       ,9.18      ,8.27      ,8.42       ,54.74     ,55.33                ,10.09         ,69.36,0.37       ,2.81           ,3.91                      ,9.22      ,6.83       ,8.14      ,58.73                ,32.48                   ,60.54   ,8.39                   ,-0.75          ,3.06                      ,2423.76   , 
SNX   ,-5.52      ,111.49    ,412156    ,20.11    ,4.72B     ,55             ,+2.15                     ,29.97     ,116.91    ,-0.92,-80.49      ,25.56                  ,2.83              ,15.91                  ,117.49                 ,Electronic Equipment Instruments & Components ,NYSE    ,SYNNEX CORP              ,Technology Distributors           ,1.00    ,118.32        ,111.46,100     ,160013       ,197387      ,257.58                  ,208.81                 ,No        ,118.00,118.74,111.56,73.86                 ,137458        ,181921     ,299.84                   ,226.56                ,Yes               ,Information Technology    ,0.80          ,118.32    ,109.00,100     ,135356      ,201.15                    ,304.50                 ,18.63M         ,No                  ,A  ,***      ,B+                 ,--             ,--                    ,100.00          ,--                     ,--              ,4                 ,3.00              ,235.00M   ,14.06B ,235.00M ,39.92M            ,5.88    ,5.88      ,5.24      ,7.62        ,4.57      ,3.02      ,3.96      ,2.00                        ,1.67    ,133.29            ,-6.83  ,-6.76                  ,+0.71                      ,+2.57                  ,-1.06                   ,+50.25               ,+178.99              ,+29.16               ,+1.07     ,118.67       ,121.76   ,10.50                  ,114.27    ,77.54    ,74.44                   ,5.05                         ,-5.77   ,-0.32,-10.63                 ,-0.03                 ,+0.45                  ,+2.22                    ,-2.04                ,+95.84               ,+0.20                ,+12.45            ,1               ,119.81    ,129.23  ,115.70      ,114.27  ,-31.46               ,7.25           ,-6.51    ,-0.27,+2.49                   ,+0.83                    ,+0.38                    ,-1.27                 ,+22.76               ,+197.79              ,+10.60               ,+4.86             ,121.76     ,129.24    ,114.27   ,114.27 ,9.74         ,21.00            ,-2.49         ,0.87              ,--                   ,20.11                    ,3.93            ,30.86        ,15.52                ,0.34     ,117.26    ,118.74    ,116.43     ,117.25    ,116.58     ,52.82                ,45.60     ,34.15                   ,19.51,121.39              ,-0.55                     ,-11.32         ,119.48    ,110.47     ,117.12    ,118.16    ,115.50     ,40.74     ,51.51                ,43.58         ,36.41,-0.58      ,-8.16          ,-3.64                     ,117.49    ,118.57     ,118.07    ,50.01                ,13.42                   ,35.77   ,113.59                 ,-5.43          ,-1.80                     ,65.48     , 
GG    ,-5.37      ,14.98     ,14662421  ,84.47    ,13.75B    ,147            ,+1.92                     ,39.05     ,15.54     ,-0.04,-72.92      ,10.73                  ,-10.44            ,21.00                  ,15.26                  ,Metals & Mining                               ,NYSE    ,GOLDCORP INC             ,Gold                              ,0.08    ,16.05         ,14.97 ,3400    ,8238800      ,8584261     ,177.97                  ,170.81                 ,No        ,15.83 ,16.02 ,14.98 ,63.13                 ,8789571       ,8641563    ,166.82                   ,169.67                ,No                ,Materials                 ,0.50          ,16.05     ,14.86 ,11300   ,8733961     ,180.07                    ,167.88                 ,131.17M        ,No                  ,NC ,***      ,B-                 ,15.38          ,30.77                 ,53.85           ,--                     ,--              ,26                ,2.38              ,162.00M   ,3.51B  ,162.00M ,855.35M           ,0.19    ,0.19      ,-5.03     ,0.37        ,-2.66     ,-3.34     ,1.95      ,10.00                       ,4.62    ,402.89            ,-1.07  ,-0.62                  ,+5.20                      ,+1.14                  ,+2.29                   ,-16.22               ,-60.99               ,-4.80                ,+0.12     ,16.38        ,17.13    ,4.36                   ,14.46     ,11.91    ,89.27                   ,2.19                         ,-6.67   ,-0.22,+1.33                  ,-0.05                 ,+0.66                  ,+7.66                    ,+18.18               ,-34.51               ,+21.11               ,+1.23             ,17              ,16.38     ,17.87   ,16.02       ,14.46   ,-2.95                ,1.04           ,-0.85    ,-1.37,+0.30                   ,+0.79                    ,+4.25                    ,+0.36                 ,+0.91                ,-48.98               ,+4.95                ,+0.75             ,16.38      ,20.38     ,15.48    ,13.65  ,1.17         ,95.00            ,-0.13         ,3.66              ,--                   ,84.47                    ,1.03            ,20.55        ,43.54                ,3.91     ,15.61     ,15.89     ,14.77      ,15.56     ,15.37      ,61.88                ,48.51     ,31.00                   ,27.08,16.22               ,0.03                      ,1.11           ,15.64     ,15.92      ,15.31     ,15.49     ,15.39      ,46.95     ,52.70                ,11.31         ,63.07,-0.09      ,-0.81          ,2.89                      ,15.26     ,14.76      ,15.44     ,54.27                ,24.70                   ,75.95   ,14.30                  ,-0.97          ,0.29                      ,-12413.17 , 
FSM   ,-4.52      ,4.86      ,1475102   ,--       ,751.06M   ,39             ,+1.75                     ,36.59     ,5.18      ,-0.24,-93.81      ,17.65                  ,-11.51            ,21.44                  ,5.16                   ,Metals & Mining                               ,NYSE    ,FORTUNA SILVER MINES INC ,Silver                            ,--      ,5.11          ,4.85  ,2100    ,1518089      ,1684299     ,97.17                   ,87.58                  ,No        ,5.09  ,5.14  ,4.86  ,55.49                 ,1904090       ,1900666    ,77.47                    ,77.61                 ,No                ,Materials                 ,--            ,5.11      ,4.80  ,5200    ,1974425     ,125.85                    ,74.71                  ,7.75M          ,No                  ,NC ,--       ,--                 ,16.67          ,50.00                 ,33.33           ,--                     ,--              ,6                 ,2.17              ,-10.61M   ,154.73M,-10.61M ,146.98M           ,-0.04   ,-0.08     ,0.12      ,0.17        ,-0.15     ,0.25      ,0.16      ,--                          ,-6.86   ,225.55            ,-0.25  ,-0.62                  ,-1.01                      ,-1.1331                ,-14.40                  ,+23.04               ,-18.24               ,+1.26                ,+0.16     ,5.14         ,6.55     ,4.61                   ,4.84      ,3.50     ,82.35                   ,5.65                         ,-4.89   ,-0.02,-0.87                  ,-0.07                 ,-0.1418                ,-18.15                   ,-9.56                ,+36.04               ,-7.08                ,-1.25             ,5               ,5.39      ,6.92    ,5.00        ,4.84    ,-1.30                ,0.28           ,-0.23    ,-0.39,+0.088                  ,-0.052                   ,-2.70                    ,-0.8593               ,+32.80               ,+15.14               ,-24.40               ,-0.91             ,5.85       ,9.75      ,4.91     ,4.84   ,0.34         ,28.00            ,-0.06         ,-5.37             ,--                   ,--                       ,2.51            ,15.37        ,30.78                ,4.85     ,5.17      ,5.87      ,6.12       ,5.27      ,5.99       ,43.22                ,44.23     ,27.50                   ,6.19 ,5.61                ,-0.29                     ,-1.29          ,5.95      ,6.85       ,5.13      ,5.65      ,6.06       ,42.00     ,45.37                ,24.05         ,17.83,-0.24      ,-1.22          ,-0.45                     ,5.16      ,6.02       ,5.74      ,43.95                ,16.84                   ,21.12   ,4.71                   ,-0.78          ,-1.05                     ,-3097.64  , 
GFI   ,-4.09      ,3.52      ,4863983   ,18.20    ,3.01B     ,31             ,+1.90                     ,57.44     ,3.44      ,0.08 ,-20.48      ,26.09                  ,19.97             ,22.50                  ,3.31                   ,Metals & Mining                               ,NYSE    ,GOLD FIELDS LTD          ,Gold                              ,0.08    ,3.64          ,3.51  ,12100   ,5464704      ,6732044     ,89.01                   ,72.25                  ,No        ,3.67  ,3.69  ,3.52  ,81.99                 ,7455501       ,7394845    ,65.24                    ,65.78                 ,No                ,Materials                 ,2.20          ,3.64      ,3.46  ,39200   ,7716011     ,99.29                     ,63.04                  ,19.56M         ,No                  ,-- ,--       ,--                 ,--             ,33.33                 ,33.33           ,33.33                  ,--              ,3                 ,3.00              ,173.70M   ,2.75B  ,173.70M ,821.53M           ,0.20    ,0.20      ,-0.31     ,--          ,0.02      ,-0.40     ,0.53      ,18.42                       ,5.92    ,--                ,-0.12  ,+0.46                  ,+9.89                      ,+0.0401                ,+8.05                   ,-17.58               ,-68.47               ,-11.68               ,-0.96     ,3.68         ,3.68     ,2.91                   ,2.86      ,2.60     ,73.91                   ,-4.32                        ,-3.30   ,+0.03,+0.39                  ,-0.01                 ,+0.3655                ,+1.11                    ,+22.74               ,-7.15                ,+0.65                ,+6.07             ,4               ,3.68      ,3.74    ,3.59        ,2.86    ,-0.86                ,0.17           ,-0.15    ,+0.82,+0.068                  ,+0.3275                  ,+11.16                   ,+0.271                ,-1.25                ,-53.85               ,-38.19               ,+2.84             ,3.68       ,6.60      ,3.48     ,2.86   ,0.23         ,94.00            ,-0.06         ,0.79              ,--                   ,18.20                    ,1.09            ,47.18        ,--                   ,1.09     ,3.53      ,3.38      ,3.46       ,3.41      ,3.52       ,67.30                ,50.02     ,19.25                   ,79.52,3.77                ,0.67                      ,0.33           ,3.37      ,4.24       ,3.37      ,3.37      ,3.59       ,52.64     ,51.30                ,10.73         ,86.78,0.04       ,0.13           ,0.64                      ,3.31      ,3.31       ,3.39      ,55.12                ,23.87                   ,90.14   ,2.86                   ,0.43           ,0.18                      ,19570.09  , 
HMY   ,-4.03      ,2.38      ,3457815   ,5.74     ,1.09B     ,27             ,+3.23                     ,48.61     ,2.40      ,-0.03,-33.33      ,29.41                  ,-11.99            ,18.83                  ,2.34                   ,Metals & Mining                               ,NYSE    ,HARMONY GOLD MINING CO LT,Gold                              ,0.07    ,2.49          ,2.37  ,19600   ,4591642      ,5413849     ,75.31                   ,63.87                  ,No        ,2.48  ,2.50  ,2.38  ,88.67                 ,5839091       ,5682564    ,59.22                    ,60.85                 ,No                ,Materials                 ,3.00          ,2.49      ,2.33  ,28000   ,5923313     ,81.22                     ,58.38                  ,11.13M         ,No                  ,-- ,--       ,--                 ,--             ,--                    ,50.00           ,50.00                  ,--              ,2                 ,3.50              ,65.58M    ,1.27B  ,65.58M  ,439.79M           ,0.43    ,0.15      ,-0.72     ,--          ,-0.20     ,-0.38     ,0.42      ,42.70                       ,0.36    ,46.58             ,-0.11  ,-0.04                  ,+6.36                      ,-0.168                 ,-0.52                   ,+30.25               ,-77.19               ,-17.48               ,-1.78     ,2.54         ,2.82     ,2.37                   ,2.06      ,1.86     ,70.59                   ,-1.65                        ,-4.42   ,-0.01,+0.13                  ,-0.03                 ,+0.1236                ,-6.32                    ,+14.41               ,-23.79               ,+9.65                ,+9.44             ,2               ,2.54      ,2.99    ,2.46        ,2.06    ,-0.47                ,0.12           ,-0.10    ,-0.40,+0.078                  ,+0.149                   ,+5.22                    ,-0.0131               ,-34.18               ,-61.48               ,-28.46               ,+7.10             ,2.57       ,4.87      ,2.31     ,2.06   ,0.17         ,90.00            ,-0.05         ,0.25              ,--                   ,16.92                    ,0.59            ,7.24         ,--                   ,0.86     ,2.41      ,2.51      ,2.57       ,2.41      ,2.59       ,55.02                ,47.68     ,26.07                   ,66.67,2.59                ,0.04                      ,0.03           ,2.50      ,3.12       ,2.34      ,2.46      ,2.65       ,48.10     ,48.83                ,18.68         ,76.72,-0.04      ,-0.11          ,0.31                      ,2.34      ,2.46       ,2.48      ,50.11                ,17.86                   ,74.90   ,2.09                   ,-0.12          ,0.05                      ,-9399.35  , 
