Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                       ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                    ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change ,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap    ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
HOME  ,-9.09      ,15.00     ,380601    ,0.84     ,942.93M   ,54             ,+2.19                     ,47.42     ,15.16     ,0.06 ,-65.89      ,9.13                   ,-3.73             ,18.19                  ,14.94                  ,Specialty Retail                              ,NYSE    ,AT HOME GROUP INC        ,Homefurnishing Retail              ,--      ,15.62         ,14.98 ,100     ,96501        ,191423      ,394.40                  ,198.83                 ,No        ,16.50 ,16.99 ,15.00 ,54.54                 ,99928         ,142366     ,380.88                   ,267.34                ,No                ,Consumer Discretionary    ,--            ,15.62     ,14.80 ,1000    ,98712       ,195.34                    ,385.57                 ,1.47M          ,No                  ,C  ,--       ,--                 ,66.67          ,16.67                 ,16.67           ,--                     ,--              ,6                 ,1.50              ,3.57M     ,622.16M,3.57M   ,60.37M            ,18.67   ,8.85      ,-1.10     ,0.57        ,-56.17    ,--        ,--        ,37.07                       ,0.57    ,216.93            ,-0.62  ,-0.24                  ,+4.58                      ,+1.66                  ,+3.41                   ,0.00                 ,0.00                 ,0.00                 ,0.00      ,15.89        ,15.94    ,0.03                   ,13.97     ,10.19    ,90.87                   ,0.08                         ,-3.97   ,+0.88  ,+0.19                  ,+0.02                 ,+0.66                  ,+11.93                   ,+6.77                ,0.00                 ,+16.69               ,+16.90            ,12              ,15.89     ,16.69   ,15.20       ,13.97   ,-4.61                ,1.99           ,-1.50    ,+5.63,+0.33                   ,+0.68                    ,+4.39                    ,+0.52                 ,0.00                 ,0.00                 ,-1.44                ,+6.30             ,15.94      ,17.02     ,14.44    ,13.58  ,2.19         ,67.00            ,-0.20         ,0.04              ,--                   ,1.76                     ,--              ,119.63       ,27.17                ,1.52     ,15.31     ,15.24     ,13.92      ,15.13     ,--         ,59.95                ,--        ,14.51                   ,34.11,15.90               ,0.24                      ,0.22           ,15.09     ,--         ,15.01     ,--        ,--         ,--        ,50.00                ,35.37         ,67.04,0.01       ,-0.17          ,0.97                      ,14.94     ,14.20      ,--        ,50.00                ,30.39                   ,70.01   ,13.97                  ,-0.03          ,0.48                      ,-54.96    , 
SBGL  ,-6.36      ,8.83      ,2081003   ,8.64     ,2.22B     ,103            ,+4.65                     ,56.75     ,8.58      ,0.20 ,-32.07      ,7.58                   ,10.98             ,24.65                  ,8.23                   ,Metals & Mining                               ,NYSE    ,SIBANYE GOLD LTD         ,Gold                               ,0.43    ,9.40          ,8.83  ,4400    ,2451595      ,1930013     ,84.88                   ,107.82                 ,No        ,9.43  ,9.44  ,8.84  ,61.26                 ,2325012       ,2147881    ,89.51                    ,96.89                 ,No                ,Materials                 ,4.60          ,9.40      ,8.78  ,2800    ,2348879     ,73.27                     ,88.60                  ,22.07M         ,No                  ,-- ,--       ,--                 ,--             ,50.00                 ,50.00           ,--                     ,--              ,2                 ,2.50              ,221.82M   ,2.12B  ,221.82M ,929M              ,1.09    ,1.09      ,0.21      ,--          ,0.49      ,0.69      ,--        ,9.75                        ,0.80    ,--                ,-0.57  ,+0.97                  ,+14.28                     ,-0.0708                ,+12.24                  ,-0.51                ,0.00                 ,-29.58               ,-0.11     ,9.59         ,9.59     ,11.53                  ,7.22      ,6.16     ,92.42                   ,-5.45                        ,-6.06   ,+0.03  ,+1.46                  ,-0.01                 ,+1.2077                ,-0.75                    ,+33.14               ,+15.32               ,-2.41                ,+19.24            ,1               ,9.59      ,9.59    ,9.20        ,7.22    ,-2.62                ,0.61           ,-0.60    ,+0.32,+0.418                  ,+1.1745                  ,+14.74                   ,+1.0248               ,-38.73               ,+89.49               ,-46.55               ,+8.67             ,9.59       ,20.97     ,8.48     ,7.22   ,0.66         ,97.00            ,-0.05         ,0.37              ,--                   ,8.64                     ,1.90            ,49.24        ,--                   ,4.12     ,8.73      ,8.47      ,8.98       ,8.50      ,9.13       ,72.85                ,48.86     ,18.43                   ,67.93,9.37                ,1.49                      ,1.44           ,8.36      ,11.80      ,8.35      ,8.47      ,9.43       ,52.09     ,51.13                ,23.56         ,82.11,0.07       ,0.24           ,2.37                      ,8.23      ,8.45       ,8.55      ,56.63                ,29.79                   ,87.77   ,7.08                   ,0.72           ,0.84                      ,3450.15   , 
GG    ,-5.59      ,14.95     ,14745548  ,84.47    ,13.75B    ,147            ,+1.97                     ,38.52     ,15.53     ,-0.04,-75.00      ,7.73                   ,-11.34            ,21.00                  ,15.25                  ,Metals & Mining                               ,NYSE    ,GOLDCORP INC             ,Gold                               ,0.08    ,16.05         ,14.94 ,6300    ,8238800      ,8584261     ,178.98                  ,171.77                 ,No        ,15.83 ,16.02 ,14.95 ,63.13                 ,8789571       ,8641563    ,167.76                   ,170.64                ,No                ,Materials                 ,0.50          ,16.05     ,14.86 ,3900    ,8733961     ,181.09                    ,168.83                 ,131.17M        ,No                  ,NC ,***      ,B-                 ,15.38          ,30.77                 ,53.85           ,--                     ,--              ,26                ,2.38              ,162.00M   ,3.51B  ,162.00M ,855.35M           ,0.19    ,0.19      ,-5.03     ,0.37        ,-2.66     ,-3.34     ,1.95      ,10.00                       ,4.62    ,402.89            ,-1.10  ,-0.66                  ,+5.21                      ,+1.14                  ,+2.29                   ,-16.22               ,-60.99               ,-4.80                ,+0.12     ,16.38        ,17.13    ,4.36                   ,14.46     ,11.91    ,92.27                   ,2.41                         ,-6.88   ,-0.22  ,+1.30                  ,-0.06                 ,+0.66                  ,+7.66                    ,+18.18               ,-34.51               ,+21.11               ,+1.23             ,17              ,16.38     ,17.87   ,16.02       ,14.46   ,-2.95                ,1.08           ,-0.88    ,-1.37,+0.31                   ,+0.80                    ,+4.25                    ,+0.36                 ,+0.91                ,-48.98               ,+4.95                ,+0.75             ,16.38      ,20.38     ,15.48    ,13.65  ,1.17         ,95.00            ,-0.09         ,3.66              ,--                   ,84.47                    ,1.03            ,20.55        ,43.54                ,3.91     ,15.61     ,15.89     ,14.77      ,15.55     ,15.37      ,61.88                ,48.37     ,31.00                   ,25.00,16.22               ,0.03                      ,1.07           ,15.64     ,15.92      ,15.31     ,15.49     ,15.39      ,46.71     ,52.70                ,11.31         ,62.37,-0.09      ,-0.85          ,2.89                      ,15.25     ,14.76      ,15.44     ,54.27                ,24.70                   ,75.71   ,14.29                  ,-1.01          ,0.29                      ,-13490.84 , 
SNX   ,-5.52      ,111.49    ,412458    ,20.11    ,4.72B     ,55             ,+2.15                     ,29.97     ,116.91    ,-0.92,-80.49      ,25.56                  ,2.83              ,15.91                  ,117.49                 ,Electronic Equipment Instruments & Components ,NYSE    ,SYNNEX CORP              ,Technology Distributors            ,1.00    ,118.32        ,111.46,100     ,160013       ,197387      ,257.77                  ,208.96                 ,No        ,118.00,118.74,111.56,73.86                 ,137458        ,181921     ,300.06                   ,226.72                ,Yes               ,Information Technology    ,0.80          ,118.32    ,109.00,100     ,135356      ,201.30                    ,304.72                 ,18.63M         ,No                  ,A  ,***      ,B+                 ,--             ,--                    ,100.00          ,--                     ,--              ,4                 ,3.00              ,235.00M   ,14.06B ,235.00M ,39.92M            ,5.88    ,5.88      ,5.24      ,7.62        ,4.57      ,3.02      ,3.96      ,2.00                        ,1.67    ,133.29            ,-6.83  ,-6.76                  ,+0.71                      ,+2.57                  ,-1.06                   ,+50.25               ,+178.99              ,+29.16               ,+1.07     ,118.67       ,121.76   ,10.50                  ,114.27    ,77.54    ,74.44                   ,5.05                         ,-5.77   ,-0.32  ,-10.63                 ,-0.03                 ,+0.45                  ,+2.22                    ,-2.04                ,+95.84               ,+0.20                ,+12.45            ,1               ,119.81    ,129.23  ,115.70      ,114.27  ,-31.46               ,7.25           ,-6.51    ,-0.27,+2.49                   ,+0.83                    ,+0.38                    ,-1.27                 ,+22.76               ,+197.79              ,+10.60               ,+4.86             ,121.76     ,129.24    ,114.27   ,114.27 ,9.74         ,21.00            ,-2.49         ,0.87              ,--                   ,20.11                    ,3.93            ,30.86        ,15.52                ,0.34     ,117.26    ,118.74    ,116.43     ,117.25    ,116.58     ,52.82                ,45.60     ,34.15                   ,19.51,121.39              ,-0.55                     ,-11.32         ,119.48    ,110.47     ,117.12    ,118.16    ,115.50     ,40.74     ,51.51                ,43.58         ,36.41,-0.58      ,-8.16          ,-3.64                     ,117.49    ,118.57     ,118.07    ,50.01                ,13.42                   ,35.77   ,113.59                 ,-5.43          ,-1.80                     ,65.33     , 
SVMLF ,-5.14      ,3.32      ,130740    ,20.92    ,594.40M   ,21             ,+2.07                     ,40.47     ,3.55      ,-0.03,-92.98      ,13.79                  ,-0.23             ,12.19                  ,3.58                   ,Metals & Mining                               ,OTC     ,SILVERCORP METALS INC    ,Silver                             ,0.01    ,3.55          ,3.33  ,1100    ,91106        ,190601      ,143.50                  ,68.59                  ,No        ,3.50  ,3.57  ,3.35  ,23.07                 ,173123        ,225331     ,75.52                    ,58.02                 ,No                ,Materials                 ,0.40          ,3.55      ,3.28  ,300     ,195433      ,127.91                    ,66.90                  ,321.00K        ,No                  ,-- ,--       ,--                 ,--             ,--                    ,--              ,100.00                 ,--              ,1                 ,4.00              ,9.94M     ,107.94M,9.94M   ,167.4M            ,0.17    ,0.04      ,-0.60     ,0.19        ,-0.24     ,0.16      ,0.43      ,65.00                       ,5.87    ,101.45            ,-0.23  ,-0.45                  ,-0.77                      ,+0.5632                ,+4.97                   ,+179.82              ,-46.36               ,+132.67              ,+1.34     ,3.56         ,4.45     ,0.93                   ,3.33      ,0.91     ,86.21                   ,6.49                         ,-6.48   ,-0.05  ,+0.99                  ,-0.09                 ,-0.0859                ,+18.86                   ,+51.36               ,+80.91               ,+51.57               ,+16.09            ,4               ,3.73      ,4.50    ,3.46        ,3.33    ,-2.37                ,0.25           ,-0.18    ,-1.41,+0.072                  ,-0.0275                  ,-2.36                    ,+0.1681               ,+177.87              ,-7.41                ,+44.34               ,+10.13            ,4.05       ,4.50      ,3.39     ,2.33   ,0.29         ,99.00            ,-0.04         ,0.91              ,--                   ,94.90                    ,2.54            ,--           ,18.68                ,5.51     ,3.54      ,3.50      ,2.96       ,3.57      ,--         ,48.30                ,--        ,27.87                   ,7.02 ,3.92                ,-0.11                     ,0.82           ,3.36      ,2.95       ,3.54      ,3.45      ,--         ,49.07     ,50.00                ,17.61         ,26.32,--         ,0.40           ,1.31                      ,3.58      ,3.02       ,3.39      ,51.95                ,19.52                   ,30.37   ,3.24                   ,-0.53          ,0.68                      ,-3.81     , 
PGNX  ,-4.79      ,10.33     ,979649    ,72.27    ,760.86M   ,80             ,-1.04                     ,37.99     ,11.00     ,0.16 ,-92.67      ,11.83                  ,4.05              ,29.60                  ,11.15                  ,Biotechnology                                 ,NCM     ,PROGENICS PHARMACEUTICAL ,Biotechnology                      ,--      ,10.84         ,10.32 ,200     ,1074354      ,1312297     ,91.18                   ,74.65                  ,No        ,10.85 ,11.15 ,10.33 ,79.74                 ,1214876       ,1370597    ,80.64                    ,71.48                 ,No                ,Health Care               ,--            ,10.84     ,10.22 ,400     ,1302255     ,73.38                     ,75.23                  ,11.87M         ,Yes                 ,C  ,--       ,C                  ,100.00         ,--                    ,--              ,--                     ,--              ,5                 ,1.00              ,10.73M    ,69.43M ,10.73M  ,70.19M            ,0.15    ,0.15      ,-0.56     ,-0.60       ,0.06      ,-0.76     ,-1.02     ,296.40                      ,15.56   ,1197.05           ,-0.51  ,-1.05                  ,-2.81                      ,+2.42                  ,+8.56                   ,+88.61               ,+18.53               ,+123.68              ,+3.24     ,11.20        ,11.72    ,0.39                   ,10.63     ,3.80     ,88.17                   ,8.24                         ,-4.70   ,+0.01  ,+1.53                  ,-0.05                 ,-0.32                  ,+28.72                   ,+25.46               ,+163.08              ,+25.59               ,+11.00            ,8               ,11.48     ,11.72   ,10.79       ,10.06   ,-6.42                ,0.82           ,-0.52    ,+0.09,-0.11                   ,-0.31                    ,-2.88                    ,+0.85                 ,+167.46              ,+121.22              ,+78.98               ,+6.50             ,11.72      ,11.54     ,10.79    ,8.14   ,0.93         ,90.00            ,-0.11         ,3.13              ,--                   ,72.27                    ,12.46           ,47.21        ,--                   ,10.96    ,11.11     ,10.19     ,8.68       ,10.94     ,9.36       ,46.09                ,54.25     ,22.37                   ,7.33 ,11.76               ,-0.38                     ,1.50           ,9.97      ,7.53       ,11.18     ,10.33     ,9.05       ,51.37     ,56.79                ,13.68         ,26.29,0.31       ,2.01           ,1.81                      ,11.15     ,9.24       ,10.12     ,55.20                ,16.98                   ,38.83   ,10.55                  ,-0.91          ,2.27                      ,672.85    , 
HQY   ,-4.79      ,39.19     ,553412    ,93.82    ,2.46B     ,81             ,-0.41                     ,30.82     ,42.77     ,-0.69,-83.76      ,15.04                  ,0.54              ,19.74                  ,43.33                  ,Health Care Providers & Services              ,NASDAQ  ,HEALTHEQUITY INC         ,Managed Health Care                ,--      ,41.28         ,39.16 ,400     ,1011794      ,583944      ,54.70                   ,94.77                  ,No        ,41.16 ,41.45 ,39.20 ,78.11                 ,636179        ,603364     ,86.99                    ,91.72                 ,No                ,Health Care               ,--            ,41.28     ,38.79 ,300     ,643216      ,45.93                     ,86.04                  ,42.61M         ,Yes                 ,B  ,--       ,--                 ,60.00          ,30.00                 ,10.00           ,--                     ,--              ,10                ,1.50              ,26.38M    ,178.37M,26.38M  ,59.54M            ,0.44    ,0.44      ,0.28      ,0.64        ,0.21      ,-1.26     ,0.25      ,34.00                       ,14.79   ,--                ,-2.09  ,-4.97                  ,-4.72                      ,+0.23                  ,-7.22                   ,+55.56               ,0.00                 ,+69.31               ,+1.78     ,41.35        ,47.34    ,7.80                   ,37.61     ,21.42    ,84.96                   ,10.23                        ,-5.06   ,-0.12  ,-1.77                  ,-0.10                 ,-2.23                  ,+0.56                    ,+1.88                ,0.00                 ,-1.86                ,+11.33            ,6               ,47.34     ,49.25   ,37.61       ,37.61   ,-17.37               ,2.26           ,-1.97    ,-0.29,-0.17                   ,-2.05                    ,-5.12                    ,-3.21                 ,+78.92               ,0.00                 ,+34.21               ,+10.57            ,47.34      ,49.25     ,37.61    ,37.61  ,2.66         ,29.00            ,-0.40         ,4.06              ,--                   ,93.82                    ,12.79           ,--           ,64.09                ,13.78    ,43.45     ,44.50     ,41.49      ,43.02     ,41.89      ,38.07                ,46.50     ,29.37                   ,16.24,47.03               ,-2.68                     ,-1.99          ,44.34     ,37.45      ,43.20     ,43.34     ,41.13      ,42.12     ,49.07                ,35.86         ,19.76,-0.21      ,-6.89          ,0.23                      ,43.33     ,42.61      ,43.16     ,45.77                ,13.87                   ,21.96   ,39.62                  ,-4.51          ,-6.10                     ,54.73     , 
HMY   ,-4.44      ,2.37      ,3467480   ,5.74     ,1.09B     ,27             ,+3.32                     ,48.10     ,2.39      ,-0.03,-35.42      ,23.53                  ,-12.52            ,18.83                  ,2.34                   ,Metals & Mining                               ,NYSE    ,HARMONY GOLD MINING CO LT,Gold                               ,0.07    ,2.49          ,2.37  ,34300   ,4591642      ,5413849     ,75.52                   ,64.05                  ,No        ,2.48  ,2.50  ,2.38  ,88.67                 ,5839091       ,5682564    ,59.38                    ,61.02                 ,No                ,Materials                 ,3.00          ,2.49      ,2.33  ,10700   ,5923313     ,81.44                     ,58.54                  ,11.13M         ,No                  ,-- ,--       ,--                 ,--             ,--                    ,50.00           ,50.00                  ,--              ,2                 ,3.50              ,65.58M    ,1.27B  ,65.58M  ,439.79M           ,0.43    ,0.15      ,-0.72     ,--          ,-0.20     ,-0.38     ,0.42      ,42.70                       ,0.36    ,46.58             ,-0.12  ,-0.05                  ,+6.39                      ,-0.168                 ,-0.52                   ,+30.25               ,-77.19               ,-17.48               ,-1.78     ,2.54         ,2.82     ,2.37                   ,2.06      ,1.86     ,76.47                   ,-1.27                        ,-4.82   ,-0.01  ,+0.12                  ,-0.04                 ,+0.1236                ,-6.32                    ,+14.41               ,-23.79               ,+9.65                ,+9.44             ,2               ,2.54      ,2.99    ,2.46        ,2.06    ,-0.47                ,0.13           ,-0.11    ,-0.40,+0.08                   ,+0.1495                  ,+5.22                    ,-0.0131               ,-34.18               ,-61.48               ,-28.46               ,+7.10             ,2.57       ,4.87      ,2.31     ,2.06   ,0.17         ,90.00            ,-0.04         ,0.25              ,--                   ,16.92                    ,0.59            ,7.24         ,--                   ,0.86     ,2.41      ,2.51      ,2.57       ,2.40      ,2.59       ,55.02                ,47.57     ,26.07                   ,64.58,2.59                ,0.04                      ,0.02           ,2.50      ,3.12       ,2.34      ,2.46      ,2.65       ,47.92     ,48.83                ,18.68         ,76.03,-0.04      ,-0.12          ,0.31                      ,2.34      ,2.46       ,2.48      ,50.11                ,17.86                   ,74.67   ,2.09                   ,-0.13          ,0.05                      ,-9811.26  , 
GFI   ,-4.22      ,3.515     ,4871623   ,18.20    ,3.01B     ,31             ,+1.93                     ,57.09     ,3.44      ,0.08 ,-21.08      ,23.91                  ,19.74             ,22.50                  ,3.31                   ,Metals & Mining                               ,NYSE    ,GOLD FIELDS LTD          ,Gold                               ,0.08    ,3.64          ,3.51  ,20100   ,5464704      ,6732044     ,89.15                   ,72.36                  ,No        ,3.67  ,3.69  ,3.52  ,81.99                 ,7455501       ,7394845    ,65.34                    ,65.88                 ,No                ,Materials                 ,2.20          ,3.64      ,3.46  ,33600   ,7716011     ,99.44                     ,63.14                  ,19.56M         ,No                  ,-- ,--       ,--                 ,--             ,33.33                 ,33.33           ,33.33                  ,--              ,3                 ,3.00              ,173.70M   ,2.75B  ,173.70M ,821.53M           ,0.20    ,0.20      ,-0.31     ,--          ,0.02      ,-0.40     ,0.53      ,18.42                       ,5.92    ,--                ,-0.125 ,+0.455                 ,+9.90                      ,+0.0401                ,+8.05                   ,-17.58               ,-68.47               ,-11.68               ,-0.96     ,3.68         ,3.68     ,2.91                   ,2.86      ,2.60     ,76.09                   ,-4.19                        ,-3.43   ,+0.03  ,+0.385                 ,-0.01                 ,+0.3655                ,+1.11                    ,+22.74               ,-7.15                ,+0.65                ,+6.07             ,4               ,3.68      ,3.74    ,3.59        ,2.86    ,-0.86                ,0.175          ,-0.155   ,+0.82,+0.069                  ,+0.3278                  ,+11.16                   ,+0.271                ,-1.25                ,-53.85               ,-38.19               ,+2.84             ,3.68       ,6.60      ,3.48     ,2.86   ,0.23         ,94.00            ,-0.055        ,0.79              ,--                   ,18.20                    ,1.09            ,47.18        ,--                   ,1.09     ,3.53      ,3.38      ,3.46       ,3.40      ,3.52       ,67.30                ,49.97     ,19.25                   ,78.92,3.77                ,0.67                      ,0.33           ,3.37      ,4.24       ,3.37      ,3.37      ,3.59       ,52.54     ,51.30                ,10.73         ,86.58,0.04       ,0.13           ,0.64                      ,3.31      ,3.31       ,3.39      ,55.12                ,23.87                   ,90.08   ,2.86                   ,0.43           ,0.18                      ,19354.63  , 
IVPAF ,-4.10      ,3.28      ,240390    ,3.80     ,2.69B     ,15             ,0.00                      ,49.50     ,3.31      ,0.08 ,-39.77      ,15.38                  ,23.26             ,43.53                  ,3.19                   ,Metals & Mining                               ,OTC     ,IVANHOE MINES LTD        ,Diversified Metals & Mining        ,--      ,3.45          ,3.26  ,200     ,226039       ,217339      ,106.35                  ,110.61                 ,No        ,3.4203,3.4451,3.29  ,27.20                 ,234343        ,262681     ,102.58                   ,91.51                 ,No                ,Materials                 ,--            ,3.45      ,3.25  ,300     ,274976      ,380.63                    ,87.42                  ,792.00K        ,No                  ,-- ,--       ,--                 ,57.14          ,28.57                 ,14.29           ,--                     ,--              ,7                 ,1.57              ,689.03M   ,--     ,689.03M ,785.1M            ,0.91    ,0.93      ,-0.34     ,-0.04       ,-0.68     ,-0.38     ,-0.30     ,-167.29                     ,--      ,--                ,-0.17  ,+0.30                  ,+8.12                      ,+1.1289                ,+12.77                  ,+313.22              ,0.00                 ,+300.92              ,+1.29     ,3.45         ,3.63     ,0.4449                 ,--        ,2.77     ,84.62                   ,-1.16                        ,-4.93   ,-0.0297,+1.29                  ,-0.07                 ,+0.2786                ,+48.63                   ,+81.58               ,+131.57              ,+63.08               ,+94.61            ,4               ,3.63      ,3.89    ,3.37        ,--      ,-0.48                ,0.1651         ,-0.1403  ,-0.86,0.00                    ,+0.259                   ,+8.79                    ,+0.3907               ,+443.03              ,-23.41               ,+106.81              ,+107.43           ,3.63       ,3.89      ,3.32     ,--     ,0.1951       ,--               ,-0.03         ,0.16              ,--                   ,3.72                     ,2.46            ,2.66         ,--                   ,--       ,3.37      ,3.22      ,2.40       ,3.29      ,2.68       ,58.19                ,56.43     ,37.75                   ,60.23,3.66                ,0.37                      ,1.36           ,3.04      ,1.91       ,3.24      ,3.07      ,2.54       ,54.53     ,58.53                ,26.36         ,73.11,0.06       ,0.23           ,1.61                      ,3.19      ,2.55       ,2.99      ,57.57                ,22.00                   ,81.06   ,2.73                   ,0.40           ,0.29                      ,656.08    , 
