Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                       ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                    ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change ,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap    ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
SBGL  ,-6.52      ,8.815     ,2103348   ,8.64     ,2.22B     ,103            ,+4.69                     ,56.42     ,8.58      ,0.20 ,-32.70      ,5.30                   ,10.60             ,24.65                  ,8.22                   ,Metals & Mining                               ,NYSE    ,SIBANYE GOLD LTD         ,Gold                               ,0.43    ,9.40          ,8.81  ,1000    ,2451595      ,1930013     ,85.80                   ,108.98                 ,No        ,9.43  ,9.44  ,8.82  ,61.26                 ,2325012       ,2147881    ,90.47                    ,97.93                 ,No                ,Materials                 ,4.60          ,9.40      ,8.78  ,2300    ,2348879     ,74.06                     ,89.55                  ,22.07M         ,No                  ,-- ,--       ,--                 ,--             ,50.00                 ,50.00           ,--                     ,--              ,2                 ,2.50              ,221.82M   ,2.12B  ,221.82M ,929M              ,1.09    ,1.09      ,0.21      ,--          ,0.49      ,0.69      ,--        ,9.75                        ,0.80    ,--                ,-0.585 ,+0.955                 ,+14.29                     ,-0.0708                ,+12.24                  ,-0.51                ,0.00                 ,-29.58               ,-0.11     ,9.59         ,9.59     ,11.53                  ,7.22      ,6.16     ,94.70                   ,-5.30                        ,-6.22   ,+0.03  ,+1.445                 ,-0.01                 ,+1.2077                ,-0.75                    ,+33.14               ,+15.32               ,-2.41                ,+19.24            ,1               ,9.59      ,9.59    ,9.20        ,7.22    ,-2.62                ,0.625          ,-0.615   ,+0.32,+0.421                  ,+1.1753                  ,+14.74                   ,+1.0248               ,-38.73               ,+89.49               ,-46.55               ,+8.67             ,9.59       ,20.97     ,8.48     ,7.22   ,0.66         ,97.00            ,-0.035        ,0.37              ,--                   ,8.64                     ,1.90            ,49.24        ,--                   ,4.12     ,8.73      ,8.47      ,8.98       ,8.50      ,9.13       ,72.85                ,48.80     ,18.43                   ,67.30,9.37                ,1.49                      ,1.43           ,8.36      ,11.80      ,8.35      ,8.47      ,9.43       ,51.98     ,51.13                ,23.56         ,81.90,0.07       ,0.23           ,2.37                      ,8.22      ,8.45       ,8.55      ,56.63                ,29.79                   ,87.70   ,7.08                   ,0.71           ,0.84                      ,3335.58   , 
GG    ,-5.46      ,14.97     ,14874796  ,84.47    ,13.75B    ,147            ,+1.94                     ,38.87     ,15.54     ,-0.04,-73.63      ,9.44                   ,-10.85            ,21.00                  ,15.26                  ,Metals & Mining                               ,NYSE    ,GOLDCORP INC             ,Gold                               ,0.08    ,16.05         ,14.96 ,7000    ,8238800      ,8584261     ,180.55                  ,173.28                 ,No        ,15.83 ,16.02 ,14.97 ,63.13                 ,8789571       ,8641563    ,169.23                   ,172.13                ,No                ,Materials                 ,0.50          ,16.05     ,14.86 ,3400    ,8733961     ,182.68                    ,170.31                 ,131.17M        ,No                  ,NC ,***      ,B-                 ,15.38          ,30.77                 ,53.85           ,--                     ,--              ,26                ,2.38              ,162.00M   ,3.51B  ,162.00M ,855.35M           ,0.19    ,0.19      ,-5.03     ,0.37        ,-2.66     ,-3.34     ,1.95      ,10.00                       ,4.62    ,402.89            ,-1.08  ,-0.64                  ,+5.21                      ,+1.14                  ,+2.29                   ,-16.22               ,-60.99               ,-4.80                ,+0.12     ,16.38        ,17.13    ,4.36                   ,14.46     ,11.91    ,90.56                   ,2.29                         ,-6.76   ,-0.22  ,+1.32                  ,-0.06                 ,+0.66                  ,+7.66                    ,+18.18               ,-34.51               ,+21.11               ,+1.23             ,17              ,16.38     ,17.87   ,16.02       ,14.46   ,-2.95                ,1.06           ,-0.86    ,-1.37,+0.30                   ,+0.79                    ,+4.25                    ,+0.36                 ,+0.91                ,-48.98               ,+4.95                ,+0.75             ,16.38      ,20.38     ,15.48    ,13.65  ,1.17         ,95.00            ,-0.11         ,3.66              ,--                   ,84.47                    ,1.03            ,20.55        ,43.54                ,3.91     ,15.61     ,15.89     ,14.77      ,15.55     ,15.37      ,61.88                ,48.47     ,31.00                   ,26.38,16.22               ,0.03                      ,1.10           ,15.64     ,15.92      ,15.31     ,15.49     ,15.39      ,46.87     ,52.70                ,11.31         ,62.83,-0.09      ,-0.82          ,2.89                      ,15.26     ,14.76      ,15.44     ,54.27                ,24.70                   ,75.87   ,14.30                  ,-0.98          ,0.29                      ,-12927.38 , 
SNX   ,-5.40      ,111.63    ,413911    ,20.11    ,4.72B     ,55             ,+2.13                     ,30.24     ,116.92    ,-0.91,-79.39      ,27.00                  ,3.31              ,15.91                  ,117.49                 ,Electronic Equipment Instruments & Components ,NYSE    ,SYNNEX CORP              ,Technology Distributors            ,1.00    ,118.32        ,111.56,100     ,160013       ,197387      ,258.67                  ,209.70                 ,No        ,118.00,118.74,111.78,73.86                 ,137458        ,181921     ,301.12                   ,227.52                ,Yes               ,Information Technology    ,0.80          ,118.32    ,109.00,100     ,135356      ,202.01                    ,305.79                 ,18.63M         ,No                  ,A  ,***      ,B+                 ,--             ,--                    ,100.00          ,--                     ,--              ,4                 ,3.00              ,235.00M   ,14.06B ,235.00M ,39.92M            ,5.88    ,5.88      ,5.24      ,7.62        ,4.57      ,3.02      ,3.96      ,2.00                        ,1.67    ,133.29            ,-6.69  ,-6.62                  ,+0.70                      ,+2.57                  ,-1.06                   ,+50.25               ,+178.99              ,+29.16               ,+1.07     ,118.67       ,121.76   ,10.50                  ,114.27    ,77.54    ,73.00                   ,4.93                         ,-5.65   ,-0.32  ,-10.49                 ,-0.03                 ,+0.45                  ,+2.22                    ,-2.04                ,+95.84               ,+0.20                ,+12.45            ,1               ,119.81    ,129.23  ,115.70      ,114.27  ,-31.46               ,7.11           ,-6.37    ,-0.27,+2.47                   ,+0.83                    ,+0.38                    ,-1.27                 ,+22.76               ,+197.79              ,+10.60               ,+4.86             ,121.76     ,129.24    ,114.27   ,114.27 ,9.74         ,21.00            ,-2.63         ,0.87              ,--                   ,20.11                    ,3.93            ,30.86        ,15.52                ,0.34     ,117.28    ,118.75    ,116.43     ,117.26    ,116.58     ,52.82                ,45.71     ,34.15                   ,20.61,121.35              ,-0.55                     ,-11.18         ,119.48    ,110.47     ,117.13    ,118.16    ,115.50     ,40.90     ,51.51                ,43.58         ,36.78,-0.58      ,-8.02          ,-3.64                     ,117.49    ,118.57     ,118.07    ,50.01                ,13.42                   ,35.89   ,113.64                 ,-5.29          ,-1.80                     ,76.52     , 
HQY   ,-4.49      ,39.31     ,568980    ,93.82    ,2.46B     ,81             ,-0.47                     ,31.16     ,42.78     ,-0.68,-82.53      ,19.55                  ,0.94              ,19.74                  ,43.33                  ,Health Care Providers & Services              ,NASDAQ  ,HEALTHEQUITY INC         ,Managed Health Care                ,--      ,41.28         ,39.29 ,100     ,1011794      ,583944      ,56.23                   ,97.44                  ,No        ,41.16 ,41.45 ,39.31 ,78.11                 ,636179        ,603364     ,89.44                    ,94.30                 ,No                ,Health Care               ,--            ,41.28     ,38.79 ,800     ,643216      ,47.22                     ,88.46                  ,42.61M         ,Yes                 ,B  ,--       ,--                 ,60.00          ,30.00                 ,10.00           ,--                     ,--              ,10                ,1.50              ,26.38M    ,178.37M,26.38M  ,59.54M            ,0.44    ,0.44      ,0.28      ,0.64        ,0.21      ,-1.26     ,0.25      ,34.00                       ,14.79   ,--                ,-1.97  ,-4.85                  ,-4.74                      ,+0.23                  ,-7.22                   ,+55.56               ,0.00                 ,+69.31               ,+1.78     ,41.35        ,47.34    ,7.80                   ,37.61     ,21.42    ,80.45                   ,9.91                         ,-4.77   ,-0.12  ,-1.65                  ,-0.10                 ,-2.23                  ,+0.56                    ,+1.88                ,0.00                 ,-1.86                ,+11.33            ,6               ,47.34     ,49.25   ,37.61       ,37.61   ,-17.37               ,2.14           ,-1.85    ,-0.29,-0.19                   ,-2.05                    ,-5.12                    ,-3.21                 ,+78.92               ,0.00                 ,+34.21               ,+10.57            ,47.34      ,49.25     ,37.61    ,37.61  ,2.66         ,29.00            ,-0.52         ,4.06              ,--                   ,93.82                    ,12.79           ,--           ,64.09                ,13.78    ,43.46     ,44.50     ,41.49      ,43.04     ,41.89      ,38.07                ,46.64     ,29.37                   ,17.47,47.01               ,-2.68                     ,-1.87          ,44.34     ,37.45      ,43.21     ,43.34     ,41.13      ,42.31     ,49.07                ,35.86         ,20.17,-0.21      ,-6.77          ,0.23                      ,43.33     ,42.62      ,43.17     ,45.77                ,13.87                   ,22.10   ,39.65                  ,-4.39          ,-6.10                     ,95.17     , 
GFI   ,-4.36      ,3.51      ,4932598   ,18.20    ,3.01B     ,31             ,+1.96                     ,56.74     ,3.44      ,0.08 ,-21.69      ,21.74                  ,19.48             ,22.50                  ,3.31                   ,Metals & Mining                               ,NYSE    ,GOLD FIELDS LTD          ,Gold                               ,0.08    ,3.64          ,3.50  ,45400   ,5464704      ,6732044     ,90.26                   ,73.27                  ,No        ,3.67  ,3.69  ,3.51  ,81.99                 ,7455501       ,7394845    ,66.16                    ,66.70                 ,No                ,Materials                 ,2.20          ,3.64      ,3.46  ,31900   ,7716011     ,100.69                    ,63.93                  ,19.56M         ,No                  ,-- ,--       ,--                 ,--             ,33.33                 ,33.33           ,33.33                  ,--              ,3                 ,3.00              ,173.70M   ,2.75B  ,173.70M ,821.53M           ,0.20    ,0.20      ,-0.31     ,--          ,0.02      ,-0.40     ,0.53      ,18.42                       ,5.92    ,--                ,-0.13  ,+0.45                  ,+9.90                      ,+0.0401                ,+8.05                   ,-17.58               ,-68.47               ,-11.68               ,-0.96     ,3.68         ,3.68     ,2.91                   ,2.86      ,2.60     ,78.26                   ,-4.06                        ,-3.57   ,+0.03  ,+0.38                  ,-0.01                 ,+0.3655                ,+1.11                    ,+22.74               ,-7.15                ,+0.65                ,+6.07             ,4               ,3.68      ,3.74    ,3.59        ,2.86    ,-0.86                ,0.18           ,-0.16    ,+0.82,+0.07                   ,+0.328                   ,+11.16                   ,+0.271                ,-1.25                ,-53.85               ,-38.19               ,+2.84             ,3.68       ,6.60      ,3.48     ,2.86   ,0.23         ,94.00            ,-0.05         ,0.79              ,--                   ,18.20                    ,1.09            ,47.18        ,--                   ,1.09     ,3.53      ,3.38      ,3.46       ,3.40      ,3.52       ,67.30                ,49.92     ,19.25                   ,78.31,3.77                ,0.67                      ,0.32           ,3.37      ,4.24       ,3.37      ,3.37      ,3.59       ,52.44     ,51.30                ,10.73         ,86.38,0.04       ,0.12           ,0.64                      ,3.31      ,3.31       ,3.39      ,55.12                ,23.87                   ,90.01   ,2.86                   ,0.42           ,0.18                      ,19108.36  , 
IVPAF ,-4.10      ,3.28      ,240390    ,3.80     ,2.69B     ,15             ,0.00                      ,49.50     ,3.31      ,0.08 ,-39.77      ,15.38                  ,23.26             ,43.53                  ,3.19                   ,Metals & Mining                               ,OTC     ,IVANHOE MINES LTD        ,Diversified Metals & Mining        ,--      ,3.45          ,3.27  ,200     ,226039       ,217339      ,106.35                  ,110.61                 ,No        ,3.4203,3.4451,3.29  ,27.20                 ,234343        ,262681     ,102.58                   ,91.51                 ,No                ,Materials                 ,--            ,3.45      ,3.25  ,200     ,274976      ,380.63                    ,87.42                  ,792.00K        ,No                  ,-- ,--       ,--                 ,57.14          ,28.57                 ,14.29           ,--                     ,--              ,7                 ,1.57              ,689.03M   ,--     ,689.03M ,785.1M            ,0.91    ,0.93      ,-0.34     ,-0.04       ,-0.68     ,-0.38     ,-0.30     ,-167.29                     ,--      ,--                ,-0.17  ,+0.30                  ,+8.12                      ,+1.1289                ,+12.77                  ,+313.22              ,0.00                 ,+300.92              ,+1.29     ,3.45         ,3.63     ,0.4449                 ,--        ,2.77     ,84.62                   ,-1.16                        ,-4.93   ,-0.0297,+1.29                  ,-0.07                 ,+0.2786                ,+48.63                   ,+81.58               ,+131.57              ,+63.08               ,+94.61            ,4               ,3.63      ,3.89    ,3.37        ,--      ,-0.48                ,0.1651         ,-0.1403  ,-0.86,0.00                    ,+0.259                   ,+8.79                    ,+0.3907               ,+443.03              ,-23.41               ,+106.81              ,+107.43           ,3.63       ,3.89      ,3.32     ,--     ,0.1951       ,--               ,-0.03         ,0.16              ,--                   ,3.72                     ,2.46            ,2.66         ,--                   ,--       ,3.37      ,3.22      ,2.40       ,3.29      ,2.68       ,58.19                ,56.43     ,37.75                   ,60.23,3.66                ,0.37                      ,1.36           ,3.04      ,1.91       ,3.24      ,3.07      ,2.54       ,54.53     ,58.53                ,26.36         ,73.11,0.06       ,0.23           ,1.61                      ,3.19      ,2.55       ,2.99      ,57.57                ,22.00                   ,81.06   ,2.73                   ,0.40           ,0.29                      ,656.08    , 
AU    ,-3.94      ,10.98     ,1955587   ,75.93    ,4.75B     ,88             ,+2.46                     ,49.54     ,10.97     ,-0.12,-31.05      ,17.54                  ,-4.11             ,22.86                  ,10.63                  ,Metals & Mining                               ,NYSE    ,ANGLOGOLD ASHANTI LTD    ,Gold                               ,0.10    ,11.39         ,10.97 ,2500    ,3200846      ,4115343     ,61.10                   ,47.52                  ,No        ,11.43 ,11.45 ,10.98 ,75.97                 ,3812603       ,4057763    ,51.29                    ,48.19                 ,No                ,Materials                 ,0.90          ,11.39     ,10.88 ,4800    ,3866330     ,69.01                     ,50.58                  ,35.78M         ,No                  ,-- ,--       ,--                 ,--             ,--                    ,100.00          ,--                     ,--              ,4                 ,3.00              ,80.00M    ,4.09B  ,80.00M  ,408.81M           ,0.15    ,0.15      ,-0.21     ,--          ,-0.14     ,-6.92     ,1.77      ,24.32                       ,1.54    ,81.70             ,-0.41  ,+0.14                  ,+7.11                      ,-0.88                  ,-2.92                   ,+12.44               ,-69.83               ,-17.94               ,-1.33     ,11.57        ,11.99    ,11.46                  ,9.67      ,9.28     ,82.46                   ,-2.82                        ,-3.60   ,+0.04  ,+0.19                  ,-0.03                 ,+0.70                  ,-7.18                    ,+9.34                ,-34.35               ,+0.73                ,+3.11             ,1               ,11.57     ,13.68   ,11.33       ,9.67    ,-1.60                ,0.47           ,-0.45    ,+0.35,+0.27                   ,+0.76                    ,+6.50                    ,-0.34                 ,-14.18               ,-53.02               ,-31.51               ,+1.11             ,11.57      ,22.91     ,10.76    ,9.67   ,0.57         ,82.00            ,-0.10         ,3.29              ,--                   ,75.93                    ,1.81            ,77.85        ,--                   ,1.14     ,11.04     ,11.75     ,11.88      ,11.01     ,12.04      ,60.17                ,46.21     ,29.38                   ,68.95,11.65               ,0.40                      ,-0.05          ,11.70     ,14.51      ,10.67     ,11.38     ,12.27      ,46.57     ,47.60                ,9.73          ,80.71,-0.26      ,-1.02          ,1.11                      ,10.63     ,11.52      ,11.50     ,49.21                ,24.17                   ,81.92   ,9.62                   ,-0.04          ,-0.61                     ,-2087.23  , 
BSBR  ,-3.23      ,9.00      ,8136044   ,17.55    ,37.46B    ,55             ,+1.10                     ,23.63     ,10.03     ,-0.27,-96.20      ,15.79                  ,-34.78            ,25.60                  ,10.29                  ,Banks                                         ,NYSE    ,BANCO SANTANDER BRASIL  -,Diversified Banks                  ,0.43    ,9.77          ,9.00  ,10900   ,1995395      ,1360022     ,407.74                  ,598.23                 ,No        ,9.30  ,9.32  ,9.01  ,0.62                  ,1565323       ,1447585    ,519.77                   ,562.04                ,No                ,Financials                ,4.40          ,9.77      ,8.94  ,5900    ,1529798     ,282.85                    ,531.84                 ,19.65M         ,No                  ,-- ,--       ,--                 ,--             ,--                    ,--              ,71.43                  ,28.57           ,7                 ,4.29              ,2.13B     ,27.27B ,2.13B   ,7.56B             ,0.56    ,0.56      ,0.74      ,--          ,0.43      ,0.43      ,0.41      ,9.34                        ,5.89    ,--                ,-0.77  ,-2.17                  ,-5.02                      ,+0.9515                ,-5.05                   ,+153.00              ,+53.04               ,+139.81              ,+1.47     ,9.90         ,11.28    ,2.43                   ,9.68      ,4.10     ,84.21                   ,11.58                        ,-7.88   ,-0.47  ,-0.27                  ,-0.10                 ,-0.6782                ,+10.79                   ,+14.55               ,+130.05              ,+38.48               ,+8.49             ,2               ,10.50     ,11.75   ,9.68        ,9.68    ,-4.84                ,0.32           ,-0.30    ,-4.81,+0.106                  ,-0.5165                  ,-6.49                    ,-0.5198               ,+126.53              ,+92.29               ,+63.20               ,+1.12             ,11.28      ,11.75     ,9.68     ,8.98   ,0.38         ,91.00            ,-0.06         ,0.76              ,--                   ,17.55                    ,2.23            ,--           ,--                   ,2.71     ,9.95      ,10.42     ,9.05       ,10.14     ,9.43       ,35.05                ,47.63     ,35.96                   ,3.80 ,11.33               ,-1.35                     ,-0.02          ,10.25     ,7.94       ,10.04     ,10.10     ,9.17       ,41.76     ,51.76                ,49.76         ,9.37 ,-0.14      ,-0.86          ,0.91                      ,10.29     ,9.35       ,9.98      ,47.63                ,12.06                   ,10.00   ,9.24                   ,-1.96          ,-0.25                     ,-10417.15 , 
CRTO  ,-2.81      ,51.10     ,370943    ,41.93    ,3.19B     ,38             ,+2.28                     ,58.46     ,50.19     ,1.28 ,-31.33      ,6.35                   ,6.55              ,17.98                  ,49.70                  ,Internet Software & Services                  ,NASDAQ  ,CRITEO SA                ,Internet Software & Services       ,--      ,52.41         ,51.08 ,100     ,509281       ,653963      ,72.84                   ,56.72                  ,No        ,52.58 ,52.87 ,51.10 ,88.22                 ,595431        ,604491     ,62.30                    ,61.36                 ,No                ,Information Technology    ,--            ,52.41     ,50.98 ,500     ,640715      ,80.88                     ,57.90                  ,26.01M         ,No                  ,-- ,--       ,--                 ,50.00          ,27.78                 ,22.22           ,--                     ,--              ,18                ,1.72              ,87.33M    ,1.80B  ,87.33M  ,60.9M             ,1.25    ,1.25      ,0.91      ,2.45        ,0.72      ,0.03      ,0.02      ,28.25                       ,4.57    ,718.80            ,-1.31  ,+3.60                  ,+5.45                      ,+10.34                 ,+12.67                  ,+19.44               ,0.00                 ,+4.70                ,+2.72     ,52.52        ,52.52    ,-2.58                  ,46.91     ,32.83    ,93.65                   ,-1.93                        ,-2.50   ,+0.17  ,+9.90                  ,+0.01                 ,+2.98                  ,+24.57                   ,+27.58               ,+16.13               ,+13.84               ,+16.26            ,1               ,52.52     ,52.52   ,50.16       ,45.86   ,-18.15               ,1.77           ,-1.48    ,+0.32,+1.17                   ,+2.71                    ,+6.03                    ,+5.90                 ,+29.75               ,0.00                 ,+27.39               ,+8.51             ,52.52      ,50.29     ,48.76    ,41.20  ,1.89         ,95.00            ,-0.12         ,1.82              ,--                   ,41.93                    ,11.66           ,12.73        ,21.39                ,1.77     ,50.50     ,47.17     ,42.77      ,49.72     ,45.05      ,69.15                ,58.32     ,14.53                   ,68.67,52.23               ,2.90                      ,10.07          ,46.50     ,41.82      ,50.11     ,47.46     ,44.44      ,59.41     ,60.47                ,28.13         ,83.09,1.18       ,6.87           ,11.22                     ,49.70     ,44.30      ,46.85     ,63.00                ,25.90                   ,80.32   ,47.17                  ,4.12           ,7.89                      ,442.35    , 
MPEL  ,-2.78      ,18.53     ,5718697   ,55.19    ,9.37B     ,69             ,+1.89                     ,63.47     ,18.06     ,0.53 ,-26.69      ,25.00                  ,4.16              ,22.15                  ,17.61                  ,Hotels Restaurants & Leisure                  ,NASDAQ  ,MELCO CROWN ENTMT LTD    ,Casinos & Gaming                   ,0.17    ,19.04         ,18.53 ,500     ,2538764      ,3923572     ,225.26                  ,145.75                 ,No        ,19.06 ,19.19 ,18.54 ,56.10                 ,2982103       ,4056093    ,191.77                   ,140.99                ,No                ,Consumer Discretionary    ,0.90          ,19.04     ,18.31 ,1000    ,2942227     ,217.84                    ,194.37                 ,47.37M         ,No                  ,-- ,--       ,--                 ,50.00          ,12.50                 ,37.50           ,--                     ,--              ,24                ,1.88              ,66.92M    ,4.52B  ,66.92M  ,491.98M           ,0.34    ,0.34      ,0.19      ,0.57        ,1.10      ,1.15      ,0.76      ,9.34                        ,3.89    ,--                ,-0.51  ,+1.55                  ,+8.10                      ,+2.04                  ,+11.70                  ,-7.04                ,+58.46               ,+23.24               ,+2.04     ,19.10        ,19.32    ,0.81                   ,16.09     ,11.91    ,75.00                   ,-3.77                        ,-2.68   ,+0.02  ,+2.50                  ,0.00                  ,+1.66                  ,+12.01                   ,+29.99               ,-44.27               ,-9.61                ,+1.74             ,3               ,19.10     ,19.32   ,18.19       ,16.00   ,-6.40                ,0.66           ,-0.53    ,+0.11,+0.35                   ,+1.43                    ,+9.57                    ,+1.99                 ,+23.11               ,-1.15                ,+37.21               ,+0.68             ,19.32      ,20.00     ,18.00    ,15.70  ,0.88         ,91.00            ,-0.22         ,2.39              ,--                   ,55.19                    ,4.36            ,102.84       ,33.16                ,2.07     ,18.42     ,17.18     ,17.13      ,17.86     ,16.97      ,78.81                ,55.57     ,16.68                   ,73.31,19.39               ,2.91                      ,2.70           ,17.05     ,15.88      ,17.83     ,17.34     ,16.85      ,57.98     ,57.65                ,25.96         ,81.19,0.38       ,1.48           ,3.27                      ,17.61     ,17.25      ,17.26     ,61.83                ,28.38                   ,80.22   ,15.84                  ,2.16           ,1.78                      ,2113.44   , 
