Symbol,% Chg(Open),Last Trade,Volume   ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
PTHN  ,-1.26      ,25.88     ,257854   ,42.41    ,3.79B     ,15             ,-0.40                     ,16.78     ,27.85     ,-1.25,-73.23      ,48.05                  ,44.39             ,45.39                  ,29.18                  ,Life Sciences Tools & Services                ,NYSE    ,PATHEON NV               ,Life Sciences Tools & Services       ,--      ,26.11         ,25.85 ,100     ,618313       ,414525      ,41.70                   ,62.20                  ,No        ,26.21 ,26.28 ,25.91 ,24.41                 ,781221        ,467806     ,33.01                    ,55.12                 ,No                ,Health Care           ,--            ,26.11     ,25.51 ,100     ,728014      ,56.62                     ,35.42                  ,16.27M         ,No                  ,C  ,--       ,--                 ,36.36          ,36.36                 ,27.27           ,--                     ,--              ,11                ,1.91              ,31.70M    ,1.87B  ,31.70M  ,145.14M           ,0.62    ,0.26      ,1.20      ,1.14        ,-1.03     ,-0.26     ,-0.83     ,19.75                       ,1.70    ,205.13            ,-0.23 ,-5.82                  ,-10.53                     ,-2.48                  ,-11.34                  ,0.00                 ,0.00                 ,0.00                 ,0.00      ,26.18        ,32.95    ,6.67                   ,23.72     ,24.11    ,51.95                   ,9.55                         ,-0.88   ,+0.10,-3.12                  ,-0.02                 ,-3.61                  ,-8.69                    ,-9.06                ,0.00                 ,+15.13               ,-14.03            ,1               ,27.10     ,32.95   ,25.65       ,23.72   ,-1.40                ,0.40           ,-0.33    ,+0.38,-0.10                   ,-3.07                    ,-12.15                   ,-3.34                 ,0.00                 ,0.00                 ,+12.54               ,0.00              ,32.35      ,32.95     ,25.65    ,23.72  ,0.77         ,17.00            ,-0.37         ,1.84              ,--                   ,102.37                   ,--              ,-602.61      ,22.97                ,2.03     ,27.06     ,29.52     ,28.47      ,28.34     ,--         ,17.81                ,--        ,39.52                   ,26.77,33.98               ,-6.03                     ,-2.55          ,29.38     ,--         ,28.35     ,--        ,--         ,--        ,50.00                ,56.90         ,28.95,-0.78      ,-2.32          ,-2.54                     ,29.18     ,28.60      ,--        ,50.00                ,10.86                   ,30.51   ,24.38                  ,-5.62          ,-1.91                     ,5989.64   , 
AM    ,-1.54      ,32.48     ,301586   ,26.55    ,6.13B     ,36             ,-0.95                     ,18.82     ,33.97     ,-0.34,-95.66      ,17.21                  ,-6.92             ,25.20                  ,34.44                  ,Oil Gas & Consumable Fuels                    ,NYSE    ,ANTERO MIDSTREAM PARTNERS,Oil & Gas Storage & Transportation   ,1.12    ,33.00         ,32.48 ,200     ,287026       ,430089      ,105.07                  ,70.12                  ,No        ,32.99 ,33.12 ,32.53 ,40.82                 ,379614        ,446360     ,79.45                    ,67.57                 ,No                ,Energy                ,3.40          ,33.00     ,32.35 ,100     ,394918      ,121.75                    ,76.37                  ,9.65M          ,No                  ,NC ,--       ,--                 ,64.29          ,28.57                 ,7.14            ,--                     ,--              ,14                ,1.43              ,236.70M   ,586.35M,236.70M ,185.79M           ,1.24    ,1.24      ,0.74      ,1.54        ,0.05      ,--        ,--        ,24.00                       ,37.48   ,--                ,-0.52 ,-2.35                  ,-4.17                      ,+2.09                  ,-3.46                   ,+50.12               ,0.00                 ,+43.33               ,+1.95     ,33.37        ,35.40    ,2.62                   ,32.81     ,20.52    ,82.79                   ,5.53                         ,-1.57   ,-0.01,+1.26                  ,-0.05                 ,-1.52                  ,+6.77                    ,+7.76                ,0.00                 ,+22.78               ,+20.61            ,4               ,34.59     ,35.74   ,32.81       ,32.81   ,-11.83               ,0.64           ,-0.51    ,-0.03,-0.32                   ,-1.44                    ,-4.41                    ,-1.18                 ,+60.00               ,0.00                 ,+26.69               ,+10.93            ,35.40      ,35.74     ,32.81    ,30.45  ,0.77         ,75.00            ,-0.13         ,1.15              ,--                   ,26.55                    ,4.86            ,69.50        ,21.37                ,10.46    ,33.92     ,34.44     ,31.43      ,34.11     ,32.36      ,22.97                ,50.28     ,31.66                   ,4.34 ,35.92               ,-1.75                     ,1.53           ,34.10     ,29.43      ,34.28     ,33.80     ,31.82      ,44.11     ,51.85                ,55.50         ,4.25 ,-0.07      ,-1.12          ,2.13                      ,34.44     ,32.01      ,33.53     ,46.68                ,9.06                    ,4.95    ,32.96                  ,-1.81          ,-1.65                     ,-374.40   , 
FDS   ,-1.43      ,165.35    ,856920   ,20.67    ,6.91B     ,42             ,+0.21                     ,19.43     ,176.04    ,-1.06,-97.73      ,12.99                  ,-24.43            ,16.62                  ,177.26                 ,Capital Markets                               ,NYSE    ,FACTSET RESEARCH SYSTEMS ,Financial Exchanges & Data           ,2.00    ,174.55        ,165.30,200     ,255509       ,319085      ,335.38                  ,268.56                 ,No        ,167.75,168.03,165.40,96.36                 ,236804        ,224162     ,361.87                   ,382.28                ,Yes               ,Financials            ,1.10          ,174.55    ,164.95,200     ,229257      ,211.69                    ,373.78                 ,44.90M         ,No                  ,F  ,***      ,A+                 ,--             ,5.56                  ,66.67           ,16.67                  ,11.11           ,18                ,3.33              ,338.82M   ,--     ,338.82M ,39.57M            ,8.45    ,8.19      ,5.71      ,7.27        ,4.92      ,4.45      ,4.12      ,10.70                       ,30.06   ,134.58            ,-9.20 ,-14.33                 ,-1.53                      ,+6.97                  ,-0.57                   ,+14.87               ,+90.44               ,+12.81               ,+0.77     ,176.74       ,182.56   ,15.61                  ,173.78    ,143.08   ,87.01                   ,6.97                         ,-5.27   ,-6.80,+0.29                  ,-0.06                 ,-3.70                  ,+4.16                    ,+7.10                ,+69.26               ,+11.37               ,+65.51            ,2               ,182.56    ,183.64  ,173.78      ,173.78  ,-21.87               ,2.68           ,-2.40    ,-3.90,+0.36                   ,-2.71                    ,-2.07                    ,-1.01                 ,+19.89               ,+104.20              ,+0.51                ,+33.47            ,182.56     ,183.64    ,173.78   ,164.04 ,3.08         ,73.00            ,-0.40         ,0.90              ,--                   ,21.31                    ,--              ,57.98        ,24.00                ,--       ,176.69    ,176.49    ,167.32     ,176.48    ,172.09     ,35.79                ,45.04     ,40.68                   ,2.27 ,183.57              ,-6.91                     ,3.41           ,175.18    ,168.15     ,176.87    ,175.34    ,171.11     ,38.99     ,51.87                ,44.71         ,12.81,0.14       ,-7.59          ,11.83                     ,177.26    ,169.70     ,174.60    ,49.35                ,15.54                   ,22.82   ,170.94                 ,-12.55         ,1.07                      ,-970.72   , 
SFBS  ,+1.36      ,35.84     ,132198   ,23.30    ,1.87B     ,1              ,-0.92                     ,20.88     ,37.83     ,-1.30,-74.54      ,93.83                  ,-41.93            ,31.36                  ,39.10                  ,Banks                                         ,NASDAQ  ,SERVISFIRST BANCSHARES IN,Regional Banks                       ,0.20    ,35.42         ,35.83 ,100     ,386422       ,230991      ,34.21                   ,57.23                  ,No        ,35.36 ,35.89 ,35.87 ,40.83                 ,342233        ,222545     ,38.63                    ,59.40                 ,No                ,Financials            ,0.60          ,35.42     ,35.08 ,100     ,324118      ,43.13                     ,40.79                  ,13.86M         ,Yes                 ,D  ,--       ,--                 ,--             ,--                    ,100.00          ,--                     ,--              ,2                 ,3.00              ,81.48M    ,228.50M,81.48M  ,52.76M            ,1.52    ,1.52      ,1.20      ,1.67        ,1.05      ,0.95      ,0.83      ,--                          ,43.04   ,450.70            ,+0.42 ,-6.26                  ,-9.40                      ,+0.82                  ,-10.24                  ,+124.10              ,0.00                 ,+60.45               ,+1.39     ,35.65        ,42.54    ,6.77                   ,34.06     ,18.50    ,6.17                    ,6.88                         ,+1.19   ,-0.06,-2.17                  ,-0.02                 ,-4.21                  ,+2.37                    ,-5.40                ,0.00                 ,+13.05               ,+16.78            ,29              ,39.81     ,42.66   ,34.06       ,34.06   ,-16.58               ,0.05           ,+0.48    ,-0.17,-0.33                   ,-3.68                    ,-10.63                   ,-4.04                 ,+81.99               ,0.00                 ,+59.05               ,+1.42             ,42.54      ,42.66     ,34.06    ,34.06  ,0.81         ,22.00            ,-0.76         ,1.01              ,--                   ,23.30                    ,3.68            ,--           ,21.27                ,8.18     ,37.36     ,39.69     ,35.57      ,38.34     ,36.82      ,12.94                ,47.71     ,38.62                   ,25.46,43.57               ,-6.82                     ,-1.37          ,39.37     ,31.49      ,38.31     ,38.77     ,35.96      ,40.12     ,46.73                ,58.84         ,17.61,-0.77      ,-2.22          ,-2.53                     ,39.10     ,37.38      ,38.48     ,38.27                ,10.01                   ,14.53   ,34.63                  ,-5.73          ,-3.51                     ,-2228.26  , 
SNCR  ,-2.42      ,24.18     ,805030   ,54.70    ,1.13B     ,55             ,-2.50                     ,21.21     ,26.06     ,-1.82,-82.12      ,49.58                  ,-16.28            ,60.48                  ,26.02                  ,Software                                      ,NCM     ,SYNCHRONOSS TECHNOLOGIES ,Application Software                 ,--      ,24.59         ,24.17 ,100     ,654515       ,583465      ,123.00                  ,137.97                 ,No        ,24.78 ,24.78 ,24.19 ,88.44                 ,915603        ,749041     ,87.92                    ,107.47                ,No                ,Information Technology,--            ,24.59     ,23.59 ,300     ,1024363     ,56.67                     ,78.59                  ,16.50M         ,Yes                 ,C  ,--       ,B                  ,55.56          ,22.22                 ,22.22           ,--                     ,--              ,9                 ,1.67              ,7.99M     ,476.75M,7.99M   ,46M               ,0.45    ,0.45      ,0.96      ,2.54        ,0.96      ,0.58      ,0.69      ,18.50                       ,4.11    ,270.11            ,-0.41 ,-3.32                  ,-5.48                      ,-13.33                 ,-25.40                  ,-43.86               ,-20.16               ,-23.22               ,+2.12     ,25.73        ,30.98    ,25.16                  ,24.46     ,25.38    ,50.42                   ,6.75                         ,-1.67   ,+0.19,-14.58                 ,-0.06                 ,-1.88                  ,-35.15                   ,-35.80               ,-24.55               ,-44.14               ,+1.26             ,0               ,26.89     ,40.28   ,24.46       ,24.46   ,1.79                 ,0.60           ,-0.60    ,+0.77,-0.63                   ,-1.43                    ,-7.11                    ,-8.37                 ,-16.81               ,-14.16               ,-35.14               ,+0.73             ,28.76      ,49.94     ,24.46    ,24.46  ,1.19         ,2.00             ,-0.59         ,2.37              ,--                   ,54.70                    ,5.90            ,33.72        ,9.69                 ,2.37     ,25.67     ,31.73     ,37.42      ,26.71     ,34.09      ,23.27                ,33.21     ,43.44                   ,17.88,27.42               ,-4.10                     ,-14.42         ,32.90     ,37.76      ,25.81     ,30.60     ,34.77      ,27.71     ,33.67                ,66.58         ,20.22,-2.04      ,-13.68         ,-13.74                    ,26.02     ,37.28      ,31.59     ,28.39                ,8.71                    ,23.90   ,24.61                  ,-2.90          ,-14.88                    ,-1663.80  , 
INTU  ,-0.67      ,117.96    ,1753028  ,31.81    ,30.30B    ,69             ,-0.83                     ,22.12     ,121.52    ,-0.62,-96.17      ,25.30                  ,-26.30            ,24.79                  ,123.34                 ,Software                                      ,NGM/NGS ,INTUIT INC               ,Application Software                 ,1.36    ,118.45        ,117.96,300     ,1762336      ,1318825     ,99.47                   ,132.92                 ,Yes       ,118.75,118.90,117.97,87.59                 ,1614254       ,1357209    ,108.60                   ,129.16                ,No                ,Information Technology,1.10          ,118.45    ,117.64,300     ,1727701     ,83.06                     ,101.47                 ,211.40M        ,No                  ,C  ,***      ,B+                 ,21.05          ,10.53                 ,47.37           ,15.79                  ,5.26            ,19                ,2.74              ,979.00M   ,4.69B  ,979.00M ,255.79M           ,3.72    ,3.69      ,1.28      ,4.34        ,3.13      ,2.83      ,2.60      ,15.47                       ,20.86   ,594.18            ,-0.50 ,-7.94                  ,-3.97                      ,+3.11                  ,-1.34                   ,+22.87               ,+119.18              ,+18.63               ,+1.08     ,119.06       ,128.44   ,9.55                   ,117.79    ,96.85    ,74.70                   ,3.95                         ,-0.42   ,+0.30,+3.62                  ,-0.03                 ,-5.56                  ,+2.70                    ,+3.65                ,+57.11               ,+10.67               ,+135.90           ,3               ,123.79    ,128.44  ,117.79      ,117.79  ,-20.79               ,0.95           ,-0.80    ,+0.25,-1.00                   ,-4.89                    ,-4.48                    ,-1.61                 ,+18.86               ,+90.96               ,+13.23               ,+22.22            ,126.67     ,128.45    ,117.79   ,111.90 ,1.27         ,50.00            ,-0.32         ,1.38              ,--                   ,32.08                    ,--              ,42.03        ,27.28                ,6.45     ,121.46    ,120.72    ,115.97     ,121.78    ,118.13     ,23.67                ,49.71     ,31.77                   ,3.83 ,128.44              ,-7.40                     ,3.04           ,119.93    ,113.95     ,122.61    ,120.73    ,117.22     ,44.93     ,50.34                ,40.78         ,6.75 ,0.36       ,-0.58          ,2.99                      ,123.34    ,117.59     ,120.18    ,45.91                ,13.37                   ,5.90    ,118.24                 ,-7.49          ,-0.14                     ,-6027.10  , 
MNRO  ,-0.58      ,51.70     ,148385   ,26.48    ,1.70B     ,10             ,+0.21                     ,22.61     ,53.66     ,-1.46,-94.31      ,46.67                  ,-21.64            ,23.82                  ,54.78                  ,Specialty Retail                              ,NGM/NGS ,MONRO MUFFLER BRAKE INC  ,Automotive Retail                    ,0.68    ,52.25         ,51.70 ,100     ,219600       ,298836      ,67.57                   ,49.65                  ,No        ,52.00 ,52.10 ,51.75 ,96.56                 ,305707        ,272397     ,48.54                    ,54.47                 ,No                ,Consumer Discretionary,1.30          ,52.25     ,51.35 ,300     ,292603      ,72.15                     ,50.71                  ,11.44M         ,Yes                 ,F  ,***      ,A-                 ,45.45          ,--                    ,54.55           ,--                     ,--              ,11                ,2.09              ,66.80M    ,943.65M,66.80M  ,32.57M            ,1.97    ,2.00      ,1.88      ,1.97        ,1.67      ,1.32      ,1.69      ,13.33                       ,7.08    ,140.32            ,-0.55 ,-6.60                  ,-4.62                      ,-5.35                  ,-8.36                   ,-19.25               ,+29.54               ,-7.86                ,+0.78     ,53.12        ,59.25    ,21.76                  ,51.40     ,52.05    ,53.33                   ,4.27                         ,-1.05   ,-0.25,-5.90                  ,-0.01                 ,-3.14                  ,-9.29                    ,-8.37                ,-7.88                ,-3.56                ,+11.98            ,2               ,53.45     ,61.10   ,51.40       ,51.40   ,0.70                 ,0.40           ,-0.30    ,-0.48,+0.11                   ,-2.53                    ,-5.67                    ,-4.77                 ,-24.27               ,+33.42               ,+2.23                ,+6.07             ,58.90      ,73.86     ,51.40    ,51.40  ,0.75         ,20.00            ,-0.35         ,1.15              ,--                   ,26.09                    ,17.46           ,50.18        ,26.58                ,1.80     ,52.99     ,56.64     ,57.22      ,54.22     ,57.02      ,25.47                ,42.02     ,24.31                   ,5.69 ,59.06               ,-6.50                     ,-5.40          ,56.93     ,58.74      ,53.91     ,55.87     ,57.42      ,37.93     ,42.71                ,19.11         ,9.39 ,-1.17      ,-7.75          ,-4.35                     ,54.78     ,57.00      ,56.16     ,39.06                ,16.51                   ,9.65    ,50.50                  ,-5.80          ,-6.85                     ,-1047.90  , 
NTGR  ,-0.30      ,49.40     ,270242   ,22.07    ,1.64B     ,7              ,-2.07                     ,23.08     ,52.17     ,-1.22,-88.70      ,50.00                  ,7.40              ,33.58                  ,52.89                  ,Communications Equipment                      ,NGM/NGS ,NETGEAR INC              ,Communications Equipment             ,--      ,49.65         ,49.40 ,500     ,394866       ,322325      ,68.44                   ,83.84                  ,No        ,49.55 ,49.70 ,49.45 ,98.17                 ,293835        ,305420     ,91.97                    ,88.48                 ,No                ,Information Technology,--            ,49.65     ,49.10 ,400     ,293449      ,26.96                     ,92.09                  ,19.94M         ,Yes                 ,C  ,****     ,B                  ,50.00          ,--                    ,50.00           ,--                     ,--              ,4                 ,2.00              ,75.85M    ,1.33B  ,75.85M  ,32.93M            ,2.25    ,2.25      ,1.44      ,3.16        ,0.24      ,1.42      ,2.23      ,-0.30                       ,5.71    ,1405.61           ,-0.25 ,-5.95                  ,-6.13                      ,-4.93                  ,-9.65                   ,+57.73               ,+36.29               ,+21.78               ,+1.64     ,50.55        ,56.25    ,11.12                  ,48.75     ,38.25    ,50.00                   ,6.18                         ,-0.50   ,-0.10,-5.25                  ,-0.05                 ,-3.75                  ,-9.03                    ,-8.65                ,+48.79               ,+2.05                ,+10.08            ,4               ,54.10     ,58.50   ,48.75       ,48.75   ,-10.85               ,0.30           ,-0.15    ,-0.20,-1.05                   ,-3.24                    ,-7.03                    ,-5.31                 ,+30.15               ,+54.09               ,-3.86                ,+6.79             ,55.65      ,60.82     ,48.75    ,48.75  ,0.60         ,20.00            ,-0.30         ,0.96              ,--                   ,22.07                    ,2.44            ,--           ,15.72                ,1.23     ,52.09     ,54.63     ,54.07      ,52.63     ,54.02      ,24.00                ,42.60     ,35.21                   ,11.30,55.95               ,-6.10                     ,-5.10          ,54.85     ,53.68      ,52.45     ,53.89     ,53.79      ,37.53     ,42.94                ,58.50         ,15.91,-0.85      ,-7.05          ,-4.65                     ,52.89     ,54.29      ,54.03     ,38.03                ,9.22                    ,19.46   ,49.84                  ,-5.40          ,-7.35                     ,311.64    , 
QUAD  ,-0.41      ,22.01     ,270132   ,24.56    ,839.60M   ,32             ,-3.47                     ,23.33     ,23.87     ,-0.97,-85.15      ,73.91                  ,-24.98            ,36.15                  ,24.76                  ,Commercial Services & Supplies                ,NYSE    ,QUAD/GRAPHICS INC        ,Commercial Printing                  ,1.20    ,22.10         ,22.00 ,100     ,436750       ,294114      ,61.85                   ,91.85                  ,No        ,22.10 ,22.25 ,22.02 ,52.22                 ,365885        ,298004     ,73.83                    ,90.65                 ,No                ,Industrials           ,5.40          ,22.10     ,21.33 ,200     ,366799      ,59.13                     ,73.65                  ,10.10M         ,No                  ,B  ,--       ,--                 ,50.00          ,--                    ,50.00           ,--                     ,--              ,2                 ,2.00              ,44.90M    ,4.33B  ,44.90M  ,37.99M            ,0.90    ,0.90      ,-13.40    ,1.68        ,0.38      ,0.65      ,1.78      ,5.00                        ,1.04    ,191.57            ,-0.09 ,-5.51                  ,-10.75                     ,-3.70                  ,-14.08                  ,+14.65               ,+147.16              ,+48.30               ,+1.37     ,23.36        ,28.40    ,7.25                   ,21.88     ,11.83    ,26.09                   ,8.73                         ,-0.41   ,0.00 ,-4.92                  ,-0.06                 ,-3.11                  ,-14.36                   ,-16.86               ,+24.28               ,-2.40                ,+10.38            ,9               ,24.35     ,28.40   ,21.88       ,21.88   ,-9.50                ,0.24           ,-0.09    ,0.00 ,-0.79                   ,-2.66                    ,-12.34                   ,-3.62                 ,+94.37               ,+22.41               ,+2.47                ,+1.66             ,28.40      ,29.50     ,21.88    ,21.88  ,0.92         ,9.00             ,-0.68         ,1.06              ,--                   ,24.56                    ,2.98            ,236.49       ,13.19                ,0.19     ,23.47     ,25.65     ,25.75      ,24.24     ,25.41      ,23.81                ,41.87     ,36.62                   ,14.85,28.17               ,-5.21                     ,-5.17          ,25.68     ,25.71      ,23.93     ,25.21     ,25.26      ,36.88     ,42.05                ,63.76         ,9.61 ,-0.70      ,-4.01          ,-4.91                     ,24.76     ,25.88      ,25.34     ,37.14                ,8.10                    ,8.46    ,21.36                  ,-5.14          ,-4.71                     ,-1323.65  , 
BSBR  ,-3.17      ,9.005     ,8126825  ,17.55    ,37.46B    ,55             ,+1.10                     ,23.63     ,10.03     ,-0.27,-96.20      ,17.11                  ,-34.77            ,25.60                  ,10.29                  ,Banks                                         ,NYSE    ,BANCO SANTANDER BRASIL  -,Diversified Banks                    ,0.43    ,9.77          ,9.00  ,10900   ,1995395      ,1360022     ,407.28                  ,597.55                 ,No        ,9.30  ,9.32  ,9.01  ,0.62                  ,1565323       ,1447585    ,519.18                   ,561.41                ,No                ,Financials            ,4.40          ,9.77      ,8.94  ,5800    ,1529798     ,282.53                    ,531.24                 ,19.65M         ,No                  ,-- ,--       ,--                 ,--             ,--                    ,--              ,71.43                  ,28.57           ,7                 ,4.29              ,2.13B     ,27.27B ,2.13B   ,7.56B             ,0.56    ,0.56      ,0.74      ,--          ,0.43      ,0.43      ,0.41      ,9.34                        ,5.89    ,--                ,-0.765,-2.165                 ,-5.02                      ,+0.9515                ,-5.05                   ,+153.00              ,+53.04               ,+139.81              ,+1.47     ,9.90         ,11.28    ,2.43                   ,9.68      ,4.10     ,82.89                   ,11.52                        ,-7.83   ,-0.47,-0.265                 ,-0.10                 ,-0.6782                ,+10.79                   ,+14.55               ,+130.05              ,+38.48               ,+8.49             ,2               ,10.50     ,11.75   ,9.68        ,9.68    ,-4.84                ,0.315          ,-0.295   ,-4.81,+0.106                  ,-0.5165                  ,-6.49                    ,-0.5198               ,+126.53              ,+92.29               ,+63.20               ,+1.12             ,11.28      ,11.75     ,9.68     ,8.98   ,0.38         ,91.00            ,-0.065        ,0.76              ,--                   ,17.55                    ,2.23            ,--           ,--                   ,2.71     ,9.95      ,10.42     ,9.05       ,10.14     ,9.43       ,35.05                ,47.63     ,35.96                   ,3.80 ,11.33               ,-1.35                     ,-0.02          ,10.25     ,7.94       ,10.04     ,10.10     ,9.17       ,41.76     ,51.76                ,49.76         ,9.37 ,-0.14      ,-0.86          ,0.91                      ,10.29     ,9.35       ,9.98      ,47.63                ,12.06                   ,10.00   ,9.24                   ,-1.96          ,-0.25                     ,-10407.84 , 
