Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                              ,Dividend,Reported Close,Bid     ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open    ,High    ,Ask     ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                    ,Dividend Yield,Prev Close,Low     ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD ,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K   ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
FIZZ  ,+0.89      ,82.71     ,358869    ,39.94    ,3.81B     ,8              ,+1.07                     ,95.88     ,75.72     ,6.37 ,-3.99       ,55.78                  ,58.57             ,78.10                  ,71.82                  ,Beverages                                     ,NASDAQ  ,NATIONAL BEVERAGE CORP   ,Soft Drinks                               ,--      ,81.74         ,82.71   ,100     ,273845       ,326374      ,131.05                  ,109.96                 ,No        ,81.98   ,83.59   ,82.82   ,22.48                 ,356202        ,270154     ,100.75                   ,132.84                ,No                ,Consumer Staples          ,--            ,81.73     ,81.60   ,100     ,334983      ,132.76                    ,107.13                 ,21.88M         ,No                  ,D  ,--       ,B+                 ,--             ,100.00                ,--              ,--                     ,--              ,1                 ,2.00              ,61.20M    ,704.78M,61.20M  ,46.57M            ,2.05    ,1.31      ,1.05      ,2.25        ,0.92      ,1.01      ,0.95      ,--                          ,8.68    ,587.32            ,+0.98 ,+23.91                 ,+13.79                     ,+28.56                 ,+39.59                  ,+241.69              ,+506.95              ,+15.46               ,+0.69     ,81.83        ,81.83    ,-18.86                 ,58.26     ,38.11    ,44.22                   ,-8.47                        ,+1.20   ,+0.25,+31.62                 ,+0.05                 ,+12.21                 ,+53.71                   ,+60.02               ,+302.99              ,+15.69               ,+45.53            ,42              ,81.83     ,81.83   ,79.25       ,58.03   ,-43.49               ,0.88           ,+0.73    ,+0.31,+0.86                   ,+9.91                    ,+17.56                   ,+23.18                ,+98.59               ,+491.23              ,+20.91               ,+31.89            ,81.83      ,64.73     ,77.91    ,45.40   ,1.99         ,99.00            ,-1.11         ,1.73              ,--                   ,62.40                    ,19.39           ,--           ,36.30                ,5.40     ,79.12     ,60.79     ,53.98      ,73.35     ,58.70      ,95.47                ,76.91     ,2.10                    ,96.01 ,88.72               ,23.05                     ,30.95          ,58.83     ,54.09      ,75.71     ,64.51     ,57.44      ,85.23     ,76.40                ,91.91         ,98.00,5.81       ,33.64          ,30.74                     ,71.82     ,55.17      ,62.81     ,84.72                ,49.90                   ,98.21   ,54.93                  ,24.30          ,32.33                     ,3483.37   , 
PNRA  ,+1.90      ,258.38    ,842476    ,40.98    ,5.41B     ,3              ,+1.09                     ,91.49     ,242.99    ,6.75 ,-6.89       ,75.17                  ,38.15             ,43.73                  ,238.36                 ,Hotels Restaurants & Leisure                  ,NGM/NGS ,PANERA BREAD CO          ,Restaurants                               ,--      ,253.26        ,258.20  ,100     ,656772       ,510050      ,128.28                  ,165.18                 ,No        ,253.57  ,260.24  ,258.40  ,93.31                 ,409943        ,483908     ,205.51                   ,174.10                ,Yes               ,Consumer Discretionary    ,--            ,253.26    ,252.75  ,100     ,404721      ,99.97                     ,208.16                 ,162.60M        ,No                  ,D  ,**       ,B+                 ,44.83          ,24.14                 ,31.03           ,--                     ,--              ,29                ,1.86              ,145.24M   ,2.80B  ,145.24M ,21.34M            ,6.18    ,6.18      ,5.79      ,7.69        ,6.64      ,6.81      ,5.89      ,16.01                       ,5.21    ,69.36             ,+5.12 ,+26.31                 ,+6.25                      ,+41.36                 ,+12.61                  ,+56.44               ,+55.22               ,+5.32                ,+0.34     ,253.57       ,253.57   ,-23.99                 ,226.81    ,185.69   ,24.83                   ,-6.70                        ,+2.02   ,+0.31,+52.54                 ,+0.07                 ,+16.81                 ,+19.52                   ,+23.49               ,+33.63               ,+8.81                ,+36.95            ,90              ,253.57    ,253.57  ,247.20      ,226.39  ,-67.06               ,1.86           ,+4.81    ,+0.12,+2.73                   ,+14.90                   ,+7.11                    ,+28.36                ,+21.94               ,+51.07               ,+6.29                ,+10.59            ,253.57     ,236.25    ,236.72   ,201.17  ,7.49         ,91.00            ,-5.63         ,1.77              ,--                   ,40.98                    ,51.39           ,140.47       ,32.93                ,1.93     ,244.26    ,228.13    ,214.03     ,240.52    ,222.45     ,89.10                ,68.76     ,5.89                    ,93.11 ,254.34              ,22.35                     ,50.45          ,225.12    ,212.83     ,241.06    ,230.77    ,220.45     ,76.05     ,67.03                ,77.38         ,95.74,5.03       ,47.85          ,45.20                     ,238.36    ,218.34     ,228.55    ,73.77                ,46.17                   ,96.36   ,222.38                 ,27.58          ,43.43                     ,2582.97   , 
LFL   ,+4.11      ,13.17     ,362501    ,99.57    ,7.70B     ,2              ,0.00                      ,88.58     ,11.77     ,0.78 ,-3.00       ,84.67                  ,28.80             ,49.91                  ,11.12                  ,Airlines                                      ,NYSE    ,LATAM AIRLINES GROUP SA  ,Airlines                                  ,--      ,12.61         ,13.15   ,1100    ,445904       ,432644      ,81.30                   ,83.79                  ,No        ,12.65   ,13.28   ,13.17   ,44.12                 ,349633        ,393977     ,103.68                   ,92.01                 ,No                ,Industrials               ,--            ,12.61     ,12.59   ,800     ,347608      ,106.61                    ,104.28                 ,5.52M          ,No                  ,-- ,--       ,--                 ,29.41          ,11.76                 ,47.06           ,5.88                   ,5.88            ,17                ,2.47              ,110.67M   ,8.99B  ,110.67M ,606.41M           ,0.13    ,0.13      ,-0.40     ,--          ,-0.20     ,-0.58     ,-0.05     ,54.62                       ,0.77    ,195.76            ,+0.56 ,+2.99                  ,+13.43                     ,+3.33                  ,+26.78                  ,+42.70               ,-54.07               ,+68.39               ,+1.67     ,12.66        ,12.72    ,-2.77                  ,9.78      ,5.81     ,15.33                   ,-12.90                       ,+4.44   ,+0.04,+4.89                  ,+0.09                 ,+1.73                  ,+35.82                   ,+54.16               ,-10.31               ,+16.59               ,+3.18             ,75              ,12.72     ,12.72   ,12.34       ,9.78    ,-6.78                ,0.11           ,+0.52    ,+0.32,0.00                    ,+1.49                    ,+15.88                   ,+2.66                 ,+86.49               ,-41.59               ,+24.63               ,+0.59             ,12.72      ,10.51     ,11.91    ,8.13    ,0.69         ,99.00            ,-0.58         ,4.31              ,--                   ,99.57                    ,--              ,162.40       ,--                   ,0.85     ,12.17     ,10.25     ,9.45       ,11.48     ,9.79       ,85.04                ,70.98     ,6.70                    ,97.00 ,13.39               ,2.54                      ,4.90           ,9.97      ,8.83       ,11.47     ,10.51     ,9.58       ,77.33     ,68.85                ,75.49         ,97.52,0.58       ,4.02           ,4.19                      ,11.12     ,9.51       ,10.32     ,74.68                ,47.97                   ,95.91   ,8.85                   ,3.06           ,3.37                      ,1719.95   , 
PENN  ,+1.15      ,18.50     ,2779272   ,15.40    ,1.67B     ,1              ,+5.20                     ,87.33     ,16.33     ,0.91 ,-4.98       ,51.16                  ,58.06             ,39.70                  ,15.63                  ,Hotels Restaurants & Leisure                  ,NGM/NGS ,PENN NATIONAL GAMING INC ,Casinos & Gaming                          ,--      ,18.33         ,18.49   ,900     ,5895124      ,1329651     ,47.15                   ,209.02                 ,No        ,18.29   ,18.71   ,18.50   ,85.25                 ,2230674       ,1559526    ,124.59                   ,178.21                ,No                ,Consumer Discretionary    ,--            ,18.32     ,18.28   ,2500    ,2146471     ,64.91                     ,129.48                 ,103.13M        ,Yes                 ,B  ,--       ,B-                 ,57.14          ,7.14                  ,35.71           ,--                     ,--              ,14                ,1.79              ,109.31M   ,3.02B  ,109.31M ,90.89M            ,1.19    ,1.19      ,0.01      ,0.55        ,-2.34     ,-7.44     ,2.03      ,-0.07                       ,3.62    ,160.48            ,+0.18 ,+3.87                  ,+17.23                     ,+4.38                  ,+27.21                  ,+9.75                ,+73.87               ,-7.66                ,+0.89     ,18.51        ,18.51    ,-1.31                  ,14.37     ,11.93    ,48.84                   ,-13.72                       ,+0.98   ,-0.03,+4.60                  ,+0.18                 ,+2.99                  ,+31.43                   ,+32.92               ,+51.11               ,+8.96                ,-17.90            ,37              ,18.51     ,18.51   ,17.36       ,13.91   ,-6.35                ,0.21           ,+0.21    ,-0.16,+0.91                   ,+2.69                    ,+19.53                   ,+3.92                 ,+17.09               ,+42.70               ,+2.05                ,+2.16             ,18.51      ,17.40     ,15.23    ,13.00   ,0.43         ,94.00            ,-0.22         ,0.67              ,--                   ,15.40                    ,--              ,-881.14      ,33.09                ,0.55     ,16.50     ,14.60     ,14.05      ,15.99     ,14.52      ,86.68                ,66.85     ,7.78                    ,95.02 ,18.11               ,3.85                      ,4.62           ,14.46     ,14.07      ,15.96     ,15.02     ,14.45      ,73.65     ,66.35                ,72.07         ,95.42,0.58       ,4.66           ,4.31                      ,15.63     ,14.15      ,14.86     ,73.04                ,47.91                   ,92.67   ,13.15                  ,4.03           ,4.34                      ,23240.65  , 
CAJ   ,+0.18      ,31.48     ,313275    ,24.76    ,41.83B    ,3              ,+0.10                     ,86.61     ,30.84     ,0.55 ,-1.43       ,77.27                  ,7.96              ,45.24                  ,30.45                  ,Technology Hardware Storage & Peripherals     ,NYSE    ,CANON INC                ,Technology Hardware Storage & Peripherals ,1.40    ,31.36         ,31.47   ,600     ,259397       ,309965      ,120.77                  ,101.07                 ,No        ,31.42   ,31.50   ,31.48   ,45.51                 ,345444        ,323582     ,90.69                    ,96.81                 ,No                ,Information Technology    ,4.50          ,31.36     ,31.39   ,1400    ,334946      ,164.39                    ,93.53                  ,8.09M          ,No                  ,-- ,*        ,--                 ,--             ,--                    ,--              ,100.00                 ,--              ,2                 ,4.00              ,1.49B     ,31.23B ,1.49B   ,1.33B             ,1.27    ,1.27      ,1.85      ,--          ,2.10      ,1.84      ,1.76      ,3.00                        ,0.04    ,158.00            ,+0.12 ,+2.34                  ,+2.99                      ,+2.25                  ,+6.23                   ,-2.81                ,-17.63               ,+6.44                ,+0.57     ,31.39        ,31.39    ,-0.57                  ,29.05     ,27.18    ,22.73                   ,-2.12                        ,+0.37   ,+0.06,+3.30                  ,+0.01                 ,+1.11                  ,+7.73                    ,+11.44               ,+19.03               ,+3.51                ,+6.04             ,10              ,31.39     ,31.39   ,31.23       ,29.05   ,-4.21                ,0.03           ,+0.06    ,+0.19,+0.03                   ,+0.91                    ,+3.66                    ,+1.84                 ,+11.93               ,-0.43                ,+4.53                ,+3.63             ,31.39      ,30.93     ,31.07    ,28.15   ,0.11         ,71.00            ,-0.09         ,1.07              ,--                   ,24.76                    ,2.86            ,20.41        ,--                   ,1.34     ,31.18     ,29.70     ,29.15      ,30.63     ,29.48      ,85.22                ,63.01     ,7.41                    ,98.57 ,32.05               ,2.03                      ,3.70           ,29.53     ,28.93      ,30.81     ,29.93     ,29.39      ,70.27     ,62.46                ,71.58         ,97.02,0.48       ,1.73           ,3.23                      ,30.45     ,29.20      ,29.80     ,69.44                ,44.76                   ,95.64   ,28.86                  ,2.24           ,1.69                      ,294.67    , 
CCL   ,-0.43      ,59.63     ,5849385   ,15.83    ,31.54B    ,57             ,+0.15                     ,86.33     ,57.88     ,0.87 ,-13.63      ,50.40                  ,6.30              ,27.14                  ,57.26                  ,Hotels Restaurants & Leisure                  ,NYSE    ,CARNIVAL CORP/PLC (USA)  ,Hotels Resorts & Cruise Lines             ,1.40    ,58.87         ,59.62   ,400     ,4420115      ,3607510     ,132.34                  ,162.14                 ,Yes       ,59.88   ,60.24   ,59.63   ,52.41                 ,3044798       ,3009603    ,192.11                   ,194.36                ,No                ,Consumer Discretionary    ,2.40          ,58.87     ,59.00   ,200     ,3089125     ,133.67                    ,189.35                 ,258.16M        ,No                  ,C  ,*****    ,--                 ,45.83          ,8.33                  ,41.67           ,--                     ,4.17            ,24                ,2.08              ,2.78B     ,16.39B ,2.78B   ,535.84M           ,3.72    ,3.72      ,2.26      ,3.60        ,1.56      ,1.36      ,1.67      ,13.87                       ,16.96   ,168.61            ,+0.76 ,+3.12                  ,+2.82                      ,+6.58                  ,+5.70                   ,+35.84               ,+112.33              ,+19.61               ,+0.74     ,58.94        ,59.12    ,-2.45                  ,55.07     ,42.94    ,49.60                   ,-3.28                        ,+1.28   ,+1.01,+7.40                  ,+0.03                 ,+1.89                  ,+12.57                   ,+13.79               ,+57.98               ,+9.52                ,+11.99            ,26              ,59.12     ,59.12   ,58.06       ,55.07   ,-16.06               ,0.62           ,-0.26    ,+1.72,+0.09                   ,+1.62                    ,+3.32                    ,+3.17                 ,+23.12               ,+90.85               ,+18.58               ,+7.11             ,59.12      ,57.79     ,57.09    ,51.74   ,1.24         ,79.00            ,-0.63         ,0.69              ,--                   ,15.83                    ,2.33            ,37.08        ,16.36                ,1.92     ,58.20     ,56.16     ,52.88      ,57.56     ,54.23      ,81.89                ,63.55     ,15.94                   ,86.37 ,59.55               ,2.82                      ,7.63           ,55.70     ,50.28      ,57.67     ,56.14     ,53.65      ,68.75     ,62.14                ,43.13         ,88.59,0.68       ,3.98           ,6.68                      ,57.26     ,53.99      ,55.71     ,66.39                ,40.11                   ,88.50   ,54.96                  ,3.67           ,2.58                      ,3097.79   , 
CUK   ,-0.42      ,58.29     ,467537    ,15.52    ,12.13B    ,33             ,+0.29                     ,86.05     ,56.76     ,0.83 ,-15.06      ,43.35                  ,3.90              ,26.48                  ,56.19                  ,Hotels Restaurants & Leisure                  ,NYSE    ,CARNIVAL CORP/PLC (GBR)  ,Hotels Resorts & Cruise Lines             ,1.40    ,57.74         ,58.32   ,100     ,390298       ,364048      ,119.79                  ,128.43                 ,No        ,58.53   ,58.88   ,58.35   ,23.56                 ,292665        ,352801     ,159.75                   ,132.52                ,No                ,Consumer Discretionary    ,2.40          ,57.74     ,57.83   ,100     ,289750      ,140.16                    ,161.36                 ,22.30M         ,No                  ,-- ,*****    ,--                 ,33.33          ,33.33                 ,33.33           ,--                     ,--              ,3                 ,2.00              ,2.78B     ,16.39B ,2.78B   ,214.04M           ,3.72    ,3.72      ,2.26      ,3.78        ,1.56      ,1.36      ,1.67      ,15.00                       ,16.96   ,168.61            ,+0.55 ,+2.96                  ,+2.76                      ,+6.04                  ,+5.75                   ,+31.35               ,+107.22              ,+13.35               ,+0.69     ,57.75        ,57.96    ,-2.55                  ,54.23     ,43.45    ,56.65                   ,-2.90                        ,+0.94   ,+0.79,+7.10                  ,+0.03                 ,+1.81                  ,+11.67                   ,+13.52               ,+52.73               ,+8.38                ,+11.99            ,20              ,57.96     ,57.96   ,57.02       ,54.23   ,-14.38               ,0.59           ,-0.24    ,+1.37,+0.16                   ,+1.55                    ,+3.24                    ,+3.14                 ,+17.22               ,+82.24               ,+14.83               ,+7.11             ,57.96      ,56.33     ,56.03    ,50.88   ,1.05         ,79.00            ,-0.46         ,0.67              ,--                   ,15.52                    ,2.28            ,37.08        ,15.29                ,0.75     ,57.05     ,55.07     ,52.19      ,56.45     ,53.48      ,82.58                ,62.78     ,17.84                   ,84.94 ,58.31               ,2.73                      ,7.23           ,54.61     ,50.22      ,56.60     ,55.11     ,53.02      ,68.34     ,61.68                ,41.63         ,88.30,0.66       ,3.68           ,6.51                      ,56.19     ,53.17      ,54.73     ,66.50                ,43.30                   ,88.06   ,54.07                  ,3.34           ,2.56                      ,180.95    , 
BIP   ,+0.18      ,38.83     ,420914    ,25.84    ,10.03B    ,7              ,+1.16                     ,85.69     ,37.30     ,0.68 ,-3.33       ,62.30                  ,30.76             ,36.92                  ,36.63                  ,Electric Utilities                            ,NYSE    ,BROOKFIELD INFRS PTRS LP ,Electric Utilities                        ,1.74    ,38.64         ,38.83   ,500     ,351554       ,324009      ,119.73                  ,129.91                 ,No        ,38.76   ,38.95   ,38.84   ,48.75                 ,297477        ,321330     ,141.49                   ,130.99                ,No                ,Utilities                 ,4.50          ,38.64     ,38.64   ,200     ,312068      ,90.13                     ,134.88                 ,13.29M         ,No                  ,NC ,--       ,--                 ,10.00          ,50.00                 ,30.00           ,--                     ,10.00           ,10                ,2.50              ,699.88M   ,--     ,699.88M ,259.45M           ,1.50    ,1.50      ,0.92      ,0.74        ,0.59      ,-0.28     ,0.41      ,9.00                        ,18.11   ,--                ,+0.19 ,+2.56                  ,+5.48                      ,+4.28                  ,+7.94                   ,+39.28               ,+139.09              ,+31.18               ,+1.06     ,38.96        ,38.96    ,-1.57                  ,35.29     ,25.72    ,37.70                   ,-4.86                        ,+0.49   ,+0.12,+5.13                  ,+0.05                 ,+2.14                  ,+12.44                   ,+16.82               ,+70.53               ,+15.91               ,+12.35            ,11              ,38.96     ,38.96   ,38.15       ,35.29   ,-12.92               ,0.12           ,+0.07    ,+0.31,+0.44                   ,+2.01                    ,+5.87                    ,+2.84                 ,+51.20               ,+85.85               ,+15.60               ,+2.68             ,38.96      ,37.38     ,36.85    ,33.20   ,0.31         ,85.00            ,-0.19         ,1.12              ,--                   ,25.84                    ,--              ,80.94        ,52.31                ,--       ,37.47     ,36.14     ,34.44      ,37.05     ,35.03      ,84.55                ,62.91     ,7.45                    ,96.67 ,38.71               ,2.03                      ,5.48           ,35.81     ,33.38      ,36.94     ,36.11     ,34.67      ,67.71     ,62.41                ,67.04         ,95.18,0.43       ,4.40           ,5.49                      ,36.63     ,34.55      ,35.86     ,66.94                ,37.79                   ,92.56   ,34.56                  ,2.76           ,3.06                      ,1319.25   , 
BSAC  ,+2.63      ,25.38     ,351542    ,16.71    ,11.65B    ,0              ,+0.07                     ,85.33     ,24.02     ,0.70 ,-1.99       ,92.20                  ,30.46             ,40.76                  ,23.58                  ,Banks                                         ,NYSE    ,BANCO SANTANDER-CHILE    ,Diversified Banks                         ,1.08    ,24.73         ,25.38   ,100     ,504341       ,375551      ,69.70                   ,93.61                  ,No        ,24.73   ,25.44   ,25.39   ,32.16                 ,419577        ,442377     ,83.78                    ,79.47                 ,No                ,Financials                ,4.40          ,24.73     ,24.73   ,500     ,410457      ,77.44                     ,85.65                  ,12.27M         ,No                  ,-- ,--       ,--                 ,15.38          ,7.69                  ,61.54           ,7.69                   ,7.69            ,13                ,2.85              ,700.68M   ,3.77B  ,700.68M ,471.12M           ,1.48    ,1.48      ,1.41      ,--          ,1.72      ,1.38      ,1.12      ,5.27                        ,0.05    ,--                ,+0.65 ,+3.22                  ,+4.87                      ,+2.71                  ,+10.35                  ,+31.44               ,-6.36                ,+21.77               ,+0.86     ,24.81        ,24.90    ,-1.94                  ,21.92     ,17.83    ,7.80                    ,-5.97                        ,+2.63   ,0.00 ,+3.26                  ,+0.06                 ,+1.45                  ,+12.32                   ,+13.08               ,+28.80               ,+1.48                ,+16.76            ,39              ,24.90     ,24.90   ,24.26       ,21.67   ,-6.90                ,0.06           ,+0.65    ,0.00 ,+0.02                   ,+1.15                    ,+6.22                    ,+2.32                 ,+38.97               ,+3.11                ,+3.83                ,+1.31             ,24.90      ,23.50     ,23.68    ,21.21   ,0.71         ,87.00            ,-0.65         ,0.72              ,--                   ,16.71                    ,2.78            ,--           ,--                   ,3.09     ,24.31     ,22.57     ,22.19      ,23.75     ,22.36      ,80.13                ,65.77     ,11.81                   ,98.01 ,25.25               ,2.71                      ,3.47           ,22.45     ,21.51      ,23.86     ,22.93     ,22.19      ,71.91     ,63.32                ,54.91         ,95.60,0.55       ,3.74           ,2.87                      ,23.58     ,22.37      ,22.79     ,68.55                ,40.56                   ,94.14   ,21.91                  ,3.40           ,2.57                      ,1727.84   , 
MAR   ,+1.88      ,94.92     ,1287146   ,35.29    ,35.74B    ,3              ,-0.22                     ,84.17     ,90.50     ,1.85 ,--          ,100.00                 ,14.50             ,38.85                  ,88.86                  ,Hotels Restaurants & Leisure                  ,NASDAQ  ,MARRIOTT INTL INC        ,Hotels Resorts & Cruise Lines             ,1.20    ,93.17         ,94.92   ,400     ,3822248      ,3193283     ,33.68                   ,40.31                  ,Yes       ,93.17   ,94.92   ,94.93   ,78.18                 ,2675188       ,2467121    ,48.11                    ,52.17                 ,No                ,Consumer Discretionary    ,1.30          ,93.17     ,93.00   ,300     ,2632304     ,59.82                     ,48.90                  ,350.80M        ,No                  ,C  ,***      ,B+                 ,28.57          ,21.43                 ,42.86           ,3.57                   ,3.57            ,28                ,2.32              ,780.00M   ,3.53B  ,780.00M ,383.56M           ,2.64    ,2.64      ,3.15      ,3.93        ,2.54      ,--        ,1.72      ,13.28                       ,22.12   ,15.57             ,+1.75 ,+7.42                  ,+4.85                      ,+13.63                 ,+7.93                   ,+17.12               ,+165.88              ,+33.25               ,+1.22     ,93.53        ,93.86    ,-3.85                  ,85.63     ,60.87    ,--                      ,-5.78                        ,+1.88   ,0.00 ,+11.57                 ,+0.07                 ,+4.82                  ,+17.14                   ,+13.07               ,+76.67               ,+10.80               ,+88.29            ,143             ,93.86     ,93.86   ,92.45       ,85.63   ,-32.13               ,0.00           ,+1.75    ,0.00 ,-0.20                   ,+4.31                    ,+5.45                    ,+6.85                 ,+38.43               ,+148.20              ,+23.37               ,+5.16             ,93.86      ,91.07     ,88.67    ,81.04   ,1.92         ,80.00            ,-1.92         ,1.53              ,--                   ,35.29                    ,--              ,153.01       ,23.69                ,10.14    ,90.89     ,87.22     ,80.90      ,89.82     ,83.63      ,79.80                ,68.10     ,10.08                   ,100.00,94.40               ,5.72                      ,11.60          ,86.40     ,76.38      ,89.43     ,87.24     ,82.43      ,72.02     ,66.23                ,59.55         ,95.75,1.14       ,9.66           ,9.81                      ,88.86     ,83.60      ,86.47     ,69.29                ,39.76                   ,94.96   ,83.31                  ,7.93           ,7.09                      ,5490.88   , 
