Symbol,% Chg(Open),Last Trade,Volume   ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                    ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                    ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change ,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
TLRD  ,+2.35      ,14.79     ,571247   ,28.43    ,707.37M   ,15             ,-0.60                     ,29.26     ,15.98     ,-1.96,-75.16      ,88.33                  ,-41.56            ,40.74                  ,17.34                  ,Specialty Retail                            ,NYSE    ,TAILORED BRANDS INC      ,Apparel Retail                       ,0.72    ,14.50         ,14.77 ,300     ,1334519      ,1493459     ,42.81                   ,38.25                  ,No        ,14.45 ,14.86 ,14.79 ,86.00                 ,2428605       ,1777837    ,23.52                    ,32.13                 ,No                ,Consumer Discretionary    ,5.00          ,14.50     ,14.26 ,500     ,2285007     ,63.94                     ,25.00                  ,19.23M         ,Yes                 ,C  ,**       ,B-                 ,16.67          ,16.67                 ,66.67           ,--                     ,--              ,6                 ,2.50              ,24.96M    ,3.38B  ,24.96M  ,48.78M            ,0.51    ,0.51      ,-21.26    ,1.63        ,-0.01     ,1.70      ,2.55      ,16.50                       ,0.74    ,--                ,+0.29  ,-8.32                  ,-16.36                     ,-5.05                  ,-29.18                  ,-70.35               ,-57.54               ,+73.18               ,+1.47     ,14.80        ,24.11    ,13.90                  ,14.01     ,10.90    ,11.67                   ,3.88                         ,+2.00   ,-0.05,-10.86                 ,+0.04                 ,-3.76                  ,-25.81                   ,-42.56               ,-68.19               ,+24.00               ,-24.03            ,29              ,15.02     ,26.20   ,14.38       ,14.01   ,-3.36                ,0.07           ,+0.34    ,-0.34,-0.09                   ,-2.84                    ,-20.59                   ,-5.97                 ,-7.84                ,-51.16               ,+78.43               ,+1.15             ,24.11      ,28.76     ,14.01    ,14.01  ,0.60         ,1.00             ,-0.53         ,1.23              ,--                   ,28.43                    ,--              ,-1470.15     ,8.87                 ,0.21     ,14.72     ,19.97     ,19.92      ,16.72     ,--         ,24.90                ,--        ,39.06                   ,24.84,25.14               ,-9.05                     ,-10.79         ,20.46     ,17.59      ,15.36     ,19.04     ,--         ,35.55     ,50.00                ,49.76         ,12.27,-1.88      ,-5.45          ,-11.32                    ,17.34     ,20.67      ,19.31     ,34.41                ,13.10                   ,7.88    ,9.53                   ,-8.33          ,-4.98                     ,-15995.99 , 
INT   ,+2.01      ,36.01     ,298527   ,19.48    ,2.47B     ,1              ,-0.49                     ,41.58     ,36.20     ,-1.15,-54.98      ,96.70                  ,0.44              ,51.79                  ,36.18                  ,Oil Gas & Consumable Fuels                  ,NYSE    ,WORLD FUEL SERVICES CORP ,Oil & Gas Refining & Marketing       ,0.24    ,35.26         ,36.01 ,100     ,908343       ,491696      ,32.87                   ,60.71                  ,No        ,35.30 ,36.04 ,36.02 ,95.35                 ,775990        ,612985     ,38.47                    ,48.70                 ,Yes               ,Energy                    ,0.70          ,35.26     ,35.13 ,100     ,831061      ,43.77                     ,35.92                  ,32.14M         ,No                  ,C  ,***      ,A                  ,25.00          ,--                    ,75.00           ,--                     ,--              ,4                 ,2.50              ,126.50M   ,27.02B ,126.50M ,69.93M            ,1.81    ,1.81      ,2.47      ,2.69        ,3.15      ,2.83      ,2.64      ,5.00                        ,0.47    ,5403.16           ,+0.75  ,-0.53                  ,-2.55                      ,-7.83                  ,-13.91                  ,-37.31               ,-13.00               ,-21.01               ,+1.04     ,35.27        ,37.50    ,14.97                  ,34.79     ,35.80    ,3.30                    ,0.41                         ,+2.13   ,+0.04,-10.26                 ,0.00                  ,-0.95                  ,-18.17                   ,-23.07               ,-19.38               ,-18.54               ,+6.62             ,45              ,36.94     ,47.48   ,34.79       ,34.79   ,0.67                 ,0.03           ,+0.71    ,+0.11,-0.17                   ,-0.92                    ,-2.63                    ,-5.70                 ,-26.21               ,-10.52               ,-18.65               ,+2.55             ,37.50      ,51.01     ,34.79    ,34.79  ,0.91         ,4.00             ,-0.88         ,0.84              ,--                   ,19.48                    ,3.16            ,60.35        ,13.09                ,0.09     ,36.06     ,40.04     ,42.73      ,36.61     ,41.24      ,25.04                ,38.21     ,34.74                   ,45.02,37.29               ,-1.12                     ,-9.87          ,40.96     ,44.01      ,36.16     ,39.07     ,41.74      ,35.10     ,36.08                ,37.54         ,23.27,-1.34      ,-8.42          ,-10.51                    ,36.18     ,42.21      ,39.67     ,30.95                ,15.78                   ,13.41   ,35.08                  ,-0.16          ,-9.13                     ,45.25     , 
OPB   ,+1.85      ,19.25     ,284634   ,58.38    ,652.96M   ,0              ,+0.54                     ,35.53     ,19.65     ,-0.90,-69.81      ,82.35                  ,-15.70            ,38.99                  ,20.14                  ,Banks                                       ,NASDAQ  ,OPUS BANK                ,Regional Banks                       ,--      ,19.05         ,19.20 ,200     ,349107       ,337424      ,81.53                   ,84.35                  ,No        ,18.90 ,19.33 ,19.25 ,49.66                 ,316940        ,340855     ,89.81                    ,83.51                 ,No                ,Financials                ,--            ,19.05     ,18.90 ,900     ,331363      ,169.26                    ,85.90                  ,6.57M          ,Yes                 ,C  ,--       ,--                 ,--             ,25.00                 ,75.00           ,--                     ,--              ,4                 ,2.75              ,11.45M    ,336.69M,11.45M  ,34.28M            ,0.33    ,0.33      ,1.79      ,1.68        ,1.38      ,4.96      ,0.79      ,--                          ,6.41    ,213.88            ,+0.20  ,-2.85                  ,-5.39                      ,-6.73                  ,-17.50                  ,-36.19               ,0.00                 ,-42.29               ,+1.05     ,19.05        ,22.75    ,18.87                  ,18.45     ,18.21    ,17.65                   ,1.84                         ,+1.05   ,-0.15,-11.25                 ,+0.02                 ,-1.31                  ,-26.10                   ,-36.61               ,0.00                 ,-14.62               ,+1.28             ,9               ,19.55     ,30.60   ,18.50       ,18.45   ,-0.69                ,0.08           ,+0.35    ,-0.79,+0.10                   ,-1.09                    ,-6.45                    ,-4.04                 ,-43.28               ,0.00                 ,-38.14               ,+0.16             ,22.75      ,38.19     ,18.45    ,18.45  ,0.43         ,1.00             ,-0.35         ,2.53              ,--                   ,58.38                    ,1.21            ,--           ,11.34                ,1.94     ,19.25     ,21.90     ,24.74      ,19.98     ,24.17      ,30.02                ,37.36     ,34.33                   ,30.19,22.30               ,-2.70                     ,-10.30         ,23.14     ,28.59      ,19.60     ,21.85     ,24.92      ,34.68     ,36.72                ,42.64         ,20.92,-0.93      ,-1.14          ,-10.70                    ,20.14     ,24.22      ,22.38     ,33.39                ,13.81                   ,16.00   ,17.97                  ,-2.35          ,-8.20                     ,-750.70   , 
CAR   ,+1.81      ,28.67     ,913788   ,16.13    ,2.41B     ,8              ,-1.47                     ,28.93     ,30.79     ,-1.74,-81.93      ,70.33                  ,-21.58            ,24.17                  ,31.82                  ,Road & Rail                                 ,NASDAQ  ,AVIS BUDGET GROUP INC    ,Trucking                             ,--      ,28.23         ,28.66 ,100     ,3249813      ,2168404     ,28.12                   ,42.14                  ,No        ,28.16 ,28.94 ,28.67 ,82.05                 ,2211010       ,2020549    ,41.33                    ,45.22                 ,Yes               ,Industrials               ,--            ,28.23     ,28.03 ,300     ,2174552     ,27.33                     ,42.02                  ,94.09M         ,No                  ,C  ,--       ,B-                 ,60.00          ,--                    ,30.00           ,--                     ,10.00           ,10                ,2.00              ,163.00M   ,8.66B  ,163.00M ,85.45M            ,1.75    ,1.75      ,2.98      ,3.42        ,2.22      ,0.15      ,2.42      ,15.00                       ,1.88    ,338.24            ,+0.44  ,-6.37                  ,-11.27                     ,-7.53                  ,-19.54                  ,-50.74               ,+101.20              ,+15.27               ,+2.05     ,28.44        ,35.76    ,12.59                  ,27.36     ,21.85    ,29.67                   ,9.00                         ,+1.56   ,-0.07,-8.65                  ,-0.03                 ,-3.95                  ,-21.05                   ,-23.04               ,-40.38               ,-9.69                ,+49.39            ,58              ,32.28     ,41.00   ,27.36       ,27.36   ,-6.18                ,0.27           ,+0.51    ,-0.25,-0.42                   ,-3.59                    ,-12.27                   ,-6.86                 ,+5.25                ,+4.21                ,-4.29                ,+0.92             ,35.76      ,41.53     ,27.36    ,27.36  ,0.91         ,3.00             ,-0.64         ,0.70              ,--                   ,16.13                    ,--              ,5486.88      ,8.25                 ,0.28     ,30.58     ,34.72     ,35.65      ,31.44     ,34.79      ,24.15                ,42.11     ,41.92                   ,18.07,36.07               ,-4.99                     ,-8.53          ,35.01     ,35.55      ,31.25     ,33.69     ,34.90      ,38.13     ,41.46                ,40.39         ,11.92,-1.40      ,-9.61          ,-8.56                     ,31.82     ,36.32      ,34.08     ,36.94                ,17.80                   ,7.65    ,27.56                  ,-5.91          ,-11.02                    ,-6692.87  , 
MHLD  ,+1.67      ,13.73     ,299720   ,71.32    ,1.17B     ,3              ,-1.01                     ,27.56     ,14.33     ,-0.78,-74.51      ,88.24                  ,-17.36            ,51.49                  ,14.58                  ,Insurance                                   ,NASDAQ  ,MAIDEN HOLDINGS LTD      ,Reinsurance                          ,0.60    ,13.55         ,13.70 ,1900    ,474005       ,526082      ,63.23                   ,56.97                  ,No        ,13.50 ,13.78 ,13.75 ,73.53                 ,596223        ,488249     ,50.27                    ,61.39                 ,No                ,Financials                ,4.40          ,13.55     ,13.35 ,2300    ,578439      ,54.81                     ,51.82                  ,6.48M          ,Yes                 ,C  ,--       ,--                 ,--             ,50.00                 ,50.00           ,--                     ,--              ,4                 ,2.50              ,48.14M    ,2.73B  ,48.14M  ,86.55M            ,0.19    ,0.19      ,1.31      ,1.85        ,1.04      ,1.18      ,0.64      ,12.00                       ,1.79    ,12946.13          ,+0.18  ,-1.98                  ,-7.09                      ,-2.15                  ,-18.56                  ,-0.81                ,+82.32               ,+21.49               ,+1.15     ,13.57        ,17.00    ,5.18                   ,13.25     ,11.64    ,11.76                   ,3.99                         ,+1.29   ,-0.05,-3.88                  ,-0.01                 ,-1.29                  ,-13.72                   ,-22.35               ,+17.26               ,+1.18                ,+5.03             ,10              ,14.45     ,18.95   ,13.25       ,13.25   ,-1.71                ,0.05           ,+0.22    ,-0.37,-0.14                   ,-1.03                    ,-8.67                    ,-3.09                 ,+11.91               ,+49.07               ,+14.09               ,+0.81             ,17.00      ,18.95     ,13.25    ,13.25  ,0.43         ,4.00             ,-0.38         ,3.09              ,--                   ,71.32                    ,1.21            ,25.82        ,7.32                 ,0.43     ,14.07     ,16.38     ,15.99      ,14.62     ,15.81      ,20.15                ,40.62     ,30.50                   ,25.49,16.02               ,-2.95                     ,-3.81          ,16.60     ,14.87      ,14.27     ,15.66     ,15.71      ,34.67     ,39.61                ,35.85         ,17.23,-0.77      ,-3.71          ,-3.90                     ,14.58     ,16.49      ,15.78     ,32.82                ,14.40                   ,13.71   ,13.15                  ,-1.71          ,-4.34                     ,-1341.73  , 
TVPT  ,+1.57      ,11.77     ,529474   ,89.54    ,1.44B     ,7              ,0.00                      ,35.58     ,11.97     ,-0.43,-60.43      ,90.41                  ,15.69             ,55.81                  ,12.02                  ,IT Services                                 ,NYSE    ,TRAVELPORT WORLDWIDE LTD ,Data Processing & Outsourced Services,0.30    ,11.64         ,11.77 ,1800    ,838150       ,1077608     ,63.17                   ,49.13                  ,No        ,11.59 ,11.80 ,11.78 ,92.95                 ,1412325       ,1121320    ,37.49                    ,47.22                 ,No                ,Information Technology    ,2.60          ,11.64     ,11.51 ,1400    ,1412964     ,53.37                     ,37.47                  ,9.75M          ,No                  ,B  ,--       ,--                 ,54.55          ,9.09                  ,36.36           ,--                     ,--              ,11                ,1.82              ,15.05M    ,2.35B  ,15.05M  ,124.08M           ,0.13    ,0.13      ,0.13      ,1.34        ,0.98      ,-4.53     ,-35.92    ,8.80                        ,0.72    ,470.27            ,+0.13  ,-1.03                  ,-3.15                      ,-2.11                  ,-13.16                  ,-22.62               ,0.00                 ,-2.47                ,+0.55     ,11.73        ,13.02    ,3.35                   ,11.42     ,11.28    ,9.59                    ,1.33                         ,+1.14   ,-0.05,-2.35                  ,0.00                  ,-0.50                  ,-15.36                   ,-16.96               ,0.00                 ,-8.75                ,-4.20             ,28              ,12.07     ,14.70   ,11.42       ,11.42   ,-0.23                ,0.03           ,+0.18    ,-0.43,0.00                    ,-0.38                    ,-4.14                    ,-1.76                 ,-10.67               ,0.00                 ,-6.46                ,+0.52             ,12.96      ,15.15     ,11.42    ,11.42  ,0.29         ,6.00             ,-0.26         ,3.88              ,--                   ,89.54                    ,--              ,-679.37      ,8.69                 ,0.61     ,11.84     ,13.19     ,13.64      ,12.12     ,13.27      ,27.84                ,39.09     ,35.42                   ,39.57,12.57               ,-1.28                     ,-2.40          ,13.39     ,13.60      ,11.93     ,12.82     ,13.35      ,35.12     ,37.92                ,59.22         ,22.70,-0.45      ,-2.56          ,-2.31                     ,12.02     ,13.49      ,12.96     ,32.95                ,9.07                    ,13.17   ,11.47                  ,-0.93          ,-2.86                     ,2621.57   , 
PBI   ,+1.47      ,12.74     ,990973   ,25.47    ,2.33B     ,9              ,-0.47                     ,39.63     ,12.91     ,-0.35,-63.98      ,86.96                  ,-31.33            ,38.64                  ,13.10                  ,Commercial Services & Supplies              ,NYSE    ,PITNEY BOWES INC         ,Office Services & Supplies           ,0.75    ,12.51         ,12.73 ,2100    ,1908227      ,3282019     ,51.93                   ,30.19                  ,No        ,12.55 ,12.78 ,12.74 ,86.52                 ,6131293       ,4909829    ,16.16                    ,20.18                 ,Yes               ,Industrials               ,6.00          ,12.51     ,12.44 ,1900    ,6066766     ,56.41                     ,16.33                  ,23.94M         ,No                  ,D  ,***      ,B                  ,75.00          ,--                    ,25.00           ,--                     ,--              ,4                 ,1.50              ,111.85M   ,3.41B  ,111.85M ,186.28M           ,0.49    ,0.49      ,2.03      ,1.75        ,1.64      ,0.70      ,2.21      ,10.00                       ,2.72    ,239.90            ,+0.22  ,-1.06                  ,-4.47                      ,-2.81                  ,-11.97                  ,-43.05               ,-9.33                ,-24.06               ,+1.34     ,12.60        ,14.21    ,9.03                   ,12.31     ,12.41    ,13.04                   ,1.79                         ,+1.80   ,+0.04,-2.62                  ,+0.01                 ,-0.71                  ,-18.35                   ,-16.49               ,-44.92               ,-3.61                ,+302.01           ,42              ,12.87     ,16.60   ,12.31       ,12.31   ,-0.03                ,0.05           ,+0.18    ,+0.32,-0.06                   ,-0.59                    ,-5.38                    ,-1.70                 ,-37.13               ,-2.95                ,-25.34               ,+1.87             ,14.08      ,21.81     ,12.31    ,12.31  ,0.35         ,5.00             ,-0.30         ,1.10              ,--                   ,25.47                    ,--              ,-2653.29     ,7.14                 ,0.68     ,12.79     ,13.84     ,15.03      ,13.04     ,14.64      ,28.79                ,40.11     ,30.88                   ,36.02,13.90               ,-1.48                     ,-2.61          ,14.20     ,16.31      ,12.96     ,13.73     ,14.94      ,38.92     ,38.69                ,35.09         ,23.12,-0.34      ,-2.97          ,-2.80                     ,13.10     ,14.58      ,13.93     ,36.31                ,14.84                   ,18.49   ,12.29                  ,-0.91          ,-3.36                     ,-13247.85 , 
TDG   ,+1.28      ,216.54    ,763757   ,25.08    ,11.34B    ,32             ,+0.49                     ,32.86     ,226.23    ,-8.04,-67.45      ,97.35                  ,-5.27             ,33.68                  ,233.02                 ,Aerospace & Defense                         ,NYSE    ,TRANSDIGM GROUP INC      ,Aerospace & Defense                  ,--      ,214.54        ,216.44,100     ,2501230      ,949244      ,30.54                   ,80.46                  ,Yes       ,213.81,216.69,216.62,99.31                 ,1712343       ,1467169    ,44.60                    ,52.06                 ,No                ,Industrials               ,--            ,214.54    ,211.03,300     ,1631182     ,51.30                     ,46.82                  ,542.49M        ,No                  ,F  ,***      ,B+                 ,47.06          ,29.41                 ,23.53           ,--                     ,--              ,17                ,1.76              ,586.41M   ,3.17B  ,586.41M ,52.85M            ,8.56    ,10.39     ,7.84      ,12.23       ,3.16      ,2.39      ,5.97      ,11.13                       ,18.49   ,341.01            ,+2.00  ,-37.82                 ,-7.93                      ,-40.09                 ,-10.59                  ,+6.63                ,+189.85              ,+5.35                ,+0.52     ,214.68       ,259.57   ,77.69                  ,203.72    ,214.65   ,2.65                    ,5.28                         ,+0.93   ,-0.73,-34.81                 ,-0.04                 ,-21.93                 ,-15.74                   ,-13.83               ,+44.05               ,+1.10                ,-40.57            ,78              ,239.45    ,259.57  ,207.44      ,203.72  ,3.63                 ,0.15           ,+2.73    ,-0.34,+1.04                   ,-18.48                   ,-9.28                    ,-25.42                ,+4.43                ,+103.92              ,-2.64                ,+6.27             ,259.57     ,294.38    ,203.72   ,203.72 ,5.67         ,8.00             ,-5.52         ,1.09              ,--                   ,20.65                    ,--              ,-1534.48     ,17.54                ,3.57     ,223.92    ,237.13    ,250.87     ,229.28    ,245.32     ,29.29                ,40.71     ,37.47                   ,32.55,259.29              ,-38.75                    ,-33.28         ,239.72    ,261.40     ,227.97    ,237.82    ,247.12     ,38.23     ,39.95                ,45.34         ,24.56,-5.50      ,-0.07          ,-34.96                    ,233.02    ,246.04     ,239.66    ,36.98                ,14.09                   ,14.75   ,206.76                 ,-37.66         ,-4.46                     ,-1485.96  , 
SABR  ,+1.24      ,21.23     ,997425   ,24.36    ,5.80B     ,2              ,-0.45                     ,39.09     ,21.44     ,-0.40,-64.38      ,70.97                  ,-19.76            ,36.77                  ,21.65                  ,IT Services                                 ,NASDAQ  ,SABRE CORP               ,Data Processing & Outsourced Services,0.56    ,20.94         ,21.23 ,1200    ,2077113      ,3081365     ,48.02                   ,32.37                  ,No        ,20.97 ,21.41 ,21.24 ,70.88                 ,2124664       ,3299737    ,46.95                    ,30.23                 ,No                ,Information Technology    ,2.70          ,20.94     ,20.79 ,1200    ,2307800     ,50.19                     ,43.22                  ,43.77M         ,No                  ,D  ,--       ,--                 ,66.67          ,25.00                 ,8.33            ,--                     ,--              ,12                ,1.42              ,246.94M   ,3.37B  ,246.94M ,277.13M           ,0.86    ,0.86      ,1.95      ,1.37        ,0.23      ,-0.74     ,-3.65     ,9.64                        ,7.19    ,337.34            ,+0.29  ,-0.80                  ,-3.28                      ,-3.69                  ,-8.96                   ,-6.30                ,0.00                 ,-21.07               ,+0.71     ,21.11        ,22.33    ,8.35                   ,20.71     ,20.89    ,29.03                   ,1.42                         ,+1.38   ,+0.03,-3.93                  ,-0.01                 ,-0.75                  ,-14.98                   ,-15.53               ,0.00                 ,-14.81               ,+44.67            ,51              ,21.66     ,25.89   ,20.71       ,20.71   ,0.10                 ,0.18           ,+0.26    ,+0.14,-0.09                   ,-0.71                    ,-3.46                    ,-2.06                 ,-22.40               ,0.00                 ,-21.39               ,+4.44             ,22.33      ,29.76     ,20.71    ,20.71  ,0.62         ,8.00             ,-0.44         ,1.06              ,--                   ,24.36                    ,--              ,523.69       ,15.32                ,1.72     ,21.38     ,22.62     ,24.30      ,21.58     ,23.65      ,26.13                ,39.29     ,27.43                   ,35.62,22.48               ,-0.78                     ,-3.77          ,23.00     ,25.66      ,21.53     ,22.49     ,24.00      ,37.61     ,37.71                ,33.98         ,19.35,-0.40      ,-3.31          ,-3.96                     ,21.65     ,23.92      ,22.76     ,34.59                ,13.51                   ,13.27   ,20.82                  ,-0.68          ,-3.84                     ,-5247.18  , 
EVTC  ,+1.13      ,15.63     ,225072   ,15.40    ,1.13B     ,0              ,-1.24                     ,30.62     ,16.19     ,-0.35,-85.66      ,87.50                  ,5.61              ,19.53                  ,16.41                  ,IT Services                                 ,NYSE    ,EVERTEC INC              ,Data Processing & Outsourced Services,0.40    ,15.55         ,15.60 ,700     ,253703       ,311690      ,88.71                   ,72.21                  ,No        ,15.45 ,15.65 ,15.65 ,88.72                 ,267152        ,285567     ,84.25                    ,78.82                 ,No                ,Information Technology    ,2.60          ,15.55     ,15.45 ,2200    ,269128      ,105.65                    ,83.63                  ,4.04M          ,No                  ,B  ,--       ,--                 ,11.11          ,--                    ,77.78           ,11.11                  ,--              ,9                 ,2.89              ,75.13M    ,389.51M,75.13M  ,72.64M            ,1.01    ,1.01      ,1.11      ,1.59        ,0.84      ,-0.34     ,1.01      ,8.28                        ,19.26   ,236.06            ,+0.08  ,-1.38                  ,-5.26                      ,-1.26                  ,-8.97                   ,-26.24               ,0.00                 ,+12.07               ,+1.22     ,15.65        ,17.80    ,2.95                   ,15.42     ,12.98    ,12.50                   ,3.69                         ,+0.48   ,-0.10,-2.32                  ,-0.04                 ,-1.00                  ,-7.50                    ,-11.89               ,-32.82               ,-7.14                ,+74.06            ,6               ,16.85     ,18.26   ,15.42       ,15.42   ,-2.47                ,0.03           ,+0.18    ,-0.64,-0.20                   ,-0.86                    ,-6.06                    ,-1.53                 ,+20.38               ,0.00                 ,+0.01                ,+8.59             ,17.80      ,18.60     ,15.42    ,15.42  ,0.20         ,11.00            ,-0.18         ,0.67              ,--                   ,15.40                    ,--              ,556.16       ,9.81                 ,2.90     ,16.19     ,16.92     ,16.80      ,16.32     ,16.82      ,27.82                ,43.31     ,30.09                   ,14.34,17.46               ,-1.70                     ,-2.13          ,17.07     ,16.69      ,16.20     ,16.74     ,16.78      ,39.30     ,42.84                ,41.01         ,9.15 ,-0.27      ,-1.48          ,-2.20                     ,16.41     ,17.02      ,16.80     ,38.48                ,12.59                   ,9.70    ,15.36                  ,-1.23          ,-1.75                     ,197.24    , 
