Symbol,% Chg(Open),Last Trade,P/E (ttm),Market Cap,Description              ,Industry                                      ,% Total Return (YTD3),Dividend,In S&P Small Cap 600,% Vol Over Yesterday's Vol,DM (DX) 14 Day,Avg $ Vol 5 Day,Volume    , 
GG    ,-5.50      ,14.96     ,84.47    ,13.75B    ,GOLDCORP INC             ,Metals & Mining                               ,-34.51               ,0.08    ,No                  ,182.80                    ,11.31         ,131.17M        ,14884554  , 
SNX   ,-5.25      ,111.80    ,20.11    ,4.72B     ,SYNNEX CORP              ,Electronic Equipment Instruments & Components ,+95.84               ,1.00    ,No                  ,202.27                    ,43.58         ,18.63M         ,414459    , 
SVMLF ,-5.14      ,3.32      ,20.92    ,594.40M   ,SILVERCORP METALS INC    ,Metals & Mining                               ,+80.91               ,0.01    ,No                  ,127.91                    ,17.61         ,321.00K        ,130740    , 
HQY   ,-4.52      ,39.30     ,93.82    ,2.46B     ,HEALTHEQUITY INC         ,Health Care Providers & Services              ,0.00                 ,--      ,Yes                 ,47.24                     ,35.86         ,42.61M         ,569230    , 
PGNX  ,-4.52      ,10.36     ,72.27    ,760.86M   ,PROGENICS PHARMACEUTICAL ,Biotechnology                                 ,+163.08              ,--      ,Yes                 ,73.76                     ,13.68         ,11.87M         ,984712    , 
GFI   ,-4.50      ,3.505     ,18.20    ,3.01B     ,GOLD FIELDS LTD          ,Metals & Mining                               ,-7.15                ,0.08    ,No                  ,100.69                    ,10.73         ,19.56M         ,4932798   , 
AU    ,-3.94      ,10.98     ,75.93    ,4.75B     ,ANGLOGOLD ASHANTI LTD    ,Metals & Mining                               ,-34.35               ,0.10    ,No                  ,69.01                     ,9.73          ,35.78M         ,1955593   , 
OR    ,-3.89      ,11.12     ,38.14    ,1.23B     ,OSISKO GOLD ROYALTIES    ,Metals & Mining                               ,+63.45               ,0.12    ,No                  ,87.84                     ,7.18          ,6.89M          ,407708    , 
SSRI  ,-3.68      ,10.46     ,17.48    ,1.30B     ,SILVER STANDARD RES INC  ,Metals & Mining                               ,+1.35                ,--      ,No                  ,73.31                     ,0.68          ,18.34M         ,974841    , 
BSBR  ,-3.23      ,9.00      ,17.55    ,37.46B    ,BANCO SANTANDER BRASIL  -,Banks                                         ,+130.05              ,0.43    ,No                  ,283.37                    ,49.76         ,19.65M         ,8151200   , 
CDE   ,-3.02      ,7.875     ,23.85    ,1.47B     ,COEUR MINING INC         ,Metals & Mining                               ,-22.18               ,--      ,No                  ,66.77                     ,19.57         ,26.53M         ,2226829   , 
MPEL  ,-2.83      ,18.52     ,55.19    ,9.37B     ,MELCO CROWN ENTMT LTD    ,Hotels Restaurants & Leisure                  ,-44.27               ,0.17    ,No                  ,217.98                    ,25.96         ,47.37M         ,5722210   , 
CRTO  ,-2.81      ,51.10     ,41.93    ,3.19B     ,CRITEO SA                ,Internet Software & Services                  ,+16.13               ,--      ,No                  ,80.88                     ,28.13         ,26.01M         ,370943    , 
XPER  ,-2.80      ,35.53     ,32.77    ,1.81B     ,XPERI CORPORATION        ,Semiconductors & Semiconductor Equipment      ,+74.59               ,0.80    ,Yes                 ,81.82                     ,11.82         ,21.47M         ,332705    , 
SAM   ,-2.79      ,144.40    ,21.97    ,1.39B     ,BOSTON BEER INC  -CL A   ,Beverages                                     ,-39.38               ,--      ,No                  ,176.83                    ,38.37         ,16.27M         ,175443    , 
AEM   ,-2.62      ,43.17     ,63.77    ,10.09B    ,AGNICO EAGLE MINES LTD   ,Metals & Mining                               ,+46.50               ,0.40    ,No                  ,79.69                     ,0.76          ,66.02M         ,1187616   , 
ITRI  ,-2.50      ,60.40     ,75.98    ,2.39B     ,ITRON INC                ,Electronic Equipment Instruments & Components ,+77.42               ,--      ,Yes                 ,69.30                     ,10.38         ,16.25M         ,148664    , 
SNCR  ,-2.42      ,24.18     ,54.70    ,1.13B     ,SYNCHRONOSS TECHNOLOGIES ,Software                                      ,-24.55               ,--      ,Yes                 ,56.67                     ,66.58         ,16.50M         ,805052    , 
GIMO  ,-2.39      ,34.65     ,26.98    ,1.30B     ,GIGAMON INC              ,Software                                      ,+1.62                ,--      ,No                  ,74.27                     ,2.79          ,32.45M         ,432033    , 
EGOV  ,-2.21      ,19.95     ,24.30    ,1.36B     ,NIC INC                  ,Internet Software & Services                  ,+18.35               ,0.32    ,Yes                 ,171.03                    ,52.34         ,11.01M         ,436408    , 
TTS   ,-2.12      ,18.50     ,52.91    ,980.57M   ,TILE SHOP HOLDINGS INC   ,Specialty Retail                              ,+20.83               ,0.20    ,Yes                 ,50.40                     ,6.57          ,5.51M          ,130121    , 
RAD   ,-1.96      ,4.51      ,57.88    ,4.85B     ,RITE AID CORP            ,Food & Staples Retailing                      ,-29.91               ,--      ,No                  ,61.49                     ,35.43         ,73.81M         ,4944075   , 
AAOI  ,-1.90      ,58.88     ,34.02    ,1.12B     ,APPLIED OPTOELECTRONICS I,Communications Equipment                      ,+113.17              ,--      ,No                  ,47.12                     ,63.22         ,118.01M        ,1742322   , 
UPLMQ ,-1.88      ,6.53      ,18.50    ,1.02B     ,ULTRA PETROLEUM CORP     ,Oil Gas & Consumable Fuels                    ,-73.28               ,--      ,No                  ,248.03                    ,12.08         ,1.96M          ,378492    , 
PAAS  ,-1.68      ,17.58     ,27.11    ,2.73B     ,PAN AMERICAN SILVER CORP ,Metals & Mining                               ,+42.56               ,0.10    ,No                  ,57.48                     ,1.24          ,37.46M         ,1132799   , 
ROIC  ,-1.63      ,20.80     ,66.68    ,2.28B     ,RETAIL OPPORTUNITY INVTS ,Equity Real Estate Investment Trusts (REITs)  ,+63.49               ,0.75    ,Yes                 ,101.60                    ,39.43         ,19.28M         ,677166    , 
FNV   ,-1.62      ,65.03     ,96.25    ,11.88B    ,FRANCO-NEVADA CORP       ,Metals & Mining                               ,+47.64               ,0.88    ,No                  ,39.22                     ,2.78          ,67.27M         ,531275    , 
SLW   ,-1.59      ,20.68     ,46.73    ,9.31B     ,SILVER WHEATON CORP      ,Metals & Mining                               ,-8.61                ,0.28    ,No                  ,81.78                     ,28.40         ,133.49M        ,3856453   , 
BEAT  ,-1.56      ,28.35     ,16.06    ,797.23M   ,BIOTELEMETRY INC         ,Health Care Providers & Services              ,+163.89              ,--      ,Yes                 ,48.16                     ,36.18         ,11.41M         ,443156    , 
FDS   ,-1.51      ,165.22    ,20.67    ,6.91B     ,FACTSET RESEARCH SYSTEMS ,Capital Markets                               ,+69.26               ,2.00    ,No                  ,212.25                    ,44.71         ,44.90M         ,859206    , 
AEE   ,-1.50      ,55.10     ,20.91    ,13.60B    ,AMEREN CORP              ,Multi-Utilities                               ,+55.24               ,1.76    ,No                  ,345.47                    ,16.82         ,81.72M         ,3742616   , 
AM    ,-1.48      ,32.50     ,26.55    ,6.13B     ,ANTERO MIDSTREAM PARTNERS,Oil Gas & Consumable Fuels                    ,0.00                 ,1.12    ,No                  ,122.40                    ,55.50         ,9.65M          ,303186    , 
GRFS  ,-1.41      ,18.18     ,41.40    ,15.17B    ,GRIFOLS SA               ,Biotechnology                                 ,-2.55                ,0.36    ,No                  ,90.29                     ,36.44         ,12.06M         ,619277    , 
SCHL  ,-1.41      ,42.06     ,28.15    ,1.42B     ,SCHOLASTIC CORP          ,Media                                         ,+31.78               ,0.60    ,Yes                 ,83.16                     ,53.77         ,7.90M          ,100550    , 
CVI   ,-1.37      ,19.44     ,70.04    ,1.70B     ,CVR ENERGY INC           ,Oil Gas & Consumable Fuels                    ,-38.41               ,2.00    ,No                  ,130.81                    ,30.38         ,10.45M         ,620525    , 
INSY  ,-1.35      ,10.97     ,35.41    ,795.21M   ,INSYS THERAPEUTICS INC   ,Biotechnology                                 ,-53.24               ,--      ,No                  ,80.10                     ,32.71         ,10.10M         ,557195    , 
ACIA  ,-1.35      ,56.20     ,17.79    ,2.20B     ,ACACIA COMMUNICATIONS INC,Communications Equipment                      ,0.00                 ,--      ,No                  ,50.95                     ,14.26         ,100.62M        ,660354    , 
PTHN  ,-1.34      ,25.86     ,42.41    ,3.79B     ,PATHEON NV               ,Life Sciences Tools & Services                ,0.00                 ,--      ,No                  ,56.75                     ,56.90         ,16.27M         ,258438    , 
GOLF  ,-1.33      ,17.07     ,55.72    ,1.30B     ,ACUSHNET HOLDINGS CORP   ,Leisure Products                              ,0.00                 ,0.48    ,No                  ,89.88                     ,26.19         ,7.67M          ,107674    , 
NTDOY ,-1.32      ,29.83     ,40.36    ,34.51B    ,NINTENDO CO LTD          ,Software                                      ,+109.17              ,0.18    ,No                  ,96.75                     ,21.50         ,16.39M         ,200672    , 
EGRX  ,-1.32      ,82.12     ,16.72    ,1.26B     ,EAGLE PHARMACEUTICALS INC,Biotechnology                                 ,+486.92              ,--      ,Yes                 ,39.78                     ,6.95          ,21.43M         ,101824    , 
EW    ,-1.21      ,94.46     ,36.73    ,20.37B    ,EDWARDS LIFESCIENCES CORP,Health Care Equipment & Supplies              ,+169.50              ,--      ,No                  ,85.70                     ,17.13         ,161.20M        ,1603143   , 
GOLD  ,-1.20      ,88.85     ,34.54    ,8.49B     ,RANDGOLD RESOURCES LTD   ,Metals & Mining                               ,+20.15               ,1.00    ,No                  ,120.26                    ,1.92          ,53.77M         ,598273    , 
MKC   ,-1.17      ,98.83     ,27.47    ,12.69B    ,MCCORMICK & CO INC       ,Food Products                                 ,+58.71               ,1.88    ,No                  ,108.30                    ,17.47         ,64.94M         ,943483    , 
KATE  ,-1.16      ,23.03     ,19.85    ,3.02B     ,KATE SPADE & CO          ,Textiles Apparel & Luxury Goods               ,-39.83               ,--      ,No                  ,108.19                    ,22.16         ,78.91M         ,3911361   , 
TECH  ,-1.15      ,99.65     ,48.14    ,3.77B     ,BIO-TECHNE CORP          ,Life Sciences Tools & Services                ,+24.74               ,1.28    ,No                  ,57.36                     ,46.66         ,20.04M         ,159346    , 
MTCH  ,-1.12      ,15.87     ,25.13    ,740.47M   ,MATCH GROUP INC          ,Internet Software & Services                  ,0.00                 ,--      ,No                  ,114.84                    ,37.64         ,13.19M         ,1551613   , 
CBPX  ,-1.09      ,24.98     ,23.47    ,1.01B     ,CONTINENTAL BUILDING PROD,Building Products                             ,+34.40               ,--      ,No                  ,113.55                    ,0.04          ,5.72M          ,285627    , 
CRY   ,-1.06      ,16.28     ,51.36    ,545.84M   ,CRYOLIFE INC             ,Health Care Equipment & Supplies              ,+86.07               ,--      ,Yes                 ,111.86                    ,17.58         ,2.15M          ,110832    , 
HL    ,-1.06      ,5.155     ,29.18    ,2.06B     ,HECLA MINING CO          ,Metals & Mining                               ,+63.73               ,0.01    ,No                  ,60.84                     ,18.53         ,28.89M         ,2878073   , 
