Symbol,% Chg(Open),Last Trade,Volume   ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change ,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
BOFI  ,-4.18      ,26.85     ,4481718  ,14.41    ,1.78B     ,205            ,+1.94                     ,33.85     ,28.16     ,-0.57,-62.55      ,59.52                  ,10.96             ,23.67                  ,28.54                  ,Thrifts & Mortgage Finance                    ,NCM     ,BOFI HOLDING INC         ,Thrifts & Mortgage Finance           ,--      ,28.08         ,26.81 ,600     ,744783       ,939637      ,601.75                  ,476.96                 ,No        ,28.02 ,28.19 ,26.85 ,88.56                 ,902842        ,806171     ,496.40                   ,555.93                ,No                ,Financials            ,--            ,28.08     ,24.88 ,100     ,920881      ,559.50                    ,486.68                 ,20.60M         ,Yes                 ,C  ,--       ,B+                 ,85.71          ,14.29                 ,--              ,--                     ,--              ,7                 ,1.14              ,119.29M   ,384.05M,119.29M ,63.36M            ,1.95    ,1.85      ,1.34      ,2.09        ,0.96      ,0.72      ,0.58      ,10.00                       ,37.55   ,490.96            ,-1.23  ,-5.19                  ,-1.62                      ,+2.08                  ,-3.15                   ,+15.51               ,+544.08              ,+68.03               ,+0.26     ,28.54        ,32.57    ,4.38                   ,25.78     ,15.29    ,40.48                   ,5.31                         ,-4.38   ,-0.06,-2.35                  ,-0.02                 ,-0.96                  ,+7.99                    ,-1.65                ,+28.13               ,+33.47               ,+18.70            ,5               ,28.54     ,32.57   ,27.28       ,25.78   ,-9.59                ,1.34           ,-1.17    ,-0.21,+0.53                   ,-0.46                    ,-3.32                    ,-0.91                 ,+27.59               ,+209.09              ,+46.70               ,+1.71             ,32.57      ,32.57     ,25.78    ,25.78  ,3.31         ,21.00            ,-1.97         ,0.62              ,--                   ,15.18                    ,2.62            ,--           ,13.45                ,4.63     ,27.86     ,28.98     ,26.42      ,28.39     ,27.26      ,44.43                ,49.09     ,41.42                   ,37.45,30.39               ,-3.46                     ,-1.70          ,28.96     ,23.51      ,28.28     ,28.53     ,26.72      ,44.69     ,51.68                ,45.18         ,44.61,-0.40      ,-2.65          ,-0.84                     ,28.54     ,27.43      ,28.33     ,48.79                ,15.64                   ,40.77   ,26.70                  ,-5.26          ,-0.28                     ,1687.45   , 
IIVI  ,-3.48      ,38.13     ,731662   ,36.28    ,2.48B     ,34             ,+3.06                     ,58.49     ,36.93     ,0.63 ,-23.16      ,15.71                  ,18.86             ,23.44                  ,35.94                  ,Electronic Equipment Instruments & Components ,NGM/NGS ,II-VI INC                ,Electronic Components                ,--      ,39.60         ,38.10 ,600     ,992125       ,518480      ,73.75                   ,141.12                 ,No        ,39.50 ,39.60 ,38.15 ,80.26                 ,854052        ,638051     ,85.67                    ,114.67                ,No                ,Information Technology,--            ,39.60     ,37.85 ,600     ,827867      ,76.84                     ,88.38                  ,37.79M         ,Yes                 ,C  ,--       ,B                  ,66.67          ,33.33                 ,--              ,--                     ,--              ,3                 ,1.33              ,65.49M    ,827.22M,65.49M  ,62.56M            ,1.09    ,1.04      ,1.05      ,1.29        ,0.60      ,0.79      ,0.93      ,20.00                       ,7.92    ,92.66             ,-1.48  ,+2.02                  ,+10.20                     ,+8.50                  ,+12.50                  ,+107.65              ,+60.61               ,+74.68               ,+0.16     ,39.79        ,39.79    ,1.50                   ,32.60     ,17.76    ,84.29                   ,-5.38                        ,-3.72   ,-0.10,+8.18                  ,+0.06                 ,+3.73                  ,+27.35                   ,+33.56               ,+150.99              ,+17.88               ,+8.84             ,1               ,39.79     ,41.10   ,38.79       ,32.60   ,-20.09               ,1.48           ,-1.38    ,-0.25,+1.18                   ,+3.66                    ,+10.38                   ,+4.40                 ,+82.25               ,+127.68              ,+68.00               ,+5.95             ,39.79      ,41.10     ,34.40    ,29.10  ,1.75         ,96.00            ,-0.28         ,1.56              ,--                   ,38.08                    ,5.78            ,27.60        ,30.70                ,2.99     ,36.87     ,36.34     ,31.96      ,36.71     ,33.12      ,69.88                ,58.28     ,18.07                   ,76.84,39.39               ,4.00                      ,8.48           ,35.25     ,27.56      ,36.07     ,35.55     ,32.23      ,57.42     ,61.24                ,24.94         ,89.99,0.18       ,1.63           ,9.75                      ,35.94     ,33.10      ,35.07     ,61.77                ,30.08                   ,93.90   ,32.48                  ,1.73           ,3.50                      ,2802.77   , 
FNSR  ,-3.31      ,28.04     ,3364670  ,24.58    ,3.22B     ,104            ,+1.98                     ,41.09     ,28.76     ,-1.15,-36.05      ,17.09                  ,-38.55            ,27.47                  ,29.52                  ,Communications Equipment                      ,NCM     ,FINISAR CORP             ,Communications Equipment             ,--      ,28.88         ,28.04 ,400     ,2883837      ,2855612     ,116.67                  ,117.83                 ,No        ,29.00 ,29.01 ,28.06 ,96.58                 ,5590067       ,3873388    ,60.19                    ,86.87                 ,No                ,Information Technology,--            ,28.88     ,27.84 ,700     ,5267728     ,116.90                    ,63.87                  ,81.54M         ,No                  ,C  ,--       ,B                  ,75.00          ,16.67                 ,8.33            ,--                     ,--              ,12                ,1.33              ,35.19M    ,1.26B  ,35.19M  ,111.39M           ,1.17    ,0.32      ,0.11      ,2.07        ,1.09      ,-0.06     ,0.46      ,15.00                       ,2.79    ,94.27             ,-0.84  ,-5.92                  ,-2.18                      ,-1.75                  ,-6.14                   ,+26.21               ,+50.69               ,+99.05               ,+1.36     ,29.07        ,35.25    ,7.84                   ,25.61     ,15.21    ,82.91                   ,-0.48                        ,-2.91   ,+0.12,-2.48                  ,+0.02                 ,-1.32                  ,-5.71                    ,-4.59                ,+4.23                ,+0.75                ,+10.41            ,1               ,29.07     ,36.40   ,28.34       ,25.61   ,-12.63               ,0.97           ,-0.96    ,+0.42,+0.56                   ,-0.64                    ,-4.38                    ,-1.89                 ,+53.05               ,+111.01              ,+58.07               ,+6.63             ,35.25      ,36.85     ,26.75    ,25.61  ,1.17         ,14.00            ,-0.20         ,1.06              ,--                   ,90.25                    ,2.99            ,19.78        ,13.95                ,2.55     ,27.77     ,31.05     ,30.73      ,29.21     ,29.92      ,46.91                ,47.10     ,30.69                   ,63.95,36.17               ,-4.59                     ,-2.23          ,30.72     ,27.05      ,27.90     ,30.36     ,29.45      ,44.28     ,48.31                ,24.60         ,42.96,-1.21      ,-1.53          ,-1.99                     ,29.52     ,31.05      ,30.41     ,46.08                ,18.57                   ,33.74   ,22.88                  ,-6.32          ,-0.48                     ,-37265.79 , 
XPER  ,-3.31      ,34.38     ,484844   ,31.88    ,1.76B     ,30             ,-1.12                     ,34.38     ,36.11     ,-1.05,-81.25      ,1.79                   ,6.00              ,32.11                  ,35.36                  ,Semiconductors & Semiconductor Equipment      ,NASDAQ  ,XPERI CORPORATION        ,Semiconductor Equipment              ,0.80    ,35.70         ,34.35 ,1000    ,547045       ,424872      ,88.63                   ,114.12                 ,No        ,35.55 ,35.75 ,34.40 ,95.22                 ,555041        ,457657     ,87.35                    ,105.94                ,No                ,Information Technology,2.20          ,35.70     ,34.35 ,1000    ,579869      ,80.00                     ,83.61                  ,19.92M         ,Yes                 ,C  ,--       ,B-                 ,100.00         ,--                    ,--              ,--                     ,--              ,3                 ,1.00              ,56.09M    ,259.56M,56.09M  ,49.22M            ,1.12    ,1.12      ,2.23      ,2.05        ,3.19      ,-3.48     ,-0.58     ,22.50                       ,21.61   ,370.81            ,-1.32  ,-1.62                  ,+0.95                      ,-4.58                  ,-12.93                  ,-8.89                ,+153.13              ,+12.96               ,+0.95     ,36.70        ,38.60    ,10.20                  ,33.40     ,28.57    ,98.21                   ,3.42                         ,-3.71   ,-0.15,-9.82                  ,-0.06                 ,+0.18                  ,-11.36                   ,-18.79               ,+74.59               ,-8.98                ,+10.97            ,4               ,37.50     ,45.95   ,35.32       ,33.40   ,-5.78                ,1.38           ,-1.18    ,-0.42,-0.41                   ,+0.34                    ,+0.51                    ,-5.30                 ,+25.45               ,+131.49              ,+8.03                ,+6.50             ,38.60      ,45.95     ,35.32    ,33.40  ,1.40         ,7.00             ,-0.03         ,1.37              ,--                   ,31.88                    ,--              ,113.68       ,17.39                ,6.77     ,36.26     ,40.17     ,40.52      ,36.48     ,39.31      ,42.12                ,41.25     ,32.20                   ,18.75,37.70               ,-0.15                     ,-9.83          ,40.89     ,37.52      ,35.55     ,38.67     ,39.13      ,37.36     ,43.24                ,21.68         ,42.15,-1.36      ,-10.83         ,-9.10                     ,35.36     ,41.06      ,39.02     ,40.17                ,20.73                   ,56.14   ,33.03                  ,-1.38          ,-9.20                     ,467.58    , 
MYL   ,-3.06      ,40.23     ,7297404  ,45.35    ,22.36B    ,115            ,+1.15                     ,31.07     ,41.84     ,-0.10,-99.57      ,0.90                   ,-0.52             ,21.51                  ,42.64                  ,Pharmaceuticals                               ,NASDAQ  ,MYLAN NV                 ,Pharmaceuticals                      ,--      ,41.72         ,40.23 ,400     ,9257846      ,6153586     ,78.82                   ,118.59                 ,Yes       ,41.50 ,41.89 ,40.24 ,65.60                 ,6625197       ,5846996    ,110.15                   ,124.81                ,No                ,Health Care           ,--            ,41.72     ,40.22 ,200     ,6519924     ,166.55                    ,111.92                 ,382.34M        ,No                  ,A  ,***      ,--                 ,42.86          ,14.29                 ,42.86           ,--                     ,--              ,21                ,2.00              ,480.00M   ,11.08B ,480.00M ,535.5M            ,0.92    ,0.92      ,1.70      ,5.32        ,2.34      ,1.58      ,1.52      ,7.50                        ,4.33    ,316.48            ,-1.49  ,-4.11                  ,-2.16                      ,+2.86                  ,+3.41                   ,-35.08               ,+78.24               ,-3.44                ,+1.12     ,42.48        ,45.87    ,8.51                   ,40.25     ,33.60    ,99.10                   ,4.65                         ,-3.57   ,-0.22,+1.76                  ,-0.04                 ,-1.09                  ,+7.36                    ,+9.36                ,-18.03               ,+14.31               ,+4.60             ,26              ,42.48     ,45.87   ,41.55       ,40.25   ,-6.62                ,1.66           ,-1.27    ,-0.53,+0.48                   ,-0.92                    ,-2.54                    ,+1.38                 ,-10.72               ,+37.36               ,-1.20                ,+1.68             ,45.87      ,50.40     ,40.25    ,35.15  ,1.68         ,76.00            ,-0.02         ,1.95              ,--                   ,45.35                    ,--              ,136.75       ,7.84                 ,2.02     ,41.63     ,40.77     ,38.73      ,41.90     ,40.41      ,44.68                ,49.64     ,31.85                   ,0.43 ,45.15               ,-0.13                     ,2.08           ,40.34     ,40.91      ,42.10     ,41.10     ,40.45      ,47.79     ,52.61                ,21.29         ,27.63,0.26       ,2.19           ,4.34                      ,42.64     ,39.00      ,40.85     ,53.06                ,20.67                   ,28.42   ,40.13                  ,-4.64          ,5.38                      ,-474.35   , 
PAYX  ,-2.76      ,58.84     ,3991023  ,28.17    ,21.74B    ,190            ,-0.18                     ,23.16     ,61.31     ,-0.11,-94.16      ,10.74                  ,-29.72            ,25.56                  ,61.94                  ,IT Services                                   ,NGM/NGS ,PAYCHEX INC              ,Data Processing & Outsourced Services,1.84    ,60.58         ,58.83 ,500     ,2427006      ,2015365     ,164.44                  ,198.03                 ,Yes       ,60.51 ,61.00 ,58.86 ,69.69                 ,1705148       ,1782393    ,234.06                   ,223.91                ,No                ,Information Technology,3.00          ,60.58     ,58.58 ,500     ,1720182     ,80.52                     ,232.01                 ,148.15M        ,No                  ,D  ,***      ,A                  ,9.52           ,4.76                  ,52.38           ,14.29                  ,19.05           ,21                ,3.29              ,756.80M   ,2.95B  ,756.80M ,358.84M           ,2.15    ,2.09      ,1.85      ,2.21        ,1.71      ,1.56      ,1.51      ,9.17                        ,25.64   ,218.66            ,-1.74  ,-2.87                  ,-2.20                      ,+1.40                  ,-0.46                   ,+28.27               ,+131.34              ,+15.98               ,+0.89     ,61.05        ,63.03    ,2.03                   ,60.51     ,51.06    ,89.26                   ,5.05                         ,-2.87   ,-0.07,-2.31                  ,-0.05                 ,-1.50                  ,+2.37                    ,+0.26                ,+60.75               ,+4.98                ,+42.35            ,12              ,62.10     ,63.03   ,60.51       ,60.51   ,-7.52                ,2.16           ,-1.67    ,-0.12,-0.11                   ,-1.36                    ,-2.42                    ,-0.28                 ,+17.82               ,+102.77              ,+2.85                ,+13.19            ,63.03      ,63.03     ,60.51    ,57.07  ,2.42         ,33.00            ,-0.26         ,1.21              ,--                   ,28.99                    ,18.43           ,--           ,27.36                ,7.36     ,61.49     ,60.77     ,59.24      ,61.36     ,60.15      ,34.79                ,46.71     ,34.09                   ,5.84 ,63.78               ,-0.84                     ,-2.04          ,60.83     ,59.19      ,61.81     ,60.95     ,59.85      ,42.07     ,51.01                ,50.43         ,5.59 ,0.30       ,-1.45          ,-0.82                     ,61.94     ,59.92      ,60.79     ,48.68                ,11.24                   ,8.48    ,60.11                  ,-3.97          ,-0.23                     ,-8209.04  , 
NGHC  ,-2.55      ,22.91     ,274128   ,16.78    ,2.45B     ,54             ,-0.08                     ,36.96     ,23.35     ,-0.46,-59.91      ,16.28                  ,-6.78             ,18.08                  ,23.62                  ,Insurance                                     ,NASDAQ  ,NATIONAL GENERAL HOLDINGS,Multi-line Insurance                 ,0.16    ,22.99         ,22.88 ,200     ,253725       ,203451      ,108.04                  ,134.74                 ,No        ,23.51 ,23.63 ,22.91 ,58.90                 ,240748        ,202397     ,113.87                   ,135.44                ,No                ,Financials            ,0.70          ,22.99     ,22.77 ,200     ,259605      ,91.22                     ,105.59                 ,5.79M          ,No                  ,A  ,--       ,--                 ,40.00          ,40.00                 ,20.00           ,--                     ,--              ,5                 ,1.80              ,192.88M   ,3.52B  ,192.88M ,106.5M            ,1.37    ,1.37      ,1.27      ,2.05        ,1.07      ,0.59      ,0.56      ,15.00                       ,4.89    ,508.53            ,-0.08  ,-1.52                  ,-2.66                      ,-0.44                  ,-5.89                   ,+28.04               ,0.00                 ,+17.99               ,+1.26     ,23.06        ,26.99    ,3.36                   ,21.98     ,18.04    ,83.72                   ,2.03                         ,-0.35   ,+0.52,-2.22                  ,+0.02                 ,-0.80                  ,-1.86                    ,-8.00                ,+66.22               ,+7.92                ,+13.94            ,2               ,23.64     ,26.99   ,22.71       ,21.98   ,-4.73                ,0.72           ,-0.60    ,+2.26,-0.02                   ,-0.63                    ,-3.34                    ,-1.44                 ,+8.34                ,0.00                 ,+7.17                ,+3.01             ,25.07      ,26.99     ,21.98    ,21.98  ,0.86         ,15.00            ,-0.14         ,0.72              ,--                   ,16.78                    ,2.88            ,39.05        ,11.20                ,0.69     ,23.07     ,24.32     ,23.57      ,23.52     ,23.77      ,38.19                ,46.08     ,24.59                   ,40.09,24.91               ,-1.35                     ,-2.08          ,24.40     ,22.81      ,23.37     ,23.97     ,23.63      ,42.00     ,46.41                ,5.78          ,42.00,-0.41      ,-1.58          ,-2.01                     ,23.62     ,23.99      ,23.97     ,42.50                ,21.90                   ,41.72   ,22.33                  ,-1.94          ,-1.35                     ,-253.30   , 
AAOI  ,-2.15      ,57.91     ,807510   ,33.27    ,1.09B     ,47             ,+3.51                     ,67.44     ,52.85     ,4.28 ,-16.79      ,21.38                  ,23.26             ,58.61                  ,52.21                  ,Communications Equipment                      ,NASDAQ  ,APPLIED OPTOELECTRONICS I,Communications Equipment             ,--      ,58.56         ,57.90 ,100     ,2308362      ,721959      ,34.98                   ,111.85                 ,No        ,59.18 ,59.42 ,57.93 ,66.09                 ,1625599       ,1123161    ,49.67                    ,71.90                 ,No                ,Information Technology,--            ,58.56     ,57.50 ,100     ,1627033     ,38.28                     ,49.63                  ,130.02M        ,No                  ,C  ,--       ,--                 ,50.00          ,33.33                 ,16.67           ,--                     ,--              ,6                 ,1.67              ,31.23M    ,260.71M,31.23M  ,18.68M            ,1.76    ,1.76      ,0.65      ,3.39        ,0.28      ,-0.14     ,-3.56     ,17.50                       ,11.98   ,93.92             ,-0.65  ,+11.49                 ,+12.17                     ,+28.64                 ,+51.77                  ,+290.77              ,0.00                 ,+335.26              ,+2.81     ,60.09        ,60.19    ,0.77                   ,45.89     ,8.08     ,78.62                   ,-9.86                        ,-1.11   ,+0.62,+34.20                 ,+0.10                 ,+7.36                  ,+95.69                   ,+149.83              ,+113.17              ,+85.39               ,+15.90            ,2               ,60.19     ,60.19   ,57.12       ,44.42   ,-49.42               ,1.51           ,-1.27    ,+1.06,+1.98                   ,+6.35                    ,+14.37                   ,+19.97                ,+248.45              ,0.00                 ,+172.52              ,+10.48            ,60.19      ,60.19     ,47.06    ,21.88  ,1.92         ,100.00           ,-0.41         ,1.43              ,--                   ,33.27                    ,4.85            ,15.38        ,17.27                ,4.20     ,53.28     ,41.73     ,31.07      ,51.30     ,36.11      ,69.70                ,67.99     ,7.23                    ,83.21,59.11               ,12.64                     ,34.47          ,38.91     ,24.58      ,52.20     ,43.63     ,34.09      ,68.33     ,68.72                ,63.22         ,89.64,4.00       ,27.15          ,34.29                     ,52.21     ,33.11      ,41.73     ,69.33                ,32.07                   ,86.70   ,45.30                  ,11.06          ,28.15                     ,5253.25   , 
NTES  ,-2.14      ,283.63    ,661946   ,21.88    ,38.37B    ,114            ,+0.64                     ,43.58     ,287.88    ,2.25 ,-81.64      ,4.70                   ,-0.79             ,18.88                  ,289.03                 ,Internet Software & Services                  ,NGM/NGS ,NETEASE INC              ,Internet Software & Services         ,3.30    ,289.35        ,283.51,200     ,893030       ,1127035     ,74.12                   ,58.73                  ,No        ,289.83,290.17,283.70,57.17                 ,1029085       ,1134086    ,64.32                    ,58.37                 ,No                ,Information Technology,1.10          ,289.35    ,283.31,100     ,1036322     ,97.93                     ,63.87                  ,256.87M        ,No                  ,-- ,--       ,--                 ,68.00          ,12.00                 ,16.00           ,4.00                   ,--              ,25                ,1.56              ,1.78B     ,5.75B  ,1.78B   ,132.6M            ,13.22   ,13.22     ,7.69      ,16.94       ,5.46      ,5.12      ,4.17      ,26.87                       ,4.58    ,--                ,-5.72  ,-23.89                 ,+0.11                      ,+36.83                 ,+7.75                   ,+189.89              ,+428.39              ,+72.74               ,+0.74     ,292.81       ,308.65   ,18.49                  ,280.31    ,130.82   ,95.30                   ,1.59                         ,-1.98   ,+0.48,+64.25                 ,-0.01                 ,-1.85                  ,+14.58                   ,+34.82               ,+365.88              ,+36.13               ,+36.60            ,1               ,292.81    ,308.65  ,288.87      ,280.31  ,-152.49              ,6.54           ,-6.20    ,+0.17,+1.85                   ,+0.32                    ,-0.64                    ,+20.81                ,+102.99              ,+460.95              ,+44.40               ,+24.88            ,308.65     ,308.66    ,280.31   ,215.63 ,6.86         ,96.00            ,-0.32         ,0.94              ,--                   ,21.88                    ,7.02            ,--           ,17.08                ,6.67     ,287.52    ,276.08    ,253.51     ,287.24    ,260.26     ,52.74                ,56.03     ,21.15                   ,18.36,295.46              ,-15.71                    ,68.29          ,268.79    ,234.97     ,288.14    ,276.24    ,254.94     ,54.81     ,57.72                ,7.50          ,39.27,3.96       ,29.73          ,66.35                     ,289.03    ,252.10     ,272.57    ,57.68                ,18.20                   ,43.95   ,282.60                 ,-18.95         ,38.86                     ,-102.79   , 
HA    ,-2.09      ,46.75     ,583041   ,11.01    ,2.57B     ,34             ,+0.06                     ,39.58     ,48.29     ,-0.74,-83.41      ,6.38                   ,2.48              ,28.41                  ,48.49                  ,Airlines                                      ,NASDAQ  ,HAWAIIAN HOLDINGS INC    ,Airlines                             ,--      ,48.00         ,46.75 ,700     ,696956       ,739661      ,83.66                   ,78.83                  ,No        ,47.75 ,47.85 ,46.80 ,95.81                 ,831254        ,779341     ,70.14                    ,74.81                 ,No                ,Industrials           ,--            ,48.00     ,46.68 ,100     ,817411      ,68.07                     ,71.33                  ,33.43M         ,Yes                 ,D  ,--       ,B                  ,36.36          ,--                    ,45.45           ,9.09                   ,9.09            ,11                ,2.55              ,235.43M   ,2.45B  ,235.43M ,53.45M            ,4.36    ,4.36      ,2.98      ,4.80        ,1.10      ,0.98      ,1.01      ,13.60                       ,9.61    ,395.32            ,-1.25  ,-2.60                  ,-1.00                      ,-2.93                  ,-6.58                   ,+120.78              ,+822.86              ,+20.24               ,+1.25     ,49.28        ,50.30    ,13.05                  ,46.05     ,34.69    ,93.62                   ,3.28                         ,-2.60   ,-0.25,-10.80                 ,-0.01                 ,-0.66                  ,-5.75                    ,-15.79               ,+252.88              ,-5.26                ,+41.80            ,4               ,49.37     ,58.50   ,47.32       ,46.05   ,-11.99               ,1.10           ,-1.00    ,-0.52,+0.03                   ,-0.49                    ,-1.35                    ,-3.38                 ,+4.69                ,+671.50              ,+3.55                ,+9.06             ,50.30      ,60.90     ,46.05    ,46.05  ,1.18         ,6.00             ,-0.08         ,0.47              ,--                   ,11.01                    ,4.61            ,73.17        ,9.99                 ,1.05     ,48.09     ,50.25     ,51.20      ,48.55     ,50.32      ,45.73                ,45.36     ,22.83                   ,16.59,50.34               ,-0.65                     ,-10.25         ,51.31     ,48.38      ,48.28     ,49.98     ,50.07      ,42.74     ,46.85                ,20.45         ,44.23,-0.77      ,-4.20          ,-10.20                    ,48.49     ,51.94      ,50.23     ,45.02                ,15.08                   ,52.26   ,46.63                  ,-2.65          ,-3.20                     ,295.22    , 
