Symbol,% Chg(Open),% Total Return (YTD3),Last Trade,Volume   ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                    ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change ,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
NTES  ,-2.18      ,+365.88              ,283.51    ,663230   ,21.88    ,38.37B    ,114            ,+0.65                     ,43.42     ,287.86    ,2.24 ,-82.30      ,2.95                   ,-0.97             ,18.88                  ,289.03                 ,Internet Software & Services                  ,NGM/NGS ,NETEASE INC              ,Internet Software & Services         ,3.30    ,289.35        ,283.50,200     ,893030       ,1127035     ,74.27                   ,58.85                  ,No        ,289.83,290.17,283.65,57.17                 ,1029085       ,1134086    ,64.45                    ,58.48                 ,No                ,Information Technology    ,1.10          ,289.35    ,283.31,400     ,1036322     ,98.12                     ,64.00                  ,256.87M        ,No                  ,-- ,--       ,--                 ,68.00          ,12.00                 ,16.00           ,4.00                   ,--              ,25                ,1.56              ,1.78B     ,5.75B  ,1.78B   ,132.6M            ,13.22   ,13.22     ,7.69      ,16.94       ,5.46      ,5.12      ,4.17      ,26.87                       ,4.58    ,--                ,-5.84  ,-24.01                 ,+0.11                      ,+36.83                 ,+7.75                   ,+189.89              ,+428.39              ,+72.74               ,+0.74     ,292.81       ,308.65   ,18.49                  ,280.31    ,130.82   ,97.05                   ,1.63                         ,-2.02   ,+0.48,+64.13                 ,-0.01                 ,-1.85                  ,+14.58                   ,+34.82               ,+36.13               ,+36.60            ,1               ,292.81    ,308.65  ,288.87      ,280.31  ,-152.49              ,6.66           ,-6.32    ,+0.17,+1.88                   ,+0.32                    ,-0.64                    ,+20.81                ,+102.99              ,+460.95              ,+44.40               ,+24.88            ,308.65     ,308.66    ,280.31   ,215.63 ,6.86         ,96.00            ,-0.20         ,0.94              ,--                   ,21.88                    ,7.02            ,--           ,17.08                ,6.67     ,287.51    ,276.08    ,253.51     ,287.23    ,260.26     ,52.74                ,55.99     ,21.15                   ,17.70,295.48              ,-15.71                    ,68.17          ,268.79    ,234.97     ,288.13    ,276.24    ,254.94     ,54.76     ,57.72                ,7.50          ,39.05,3.96       ,29.61          ,66.35                     ,289.03    ,252.10     ,272.57    ,57.68                ,18.20                   ,43.88   ,282.58                 ,-19.07         ,38.86                     ,-127.15   , 
STMP  ,-1.69      ,+243.21              ,113.65    ,382531   ,28.06    ,1.95B     ,38             ,-0.25                     ,21.76     ,121.76    ,-2.87,-94.65      ,11.94                  ,-23.29            ,29.41                  ,124.95                 ,Internet Software & Services                  ,NCM     ,STAMPS.COM INC           ,Internet Software & Services         ,--      ,115.60        ,113.60,200     ,416709       ,312363      ,91.80                   ,122.46                 ,No        ,115.60,116.60,113.70,94.13                 ,333309        ,270545     ,114.77                   ,141.39                ,No                ,Information Technology    ,--            ,115.60    ,113.25,200     ,341900      ,113.83                    ,111.88                 ,48.93M         ,Yes                 ,D  ,--       ,B                  ,83.33          ,16.67                 ,--              ,--                     ,--              ,6                 ,1.17              ,75.23M    ,364.30M,75.23M  ,16.85M            ,4.12    ,4.12      ,-0.26     ,6.50        ,2.25      ,2.71      ,2.30      ,22.00                       ,20.65   ,520.43            ,-1.95  ,-13.95                 ,-7.48                      ,+3.57                  ,-6.70                   ,+100.69              ,+319.81              ,+38.59               ,+0.23     ,116.80       ,134.00   ,19.40                  ,112.50    ,68.82    ,88.06                   ,9.49                         ,-1.69   ,0.00 ,-2.15                  ,-0.07                 ,-9.85                  ,+3.19                    ,+0.83                ,+18.74               ,+24.60            ,7               ,124.25    ,136.00  ,114.45      ,112.50  ,-44.43               ,2.95           ,-1.95    ,0.00 ,-0.29                   ,-9.35                    ,-7.86                    ,-8.30                 ,+8.13                ,+368.00              ,+30.38               ,+13.21            ,134.00     ,136.00    ,112.50   ,112.50 ,3.35         ,44.00            ,-0.40         ,1.21              ,--                   ,28.06                    ,54.29           ,37.84        ,17.78                ,5.35     ,121.35    ,125.23    ,114.06     ,122.89    ,117.60     ,24.43                ,47.48     ,36.36                   ,5.35 ,136.68              ,-10.50                    ,-1.00          ,123.73    ,103.35     ,124.43    ,122.94    ,115.54     ,41.42     ,48.64                ,54.72         ,11.24,-1.02      ,-7.90          ,0.95                      ,124.95    ,118.16     ,122.00    ,43.07                ,10.64                   ,10.73   ,113.21                 ,-7.20          ,-6.90                     ,-1148.08  , 
CRUS  ,-1.50      ,+208.47              ,59.62     ,699626   ,16.74    ,3.90B     ,41             ,+1.09                     ,64.55     ,58.37     ,1.26 ,-17.69      ,10.77                  ,34.53             ,20.05                  ,56.91                  ,Semiconductors & Semiconductor Equipment      ,NGM/NGS ,CIRRUS LOGIC INC         ,Semiconductors                       ,--      ,60.70         ,59.61 ,200     ,1008794      ,1347525     ,69.35                   ,51.92                  ,No        ,60.53 ,60.78 ,59.63 ,90.79                 ,1174464       ,1476264    ,59.57                    ,47.39                 ,Yes               ,Information Technology    ,--            ,60.70     ,59.48 ,200     ,1193941     ,78.98                     ,58.60                  ,60.43M         ,No                  ,B  ,****     ,B                  ,45.45          ,18.18                 ,36.36           ,--                     ,--              ,11                ,1.91              ,123.63M   ,1.17B  ,123.63M ,64.23M            ,3.63    ,1.87      ,0.85      ,4.36        ,1.65      ,--        ,1.29      ,16.67                       ,10.57   ,905.69            ,-1.08  ,+5.83                  ,+6.65                      ,+4.85                  ,+6.90                   ,+78.96               ,+145.85              ,+50.22               ,-0.03     ,60.86        ,60.86    ,3.38                   ,52.00     ,31.00    ,89.23                   ,-2.83                        ,-1.78   ,-0.17,+2.63                  ,+0.01                 ,+4.21                  ,+8.68                    ,+7.36                ,-1.67                ,+24.46            ,6               ,60.86     ,64.16   ,59.75       ,52.00   ,-28.48               ,1.16           ,-0.91    ,-0.28,+0.65                   ,+3.79                    ,+7.46                    ,+3.92                 ,+74.24               ,+156.12              ,+6.56                ,+17.73            ,60.86      ,64.16     ,57.63    ,52.00  ,1.30         ,50.00            ,-0.14         ,0.72              ,--                   ,32.46                    ,9.30            ,18.67        ,13.94                ,3.33     ,59.34     ,56.80     ,56.17      ,57.88     ,55.69      ,77.88                ,54.85     ,19.22                   ,82.31,62.07               ,6.62                      ,3.08           ,56.83     ,52.36      ,57.93     ,56.90     ,55.00      ,56.52     ,56.34                ,18.59         ,91.95,0.82       ,-0.70          ,2.69                      ,56.91     ,56.60      ,56.72     ,59.33                ,27.99                   ,93.27   ,51.75                  ,5.36           ,0.18                      ,5385.59   , 
AMN   ,-2.44      ,+176.98              ,40.05     ,462599   ,19.21    ,1.98B     ,29             ,+3.93                     ,45.80     ,40.72     ,0.13 ,-61.29      ,10.12                  ,10.48             ,21.49                  ,40.99                  ,Health Care Providers & Services              ,NYSE    ,AMN HEALTHCARE SERVICES I,Health Care Services                 ,--      ,41.30         ,40.00 ,700     ,921694       ,680135      ,50.19                   ,68.02                  ,No        ,41.05 ,41.16 ,40.10 ,98.63                 ,604444        ,579861     ,76.53                    ,79.78                 ,No                ,Health Care               ,--            ,41.30     ,39.93 ,700     ,597661      ,63.54                     ,77.40                  ,36.62M         ,Yes                 ,B  ,--       ,B-                 ,70.00          ,10.00                 ,10.00           ,--                     ,10.00           ,10                ,1.70              ,105.84M   ,1.90B  ,105.84M ,47.86M            ,2.15    ,2.15      ,1.68      ,2.56        ,0.69      ,0.69      ,0.37      ,13.50                       ,5.56    ,636.20            ,-1.25  ,-1.65                  ,+0.75                      ,+5.00                  ,+5.60                   ,+65.95               ,+550.34              ,+10.20               ,+0.67     ,41.35        ,43.85    ,3.83                   ,37.65     ,26.00    ,89.88                   ,2.51                         ,-3.03   ,-0.25,+1.15                  ,-0.02                 ,+0.20                  ,+13.77                   ,+7.41                ,+23.57               ,+26.55            ,2               ,42.55     ,43.85   ,39.87       ,37.65   ,-13.93               ,1.11           ,-1.00    ,-0.61,+1.56                   ,+0.31                    ,+0.49                    ,+2.19                 ,+20.69               ,+150.16              ,+13.58               ,+10.24            ,43.85      ,44.99     ,37.65    ,33.61  ,1.24         ,28.00            ,-0.13         ,0.83              ,--                   ,19.21                    ,--              ,79.93        ,16.16                ,1.04     ,41.11     ,39.34     ,36.72      ,40.69     ,38.38      ,53.54                ,52.75     ,25.97                   ,38.71,43.57               ,0.15                      ,1.60           ,39.13     ,37.20      ,41.06     ,39.72     ,38.01      ,51.68     ,54.98                ,2.65          ,46.51,0.43       ,4.20           ,2.45                      ,40.99     ,37.47      ,39.39     ,55.26                ,27.38                   ,35.10   ,38.42                  ,-1.35          ,5.70                      ,934.00    , 
IIVI  ,-3.54      ,+150.99              ,38.10     ,731863   ,36.28    ,2.48B     ,34             ,+3.07                     ,58.33     ,36.92     ,0.63 ,-23.50      ,14.29                  ,18.72             ,23.44                  ,35.94                  ,Electronic Equipment Instruments & Components ,NGM/NGS ,II-VI INC                ,Electronic Components                ,--      ,39.60         ,38.10 ,600     ,992125       ,518480      ,73.77                   ,141.16                 ,No        ,39.50 ,39.60 ,38.15 ,80.26                 ,854052        ,638051     ,85.69                    ,114.70                ,No                ,Information Technology    ,--            ,39.60     ,37.85 ,700     ,827867      ,76.86                     ,88.40                  ,37.79M         ,Yes                 ,C  ,--       ,B                  ,66.67          ,33.33                 ,--              ,--                     ,--              ,3                 ,1.33              ,65.49M    ,827.22M,65.49M  ,62.56M            ,1.09    ,1.04      ,1.05      ,1.29        ,0.60      ,0.79      ,0.93      ,20.00                       ,7.92    ,92.66             ,-1.50  ,+2.00                  ,+10.20                     ,+8.50                  ,+12.50                  ,+107.65              ,+60.61               ,+74.68               ,+0.16     ,39.79        ,39.79    ,1.50                   ,32.60     ,17.76    ,85.71                   ,-5.32                        ,-3.79   ,-0.10,+8.15                  ,+0.06                 ,+3.73                  ,+27.35                   ,+33.56               ,+17.88               ,+8.84             ,1               ,39.79     ,41.10   ,38.79       ,32.60   ,-20.09               ,1.50           ,-1.40    ,-0.25,+1.18                   ,+3.67                    ,+10.38                   ,+4.40                 ,+82.25               ,+127.68              ,+68.00               ,+5.95             ,39.79      ,41.10     ,34.40    ,29.10  ,1.75         ,96.00            ,-0.25         ,1.56              ,--                   ,38.08                    ,5.78            ,27.60        ,30.70                ,2.99     ,36.87     ,36.34     ,31.96      ,36.70     ,33.12      ,69.88                ,58.23     ,18.07                   ,76.50,39.39               ,4.00                      ,8.45           ,35.25     ,27.56      ,36.07     ,35.55     ,32.23      ,57.35     ,61.24                ,24.94         ,89.88,0.18       ,1.60           ,9.75                      ,35.94     ,33.09      ,35.07     ,61.77                ,30.08                   ,93.87   ,32.48                  ,1.70           ,3.50                      ,2781.72   , 
LUV   ,-1.35      ,+130.42              ,53.28     ,3244896  ,15.27    ,33.34B    ,93             ,+2.12                     ,44.42     ,53.80     ,-0.65,-57.20      ,13.04                  ,-0.43             ,31.65                  ,54.59                  ,Airlines                                      ,NYSE    ,SOUTHWEST AIRLINES       ,Airlines                             ,0.40    ,54.19         ,53.28 ,400     ,4734758      ,6652656     ,68.53                   ,48.78                  ,Yes       ,54.01 ,54.08 ,53.29 ,82.46                 ,6369160       ,5949515    ,50.95                    ,54.54                 ,No                ,Industrials               ,0.70          ,54.19     ,53.16 ,900     ,6337570     ,47.34                     ,51.20                  ,251.14M        ,No                  ,C  ,****     ,B+                 ,61.11          ,5.56                  ,33.33           ,--                     ,--              ,18                ,1.72              ,2.24B     ,20.43B ,2.24B   ,615.26M           ,3.55    ,3.55      ,3.27      ,3.80        ,1.64      ,1.05      ,0.56      ,10.27                       ,10.99   ,381.52            ,-0.91  ,-5.19                  ,-0.74                      ,+5.91                  ,+0.76                   ,+19.04               ,+563.38              ,+37.05               ,+0.98     ,54.54        ,59.68    ,5.60                   ,51.11     ,35.42    ,86.96                   ,0.64                         ,-1.68   ,-0.18,+2.88                  ,+0.02                 ,-0.98                  ,+12.24                   ,+8.92                ,+24.27               ,+28.41            ,5               ,54.54     ,59.68   ,52.46       ,51.11   ,-17.74               ,0.80           ,-0.73    ,-0.33,+1.12                   ,-0.40                    ,-1.77                    ,+0.41                 ,+20.48               ,+322.46              ,+57.05               ,+10.06            ,59.68      ,59.68     ,51.11    ,48.71  ,0.92         ,60.00            ,-0.12         ,0.66              ,--                   ,15.27                    ,4.74            ,33.83        ,14.25                ,1.63     ,53.05     ,54.38     ,49.44      ,54.08     ,51.17      ,50.54                ,53.10     ,27.58                   ,42.80,58.65               ,-3.61                     ,3.44           ,53.78     ,44.97      ,53.62     ,53.69     ,50.27      ,50.04     ,54.56                ,20.22         ,40.05,-0.47      ,0.97           ,3.99                      ,54.59     ,51.23      ,53.21     ,52.24                ,18.30                   ,32.24   ,50.54                  ,-5.60          ,1.84                      ,-390.72   , 
BSBR  ,-2.66      ,+130.05              ,8.77      ,5086083  ,15.97    ,34.33B    ,46             ,-5.77                     ,21.43     ,9.86      ,-0.35,-94.59      ,27.78                  ,-46.73            ,27.78                  ,10.16                  ,Banks                                         ,NYSE    ,BANCO SANTANDER BRASIL  -,Diversified Banks                    ,0.43    ,8.89          ,8.76  ,1000    ,3887361      ,1434171     ,130.84                  ,354.64                 ,No        ,9.01  ,9.03  ,8.77  ,0.62                  ,2056141       ,1607886    ,247.36                   ,316.32                ,No                ,Financials                ,4.80          ,8.89      ,8.67  ,4200    ,1964228     ,46.64                     ,258.94                 ,36.14M         ,No                  ,-- ,--       ,--                 ,--             ,--                    ,--              ,71.43                  ,28.57           ,7                 ,4.29              ,2.13B     ,27.27B ,2.13B   ,7.56B             ,0.56    ,0.56      ,0.74      ,--          ,0.43      ,0.43      ,0.41      ,9.34                        ,5.89    ,--                ,-0.12  ,-2.40                  ,-12.52                     ,+0.0538                ,-13.40                  ,+153.00              ,+53.04               ,+139.81              ,+1.47     ,9.32         ,11.28    ,2.72                   ,8.89      ,4.41     ,72.22                   ,13.20                        ,-1.35   ,+0.12,-0.50                  ,-0.11                 ,-1.46                  ,+0.61                    ,+4.24                ,+38.48               ,+8.49             ,1               ,10.15     ,11.75   ,8.89        ,8.89    ,-4.26                ,0.26           ,-0.24    ,+1.35,-0.544                  ,-1.2725                  ,-14.11                   ,-1.3761               ,+126.53              ,+92.29               ,+63.20               ,+1.12             ,11.28      ,11.75     ,8.89     ,8.89   ,0.36         ,91.00            ,-0.10         ,0.69              ,--                   ,15.97                    ,2.03            ,--           ,--                   ,2.47     ,9.77      ,10.40     ,9.06       ,10.00     ,9.42       ,22.58                ,46.51     ,38.36                   ,5.41 ,11.35               ,-2.07                     ,-0.12          ,10.24     ,7.96       ,9.93      ,10.04     ,9.16       ,40.25     ,47.10                ,55.17         ,4.93 ,-0.18      ,-1.14          ,-0.13                     ,10.16     ,9.36       ,9.94      ,41.03                ,11.09                   ,8.09    ,8.98                   ,-2.37          ,-0.97                     ,-16555.31 , 
FN    ,-2.94      ,+116.33              ,43.12     ,241868   ,18.80    ,1.64B     ,71             ,+2.58                     ,53.89     ,42.51     ,0.17 ,-25.29      ,16.94                  ,18.11             ,14.22                  ,41.73                  ,Electronic Equipment Instruments & Components ,NYSE    ,FABRINET                 ,Electronic Manufacturering Services  ,--      ,44.49         ,43.10 ,200     ,633107       ,681408      ,38.20                   ,35.50                  ,No        ,44.43 ,44.47 ,43.14 ,93.19                 ,734935        ,908995     ,32.91                    ,26.61                 ,No                ,Information Technology    ,--            ,44.49     ,42.85 ,100     ,800453      ,33.19                     ,30.22                  ,27.38M         ,Yes                 ,D  ,--       ,--                 ,66.67          ,33.33                 ,--              ,--                     ,--              ,6                 ,1.33              ,61.90M    ,976.75M,61.90M  ,36.96M            ,2.37    ,1.68      ,1.21      ,3.48        ,2.58      ,1.98      ,-1.64     ,15.00                       ,6.34    ,104.69            ,-1.37  ,+1.20                  ,+6.61                      ,+2.71                  ,+7.26                   ,+126.25              ,+136.09              ,+17.04               ,+1.44     ,44.71        ,45.29    ,5.16                   ,38.44     ,29.78    ,83.06                   ,-3.24                        ,-3.07   ,-0.06,+2.07                  ,+0.03                 ,+2.78                  ,+6.47                    ,+10.40               ,-2.92                ,+15.73            ,2               ,44.71     ,49.63   ,43.52       ,38.44   ,-13.07               ,1.35           ,-1.31    ,-0.13,+1.12                   ,+2.76                    ,+6.67                    ,+3.01                 ,+42.01               ,+210.29              ,+7.03                ,+10.61            ,44.71      ,49.63     ,40.27    ,33.97  ,1.62         ,59.00            ,-0.27         ,0.81              ,--                   ,26.48                    ,2.91            ,6.57         ,12.77                ,1.68     ,42.48     ,42.52     ,41.51      ,42.45     ,41.58      ,62.97                ,51.82     ,22.41                   ,74.71,44.58               ,2.94                      ,2.83           ,41.51     ,40.65      ,41.73     ,42.20     ,41.25      ,51.96     ,53.52                ,8.52          ,90.40,-0.18      ,0.99           ,3.43                      ,41.73     ,41.44      ,42.09     ,54.74                ,26.59                   ,92.94   ,38.88                  ,1.75           ,3.66                      ,1706.55   , 
AAOI  ,-2.01      ,+113.17              ,57.99     ,808786   ,33.27    ,1.09B     ,47             ,+3.50                     ,67.54     ,52.85     ,4.28 ,-16.57      ,25.55                  ,23.37             ,58.61                  ,52.21                  ,Communications Equipment                      ,NASDAQ  ,APPLIED OPTOELECTRONICS I,Communications Equipment             ,--      ,58.56         ,57.93 ,100     ,2308362      ,721959      ,35.04                   ,112.03                 ,No        ,59.18 ,59.42 ,57.99 ,66.09                 ,1625599       ,1123161    ,49.75                    ,72.01                 ,No                ,Information Technology    ,--            ,58.56     ,57.50 ,200     ,1627033     ,38.34                     ,49.71                  ,130.02M        ,No                  ,C  ,--       ,--                 ,50.00          ,33.33                 ,16.67           ,--                     ,--              ,6                 ,1.67              ,31.23M    ,260.71M,31.23M  ,18.68M            ,1.76    ,1.76      ,0.65      ,3.39        ,0.28      ,-0.14     ,-3.56     ,17.50                       ,11.98   ,93.92             ,-0.57  ,+11.57                 ,+12.17                     ,+28.64                 ,+51.77                  ,+290.77              ,0.00                 ,+335.26              ,+2.81     ,60.09        ,60.19    ,0.77                   ,45.89     ,8.08     ,74.45                   ,-9.98                        ,-0.97   ,+0.62,+34.28                 ,+0.10                 ,+7.36                  ,+95.69                   ,+149.83              ,+85.39               ,+15.90            ,2               ,60.19     ,60.19   ,57.12       ,44.42   ,-49.42               ,1.43           ,-1.19    ,+1.06,+1.98                   ,+6.35                    ,+14.37                   ,+19.97                ,+248.45              ,0.00                 ,+172.52              ,+10.48            ,60.19      ,60.19     ,47.06    ,21.88  ,1.92         ,100.00           ,-0.49         ,1.43              ,--                   ,33.27                    ,4.85            ,15.38        ,17.27                ,4.20     ,53.28     ,41.73     ,31.07      ,51.31     ,36.12      ,69.70                ,68.02     ,7.23                    ,83.43,59.12               ,12.64                     ,34.50          ,38.91     ,24.58      ,52.20     ,43.63     ,34.09      ,68.38     ,68.72                ,63.22         ,89.72,4.00       ,27.18          ,34.29                     ,52.21     ,33.11      ,41.73     ,69.33                ,32.07                   ,86.72   ,45.30                  ,11.09          ,28.15                     ,5277.88   , 
WCG   ,-1.17      ,+111.84              ,137.63    ,167233   ,25.66    ,6.17B     ,42             ,+0.60                     ,38.51     ,140.07    ,-1.11,-84.57      ,32.92                  ,-14.11            ,26.71                  ,141.36                 ,Health Care Providers & Services              ,NYSE    ,WELLCARE HEALTH PLANS INC,Managed Health Care                  ,--      ,139.35        ,137.62,300     ,393812       ,472905      ,42.47                   ,35.36                  ,No        ,139.26,139.26,137.82,99.44                 ,372729        ,435584     ,44.87                    ,38.39                 ,Yes               ,Health Care               ,--            ,139.35    ,136.83,100     ,401873      ,66.94                     ,41.61                  ,54.50M         ,No                  ,A  ,*        ,B-                 ,10.00          ,10.00                 ,80.00           ,--                     ,--              ,10                ,2.70              ,242.10M   ,14.24B ,242.10M ,44.3M             ,5.43    ,5.43      ,2.67      ,6.41        ,1.44      ,3.98      ,4.22      ,15.28                       ,1.70    ,1923.93           ,-1.72  ,-5.33                  ,-1.42                      ,+6.12                  ,-2.25                   ,+49.83               ,+112.81              ,+39.22               ,+0.89     ,139.97       ,146.59   ,12.67                  ,136.22    ,86.75    ,67.08                   ,2.12                         ,-1.23   ,-0.09,-0.78                  ,0.00                  ,-2.30                  ,+4.59                    ,+1.66                ,+3.05                ,+12.99            ,0               ,141.37    ,151.93  ,136.94      ,136.22  ,-50.08               ,1.63           ,-1.63    ,-0.06,+0.83                   ,-2.01                    ,-1.62                    ,-3.21                 ,+50.87               ,+148.16              ,+25.29               ,+4.29             ,146.59     ,151.93    ,136.22   ,133.21 ,2.43         ,39.00            ,-0.80         ,1.10              ,--                   ,25.66                    ,4.03            ,49.88        ,21.74                ,0.43     ,139.77    ,142.74    ,135.19     ,140.50    ,136.67     ,44.12                ,50.66     ,26.43                   ,15.43,146.46              ,-1.84                     ,0.55           ,142.48    ,125.51     ,140.55    ,140.72    ,134.63     ,46.63     ,52.01                ,28.38         ,25.56,-0.71      ,-7.91          ,2.25                      ,141.36    ,138.83     ,140.17    ,48.73                ,14.75                   ,25.97   ,136.26                 ,-6.34          ,-5.66                     ,-725.61   , 
