Symbol,% Chg(Open),Last Trade,Volume   ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                    ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change ,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
IIVI  ,-3.48      ,38.13     ,732763   ,36.28    ,2.48B     ,34             ,+3.06                     ,58.49     ,36.93     ,0.63 ,-23.16      ,15.71                  ,18.85             ,23.44                  ,35.94                  ,Electronic Equipment Instruments & Components ,NGM/NGS ,II-VI INC                ,Electronic Components                ,--      ,39.60         ,38.10 ,600     ,992125       ,518480      ,73.86                   ,141.33                 ,No        ,39.50 ,39.60 ,38.15 ,80.26                 ,854052        ,638051     ,85.80                    ,114.84                ,No                ,Information Technology    ,--            ,39.60     ,37.85 ,900     ,827867      ,76.96                     ,88.51                  ,37.79M         ,Yes                 ,C  ,--       ,B                  ,66.67          ,33.33                 ,--              ,--                     ,--              ,3                 ,1.33              ,65.49M    ,827.22M,65.49M  ,62.56M            ,1.09    ,1.04      ,1.05      ,1.29        ,0.60      ,0.79      ,0.93      ,20.00                       ,7.92    ,92.66             ,-1.48  ,+2.02                  ,+10.20                     ,+8.50                  ,+12.50                  ,+107.65              ,+60.61               ,+74.68               ,+0.16     ,39.79        ,39.79    ,1.50                   ,32.60     ,17.76    ,84.29                   ,-5.38                        ,-3.72   ,-0.10,+8.18                  ,+0.06                 ,+3.73                  ,+27.35                   ,+33.56               ,+150.99              ,+17.88               ,+8.84             ,1               ,39.79     ,41.10   ,38.79       ,32.60   ,-20.09               ,1.48           ,-1.38    ,-0.25,+1.18                   ,+3.66                    ,+10.38                   ,+4.40                 ,+82.25               ,+127.68              ,+68.00               ,+5.95             ,39.79      ,41.10     ,34.40    ,29.10  ,1.75         ,96.00            ,-0.28         ,1.56              ,--                   ,38.08                    ,5.78            ,27.60        ,30.70                ,2.99     ,36.87     ,36.34     ,31.96      ,36.71     ,33.12      ,69.88                ,58.28     ,18.07                   ,76.84,39.39               ,4.00                      ,8.48           ,35.25     ,27.56      ,36.07     ,35.55     ,32.23      ,57.42     ,61.24                ,24.94         ,89.99,0.18       ,1.63           ,9.75                      ,35.94     ,33.10      ,35.07     ,61.77                ,30.08                   ,93.90   ,32.48                  ,1.73           ,3.50                      ,2802.01   , 
UNF   ,-3.31      ,140.20    ,122631   ,23.53    ,2.10B     ,39             ,-0.37                     ,73.47     ,135.06    ,1.47 ,-41.87      ,40.17                  ,32.54             ,21.03                  ,133.96                 ,Commercial Services & Supplies                ,NYSE    ,UNIFIRST CORP            ,Diversified Support Services         ,0.15    ,136.05        ,140.05,500     ,50941        ,88502       ,240.73                  ,138.56                 ,No        ,145.00,147.05,140.75,81.51                 ,61476         ,75928      ,199.48                   ,161.51                ,No                ,Industrials               ,0.10          ,136.05    ,135.60,400     ,64025       ,212.20                    ,191.54                 ,6.80M          ,Yes                 ,C  ,**       ,A                  ,--             ,--                    ,100.00          ,--                     ,--              ,6                 ,3.00              ,125.03M   ,1.47B  ,125.03M ,15.44M            ,5.78    ,6.17      ,6.15      ,4.94        ,5.95      ,5.81      ,4.76      ,11.00                       ,8.52    ,112.93            ,+4.15  ,+5.40                  ,+1.56                      ,+2.52                  ,+3.29                   ,+13.95               ,+126.77              ,+15.17               ,+0.78     ,136.50       ,137.30   ,0.60                   ,130.25    ,104.70   ,59.83                   ,-4.06                        ,+3.05   ,+8.95,-4.70                  ,+0.04                 ,+2.37                  ,+1.89                    ,-5.26                ,+22.99               ,-5.81                ,+8.80             ,1               ,137.30    ,146.10  ,133.05      ,130.25  ,-30.90               ,6.85           ,-4.80    ,+6.58,-0.50                   ,+2.09                    ,+1.78                    ,+4.33                 ,+21.48               ,+52.60               ,+3.72                ,+7.09             ,137.30     ,147.65    ,133.00   ,124.85 ,11.45        ,19.00            ,-4.60         ,1.01              ,--                   ,22.04                    ,2.75            ,--           ,27.55                ,1.43     ,135.64    ,131.27    ,133.76     ,134.50    ,132.61     ,61.39                ,56.70     ,11.91                   ,58.13,138.51              ,2.95                      ,-3.45          ,131.86    ,128.95     ,134.50    ,133.45    ,131.95     ,59.97     ,53.34                ,55.75         ,71.15,1.00       ,12.30          ,-7.95                     ,133.96    ,135.43     ,133.38    ,54.64                ,41.93                   ,74.06   ,129.41                 ,5.01           ,8.35                      ,310.08    , 
FNSR  ,-3.21      ,28.07     ,3376833  ,24.58    ,3.22B     ,104            ,+1.96                     ,41.27     ,28.76     ,-1.15,-35.26      ,19.66                  ,-38.37            ,27.47                  ,29.53                  ,Communications Equipment                      ,NCM     ,FINISAR CORP             ,Communications Equipment             ,--      ,28.88         ,28.07 ,500     ,2883837      ,2855612     ,117.10                  ,118.25                 ,No        ,29.00 ,29.01 ,28.08 ,96.58                 ,5590067       ,3873388    ,60.41                    ,87.18                 ,No                ,Information Technology    ,--            ,28.88     ,27.84 ,1000    ,5267728     ,117.33                    ,64.10                  ,81.54M         ,No                  ,C  ,--       ,B                  ,75.00          ,16.67                 ,8.33            ,--                     ,--              ,12                ,1.33              ,35.19M    ,1.26B  ,35.19M  ,111.39M           ,1.17    ,0.32      ,0.11      ,2.07        ,1.09      ,-0.06     ,0.46      ,15.00                       ,2.79    ,94.27             ,-0.81  ,-5.89                  ,-2.18                      ,-1.75                  ,-6.14                   ,+26.21               ,+50.69               ,+99.05               ,+1.36     ,29.07        ,35.25    ,7.84                   ,25.61     ,15.21    ,80.34                   ,-0.58                        ,-2.80   ,+0.12,-2.45                  ,+0.02                 ,-1.32                  ,-5.71                    ,-4.59                ,+4.23                ,+0.75                ,+10.41            ,1               ,29.07     ,36.40   ,28.34       ,25.61   ,-12.63               ,0.94           ,-0.93    ,+0.42,+0.56                   ,-0.65                    ,-4.38                    ,-1.89                 ,+53.05               ,+111.01              ,+58.07               ,+6.63             ,35.25      ,36.85     ,26.75    ,25.61  ,1.17         ,14.00            ,-0.23         ,1.06              ,--                   ,90.25                    ,2.99            ,19.78        ,13.95                ,2.55     ,27.77     ,31.05     ,30.73      ,29.21     ,29.92      ,46.91                ,47.14     ,30.69                   ,64.74,36.17               ,-4.59                     ,-2.20          ,30.73     ,27.05      ,27.91     ,30.36     ,29.45      ,44.34     ,48.31                ,24.60         ,43.22,-1.21      ,-1.50          ,-1.99                     ,29.53     ,31.05      ,30.42     ,46.08                ,18.57                   ,33.83   ,22.88                  ,-6.29          ,-0.48                     ,-37100.63 , 
MYL   ,-3.20      ,40.17     ,7506920  ,45.35    ,22.36B    ,125            ,+1.18                     ,30.70     ,41.83     ,-0.11,-98.89      ,2.27                   ,-0.52             ,21.58                  ,42.64                  ,Pharmaceuticals                               ,NASDAQ  ,MYLAN NV                 ,Pharmaceuticals                      ,--      ,41.72         ,40.17 ,600     ,9257846      ,6153586     ,81.09                   ,121.99                 ,Yes       ,41.50 ,41.89 ,40.18 ,65.60                 ,6625197       ,5846996    ,113.31                   ,128.39                ,No                ,Health Care               ,--            ,41.72     ,40.13 ,500     ,6519924     ,171.34                    ,115.14                 ,382.34M        ,No                  ,A  ,***      ,--                 ,42.86          ,14.29                 ,42.86           ,--                     ,--              ,21                ,2.00              ,480.00M   ,11.08B ,480.00M ,535.5M            ,0.92    ,0.92      ,1.70      ,5.32        ,2.34      ,1.58      ,1.52      ,7.50                        ,4.33    ,316.48            ,-1.55  ,-4.17                  ,-2.15                      ,+2.86                  ,+3.41                   ,-35.08               ,+78.24               ,-3.44                ,+1.12     ,42.48        ,45.87    ,8.51                   ,40.25     ,33.60    ,97.73                   ,4.79                         ,-3.72   ,-0.22,+1.70                  ,-0.04                 ,-1.09                  ,+7.36                    ,+9.36                ,-18.03               ,+14.31               ,+4.60             ,26              ,42.48     ,45.87   ,41.55       ,40.25   ,-6.53                ,1.72           ,-1.33    ,-0.53,+0.49                   ,-0.92                    ,-2.54                    ,+1.38                 ,-10.72               ,+37.36               ,-1.20                ,+1.68             ,45.87      ,50.40     ,40.25    ,35.15  ,1.76         ,76.00            ,-0.04         ,1.95              ,--                   ,45.35                    ,--              ,136.75       ,7.84                 ,2.02     ,41.62     ,40.77     ,38.73      ,41.89     ,40.41      ,44.68                ,49.53     ,32.28                   ,1.11 ,45.16               ,-0.13                     ,2.02           ,40.34     ,40.91      ,42.10     ,41.10     ,40.45      ,47.60     ,52.61                ,22.24         ,27.86,0.26       ,2.13           ,4.34                      ,42.64     ,39.00      ,40.85     ,53.06                ,20.54                   ,28.50   ,40.11                  ,-4.70          ,5.38                      ,-474.22   , 
UFS   ,-2.91      ,36.07     ,525243   ,18.24    ,2.33B     ,90             ,+0.23                     ,25.02     ,37.62     ,-0.67,-98.64      ,3.11                   ,-9.59             ,24.34                  ,37.72                  ,Paper & Forest Products                       ,NYSE    ,DOMTAR CORP              ,Paper Products                       ,1.66    ,37.21         ,36.06 ,400     ,357071       ,483969      ,147.10                  ,108.53                 ,No        ,37.15 ,37.16 ,36.07 ,96.02                 ,483904        ,507064     ,108.54                   ,103.59                ,Yes               ,Materials                 ,4.50          ,37.21     ,36.04 ,200     ,497002      ,105.82                    ,105.68                 ,13.34M         ,No                  ,C  ,***      ,B                  ,8.33           ,16.67                 ,58.33           ,8.33                   ,8.33            ,12                ,2.92              ,128.00M   ,5.10B  ,128.00M ,62.59M            ,2.04    ,2.04      ,2.24      ,2.70        ,6.64      ,1.36      ,2.39      ,3.00                        ,2.51    ,509.80            ,-1.14  ,-2.58                  ,-1.35                      ,-1.52                  ,-6.45                   ,-12.50               ,-8.89                ,+1.93                ,+1.46     ,37.42        ,38.85    ,7.42                   ,36.72     ,32.74    ,96.89                   ,4.43                         ,-3.06   ,-0.06,-3.38                  ,-0.05                 ,-0.67                  ,-3.91                    ,-4.66                ,-21.27               ,-1.99                ,+4.80             ,1               ,38.40     ,44.58   ,37.01       ,36.72   ,-3.30                ,1.09           ,-1.08    ,-0.16,+0.08                   ,-0.51                    ,-1.77                    ,-2.56                 ,+4.45                ,+10.29               ,+4.30                ,+2.26             ,38.65      ,44.58     ,36.72    ,36.72  ,1.13         ,19.00            ,-0.04         ,0.78              ,--                   ,18.24                    ,1.54            ,45.52        ,13.79                ,0.46     ,37.57     ,39.68     ,38.90      ,37.87     ,38.91      ,35.41                ,43.09     ,34.79                   ,1.36 ,38.74               ,-0.88                     ,-2.96          ,39.71     ,38.03      ,37.67     ,38.79     ,38.84      ,38.00     ,45.57                ,37.79         ,15.70,-0.63      ,-7.62          ,-2.32                     ,37.72     ,39.33      ,38.89     ,41.95                ,15.71                   ,22.58   ,36.70                  ,-2.20          ,-5.37                     ,-608.08   , 
NGHC  ,-2.64      ,22.89     ,275599   ,16.78    ,2.45B     ,54             ,-0.06                     ,36.66     ,23.35     ,-0.46,-60.78      ,13.95                  ,-7.15             ,18.08                  ,23.62                  ,Insurance                                     ,NASDAQ  ,NATIONAL GENERAL HOLDINGS,Multi-line Insurance                 ,0.16    ,22.99         ,22.87 ,100     ,253725       ,203451      ,108.62                  ,135.46                 ,No        ,23.51 ,23.63 ,22.90 ,58.90                 ,240748        ,202397     ,114.48                   ,136.17                ,No                ,Financials                ,0.70          ,22.99     ,22.77 ,100     ,259605      ,91.71                     ,106.16                 ,5.79M          ,No                  ,A  ,--       ,--                 ,40.00          ,40.00                 ,20.00           ,--                     ,--              ,5                 ,1.80              ,192.88M   ,3.52B  ,192.88M ,106.5M            ,1.37    ,1.37      ,1.27      ,2.05        ,1.07      ,0.59      ,0.56      ,15.00                       ,4.89    ,508.53            ,-0.10  ,-1.54                  ,-2.66                      ,-0.44                  ,-5.89                   ,+28.04               ,0.00                 ,+17.99               ,+1.26     ,23.06        ,26.99    ,3.36                   ,21.98     ,18.04    ,86.05                   ,2.11                         ,-0.43   ,+0.52,-2.24                  ,+0.02                 ,-0.80                  ,-1.86                    ,-8.00                ,+66.22               ,+7.92                ,+13.94            ,2               ,23.64     ,26.99   ,22.71       ,21.98   ,-4.73                ,0.74           ,-0.62    ,+2.26,-0.01                   ,-0.63                    ,-3.34                    ,-1.44                 ,+8.34                ,0.00                 ,+7.17                ,+3.01             ,25.07      ,26.99     ,21.98    ,21.98  ,0.86         ,15.00            ,-0.12         ,0.72              ,--                   ,16.78                    ,2.88            ,39.05        ,11.20                ,0.69     ,23.07     ,24.32     ,23.57      ,23.52     ,23.77      ,38.19                ,46.00     ,24.59                   ,39.22,24.91               ,-1.35                     ,-2.10          ,24.40     ,22.81      ,23.37     ,23.97     ,23.63      ,41.88     ,46.41                ,5.78          ,41.72,-0.41      ,-1.60          ,-2.01                     ,23.62     ,23.99      ,23.97     ,42.50                ,21.90                   ,41.62   ,22.33                  ,-1.96          ,-1.35                     ,-267.11   , 
BSBR  ,-2.55      ,8.78      ,5124481  ,15.97    ,34.33B    ,46             ,-5.79                     ,21.52     ,9.86      ,-0.35,-94.05      ,30.56                  ,-45.92            ,27.78                  ,10.16                  ,Banks                                         ,NYSE    ,BANCO SANTANDER BRASIL  -,Diversified Banks                    ,0.43    ,8.89          ,8.77  ,4600    ,3887361      ,1434171     ,131.82                  ,357.31                 ,No        ,9.01  ,9.03  ,8.78  ,0.62                  ,2056141       ,1607886    ,249.23                   ,318.71                ,No                ,Financials                ,4.80          ,8.89      ,8.67  ,1300    ,1964228     ,46.99                     ,260.89                 ,36.14M         ,No                  ,-- ,--       ,--                 ,--             ,--                    ,--              ,71.43                  ,28.57           ,7                 ,4.29              ,2.13B     ,27.27B ,2.13B   ,7.56B             ,0.56    ,0.56      ,0.74      ,--          ,0.43      ,0.43      ,0.41      ,9.34                        ,5.89    ,--                ,-0.11  ,-2.39                  ,-12.53                     ,+0.0538                ,-13.40                  ,+153.00              ,+53.04               ,+139.81              ,+1.47     ,9.32         ,11.28    ,2.72                   ,8.89      ,4.41     ,69.44                   ,13.08                        ,-1.24   ,+0.12,-0.49                  ,-0.10                 ,-1.46                  ,+0.61                    ,+4.24                ,+130.05              ,+38.48               ,+8.49             ,1               ,10.15     ,11.75   ,8.89        ,8.89    ,-4.26                ,0.25           ,-0.23    ,+1.35,-0.546                  ,-1.273                   ,-14.11                   ,-1.3761               ,+126.53              ,+92.29               ,+63.20               ,+1.12             ,11.28      ,11.75     ,8.89     ,8.89   ,0.36         ,91.00            ,-0.11         ,0.69              ,--                   ,15.97                    ,2.03            ,--           ,--                   ,2.47     ,9.78      ,10.40     ,9.06       ,10.00     ,9.42       ,22.58                ,46.56     ,38.36                   ,5.95 ,11.35               ,-2.07                     ,-0.11          ,10.24     ,7.96       ,9.93      ,10.04     ,9.16       ,40.31     ,47.10                ,55.17         ,5.11 ,-0.18      ,-1.13          ,-0.13                     ,10.16     ,9.36       ,9.94      ,41.03                ,11.09                   ,8.15    ,8.98                   ,-2.36          ,-0.97                     ,-16287.68 , 
PAYX  ,-2.51      ,58.99     ,4027308  ,28.17    ,21.74B    ,190            ,-0.23                     ,23.85     ,61.33     ,-0.10,-90.79      ,16.94                  ,-27.98            ,25.56                  ,61.95                  ,IT Services                                   ,NGM/NGS ,PAYCHEX INC              ,Data Processing & Outsourced Services,1.84    ,60.58         ,58.98 ,200     ,2427006      ,2015365     ,165.94                  ,199.83                 ,Yes       ,60.51 ,61.00 ,58.99 ,69.69                 ,1705148       ,1782393    ,236.19                   ,225.95                ,No                ,Information Technology    ,3.00          ,60.58     ,58.58 ,500     ,1720182     ,81.26                     ,234.12                 ,148.15M        ,No                  ,D  ,***      ,A                  ,9.52           ,4.76                  ,52.38           ,14.29                  ,19.05           ,21                ,3.29              ,756.80M   ,2.95B  ,756.80M ,358.84M           ,2.15    ,2.09      ,1.85      ,2.21        ,1.71      ,1.56      ,1.51      ,9.17                        ,25.64   ,218.66            ,-1.59  ,-2.72                  ,-2.21                      ,+1.40                  ,-0.46                   ,+28.27               ,+131.34              ,+15.98               ,+0.89     ,61.05        ,63.03    ,2.03                   ,60.51     ,51.06    ,83.06                   ,4.80                         ,-2.62   ,-0.07,-2.16                  ,-0.05                 ,-1.50                  ,+2.37                    ,+0.26                ,+60.75               ,+4.98                ,+42.35            ,12              ,62.10     ,63.03   ,60.51       ,60.51   ,-7.52                ,2.01           ,-1.52    ,-0.12,-0.14                   ,-1.37                    ,-2.42                    ,-0.28                 ,+17.82               ,+102.77              ,+2.85                ,+13.19            ,63.03      ,63.03     ,60.51    ,57.07  ,2.42         ,33.00            ,-0.41         ,1.21              ,--                   ,28.99                    ,18.43           ,--           ,27.36                ,7.36     ,61.51     ,60.77     ,59.24      ,61.37     ,60.16      ,34.79                ,47.05     ,34.09                   ,9.21 ,63.74               ,-0.84                     ,-1.89          ,60.83     ,59.19      ,61.82     ,60.96     ,59.85      ,42.57     ,51.01                ,50.43         ,6.72 ,0.30       ,-1.30          ,-0.82                     ,61.95     ,59.92      ,60.79     ,48.68                ,11.24                   ,8.86    ,60.17                  ,-3.82          ,-0.23                     ,-7738.27  , 
FLT   ,-2.48      ,153.34    ,2505824  ,33.16    ,14.47B    ,84             ,+0.64                     ,31.38     ,158.71    ,-1.32,-74.75      ,49.35                  ,2.86              ,21.21                  ,160.06                 ,IT Services                                   ,NYSE    ,FLEETCOR TECHNOLOGIES INC,Data Processing & Outsourced Services,--      ,157.50        ,153.34,300     ,867559       ,949739      ,288.84                  ,263.84                 ,No        ,157.24,157.24,153.42,92.30                 ,898394        ,924508     ,278.92                   ,271.04                ,No                ,Information Technology    ,--            ,157.50    ,149.54,400     ,925626      ,238.54                    ,270.72                 ,136.52M        ,No                  ,D  ,****     ,--                 ,50.00          ,37.50                 ,12.50           ,--                     ,--              ,16                ,1.63              ,452.38M   ,1.83B  ,452.38M ,91.89M            ,4.75    ,4.75      ,3.85      ,8.24        ,4.24      ,3.36      ,2.52      ,15.73                       ,24.70   ,257.96            ,-4.16  ,-17.65                 ,-1.60                      ,-0.45                  ,+0.28                   ,+3.58                ,+298.12              ,+14.18               ,+1.26     ,158.00       ,171.77   ,19.18                  ,152.75    ,133.64   ,50.65                   ,3.73                         ,-2.64   ,-0.26,+9.69                  ,-0.03                 ,-3.98                  ,-0.29                    ,+11.29               ,+33.43               ,+13.83               ,+15.30            ,0               ,159.96    ,171.77  ,155.72      ,152.75  ,-15.90               ,3.90           ,-3.90    ,-0.17,+1.01                   ,-2.56                    ,-2.46                    ,+0.45                 ,+7.57                ,+106.94              ,+3.53                ,+5.17             ,171.77     ,176.42    ,152.75   ,142.62 ,7.70         ,76.00            ,-3.80         ,1.43              ,--                   ,33.16                    ,--              ,81.77        ,19.11                ,7.90     ,158.37    ,158.76    ,156.45     ,159.27    ,157.27     ,41.19                ,47.57     ,40.06                   ,25.25,165.88              ,-12.50                    ,11.84          ,156.99    ,157.03     ,159.06    ,158.60    ,156.93     ,44.86     ,50.09                ,45.33         ,31.78,-0.35      ,5.87           ,15.37                     ,160.06    ,153.34     ,158.21    ,48.99                ,15.07                   ,26.17   ,154.24                 ,-11.40         ,9.54                      ,383.36    , 
NTES  ,-2.16      ,283.58    ,670189   ,21.88    ,38.37B    ,114            ,+0.65                     ,43.50     ,287.87    ,2.25 ,-81.94      ,3.90                   ,-0.93             ,18.88                  ,289.03                 ,Internet Software & Services                  ,NGM/NGS ,NETEASE INC              ,Internet Software & Services         ,3.30    ,289.35        ,283.49,200     ,893030       ,1127035     ,75.05                   ,59.46                  ,No        ,289.83,290.17,283.66,57.17                 ,1029085       ,1134086    ,65.12                    ,59.10                 ,No                ,Information Technology    ,1.10          ,289.35    ,283.31,200     ,1036322     ,99.15                     ,64.67                  ,256.87M        ,No                  ,-- ,--       ,--                 ,68.00          ,12.00                 ,16.00           ,4.00                   ,--              ,25                ,1.56              ,1.78B     ,5.75B  ,1.78B   ,132.6M            ,13.22   ,13.22     ,7.69      ,16.94       ,5.46      ,5.12      ,4.17      ,26.87                       ,4.58    ,--                ,-5.78  ,-23.94                 ,+0.11                      ,+36.83                 ,+7.75                   ,+189.89              ,+428.39              ,+72.74               ,+0.74     ,292.81       ,308.65   ,18.49                  ,280.31    ,130.82   ,96.10                   ,1.61                         ,-2.00   ,+0.48,+64.20                 ,-0.01                 ,-1.85                  ,+14.58                   ,+34.82               ,+365.88              ,+36.13               ,+36.60            ,1               ,292.81    ,308.65  ,288.87      ,280.31  ,-152.49              ,6.60           ,-6.26    ,+0.17,+1.87                   ,+0.32                    ,-0.64                    ,+20.81                ,+102.99              ,+460.95              ,+44.40               ,+24.88            ,308.65     ,308.66    ,280.31   ,215.63 ,6.86         ,96.00            ,-0.27         ,0.94              ,--                   ,21.88                    ,7.02            ,--           ,17.08                ,6.67     ,287.52    ,276.08    ,253.51     ,287.24    ,260.26     ,52.74                ,56.01     ,21.15                   ,18.06,295.47              ,-15.71                    ,68.24          ,268.79    ,234.97     ,288.13    ,276.24    ,254.94     ,54.79     ,57.72                ,7.50          ,39.17,3.96       ,29.68          ,66.35                     ,289.03    ,252.10     ,272.57    ,57.68                ,18.20                   ,43.92   ,282.59                 ,-19.01         ,38.86                     ,-121.00   , 
