Symbol,% Chg(Open),Last Trade,Volume   ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                      ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
PTHN  ,+0.37      ,26.07     ,427489   ,42.16    ,3.77B     ,18             ,-0.72                     ,19.97     ,27.64     ,-1.26,-70.69      ,95.45                  ,47.00             ,46.29                  ,28.90                  ,Life Sciences Tools & Services                ,NYSE    ,PATHEON NV               ,Life Sciences Tools & Services    ,--      ,25.96         ,26.05 ,100     ,558673       ,416861      ,76.32                   ,102.29                 ,No        ,25.99 ,26.12 ,26.08 ,24.12                 ,784090        ,467195     ,54.38                    ,91.27                 ,No                ,Health Care           ,--            ,25.96     ,25.35 ,200     ,738857      ,98.75                     ,57.71                  ,14.66M         ,No                  ,C  ,--       ,--                 ,36.36          ,36.36                 ,27.27           ,--                     ,--              ,11                ,1.91              ,31.70M    ,1.87B  ,31.70M  ,145.14M           ,0.62    ,0.26      ,1.20      ,1.14        ,-1.03     ,-0.26     ,-0.83     ,19.75                       ,1.70    ,205.13            ,+0.12 ,-5.62                  ,-10.18                     ,-2.62                  ,-11.67                  ,0.00                 ,0.00                 ,0.00                 ,0.00      ,26.28        ,32.47    ,6.83                   ,23.72     ,23.72    ,4.55                    ,7.47                         ,+0.48   ,+0.03,-2.92                  ,-0.02                 ,-3.47                  ,-9.16                    ,-9.58                ,0.00                 ,+15.13               ,-14.03            ,8               ,27.10     ,32.95   ,25.51       ,23.72   ,-1.63                ,0.04           ,+0.10    ,+0.12,-0.19                   ,-2.94                    ,-11.78                   ,-3.43                 ,0.00                 ,0.00                 ,+12.54               ,0.00              ,32.33      ,32.95     ,25.51    ,23.72  ,0.77         ,17.00            ,-0.74         ,1.81              ,--                   ,101.78                   ,--              ,-602.61      ,22.84                ,2.02     ,26.54     ,29.48     ,28.44      ,28.13     ,--         ,17.12                ,--        ,38.49                   ,29.31,33.72               ,-5.54                     ,-2.63          ,29.34     ,--         ,28.03     ,--        ,--         ,--        ,50.00                ,57.91         ,28.89,-0.88      ,-2.61          ,-2.47                     ,28.90     ,28.61      ,--        ,50.00                ,10.26                   ,29.68   ,24.08                  ,-5.67          ,-2.24                     ,6515.56   , 
FDS   ,+0.27      ,164.71    ,533901   ,19.49    ,6.51B     ,30             ,-4.11                     ,19.30     ,174.54    ,-1.89,-86.33      ,91.58                  ,-15.69            ,19.23                  ,176.41                 ,Capital Markets                               ,NYSE    ,FACTSET RESEARCH SYSTEMS ,Financial Exchanges & Data        ,2.00    ,164.57        ,164.63,200     ,444077       ,324755      ,120.23                  ,164.40                 ,No        ,164.27,164.97,164.72,96.33                 ,283492        ,241063     ,188.33                   ,221.48                ,Yes               ,Financials            ,1.20          ,164.57    ,161.88,200     ,278928      ,43.72                     ,191.41                 ,75.29M         ,No                  ,F  ,***      ,A+                 ,--             ,5.56                  ,66.67           ,22.22                  ,5.56            ,18                ,3.28              ,338.82M   ,--     ,338.82M ,39.57M            ,8.45    ,8.19      ,5.71      ,7.27        ,4.92      ,4.45      ,4.12      ,10.70                       ,30.06   ,134.58            ,+0.14 ,-14.97                 ,-6.71                      ,-2.92                  ,-6.16                   ,+14.87               ,+90.44               ,+12.81               ,+0.77     ,168.03       ,182.56   ,18.67                  ,163.88    ,145.48   ,8.42                    ,6.86                         ,+0.09   ,-0.30,-0.35                  ,-0.07                 ,-12.87                 ,-1.74                    ,+0.97                ,+69.26               ,+11.37               ,+65.51            ,7               ,179.33    ,183.64  ,163.88      ,163.88  ,-16.40               ,0.26           ,+0.44    ,-0.18,-7.06                   ,-11.84                   ,-7.25                    ,-10.80                ,+19.89               ,+104.20              ,+0.51                ,+33.47            ,182.56     ,183.64    ,163.88   ,163.88 ,3.09         ,73.00            ,-2.83         ,0.84              ,--                   ,20.09                    ,--              ,57.98        ,22.62                ,--       ,175.16    ,176.39    ,167.36     ,175.29    ,171.93     ,18.70                ,44.65     ,43.64                   ,13.67,184.76              ,-13.33                    ,1.28           ,175.19    ,168.18     ,176.02    ,174.89    ,170.99     ,38.51     ,44.54                ,51.08         ,8.71 ,-0.27      ,-8.34          ,2.63                      ,176.41    ,169.82     ,174.25    ,38.31                ,14.13                   ,15.56   ,168.06                 ,-16.14         ,-8.37                     ,-735.83   , 
PSXP  ,+1.29      ,50.41     ,251297   ,22.74    ,5.15B     ,3              ,-0.47                     ,30.97     ,51.20     ,-1.22,-78.63      ,89.09                  ,-4.44             ,43.05                  ,51.98                  ,Oil Gas & Consumable Fuels                    ,NYSE    ,PHILLIPS 66 PARTNERS LP  ,Oil & Gas Storage & Transportation,2.23    ,49.90         ,50.38 ,300     ,176014       ,386999      ,142.77                  ,64.93                  ,No        ,49.77 ,50.51 ,50.50 ,41.52                 ,275340        ,347151     ,91.27                    ,72.39                 ,No                ,Energy                ,4.50          ,49.90     ,49.59 ,200     ,287927      ,156.41                    ,87.28                  ,8.80M          ,No                  ,NC ,--       ,--                 ,29.41          ,35.29                 ,29.41           ,5.88                   ,--              ,17                ,2.12              ,301.00M   ,758.00M,301.00M ,103.3M            ,2.19    ,2.19      ,1.89      ,3.16        ,1.47      ,0.40      ,--        ,16.20                       ,27.57   ,--                ,+0.51 ,-5.57                  ,-3.99                      ,+0.43                  ,-6.66                   ,-24.97               ,0.00                 ,+4.50                ,+1.51     ,50.23        ,56.75    ,14.32                  ,49.57     ,42.47    ,10.91                   ,1.05                         ,+1.02   ,-0.13,+1.19                  ,+0.01                 ,-2.67                  ,+0.87                    ,+3.61                ,+15.19               ,+24.49               ,+13.79            ,22              ,50.73     ,58.00   ,49.88       ,49.57   ,-7.12                ,0.10           ,+0.64    ,-0.26,-0.23                   ,-2.08                    ,-5.08                    ,-3.56                 ,-16.38               ,0.00                 ,+14.93               ,+7.75             ,56.70      ,64.83     ,49.57    ,48.75  ,0.92         ,57.00            ,-0.82         ,0.98              ,--                   ,22.74                    ,2.57            ,153.00       ,15.81                ,6.80     ,50.42     ,54.03     ,49.68      ,51.68     ,51.58      ,19.03                ,47.51     ,30.20                   ,21.37,55.95               ,-5.73                     ,1.77           ,53.41     ,50.26      ,50.94     ,52.35     ,51.45      ,43.17     ,46.38                ,54.15         ,11.64,-1.07      ,-5.76          ,1.86                      ,51.98     ,50.29      ,52.20     ,40.96                ,8.98                    ,9.77    ,48.00                  ,-5.47          ,-5.99                     ,-191.31   , 
AM    ,-0.64      ,32.42     ,489279   ,26.19    ,6.05B     ,20             ,-1.50                     ,18.34     ,33.78     ,-0.43,-88.96      ,63.79                  ,-17.63            ,27.62                  ,34.31                  ,Oil Gas & Consumable Fuels                    ,NYSE    ,ANTERO MIDSTREAM PARTNERS,Oil & Gas Storage & Transportation,1.12    ,32.55         ,32.40 ,100     ,330081       ,429121      ,148.23                  ,114.02                 ,No        ,32.63 ,32.63 ,32.46 ,40.82                 ,378163        ,447564     ,129.38                   ,109.32                ,No                ,Energy                ,3.40          ,32.54     ,32.05 ,100     ,381431      ,94.57                     ,128.27                 ,10.96M         ,No                  ,NC ,--       ,--                 ,64.29          ,28.57                 ,7.14            ,--                     ,--              ,14                ,1.43              ,236.70M   ,586.35M,236.70M ,185.79M           ,1.24    ,1.24      ,0.74      ,1.54        ,0.05      ,--        ,--        ,24.00                       ,37.48   ,--                ,-0.12 ,-2.41                  ,-5.16                      ,+1.58                  ,-4.72                   ,+50.12               ,0.00                 ,+43.33               ,+1.95     ,33.11        ,35.40    ,3.11                   ,32.35     ,20.52    ,36.21                   ,5.21                         ,-0.37   ,+0.09,+1.20                  ,-0.04                 ,-1.91                  ,+5.09                    ,+6.29                ,0.00                 ,+22.78               ,+20.61            ,0               ,34.09     ,35.74   ,32.35       ,32.35   ,-11.53               ,0.21           ,-0.21    ,+0.28,-0.49                   ,-1.77                    ,-5.53                    ,-1.61                 ,+60.00               ,0.00                 ,+26.69               ,+10.93            ,35.40      ,35.74     ,32.35    ,30.45  ,0.58         ,75.00            ,-0.37         ,1.13              ,--                   ,26.19                    ,4.80            ,69.50        ,21.08                ,10.31    ,33.68     ,34.43     ,31.48      ,33.96     ,32.36      ,19.21                ,50.09     ,33.00                   ,11.04,36.00               ,-1.75                     ,1.54           ,34.12     ,29.46      ,34.11     ,33.75     ,31.83      ,43.80     ,50.45                ,59.11         ,8.20 ,-0.14      ,-1.10          ,1.59                      ,34.31     ,32.06      ,33.49     ,44.38                ,8.48                    ,5.67    ,32.62                  ,-2.52          ,-1.06                     ,-936.76   , 
AEL   ,-0.32      ,23.35     ,336028   ,24.15    ,2.07B     ,11             ,-0.49                     ,20.13     ,24.50     ,-0.65,-75.84      ,23.17                  ,-19.82            ,27.96                  ,25.20                  ,Insurance                                     ,NYSE    ,AMERICAN EQTY INVT LIFE H,Life & Health Insurance           ,0.24    ,23.43         ,23.33 ,400     ,531064       ,617932      ,63.27                   ,54.38                  ,No        ,23.42 ,23.66 ,23.36 ,96.53                 ,522362        ,552817     ,64.33                    ,60.78                 ,No                ,Financials            ,1.00          ,23.43     ,23.25 ,300     ,524559      ,51.06                     ,64.06                  ,12.52M         ,Yes                 ,A  ,--       ,B+                 ,28.57          ,28.57                 ,42.86           ,--                     ,--              ,7                 ,2.14              ,83.24M    ,2.22B  ,83.24M  ,88.28M            ,0.97    ,0.97      ,2.72      ,2.40        ,1.58      ,3.38      ,0.89      ,7.80                        ,3.75    ,4190.12           ,-0.08 ,-4.28                  ,-7.01                      ,+1.42                  ,-5.91                   ,-17.50               ,+95.23               ,+67.85               ,+2.40     ,23.69        ,27.87    ,4.34                   ,22.41     ,12.77    ,76.83                   ,5.84                         ,-0.36   ,-0.01,+1.60                  ,-0.01                 ,-2.12                  ,+6.44                    ,+3.95                ,-2.92                ,+31.25               ,+3.93             ,13              ,24.11     ,28.00   ,22.99       ,22.41   ,-10.48               ,0.32           ,-0.08    ,-0.04,-0.12                   ,-1.77                    ,-8.31                    ,-1.47                 ,+52.02               ,+65.21               ,+54.42               ,+0.16             ,27.87      ,28.00     ,22.41    ,21.66  ,0.41         ,56.00            ,-0.10         ,1.04              ,--                   ,24.15                    ,0.91            ,32.19        ,9.74                 ,0.93     ,24.17     ,25.28     ,22.48      ,24.77     ,23.41      ,20.82                ,49.73     ,37.95                   ,24.16,27.72               ,-3.48                     ,0.81           ,24.88     ,20.02      ,24.71     ,24.75     ,22.91      ,43.63     ,49.98                ,44.47         ,24.72,-0.36      ,-0.26          ,1.07                      ,25.20     ,23.40      ,24.51     ,44.02                ,14.59                   ,21.07   ,22.67                  ,-4.33          ,-0.88                     ,-1573.88  , 
SNCR  ,+2.40      ,24.70     ,505360   ,53.65    ,1.11B     ,7              ,-3.60                     ,30.51     ,25.89     ,-1.77,-66.36      ,96.34                  ,-9.29             ,60.92                  ,25.88                  ,Software                                      ,NCM     ,SYNCHRONOSS TECHNOLOGIES ,Application Software              ,--      ,24.12         ,24.69 ,300     ,800149       ,589620      ,63.16                   ,85.71                  ,No        ,24.12 ,24.73 ,24.70 ,88.44                 ,898870        ,757631     ,56.22                    ,66.70                 ,No                ,Information Technology,--            ,24.12     ,23.91 ,400     ,946753      ,40.24                     ,53.38                  ,19.85M         ,Yes                 ,C  ,--       ,B                  ,55.56          ,22.22                 ,22.22           ,--                     ,--              ,9                 ,1.67              ,7.99M     ,476.75M,7.99M   ,46M               ,0.45    ,0.45      ,0.96      ,2.54        ,0.96      ,0.58      ,0.69      ,18.50                       ,4.11    ,270.11            ,+0.58 ,-2.80                  ,-6.81                      ,-13.67                 ,-26.49                  ,-43.86               ,-20.16               ,-23.22               ,+2.12     ,24.78        ,30.43    ,25.21                  ,23.59     ,23.59    ,3.66                    ,4.04                         ,+2.40   ,0.00 ,-14.06                 ,-0.04                 ,-2.06                  ,-36.18                   ,-37.02               ,-24.55               ,-44.14               ,+1.26             ,45              ,26.13     ,40.28   ,23.59       ,23.59   ,-0.32                ,0.03           ,+0.58    ,0.00 ,-0.90                   ,-1.76                    ,-7.88                    ,-8.69                 ,-16.81               ,-14.16               ,-35.14               ,+0.73             ,27.86      ,49.94     ,23.59    ,23.59  ,0.82         ,2.00             ,-0.79         ,2.31              ,--                   ,53.65                    ,5.79            ,33.72        ,9.51                 ,2.33     ,25.55     ,31.47     ,37.28      ,26.51     ,33.90      ,20.93                ,34.44     ,40.81                   ,33.64,27.28               ,-2.96                     ,-13.59         ,32.68     ,37.71      ,25.70     ,30.37     ,34.61      ,30.07     ,33.15                ,66.58         ,18.35,-1.98      ,-13.82         ,-14.48                    ,25.88     ,37.15      ,31.36     ,27.61                ,8.19                    ,20.62   ,24.48                  ,-2.60          ,-13.74                    ,-985.16   , 
MWA   ,+0.56      ,11.72     ,856389   ,29.58    ,1.89B     ,6              ,-0.93                     ,27.95     ,11.98     ,-0.26,-77.98      ,68.75                  ,-7.32             ,27.16                  ,12.08                  ,Machinery                                     ,NYSE    ,MUELLER WATER PRODUCTS IN,Industrial Machinery              ,0.16    ,11.65         ,11.71 ,1800    ,2080741      ,1271265     ,41.16                   ,67.37                  ,No        ,11.65 ,11.79 ,11.72 ,90.16                 ,1772122       ,1510306    ,48.33                    ,56.70                 ,No                ,Industrials           ,1.40          ,11.65     ,11.55 ,800     ,1747898     ,37.38                     ,49.00                  ,24.49M         ,No                  ,C  ,--       ,B-                 ,45.45          ,18.18                 ,36.36           ,--                     ,--              ,11                ,1.91              ,63.90M    ,1.14B  ,63.90M  ,162.26M           ,0.39    ,0.39      ,0.19      ,0.48        ,0.34      ,0.25      ,-0.69     ,16.15                       ,5.61    ,292.02            ,+0.06 ,-0.94                  ,-3.57                      ,-1.11                  ,-8.57                   ,+24.25               ,+264.96              ,+13.48               ,+1.26     ,11.74        ,12.86    ,2.41                   ,11.53     ,9.40     ,31.25                   ,2.40                         ,+0.56   ,0.00 ,-1.80                  ,-0.01                 ,-0.52                  ,-8.70                    ,-12.20               ,+27.32               ,-6.05                ,+16.36            ,21              ,12.07     ,14.01   ,11.59       ,11.53   ,-2.15                ,0.08           ,+0.06    ,0.00 ,-0.11                   ,-0.43                    ,-4.30                    ,-1.09                 ,+25.72               ,+100.88              ,+3.08                ,+5.38             ,12.86      ,14.20     ,11.53    ,11.53  ,0.24         ,10.00            ,-0.17         ,1.27              ,--                   ,29.87                    ,--              ,115.49       ,24.04                ,1.66     ,11.89     ,12.64     ,12.79      ,12.07     ,12.57      ,22.03                ,43.68     ,29.13                   ,22.02,12.54               ,-0.74                     ,-1.60          ,12.72     ,12.41      ,12.00     ,12.46     ,12.53      ,39.05     ,43.15                ,41.14         ,16.91,-0.24      ,-1.75          ,-1.70                     ,12.08     ,12.90      ,12.52     ,37.98                ,12.15                   ,14.09   ,11.62                  ,-0.97          ,-1.79                     ,-1863.40  , 
NTGR  ,+1.99      ,49.93     ,329491   ,21.84    ,1.62B     ,3              ,-2.43                     ,31.04     ,51.86     ,-1.29,-77.54      ,91.38                  ,3.40              ,35.54                  ,52.61                  ,Communications Equipment                      ,NGM/NGS ,NETGEAR INC              ,Communications Equipment          ,--      ,49.15         ,49.90 ,100     ,440166       ,323487      ,74.86                   ,101.86                 ,No        ,48.95 ,50.05 ,49.95 ,98.17                 ,297870        ,309574     ,110.62                   ,106.43                ,No                ,Information Technology,--            ,49.15     ,48.60 ,400     ,307900      ,59.85                     ,107.01                 ,22.00M         ,Yes                 ,C  ,****     ,B                  ,50.00          ,--                    ,50.00           ,--                     ,--              ,4                 ,2.00              ,75.85M    ,1.33B  ,75.85M  ,32.93M            ,2.25    ,2.25      ,1.44      ,3.16        ,0.24      ,1.42      ,2.23      ,-0.30                       ,5.71    ,1405.61           ,+0.78 ,-5.42                  ,-6.58                      ,-5.36                  ,-10.40                  ,+57.73               ,+36.29               ,+21.78               ,+1.64     ,49.70        ,56.00    ,10.77                  ,48.75     ,38.25    ,8.62                    ,4.62                         ,+1.58   ,-0.20,-4.72                  ,-0.03                 ,-3.95                  ,-9.84                    ,-9.57                ,+48.79               ,+2.05                ,+10.08            ,25              ,52.11     ,58.50   ,49.05       ,48.75   ,-10.35               ,0.13           ,+0.98    ,-0.41,-1.23                   ,-3.46                    ,-7.43                    ,-5.71                 ,+30.15               ,+54.09               ,-3.86                ,+6.79             ,55.65      ,60.82     ,48.75    ,48.75  ,1.45         ,20.00            ,-1.33         ,0.94              ,--                   ,21.84                    ,2.41            ,--           ,15.56                ,1.22     ,51.70     ,54.53     ,54.02      ,52.35     ,53.94      ,22.22                ,43.65     ,34.78                   ,22.46,55.78               ,-5.65                     ,-4.43          ,54.77     ,53.70      ,52.23     ,53.72     ,53.72      ,39.54     ,42.27                ,60.95         ,15.02,-0.94      ,-6.98          ,-5.35                     ,52.61     ,54.29      ,53.89     ,37.05                ,8.44                    ,16.91   ,49.45                  ,-5.33          ,-7.30                     ,158.84    , 
INTU  ,-0.31      ,117.40    ,2748774  ,31.69    ,30.18B    ,76             ,-0.62                     ,20.81     ,121.03    ,-0.86,-91.48      ,51.09                  ,-21.43            ,26.30                  ,122.99                 ,Software                                      ,NGM/NGS ,INTUIT INC               ,Application Software              ,1.36    ,118.00        ,117.39,400     ,1950564      ,1314137     ,140.75                  ,208.92                 ,Yes       ,117.83,118.14,117.40,87.59                 ,1652404       ,1379889    ,166.15                   ,198.97                ,No                ,Information Technology,1.20          ,118.00    ,116.77,100     ,1692101     ,101.86                    ,162.25                 ,232.53M        ,No                  ,C  ,***      ,B+                 ,22.22          ,11.11                 ,50.00           ,11.11                  ,5.56            ,18                ,2.67              ,979.00M   ,4.69B  ,979.00M ,255.79M           ,3.72    ,3.69      ,1.28      ,4.34        ,3.13      ,2.83      ,2.60      ,15.47                       ,20.86   ,594.18            ,-0.53 ,-8.42                  ,-4.06                      ,+2.60                  ,-1.68                   ,+22.87               ,+119.18              ,+18.63               ,+1.08     ,118.90       ,127.58   ,10.31                  ,117.63    ,99.20    ,48.91                   ,3.92                         ,-0.45   ,-0.17,+3.13                  ,-0.03                 ,-5.55                  ,+2.25                    ,+3.26                ,+57.11               ,+10.67               ,+135.90           ,3               ,122.07    ,128.44  ,117.63      ,117.63  ,-17.57               ,0.67           ,-0.36    ,-0.14,-0.74                   ,-4.99                    ,-4.49                    ,-2.02                 ,+18.86               ,+90.96               ,+13.23               ,+22.22            ,126.67     ,128.45    ,117.63   ,111.90 ,1.37         ,50.00            ,-0.70         ,1.36              ,--                   ,31.95                    ,--              ,42.03        ,27.19                ,6.43     ,120.75    ,120.75    ,116.05     ,121.38    ,118.12     ,22.25                ,49.16     ,33.73                   ,8.52 ,128.64              ,-7.44                     ,2.92           ,119.98    ,114.01     ,122.08    ,120.60    ,117.23     ,44.10     ,49.76                ,45.85         ,6.99 ,0.11       ,-1.05          ,3.08                      ,122.99    ,117.71     ,120.09    ,45.02                ,12.52                   ,6.62    ,117.35                 ,-7.00          ,-0.53                     ,-5424.64  , 
BSBR  ,-2.66      ,8.77      ,5123681  ,15.97    ,34.33B    ,46             ,-5.79                     ,21.52     ,9.86      ,-0.35,-94.05      ,27.78                  ,-45.92            ,27.78                  ,10.16                  ,Banks                                         ,NYSE    ,BANCO SANTANDER BRASIL  -,Diversified Banks                 ,0.43    ,8.89          ,8.77  ,4500    ,3887361      ,1434171     ,131.79                  ,357.23                 ,No        ,9.01  ,9.03  ,8.78  ,0.62                  ,2056141       ,1607886    ,249.17                   ,318.63                ,No                ,Financials            ,4.80          ,8.89      ,8.67  ,1500    ,1964228     ,46.98                     ,260.83                 ,36.14M         ,No                  ,-- ,--       ,--                 ,--             ,--                    ,--              ,71.43                  ,28.57           ,7                 ,4.29              ,2.13B     ,27.27B ,2.13B   ,7.56B             ,0.56    ,0.56      ,0.74      ,--          ,0.43      ,0.43      ,0.41      ,9.34                        ,5.89    ,--                ,-0.12 ,-2.40                  ,-12.53                     ,+0.0538                ,-13.40                  ,+153.00              ,+53.04               ,+139.81              ,+1.47     ,9.32         ,11.28    ,2.72                   ,8.89      ,4.41     ,72.22                   ,13.21                        ,-1.35   ,+0.12,-0.50                  ,-0.11                 ,-1.46                  ,+0.61                    ,+4.24                ,+130.05              ,+38.48               ,+8.49             ,1               ,10.15     ,11.75   ,8.89        ,8.89    ,-4.26                ,0.26           ,-0.24    ,+1.35,-0.546                  ,-1.273                   ,-14.11                   ,-1.3761               ,+126.53              ,+92.29               ,+63.20               ,+1.12             ,11.28      ,11.75     ,8.89     ,8.89   ,0.36         ,91.00            ,-0.10         ,0.69              ,--                   ,15.97                    ,2.03            ,--           ,--                   ,2.47     ,9.78      ,10.40     ,9.06       ,10.00     ,9.42       ,22.58                ,46.56     ,38.36                   ,5.95 ,11.35               ,-2.07                     ,-0.11          ,10.24     ,7.96       ,9.93      ,10.04     ,9.16       ,40.31     ,47.10                ,55.17         ,5.11 ,-0.18      ,-1.13          ,-0.13                     ,10.16     ,9.36       ,9.94      ,41.03                ,11.09                   ,8.15    ,8.98                   ,-2.36          ,-0.97                     ,-16287.02 , 
