Symbol,% Chg(Open),Last Trade,Volume   ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change ,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
AM    ,-0.64      ,32.42     ,489279   ,26.19    ,6.05B     ,20             ,-1.50                     ,18.34     ,33.78     ,-0.43,-88.96      ,63.79                  ,-17.63            ,27.62                  ,34.31                  ,Oil Gas & Consumable Fuels                    ,NYSE    ,ANTERO MIDSTREAM PARTNERS,Oil & Gas Storage & Transportation   ,1.12    ,32.55         ,32.39 ,100     ,330081       ,429121      ,148.23                  ,114.02                 ,No        ,32.63 ,32.63 ,32.47 ,40.82                 ,378163        ,447564     ,129.38                   ,109.32                ,No                ,Energy                ,3.40          ,32.54     ,32.05 ,100     ,381431      ,94.57                     ,128.27                 ,10.96M         ,No                  ,NC ,--       ,--                 ,64.29          ,28.57                 ,7.14            ,--                     ,--              ,14                ,1.43              ,236.70M   ,586.35M,236.70M ,185.79M           ,1.24    ,1.24      ,0.74      ,1.54        ,0.05      ,--        ,--        ,24.00                       ,37.48   ,--                ,-0.12  ,-2.41                  ,-5.16                      ,+1.58                  ,-4.72                   ,+50.12               ,0.00                 ,+43.33               ,+1.95     ,33.11        ,35.40    ,3.11                   ,32.35     ,20.52    ,36.21                   ,5.21                         ,-0.37   ,+0.09,+1.20                  ,-0.04                 ,-1.91                  ,+5.09                    ,+6.29                ,0.00                 ,+22.78               ,+20.61            ,0               ,34.09     ,35.74   ,32.35       ,32.35   ,-11.53               ,0.21           ,-0.21    ,+0.28,-0.49                   ,-1.77                    ,-5.53                    ,-1.61                 ,+60.00               ,0.00                 ,+26.69               ,+10.93            ,35.40      ,35.74     ,32.35    ,30.45  ,0.58         ,75.00            ,-0.37         ,1.13              ,--                   ,26.19                    ,4.80            ,69.50        ,21.08                ,10.31    ,33.68     ,34.43     ,31.48      ,33.96     ,32.36      ,19.21                ,50.09     ,33.00                   ,11.04,36.00               ,-1.75                     ,1.54           ,34.12     ,29.46      ,34.11     ,33.75     ,31.83      ,43.80     ,50.45                ,59.11         ,8.20 ,-0.14      ,-1.10          ,1.59                      ,34.31     ,32.06      ,33.49     ,44.38                ,8.48                    ,5.67    ,32.62                  ,-2.52          ,-1.06                     ,-936.76   , 
FDS   ,+0.26      ,164.70    ,532555   ,19.49    ,6.51B     ,30             ,-4.11                     ,19.26     ,174.54    ,-1.89,-86.38      ,91.25                  ,-15.80            ,19.23                  ,176.41                 ,Capital Markets                               ,NYSE    ,FACTSET RESEARCH SYSTEMS ,Financial Exchanges & Data           ,2.00    ,164.57        ,164.71,100     ,444077       ,324755      ,119.92                  ,163.99                 ,No        ,164.27,164.97,164.75,96.33                 ,283492        ,241063     ,187.86                   ,220.92                ,Yes               ,Financials            ,1.20          ,164.57    ,161.88,300     ,278928      ,43.61                     ,190.93                 ,75.29M         ,No                  ,F  ,***      ,A+                 ,--             ,5.56                  ,66.67           ,22.22                  ,5.56            ,18                ,3.28              ,338.82M   ,--     ,338.82M ,39.57M            ,8.45    ,8.19      ,5.71      ,7.27        ,4.92      ,4.45      ,4.12      ,10.70                       ,30.06   ,134.58            ,+0.13  ,-14.98                 ,-6.71                      ,-2.92                  ,-6.16                   ,+14.87               ,+90.44               ,+12.81               ,+0.77     ,168.03       ,182.56   ,18.67                  ,163.88    ,145.48   ,8.75                    ,6.87                         ,+0.08   ,-0.30,-0.36                  ,-0.07                 ,-12.87                 ,-1.74                    ,+0.97                ,+69.26               ,+11.37               ,+65.51            ,7               ,179.33    ,183.64  ,163.88      ,163.88  ,-16.40               ,0.27           ,+0.43    ,-0.18,-7.05                   ,-11.84                   ,-7.25                    ,-10.80                ,+19.89               ,+104.20              ,+0.51                ,+33.47            ,182.56     ,183.64    ,163.88   ,163.88 ,3.09         ,73.00            ,-2.82         ,0.84              ,--                   ,20.09                    ,--              ,57.98        ,22.62                ,--       ,175.16    ,176.39    ,167.36     ,175.29    ,171.93     ,18.70                ,44.65     ,43.64                   ,13.62,184.77              ,-13.33                    ,1.27           ,175.19    ,168.18     ,176.02    ,174.89    ,170.99     ,38.50     ,44.54                ,51.08         ,8.70 ,-0.27      ,-8.35          ,2.63                      ,176.41    ,169.82     ,174.25    ,38.31                ,14.13                   ,15.55   ,168.06                 ,-16.15         ,-8.37                     ,-740.40   , 
AEL   ,-0.32      ,23.35     ,336028   ,24.15    ,2.07B     ,11             ,-0.49                     ,20.13     ,24.50     ,-0.65,-75.84      ,23.17                  ,-19.82            ,27.96                  ,25.20                  ,Insurance                                     ,NYSE    ,AMERICAN EQTY INVT LIFE H,Life & Health Insurance              ,0.24    ,23.43         ,23.33 ,300     ,531064       ,617932      ,63.27                   ,54.38                  ,No        ,23.42 ,23.66 ,23.36 ,96.53                 ,522362        ,552817     ,64.33                    ,60.78                 ,No                ,Financials            ,1.00          ,23.43     ,23.25 ,200     ,524559      ,51.06                     ,64.06                  ,12.52M         ,Yes                 ,A  ,--       ,B+                 ,28.57          ,28.57                 ,42.86           ,--                     ,--              ,7                 ,2.14              ,83.24M    ,2.22B  ,83.24M  ,88.28M            ,0.97    ,0.97      ,2.72      ,2.40        ,1.58      ,3.38      ,0.89      ,7.80                        ,3.75    ,4190.12           ,-0.08  ,-4.28                  ,-7.01                      ,+1.42                  ,-5.91                   ,-17.50               ,+95.23               ,+67.85               ,+2.40     ,23.69        ,27.87    ,4.34                   ,22.41     ,12.77    ,76.83                   ,5.84                         ,-0.36   ,-0.01,+1.60                  ,-0.01                 ,-2.12                  ,+6.44                    ,+3.95                ,-2.92                ,+31.25               ,+3.93             ,13              ,24.11     ,28.00   ,22.99       ,22.41   ,-10.48               ,0.32           ,-0.08    ,-0.04,-0.12                   ,-1.77                    ,-8.31                    ,-1.47                 ,+52.02               ,+65.21               ,+54.42               ,+0.16             ,27.87      ,28.00     ,22.41    ,21.66  ,0.41         ,56.00            ,-0.10         ,1.04              ,--                   ,24.15                    ,0.91            ,32.19        ,9.74                 ,0.93     ,24.17     ,25.28     ,22.48      ,24.77     ,23.41      ,20.82                ,49.73     ,37.95                   ,24.16,27.72               ,-3.48                     ,0.81           ,24.88     ,20.02      ,24.71     ,24.75     ,22.91      ,43.63     ,49.98                ,44.47         ,24.72,-0.36      ,-0.26          ,1.07                      ,25.20     ,23.40      ,24.51     ,44.02                ,14.59                   ,21.07   ,22.67                  ,-4.33          ,-0.88                     ,-1573.88  , 
PTHN  ,+0.42      ,26.10     ,426295   ,42.16    ,3.77B     ,18             ,-0.73                     ,20.30     ,27.64     ,-1.26,-70.51      ,97.40                  ,47.12             ,46.29                  ,28.90                  ,Life Sciences Tools & Services                ,NYSE    ,PATHEON NV               ,Life Sciences Tools & Services       ,--      ,25.96         ,26.07 ,300     ,558673       ,416861      ,76.30                   ,102.26                 ,No        ,25.99 ,26.12 ,26.10 ,24.12                 ,784090        ,467195     ,54.37                    ,91.25                 ,No                ,Health Care           ,--            ,25.96     ,25.35 ,200     ,738857      ,98.73                     ,57.70                  ,14.66M         ,No                  ,C  ,--       ,--                 ,36.36          ,36.36                 ,27.27           ,--                     ,--              ,11                ,1.91              ,31.70M    ,1.87B  ,31.70M  ,145.14M           ,0.62    ,0.26      ,1.20      ,1.14        ,-1.03     ,-0.26     ,-0.83     ,19.75                       ,1.70    ,205.13            ,+0.14  ,-5.60                  ,-10.19                     ,-2.62                  ,-11.67                  ,0.00                 ,0.00                 ,0.00                 ,0.00      ,26.28        ,32.47    ,6.83                   ,23.72     ,23.72    ,2.60                    ,7.41                         ,+0.54   ,+0.03,-2.90                  ,-0.01                 ,-3.47                  ,-9.16                    ,-9.58                ,0.00                 ,+15.13               ,-14.03            ,8               ,27.10     ,32.95   ,25.51       ,23.72   ,-1.63                ,0.02           ,+0.11    ,+0.12,-0.19                   ,-2.94                    ,-11.78                   ,-3.43                 ,0.00                 ,0.00                 ,+12.54               ,0.00              ,32.33      ,32.95     ,25.51    ,23.72  ,0.77         ,17.00            ,-0.75         ,1.81              ,--                   ,101.78                   ,--              ,-602.61      ,22.84                ,2.02     ,26.54     ,29.48     ,28.44      ,28.13     ,--         ,17.12                ,--        ,38.49                   ,29.49,33.72               ,-5.54                     ,-2.61          ,29.34     ,--         ,28.03     ,--        ,--         ,--        ,50.00                ,57.91         ,28.95,-0.88      ,-2.59          ,-2.47                     ,28.90     ,28.61      ,--        ,50.00                ,10.26                   ,29.70   ,24.08                  ,-5.65          ,-2.24                     ,6532.08   , 
INTU  ,-0.25      ,117.53    ,2739538  ,31.69    ,30.18B    ,76             ,-0.62                     ,20.81     ,121.03    ,-0.86,-91.48      ,55.47                  ,-21.44            ,26.30                  ,122.99                 ,Software                                      ,NGM/NGS ,INTUIT INC               ,Application Software                 ,1.36    ,118.00        ,117.53,100     ,1950564      ,1314137     ,140.43                  ,208.44                 ,Yes       ,117.83,118.14,117.55,87.59                 ,1652404       ,1379889    ,165.77                   ,198.51                ,No                ,Information Technology,1.20          ,118.00    ,116.77,100     ,1692101     ,101.63                    ,161.88                 ,232.53M        ,No                  ,C  ,***      ,B+                 ,22.22          ,11.11                 ,50.00           ,11.11                  ,5.56            ,18                ,2.67              ,979.00M   ,4.69B  ,979.00M ,255.79M           ,3.72    ,3.69      ,1.28      ,4.34        ,3.13      ,2.83      ,2.60      ,15.47                       ,20.86   ,594.18            ,-0.47  ,-8.36                  ,-4.06                      ,+2.60                  ,-1.68                   ,+22.87               ,+119.18              ,+18.63               ,+1.08     ,118.90       ,127.58   ,10.31                  ,117.63    ,99.20    ,44.53                   ,3.87                         ,-0.40   ,-0.17,+3.19                  ,-0.03                 ,-5.55                  ,+2.25                    ,+3.26                ,+57.11               ,+10.67               ,+135.90           ,3               ,122.07    ,128.44  ,117.63      ,117.63  ,-17.57               ,0.61           ,-0.30    ,-0.14,-0.74                   ,-4.99                    ,-4.49                    ,-2.02                 ,+18.86               ,+90.96               ,+13.23               ,+22.22            ,126.67     ,128.45    ,117.63   ,111.90 ,1.37         ,50.00            ,-0.76         ,1.36              ,--                   ,31.95                    ,--              ,42.03        ,27.19                ,6.43     ,120.75    ,120.75    ,116.05     ,121.38    ,118.12     ,22.25                ,49.16     ,33.73                   ,8.52 ,128.64              ,-7.44                     ,2.92           ,119.98    ,114.01     ,122.08    ,120.60    ,117.23     ,44.10     ,49.76                ,45.85         ,6.99 ,0.11       ,-1.05          ,3.08                      ,122.99    ,117.71     ,120.09    ,45.02                ,12.52                   ,6.62    ,117.35                 ,-7.00          ,-0.53                     ,-5424.93  , 
BSBR  ,-2.88      ,8.75      ,5101226  ,15.97    ,34.33B    ,46             ,-5.73                     ,21.25     ,9.86      ,-0.35,-95.67      ,22.25                  ,-48.32            ,27.78                  ,10.16                  ,Banks                                         ,NYSE    ,BANCO SANTANDER BRASIL  -,Diversified Banks                    ,0.43    ,8.89          ,8.75  ,4800    ,3887361      ,1434171     ,131.22                  ,355.68                 ,No        ,9.01  ,9.03  ,8.76  ,0.62                  ,2056141       ,1607886    ,248.09                   ,317.25                ,No                ,Financials            ,4.80          ,8.89      ,8.67  ,2400    ,1964228     ,46.78                     ,259.70                 ,36.14M         ,No                  ,-- ,--       ,--                 ,--             ,--                    ,--              ,71.43                  ,28.57           ,7                 ,4.29              ,2.13B     ,27.27B ,2.13B   ,7.56B             ,0.56    ,0.56      ,0.74      ,--          ,0.43      ,0.43      ,0.41      ,9.34                        ,5.89    ,--                ,-0.1399,-2.4199                ,-12.51                     ,+0.0538                ,-13.40                  ,+153.00              ,+53.04               ,+139.81              ,+1.47     ,9.32         ,11.28    ,2.72                   ,8.89      ,4.41     ,77.75                   ,13.45                        ,-1.57   ,+0.12,-0.5199                ,-0.11                 ,-1.46                  ,+0.61                    ,+4.24                ,+130.05              ,+38.48               ,+8.49             ,1               ,10.15     ,11.75   ,8.89        ,8.89    ,-4.26                ,0.2799         ,-0.2599  ,+1.35,-0.54                   ,-1.2715                  ,-14.11                   ,-1.3761               ,+126.53              ,+92.29               ,+63.20               ,+1.12             ,11.28      ,11.75     ,8.89     ,8.89   ,0.36         ,91.00            ,-0.0801       ,0.69              ,--                   ,15.97                    ,2.03            ,--           ,--                   ,2.47     ,9.77      ,10.40     ,9.06       ,10.00     ,9.42       ,22.58                ,46.42     ,38.36                   ,4.33 ,11.35               ,-2.07                     ,-0.14          ,10.24     ,7.95       ,9.93      ,10.04     ,9.16       ,40.12     ,47.10                ,55.17         ,4.57 ,-0.18      ,-1.16          ,-0.13                     ,10.16     ,9.36       ,9.94      ,41.03                ,11.09                   ,7.97    ,8.97                   ,-2.39          ,-0.97                     ,-17125.90 , 
STMP  ,-1.64      ,113.70    ,384249   ,28.06    ,1.95B     ,38             ,-0.26                     ,21.82     ,121.77    ,-2.86,-94.42      ,13.43                  ,-23.07            ,29.41                  ,124.95                 ,Internet Software & Services                  ,NCM     ,STAMPS.COM INC           ,Internet Software & Services         ,--      ,115.60        ,113.65,200     ,416709       ,312363      ,92.21                   ,123.01                 ,No        ,115.60,116.60,113.75,94.13                 ,333309        ,270545     ,115.28                   ,142.03                ,No                ,Information Technology,--            ,115.60    ,113.25,200     ,341900      ,114.34                    ,112.39                 ,48.93M         ,Yes                 ,D  ,--       ,B                  ,83.33          ,16.67                 ,--              ,--                     ,--              ,6                 ,1.17              ,75.23M    ,364.30M,75.23M  ,16.85M            ,4.12    ,4.12      ,-0.26     ,6.50        ,2.25      ,2.71      ,2.30      ,22.00                       ,20.65   ,520.43            ,-1.90  ,-13.90                 ,-7.48                      ,+3.57                  ,-6.70                   ,+100.69              ,+319.81              ,+38.59               ,+0.23     ,116.80       ,134.00   ,19.40                  ,112.50    ,68.82    ,86.57                   ,9.44                         ,-1.64   ,0.00 ,-2.10                  ,-0.07                 ,-9.85                  ,+3.19                    ,+0.83                ,+243.21              ,+18.74               ,+24.60            ,7               ,124.25    ,136.00  ,114.45      ,112.50  ,-44.43               ,2.90           ,-1.90    ,0.00 ,-0.30                   ,-9.35                    ,-7.86                    ,-8.30                 ,+8.13                ,+368.00              ,+30.38               ,+13.21            ,134.00     ,136.00    ,112.50   ,112.50 ,3.35         ,44.00            ,-0.45         ,1.21              ,--                   ,28.06                    ,54.29           ,37.84        ,17.78                ,5.35     ,121.36    ,125.23    ,114.06     ,122.90    ,117.60     ,24.43                ,47.51     ,36.36                   ,5.58 ,136.67              ,-10.50                    ,-0.95          ,123.73    ,103.35     ,124.43    ,122.94    ,115.54     ,41.47     ,48.64                ,54.72         ,11.32,-1.02      ,-7.85          ,0.95                      ,124.95    ,118.16     ,122.00    ,43.07                ,10.64                   ,10.76   ,113.22                 ,-7.15          ,-6.90                     ,-1137.92  , 
SJM   ,-0.18      ,132.76    ,638569   ,23.18    ,15.50B    ,3              ,+0.10                     ,21.87     ,135.53    ,-1.43,-93.43      ,11.11                  ,-14.55            ,22.88                  ,137.22                 ,Food Products                                 ,NYSE    ,SMUCKER (JM) CO          ,Packaged Foods & Meats               ,3.00    ,133.14        ,132.74,300     ,1553554      ,1000620     ,41.10                   ,63.82                  ,Yes       ,133.00,133.48,132.77,78.26                 ,1359189       ,1291590    ,46.98                    ,49.44                 ,No                ,Consumer Staples      ,2.30          ,133.13    ,132.67,200     ,1374503     ,24.66                     ,46.46                  ,206.80M        ,No                  ,C  ,***      ,A                  ,14.29          ,4.76                  ,71.43           ,9.52                   ,--              ,21                ,2.76              ,688.70M   ,7.81B  ,688.70M ,116.44M           ,5.74    ,5.76      ,3.33      ,7.65        ,5.42      ,--        ,4.06      ,6.39                        ,8.82    ,1130.42           ,-0.37  ,-8.52                  ,-2.98                      ,+0.12                  ,-2.21                   ,+23.43               ,+86.48               ,+11.51               ,+0.59     ,133.52       ,143.44   ,23.83                  ,132.22    ,122.05   ,88.89                   ,2.71                         ,-0.28   ,-0.13,+4.25                  ,-0.01                 ,-4.82                  ,+0.09                    ,+4.54                ,+48.02               ,+13.14               ,+9.24             ,15              ,134.88    ,143.68  ,132.30      ,132.22  ,-10.62               ,0.72           ,-0.24    ,-0.10,+0.13                   ,-4.09                    ,-3.50                    ,-3.00                 ,+5.58                ,+50.90               ,+1.07                ,+4.19             ,142.03     ,157.31    ,132.22   ,127.00 ,0.81         ,52.00            ,-0.09         ,1.00              ,--                   ,23.11                    ,--              ,73.43        ,17.40                ,1.98     ,134.90    ,137.35    ,132.73     ,136.10    ,135.37     ,23.21                ,46.98     ,31.03                   ,6.57 ,143.11              ,-8.59                     ,4.70           ,136.08    ,138.13     ,136.36    ,136.20    ,135.24     ,43.22     ,47.38                ,34.11         ,8.56 ,-0.66      ,-3.09          ,3.98                      ,137.22    ,132.93     ,135.94    ,43.88                ,15.25                   ,7.62    ,131.33                 ,-7.93          ,-0.99                     ,-2720.68  , 
EGOV  ,-0.75      ,19.80     ,446131   ,23.70    ,1.33B     ,13             ,-1.46                     ,23.18     ,20.72     ,-0.49,-87.76      ,60.00                  ,2.92              ,40.25                  ,20.90                  ,Internet Software & Services                  ,NGM/NGS ,NIC INC                  ,Internet Software & Services         ,0.32    ,19.90         ,19.80 ,300     ,595590       ,291107      ,74.91                   ,153.25                 ,No        ,19.95 ,20.00 ,19.85 ,90.08                 ,409137        ,370871     ,109.04                   ,120.29                ,No                ,Information Technology,1.60          ,19.89     ,19.50 ,1000    ,413120      ,59.98                     ,107.99                 ,12.12M         ,Yes                 ,D  ,--       ,A-                 ,12.50          ,--                    ,75.00           ,--                     ,12.50           ,8                 ,3.00              ,55.83M    ,317.92M,55.83M  ,66.78M            ,0.84    ,0.84      ,0.63      ,0.71        ,0.59      ,0.49      ,0.40      ,15.00                       ,17.56   ,342.21            ,-0.09  ,-1.50                  ,-4.81                      ,-3.37                  ,-11.80                  ,+21.42               ,+86.11               ,+9.18                ,+0.54     ,20.45        ,21.95    ,5.90                   ,19.80     ,17.06    ,40.00                   ,5.33                         ,-0.45   ,+0.06,-4.00                  ,-0.06                 ,-1.12                  ,-14.48                   ,-16.42               ,+18.35               ,-15.94               ,+44.72            ,2               ,21.45     ,25.69   ,19.80       ,19.80   ,-2.44                ,0.20           ,-0.15    ,+0.30,-0.29                   ,-1.01                    ,-5.35                    ,-2.66                 ,+21.86               ,+22.84               ,-5.69                ,+23.16            ,21.95      ,25.90     ,19.80    ,19.80  ,0.50         ,7.00             ,-0.30         ,1.02              ,--                   ,23.70                    ,10.08           ,--           ,28.08                ,4.18     ,20.76     ,22.09     ,23.23      ,20.90     ,22.47      ,24.17                ,38.51     ,28.81                   ,12.24,21.84               ,-1.21                     ,-4.10          ,22.51     ,23.02      ,20.85     ,21.82     ,22.52      ,33.45     ,38.81                ,57.02         ,12.14,-0.42      ,-4.30          ,-4.16                     ,20.90     ,23.32      ,22.03     ,33.90                ,7.89                    ,14.29   ,19.95                  ,-1.80          ,-4.86                     ,206.56    , 
WBS   ,-0.80      ,48.56     ,563944   ,22.73    ,4.52B     ,35             ,-0.48                     ,23.30     ,51.36     ,-1.46,-87.32      ,48.42                  ,-4.25             ,28.05                  ,52.82                  ,Banks                                         ,NYSE    ,WEBSTER FINANCIAL CORP   ,Regional Banks                       ,1.00    ,49.09         ,48.55 ,200     ,1238667      ,759471      ,45.47                   ,74.16                  ,No        ,48.93 ,49.03 ,48.58 ,98.80                 ,860553        ,720807     ,65.45                    ,78.14                 ,Yes               ,Financials            ,2.00          ,49.09     ,48.08 ,400     ,834649      ,43.63                     ,67.48                  ,61.40M         ,No                  ,C  ,***      ,B                  ,--             ,18.18                 ,63.64           ,9.09                   ,9.09            ,11                ,3.09              ,207.13M   ,1.09B  ,207.13M ,92.02M            ,2.16    ,2.16      ,2.13      ,2.40        ,2.08      ,1.86      ,1.86      ,8.00                        ,22.35   ,292.50            ,-0.55  ,-7.78                  ,-7.06                      ,+0.35                  ,-8.38                   ,+42.21               ,+147.54              ,+42.81               ,+1.28     ,49.41        ,57.50    ,8.47                   ,47.59     ,31.29    ,51.58                   ,7.01                         ,-1.12   ,-0.16,-5.87                  ,-0.03                 ,-4.34                  ,+0.71                    ,-9.13                ,+70.79               ,+11.25               ,+8.82             ,3               ,51.15     ,57.50   ,48.26       ,47.59   ,-16.79               ,0.49           ,-0.39    ,-0.33,-0.24                   ,-3.73                    ,-8.12                    ,-4.49                 ,+44.01               ,+129.04              ,+43.77               ,+0.82             ,57.50      ,57.50     ,47.59    ,47.59  ,0.95         ,15.00            ,-0.46         ,0.98              ,--                   ,22.73                    ,2.46            ,--           ,20.46                ,4.16     ,50.86     ,53.44     ,49.91      ,51.93     ,50.81      ,25.33                ,46.33     ,32.55                   ,12.68,57.82               ,-5.84                     ,-5.74          ,53.50     ,44.56      ,51.94     ,52.68     ,49.90      ,39.93     ,47.14                ,46.91         ,15.47,-0.87      ,-3.98          ,-5.18                     ,52.82     ,52.11      ,52.45     ,41.05                ,11.77                   ,14.82   ,47.81                  ,-8.79          ,-3.69                     ,-559.95   , 
