Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                              ,Dividend,Reported Close,Bid     ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open    ,High    ,Ask     ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low     ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap ,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD ,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
FIZZ  ,+1.23      ,84.28     ,295324    ,40.55    ,3.86B     ,10             ,+1.40                     ,96.44     ,76.82     ,6.47 ,-3.65       ,68.23                  ,56.77             ,79.14                  ,73.05                  ,Beverages                                     ,NASDAQ  ,NATIONAL BEVERAGE CORP   ,Soft Drinks                               ,--      ,82.99         ,84.25   ,100     ,302298       ,327470      ,97.69                   ,90.18                  ,No        ,83.26   ,84.93   ,84.30   ,22.48                 ,374202        ,274237     ,78.92                    ,107.69                ,No                ,Consumer Staples      ,--            ,82.99     ,82.88   ,100     ,352598      ,57.79                     ,83.76                  ,24.55M         ,No                  ,D  ,--       ,B+                 ,--             ,100.00                ,--              ,--                     ,--              ,1                 ,2.00              ,61.20M    ,704.78M,61.20M  ,46.57M            ,2.05    ,1.31      ,1.05      ,2.25        ,0.92      ,1.01      ,0.95      ,--                          ,8.68    ,587.32            ,+1.29 ,+25.48                 ,+13.61                     ,+29.59                 ,+40.75                  ,+241.69              ,+506.95              ,+15.46               ,+0.69     ,83.59        ,83.59    ,-1.34                  ,58.53     ,39.14    ,31.77                   ,-8.25                        ,+1.55   ,+0.27,+33.19                 ,+0.06                 ,+12.36                 ,+55.40                   ,+62.47               ,+302.99              ,+15.69               ,+45.53            ,69              ,83.59     ,83.59   ,81.59       ,58.21   ,-43.74               ,0.65           ,+1.02    ,+0.33 ,+1.15                   ,+9.95                    ,+17.50                   ,+24.03                ,+98.59               ,+491.23              ,+20.91               ,+31.89            ,83.59      ,83.59     ,78.02    ,45.40   ,2.05         ,99.00            ,-1.40         ,1.74              ,--                   ,63.35                    ,19.68           ,--           ,36.85                ,5.48     ,80.02     ,61.55     ,54.31      ,74.42     ,59.21      ,95.98                ,77.69     ,1.95                    ,96.35,89.91               ,24.58                     ,33.20          ,59.39     ,54.24      ,77.33     ,65.29     ,57.89      ,86.01     ,77.05                ,92.63         ,97.73,5.95       ,34.09          ,31.23                     ,73.05     ,55.55      ,63.53     ,85.38                ,51.00                   ,98.14   ,56.18                  ,24.13          ,33.92                     ,2990.70   , 
MGI   ,+0.77      ,17.00     ,168620    ,67.92    ,915.22M   ,4              ,+1.05                     ,93.63     ,15.86     ,1.12 ,-2.90       ,56.67                  ,-10.17            ,46.17                  ,15.00                  ,IT Services                                   ,NASDAQ  ,MONEYGRAM INTERNATIONAL I,Data Processing & Outsourced Services     ,--      ,16.98         ,16.99   ,300     ,567538       ,516044      ,29.71                   ,32.68                  ,No        ,16.87   ,17.13   ,17.00   ,40.67                 ,1177938       ,929011     ,14.31                    ,18.15                 ,No                ,Information Technology,--            ,16.98     ,16.83   ,800     ,1098271     ,17.48                     ,15.35                  ,9.51M          ,No                  ,NR ,--       ,B-                 ,--             ,--                    ,100.00          ,--                     ,--              ,10                ,3.00              ,16.30M    ,1.63B  ,16.30M  ,53.9M             ,0.25    ,0.25      ,-1.24     ,1.01        ,1.10      ,0.73      ,-0.69     ,13.00                       ,1.00    ,559.12            ,+0.02 ,+4.24                  ,+13.21                     ,+6.05                  ,+27.90                  ,+88.67               ,-8.06                ,+96.61               ,+2.03     ,17.07        ,17.07    ,-0.05                  ,12.55     ,5.64     ,43.33                   ,-7.26                        ,+0.12   ,-0.11,+5.08                  ,+0.02                 ,+2.38                  ,+55.34                   ,+43.78               ,-11.48               ,+16.85               ,-7.56             ,26              ,17.07     ,17.07   ,16.72       ,12.55   ,-11.19               ,0.13           ,+0.13    ,-0.65 ,+0.18                   ,+1.98                    ,+16.27                   ,+3.70                 ,+181.42              ,-3.59                ,+75.52               ,+0.36             ,17.07      ,17.08     ,16.50    ,11.26   ,0.30         ,97.00            ,-0.17         ,2.92              ,--                   ,67.92                    ,--              ,-439.16      ,16.77                ,0.56     ,16.64     ,13.52     ,11.40      ,15.44     ,12.42      ,93.56                ,76.11     ,7.83                    ,97.10,18.82               ,4.22                      ,5.19           ,13.34     ,9.68       ,15.77     ,13.93     ,11.95      ,82.01     ,76.06                ,71.94         ,98.20,0.98       ,4.30           ,4.99                      ,15.00     ,12.35      ,13.58     ,81.94                ,47.96                   ,98.19   ,11.18                  ,4.22           ,4.31                      ,-2103.35  , 
PNRA  ,+0.96      ,257.64    ,488547    ,41.58    ,5.48B     ,31             ,+1.66                     ,91.24     ,244.66    ,7.19 ,-9.72       ,95.68                  ,38.78             ,46.13                  ,239.59                 ,Hotels Restaurants & Leisure                  ,NGM/NGS ,PANERA BREAD CO          ,Restaurants                               ,--      ,256.97        ,257.58  ,500     ,772565       ,512467      ,63.24                   ,95.33                  ,No        ,255.20  ,257.82  ,257.92  ,93.31                 ,449429        ,495605     ,108.70                   ,98.58                 ,Yes               ,Consumer Discretionary,--            ,256.97    ,253.65  ,100     ,437483      ,41.61                     ,111.67                 ,194.28M        ,No                  ,D  ,**       ,B+                 ,44.83          ,24.14                 ,31.03           ,--                     ,--              ,29                ,1.86              ,145.24M   ,2.80B  ,145.24M ,21.34M            ,6.18    ,6.18      ,5.79      ,7.69        ,6.64      ,6.81      ,5.89      ,16.01                       ,5.21    ,69.36             ,+0.67 ,+25.57                 ,+7.25                      ,+44.64                 ,+13.99                  ,+56.44               ,+55.22               ,+5.32                ,+0.34     ,260.24       ,260.24   ,2.42                   ,226.81    ,185.69   ,4.32                    ,-5.85                        ,+0.26   ,-1.77,+51.80                 ,+0.05                 ,+19.36                 ,+21.02                   ,+25.30               ,+33.63               ,+8.81                ,+36.95            ,24              ,260.24    ,260.24  ,252.75      ,226.81  ,-67.96               ,0.18           ,+2.44    ,-0.69 ,+4.20                   ,+17.38                   ,+8.15                    ,+31.53                ,+21.94               ,+51.07               ,+6.29                ,+10.59            ,260.24     ,260.24    ,240.04   ,201.17  ,4.17         ,91.00            ,-3.99         ,1.79              ,--                   ,41.58                    ,52.15           ,140.47       ,33.41                ,1.96     ,246.24    ,229.02    ,214.56     ,242.03    ,223.12     ,90.94                ,68.53     ,5.46                    ,90.28,257.01              ,26.17                     ,52.55          ,225.98    ,213.06     ,242.56    ,231.77    ,221.04     ,75.76     ,68.30                ,77.38         ,92.31,5.44       ,48.58          ,49.04                     ,239.59    ,218.98     ,229.46    ,75.47                ,42.84                   ,94.42   ,222.16                 ,26.01          ,46.44                     ,2729.86   , 
PENN  ,+2.02      ,18.72     ,3093653   ,15.45    ,1.67B     ,1              ,+1.84                     ,88.17     ,16.62     ,1.01 ,-2.88       ,82.35                  ,52.99             ,42.08                  ,15.83                  ,Hotels Restaurants & Leisure                  ,NGM/NGS ,PENN NATIONAL GAMING INC ,Casinos & Gaming                          ,--      ,18.39         ,18.71   ,200     ,6666299      ,1351403     ,46.41                   ,228.92                 ,No        ,18.35   ,18.84   ,18.72   ,85.25                 ,2398662       ,1611595    ,128.97                   ,191.96                ,No                ,Consumer Discretionary,--            ,18.39     ,18.16   ,1800    ,2302193     ,66.79                     ,134.38                 ,117.74M        ,Yes                 ,B  ,--       ,B-                 ,57.14          ,7.14                  ,35.71           ,--                     ,--              ,14                ,1.79              ,109.31M   ,3.02B  ,109.31M ,90.89M            ,1.19    ,1.19      ,0.01      ,0.55        ,-2.34     ,-7.44     ,2.03      ,-0.07                       ,3.62    ,160.48            ,+0.33 ,+4.09                  ,+16.20                     ,+4.41                  ,+27.09                  ,+9.75                ,+73.87               ,-7.66                ,+0.89     ,18.71        ,18.71    ,-0.13                  ,14.38     ,11.93    ,17.65                   ,-13.28                       ,+1.79   ,-0.04,+4.82                  ,+0.22                 ,+2.87                  ,+31.57                   ,+33.36               ,+51.11               ,+8.96                ,-17.90            ,52              ,18.71     ,18.71   ,18.28       ,14.19   ,-6.23                ,0.12           ,+0.37    ,-0.22 ,+0.33                   ,+2.56                    ,+18.52                   ,+3.92                 ,+17.09               ,+42.70               ,+2.05                ,+2.16             ,18.71      ,18.71     ,15.23    ,13.00   ,0.68         ,94.00            ,-0.56         ,0.66              ,--                   ,15.45                    ,--              ,-881.14      ,33.20                ,0.55     ,16.84     ,14.71     ,14.09      ,16.24     ,14.60      ,86.94                ,67.47     ,7.08                    ,97.12,18.58               ,3.92                      ,4.93           ,14.54     ,14.09      ,16.23     ,15.16     ,14.52      ,74.40     ,66.55                ,72.99         ,94.95,0.67       ,4.94           ,4.51                      ,15.83     ,14.21      ,14.98     ,73.28                ,45.32                   ,95.41   ,13.07                  ,4.09           ,4.55                      ,23253.37  , 
BIP   ,+0.67      ,39.15     ,357453    ,25.94    ,10.06B    ,12             ,+0.76                     ,87.33     ,37.52     ,0.75 ,-2.78       ,84.13                  ,28.86             ,39.29                  ,36.79                  ,Electric Utilities                            ,NYSE    ,BROOKFIELD INFRS PTRS LP ,Electric Utilities                        ,1.74    ,38.78         ,39.14   ,300     ,417730       ,326439      ,85.57                   ,109.50                 ,No        ,38.89   ,39.25   ,39.15   ,48.75                 ,310787        ,325199     ,115.02                   ,109.92                ,No                ,Utilities             ,4.50          ,38.78     ,38.62   ,200     ,316076      ,65.04                     ,113.09                 ,15.94M         ,No                  ,NC ,--       ,--                 ,10.00          ,50.00                 ,30.00           ,--                     ,10.00           ,10                ,2.50              ,699.88M   ,--     ,699.88M ,259.45M           ,1.50    ,1.50      ,0.92      ,0.74        ,0.59      ,-0.28     ,0.41      ,9.00                        ,18.11   ,--                ,+0.37 ,+2.88                  ,+5.42                      ,+4.37                  ,+8.18                   ,+39.28               ,+139.09              ,+31.18               ,+1.06     ,38.94        ,38.96    ,-0.29                  ,35.29     ,26.07    ,15.87                   ,-5.03                        ,+0.95   ,+0.11,+5.45                  ,+0.04                 ,+2.18                  ,+12.70                   ,+17.25               ,+70.53               ,+15.91               ,+12.35            ,27              ,38.96     ,38.96   ,38.64       ,35.29   ,-12.55               ,0.10           ,+0.26    ,+0.28 ,+0.29                   ,+1.99                    ,+5.95                    ,+2.93                 ,+51.20               ,+85.85               ,+15.60               ,+2.68             ,38.96      ,38.96     ,36.93    ,33.20   ,0.63         ,85.00            ,-0.53         ,1.12              ,--                   ,25.94                    ,--              ,80.94        ,52.50                ,--       ,37.73     ,36.21     ,34.49      ,37.24     ,35.12      ,85.37                ,63.68     ,6.84                    ,97.22,39.10               ,2.70                      ,5.68           ,35.90     ,33.43      ,37.18     ,36.22     ,34.74      ,68.87     ,62.76                ,70.01         ,94.46,0.50       ,4.20           ,5.42                      ,36.79     ,34.61      ,35.97     ,67.48                ,38.76                   ,93.20   ,34.48                  ,3.15           ,4.34                      ,1322.16   , 
AMT   ,+0.67      ,121.00    ,1313569   ,60.80    ,51.43B    ,3              ,+0.38                     ,86.02     ,117.41    ,2.66 ,-3.89       ,71.79                  ,16.64             ,59.43                  ,116.25                 ,Equity Real Estate Investment Trusts (REITs)  ,NYSE    ,AMERICAN TOWER CORP      ,Specialized REITs                         ,2.48    ,120.39        ,120.99  ,300     ,2646803      ,2394765     ,49.63                   ,54.85                  ,Yes       ,120.19  ,121.33  ,121.00  ,94.97                 ,2241787       ,2125342    ,58.59                    ,61.81                 ,No                ,Real Estate           ,2.10          ,120.39    ,120.16  ,100     ,2306019     ,58.14                     ,56.96                  ,315.88M        ,No                  ,D  ,****     ,B+                 ,69.57          ,17.39                 ,13.04           ,--                     ,--              ,23                ,1.43              ,970.36M   ,--     ,970.36M ,427.2M            ,1.98    ,1.98      ,1.41      ,2.88        ,--        ,1.38      ,1.60      ,19.38                       ,16.53   ,1283.71           ,+0.61 ,+6.22                  ,+3.56                      ,+11.15                 ,+10.00                  ,+27.75               ,+109.75              ,+10.19               ,+0.70     ,120.72       ,120.72   ,-0.61                  ,112.78    ,99.72    ,28.21                   ,-3.47                        ,+0.51   ,-0.20,+14.27                 ,+0.02                 ,+4.66                  ,+10.21                   ,+13.92               ,+55.80               ,+12.86               ,+14.47            ,54              ,120.72    ,120.72  ,119.52      ,112.78  ,-20.44               ,0.33           ,+0.81    ,-0.17 ,+0.45                   ,+4.14                    ,+4.03                    ,+10.95                ,+21.31               ,+66.64               ,+2.29                ,+3.36             ,120.72     ,120.72    ,116.79   ,102.51  ,1.17         ,82.00            ,-0.84         ,2.61              ,--                   ,60.80                    ,--              ,226.77       ,41.78                ,--       ,118.18    ,110.58    ,109.10     ,116.43    ,110.55     ,84.61                ,63.08     ,4.23                    ,96.11,121.16              ,5.60                      ,15.33          ,109.63    ,110.81     ,116.80    ,112.59    ,110.18     ,70.39     ,62.51                ,78.33         ,96.25,2.37       ,17.51          ,14.00                     ,116.25    ,108.20     ,111.92    ,69.56                ,34.78                   ,95.26   ,111.35                 ,7.17           ,17.38                     ,5178.73   , 
BSAC  ,-0.20      ,25.46     ,369614    ,17.07    ,12.01B    ,6              ,+1.82                     ,85.80     ,24.21     ,0.75 ,-2.96       ,72.13                  ,41.51             ,41.89                  ,23.73                  ,Banks                                         ,NYSE    ,BANCO SANTANDER-CHILE    ,Diversified Banks                         ,1.08    ,25.45         ,25.45   ,300     ,483622       ,377112      ,76.43                   ,98.01                  ,No        ,25.51   ,25.55   ,25.48   ,32.16                 ,426993        ,443578     ,86.56                    ,83.33                 ,No                ,Financials            ,4.20          ,25.45     ,25.24   ,400     ,417849      ,72.02                     ,88.46                  ,11.93M         ,No                  ,-- ,--       ,--                 ,15.38          ,7.69                  ,61.54           ,7.69                   ,7.69            ,13                ,2.85              ,706.17M   ,3.76B  ,706.17M ,188.45B           ,1.49    ,1.49      ,1.41      ,--          ,1.79      ,1.38      ,1.12      ,5.27                        ,0.05    ,--                ,+0.01 ,+3.30                  ,+7.27                      ,+3.39                  ,+13.30                  ,+31.44               ,-6.36                ,+21.77               ,+0.86     ,25.45        ,25.45    ,-0.10                  ,22.11     ,17.83    ,27.87                   ,-5.57                        ,+0.04   ,+0.06,+3.34                  ,+0.06                 ,+2.01                  ,+15.39                   ,+16.37               ,+28.80               ,+1.48                ,+16.66            ,3               ,25.45     ,25.45   ,24.73       ,21.90   ,-7.41                ,0.09           ,-0.05    ,+0.24 ,+0.45                   ,+1.72                    ,+8.57                    ,+2.99                 ,+38.97               ,+3.11                ,+3.83                ,+1.32             ,25.45      ,25.45     ,23.68    ,21.21   ,0.31         ,87.00            ,-0.22         ,0.73              ,--                   ,17.07                    ,2.82            ,--           ,--                   ,1276.56  ,24.52     ,22.64     ,22.23      ,23.92     ,22.43      ,85.73                ,66.05     ,11.18                   ,97.04,25.54               ,3.47                      ,3.59           ,22.51     ,21.54      ,24.04     ,23.04     ,22.24      ,72.28     ,66.01                ,56.50         ,96.47,0.59       ,3.87           ,3.54                      ,23.73     ,22.40      ,22.88     ,72.23                ,40.22                   ,95.61   ,21.91                  ,2.81           ,3.81                      ,2400.18   , 
RH    ,+1.24      ,43.94     ,5671775   ,53.18    ,1.55B     ,101            ,-1.34                     ,84.27     ,36.44     ,2.57 ,-0.53       ,97.53                  ,44.67             ,41.74                  ,35.19                  ,Specialty Retail                              ,NYSE    ,RH                       ,Homefurnishing Retail                     ,--      ,38.00         ,43.94   ,200     ,2113416      ,2093441     ,268.37                  ,270.93                 ,No        ,43.40   ,44.00   ,43.96   ,91.18                 ,1955767       ,2194213    ,290.00                   ,258.49                ,No                ,Consumer Discretionary,--            ,38.00     ,41.57   ,300     ,2103198     ,174.32                    ,269.67                 ,78.73M         ,Yes                 ,D  ,--       ,--                 ,20.00          ,15.00                 ,60.00           ,--                     ,5.00            ,20                ,2.55              ,91.10M    ,2.11B  ,91.10M  ,40.8M             ,0.71    ,2.16      ,2.20      ,1.24        ,0.45      ,-1.36     ,--        ,21.00                       ,4.32    ,502.14            ,+5.94 ,+13.12                 ,+7.99                      ,+6.58                  ,+25.80                  ,-60.65               ,0.00                 ,-8.48                ,+1.61     ,38.20        ,38.20    ,2.87                   ,29.86     ,24.41    ,2.47                    ,-17.54                       ,+15.63  ,+5.40,+13.14                 ,+0.19                 ,+3.77                  ,+20.95                   ,+23.78               ,-41.44               ,-15.56               ,+3.36             ,19              ,38.20     ,38.20   ,36.33       ,29.86   ,-17.16               ,0.06           ,+0.54    ,+14.21,-0.52                   ,+2.81                    ,+11.03                   ,+7.79                 ,-0.54                ,+5.64                ,-9.75                ,+1.39             ,38.20      ,46.87     ,35.36    ,24.41   ,2.43         ,93.00            ,-2.37         ,2.29              ,--                   ,17.59                    ,2.17            ,78.24        ,30.61                ,0.74     ,37.31     ,30.58     ,31.32      ,35.48     ,31.99      ,71.80                ,62.84     ,10.46                   ,99.47,40.90               ,7.56                      ,13.24          ,30.43     ,31.23      ,36.23     ,32.65     ,32.25      ,69.40     ,57.52                ,64.25         ,91.94,2.06       ,16.92          ,7.65                      ,35.19     ,31.50      ,32.32     ,62.12                ,48.05                   ,88.71   ,29.48                  ,13.90          ,11.46                     ,13799.76  , 
ASPS  ,+1.71      ,35.72     ,352813    ,23.95    ,644.39M   ,27             ,+6.84                     ,84.01     ,30.05     ,1.84 ,-0.52       ,97.83                  ,23.52             ,29.40                  ,28.44                  ,Real Estate Management & Development          ,NASDAQ  ,ALTISOURCE PORTFOLIO SOLT,Real Estate Services                      ,--      ,34.97         ,35.66   ,200     ,646232       ,379183      ,54.60                   ,93.05                  ,No        ,35.12   ,35.76   ,35.75   ,50.99                 ,583171        ,419826     ,60.50                    ,84.04                 ,No                ,Real Estate           ,--            ,34.97     ,33.92   ,100     ,588949      ,40.12                     ,59.91                  ,20.73M         ,No                  ,D  ,--       ,--                 ,33.33          ,--                    ,--              ,33.33                  ,33.33           ,3                 ,3.33              ,31.39M    ,--     ,31.39M  ,18.43M            ,1.46    ,1.46      ,2.02      ,2.69        ,5.69      ,5.19      ,4.43      ,20.00                       ,2.88    ,119.35            ,+0.75 ,+11.18                 ,+22.98                     ,+7.07                  ,+28.30                  ,+120.06              ,-46.67               ,-13.96               ,+0.93     ,35.47        ,35.47    ,-0.28                  ,24.30     ,20.75    ,2.17                    ,-17.97                       ,+2.14   ,+0.15,+8.76                  ,+0.32                 ,+7.42                  ,+25.33                   ,+31.52               ,-72.71               ,-10.80               ,+56.16            ,23              ,35.47     ,35.47   ,33.76       ,21.81   ,-13.17               ,0.04           ,+0.60    ,+0.43 ,+2.24                   ,+6.53                    ,+26.94                   ,+7.71                 ,+32.26               ,-54.94               ,-26.24               ,+4.45             ,35.47      ,35.48     ,26.24    ,21.37   ,1.84         ,86.00            ,-1.80         ,1.03              ,--                   ,23.95                    ,--              ,751.84       ,13.00                ,--       ,30.26     ,27.46     ,27.51      ,29.35     ,27.76      ,82.76                ,61.42     ,11.08                   ,99.48,34.26               ,10.94                     ,9.12           ,27.40     ,28.15      ,29.30     ,27.96     ,27.79      ,67.38     ,60.59                ,59.30         ,94.08,0.91       ,7.21           ,8.23                      ,28.44     ,27.11      ,27.85     ,66.32                ,43.35                   ,93.67   ,22.61                  ,10.55          ,6.78                      ,1829.02   , 
SFM   ,+2.76      ,23.49     ,2589233   ,27.48    ,3.11B     ,1              ,-0.13                     ,83.68     ,21.49     ,1.17 ,-1.84       ,87.29                  ,17.64             ,38.12                  ,20.25                  ,Food & Staples Retailing                      ,NASDAQ  ,SPROUTS FARMERS MARKET   ,Food Retail                               ,--      ,22.81         ,23.49   ,1400    ,3596510      ,2925747     ,71.99                   ,88.50                  ,No        ,22.86   ,23.61   ,23.50   ,93.94                 ,4632555       ,3498016    ,55.89                    ,74.02                 ,Yes               ,Consumer Staples      ,--            ,22.81     ,22.70   ,700     ,4641761     ,134.05                    ,55.78                  ,81.65M         ,No                  ,F  ,***      ,--                 ,36.36          ,18.18                 ,45.45           ,--                     ,--              ,22                ,2.09              ,124.31M   ,4.05B  ,124.31M ,136.54M           ,0.83    ,0.83      ,0.83      ,0.88        ,0.70      ,0.37      ,0.16      ,12.49                       ,3.07    ,168.60            ,+0.68 ,+4.85                  ,+12.67                     ,+2.56                  ,+17.49                  ,-31.89               ,0.00                 ,-25.44               ,+0.56     ,22.86        ,23.50    ,5.77                   ,17.38     ,17.38    ,12.71                   ,-10.60                       ,+2.98   ,+0.05,+4.39                  ,+0.03                 ,+2.93                  ,+12.66                   ,+20.56               ,-37.17               ,-7.75                ,+16.62            ,74              ,23.50     ,23.50   ,22.45       ,17.38   ,-5.32                ,0.12           ,+0.63    ,+0.22 ,-0.03                   ,+2.56                    ,+14.74                   ,+3.40                 ,-22.14               ,0.00                 ,-18.06               ,+8.67             ,23.50      ,29.37     ,22.25    ,17.38   ,0.91         ,87.00            ,-0.79         ,1.18              ,--                   ,27.48                    ,29.84           ,55.34        ,25.82                ,0.77     ,22.41     ,19.46     ,20.25      ,21.05     ,20.21      ,80.21                ,60.50     ,9.65                    ,98.16,24.71               ,4.35                      ,4.58           ,19.48     ,21.01      ,21.00     ,20.10     ,20.38      ,67.48     ,58.73                ,58.48         ,90.10,0.81       ,4.83           ,3.52                      ,20.25     ,19.97      ,20.05     ,65.14                ,36.84                   ,87.15   ,15.78                  ,5.04           ,4.35                      ,14287.54  , 
