Symbol,% Chg(Open),Description              ,Last Trade,Volume    ,Prev Close,RSI 10 Day,EMA 15 Day,Exchange, 
OME   ,-19.40     ,OMEGA PROTEIN CORP       ,20.15     ,898159    ,26.25     ,19.46     ,24.89     ,NYSE    , 
ANIP  ,-7.58      ,ANI PHARMACEUTICALS INC  ,51.57     ,760921    ,59.80     ,21.63     ,59.85     ,NASDAQ  , 
TASR  ,-5.66      ,TASER INTERNATIONAL INC  ,22.86     ,3377741   ,24.34     ,21.32     ,25.51     ,NGM/NGS , 
PAAS  ,-5.36      ,PAN AMERICAN SILVER CORP ,16.59     ,2297561   ,17.98     ,23.00     ,18.72     ,NGM/NGS , 
GDXJ  ,-5.24      ,VANECK VECTORS JR GLD MIN,34.67     ,18049570  ,37.63     ,28.88     ,38.78     ,NYSE    , 
WLB   ,-4.86      ,WESTMORELAND COAL CO     ,14.28     ,194677    ,15.06     ,23.65     ,15.93     ,NASDAQ  , 
SIL   ,-4.66      ,GLOBAL X SILVER MINERS ET,34.66     ,304412    ,37.02     ,29.93     ,37.75     ,NYSE    , 
CORR  ,-4.54      ,CORENERGY INFRASTRUCTURE ,34.31     ,135588    ,35.95     ,28.84     ,35.71     ,NYSE    , 
FNV   ,-3.86      ,FRANCO-NEVADA CORP       ,61.56     ,666700    ,65.18     ,26.29     ,65.52     ,NYSE    , 
CNXC  ,-3.65      ,CNX COAL RESOURCES LP    ,15.85     ,124092    ,16.70     ,28.32     ,17.08     ,NYSE    , 
ITRI  ,-3.26      ,ITRON INC                ,58.87     ,287483    ,61.00     ,26.24     ,63.23     ,NGM/NGS , 
SND   ,-3.05      ,SMART SAND INC           ,17.64     ,381280    ,18.19     ,26.47     ,18.39     ,NASDAQ  , 
TDS   ,-2.96      ,TELEPHONE & DATA SYSTEMS ,26.59     ,721444    ,26.99     ,24.18     ,29.43     ,NYSE    , 
CYBE  ,-2.93      ,CYBEROPTICS CORP         ,27.38     ,260691    ,27.85     ,19.28     ,34.41     ,NCM     , 
PRAA  ,-2.86      ,PRA GROUP INC            ,34.83     ,519745    ,35.95     ,19.83     ,39.71     ,NGM/NGS , 
SGDM  ,-2.80      ,SPROTT GOLD MINERS ETF   ,19.44     ,109111    ,20.42     ,22.16     ,21.23     ,NYSE    , 
CVG   ,-2.75      ,CONVERGYS CORP           ,21.60     ,511746    ,22.25     ,25.40     ,23.38     ,NYSE    , 
RING  ,-2.73      ,ISHARES MSCI GBL GOLD MIN,18.15     ,198657    ,19.07     ,24.96     ,19.67     ,NYSE    , 
CODI  ,-2.71      ,COMPASS DIVERSIFIED HOLDI,16.15     ,357644    ,16.80     ,25.62     ,16.77     ,NYSE    , 
GDX   ,-2.62      ,VANECK VECTORS GOLD MNRS ,21.90     ,47173903  ,22.98     ,23.54     ,23.72     ,NYSE    , 
