Symbol,% Chg(Open),Last Trade,Change,High ,Low   ,Volume    ,Prev Close,Open ,% Change,Market Cap,Sector                    ,Exchange,P/E (ttm), 
GEF   ,-7.67      ,54.16     ,-6.15 ,59.90,52.10 ,917036    ,60.31     ,58.66,-10.20  ,3.17B     ,Materials                 ,NYSE    ,38.50    , 
BOFI  ,-6.96      ,30.02     ,-2.10 ,32.36,29.77 ,1313476   ,32.11     ,32.26,-6.52   ,2.03B     ,Financials                ,NCM     ,16.47    , 
IVPAF ,-6.79      ,3.06      ,-0.26 ,3.29 ,3.0002,201264    ,3.32      ,3.283,-7.83   ,2.60B     ,Materials                 ,OTC     ,3.66     , 
GEF/B ,-6.76      ,66.90     ,-6.55 ,71.75,65.75 ,11427     ,73.45     ,71.75,-8.92   ,3.17B     ,Materials                 ,NYSE    ,46.89    , 
CLF   ,-6.31      ,10.02     ,-0.86 ,10.83,9.92  ,17185642  ,10.87     ,10.69,-7.87   ,3.13B     ,Materials                 ,NYSE    ,12.49    , 
PAAS  ,-5.31      ,16.60     ,-1.38 ,17.77,16.53 ,2295278   ,17.98     ,17.53,-7.68   ,2.74B     ,Materials                 ,NGM/NGS ,27.34    , 
KROTY ,-4.98      ,4.39      ,-0.05 ,4.62 ,4.36  ,39036     ,4.44      ,4.62 ,-1.13   ,7.14B     ,Consumer Discretionary    ,OTC     ,20.20    , 
BBDO  ,-4.97      ,10.07     ,-0.19 ,10.60,10.07 ,4009      ,10.26     ,10.60,-1.82   ,59.96B    ,Financials                ,NYSE    ,13.16    , 
VALE  ,-4.95      ,9.99      ,-0.70 ,10.61,9.96  ,25108062  ,10.69     ,10.51,-6.55   ,55.09B    ,Materials                 ,NYSE    ,14.49    , 
CX    ,-4.93      ,8.67      ,-0.47 ,9.13 ,8.64  ,13434777  ,9.14      ,9.12 ,-5.14   ,12.63B    ,Materials                 ,NYSE    ,17.38    , 
BBSEY ,-4.89      ,9.14      ,-0.05 ,9.61 ,9.00  ,16792     ,9.19      ,9.61 ,-0.54   ,18.28B    ,Financials                ,OTC     ,16.03    , 
CMC   ,-4.70      ,20.26     ,-1.41 ,21.33,20.24 ,1904732   ,21.67     ,21.26,-6.51   ,2.50B     ,Materials                 ,NYSE    ,71.32    , 
IMASY ,-4.55      ,8.61      ,-0.14 ,9.02 ,8.61  ,1122      ,8.75      ,9.02 ,-1.60   ,3.89B     ,Telecommunication Services,OTC     ,14.84    , 
HL    ,-4.41      ,5.20      ,-0.40 ,5.52 ,5.18  ,6610813   ,5.60      ,5.44 ,-7.14   ,2.21B     ,Materials                 ,NYSE    ,31.36    , 
HBHC  ,-4.13      ,46.98     ,-2.12 ,49.00,46.98 ,378130    ,49.10     ,49.00,-4.33   ,4.14B     ,Financials                ,NGM/NGS ,26.26    , 
LTXB  ,-3.84      ,42.77     ,-1.42 ,44.94,42.73 ,84180     ,44.19     ,44.48,-3.21   ,2.12B     ,Financials                ,NASDAQ  ,21.14    , 
EWBC  ,-3.77      ,54.58     ,-1.95 ,56.97,54.55 ,541877    ,56.53     ,56.72,-3.45   ,8.15B     ,Financials                ,NGM/NGS ,19.03    , 
RF    ,-3.75      ,15.41     ,-0.50 ,16.03,15.40 ,12945349  ,15.91     ,16.01,-3.14   ,19.18B    ,Financials                ,NYSE    ,18.20    , 
TCBI  ,-3.73      ,89.10     ,-3.05 ,92.80,88.70 ,406867    ,92.15     ,92.55,-3.31   ,4.56B     ,Financials                ,NGM/NGS ,29.63    , 
TD    ,-3.66      ,51.59     ,-0.57 ,53.55,51.22 ,2179506   ,52.16     ,53.55,-1.09   ,97.06B    ,Financials                ,NYSE    ,11.17    , 
