Symbol,% Chg(Open),% Total Return (YTD3),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                    ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change ,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap    ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap ,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
IIVI  ,-2.20      ,+150.99              ,37.70     ,479346    ,35.36    ,2.41B     ,30             ,-0.16                     ,55.28     ,37.08     ,0.66 ,-29.07      ,16.67                  ,20.79             ,23.17                  ,36.07                  ,Electronic Equipment Instruments & Components ,NGM/NGS ,II-VI INC                ,Electronic Components                ,--      ,38.60         ,37.70 ,1100    ,1055579      ,523700      ,45.41                   ,91.53                  ,No        ,38.55 ,38.95 ,37.75 ,80.26                 ,881903        ,645737     ,54.35                    ,74.23                 ,No                ,Information Technology    ,--            ,38.60     ,37.45 ,600     ,853629      ,43.61                     ,56.15                  ,40.66M         ,Yes                 ,C  ,--       ,B                  ,66.67          ,33.33                 ,--              ,--                     ,--              ,3                 ,1.33              ,65.49M    ,827.22M,65.49M  ,62.56M            ,1.09    ,1.04      ,1.05      ,1.29        ,0.60      ,0.79      ,0.93      ,20.00                       ,7.92    ,92.66             ,-0.90  ,+1.60                  ,+7.02                      ,+7.38                  ,+9.48                   ,+107.65              ,+60.61               ,+74.68               ,+0.16     ,39.60        ,39.79    ,2.15                   ,32.60     ,17.76    ,83.33                   ,-3.89                        ,-2.33   ,-0.05  ,+7.75                  ,+0.02                 ,+2.64                  ,+23.65                   ,+30.19               ,+17.88               ,+8.84             ,5               ,39.79     ,41.10   ,37.85       ,32.60   ,-19.69               ,1.25           ,-0.85    ,-0.13 ,-0.06                   ,+2.53                    ,+7.33                    ,+3.34                 ,+82.25               ,+127.68              ,+68.00               ,+5.95             ,39.79      ,41.10     ,35.70    ,29.10  ,1.50         ,96.00            ,-0.25         ,1.52              ,--                   ,37.12                    ,5.64            ,27.60        ,29.92                ,2.92     ,37.33     ,36.51     ,32.06      ,36.84     ,33.22      ,61.73                ,57.45     ,18.71                   ,70.93,39.66               ,2.20                      ,8.20           ,35.39     ,27.66      ,36.23     ,35.65     ,32.33      ,56.20     ,59.20                ,19.64         ,83.91,0.28       ,1.35           ,8.95                      ,36.07     ,33.21      ,35.17     ,58.75                ,27.85                   ,90.97   ,32.47                  ,2.16           ,2.10                      ,3137.86   , 
SKX   ,-1.77      ,+148.95              ,27.73     ,1801963   ,18.18    ,3.82B     ,64             ,-0.89                     ,51.80     ,27.75     ,0.77 ,-58.51      ,21.21                  ,17.20             ,20.32                  ,27.15                  ,Textiles Apparel & Luxury Goods               ,NYSE    ,SKECHERS U S A INC       ,Footwear                             ,--      ,28.54         ,27.72 ,200     ,3184743      ,2751949     ,56.58                   ,65.48                  ,No        ,28.23 ,28.51 ,27.73 ,67.62                 ,2201455       ,2272900    ,81.85                    ,79.28                 ,Yes               ,Consumer Discretionary    ,--            ,28.54     ,27.52 ,600     ,2163384     ,26.72                     ,83.29                  ,91.63M         ,No                  ,C  ,*****    ,B                  ,54.55          ,--                    ,45.45           ,--                     ,--              ,11                ,1.91              ,285.36M   ,3.58B  ,285.36M ,133.77M           ,1.57    ,1.57      ,1.50      ,1.81        ,0.91      ,0.36      ,0.06      ,12.00                       ,6.81    ,518.43            ,-0.81  ,+1.73                  ,+5.12                      ,+4.26                  ,+10.35                  ,+19.15               ,+519.53              ,-17.65               ,+0.27     ,29.28        ,30.00    ,5.69                   ,25.16     ,18.81    ,78.79                   ,-0.22                        ,-2.84   ,-0.31  ,+2.73                  ,+0.01                 ,+1.61                  ,+17.55                   ,+16.11               ,+12.69               ,+19.47            ,14              ,30.00     ,30.00   ,27.67       ,25.16   ,-8.71                ,0.78           ,-0.50    ,-1.09 ,-0.26                   ,+1.39                    ,+5.96                    ,+2.68                 ,-4.47                ,+315.00              ,+5.59                ,+12.87            ,30.00      ,34.20     ,27.32    ,22.30  ,0.99         ,90.00            ,-0.21         ,0.78              ,--                   ,18.18                    ,2.76            ,3.98         ,15.75                ,1.07     ,28.11     ,26.03     ,24.51      ,27.47     ,25.69      ,59.28                ,54.19     ,21.95                   ,41.49,29.68               ,2.80                      ,2.84           ,25.91     ,25.05      ,27.67     ,26.41     ,25.64      ,55.04     ,56.02                ,10.80         ,69.24,0.67       ,3.44           ,3.96                      ,27.15     ,25.12      ,26.18     ,58.04                ,27.27                   ,83.64   ,24.62                  ,1.87           ,3.42                      ,5997.48   , 
SAIC  ,-9.01      ,+146.94              ,73.70     ,1532763   ,28.50    ,3.78B     ,206            ,+3.37                     ,16.93     ,84.89     ,-1.05,-93.85      ,11.26                  ,-1.09             ,19.11                  ,86.11                  ,IT Services                                   ,NYSE    ,SCIENCE APPLICATIONS INTL,IT Consulting & Other Services       ,1.24    ,86.25         ,73.70 ,100     ,263969       ,302252      ,580.66                  ,507.11                 ,No        ,81.00 ,81.50 ,73.80 ,70.71                 ,244849        ,267614     ,626.00                   ,572.75                ,Yes               ,Information Technology    ,1.40          ,86.25     ,72.71 ,200     ,254576      ,484.93                    ,602.08                 ,22.68M         ,No                  ,C  ,--       ,--                 ,57.14          ,--                    ,42.86           ,--                     ,--              ,7                 ,1.86              ,117.00M   ,4.32B  ,117.00M ,43.88M            ,3.03    ,2.47      ,2.91      ,3.35        ,2.27      ,3.66      ,3.66      ,5.00                        ,2.71    ,287.67            ,-12.55 ,-14.37                 ,+0.16                      ,+6.11                  ,+1.06                   ,+63.42               ,0.00                 ,+61.51               ,+1.61     ,86.71        ,89.63    ,8.37                   ,84.23     ,46.20    ,88.74                   ,16.38                        ,-14.55  ,-5.25  ,-11.26                 ,-0.15                 ,-0.73                  ,+7.63                    ,+2.08                ,+5.71                ,+37.38            ,2               ,87.61     ,89.87   ,85.16       ,84.23   ,-26.51               ,7.80           ,-7.30    ,-6.09 ,+2.81                   ,+0.14                    ,-0.84                    ,+0.90                 ,+85.77               ,0.00                 ,+37.41               ,+6.52             ,89.14      ,89.87     ,84.23    ,80.04  ,8.79         ,44.00            ,-0.99         ,1.22              ,--                   ,34.92                    ,--              ,266.58       ,25.76                ,0.88     ,85.06     ,85.25     ,81.27      ,85.30     ,82.06      ,48.00                ,41.67     ,52.34                   ,6.15 ,92.02               ,-2.91                     ,-10.38         ,85.18     ,73.76      ,85.77     ,85.11     ,80.61      ,34.04     ,55.03                ,63.46         ,25.72,-0.04      ,-7.09          ,1.45                      ,86.11     ,83.84      ,84.65     ,52.55                ,11.70                   ,29.73   ,80.20                  ,-15.15         ,4.83                      ,-55.24    , 
AAOI  ,-4.35      ,+113.17              ,55.54     ,2195761   ,32.97    ,1.08B     ,228            ,+1.07                     ,59.60     ,53.20     ,4.11 ,-34.21      ,43.06                  ,20.76             ,56.58                  ,52.53                  ,Communications Equipment                      ,NASDAQ  ,APPLIED OPTOELECTRONICS I,Communications Equipment             ,--      ,58.02         ,55.55 ,100     ,2092759      ,727322      ,104.92                  ,301.90                 ,No        ,58.07 ,58.54 ,55.61 ,66.09                 ,1630769       ,1123262    ,134.65                   ,195.48                ,No                ,Information Technology    ,--            ,58.02     ,53.28 ,300     ,1593082     ,194.44                    ,137.83                 ,119.89M        ,No                  ,C  ,--       ,--                 ,50.00          ,33.33                 ,16.67           ,--                     ,--              ,6                 ,1.67              ,31.23M    ,260.71M,31.23M  ,18.68M            ,1.76    ,1.76      ,0.65      ,3.39        ,0.28      ,-0.14     ,-3.56     ,17.50                       ,11.98   ,93.92             ,-2.48  ,+9.12                  ,+10.45                     ,+27.82                 ,+49.12                  ,+290.77              ,0.00                 ,+335.26              ,+2.81     ,59.41        ,60.19    ,1.65                   ,46.61     ,8.08     ,56.94                   ,-5.66                        ,-4.27   ,+0.05  ,+31.83                 ,+0.08                 ,+6.34                  ,+92.14                   ,+147.53              ,+85.39               ,+15.90            ,8               ,60.19     ,60.19   ,57.50       ,45.60   ,-45.20               ,2.99           ,-2.53    ,+0.09 ,+0.62                   ,+5.49                    ,+12.26                   ,+19.11                ,+248.45              ,0.00                 ,+172.52              ,+10.48            ,60.19      ,60.19     ,50.91    ,21.88  ,5.26         ,100.00           ,-2.26         ,1.42              ,--                   ,32.97                    ,4.80            ,15.38        ,17.12                ,4.16     ,54.05     ,42.22     ,31.34      ,51.72     ,36.50      ,67.82                ,65.42     ,15.27                   ,65.79,59.46               ,11.17                     ,32.44          ,39.45     ,24.81      ,52.40     ,44.10     ,34.45      ,64.81     ,68.11                ,30.28         ,79.27,4.03       ,24.61          ,34.58                     ,52.53     ,33.46      ,42.18     ,68.50                ,28.54                   ,86.83   ,45.60                  ,6.31           ,27.26                     ,4915.16   , 
MNST  ,-1.53      ,+107.42              ,46.39     ,991226    ,39.69    ,26.76B    ,77             ,+0.73                     ,49.23     ,46.60     ,0.58 ,-70.00      ,--                     ,2.91              ,30.58                  ,46.88                  ,Beverages                                     ,NGM/NGS ,MONSTER BEVERAGE CORP    ,Soft Drinks                          ,--      ,47.23         ,46.36 ,300     ,1626145      ,2851339     ,60.94                   ,34.76                  ,Yes       ,47.09 ,47.24 ,46.40 ,74.36                 ,2945381       ,2712514    ,33.65                    ,36.54                 ,No                ,Consumer Staples          ,--            ,47.23     ,46.37 ,600     ,3281368     ,49.48                     ,30.20                  ,76.31M         ,No                  ,D  ,****     ,B+                 ,36.84          ,31.58                 ,26.32           ,5.26                   ,--              ,19                ,2.00              ,712.68M   ,3.05B  ,712.68M ,566.62M           ,1.19    ,1.19      ,0.95      ,1.48        ,0.92      ,0.65      ,0.62      ,19.50                       ,23.37   ,1338.63           ,-0.86  ,+4.96                  ,+0.74                      ,+1.74                  ,+5.82                   ,+1.53                ,+132.66              ,-17.12               ,+0.69     ,47.27        ,48.94    ,8.26                   ,45.95     ,40.30    ,100.00                  ,0.87                         ,-1.82   ,-0.14  ,+1.72                  ,0.00                  ,+0.77                  ,+3.83                    ,+6.52                ,-7.40                ,+17.51            ,5               ,47.29     ,48.94   ,46.62       ,41.02   ,-6.07                ,0.87           ,-0.72    ,-0.30 ,+0.34                   ,+0.35                    ,+1.66                    ,+2.60                 ,+7.29                ,+190.35              ,-19.22               ,+14.66            ,48.94      ,55.50     ,46.42    ,41.02  ,0.87         ,53.00            ,0.00          ,1.70              ,--                   ,39.69                    ,27.72           ,--           ,31.88                ,8.78     ,46.81     ,44.68     ,45.12      ,46.39     ,45.57      ,60.93                ,51.59     ,14.30                   ,30.00,47.66               ,5.22                      ,0.83           ,44.65     ,47.78      ,46.77     ,45.50     ,45.74      ,53.21     ,53.36                ,27.02         ,59.21,0.70       ,4.55           ,2.89                      ,46.88     ,44.45      ,45.41     ,56.37                ,24.89                   ,59.75   ,46.10                  ,-1.00          ,4.63                      ,779.84    , 
OGS   ,-1.34      ,+105.00              ,67.53     ,118614    ,25.88    ,3.59B     ,34             ,+0.78                     ,59.15     ,66.94     ,0.91 ,-28.31      ,5.56                   ,39.86             ,21.36                  ,66.15                  ,Gas Utilities                                 ,NYSE    ,ONE GAS INC              ,Gas Utilities                        ,1.68    ,68.59         ,67.45 ,200     ,236138       ,229540      ,50.23                   ,51.67                  ,No        ,68.45 ,68.72 ,67.52 ,75.91                 ,210461        ,223965     ,56.36                    ,52.96                 ,Yes               ,Utilities                 ,2.40          ,68.59     ,67.46 ,100     ,217364      ,44.35                     ,54.57                  ,16.05M         ,No                  ,B  ,***      ,--                 ,--             ,--                    ,80.00           ,--                     ,20.00           ,10                ,3.40              ,140.10M   ,1.43B  ,140.10M ,52.28M            ,2.65    ,2.65      ,2.24      ,2.96        ,2.07      ,1.90      ,1.84      ,5.75                        ,9.82    ,419.77            ,-1.06  ,+2.52                  ,+3.69                      ,+5.86                  ,+5.95                   ,+67.39               ,0.00                 ,+13.79               ,+0.08     ,68.79        ,68.79    ,0.07                   ,63.60     ,55.98    ,94.44                   ,-1.35                        ,-1.55   ,-0.14  ,+3.42                  ,0.00                  ,+2.52                  ,+9.34                    ,+7.94                ,+9.94                ,+7.51             ,1               ,68.79     ,68.79   ,67.71       ,63.60   ,-11.48               ,1.19           ,-0.92    ,-0.20 ,+0.53                   ,+2.44                    ,+3.82                    ,+3.85                 ,+15.58               ,0.00                 ,+8.39                ,+2.93             ,68.79      ,68.79     ,66.67    ,61.42  ,1.26         ,63.00            ,-0.07         ,1.11              ,--                   ,25.88                    ,2.08            ,63.15        ,23.16                ,2.51     ,67.33     ,65.10     ,62.85      ,66.61     ,64.13      ,74.16                ,55.84     ,12.44                   ,71.69,69.06               ,2.19                      ,3.82           ,64.80     ,62.98      ,66.62     ,65.34     ,63.76      ,57.57     ,57.91                ,28.82         ,88.45,0.71       ,4.45           ,4.63                      ,66.15     ,63.51      ,65.04     ,61.44                ,22.52                   ,93.25   ,63.24                  ,1.52           ,3.97                      ,1233.55   , 
ATO   ,-1.24      ,+88.18               ,78.98     ,196742    ,22.38    ,8.41B     ,32             ,-0.12                     ,48.40     ,79.36     ,0.79 ,-51.30      ,5.71                   ,30.10             ,12.97                  ,78.97                  ,Gas Utilities                                 ,NYSE    ,ATMOS ENERGY CORP        ,Gas Utilities                        ,1.80    ,79.85         ,78.97 ,200     ,311885       ,436484      ,63.08                   ,45.07                  ,No        ,79.97 ,79.97 ,79.00 ,73.45                 ,395708        ,395384     ,49.72                    ,49.76                 ,Yes               ,Utilities                 ,2.30          ,79.84     ,78.92 ,100     ,402572      ,56.64                     ,48.87                  ,24.96M         ,No                  ,B  ,***      ,A-                 ,38.46          ,7.69                  ,38.46           ,15.38                  ,--              ,13                ,2.31              ,350.10M   ,3.35B  ,350.10M ,105.28M           ,3.57    ,3.38      ,3.09      ,3.55        ,2.96      ,2.64      ,2.37      ,7.00                        ,10.45   ,705.70            ,-0.86  ,+1.59                  ,+1.11                      ,+5.34                  ,+4.15                   ,+52.68               ,+202.86              ,+9.29                ,+0.35     ,80.23        ,80.56    ,2.00                   ,76.17     ,68.51    ,94.29                   ,0.61                         ,-1.08   ,+0.13  ,+4.64                  ,-0.01                 ,+0.93                  ,+7.17                    ,+8.31                ,+10.72               ,+10.68            ,0               ,80.56     ,80.56   ,79.73       ,76.09   ,-10.41               ,0.99           ,-0.99    ,+0.16 ,-0.09                   ,+0.87                    ,+1.18                    ,+3.18                 ,+13.34               ,+114.79              ,+7.51                ,+3.70             ,80.56      ,81.97     ,79.20    ,72.54  ,1.05         ,71.00            ,-0.06         ,0.96              ,--                   ,23.65                    ,3.06            ,68.52        ,22.48                ,2.51     ,79.82     ,77.21     ,74.52      ,79.07     ,76.17      ,58.09                ,54.99     ,21.92                   ,48.70,81.35               ,1.22                      ,4.43           ,76.73     ,75.40      ,79.46     ,77.56     ,75.82      ,55.60     ,56.70                ,6.92          ,75.73,0.87       ,4.42           ,5.69                      ,78.97     ,75.12      ,77.18     ,58.70                ,19.08                   ,86.86   ,76.58                  ,0.14           ,3.66                      ,1730.25   , 
LDOS  ,-1.56      ,+85.15               ,51.28     ,453177    ,22.23    ,7.85B     ,45             ,+0.62                     ,35.39     ,52.57     ,-0.11,-94.37      ,2.20                   ,13.85             ,22.18                  ,53.01                  ,IT Services                                   ,NYSE    ,LEIDOS HOLDINGS INC      ,IT Consulting & Other Services       ,1.28    ,52.23         ,51.28 ,300     ,731319       ,1207396     ,61.97                   ,37.53                  ,No        ,52.09 ,52.12 ,51.29 ,77.64                 ,776682        ,845432     ,58.35                    ,53.60                 ,Yes               ,Information Technology    ,2.50          ,52.23     ,51.26 ,300     ,812650      ,46.04                     ,55.77                  ,38.13M         ,No                  ,F  ,****     ,B-                 ,60.00          ,10.00                 ,30.00           ,--                     ,--              ,10                ,1.70              ,246.00M   ,7.04B  ,246.00M ,150.35M           ,2.35    ,2.35      ,3.56      ,3.28        ,1.94      ,6.19      ,0.68      ,8.50                        ,3.46    ,220.09            ,-0.95  ,-2.57                  ,-1.48                      ,+3.56                  ,+1.38                   ,+65.73               ,+146.41              ,+49.16               ,+1.76     ,52.32        ,54.97    ,2.85                   ,51.06     ,37.79    ,97.80                   ,3.32                         ,-1.82   ,-0.14  ,0.00                   ,-0.03                 ,-0.98                  ,+7.31                    ,+2.74                ,+4.75                ,+11.71            ,2               ,53.10     ,54.97   ,51.61       ,51.06   ,-13.47               ,0.84           ,-0.81    ,-0.27 ,+0.32                   ,-0.78                    ,-1.84                    ,+0.71                 ,+49.55               ,+147.52              ,+33.42               ,+3.94             ,54.97      ,54.97     ,51.06    ,47.81  ,0.86         ,54.00            ,-0.02         ,0.95              ,--                   ,22.23                    ,--              ,102.48       ,15.92                ,1.11     ,52.57     ,51.78     ,49.31      ,52.62     ,50.60      ,43.51                ,51.42     ,24.49                   ,5.63 ,54.74               ,-2.46                     ,0.33           ,51.52     ,47.79      ,52.98     ,51.98     ,50.20      ,48.41     ,53.58                ,17.73         ,17.31,0.23       ,2.97           ,1.09                      ,53.01     ,50.81      ,51.69     ,51.89                ,17.11                   ,17.39   ,51.29                  ,-2.26          ,3.91                      ,1441.15   , 
ORLY  ,-1.17      ,+85.11               ,271.93    ,516814    ,25.61    ,25.18B    ,54             ,+1.17                     ,51.47     ,271.59    ,0.53 ,-54.35      ,28.57                  ,8.20              ,10.69                  ,271.54                 ,Specialty Retail                              ,NGM/NGS ,O'REILLY AUTOMOTIVE INC  ,Automotive Retail                    ,--      ,274.78        ,271.85,100     ,660842       ,864036      ,78.21                   ,59.81                  ,Yes       ,275.15,275.23,271.97,94.76                 ,823852        ,916383     ,62.73                    ,56.40                 ,No                ,Consumer Discretionary    ,--            ,274.77    ,270.61,400     ,855897      ,51.13                     ,60.38                  ,179.47M        ,No                  ,F  ,***      ,A-                 ,64.29          ,10.71                 ,17.86           ,7.14                   ,--              ,28                ,1.68              ,1.04B     ,8.59B  ,1.04B   ,91.65M            ,10.73   ,10.73     ,9.17      ,12.37       ,7.34      ,6.03      ,4.75      ,14.68                       ,12.08   ,115.22            ,-2.84  ,-1.31                  ,+1.19                      ,+1.71                  ,+1.42                   ,+26.69               ,+201.82              ,+2.75                ,+0.68     ,275.52       ,276.74   ,17.61                  ,267.04    ,248.02   ,71.43                   ,0.05                         ,-1.03   ,+0.38  ,-8.07                  ,0.00                  ,+3.23                  ,+0.63                    ,-1.30                ,-1.02                ,+57.84            ,1               ,275.52    ,283.96  ,271.29      ,267.04  ,-22.59               ,3.30           ,-3.22    ,+0.14 ,+3.18                   ,+3.24                    ,+1.19                    ,+3.85                 ,-1.09                ,+163.18              ,-2.94                ,+14.95            ,276.74     ,292.84    ,267.89   ,253.54 ,4.62         ,23.00            ,-1.32         ,1.10              ,--                   ,25.61                    ,30.73           ,115.97       ,22.21                ,2.93     ,271.86    ,268.75    ,272.38     ,271.37    ,272.06     ,60.25                ,49.95     ,18.54                   ,45.65,275.33              ,3.25                      ,-8.89          ,270.77    ,274.81     ,272.05    ,271.23    ,272.16     ,50.44     ,51.27                ,8.56          ,47.95,0.55       ,17.58          ,-3.64                     ,271.54    ,272.33     ,271.41    ,52.81                ,22.01                   ,40.89   ,267.74                 ,-0.05          ,12.50                     ,928.45    , 
VMC   ,-1.80      ,+75.93               ,118.35    ,1606589   ,38.26    ,15.67B    ,168            ,+2.51                     ,55.26     ,116.53    ,-1.53,-25.73      ,31.33                  ,3.39              ,24.34                  ,117.01                 ,Construction Materials                        ,NYSE    ,VULCAN MATERIALS CO      ,Construction Materials               ,1.00    ,118.16        ,118.31,100     ,1697011      ,1436457     ,94.67                   ,111.84                 ,Yes       ,120.51,121.60,118.38,89.08                 ,1499147       ,1489348    ,107.17                   ,107.87                ,No                ,Materials                 ,0.80          ,118.16    ,116.86,500     ,1554779     ,79.11                     ,103.33                 ,194.63M        ,No                  ,D  ,*****    ,B-                 ,46.15          ,15.38                 ,38.46           ,--                     ,--              ,13                ,1.92              ,419.49M   ,3.59B  ,419.49M ,132.64M           ,3.09    ,3.09      ,1.63      ,4.01        ,1.54      ,0.19      ,-0.41     ,30.71                       ,11.68   ,476.92            ,+0.18  ,-4.82                  ,+0.98                      ,-2.90                  ,-3.47                   ,+34.04               ,+160.03              ,+3.86                ,+1.15     ,118.78       ,125.30   ,16.58                  ,108.95    ,104.33   ,68.67                   ,-1.75                        ,+0.16   ,+2.35  ,-7.70                  ,+0.03                 ,+0.52                  ,-2.39                    ,-5.39                ,-3.81                ,+9.29             ,31              ,118.78    ,136.82  ,114.92      ,108.95  ,-12.53               ,3.26           ,-2.16    ,+1.99 ,+2.89                   ,+1.15                    ,+0.44                    ,-4.25                 ,+8.01                ,+123.06              ,+6.31                ,+5.00             ,124.27     ,138.18    ,108.95   ,108.95 ,4.74         ,13.00            ,-1.49         ,1.64              ,--                   ,38.26                    ,22.07           ,43.36        ,29.47                ,4.36     ,115.27    ,121.83    ,122.02     ,117.09    ,120.79     ,54.68                ,48.35     ,27.16                   ,74.27,121.84              ,-6.22                     ,-6.30          ,122.30    ,120.12     ,116.28    ,119.86    ,120.55     ,47.78     ,48.23                ,1.10          ,68.55,-1.92      ,-9.98          ,-6.99                     ,117.01    ,124.24     ,120.33    ,47.57                ,26.57                   ,51.46   ,112.19                 ,-2.98          ,-10.17                    ,741.65    , 
