Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                    ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap    ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap ,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
SAIC  ,-9.35      ,73.43     ,1537053   ,28.50    ,3.78B     ,206            ,+3.38                     ,16.87     ,84.88     ,-1.06,-94.23      ,8.19                   ,-1.56             ,19.11                  ,86.11                  ,IT Services                                   ,NYSE    ,SCIENCE APPLICATIONS INTL,IT Consulting & Other Services       ,1.24    ,86.25         ,73.43 ,100     ,263969       ,302252      ,582.29                  ,508.53                 ,No        ,81.00 ,81.50 ,73.73 ,70.71                 ,244849        ,267614     ,627.76                   ,574.35                ,Yes               ,Information Technology    ,1.40          ,86.25     ,72.71 ,100     ,254576      ,486.29                    ,603.77                 ,22.68M         ,No                  ,C  ,--       ,--                 ,57.14          ,--                    ,42.86           ,--                     ,--              ,7                 ,1.86              ,117.00M   ,4.32B  ,117.00M ,43.88M            ,3.03    ,2.47      ,2.91      ,3.35        ,2.27      ,3.66      ,3.66      ,5.00                        ,2.71    ,287.67            ,-12.82,-14.64                 ,+0.17                      ,+6.11                  ,+1.06                   ,+63.42               ,0.00                 ,+61.51               ,+1.61     ,86.71        ,89.63    ,8.37                   ,84.23     ,46.20    ,91.81                   ,16.80                        ,-14.86  ,-5.25  ,-11.53                 ,-0.16                 ,-0.73                  ,+7.63                    ,+2.08                ,+146.94              ,+5.71                ,+37.38            ,2               ,87.61     ,89.87   ,85.16       ,84.23   ,-26.51               ,8.07           ,-7.57    ,-6.09 ,+2.82                   ,+0.14                    ,-0.84                    ,+0.90                 ,+85.77               ,0.00                 ,+37.41               ,+6.52             ,89.14      ,89.87     ,84.23    ,80.04  ,8.79         ,44.00            ,-0.72         ,1.22              ,--                   ,34.92                    ,--              ,266.58       ,25.76                ,0.88     ,85.06     ,85.25     ,81.27      ,85.30     ,82.06      ,48.00                ,41.63     ,52.34                   ,5.77 ,92.04               ,-2.91                     ,-10.44         ,85.18     ,73.76      ,85.77     ,85.10     ,80.61      ,33.98     ,55.03                ,63.46         ,25.60,-0.04      ,-7.15          ,1.45                      ,86.11     ,83.84      ,84.64     ,52.55                ,11.70                   ,29.69   ,80.17                  ,-15.21         ,4.83                      ,-78.99    , 
HIMX  ,-6.05      ,8.70      ,7172738   ,31.46    ,1.54B     ,87             ,+0.52                     ,56.30     ,8.66      ,0.66 ,-48.51      ,15.94                  ,1.75              ,58.00                  ,8.35                   ,Semiconductors & Semiconductor Equipment      ,NGM/NGS ,HIMAX TECHNOLOGIES INC   ,Semiconductors                       ,0.13    ,9.28          ,8.69  ,1500    ,4441013      ,4205504     ,161.51                  ,170.56                 ,No        ,9.26  ,9.28  ,8.70  ,25.70                 ,4596727       ,4697015    ,156.04                   ,152.71                ,No                ,Information Technology    ,1.40          ,9.27      ,8.59  ,5700    ,4523781     ,140.17                    ,158.56                 ,41.30M         ,No                  ,-- ,--       ,--                 ,30.00          ,30.00                 ,40.00           ,--                     ,--              ,10                ,2.10              ,48.75M    ,802.92M,48.75M  ,165.66M           ,0.30    ,0.30      ,0.14      ,0.24        ,0.38      ,0.36      ,0.30      ,25.00                       ,6.34    ,382.34            ,-0.57 ,+1.69                  ,+11.05                     ,+1.9693                ,+38.36                  ,+42.61               ,+409.92              ,-29.79               ,+0.96     ,9.49         ,9.68     ,2.72                   ,7.01      ,4.88     ,84.06                   ,-0.18                        ,-6.15   ,-0.01  ,+2.52                  ,-0.04                 ,+1.1182                ,+26.97                   ,+53.64               ,-23.92               ,-8.01                ,+10.76            ,2               ,9.68      ,9.68    ,8.97        ,6.73    ,-3.71                ,0.58           ,-0.56    ,-0.11 ,+0.048                  ,+0.9225                  ,+13.72                   ,+2.5702               ,-7.85                ,+152.39              ,-36.16               ,+6.09             ,9.68       ,12.00     ,8.92     ,4.88   ,0.69         ,99.00            ,-0.11         ,1.35              ,--                   ,31.46                    ,3.66            ,--           ,39.49                ,1.91     ,9.04      ,6.89      ,7.10       ,8.42      ,7.37       ,77.71                ,57.97     ,19.19                   ,51.49,9.89                ,2.11                      ,2.48           ,6.74      ,7.98       ,8.68      ,7.54      ,7.43       ,62.29     ,62.13                ,25.21         ,73.29,0.66       ,3.42           ,3.23                      ,8.35      ,6.86       ,7.43      ,69.78                ,32.12                   ,82.45   ,6.80                   ,1.55           ,4.10                      ,1258.13   , 
AAOI  ,-4.23      ,55.61     ,2196308   ,32.97    ,1.08B     ,228            ,+1.05                     ,59.80     ,53.20     ,4.12 ,-33.72      ,44.34                  ,20.99             ,56.58                  ,52.53                  ,Communications Equipment                      ,NASDAQ  ,APPLIED OPTOELECTRONICS I,Communications Equipment             ,--      ,58.02         ,55.60 ,100     ,2092759      ,727322      ,104.95                  ,301.97                 ,No        ,58.07 ,58.54 ,55.63 ,66.09                 ,1630769       ,1123262    ,134.68                   ,195.53                ,No                ,Information Technology    ,--            ,58.02     ,53.28 ,300     ,1593082     ,194.49                    ,137.87                 ,119.89M        ,No                  ,C  ,--       ,--                 ,50.00          ,33.33                 ,16.67           ,--                     ,--              ,6                 ,1.67              ,31.23M    ,260.71M,31.23M  ,18.68M            ,1.76    ,1.76      ,0.65      ,3.39        ,0.28      ,-0.14     ,-3.56     ,17.50                       ,11.98   ,93.92             ,-2.41 ,+9.19                  ,+10.45                     ,+27.82                 ,+49.12                  ,+290.77              ,0.00                 ,+335.26              ,+2.81     ,59.41        ,60.19    ,1.65                   ,46.61     ,8.08     ,55.66                   ,-5.76                        ,-4.15   ,+0.05  ,+31.90                 ,+0.08                 ,+6.34                  ,+92.14                   ,+147.53              ,+113.17              ,+85.39               ,+15.90            ,8               ,60.19     ,60.19   ,57.50       ,45.60   ,-45.20               ,2.93           ,-2.46    ,+0.09 ,+0.60                   ,+5.49                    ,+12.26                   ,+19.11                ,+248.45              ,0.00                 ,+172.52              ,+10.48            ,60.19      ,60.19     ,50.91    ,21.88  ,5.26         ,100.00           ,-2.33         ,1.42              ,--                   ,32.97                    ,4.80            ,15.38        ,17.12                ,4.16     ,54.06     ,42.22     ,31.34      ,51.72     ,36.50      ,67.82                ,65.49     ,15.27                   ,66.28,59.46               ,11.17                     ,32.51          ,39.45     ,24.81      ,52.41     ,44.10     ,34.45      ,64.91     ,68.11                ,30.28         ,79.43,4.03       ,24.68          ,34.58                     ,52.53     ,33.46      ,42.18     ,68.50                ,28.54                   ,86.89   ,45.60                  ,6.38           ,27.26                     ,4971.15   , 
AKAM  ,-4.13      ,60.56     ,4376782   ,35.44    ,10.99B    ,212            ,+1.03                     ,26.23     ,63.32     ,-0.58,-99.80      ,0.28                   ,-24.08            ,16.42                  ,63.65                  ,Internet Software & Services                  ,NGM/NGS ,AKAMAI TECHNOLOGIES INC  ,Internet Software & Services         ,--      ,63.44         ,60.56 ,200     ,1638650      ,2035267     ,267.10                  ,215.05                 ,Yes       ,63.17 ,64.07 ,60.57 ,92.77                 ,1514791       ,1896310    ,288.94                   ,230.81                ,No                ,Information Technology    ,--            ,63.44     ,60.55 ,200     ,1512187     ,211.61                    ,289.43                 ,103.79M        ,No                  ,C  ,****     ,B+                 ,50.00          ,8.33                  ,33.33           ,8.33                   ,--              ,24                ,2.00              ,316.13M   ,2.34B  ,316.13M ,173.19M           ,1.79    ,1.79      ,1.78      ,2.79        ,1.84      ,1.61      ,1.12      ,13.77                       ,13.51   ,360.56            ,-2.88 ,-2.26                  ,-0.33                      ,-0.47                  ,-3.72                   ,-12.37               ,+73.76               ,+14.69               ,+0.83     ,63.70        ,65.65    ,7.57                   ,62.51     ,47.80    ,99.72                   ,5.19                         ,-4.54   ,-0.27  ,-6.71                  ,-0.05                 ,-0.30                  ,-0.73                    ,-4.86                ,+6.80                ,-6.15                ,+9.96             ,49              ,64.42     ,71.64   ,63.08       ,62.31   ,-12.75               ,3.51           ,-2.61    ,-0.43 ,+0.65                   ,-0.21                    ,-0.47                    ,-2.45                 ,+16.03               ,+82.95               ,+14.03               ,+7.39             ,65.65      ,71.64     ,62.51    ,61.54  ,3.52         ,19.00            ,-0.01         ,1.52              ,--                   ,35.44                    ,5.96            ,19.85        ,22.77                ,4.70     ,63.41     ,64.98     ,65.06      ,63.52     ,64.01      ,45.36                ,44.50     ,34.45                   ,0.20 ,65.52               ,0.06                      ,-7.00          ,65.77     ,60.50      ,63.71     ,64.43     ,63.57      ,39.17     ,48.87                ,37.92         ,17.79,-0.42      ,-8.14          ,-3.24                     ,63.65     ,66.02      ,64.51     ,46.23                ,15.51                   ,21.45   ,61.79                  ,-3.23          ,-5.15                     ,-5917.49  , 
WOR   ,-3.87      ,45.50     ,1269868   ,16.25    ,3.22B     ,93             ,+3.44                     ,28.45     ,49.57     ,-0.18,-96.13      ,9.40                   ,-5.97             ,14.80                  ,49.80                  ,Metals & Mining                               ,NYSE    ,WORTHINGTON INDUSTRIES   ,Steel                                ,0.80    ,50.63         ,45.48 ,1400    ,380249       ,605424      ,333.96                  ,209.75                 ,No        ,47.33 ,48.39 ,45.52 ,59.77                 ,453526        ,513941     ,280.00                   ,247.08                ,Yes               ,Materials                 ,1.60          ,50.63     ,45.20 ,300     ,452569      ,217.21                    ,280.59                 ,18.99M         ,No                  ,C  ,***      ,B+                 ,--             ,--                    ,75.00           ,--                     ,25.00           ,4                 ,3.50              ,157.63M   ,2.82B  ,157.63M ,63.67M            ,3.12    ,2.22      ,1.12      ,3.21        ,2.11      ,1.91      ,1.65      ,3.00                        ,5.10    ,281.97            ,-5.13 ,-4.65                  ,+1.67                      ,+0.44                  ,+3.52                   ,+78.64               ,+204.09              ,+33.07               ,+1.38     ,50.71        ,52.95    ,14.05                  ,47.70     ,34.21    ,90.60                   ,10.13                        ,-10.13  ,-3.30  ,-2.87                  ,-0.09                 ,+0.63                  ,+0.87                    ,+7.15                ,+27.70               ,-12.53               ,+26.95            ,24              ,51.17     ,52.95   ,49.72       ,47.70   ,-10.99               ,2.89           ,-1.83    ,-6.52 ,+1.69                   ,+0.83                    ,+1.26                    ,+1.72                 ,+40.11               ,+78.46               ,+15.33               ,+10.49            ,52.95      ,62.44     ,47.70    ,45.71  ,3.19         ,34.00            ,-0.30         ,0.70              ,--                   ,22.81                    ,6.91            ,63.09        ,15.75                ,1.14     ,49.90     ,49.20     ,50.65      ,49.63     ,49.30      ,54.96                ,44.79     ,39.42                   ,3.87 ,52.78               ,-0.37                     ,-1.59          ,48.88     ,47.54      ,50.11     ,49.67     ,48.91      ,40.78     ,51.91                ,40.34         ,35.89,0.19       ,-2.34          ,3.19                      ,49.80     ,51.26      ,49.67     ,52.22                ,16.76                   ,37.79   ,46.82                  ,-3.92          ,2.84                      ,-467.50   , 
PAGP  ,-3.82      ,31.01     ,981980    ,33.98    ,4.84B     ,84             ,+1.95                     ,42.93     ,31.46     ,-0.31,-71.12      ,4.32                   ,-0.33             ,11.64                  ,31.61                  ,Oil Gas & Consumable Fuels                    ,NYSE    ,PLAINS GP HOLDINGS LP    ,Oil & Gas Storage & Transportation   ,2.20    ,31.94         ,31.00 ,400     ,1742664      ,1213431     ,56.35                   ,80.93                  ,No        ,32.24 ,32.34 ,31.01 ,51.31                 ,1597673       ,1506152    ,61.46                    ,65.20                 ,No                ,Energy                    ,6.90          ,31.94     ,30.95 ,500     ,1691675     ,59.57                     ,58.05                  ,54.73M         ,No                  ,NC ,--       ,--                 ,36.36          ,9.09                  ,54.55           ,--                     ,--              ,22                ,2.18              ,660.00M   ,20.18B ,660.00M ,151.6M            ,0.94    ,0.94      ,1.41      ,2.42        ,1.25      ,0.24      ,--        ,2.00                        ,0.47    ,--                ,-0.93 ,-2.17                  ,+1.04                      ,-1.48                  ,-1.87                   ,-51.79               ,0.00                 ,+38.85               ,+1.52     ,32.22        ,33.65    ,4.25                   ,30.38     ,20.66    ,95.68                   ,1.11                         ,-2.91   ,+0.30  ,-4.14                  ,-0.01                 ,+0.11                  ,-4.42                    ,-6.34                ,-52.24               ,-4.93                ,+37.73            ,1               ,32.22     ,35.58   ,31.50       ,30.38   ,-10.29               ,1.33           ,-1.23    ,+0.94 ,+0.61                   ,+0.33                    ,+0.35                    ,-0.61                 ,+54.82               ,0.00                 ,+12.07               ,+2.63             ,33.56      ,36.59     ,30.47    ,30.38  ,1.39         ,11.00            ,-0.06         ,1.46              ,--                   ,33.98                    ,--              ,94.52        ,13.22                ,0.24     ,31.23     ,32.23     ,33.37      ,31.57     ,32.43      ,54.98                ,46.87     ,25.99                   ,28.88,33.05               ,-1.35                     ,-3.99          ,32.48     ,32.02      ,31.35     ,32.17     ,32.37      ,45.00     ,48.83                ,1.78          ,63.51,-0.35      ,-1.71          ,-2.74                     ,31.61     ,33.08      ,32.30     ,48.41                ,25.08                   ,54.69   ,30.17                  ,-1.85          ,-0.51                     ,-63.34    , 
SXC   ,-3.44      ,8.97      ,327477    ,42.09    ,595.47M   ,42             ,+3.21                     ,48.36     ,9.02      ,-0.18,-60.34      ,15.00                  ,10.25             ,17.32                  ,8.98                   ,Metals & Mining                               ,NYSE    ,SUNCOKE ENERGY INC       ,Steel                                ,--      ,9.26          ,8.97  ,1100    ,1242814      ,919763      ,26.35                   ,35.60                  ,No        ,9.29  ,9.31  ,8.98  ,80.20                 ,1220810       ,971794     ,26.82                    ,33.70                 ,No                ,Materials                 ,--            ,9.26      ,8.91  ,500     ,1213992     ,56.64                     ,26.98                  ,11.05M         ,Yes                 ,B  ,--       ,--                 ,50.00          ,--                    ,50.00           ,--                     ,--              ,2                 ,2.00              ,59.50M    ,1.22B  ,59.50M  ,64.31M            ,0.22    ,0.22      ,-0.34     ,0.17        ,-1.83     ,0.36      ,1.40      ,8.00                        ,1.18    ,1041.99           ,-0.29 ,-0.97                  ,+3.08                      ,-0.7702                ,-5.65                   ,-46.30               ,-35.43               ,+61.16               ,+1.27     ,9.34         ,10.40    ,3.83                   ,8.03      ,5.14     ,85.00                   ,-0.41                        ,-3.13   ,+0.03  ,-2.44                  ,-0.01                 ,+0.1505                ,-7.68                    ,-18.34               ,-60.95               ,-14.62               ,+19.80            ,1               ,9.34      ,11.88   ,9.04        ,8.03    ,-3.77                ,0.34           ,-0.32    ,+0.32 ,+0.288                  ,+0.277                   ,+1.65                    ,-0.5548               ,+40.89               ,-44.24               ,+49.54               ,+2.72             ,10.40      ,13.14     ,8.22     ,8.03   ,0.40         ,3.00             ,-0.06         ,1.81              ,--                   ,42.09                    ,10.78           ,132.71       ,54.47                ,0.49     ,8.87      ,9.45      ,10.30      ,9.09      ,9.64       ,52.80                ,47.50     ,23.56                   ,39.66,9.95                ,-0.83                     ,-2.33          ,9.78      ,8.92       ,8.93      ,9.52      ,9.56       ,46.33     ,48.52                ,4.29          ,46.27,-0.23      ,0.06           ,-2.08                     ,8.98      ,10.56      ,9.60      ,47.90                ,21.63                   ,42.43   ,8.02                   ,-0.91          ,0.44                      ,2035.09   , 
SWIR  ,-3.41      ,26.23     ,552582    ,56.77    ,875.97M   ,34             ,-1.54                     ,37.03     ,27.79     ,0.66 ,-93.88      ,6.54                   ,-3.81             ,37.05                  ,28.14                  ,Communications Equipment                      ,NCM     ,SIERRA WIRELESS INC      ,Communications Equipment             ,--      ,27.25         ,26.15 ,3300    ,667721       ,346240      ,82.76                   ,159.60                 ,No        ,27.15 ,27.30 ,26.25 ,26.99                 ,478837        ,506780     ,115.40                   ,109.04                ,No                ,Information Technology    ,--            ,27.25     ,26.15 ,2000    ,507114      ,202.92                    ,108.97                 ,19.11M         ,No                  ,NC ,--       ,B                  ,16.67          ,16.67                 ,50.00           ,--                     ,16.67           ,12                ,2.83              ,15.38M    ,615.61M,15.38M  ,32.15M            ,0.48    ,0.48      ,-0.08     ,0.83        ,-0.53     ,1.79      ,0.88      ,19.17                       ,2.50    ,529.78            ,-1.02 ,-2.67                  ,-3.16                      ,+8.75                  ,+18.82                  ,-14.66               ,+326.11              ,+42.89               ,+2.20     ,27.81        ,30.60    ,3.30                   ,25.94     ,12.30    ,93.46                   ,6.63                         ,-3.76   ,-0.10  ,+10.33                 ,-0.13                 ,-1.06                  ,+47.31                   ,+73.57               ,+31.42               ,+84.04               ,+4.27             ,5               ,30.60     ,30.60   ,27.25       ,25.94   ,-13.85               ,1.07           ,-0.92    ,-0.37 ,-0.43                   ,-0.89                    ,-3.76                    ,+4.32                 ,+120.16              ,+178.35              ,+101.50              ,+2.74             ,30.60      ,30.60     ,25.94    ,15.65  ,1.15         ,100.00           ,-0.08         ,2.44              ,--                   ,56.77                    ,6.60            ,--           ,32.87                ,1.42     ,28.09     ,24.46     ,19.04      ,27.59     ,21.87      ,44.55                ,59.79     ,30.70                   ,6.12 ,29.83               ,-1.75                     ,10.43          ,23.11     ,17.67      ,27.97     ,25.00     ,21.11      ,56.59     ,62.65                ,11.95         ,22.57,1.16       ,8.38           ,11.55                     ,28.14     ,20.15      ,24.20     ,60.65                ,24.15                   ,34.92   ,26.45                  ,-2.87          ,9.70                      ,-254.16   , 
SFM   ,-3.31      ,22.82     ,1921980   ,28.34    ,3.21B     ,77             ,+2.91                     ,69.96     ,21.66     ,1.16 ,-14.38      ,2.30                   ,18.78             ,39.61                  ,20.47                  ,Food & Staples Retailing                      ,NASDAQ  ,SPROUTS FARMERS MARKET   ,Food Retail                          ,--      ,23.52         ,22.81 ,1200    ,3685967      ,2935765     ,52.14                   ,65.47                  ,No        ,23.60 ,23.67 ,22.82 ,93.94                 ,4697659       ,3506008    ,40.91                    ,54.82                 ,Yes               ,Consumer Staples          ,--            ,23.52     ,22.80 ,2300    ,4574899     ,48.32                     ,42.01                  ,84.28M         ,No                  ,F  ,***      ,--                 ,36.36          ,18.18                 ,45.45           ,--                     ,--              ,22                ,2.09              ,124.31M   ,4.05B  ,124.31M ,136.54M           ,0.83    ,0.83      ,0.83      ,0.88        ,0.70      ,0.37      ,0.16      ,12.49                       ,3.07    ,168.60            ,-0.70 ,+4.18                  ,+14.92                     ,+3.25                  ,+20.72                  ,-31.89               ,0.00                 ,-25.44               ,+0.56     ,23.60        ,23.60    ,5.70                   ,17.38     ,17.38    ,97.70                   ,-6.49                        ,-2.98   ,+0.08  ,+3.72                  ,0.00                  ,+3.44                  ,+16.04                   ,+24.31               ,-37.17               ,-7.75                ,+16.62            ,4               ,23.60     ,23.60   ,22.70       ,17.38   ,-5.42                ,0.85           ,-0.78    ,+0.34 ,+0.67                   ,+3.05                    ,+17.11                   ,+4.04                 ,-22.14               ,0.00                 ,-18.06               ,+8.67             ,23.60      ,29.37     ,22.25    ,17.38  ,0.87         ,87.00            ,-0.02         ,1.22              ,--                   ,28.34                    ,30.77           ,55.34        ,26.63                ,0.79     ,22.61     ,19.52     ,20.27      ,21.22     ,20.26      ,83.78                ,57.97     ,8.93                    ,85.62,24.99               ,5.06                      ,3.34           ,19.54     ,21.01      ,21.34     ,20.20     ,20.42      ,63.09     ,60.56                ,59.02         ,90.84,0.88       ,4.35           ,4.60                      ,20.47     ,19.99      ,20.14     ,67.56                ,34.66                   ,88.94   ,15.94                  ,4.41           ,4.85                      ,14791.91  , 
SID   ,-3.30      ,2.93      ,2000848   ,11.37    ,4.29B     ,27             ,0.00                      ,31.32     ,3.26      ,-0.18,-95.36      ,20.00                  ,3.05              ,28.01                  ,3.35                   ,Metals & Mining                               ,NYSE    ,COMPANHIA SIDERURGICA NAC,Steel                                ,--      ,3.09          ,2.92  ,23300   ,1960757      ,2459891     ,102.04                  ,81.34                  ,No        ,3.03  ,3.07  ,2.93  ,11.91                 ,2469606       ,2274270    ,81.02                    ,87.98                 ,No                ,Materials                 ,--            ,3.09      ,2.895 ,15400   ,2429061     ,102.21                    ,82.37                  ,6.12M          ,No                  ,-- ,--       ,--                 ,--             ,--                    ,20.00           ,60.00                  ,20.00           ,5                 ,4.00              ,484.21M   ,4.59B  ,484.21M ,1.39B             ,0.27    ,0.36      ,-0.02     ,--          ,0.10      ,-0.09     ,0.76      ,-9.06                       ,3.16    ,--                ,-0.16 ,-0.97                  ,-7.66                      ,-0.3092                ,-15.50                  ,+70.11               ,-59.10               ,+110.00              ,+2.32     ,3.11         ,3.93     ,1.17                   ,2.98      ,1.73     ,80.00                   ,12.22                        ,-5.18   ,-0.06  ,-0.46                  ,-0.05                 ,-0.335                 ,-9.10                    ,-4.33                ,-20.02               ,+7.08                ,+21.28            ,4               ,3.23      ,4.23    ,3.03        ,2.98    ,-1.165               ,0.14           ,-0.10    ,-1.94 ,0.00                    ,-0.2565                  ,-9.78                    ,-0.5667               ,+46.26               ,-16.15               ,+43.73               ,+2.54             ,3.87       ,4.24      ,2.98     ,2.98   ,0.175        ,53.00            ,-0.035        ,0.49              ,--                   ,8.65                     ,7.54            ,370.98       ,--                   ,0.93     ,3.19      ,3.64      ,3.46       ,3.33      ,3.44       ,36.44                ,45.34     ,30.75                   ,4.64 ,3.80                ,-0.80                     ,-0.61          ,3.65      ,3.22       ,3.29      ,3.49      ,3.39       ,41.59     ,46.67                ,51.59         ,12.49,-0.14      ,-0.80          ,-0.14                     ,3.35      ,3.51       ,3.49      ,43.61                ,9.82                    ,18.41   ,2.89                   ,-0.75          ,-0.55                     ,995.35    , 
