Symbol,% Chg(Open),Last Trade,Volume   ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
SFBS  ,+3.43      ,36.53     ,114914   ,23.18    ,1.86B     ,0              ,-1.37                     ,36.94     ,37.37     ,-1.33,-64.66      ,92.72                  ,-37.22            ,33.83                  ,38.52                  ,Banks                                         ,NASDAQ  ,SERVISFIRST BANCSHARES IN,Regional Banks                       ,0.20    ,35.23         ,36.52 ,100     ,278519       ,231483      ,41.26                   ,49.64                  ,No        ,35.32 ,36.63 ,36.54 ,40.83                 ,330128        ,222511     ,34.81                    ,51.64                 ,No                ,Financials            ,0.60          ,35.22     ,35.32 ,400     ,331259      ,61.79                     ,34.69                  ,9.90M          ,Yes                 ,D  ,--       ,--                 ,--             ,--                    ,100.00          ,--                     ,--              ,2                 ,3.00              ,81.48M    ,228.50M,81.48M  ,52.76M            ,1.52    ,1.52      ,1.20      ,1.67        ,1.05      ,0.95      ,0.83      ,--                          ,43.04   ,450.70            ,+1.31 ,-5.57                  ,-8.57                      ,+0.47                  ,-10.45                  ,+124.10              ,0.00                 ,+60.45               ,+1.39     ,35.72        ,42.54    ,6.04                   ,34.06     ,20.45    ,7.28                    ,3.22                         ,+3.72   ,+0.10,-1.48                  ,+0.02                 ,-3.81                  ,+1.35                    ,-5.90                ,0.00                 ,+13.05               ,+16.78            ,36              ,36.54     ,42.66   ,35.06       ,34.06   ,-14.87               ,0.10           ,+1.21    ,+0.28,-0.49                   ,-3.30                    ,-9.76                    ,-4.11                 ,+81.99               ,0.00                 ,+59.05               ,+1.42             ,42.30      ,42.66     ,34.06    ,34.06  ,1.31         ,22.00            ,-1.21         ,1.00              ,--                   ,23.18                    ,3.66            ,--           ,21.16                ,8.13     ,36.50     ,39.65     ,35.73      ,37.89     ,36.78      ,16.70                ,49.37     ,33.88                   ,35.34,43.07               ,-6.78                     ,-1.08          ,39.31     ,31.60      ,37.71     ,38.55     ,35.95      ,43.67     ,46.39                ,40.41         ,25.23,-0.98      ,-3.56          ,-2.22                     ,38.52     ,37.56      ,38.31     ,38.18                ,14.38                   ,20.51   ,33.98                  ,-4.59          ,-4.82                     ,-1992.21  , 
PTHN  ,+1.08      ,26.15     ,316055   ,42.18    ,3.77B     ,4              ,-0.40                     ,21.80     ,27.44     ,-1.26,-69.89      ,82.14                  ,46.11             ,47.12                  ,28.63                  ,Life Sciences Tools & Services                ,NYSE    ,PATHEON NV               ,Life Sciences Tools & Services       ,--      ,25.97         ,26.11 ,200     ,525472       ,417287      ,60.15                   ,75.74                  ,No        ,25.87 ,26.25 ,26.16 ,24.12                 ,776456        ,468345     ,40.70                    ,67.48                 ,No                ,Health Care           ,--            ,25.97     ,25.69 ,100     ,754200      ,58.94                     ,41.91                  ,13.73M         ,No                  ,C  ,--       ,--                 ,36.36          ,36.36                 ,27.27           ,--                     ,--              ,11                ,1.91              ,31.70M    ,1.87B  ,31.70M  ,145.14M           ,0.62    ,0.26      ,1.20      ,1.14        ,-1.03     ,-0.26     ,-0.83     ,19.75                       ,1.70    ,205.13            ,+0.18 ,-5.55                  ,-9.29                      ,-2.58                  ,-11.47                  ,0.00                 ,0.00                 ,0.00                 ,0.00      ,26.26        ,32.35    ,6.70                   ,23.72     ,23.72    ,17.86                   ,5.95                         ,+0.69   ,-0.10,-2.85                  ,-0.01                 ,-3.18                  ,-9.04                    ,-9.54                ,0.00                 ,+15.13               ,-14.03            ,19              ,27.10     ,32.95   ,25.35       ,23.72   ,-1.97                ,0.10           ,+0.28    ,-0.39,-0.10                   ,-2.66                    ,-10.90                   ,-3.36                 ,0.00                 ,0.00                 ,+12.54               ,0.00              ,32.33      ,32.95     ,25.35    ,23.72  ,0.56         ,17.00            ,-0.46         ,1.81              ,--                   ,101.82                   ,--              ,-602.61      ,22.85                ,2.02     ,26.37     ,29.43     ,28.41      ,27.93     ,--         ,17.36                ,--        ,36.55                   ,30.11,33.45               ,-5.78                     ,-3.19          ,29.28     ,--         ,27.71     ,--        ,--         ,--        ,50.00                ,57.91         ,28.58,-0.95      ,-3.09          ,-2.74                     ,28.63     ,28.62      ,--        ,50.00                ,9.74                    ,28.76   ,23.81                  ,-5.37          ,-2.72                     ,6522.47   , 
FDS   ,-0.02      ,164.22    ,245599   ,19.46    ,6.50B     ,9              ,-2.68                     ,18.35     ,173.21    ,-2.54,-88.68      ,63.08                  ,-11.94            ,21.51                  ,175.64                 ,Capital Markets                               ,NYSE    ,FACTSET RESEARCH SYSTEMS ,Financial Exchanges & Data           ,2.00    ,164.36        ,164.19,100     ,546535       ,327468      ,44.94                   ,75.00                  ,No        ,164.25,164.87,164.25,96.33                 ,307378        ,248420     ,79.90                    ,98.86                 ,Yes               ,Financials            ,1.20          ,164.36    ,163.11,100     ,301812      ,35.99                     ,81.37                  ,91.70M         ,No                  ,F  ,***      ,A+                 ,--             ,5.56                  ,66.67           ,22.22                  ,5.56            ,18                ,3.28              ,338.82M   ,--     ,338.82M ,39.57M            ,8.45    ,8.19      ,5.71      ,7.27        ,4.92      ,4.45      ,4.12      ,10.66                       ,30.06   ,134.58            ,-0.14 ,-15.46                 ,-6.42                      ,-3.04                  ,-6.18                   ,+14.87               ,+90.44               ,+12.81               ,+0.77     ,164.98       ,182.56   ,18.77                  ,161.88    ,145.48   ,36.92                   ,6.62                         ,-0.09   ,-0.11,-0.84                  ,-0.08                 ,-12.30                 ,-1.82                    ,+0.84                ,+69.26               ,+11.37               ,+65.51            ,1               ,179.33    ,183.64  ,161.88      ,161.88  ,-17.63               ,0.65           ,-0.03    ,-0.07,-4.53                   ,-11.28                   ,-6.96                    ,-10.83                ,+19.89               ,+104.20              ,+0.51                ,+33.47            ,182.56     ,183.64    ,161.88   ,161.88 ,1.76         ,73.00            ,-1.11         ,0.84              ,--                   ,20.07                    ,--              ,57.98        ,22.59                ,--       ,173.57    ,176.24    ,167.40     ,174.21    ,171.77     ,18.50                ,44.32     ,41.87                   ,11.32,185.50              ,-16.49                    ,-0.92          ,175.17    ,168.20     ,175.09    ,174.46    ,170.87     ,38.00     ,44.41                ,51.09         ,9.00 ,-0.73      ,-8.68          ,0.93                      ,175.64    ,169.93     ,173.91    ,38.12                ,13.55                   ,10.15   ,165.78                 ,-15.02         ,-8.69                     ,-580.57   , 
AEL   ,+2.24      ,23.74     ,627238   ,23.90    ,2.05B     ,1              ,-1.40                     ,33.97     ,24.39     ,-0.66,-65.63      ,88.71                  ,-15.93            ,28.82                  ,25.03                  ,Insurance                                     ,NYSE    ,AMERICAN EQTY INVT LIFE H,Life & Health Insurance              ,0.24    ,23.18         ,23.74 ,100     ,547595       ,619033      ,114.54                  ,101.33                 ,No        ,23.22 ,23.81 ,23.75 ,96.53                 ,530023        ,553177     ,118.34                   ,113.39                ,No                ,Financials            ,1.00          ,23.18     ,23.19 ,200     ,522605      ,109.20                    ,120.02                 ,12.86M         ,Yes                 ,A  ,--       ,B+                 ,28.57          ,28.57                 ,42.86           ,--                     ,--              ,7                 ,2.14              ,83.24M    ,2.22B  ,83.24M  ,88.28M            ,0.97    ,0.97      ,2.72      ,2.40        ,1.58      ,3.38      ,0.89      ,7.80                        ,3.75    ,4190.12           ,+0.56 ,-3.89                  ,-7.37                      ,+1.13                  ,-6.81                   ,-17.50               ,+95.23               ,+67.85               ,+2.40     ,23.66        ,27.87    ,4.19                   ,22.41     ,12.77    ,11.29                   ,3.43                         ,+2.42   ,+0.04,+2.00                  ,0.00                  ,-2.20                  ,+5.10                    ,+2.84                ,-2.92                ,+31.25               ,+3.93             ,32              ,24.11     ,28.00   ,23.15       ,22.41   ,-10.42               ,0.07           ,+0.52    ,+0.17,-0.33                   ,-1.85                    ,-8.66                    ,-1.69                 ,+52.02               ,+65.21               ,+54.42               ,+0.16             ,27.84      ,28.00     ,22.41    ,21.66  ,0.62         ,56.00            ,-0.55         ,1.03              ,--                   ,23.90                    ,0.90            ,32.19        ,9.64                 ,0.92     ,23.95     ,25.29     ,22.53      ,24.65     ,23.41      ,18.91                ,50.89     ,35.17                   ,34.37,27.51               ,-4.49                     ,1.28           ,24.90     ,20.06      ,24.56     ,24.71     ,22.92      ,46.07     ,49.25                ,40.09         ,26.61,-0.42      ,-0.21          ,0.64                      ,25.03     ,23.48      ,24.48     ,42.90                ,15.04                   ,23.69   ,22.54                  ,-3.24          ,-0.42                     ,-1343.63  , 
AM    ,+0.43      ,33.00     ,127964   ,26.21    ,6.05B     ,15             ,-1.07                     ,32.70     ,33.70     ,-0.43,-71.43      ,80.88                  ,-9.98             ,28.45                  ,34.22                  ,Oil Gas & Consumable Fuels                    ,NYSE    ,ANTERO MIDSTREAM PARTNERS,Oil & Gas Storage & Transportation   ,1.12    ,32.58         ,32.98 ,100     ,395420       ,430897      ,32.36                   ,29.70                  ,No        ,32.86 ,33.13 ,33.00 ,40.82                 ,394903        ,451238     ,32.40                    ,28.36                 ,No                ,Energy                ,3.40          ,32.58     ,32.45 ,100     ,398986      ,19.16                     ,32.07                  ,13.00M         ,No                  ,NC ,--       ,--                 ,69.23          ,30.77                 ,--              ,--                     ,--              ,13                ,1.31              ,236.70M   ,586.35M,236.70M ,185.79M           ,1.24    ,1.24      ,0.74      ,1.54        ,0.05      ,--        ,--        ,24.00                       ,37.48   ,--                ,+0.42 ,-1.83                  ,-4.79                      ,+1.56                  ,-4.53                   ,+50.12               ,0.00                 ,+43.33               ,+1.95     ,32.63        ,35.40    ,2.61                   ,32.04     ,20.52    ,19.12                   ,3.01                         ,+1.29   ,+0.28,+1.78                  ,-0.02                 ,-1.77                  ,+5.04                    ,+6.38                ,0.00                 ,+22.78               ,+20.61            ,9               ,33.97     ,35.74   ,32.04       ,32.04   ,-11.93               ,0.13           ,+0.14    ,+0.86,-0.35                   ,-1.64                    ,-5.14                    ,-1.55                 ,+60.00               ,0.00                 ,+26.69               ,+10.93            ,35.40      ,35.74     ,32.04    ,30.45  ,0.68         ,75.00            ,-0.55         ,1.13              ,--                   ,26.21                    ,4.80            ,69.50        ,21.10                ,10.32    ,33.52     ,34.41     ,31.53      ,33.88     ,32.38      ,20.47                ,51.80     ,30.57                   ,28.57,35.93               ,-2.36                     ,2.43           ,34.17     ,29.50      ,33.99     ,33.73     ,31.85      ,47.15     ,50.57                ,39.03         ,16.96,-0.20      ,-0.79          ,1.70                      ,34.22     ,32.11      ,33.48     ,44.63                ,13.40                   ,10.57   ,32.51                  ,-2.04          ,-0.94                     ,-537.59   , 
BSBR  ,+1.30      ,8.935     ,2284933  ,15.70    ,33.22B    ,4              ,-5.48                     ,27.74     ,9.74      ,-0.39,-85.68      ,91.18                  ,-43.18            ,29.73                  ,10.06                  ,Banks                                         ,NYSE    ,BANCO SANTANDER BRASIL  -,Diversified Banks                    ,0.43    ,8.74          ,8.93  ,3600    ,4857768      ,1479758     ,47.04                   ,154.41                 ,No        ,8.82  ,8.95  ,8.94  ,0.62                  ,2297301       ,1698020    ,99.46                    ,134.56                ,No                ,Financials            ,4.90          ,8.74      ,8.78  ,3700    ,2237622     ,32.57                     ,102.11                 ,44.16M         ,No                  ,-- ,--       ,--                 ,--             ,--                    ,--              ,66.67                  ,33.33           ,6                 ,4.33              ,2.13B     ,27.27B ,2.13B   ,7.56B             ,0.56    ,0.56      ,0.74      ,--          ,0.43      ,0.43      ,0.41      ,2.73                        ,5.89    ,--                ,+0.195,-2.235                 ,-13.13                     ,-0.1129                ,-14.65                  ,+153.00              ,+53.04               ,+139.81              ,+1.47     ,9.02         ,11.28    ,2.80                   ,8.67      ,4.41     ,8.82                    ,10.24                        ,+2.23   ,+0.08,-0.335                 ,-0.09                 ,-1.5018                ,-1.28                    ,+2.48                ,+130.05              ,+38.48               ,+8.49             ,19              ,9.97      ,11.75   ,8.67        ,8.67    ,-4.37                ,0.015          ,+0.115   ,+0.92,-0.507                  ,-1.3213                  ,-14.66                   ,-1.5007               ,+126.53              ,+92.29               ,+63.20               ,+1.12             ,11.28      ,11.75     ,8.67     ,8.67   ,0.17         ,91.00            ,-0.155        ,0.67              ,--                   ,15.70                    ,1.99            ,--           ,--                   ,2.42     ,9.64      ,10.38     ,9.08       ,9.90      ,9.41       ,21.16                ,47.44     ,36.78                   ,14.32,11.31               ,-2.40                     ,-0.37          ,10.23     ,7.97       ,9.85      ,10.00     ,9.15       ,41.92     ,46.37                ,55.17         ,6.04 ,-0.23      ,-1.21          ,-0.15                     ,10.06     ,9.37       ,9.91      ,40.06                ,10.63                   ,6.17    ,8.81                   ,-2.00          ,-1.17                     ,-16466.22 , 
SJM   ,-0.90      ,131.32    ,588229   ,23.08    ,15.44B    ,71             ,0.00                      ,17.55     ,134.98    ,-1.63,-97.76      ,11.30                  ,-16.49            ,24.32                  ,136.73                 ,Food Products                                 ,NYSE    ,SMUCKER (JM) CO          ,Packaged Foods & Meats               ,3.00    ,132.59        ,131.32,200     ,1471313      ,1002464     ,39.98                   ,58.68                  ,Yes       ,132.51,132.89,131.36,78.26                 ,1317122       ,1286738    ,44.66                    ,45.71                 ,No                ,Consumer Staples      ,2.30          ,132.59    ,131.12,100     ,1339555     ,58.79                     ,43.91                  ,195.61M        ,No                  ,C  ,***      ,A                  ,14.29          ,4.76                  ,71.43           ,9.52                   ,--              ,21                ,2.76              ,688.70M   ,7.81B  ,688.70M ,116.44M           ,5.74    ,5.76      ,3.33      ,7.65        ,5.42      ,--        ,4.06      ,6.39                        ,8.82    ,1130.42           ,-1.27 ,-9.96                  ,-3.03                      ,-0.39                  ,-2.56                   ,+23.43               ,+86.48               ,+11.51               ,+0.59     ,133.47       ,143.44   ,24.42                  ,132.22    ,122.05   ,88.70                   ,3.40                         ,-0.96   ,-0.08,+2.81                  ,-0.01                 ,-4.98                  ,-0.29                    ,+4.10                ,+48.02               ,+13.14               ,+9.24             ,3               ,134.13    ,143.68  ,132.59      ,132.22  ,-9.07                ,1.57           ,-1.19    ,-0.06,-0.01                   ,-4.14                    ,-3.62                    ,-3.48                 ,+5.58                ,+50.90               ,+1.07                ,+4.19             ,141.53     ,157.31    ,132.22   ,127.00 ,1.77         ,52.00            ,-0.20         ,0.99              ,--                   ,23.02                    ,--              ,73.43        ,17.33                ,1.98     ,134.14    ,137.32    ,132.72     ,135.63    ,135.29     ,21.31                ,45.48     ,35.09                   ,2.24 ,142.91              ,-8.10                     ,2.35           ,136.11    ,138.07     ,135.79    ,136.00    ,135.17     ,40.75     ,46.81                ,42.99         ,5.94 ,-0.86      ,-4.18          ,4.53                      ,136.73    ,132.94     ,135.79    ,42.92                ,13.99                   ,7.34    ,130.55                 ,-9.62          ,-3.26                     ,-3036.77  , 
INTU  ,-1.11      ,116.25    ,1052378  ,31.65    ,30.15B    ,106            ,-0.15                     ,17.32     ,120.47    ,-1.12,-99.89      ,0.65                   ,-13.19            ,27.90                  ,122.57                 ,Software                                      ,NGM/NGS ,INTUIT INC               ,Application Software                 ,1.36    ,117.88        ,116.24,300     ,2495247      ,1337236     ,42.18                   ,78.70                  ,Yes       ,117.55,117.79,116.26,87.59                 ,1741978       ,1428472    ,60.41                    ,73.67                 ,No                ,Information Technology,1.20          ,117.88    ,116.24,200     ,1785240     ,24.50                     ,58.95                  ,295.71M        ,No                  ,C  ,***      ,B+                 ,22.22          ,11.11                 ,50.00           ,11.11                  ,5.56            ,18                ,2.67              ,979.00M   ,4.69B  ,979.00M ,255.79M           ,3.72    ,3.69      ,1.28      ,4.34        ,3.13      ,2.83      ,2.60      ,15.47                       ,20.86   ,594.18            ,-1.63 ,-9.64                  ,-3.82                      ,+2.41                  ,-1.76                   ,+22.87               ,+119.18              ,+18.63               ,+1.08     ,118.14       ,126.67   ,10.66                  ,116.77    ,99.20    ,99.35                   ,4.54                         ,-1.38   ,-0.33,+1.91                  ,-0.03                 ,-5.31                  ,+2.09                    ,+3.15                ,+57.11               ,+10.67               ,+135.90           ,3               ,122.07    ,128.44  ,116.77      ,116.77  ,-17.04               ,1.54           ,-1.30    ,-0.28,-0.18                   ,-4.69                    ,-4.31                    ,-2.11                 ,+18.86               ,+90.96               ,+13.23               ,+22.22            ,126.67     ,128.45    ,116.77   ,111.90 ,1.55         ,50.00            ,-0.01         ,1.36              ,--                   ,31.92                    ,--              ,42.03        ,27.16                ,6.42     ,119.98    ,120.76    ,116.11     ,120.92    ,118.09     ,21.87                ,47.55     ,33.63                   ,0.11 ,128.78              ,-6.65                     ,1.50           ,120.01    ,114.07     ,121.53    ,120.45    ,117.22     ,41.67     ,49.61                ,48.76         ,5.66 ,-0.13      ,-1.46          ,3.27                      ,122.57    ,117.82     ,119.98    ,44.78                ,11.58                   ,6.97    ,116.35                 ,-8.92          ,-0.70                     ,-3513.88  , 
STMP  ,+0.09      ,115.50    ,195627   ,27.91    ,1.94B     ,2              ,-0.62                     ,26.03     ,121.13    ,-2.99,-86.05      ,8.00                   ,-19.93            ,30.66                  ,124.54                 ,Internet Software & Services                  ,NCM     ,STAMPS.COM INC           ,Internet Software & Services         ,--      ,115.00        ,115.35,300     ,458114       ,313459      ,42.70                   ,62.41                  ,No        ,115.40,117.80,115.50,94.13                 ,330613        ,275170     ,59.17                    ,71.09                 ,No                ,Information Technology,--            ,115.00    ,115.30,400     ,347105      ,35.69                     ,56.36                  ,53.23M         ,Yes                 ,D  ,--       ,B                  ,83.33          ,16.67                 ,--              ,--                     ,--              ,6                 ,1.17              ,75.23M    ,364.30M,75.23M  ,16.85M            ,4.12    ,4.12      ,-0.26     ,6.50        ,2.25      ,2.71      ,2.30      ,22.00                       ,20.65   ,520.43            ,+0.50 ,-12.10                 ,-7.66                      ,+2.77                  ,-7.08                   ,+100.69              ,+319.81              ,+38.59               ,+0.23     ,116.60       ,134.00   ,18.20                  ,112.50    ,68.82    ,92.00                   ,7.04                         ,+0.43   ,+0.40,-0.30                  ,-0.02                 ,-9.87                  ,+2.47                    ,+0.31                ,+243.21              ,+18.74               ,+24.60            ,33              ,121.25    ,136.00  ,113.25      ,112.50  ,-46.48               ,2.30           ,+0.10    ,+0.35,-0.72                   ,-9.54                    ,-7.91                    ,-8.76                 ,+8.13                ,+368.00              ,+30.38               ,+13.21            ,134.00     ,136.00    ,112.50   ,112.50 ,2.50         ,44.00            ,-0.20         ,1.20              ,--                   ,27.91                    ,54.01           ,37.84        ,17.69                ,5.32     ,119.86    ,125.17    ,114.24     ,122.31    ,117.59     ,23.54                ,48.60     ,34.36                   ,13.95,136.75              ,-5.85                     ,0.65           ,123.77    ,103.48     ,123.63    ,122.70    ,115.56     ,43.14     ,48.28                ,46.93         ,13.33,-1.40      ,-7.20          ,0.35                      ,124.54    ,118.38     ,121.83    ,42.55                ,12.41                   ,12.66   ,112.32                 ,-9.55          ,-6.55                     ,-987.04   , 
PLNT  ,+3.20      ,19.55     ,1009419  ,38.12    ,1.18B     ,2              ,-1.35                     ,41.77     ,19.78     ,-0.48,-59.19      ,91.63                  ,-5.14             ,21.34                  ,20.10                  ,Hotels Restaurants & Leisure                  ,NYSE    ,PLANET FITNESS INC       ,Leisure Facilities                   ,--      ,18.93         ,19.53 ,700     ,1433130      ,896044      ,70.43                   ,112.65                 ,No        ,18.94 ,19.61 ,19.55 ,89.82                 ,1432637       ,986948     ,70.46                    ,102.28                ,No                ,Consumer Discretionary,--            ,18.93     ,18.91 ,600     ,1456115     ,62.69                     ,69.32                  ,27.46M         ,No                  ,D  ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,71.25M    ,378.24M,71.25M  ,62.18M            ,0.50    ,0.50      ,0.11      ,0.75        ,--        ,--        ,--        ,--                          ,5.68    ,392.77            ,+0.62 ,-2.21                  ,-5.82                      ,-1.74                  ,-8.48                   ,0.00                 ,0.00                 ,+37.17               ,0.00      ,19.12        ,22.13    ,5.50                   ,18.80     ,14.86    ,8.37                    ,1.34                         ,+3.26   ,+0.01,-0.81                  ,0.00                  ,-1.39                  ,-8.42                    ,-5.82                ,0.00                 ,+6.12                ,-97.51            ,70              ,20.39     ,22.13   ,18.82       ,18.80   ,-4.05                ,0.06           ,+0.61    ,+0.05,-0.26                   ,-1.17                    ,-6.83                    ,-1.75                 ,+40.10               ,0.00                 ,+13.16               ,+8.38             ,22.00      ,25.10     ,18.80    ,18.80  ,0.70         ,25.00            ,-0.64         ,1.64              ,--                   ,38.12                    ,--              ,-326.89      ,25.39                ,3.11     ,19.59     ,20.74     ,20.73      ,19.97     ,20.52      ,23.69                ,46.39     ,27.28                   ,40.81,21.50               ,-2.92                     ,-0.64          ,20.67     ,20.54      ,19.81     ,20.44     ,--         ,43.82     ,43.85                ,16.90         ,21.06,-0.39      ,-1.75          ,-1.17                     ,20.10     ,20.86      ,20.50     ,39.09                ,19.39                   ,16.05   ,18.69                  ,-1.62          ,-2.11                     ,-835.77   , 
