Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                    ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap   ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap ,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
SAIC  ,-9.37      ,73.41     ,1542639   ,28.50    ,3.78B     ,206            ,+3.44                     ,16.68     ,84.85     ,-1.08,-95.65      ,7.96                   ,-3.24             ,19.11                  ,86.10                  ,IT Services                                 ,NYSE    ,SCIENCE APPLICATIONS INTL,IT Consulting & Other Services       ,1.24    ,86.25         ,73.33 ,100     ,263969       ,302252      ,584.40                  ,510.38                 ,No        ,81.00 ,81.50 ,73.45 ,70.71                 ,244849        ,267614     ,630.04                   ,576.44                ,Yes               ,Information Technology,1.40          ,86.25     ,72.71 ,100     ,254576      ,488.05                    ,605.96                 ,22.68M         ,No                  ,C  ,--       ,--                 ,57.14          ,--                    ,42.86           ,--                     ,--              ,7                 ,1.86              ,117.00M   ,4.32B  ,117.00M ,43.88M            ,3.03    ,2.47      ,2.91      ,3.35        ,2.27      ,3.66      ,3.66      ,5.00                        ,2.71    ,287.67            ,-12.84,-14.66                 ,+0.18                      ,+6.11                  ,+1.06                   ,+63.42               ,0.00                 ,+61.51               ,+1.61     ,86.71        ,89.63    ,8.37                   ,84.23     ,46.20    ,92.04                   ,16.81                        ,-14.89  ,-5.25 ,-11.55                 ,-0.16                 ,-0.73                  ,+7.63                    ,+2.08                ,+146.94              ,+5.71                ,+37.38            ,2               ,87.61     ,89.87   ,85.16       ,84.23   ,-26.51               ,8.09           ,-7.59    ,-6.09 ,+2.87                   ,+0.15                    ,-0.84                    ,+0.90                 ,+85.77               ,0.00                 ,+37.41               ,+6.52             ,89.14      ,89.87     ,84.23    ,80.04  ,8.79         ,44.00            ,-0.70         ,1.22              ,--                   ,34.92                    ,--              ,266.58       ,25.76                ,0.88     ,85.03     ,85.24     ,81.26      ,85.27     ,82.06      ,48.00                ,41.44     ,52.34                   ,4.35 ,92.13               ,-2.91                     ,-10.67         ,85.17     ,73.76      ,85.75     ,85.10     ,80.60      ,33.76     ,55.03                ,63.46         ,25.12,-0.04      ,-7.38          ,1.45                      ,86.10     ,83.84      ,84.64     ,52.55                ,11.70                   ,29.53   ,80.06                  ,-15.44         ,4.83                      ,-164.68   , 
INTU  ,-1.06      ,116.30    ,1046956   ,31.65    ,30.15B    ,106            ,-0.16                     ,17.43     ,120.48    ,-1.12,-99.34      ,3.87                   ,-12.92            ,27.90                  ,122.57                 ,Software                                    ,NGM/NGS ,INTUIT INC               ,Application Software                 ,1.36    ,117.88        ,116.30,300     ,2495247      ,1337236     ,41.96                   ,78.29                  ,Yes       ,117.55,117.79,116.32,87.59                 ,1741978       ,1428472    ,60.10                    ,73.29                 ,No                ,Information Technology,1.20          ,117.88    ,116.24,100     ,1785240     ,24.38                     ,58.65                  ,295.71M        ,No                  ,C  ,***      ,B+                 ,22.22          ,11.11                 ,50.00           ,11.11                  ,5.56            ,18                ,2.67              ,979.00M   ,4.69B  ,979.00M ,255.79M           ,3.72    ,3.69      ,1.28      ,4.34        ,3.13      ,2.83      ,2.60      ,15.47                       ,20.86   ,594.18            ,-1.58 ,-9.59                  ,-3.82                      ,+2.41                  ,-1.76                   ,+22.87               ,+119.18              ,+18.63               ,+1.08     ,118.14       ,126.67   ,10.66                  ,116.77    ,99.20    ,96.13                   ,4.50                         ,-1.34   ,-0.33 ,+1.96                  ,-0.03                 ,-5.31                  ,+2.09                    ,+3.15                ,+57.11               ,+10.67               ,+135.90           ,3               ,122.07    ,128.44  ,116.77      ,116.77  ,-17.04               ,1.49           ,-1.25    ,-0.28 ,-0.19                   ,-4.69                    ,-4.31                    ,-2.11                 ,+18.86               ,+90.96               ,+13.23               ,+22.22            ,126.67     ,128.45    ,116.77   ,111.90 ,1.55         ,50.00            ,-0.06         ,1.36              ,--                   ,31.92                    ,--              ,42.03        ,27.16                ,6.42     ,119.98    ,120.76    ,116.11     ,120.93    ,118.09     ,21.87                ,47.61     ,33.63                   ,0.66 ,128.77              ,-6.65                     ,1.55           ,120.01    ,114.07     ,121.54    ,120.45    ,117.22     ,41.76     ,49.61                ,48.76         ,5.84 ,-0.13      ,-1.41          ,3.27                      ,122.57    ,117.82     ,119.98    ,44.78                ,11.58                   ,7.03    ,116.37                 ,-8.87          ,-0.70                     ,-3440.99  , 
SJM   ,-0.90      ,131.32    ,587702    ,23.08    ,15.44B    ,71             ,0.00                      ,17.55     ,134.98    ,-1.63,-97.76      ,11.30                  ,-16.49            ,24.32                  ,136.73                 ,Food Products                               ,NYSE    ,SMUCKER (JM) CO          ,Packaged Foods & Meats               ,3.00    ,132.59        ,131.32,1600    ,1471313      ,1002464     ,39.94                   ,58.63                  ,Yes       ,132.51,132.89,131.35,78.26                 ,1317122       ,1286738    ,44.62                    ,45.67                 ,No                ,Consumer Staples      ,2.30          ,132.59    ,131.12,100     ,1339555     ,58.74                     ,43.87                  ,195.61M        ,No                  ,C  ,***      ,A                  ,14.29          ,4.76                  ,71.43           ,9.52                   ,--              ,21                ,2.76              ,688.70M   ,7.81B  ,688.70M ,116.44M           ,5.74    ,5.76      ,3.33      ,7.65        ,5.42      ,--        ,4.06      ,6.39                        ,8.82    ,1130.42           ,-1.27 ,-9.96                  ,-3.03                      ,-0.39                  ,-2.56                   ,+23.43               ,+86.48               ,+11.51               ,+0.59     ,133.47       ,143.44   ,24.42                  ,132.22    ,122.05   ,88.70                   ,3.40                         ,-0.96   ,-0.08 ,+2.81                  ,-0.01                 ,-4.98                  ,-0.29                    ,+4.10                ,+48.02               ,+13.14               ,+9.24             ,3               ,134.13    ,143.68  ,132.59      ,132.22  ,-9.07                ,1.57           ,-1.19    ,-0.06 ,-0.01                   ,-4.14                    ,-3.62                    ,-3.48                 ,+5.58                ,+50.90               ,+1.07                ,+4.19             ,141.53     ,157.31    ,132.22   ,127.00 ,1.77         ,52.00            ,-0.20         ,0.99              ,--                   ,23.02                    ,--              ,73.43        ,17.33                ,1.98     ,134.14    ,137.32    ,132.72     ,135.63    ,135.29     ,21.31                ,45.48     ,35.09                   ,2.24 ,142.91              ,-8.10                     ,2.35           ,136.11    ,138.07     ,135.79    ,136.00    ,135.17     ,40.75     ,46.81                ,42.99         ,5.94 ,-0.86      ,-4.18          ,4.53                      ,136.73    ,132.94     ,135.79    ,42.92                ,13.99                   ,7.34    ,130.55                 ,-9.62          ,-3.26                     ,-3036.33  , 
FDS   ,-0.01      ,164.23    ,244654    ,19.46    ,6.50B     ,9              ,-2.68                     ,18.36     ,173.22    ,-2.53,-88.64      ,63.65                  ,-11.89            ,21.51                  ,175.64                 ,Capital Markets                             ,NYSE    ,FACTSET RESEARCH SYSTEMS ,Financial Exchanges & Data           ,2.00    ,164.36        ,164.17,100     ,546535       ,327468      ,44.76                   ,74.71                  ,No        ,164.25,164.87,164.22,96.33                 ,307378        ,248420     ,79.59                    ,98.48                 ,Yes               ,Financials            ,1.20          ,164.36    ,163.11,100     ,301812      ,35.85                     ,81.06                  ,91.70M         ,No                  ,F  ,***      ,A+                 ,--             ,5.56                  ,66.67           ,22.22                  ,5.56            ,18                ,3.28              ,338.82M   ,--     ,338.82M ,39.57M            ,8.45    ,8.19      ,5.71      ,7.27        ,4.92      ,4.45      ,4.12      ,10.66                       ,30.06   ,134.58            ,-0.13 ,-15.45                 ,-6.42                      ,-3.04                  ,-6.18                   ,+14.87               ,+90.44               ,+12.81               ,+0.77     ,164.98       ,182.56   ,18.77                  ,161.88    ,145.48   ,36.35                   ,6.61                         ,-0.08   ,-0.11 ,-0.83                  ,-0.08                 ,-12.30                 ,-1.82                    ,+0.84                ,+69.26               ,+11.37               ,+65.51            ,1               ,179.33    ,183.64  ,161.88      ,161.88  ,-17.63               ,0.64           ,-0.02    ,-0.07 ,-4.53                   ,-11.28                   ,-6.96                    ,-10.83                ,+19.89               ,+104.20              ,+0.51                ,+33.47            ,182.56     ,183.64    ,161.88   ,161.88 ,1.76         ,73.00            ,-1.12         ,0.84              ,--                   ,20.07                    ,--              ,57.98        ,22.59                ,--       ,173.57    ,176.24    ,167.40     ,174.21    ,171.77     ,18.50                ,44.32     ,41.87                   ,11.36,185.50              ,-16.49                    ,-0.91          ,175.17    ,168.20     ,175.09    ,174.46    ,170.87     ,38.01     ,44.41                ,51.09         ,9.02 ,-0.73      ,-8.67          ,0.93                      ,175.64    ,169.93     ,173.91    ,38.12                ,13.55                   ,10.15   ,165.79                 ,-15.01         ,-8.69                     ,-578.04   , 
LULU  ,-2.25      ,50.82     ,40342731  ,32.02    ,8.44B     ,176            ,+7.42                     ,18.84     ,62.62     ,-1.49,-99.42      ,4.15                   ,-36.34            ,23.08                  ,63.63                  ,Textiles Apparel & Luxury Goods             ,NASDAQ  ,LULULEMON ATHLETICA INC  ,Apparel Accessories & Luxury Goods   ,--      ,66.30         ,50.81 ,400     ,3584023      ,2052741     ,1125.63                 ,1965.31                ,No        ,51.99 ,52.90 ,50.82 ,79.43                 ,2104210       ,1660811    ,1917.24                  ,2429.10               ,No                ,Consumer Discretionary,--            ,66.30     ,50.73 ,500     ,2005704     ,427.76                    ,2011.40                ,233.16M        ,No                  ,NR ,*****    ,B+                 ,38.89          ,11.11                 ,44.44           ,--                     ,5.56            ,36                ,2.22              ,266.05M   ,2.06B  ,266.05M ,127.3M            ,2.07    ,1.89      ,1.66      ,2.15        ,1.91      ,1.85      ,1.27      ,16.51                       ,12.91   ,187.32            ,-15.48,-15.27                 ,+4.20                      ,+3.33                  ,-0.02                   ,+0.62                ,-16.06               ,+0.35                ,+0.16     ,66.34        ,66.97    ,28.91                  ,61.68     ,54.00    ,95.85                   ,24.04                        ,-23.35  ,-14.31,-15.12                 ,-0.19                 ,+1.80                  ,+5.28                    ,+2.02                ,+29.14               ,+14.51               ,+25.14            ,66              ,66.34     ,70.50   ,64.01       ,61.68   ,3.27                 ,2.08           ,-1.17    ,-21.58,+4.58                   ,+2.67                    ,+2.79                    ,-0.01                 ,+4.60                ,+2.15                ,-14.70               ,+20.33            ,66.97      ,81.81     ,62.49    ,61.68  ,2.17         ,30.00            ,-0.09         ,1.38              ,--                   ,35.08                    ,9.08            ,--           ,30.77                ,4.10     ,62.53     ,65.50     ,62.91      ,63.18     ,64.78      ,64.53                ,36.69     ,48.89                   ,0.58 ,69.83               ,0.91                      ,-16.02         ,66.04     ,66.84      ,63.04     ,64.50     ,64.84      ,30.49     ,51.62                ,55.04         ,48.85,-0.83      ,-15.58         ,1.32                      ,63.63     ,64.10      ,64.61     ,52.92                ,14.18                   ,53.78   ,57.43                  ,-15.71         ,-1.21                     ,-26270.57 , 
PTHN  ,+1.08      ,26.15     ,316055    ,42.18    ,3.77B     ,4              ,-0.40                     ,21.80     ,27.44     ,-1.26,-69.89      ,82.14                  ,46.11             ,47.12                  ,28.63                  ,Life Sciences Tools & Services              ,NYSE    ,PATHEON NV               ,Life Sciences Tools & Services       ,--      ,25.97         ,26.11 ,100     ,525472       ,417287      ,60.15                   ,75.74                  ,No        ,25.87 ,26.25 ,26.16 ,24.12                 ,776456        ,468345     ,40.70                    ,67.48                 ,No                ,Health Care           ,--            ,25.97     ,25.69 ,200     ,754200      ,58.94                     ,41.91                  ,13.73M         ,No                  ,C  ,--       ,--                 ,36.36          ,36.36                 ,27.27           ,--                     ,--              ,11                ,1.91              ,31.70M    ,1.87B  ,31.70M  ,145.14M           ,0.62    ,0.26      ,1.20      ,1.14        ,-1.03     ,-0.26     ,-0.83     ,19.75                       ,1.70    ,205.13            ,+0.18 ,-5.55                  ,-9.29                      ,-2.58                  ,-11.47                  ,0.00                 ,0.00                 ,0.00                 ,0.00      ,26.26        ,32.35    ,6.70                   ,23.72     ,23.72    ,17.86                   ,5.95                         ,+0.69   ,-0.10 ,-2.85                  ,-0.01                 ,-3.18                  ,-9.04                    ,-9.54                ,0.00                 ,+15.13               ,-14.03            ,19              ,27.10     ,32.95   ,25.35       ,23.72   ,-1.97                ,0.10           ,+0.28    ,-0.39 ,-0.10                   ,-2.66                    ,-10.90                   ,-3.36                 ,0.00                 ,0.00                 ,+12.54               ,0.00              ,32.33      ,32.95     ,25.35    ,23.72  ,0.56         ,17.00            ,-0.46         ,1.81              ,--                   ,101.82                   ,--              ,-602.61      ,22.85                ,2.02     ,26.37     ,29.43     ,28.41      ,27.93     ,--         ,17.36                ,--        ,36.55                   ,30.11,33.45               ,-5.78                     ,-3.19          ,29.28     ,--         ,27.71     ,--        ,--         ,--        ,50.00                ,57.91         ,28.58,-0.95      ,-3.09          ,-2.74                     ,28.63     ,28.62      ,--        ,50.00                ,9.74                    ,28.76   ,23.81                  ,-5.37          ,-2.72                     ,6522.47   , 
FLT   ,-2.51      ,149.28    ,2561653   ,32.11    ,14.01B    ,187            ,-1.30                     ,25.01     ,157.44    ,-1.98,-91.87      ,25.95                  ,-9.03             ,23.17                  ,159.35                 ,IT Services                                 ,NYSE    ,FLEETCOR TECHNOLOGIES INC,Data Processing & Outsourced Services,--      ,152.50        ,149.26,400     ,1479492      ,971924      ,173.14                  ,263.57                 ,No        ,153.12,153.16,149.32,92.30                 ,972356        ,973779     ,263.45                   ,263.06                ,No                ,Information Technology,--            ,152.50    ,147.92,300     ,1042959     ,66.01                     ,245.61                 ,228.81M        ,No                  ,D  ,****     ,--                 ,50.00          ,37.50                 ,12.50           ,--                     ,--              ,16                ,1.63              ,452.38M   ,1.83B  ,452.38M ,91.89M            ,4.75    ,4.75      ,3.85      ,8.24        ,4.24      ,3.36      ,2.52      ,15.73                       ,24.70   ,257.96            ,-3.22 ,-21.71                 ,-4.30                      ,-5.33                  ,-2.85                   ,+3.58                ,+298.12              ,+14.18               ,+1.26     ,157.24       ,171.77   ,23.26                  ,149.54    ,133.64   ,74.05                   ,5.98                         ,-2.11   ,+0.62 ,+5.63                  ,-0.06                 ,-8.19                  ,-3.38                    ,+7.76                ,+33.43               ,+13.83               ,+15.30            ,2               ,159.96    ,171.77  ,149.54      ,149.54  ,-14.28               ,3.88           ,-3.84    ,+0.41 ,-2.00                   ,-6.85                    ,-5.09                    ,-4.48                 ,+7.57                ,+106.94              ,+3.53                ,+5.17             ,165.37     ,176.42    ,149.54   ,142.62 ,5.24         ,76.00            ,-1.36         ,1.38              ,--                   ,32.11                    ,--              ,81.77        ,18.51                ,7.65     ,156.81    ,158.69    ,156.23     ,158.24    ,157.09     ,29.91                ,45.30     ,39.09                   ,8.13 ,166.85              ,-12.25                    ,4.63           ,157.06    ,157.05     ,158.21    ,158.20    ,156.79     ,41.34     ,47.08                ,48.71         ,22.54,-0.69      ,2.94           ,10.98                     ,159.35    ,153.34     ,157.89    ,44.09                ,13.48                   ,26.16   ,151.85                 ,-13.34         ,5.01                      ,-1487.81  , 
STMP  ,-0.04      ,115.35    ,193704    ,27.91    ,1.94B     ,2              ,-0.60                     ,25.30     ,121.11    ,-3.00,-86.74      ,2.00                   ,-20.37            ,30.66                  ,124.53                 ,Internet Software & Services                ,NCM     ,STAMPS.COM INC           ,Internet Software & Services         ,--      ,115.00        ,115.30,200     ,458114       ,313459      ,42.28                   ,61.80                  ,No        ,115.40,117.80,115.50,94.13                 ,330613        ,275170     ,58.59                    ,70.39                 ,No                ,Information Technology,--            ,115.00    ,115.30,400     ,347105      ,35.34                     ,55.81                  ,53.23M         ,Yes                 ,D  ,--       ,B                  ,83.33          ,16.67                 ,--              ,--                     ,--              ,6                 ,1.17              ,75.23M    ,364.30M,75.23M  ,16.85M            ,4.12    ,4.12      ,-0.26     ,6.50        ,2.25      ,2.71      ,2.30      ,22.00                       ,20.65   ,520.43            ,+0.35 ,-12.25                 ,-7.65                      ,+2.77                  ,-7.08                   ,+100.69              ,+319.81              ,+38.59               ,+0.23     ,116.60       ,134.00   ,18.20                  ,112.50    ,68.82    ,98.00                   ,7.17                         ,+0.30   ,+0.40 ,-0.45                  ,-0.02                 ,-9.87                  ,+2.47                    ,+0.31                ,+243.21              ,+18.74               ,+24.60            ,33              ,121.25    ,136.00  ,113.25      ,112.50  ,-46.48               ,2.45           ,-0.05    ,+0.35 ,-0.69                   ,-9.53                    ,-7.91                    ,-8.76                 ,+8.13                ,+368.00              ,+30.38               ,+13.21            ,134.00     ,136.00    ,112.50   ,112.50 ,2.50         ,44.00            ,-0.05         ,1.20              ,--                   ,27.91                    ,54.01           ,37.84        ,17.69                ,5.32     ,119.85    ,125.16    ,114.24     ,122.29    ,117.58     ,23.54                ,48.50     ,34.36                   ,13.26,136.76              ,-5.85                     ,0.50           ,123.76    ,103.48     ,123.62    ,122.69    ,115.56     ,42.97     ,48.28                ,46.93         ,13.10,-1.40      ,-7.35          ,0.35                      ,124.53    ,118.38     ,121.83    ,42.55                ,12.41                   ,12.58   ,112.29                 ,-9.70          ,-6.55                     ,-1008.58  , 
AKAM  ,-4.32      ,60.44     ,4426902   ,35.44    ,10.99B    ,233            ,+1.07                     ,25.78     ,63.31     ,-0.59,-98.67      ,1.89                   ,-23.66            ,16.51                  ,63.65                  ,Internet Software & Services                ,NGM/NGS ,AKAMAI TECHNOLOGIES INC  ,Internet Software & Services         ,--      ,63.44         ,60.42 ,200     ,1638650      ,2035267     ,270.16                  ,217.51                 ,Yes       ,63.17 ,64.07 ,60.46 ,92.77                 ,1514791       ,1896310    ,292.25                   ,233.45                ,No                ,Information Technology,--            ,63.44     ,60.37 ,300     ,1512187     ,214.03                    ,292.75                 ,103.79M        ,No                  ,C  ,****     ,B+                 ,50.00          ,8.33                  ,33.33           ,8.33                   ,--              ,24                ,2.00              ,316.13M   ,2.34B  ,316.13M ,173.19M           ,1.79    ,1.79      ,1.78      ,2.79        ,1.84      ,1.61      ,1.12      ,13.77                       ,13.51   ,360.56            ,-3.00 ,-2.38                  ,-0.32                      ,-0.47                  ,-3.72                   ,-12.37               ,+73.76               ,+14.69               ,+0.83     ,63.70        ,65.65    ,7.57                   ,62.51     ,47.80    ,98.11                   ,5.39                         ,-4.73   ,-0.27 ,-6.83                  ,-0.05                 ,-0.30                  ,-0.73                    ,-4.86                ,+6.80                ,-6.15                ,+9.96             ,49              ,64.42     ,71.64   ,63.08       ,62.31   ,-12.57               ,3.63           ,-2.73    ,-0.43 ,+0.67                   ,-0.21                    ,-0.47                    ,-2.45                 ,+16.03               ,+82.95               ,+14.03               ,+7.39             ,65.65      ,71.64     ,62.51    ,61.54  ,3.70         ,19.00            ,-0.07         ,1.52              ,--                   ,35.44                    ,5.96            ,19.85        ,22.77                ,4.70     ,63.40     ,64.98     ,65.06      ,63.51     ,64.01      ,45.36                ,44.34     ,35.14                   ,1.33 ,65.55               ,0.06                      ,-7.12          ,65.77     ,60.50      ,63.70     ,64.43     ,63.57      ,38.92     ,48.87                ,39.21         ,18.17,-0.42      ,-8.26          ,-3.24                     ,63.65     ,66.01      ,64.50     ,46.23                ,15.35                   ,21.58   ,61.74                  ,-3.35          ,-5.15                     ,-5824.97  , 
GWW   ,-0.84      ,233.73    ,525771    ,24.09    ,13.96B    ,37             ,+0.10                     ,25.88     ,241.05    ,-3.39,-89.23      ,46.76                  ,-16.73            ,26.64                  ,243.49                 ,Trading Companies & Distributors            ,NYSE    ,GRAINGER (W W) INC       ,Trading Companies & Distributors     ,4.88    ,237.75        ,233.70,100     ,642520       ,627462      ,81.83                   ,83.79                  ,Yes       ,235.70,235.70,233.79,82.80                 ,588576        ,623947     ,89.33                    ,84.27                 ,No                ,Industrials           ,2.10          ,237.75    ,232.00,300     ,590096      ,44.59                     ,89.10                  ,153.18M        ,No                  ,D  ,***      ,A                  ,13.64          ,4.55                  ,63.64           ,9.09                   ,9.09            ,22                ,2.95              ,632.84M   ,10.14B ,632.84M ,58.72M            ,9.87    ,9.87      ,11.58     ,11.88       ,11.45     ,11.13     ,9.52      ,12.50                       ,5.98    ,405.49            ,-4.02 ,-14.84                 ,-2.36                      ,+4.25                  ,-3.59                   ,+6.68                ,+22.06               ,+10.33               ,+0.76     ,240.89       ,252.98   ,27.02                  ,233.72    ,201.94   ,53.24                   ,3.33                         ,-1.69   ,-2.05 ,+0.31                  ,-0.03                 ,-6.99                  ,+1.82                    ,+2.86                ,+1.13                ,+8.06                ,+31.14            ,0               ,242.73    ,262.71  ,237.71      ,233.72  ,-30.06               ,1.97           ,-1.97    ,-0.86 ,+0.24                   ,-5.74                    ,-2.86                    ,-8.87                 ,+6.76                ,+14.85               ,+8.62                ,+10.96            ,252.86     ,262.72    ,233.72   ,229.05 ,3.70         ,42.00            ,-1.73         ,1.03              ,--                   ,24.09                    ,20.43           ,96.60        ,20.01                ,1.38     ,239.43    ,248.81    ,234.86     ,242.38    ,240.18     ,32.66                ,46.61     ,33.28                   ,10.77,253.27              ,-14.36                    ,-0.72          ,246.60    ,230.61     ,241.52    ,244.08    ,238.63     ,41.21     ,48.60                ,44.61         ,23.47,-2.52      ,-19.95         ,5.50                      ,243.49    ,239.87     ,243.48    ,44.29                ,12.75                   ,23.36   ,233.71                 ,-14.48         ,-14.82                    ,-1376.16  , 
