Symbol,% Chg(Open),Last Trade,Volume   ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                    ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change ,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
SAIC  ,-9.47      ,73.33     ,1544139  ,28.50    ,3.78B     ,206            ,+3.46                     ,16.61     ,84.84     ,-1.08,-96.14      ,7.08                   ,-3.80             ,19.11                  ,86.09                  ,IT Services                                 ,NYSE    ,SCIENCE APPLICATIONS INTL,IT Consulting & Other Services       ,1.24    ,86.25         ,73.31 ,400     ,263969       ,302252      ,584.97                  ,510.88                 ,No        ,81.00 ,81.50 ,73.38 ,70.71                 ,244849        ,267614     ,630.65                   ,577.00                ,Yes               ,Information Technology,1.40          ,86.25     ,72.71 ,100     ,254576      ,488.53                    ,606.55                 ,22.68M         ,No                  ,C  ,--       ,--                 ,57.14          ,--                    ,42.86           ,--                     ,--              ,7                 ,1.86              ,117.00M   ,4.32B  ,117.00M ,43.88M            ,3.03    ,2.47      ,2.91      ,3.35        ,2.27      ,3.66      ,3.66      ,5.00                        ,2.71    ,287.67            ,-12.92 ,-14.74                 ,+0.18                      ,+6.11                  ,+1.06                   ,+63.42               ,0.00                 ,+61.51               ,+1.61     ,86.71        ,89.63    ,8.37                   ,84.23     ,46.20    ,92.92                   ,16.93                        ,-14.98  ,-5.25,-11.63                 ,-0.16                 ,-0.73                  ,+7.63                    ,+2.08                ,+146.94              ,+5.71                ,+37.38            ,2               ,87.61     ,89.87   ,85.16       ,84.23   ,-26.51               ,8.17           ,-7.67    ,-6.09,+2.88                   ,+0.16                    ,-0.84                    ,+0.90                 ,+85.77               ,0.00                 ,+37.41               ,+6.52             ,89.14      ,89.87     ,84.23    ,80.04  ,8.79         ,44.00            ,-0.62         ,1.22              ,--                   ,34.92                    ,--              ,266.58       ,25.76                ,0.88     ,85.02     ,85.24     ,81.26      ,85.27     ,82.06      ,48.00                ,41.38     ,52.34                   ,3.86 ,92.16               ,-2.91                     ,-10.75         ,85.17     ,73.75      ,85.75     ,85.09     ,80.60      ,33.69     ,55.03                ,63.46         ,24.96,-0.04      ,-7.46          ,1.45                      ,86.09     ,83.84      ,84.63     ,52.55                ,11.70                   ,29.48   ,80.03                  ,-15.52         ,4.83                      ,-193.17   , 
SJM   ,-0.90      ,131.32    ,588229   ,23.08    ,15.44B    ,71             ,0.00                      ,17.55     ,134.98    ,-1.63,-97.76      ,11.30                  ,-16.49            ,24.32                  ,136.73                 ,Food Products                               ,NYSE    ,SMUCKER (JM) CO          ,Packaged Foods & Meats               ,3.00    ,132.59        ,131.33,100     ,1471313      ,1002464     ,39.98                   ,58.68                  ,Yes       ,132.51,132.89,131.37,78.26                 ,1317122       ,1286738    ,44.66                    ,45.71                 ,No                ,Consumer Staples      ,2.30          ,132.59    ,131.12,100     ,1339555     ,58.79                     ,43.91                  ,195.61M        ,No                  ,C  ,***      ,A                  ,14.29          ,4.76                  ,71.43           ,9.52                   ,--              ,21                ,2.76              ,688.70M   ,7.81B  ,688.70M ,116.44M           ,5.74    ,5.76      ,3.33      ,7.65        ,5.42      ,--        ,4.06      ,6.39                        ,8.82    ,1130.42           ,-1.27  ,-9.96                  ,-3.03                      ,-0.39                  ,-2.56                   ,+23.43               ,+86.48               ,+11.51               ,+0.59     ,133.47       ,143.44   ,24.42                  ,132.22    ,122.05   ,88.70                   ,3.40                         ,-0.96   ,-0.08,+2.81                  ,-0.01                 ,-4.98                  ,-0.29                    ,+4.10                ,+48.02               ,+13.14               ,+9.24             ,3               ,134.13    ,143.68  ,132.59      ,132.22  ,-9.07                ,1.57           ,-1.19    ,-0.06,-0.01                   ,-4.14                    ,-3.62                    ,-3.48                 ,+5.58                ,+50.90               ,+1.07                ,+4.19             ,141.53     ,157.31    ,132.22   ,127.00 ,1.77         ,52.00            ,-0.20         ,0.99              ,--                   ,23.02                    ,--              ,73.43        ,17.33                ,1.98     ,134.14    ,137.32    ,132.72     ,135.63    ,135.29     ,21.31                ,45.48     ,35.09                   ,2.24 ,142.91              ,-8.10                     ,2.35           ,136.11    ,138.07     ,135.79    ,136.00    ,135.17     ,40.75     ,46.81                ,42.99         ,5.94 ,-0.86      ,-4.18          ,4.53                      ,136.73    ,132.94     ,135.79    ,42.92                ,13.99                   ,7.34    ,130.55                 ,-9.62          ,-3.26                     ,-3036.74  , 
FDS   ,-0.02      ,164.22    ,245599   ,19.46    ,6.50B     ,9              ,-2.68                     ,18.35     ,173.21    ,-2.54,-88.68      ,63.08                  ,-11.94            ,21.51                  ,175.64                 ,Capital Markets                             ,NYSE    ,FACTSET RESEARCH SYSTEMS ,Financial Exchanges & Data           ,2.00    ,164.36        ,164.19,100     ,546535       ,327468      ,44.94                   ,75.00                  ,No        ,164.25,164.87,164.25,96.33                 ,307378        ,248420     ,79.90                    ,98.86                 ,Yes               ,Financials            ,1.20          ,164.36    ,163.11,100     ,301812      ,35.99                     ,81.37                  ,91.70M         ,No                  ,F  ,***      ,A+                 ,--             ,5.56                  ,66.67           ,22.22                  ,5.56            ,18                ,3.28              ,338.82M   ,--     ,338.82M ,39.57M            ,8.45    ,8.19      ,5.71      ,7.27        ,4.92      ,4.45      ,4.12      ,10.66                       ,30.06   ,134.58            ,-0.14  ,-15.46                 ,-6.42                      ,-3.04                  ,-6.18                   ,+14.87               ,+90.44               ,+12.81               ,+0.77     ,164.98       ,182.56   ,18.77                  ,161.88    ,145.48   ,36.92                   ,6.62                         ,-0.09   ,-0.11,-0.84                  ,-0.08                 ,-12.30                 ,-1.82                    ,+0.84                ,+69.26               ,+11.37               ,+65.51            ,1               ,179.33    ,183.64  ,161.88      ,161.88  ,-17.63               ,0.65           ,-0.03    ,-0.07,-4.53                   ,-11.28                   ,-6.96                    ,-10.83                ,+19.89               ,+104.20              ,+0.51                ,+33.47            ,182.56     ,183.64    ,161.88   ,161.88 ,1.76         ,73.00            ,-1.11         ,0.84              ,--                   ,20.07                    ,--              ,57.98        ,22.59                ,--       ,173.57    ,176.24    ,167.40     ,174.21    ,171.77     ,18.50                ,44.32     ,41.87                   ,11.32,185.50              ,-16.49                    ,-0.92          ,175.17    ,168.20     ,175.09    ,174.46    ,170.87     ,38.00     ,44.41                ,51.09         ,9.00 ,-0.73      ,-8.68          ,0.93                      ,175.64    ,169.93     ,173.91    ,38.12                ,13.55                   ,10.15   ,165.78                 ,-15.02         ,-8.69                     ,-580.57   , 
PTHN  ,+1.08      ,26.15     ,316055   ,42.18    ,3.77B     ,4              ,-0.40                     ,21.80     ,27.44     ,-1.26,-69.89      ,82.14                  ,46.11             ,47.12                  ,28.63                  ,Life Sciences Tools & Services              ,NYSE    ,PATHEON NV               ,Life Sciences Tools & Services       ,--      ,25.97         ,26.11 ,100     ,525472       ,417287      ,60.15                   ,75.74                  ,No        ,25.87 ,26.25 ,26.16 ,24.12                 ,776456        ,468345     ,40.70                    ,67.48                 ,No                ,Health Care           ,--            ,25.97     ,25.69 ,100     ,754200      ,58.94                     ,41.91                  ,13.73M         ,No                  ,C  ,--       ,--                 ,36.36          ,36.36                 ,27.27           ,--                     ,--              ,11                ,1.91              ,31.70M    ,1.87B  ,31.70M  ,145.14M           ,0.62    ,0.26      ,1.20      ,1.14        ,-1.03     ,-0.26     ,-0.83     ,19.75                       ,1.70    ,205.13            ,+0.18  ,-5.55                  ,-9.29                      ,-2.58                  ,-11.47                  ,0.00                 ,0.00                 ,0.00                 ,0.00      ,26.26        ,32.35    ,6.70                   ,23.72     ,23.72    ,17.86                   ,5.95                         ,+0.69   ,-0.10,-2.85                  ,-0.01                 ,-3.18                  ,-9.04                    ,-9.54                ,0.00                 ,+15.13               ,-14.03            ,19              ,27.10     ,32.95   ,25.35       ,23.72   ,-1.97                ,0.10           ,+0.28    ,-0.39,-0.10                   ,-2.66                    ,-10.90                   ,-3.36                 ,0.00                 ,0.00                 ,+12.54               ,0.00              ,32.33      ,32.95     ,25.35    ,23.72  ,0.56         ,17.00            ,-0.46         ,1.81              ,--                   ,101.82                   ,--              ,-602.61      ,22.85                ,2.02     ,26.37     ,29.43     ,28.41      ,27.93     ,--         ,17.36                ,--        ,36.55                   ,30.11,33.45               ,-5.78                     ,-3.19          ,29.28     ,--         ,27.71     ,--        ,--         ,--        ,50.00                ,57.91         ,28.58,-0.95      ,-3.09          ,-2.74                     ,28.63     ,28.62      ,--        ,50.00                ,9.74                    ,28.76   ,23.81                  ,-5.37          ,-2.72                     ,6522.47   , 
FLT   ,-2.51      ,149.28    ,2564223  ,32.11    ,14.01B    ,187            ,-1.30                     ,25.01     ,157.44    ,-1.98,-91.90      ,25.86                  ,-9.07             ,23.17                  ,159.35                 ,IT Services                                 ,NYSE    ,FLEETCOR TECHNOLOGIES INC,Data Processing & Outsourced Services,--      ,152.50        ,149.25,200     ,1479492      ,971924      ,173.32                  ,263.83                 ,No        ,153.12,153.16,149.31,92.30                 ,972356        ,973779     ,263.71                   ,263.33                ,No                ,Information Technology,--            ,152.50    ,147.92,200     ,1042959     ,66.08                     ,245.86                 ,228.81M        ,No                  ,D  ,****     ,--                 ,50.00          ,37.50                 ,12.50           ,--                     ,--              ,16                ,1.63              ,452.38M   ,1.83B  ,452.38M ,91.89M            ,4.75    ,4.75      ,3.85      ,8.24        ,4.24      ,3.36      ,2.52      ,15.73                       ,24.70   ,257.96            ,-3.22  ,-21.72                 ,-4.30                      ,-5.33                  ,-2.85                   ,+3.58                ,+298.12              ,+14.18               ,+1.26     ,157.24       ,171.77   ,23.26                  ,149.54    ,133.64   ,74.14                   ,5.99                         ,-2.11   ,+0.62,+5.62                  ,-0.06                 ,-8.19                  ,-3.38                    ,+7.76                ,+33.43               ,+13.83               ,+15.30            ,2               ,159.96    ,171.77  ,149.54      ,149.54  ,-14.28               ,3.89           ,-3.84    ,+0.41,-2.00                   ,-6.85                    ,-5.09                    ,-4.48                 ,+7.57                ,+106.94              ,+3.53                ,+5.17             ,165.37     ,176.42    ,149.54   ,142.62 ,5.24         ,76.00            ,-1.36         ,1.38              ,--                   ,32.11                    ,--              ,81.77        ,18.51                ,7.65     ,156.81    ,158.69    ,156.23     ,158.24    ,157.09     ,29.91                ,45.29     ,39.09                   ,8.10 ,166.85              ,-12.25                    ,4.63           ,157.06    ,157.05     ,158.21    ,158.20    ,156.79     ,41.34     ,47.08                ,48.71         ,22.53,-0.69      ,2.94           ,10.98                     ,159.35    ,153.34     ,157.89    ,44.09                ,13.48                   ,26.16   ,151.85                 ,-13.35         ,5.01                      ,-1493.94  , 
GWW   ,-0.84      ,233.73    ,525778   ,24.09    ,13.96B    ,37             ,+0.10                     ,25.88     ,241.05    ,-3.39,-89.23      ,46.76                  ,-16.73            ,26.64                  ,243.49                 ,Trading Companies & Distributors            ,NYSE    ,GRAINGER (W W) INC       ,Trading Companies & Distributors     ,4.88    ,237.75        ,233.70,100     ,642520       ,627462      ,81.83                   ,83.79                  ,Yes       ,235.70,235.70,233.79,82.80                 ,588576        ,623947     ,89.33                    ,84.27                 ,No                ,Industrials           ,2.10          ,237.75    ,232.00,500     ,590096      ,44.59                     ,89.10                  ,153.18M        ,No                  ,D  ,***      ,A                  ,13.64          ,4.55                  ,63.64           ,9.09                   ,9.09            ,22                ,2.95              ,632.84M   ,10.14B ,632.84M ,58.72M            ,9.87    ,9.87      ,11.58     ,11.88       ,11.45     ,11.13     ,9.52      ,12.50                       ,5.98    ,405.49            ,-4.02  ,-14.84                 ,-2.36                      ,+4.25                  ,-3.59                   ,+6.68                ,+22.06               ,+10.33               ,+0.76     ,240.89       ,252.98   ,27.02                  ,233.72    ,201.94   ,53.24                   ,3.33                         ,-1.69   ,-2.05,+0.31                  ,-0.03                 ,-6.99                  ,+1.82                    ,+2.86                ,+1.13                ,+8.06                ,+31.14            ,0               ,242.73    ,262.71  ,237.71      ,233.72  ,-30.06               ,1.97           ,-1.97    ,-0.86,+0.24                   ,-5.74                    ,-2.86                    ,-8.87                 ,+6.76                ,+14.85               ,+8.62                ,+10.96            ,252.86     ,262.72    ,233.72   ,229.05 ,3.70         ,42.00            ,-1.73         ,1.03              ,--                   ,24.09                    ,20.43           ,96.60        ,20.01                ,1.38     ,239.43    ,248.81    ,234.86     ,242.38    ,240.18     ,32.66                ,46.61     ,33.28                   ,10.77,253.27              ,-14.36                    ,-0.72          ,246.60    ,230.61     ,241.52    ,244.08    ,238.63     ,41.21     ,48.60                ,44.61         ,23.47,-2.52      ,-19.95         ,5.50                      ,243.49    ,239.87     ,243.48    ,44.29                ,12.75                   ,23.36   ,233.71                 ,-14.48         ,-14.82                    ,-1376.16  , 
NLSN  ,+0.24      ,41.09     ,1632003  ,29.58    ,14.70B    ,10             ,-0.13                     ,26.00     ,42.10     ,-0.75,-87.26      ,85.71                  ,-6.11             ,36.76                  ,42.83                  ,Professional Services                       ,NYSE    ,NIELSEN HOLDINGS NV      ,Research & Consulting Services       ,1.24    ,41.12         ,41.08 ,600     ,2462335      ,2847647     ,66.28                   ,57.31                  ,Yes       ,40.99 ,41.15 ,41.09 ,97.63                 ,2283344       ,2776207    ,71.47                    ,58.79                 ,No                ,Industrials           ,3.00          ,41.12     ,40.73 ,500     ,2398693     ,62.90                     ,68.04                  ,101.46M        ,No                  ,C  ,***      ,--                 ,35.00          ,25.00                 ,35.00           ,5.00                   ,--              ,20                ,2.10              ,507.00M   ,6.31B  ,507.00M ,357.54M           ,1.39    ,1.39      ,1.54      ,2.68        ,1.00      ,1.94      ,0.74      ,7.59                        ,7.96    ,146.72            ,-0.03  ,-3.39                  ,-3.99                      ,-3.91                  ,-4.04                   ,+0.29                ,+49.42               ,-15.23               ,+0.88     ,41.46        ,45.29    ,14.79                  ,40.63     ,40.28    ,14.29                   ,2.90                         ,-0.07   ,-0.13,-1.11                  ,0.00                  ,-2.06                  ,-8.69                    ,-1.29                ,+0.07                ,+3.64                ,+11.88            ,19              ,41.57     ,45.73   ,40.96       ,40.63   ,-0.45                ,0.06           ,+0.10    ,-0.32,-0.05                   ,-1.71                    ,-4.78                    ,-1.73                 ,-18.54               ,+30.68               ,-15.55               ,+3.27             ,45.26      ,55.94     ,40.63    ,40.27  ,0.42         ,24.00            ,-0.36         ,1.27              ,--                   ,29.58                    ,--              ,180.34       ,15.36                ,2.33     ,41.54     ,42.96     ,44.12      ,42.40     ,44.11      ,26.28                ,41.80     ,31.27                   ,12.74,45.60               ,-3.95                     ,-1.18          ,42.83     ,47.71      ,42.28     ,43.03     ,44.58      ,39.51     ,41.87                ,52.95         ,14.45,-0.51      ,-0.23          ,-0.83                     ,42.83     ,42.93      ,43.20     ,39.63                ,9.62                    ,12.95   ,40.06                  ,-4.01          ,0.22                      ,-2191.42  , 
AHL   ,-0.38      ,52.25     ,125711   ,20.11    ,3.15B     ,3              ,+0.42                     ,26.85     ,53.30     ,-0.96,-74.07      ,20.00                  ,-2.91             ,32.92                  ,53.88                  ,Insurance                                   ,NYSE    ,ASPEN INSURANCE HOLDINGS ,Property & Casualty Insurance        ,0.88    ,52.50         ,52.25 ,500     ,325254       ,268091      ,38.65                   ,46.89                  ,No        ,52.45 ,52.65 ,52.30 ,98.00                 ,249598        ,257421     ,50.37                    ,48.83                 ,Yes               ,Financials            ,1.70          ,52.50     ,52.15 ,800     ,250252      ,37.87                     ,50.23                  ,17.00M         ,No                  ,D  ,***      ,--                 ,--             ,--                    ,100.00          ,--                     ,--              ,4                 ,3.00              ,203.40M   ,2.88B  ,203.40M ,59.95M            ,2.61    ,2.61      ,4.54      ,4.17        ,4.82      ,4.14      ,3.39      ,16.37                       ,7.07    ,1794.82           ,-0.25  ,-4.40                  ,-2.55                      ,-0.26                  ,-5.50                   ,+14.29               ,+107.26              ,+18.69               ,+0.65     ,52.65        ,57.55    ,5.15                   ,51.20     ,43.27    ,80.00                   ,2.24                         ,-0.48   ,-0.05,-3.10                  ,-0.01                 ,-1.83                  ,-0.49                    ,-4.17                ,+39.71               ,+10.44               ,+7.12             ,4               ,53.15     ,57.80   ,52.00       ,51.20   ,-8.88                ,0.40           ,-0.20    ,-0.10,+0.22                   ,-1.38                    ,-3.37                    ,-3.06                 ,+13.39               ,+45.70               ,+22.98               ,+1.76             ,57.55      ,57.80     ,51.20    ,51.20  ,0.50         ,19.00            ,-0.10         ,0.86              ,--                   ,20.11                    ,1.14            ,18.21        ,12.58                ,1.09     ,52.80     ,55.46     ,53.41      ,53.67     ,53.66      ,29.09                ,46.01     ,31.56                   ,25.93,56.37               ,-5.05                     ,-2.80          ,55.51     ,50.27      ,53.42     ,54.48     ,53.20      ,39.40     ,46.65                ,45.06         ,30.45,-0.81      ,-4.20          ,-2.50                     ,53.88     ,54.31      ,54.42     ,40.35                ,11.95                   ,26.36   ,51.38                  ,-4.20          ,-3.90                     ,-112.10   , 
RAD   ,-1.96      ,4.3924    ,7439652  ,56.37    ,4.72B     ,18             ,-0.72                     ,26.93     ,4.70      ,-0.35,-98.39      ,7.29                   ,-25.83            ,39.60                  ,4.75                   ,Food & Staples Retailing                    ,NYSE    ,RITE AID CORP            ,Drug Retail                          ,--      ,4.48          ,4.39  ,43000   ,10275721     ,21077614    ,72.40                   ,35.30                  ,No        ,4.48  ,4.55  ,4.40  ,62.51                 ,23095889      ,25932107   ,32.21                    ,28.69                 ,No                ,Consumer Staples      ,--            ,4.48      ,4.38  ,26700   ,22029546    ,62.84                     ,33.77                  ,46.66M         ,No                  ,NR ,****     ,B-                 ,33.33          ,11.11                 ,55.56           ,--                     ,--              ,9                 ,2.22              ,165.46M   ,30.74B ,165.46M ,1.05B             ,0.08    ,0.16      ,2.08      ,0.06        ,0.23      ,0.12      ,-0.43     ,2.75                        ,0.54    ,435.49            ,-0.0876,-1.6076                ,-5.67                      ,-2.4302                ,-26.32                  ,-44.34               ,+155.31              ,-22.08               ,+1.86     ,4.59         ,6.02     ,4.22                   ,4.38      ,4.39     ,92.71                   ,6.22                         ,-1.96   ,0.00 ,-3.8376                ,-0.03                 ,-0.4418                ,-35.17                   ,-45.63               ,-29.91               ,-24.62               ,+15.84            ,6               ,4.65      ,8.77    ,4.47        ,4.38    ,0.01                 ,0.1576         ,-0.0876  ,0.00 ,-0.0325                 ,-0.2691                  ,-8.98                    ,-1.6002               ,-43.37               ,+139.27              ,-20.32               ,+0.78             ,5.92       ,8.77      ,4.46     ,4.38   ,0.17         ,1.00             ,-0.0124       ,2.42              ,--                   ,28.00                    ,--              ,1198.31      ,70.73                ,0.15     ,4.56      ,5.52      ,6.79       ,4.82      ,6.26       ,29.59                ,34.34     ,33.14                   ,1.61 ,5.29                ,-1.44                     ,-3.79          ,6.02      ,7.08       ,4.67      ,5.55      ,6.43       ,30.87     ,34.85                ,41.61         ,11.36,-0.37      ,-0.88          ,-3.76                     ,4.75      ,6.76       ,5.74      ,31.64                ,13.66                   ,17.96   ,4.21                   ,-1.38          ,-1.14                     ,-67596.76 , 
AEG   ,+0.10      ,5.175     ,1328046  ,31.62    ,10.66B    ,6              ,-1.09                     ,27.04     ,5.43      ,-0.08,-88.67      ,70.14                  ,8.18              ,18.56                  ,5.56                   ,Insurance                                   ,NYSE    ,AEGON NV                 ,Life & Health Insurance              ,0.29    ,5.16          ,5.17  ,22500   ,1981269      ,1980712     ,67.03                   ,67.05                  ,No        ,5.17  ,5.1899,5.18  ,45.16                 ,1872164       ,1832643    ,70.94                    ,72.47                 ,No                ,Financials            ,5.50          ,5.16      ,5.14  ,49800   ,1836912     ,91.35                     ,72.30                  ,10.44M         ,No                  ,-- ,***      ,--                 ,--             ,--                    ,100.00          ,--                     ,--              ,2                 ,3.00              ,483.63M   ,55.10B ,483.63M ,2.07B             ,0.16    ,0.16      ,-0.30     ,--          ,0.32      ,0.41      ,0.82      ,47.40                       ,0.97    ,1875.31           ,+0.015 ,-0.305                 ,-7.21                      ,+0.0741                ,-6.60                   ,-29.67               ,+16.67               ,+7.67                ,+1.49     ,5.17         ,5.84     ,0.9001                 ,5.09      ,3.36     ,29.86                   ,6.94                         ,+0.29   ,+0.01,-0.415                 ,-0.07                 ,-0.4005                ,+1.46                    ,-6.69                ,-31.76               ,+4.71                ,+1.81             ,3               ,5.58      ,5.84    ,5.09        ,5.09    ,-1.78                ,0.0149         ,+0.005   ,+0.19,-0.057                  ,-0.4008                  ,-7.20                    ,-0.3645               ,+1.93                ,+2.72                ,+30.56               ,+0.11             ,5.84       ,6.09      ,5.09     ,5.09   ,0.0499       ,21.00            ,-0.035        ,1.36              ,--                   ,31.62                    ,0.42            ,49.72        ,--                   ,0.19     ,5.43      ,5.52      ,5.21       ,5.46      ,5.31       ,25.38                ,48.05     ,39.26                   ,11.33,5.98                ,-0.32                     ,-0.47          ,5.52      ,4.73       ,5.53      ,5.47      ,5.25       ,43.36     ,47.83                ,24.48         ,10.37,-0.02      ,-0.38          ,-0.37                     ,5.56      ,5.41       ,5.45      ,42.95                ,23.82                   ,9.37    ,5.14                   ,-0.30          ,-0.32                     ,1863.87   , 
