Symbol,% Chg(Open),Last Trade,Volume   ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                              ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                    ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
FRAN  ,-5.42      ,15.52     ,519557   ,15.09    ,617.55M   ,91             ,+2.52                     ,37.82     ,16.12     ,-0.32,-76.57      ,10.06                  ,8.14              ,19.93                  ,16.10                  ,Specialty Retail                              ,NASDAQ  ,FRANCESCAS HOLDINGS CORP ,Apparel Retail                            ,--      ,16.45         ,15.52 ,600     ,772812       ,900247      ,67.23                   ,57.71                  ,No        ,16.41 ,16.50 ,15.53 ,98.85                 ,962573        ,882143     ,53.98                    ,58.90                 ,No                ,Consumer Discretionary    ,--            ,16.45     ,15.41 ,200     ,945028      ,63.86                     ,54.98                  ,12.46M         ,Yes                 ,C  ,--       ,--                 ,10.00          ,--                    ,80.00           ,10.00                  ,--              ,10                ,2.90              ,42.00M    ,487.19M,42.00M  ,37.54M            ,1.09    ,1.09      ,0.91      ,1.15        ,0.76      ,1.02      ,1.05      ,9.83                        ,8.62    ,121.98            ,-0.93 ,-1.52                  ,+2.17                      ,-0.74                  ,-4.86                   ,-5.29                ,-50.88               ,+62.86               ,+0.75     ,16.47        ,17.35    ,5.89                   ,14.96     ,9.75     ,89.94                   ,3.21                         ,-5.65   ,-0.04,-2.71                  ,-0.03                 ,+0.23                  ,-4.31                    ,-8.76                ,-22.57               ,+6.20                ,+34.58            ,6               ,16.50     ,19.50   ,15.99       ,14.96   ,-5.66                ,0.98           ,-0.89    ,-0.24,+0.40                   ,+0.35                    ,+1.44                    ,-0.84                 ,-16.54               ,-46.04               ,+24.32               ,+21.92            ,17.35      ,22.39     ,15.45    ,14.96  ,1.09         ,8.00             ,-0.11         ,0.65              ,--                   ,15.09                    ,5.30            ,--           ,14.30                ,1.27     ,15.92     ,17.03     ,17.35      ,16.23     ,16.91      ,53.68                ,45.89     ,24.12                   ,23.43,16.77               ,-0.49                     ,-2.76          ,17.23     ,15.76      ,16.02     ,16.81     ,16.82      ,42.97     ,48.50                ,20.37         ,47.28,-0.38      ,-2.15          ,-1.60                     ,16.10     ,17.61      ,16.90     ,47.32                ,15.96                   ,49.93   ,15.43                  ,-1.08          ,-0.87                     ,1300.40   , 
TPIC  ,-4.85      ,19.03     ,149902   ,38.30    ,617.05M   ,2              ,+2.66                     ,69.75     ,17.47     ,0.02 ,-23.60      ,36.81                  ,-11.02            ,15.52                  ,17.11                  ,Electrical Equipment                          ,NASDAQ  ,TPI COMPOSITES INC       ,Heavy Electrical Equipment                ,--      ,18.29         ,19.00 ,200     ,269096       ,165545      ,55.71                   ,90.55                  ,No        ,20.00 ,20.00 ,19.04 ,35.79                 ,126154        ,107393     ,118.82                   ,139.58                ,No                ,Industrials               ,--            ,18.29     ,18.47 ,200     ,124194      ,32.02                     ,120.70                 ,4.78M          ,No                  ,D  ,--       ,--                 ,33.33          ,66.67                 ,--              ,--                     ,--              ,6                 ,1.67              ,13.84M    ,754.88M,13.84M  ,33.74M            ,0.48    ,0.48      ,-0.41     ,0.64        ,-4.86     ,-3.04     ,-4.91     ,--                          ,1.83    ,112.67            ,+0.74 ,+1.14                  ,+6.90                      ,+1.02                  ,+2.46                   ,0.00                 ,0.00                 ,0.00                 ,0.00      ,18.94        ,19.30    ,3.30                   ,15.89     ,11.31    ,63.19                   ,-10.14                       ,+4.05   ,+1.71,+2.82                  ,+0.16                 ,+1.19                  ,+5.89                    ,+14.03               ,0.00                 ,+15.03               ,-32.69            ,0               ,18.94     ,20.99   ,18.14       ,15.89   ,-7.16                ,0.97           ,-0.97    ,+9.35,+0.47                   ,+1.18                    ,+6.98                    ,+0.44                 ,0.00                 ,0.00                 ,-12.27               ,+3.61             ,19.30      ,23.30     ,15.89    ,15.31  ,1.54         ,62.00            ,-0.57         ,1.64              ,--                   ,38.30                    ,6.07            ,84.27        ,28.75                ,0.82     ,17.18     ,18.09     ,16.84      ,17.47     ,--         ,63.63                ,--        ,14.65                   ,76.40,18.59               ,0.53                      ,3.20           ,17.95     ,--         ,17.10     ,--        ,--         ,--        ,50.00                ,44.03         ,79.06,-0.26      ,0.24           ,2.87                      ,17.11     ,16.79      ,--        ,50.00                ,37.71                   ,71.69   ,15.63                  ,1.67           ,-0.80                     ,-251.87   , 
IIVI  ,-4.55      ,35.65     ,1087648  ,34.22    ,2.34B     ,51             ,-2.02                     ,43.88     ,36.86     ,0.46 ,-57.58      ,26.09                  ,15.97             ,21.86                  ,36.05                  ,Electronic Equipment Instruments & Components ,NGM/NGS ,II-VI INC                ,Electronic Components                     ,--      ,37.35         ,35.65 ,300     ,1006173      ,529093      ,108.10                  ,205.57                 ,No        ,37.35 ,37.35 ,35.70 ,80.07                 ,902673        ,648892     ,120.49                   ,167.62                ,No                ,Information Technology    ,--            ,37.35     ,35.05 ,500     ,864474      ,129.76                    ,125.82                 ,38.89M         ,Yes                 ,C  ,--       ,B                  ,66.67          ,33.33                 ,--              ,--                     ,--              ,3                 ,1.33              ,65.49M    ,827.22M,65.49M  ,62.56M            ,1.09    ,1.04      ,1.05      ,1.29        ,0.60      ,0.79      ,0.93      ,20.00                       ,7.92    ,92.66             ,-1.70 ,-0.45                  ,+3.60                      ,+6.02                  ,+5.83                   ,+107.65              ,+60.61               ,+74.68               ,+0.16     ,38.95        ,39.79    ,3.75                   ,32.60     ,17.76    ,73.91                   ,1.62                         ,-4.55   ,0.00 ,+5.70                  ,-0.06                 ,+1.31                  ,+19.22                   ,+25.97               ,+150.99              ,+17.88               ,+8.84             ,0               ,39.79     ,41.10   ,37.35       ,32.60   ,-17.29               ,1.70           ,-1.70    ,0.00 ,-0.77                   ,+1.30                    ,+3.63                    ,+2.06                 ,+82.25               ,+127.68              ,+68.00               ,+5.95             ,39.79      ,41.10     ,37.00    ,29.10  ,2.30         ,96.00            ,-0.60         ,1.47              ,--                   ,35.91                    ,5.46            ,27.60        ,28.95                ,2.82     ,37.34     ,36.61     ,32.14      ,36.70     ,33.26      ,53.12                ,53.75     ,27.89                   ,42.42,39.62               ,1.81                      ,5.60           ,35.48     ,27.73      ,36.23     ,35.64     ,32.38      ,51.00     ,56.79                ,6.05          ,63.98,0.32       ,-0.50          ,7.85                      ,36.05     ,33.29      ,35.18     ,55.26                ,24.71                   ,79.49   ,32.49                  ,0.05           ,1.00                      ,2494.84   , 
FNSR  ,-3.61      ,27.12     ,3666105  ,23.99    ,3.14B     ,118            ,+0.11                     ,35.97     ,28.49     ,-1.12,-56.36      ,10.87                  ,-9.07             ,27.70                  ,28.89                  ,Communications Equipment                      ,NCM     ,FINISAR CORP             ,Communications Equipment                  ,--      ,28.18         ,27.11 ,1500    ,3185186      ,2867049     ,115.10                  ,127.87                 ,No        ,28.13 ,28.14 ,27.12 ,96.57                 ,5711994       ,3851554    ,64.18                    ,95.19                 ,No                ,Information Technology    ,--            ,28.18     ,26.99 ,2200    ,5373467     ,182.12                    ,68.23                  ,90.36M         ,No                  ,C  ,--       ,B                  ,75.00          ,16.67                 ,8.33            ,--                     ,--              ,12                ,1.33              ,35.19M    ,1.26B  ,35.19M  ,111.39M           ,1.17    ,0.32      ,0.11      ,2.07        ,1.09      ,-0.06     ,0.46      ,15.00                       ,2.79    ,94.27             ,-1.06 ,-6.84                  ,-2.46                      ,-2.44                  ,-8.15                   ,+26.21               ,+50.69               ,+99.05               ,+1.36     ,28.40        ,35.25    ,8.71                   ,25.61     ,15.21    ,89.13                   ,1.28                         ,-3.78   ,-0.05,-3.40                  ,-0.04                 ,-1.50                  ,-7.97                    ,-6.90                ,+4.23                ,+0.75                ,+10.41            ,1               ,29.07     ,36.40   ,27.93       ,25.61   ,-11.78               ,1.03           ,-1.02    ,-0.18,+0.03                   ,-0.71                    ,-5.05                    ,-2.50                 ,+53.05               ,+111.01              ,+58.07               ,+6.63             ,35.25      ,36.85     ,27.67    ,25.61  ,1.15         ,14.00            ,-0.13         ,1.03              ,--                   ,88.06                    ,2.92            ,19.78        ,13.61                ,2.48     ,27.87     ,30.96     ,30.68      ,28.92     ,29.83      ,42.63                ,45.84     ,33.41                   ,43.64,34.91               ,-5.24                     ,-2.45          ,30.66     ,27.15      ,27.46     ,30.15     ,29.39      ,42.48     ,47.34                ,33.32         ,60.01,-1.17      ,-2.72          ,-1.16                     ,28.89     ,31.04      ,30.23     ,44.69                ,16.71                   ,53.04   ,22.87                  ,-7.35          ,-1.47                     ,-5416.25  , 
URBN  ,-3.07      ,23.65     ,3269586  ,13.15    ,2.84B     ,105            ,+2.73                     ,43.99     ,23.90     ,-0.64,-39.62      ,4.21                   ,-0.43             ,40.64                  ,23.95                  ,Specialty Retail                              ,NGM/NGS ,URBAN OUTFITTERS INC     ,Apparel Retail                            ,--      ,24.46         ,23.61 ,2500    ,3218222      ,2898780     ,101.60                  ,112.79                 ,No        ,24.40 ,24.56 ,23.62 ,74.01                 ,4883804       ,3219248    ,66.95                    ,101.56                ,Yes               ,Consumer Discretionary    ,--            ,24.46     ,23.61 ,1100    ,4787163     ,73.86                     ,68.30                  ,76.58M         ,No                  ,C  ,***      ,B+                 ,28.13          ,3.13                  ,62.50           ,3.13                   ,3.13            ,32                ,2.50              ,218.12M   ,3.55B  ,218.12M ,116.23M           ,1.86    ,1.86      ,1.78      ,1.76        ,1.68      ,1.89      ,1.62      ,9.83                        ,6.15    ,--                ,-0.81 ,-2.47                  ,+2.14                      ,-5.76                  ,-5.76                   ,-50.32               ,-21.89               ,-8.76                ,+0.60     ,24.65        ,27.06    ,16.24                  ,22.05     ,22.06    ,95.79                   ,-0.44                        ,-3.31   ,-0.06,-5.17                  ,+0.03                 ,+0.20                  ,-19.05                   ,-14.12               ,-37.15               ,-17.63               ,+17.80            ,3               ,24.65     ,29.54   ,24.11       ,22.05   ,-1.55                ,0.91           ,-0.75    ,-0.25,+0.65                   ,+0.51                    ,+0.81                    ,-1.49                 ,-29.26               ,-40.80               ,-27.39               ,+11.68            ,26.97      ,40.80     ,22.53    ,22.05  ,0.95         ,6.00             ,-0.04         ,0.56              ,--                   ,13.15                    ,2.17            ,--           ,13.88                ,0.80     ,23.35     ,25.56     ,29.60      ,24.13     ,27.58      ,54.81                ,41.59     ,28.13                   ,60.38,25.71               ,-2.47                     ,-5.47          ,25.82     ,30.59      ,23.55     ,25.63     ,28.07      ,40.69     ,43.11                ,20.30         ,70.22,-0.81      ,-2.61          ,-4.12                     ,23.95     ,28.71      ,26.11     ,43.38                ,18.64                   ,61.29   ,22.19                  ,-2.44          ,-1.77                     ,-269.90   , 
MOMO  ,-2.87      ,34.17     ,9023148  ,49.33    ,6.91B     ,109            ,+3.38                     ,58.65     ,33.20     ,1.92 ,-38.71      ,33.68                  ,13.51             ,36.95                  ,32.89                  ,Internet Software & Services                  ,NASDAQ  ,MOMO INC  -ADR           ,Internet Software & Services              ,--      ,35.52         ,34.14 ,300     ,4193003      ,3166972     ,215.20                  ,284.91                 ,No        ,35.18 ,35.25 ,34.17 ,22.79                 ,7260448       ,3576835    ,124.28                   ,252.27                ,No                ,Information Technology    ,--            ,35.52     ,33.62 ,300     ,6777802     ,127.71                    ,133.13                 ,144.50M        ,No                  ,-- ,--       ,--                 ,54.55          ,36.36                 ,9.09            ,--                     ,--              ,11                ,1.55              ,145.25M   ,553.10M,145.25M ,194.47M           ,0.72    ,0.72      ,0.06      ,1.37        ,-1.95     ,-0.52     ,-0.24     ,41.57                       ,26.26   ,--                ,-1.35 ,+7.17                  ,+7.99                      ,+11.31                 ,+33.76                  ,+219.25              ,0.00                 ,+108.45              ,+1.91     ,36.18        ,36.18    ,0.93                   ,26.10     ,8.88     ,66.32                   ,-1.23                        ,-3.80   ,-0.34,+15.47                 ,+0.03                 ,+3.49                  ,+46.73                   ,+93.25               ,0.00                 ,+23.76               ,+26.35            ,4               ,36.18     ,36.18   ,34.04       ,26.10   ,-24.74               ,1.08           ,-1.01    ,-0.96,+1.16                   ,+2.63                    ,+10.89                   ,+8.96                 ,+173.65              ,0.00                 ,+10.95               ,+22.14            ,36.18      ,36.18     ,32.36    ,18.23  ,1.63         ,100.00           ,-0.55         ,2.11              ,--                   ,49.33                    ,10.89           ,--           ,25.95                ,12.49    ,33.76     ,28.03     ,24.38      ,32.50     ,25.98      ,68.48                ,61.01     ,15.25                   ,61.29,37.11               ,8.91                      ,14.91          ,26.94     ,21.49      ,33.75     ,29.04     ,25.14      ,61.97     ,63.34                ,31.92         ,72.89,2.06       ,10.99          ,17.22                     ,32.89     ,24.33      ,28.24     ,65.56                ,29.54                   ,73.00   ,28.67                  ,7.27           ,12.75                     ,10777.80  , 
OCLR  ,-2.53      ,9.825     ,8880540  ,30.47    ,1.69B     ,59             ,+0.97                     ,54.05     ,9.70      ,0.18 ,-28.66      ,38.04                  ,7.18              ,14.42                  ,9.42                   ,Communications Equipment                      ,NASDAQ  ,OCLARO INC               ,Communications Equipment                  ,--      ,10.13         ,9.82  ,3800    ,10763584     ,7227112     ,82.51                   ,122.88                 ,No        ,10.08 ,10.11 ,9.83  ,69.05                 ,11143441      ,9629572    ,79.69                    ,92.22                 ,No                ,Information Technology    ,--            ,10.12     ,9.65  ,3700    ,11033406    ,140.17                    ,80.49                  ,108.51M        ,No                  ,C  ,--       ,B-                 ,80.00          ,10.00                 ,10.00           ,--                     ,--              ,10                ,1.30              ,8.58M     ,407.91M,8.58M   ,166.59M           ,0.33    ,0.08      ,-0.53     ,0.74        ,0.18      ,-1.40     ,-1.32     ,17.50                       ,2.10    ,241.51            ,-0.295,+1.135                 ,+7.40                      ,+1.1268                ,+7.85                   ,+423.83              ,+123.18              ,+69.66               ,+1.70     ,10.34        ,10.55    ,1.19                   ,8.02      ,4.25     ,61.96                   ,-3.26                        ,-2.92   ,-0.04,+1.015                 ,-0.03                 ,+0.76                  ,+12.53                   ,+13.13               ,+238.13              ,-4.92                ,+16.28            ,2               ,10.55     ,11.30   ,10.07       ,8.02    ,-5.40                ,0.285          ,-0.255   ,-0.40,+0.097                  ,+0.6973                  ,+8.12                    ,+0.7367               ,+90.40               ,+660.15              ,+7.87                ,+10.28            ,10.55      ,11.30     ,9.52     ,8.02   ,0.46         ,67.00            ,-0.175        ,1.31              ,--                   ,130.52                   ,6.89            ,38.51        ,13.63                ,4.13     ,9.86      ,9.61      ,9.01       ,9.64      ,9.09       ,61.46                ,52.89     ,22.61                   ,71.34,10.58               ,1.24                      ,1.39           ,9.42      ,8.13       ,9.50      ,9.45      ,8.91       ,52.78     ,54.13                ,11.60         ,79.91,0.09       ,0.22           ,1.70                      ,9.42      ,9.22       ,9.39      ,54.81                ,28.54                   ,84.62   ,8.26                   ,0.23           ,0.68                      ,11592.67  , 
BNCL  ,-2.44      ,16.00     ,138374   ,48.38    ,1.25B     ,11             ,+1.29                     ,41.39     ,16.25     ,-0.13,-65.22      ,11.11                  ,31.48             ,22.71                  ,16.25                  ,Thrifts & Mortgage Finance                    ,NASDAQ  ,BENEFICIAL BANCORP INC   ,Thrifts & Mortgage Finance                ,0.24    ,16.45         ,16.00 ,700     ,209554       ,269934      ,66.03                   ,51.26                  ,No        ,16.40 ,16.40 ,16.05 ,76.95                 ,279159        ,273584     ,49.57                    ,50.58                 ,No                ,Financials                ,1.50          ,16.45     ,15.95 ,1800    ,284396      ,35.18                     ,48.66                  ,3.41M          ,No                  ,D  ,--       ,B+                 ,50.00          ,--                    ,50.00           ,--                     ,--              ,2                 ,2.00              ,25.47M    ,201.60M,25.47M  ,76.2M             ,0.34    ,0.34      ,0.29      ,0.46        ,0.22      ,0.15      ,0.16      ,--                          ,14.29   ,226.19            ,-0.45 ,-0.50                  ,+1.21                      ,-0.07                  ,-2.88                   ,+47.27               ,+96.93               ,+19.82               ,+0.46     ,16.52        ,16.85    ,2.60                   ,15.60     ,12.34    ,88.89                   ,1.51                         ,-2.74   ,-0.05,-2.39                  ,-0.01                 ,+0.16                  ,-0.42                    ,-10.27               ,+35.90               ,-5.98                ,+2.39             ,0               ,16.52     ,18.80   ,16.20       ,15.60   ,-3.61                ,0.40           ,-0.40    ,-0.30,+0.21                   ,+0.20                    ,+0.99                    ,-0.49                 ,+22.17               ,+76.28               ,+8.93                ,+0.48             ,16.75      ,19.00     ,15.80    ,15.60  ,0.45         ,10.00            ,-0.05         ,2.07              ,--                   ,48.38                    ,1.43            ,--           ,35.76                ,6.22     ,16.18     ,16.66     ,16.71      ,16.30     ,16.53      ,54.50                ,46.90     ,23.31                   ,34.78,16.65               ,0.25                      ,-2.55          ,16.87     ,15.64      ,16.24     ,16.59     ,16.42      ,44.20     ,49.42                ,28.35         ,53.62,-0.16      ,-0.64          ,-1.85                     ,16.25     ,17.13      ,16.62     ,48.11                ,13.02                   ,57.00   ,15.85                  ,-0.47          ,-0.60                     ,1403.54   , 
AMPH  ,-1.97      ,14.46     ,156544   ,66.95    ,676.25M   ,20             ,+1.20                     ,51.16     ,14.32     ,-0.28,-15.14      ,29.41                  ,3.87              ,22.21                  ,14.15                  ,Pharmaceuticals                               ,NSC     ,AMPHASTAR PHARMACEUTICLS ,Pharmaceuticals                           ,--      ,14.73         ,14.45 ,100     ,387838       ,460830      ,40.36                   ,33.97                  ,No        ,14.75 ,14.82 ,14.48 ,50.43                 ,450480        ,407799     ,34.75                    ,38.39                 ,No                ,Health Care               ,--            ,14.73     ,14.31 ,300     ,437570      ,27.87                     ,35.78                  ,5.62M          ,Yes                 ,C  ,--       ,--                 ,33.33          ,50.00                 ,16.67           ,--                     ,--              ,6                 ,1.83              ,10.53M    ,255.16M,10.53M  ,45.91M            ,0.22    ,0.22      ,-0.06     ,0.43        ,-0.25     ,0.31      ,0.46      ,25.00                       ,4.13    ,165.58            ,-0.27 ,-1.21                  ,+4.09                      ,-3.02                  ,-6.44                   ,-10.24               ,0.00                 ,-1.65                ,+1.62     ,14.89        ,15.82    ,6.93                   ,12.05     ,11.37    ,70.59                   ,-3.60                        ,-1.83   ,+0.02,-4.15                  ,+0.05                 ,+0.45                  ,-17.03                   ,-20.03               ,0.00                 ,-23.68               ,+3.37             ,4               ,14.89     ,19.64   ,14.58       ,12.05   ,-2.94                ,0.36           ,-0.29    ,+0.14,+0.17                   ,+0.58                    ,+3.12                    ,-1.01                 ,+15.05               ,0.00                 ,-18.58               ,+2.58             ,15.54      ,21.75     ,13.54    ,12.05  ,0.51         ,2.00             ,-0.15         ,2.87              ,--                   ,66.95                    ,2.45            ,9.83         ,34.42                ,2.65     ,14.16     ,15.25     ,17.52      ,14.41     ,16.35      ,55.49                ,45.27     ,24.24                   ,84.86,15.54               ,-0.41                     ,-4.93          ,15.62     ,17.67      ,13.94     ,15.34     ,16.53      ,45.17     ,45.88                ,10.87         ,89.88,-0.47      ,-1.38          ,-3.77                     ,14.15     ,17.37      ,15.62     ,46.20                ,19.49                   ,87.57   ,12.76                  ,-0.57          ,-1.29                     ,283.44    , 
ARLP  ,-1.92      ,21.73     ,219674   ,6.56     ,1.66B     ,11             ,+3.42                     ,47.94     ,21.77     ,-0.35,-42.16      ,2.63                   ,5.30              ,22.74                  ,21.76                  ,Oil Gas & Consumable Fuels                    ,NGM/NGS ,ALLIANCE RESOURCE PTNRS  ,Coal & Consumable Fuels                   ,1.75    ,22.20         ,21.70 ,400     ,366567       ,346255      ,59.93                   ,63.44                  ,No        ,22.15 ,22.65 ,21.75 ,24.69                 ,289465        ,327971     ,75.89                    ,66.98                 ,No                ,Energy                    ,7.90          ,22.20     ,21.70 ,4000    ,301338      ,64.52                     ,72.90                  ,7.80M          ,No                  ,NC ,--       ,--                 ,33.33          ,33.33                 ,33.33           ,--                     ,--              ,6                 ,2.00              ,339.54M   ,1.93B  ,339.54M ,74.6M             ,3.39    ,3.39      ,2.11      ,2.59        ,4.77      ,3.63      ,3.06      ,-12.00                      ,13.38   ,581.06            ,-0.48 ,-1.42                  ,+2.03                      ,-0.84                  ,-2.49                   ,-21.98               ,-5.13                ,+65.54               ,+0.66     ,22.80        ,23.60    ,4.00                   ,20.25     ,11.00    ,97.37                   ,0.06                         ,-2.14   ,-0.05,-0.92                  ,+0.03                 ,+0.29                  ,-3.66                    ,+0.75                ,-32.46               ,-1.77                ,+26.04            ,9               ,22.80     ,25.55   ,21.50       ,20.25   ,-10.70               ,0.93           ,-0.42    ,-0.23,+0.74                   ,+0.44                    ,+1.33                    ,-0.57                 ,+96.76               ,-6.97                ,+16.31               ,+14.91            ,22.95      ,26.65     ,20.25    ,20.25  ,0.95         ,15.00            ,-0.03         ,0.28              ,--                   ,6.56                     ,1.35            ,44.35        ,8.58                 ,0.86     ,21.56     ,22.78     ,23.15      ,21.90     ,22.45      ,54.35                ,48.27     ,20.77                   ,57.84,22.66               ,-0.20                     ,-0.93          ,22.75     ,21.57      ,21.74     ,22.44     ,22.28      ,46.69     ,49.36                ,1.93          ,65.18,-0.41      ,-2.08          ,-0.60                     ,21.76     ,23.10      ,22.52     ,48.57                ,21.59                   ,51.77   ,20.86                  ,-0.93          ,-1.60                     ,211.94    , 
