Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                        ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                    ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap   ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap ,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
LAD   ,-3.68      ,84.55     ,211605    ,11.36    ,2.10B     ,70             ,+1.27                     ,25.74     ,88.66     ,-3.02,-89.56      ,7.32                   ,-9.37             ,46.52                  ,90.13                  ,Specialty Retail                              ,NYSE    ,LITHIA MOTORS INC  -CL A ,Automotive Retail                   ,1.00    ,87.71         ,84.54 ,100     ,211302       ,280795      ,100.14                  ,75.36                  ,No        ,87.78 ,88.22 ,84.65 ,93.01                 ,228265        ,243864     ,92.70                    ,86.77                 ,No                ,Consumer Discretionary    ,1.10          ,87.71     ,84.26 ,200     ,232435      ,106.08                    ,91.04                  ,18.28M         ,Yes                 ,D  ,***      ,B+                 ,58.33          ,16.67                 ,25.00           ,--                     ,--              ,12                ,1.67              ,197.06M   ,8.68B  ,197.06M ,23.91M            ,7.72    ,7.72      ,6.91      ,8.28        ,5.26      ,4.05      ,3.07      ,16.87                       ,2.27    ,776.92            ,-3.16 ,-11.13                 ,-2.68                      ,-6.51                  ,-9.70                   ,-11.60               ,+250.64              ,+16.92               ,+1.64     ,88.27        ,97.63    ,17.10                  ,83.38     ,68.70    ,92.68                   ,4.94                         ,-3.60   ,+0.07 ,-13.84                 ,-0.01                 ,-3.49                  ,-6.91                    ,-9.18                ,+30.53               ,+4.10                ,+22.66            ,1               ,88.27     ,105.32  ,86.60       ,83.38   ,-15.56               ,3.67           ,-3.23    ,+0.08 ,+1.10                   ,-2.42                    ,-3.82                    ,-9.42                 ,-1.89                ,+92.85               ,+15.96               ,+5.58             ,96.91      ,105.32    ,83.38    ,83.38  ,3.96         ,11.00            ,-0.29         ,0.49              ,--                   ,11.36                    ,4.73            ,84.53        ,10.60                ,0.24     ,86.72     ,95.94     ,94.26      ,89.80     ,93.85      ,35.47                ,43.06     ,32.94                   ,10.44,97.42               ,-8.42                     ,-18.38         ,96.81     ,89.81      ,88.73     ,93.47     ,93.53      ,37.88     ,45.14                ,59.83         ,28.19,-2.85      ,-14.53         ,-10.37                    ,90.13     ,95.33      ,93.86     ,41.16                ,8.28                    ,30.93   ,82.83                  ,-11.80         ,-14.58                    ,-319.90   , 
AN    ,-3.41      ,41.97     ,984757    ,10.48    ,4.39B     ,140            ,+1.51                     ,29.97     ,43.47     ,-1.20,-89.95      ,16.00                  ,-7.22             ,43.23                  ,43.88                  ,Specialty Retail                              ,NYSE    ,AUTONATION INC           ,Automotive Retail                   ,--      ,43.49         ,41.95 ,200     ,824920       ,978207      ,119.38                  ,100.67                 ,Yes       ,43.45 ,43.55 ,41.98 ,66.20                 ,1002550       ,1025928    ,98.23                    ,95.99                 ,No                ,Consumer Discretionary    ,--            ,43.49     ,41.67 ,300     ,967620      ,177.22                    ,101.77                 ,35.28M         ,No                  ,D  ,****     ,B+                 ,5.26           ,10.53                 ,73.68           ,5.26                   ,5.26            ,19                ,2.95              ,430.50M   ,21.61B ,430.50M ,100.92M           ,4.15    ,4.15      ,3.89      ,4.02        ,3.52      ,3.04      ,2.51      ,10.94                       ,1.99    ,831.12            ,-1.52 ,-4.68                  ,-0.90                      ,-3.69                  ,-9.17                   ,-32.87               ,+19.64               ,-9.00                ,+1.02     ,43.77        ,47.20    ,10.61                  ,41.55     ,39.28    ,84.00                   ,3.57                         ,-3.50   ,-0.04 ,-7.20                  ,-0.01                 ,-0.81                  ,-7.81                    ,-10.61               ,-21.06               ,+2.78                ,+18.48            ,2               ,43.81     ,53.74   ,43.31       ,41.55   ,-2.39                ,1.58           ,-1.48    ,-0.09 ,+0.65                   ,-0.39                    ,-1.83                    ,-4.39                 ,-11.88               ,-3.01                ,-3.06                ,+4.39             ,46.35      ,54.15     ,41.55    ,41.55  ,1.88         ,9.00             ,-0.30         ,0.45              ,--                   ,10.48                    ,21.81           ,69.74        ,10.83                ,0.20     ,42.72     ,46.99     ,46.99      ,43.91     ,46.84      ,42.54                ,41.00     ,39.51                   ,10.05,46.43               ,-2.95                     ,-9.25          ,47.70     ,47.78      ,43.47     ,45.79     ,47.08      ,36.36     ,43.39                ,45.13         ,33.73,-1.25      ,-9.80          ,-5.79                     ,43.88     ,47.18      ,46.12     ,40.28                ,14.94                   ,36.23   ,41.34                  ,-3.85          ,-8.93                     ,-967.04   , 
CAL   ,-3.05      ,26.40     ,256165    ,17.89    ,1.17B     ,46             ,+1.12                     ,33.01     ,27.66     ,-1.02,-82.74      ,16.16                  ,24.40             ,22.23                  ,28.46                  ,Specialty Retail                              ,NYSE    ,CALERES INC              ,Apparel Retail                      ,0.28    ,27.19         ,26.37 ,100     ,386803       ,319714      ,66.23                   ,80.12                  ,No        ,27.23 ,27.23 ,26.39 ,88.57                 ,539589        ,331780     ,47.47                    ,77.21                 ,No                ,Consumer Discretionary    ,1.00          ,27.19     ,26.24 ,100     ,516984      ,62.25                     ,49.55                  ,10.40M         ,Yes                 ,C  ,--       ,B                  ,42.86          ,14.29                 ,42.86           ,--                     ,--              ,7                 ,2.00              ,66.09M    ,2.58B  ,66.09M  ,42.96M            ,1.52    ,1.52      ,1.85      ,2.17        ,1.89      ,0.88      ,0.64      ,11.00                       ,2.55    ,214.95            ,-0.79 ,-4.01                  ,-4.45                      ,-2.26                  ,-9.78                   ,-16.26               ,+200.13              ,+23.06               ,+0.48     ,27.34        ,32.83    ,9.38                   ,25.23     ,21.27    ,83.84                   ,5.63                         ,-2.91   ,+0.04 ,-6.75                  ,-0.01                 ,-1.58                  ,-7.66                    ,-16.95               ,+0.08                ,-8.58                ,+10.88            ,0               ,27.70     ,33.95   ,26.77       ,25.23   ,-4.97                ,0.83           ,-0.83    ,+0.15 ,+0.30                   ,-1.27                    ,-5.49                    ,-2.95                 ,+0.53                ,+66.51               ,+15.71               ,+4.76             ,32.83      ,36.61     ,26.05    ,25.23  ,0.99         ,5.00             ,-0.16         ,0.77              ,--                   ,17.89                    ,4.89            ,32.06        ,12.53                ,0.45     ,26.64     ,29.70     ,29.86      ,28.05     ,29.46      ,38.99                ,43.82     ,28.26                   ,17.26,32.38               ,-2.79                     ,-7.06          ,29.98     ,28.01      ,27.89     ,29.30     ,29.32      ,39.97     ,45.23                ,19.11         ,25.07,-0.91      ,-4.29          ,-5.42                     ,28.46     ,30.76      ,29.45     ,42.09                ,19.19                   ,25.94   ,24.54                  ,-3.93          ,-3.40                     ,2145.02   , 
I     ,-3.04      ,4.15      ,299886    ,0.51     ,504.00M   ,17             ,+0.85                     ,47.66     ,4.22      ,0.07 ,-61.97      ,12.50                  ,1.72              ,30.91                  ,4.13                   ,Diversified Telecommunication Services        ,NYSE    ,INTELSAT SA              ,Alternative Carriers                ,--      ,4.27          ,4.15  ,500     ,375914       ,507974      ,79.78                   ,59.04                  ,No        ,4.28  ,4.29  ,4.17  ,29.51                 ,536638        ,668720     ,55.88                    ,44.84                 ,No                ,Telecommunication Services,--            ,4.26      ,4.13  ,1000    ,758972      ,69.88                     ,39.51                  ,1.60M          ,No                  ,B  ,--       ,--                 ,--             ,12.50                 ,37.50           ,37.50                  ,12.50           ,8                 ,3.50              ,994.11M   ,--     ,994.11M ,118.03M           ,8.36    ,8.36      ,-36.69    ,-0.61       ,1.99      ,-2.70     ,-1.82     ,-10.58                      ,45.25   ,1902.65           ,-0.11 ,-0.90                  ,+3.12                      ,+0.9115                ,+13.25                  ,-61.84               ,0.00                 ,+54.18               ,+2.08     ,4.38         ,5.09     ,1.58                   ,3.57      ,2.12     ,87.50                   ,1.96                         ,-2.58   ,+0.02 ,+1.44                  ,-0.07                 ,+0.1459                ,+27.22                   ,+59.93               ,-75.07               ,+20.87               ,-24.00            ,1               ,4.48      ,5.87    ,4.14        ,3.40    ,-2.01                ,0.14           ,-0.13    ,+0.47 ,+0.036                  ,+0.129                   ,+3.55                    ,+0.4985               ,+86.19               ,0.00                 ,+84.44               ,+7.89             ,4.59       ,5.87      ,4.11     ,2.71   ,0.16         ,99.00            ,-0.02         ,0.02              ,--                   ,0.51                     ,--              ,-399.14      ,--                   ,--       ,4.28      ,3.96      ,3.41       ,4.20      ,3.66       ,52.22                ,53.32     ,15.86                   ,38.03,4.56                ,0.61                      ,1.05           ,3.79      ,3.12       ,4.23      ,3.97      ,3.60       ,52.81     ,54.13                ,24.14         ,43.66,0.09       ,0.54           ,1.41                      ,4.13      ,3.56       ,3.89      ,54.09                ,25.96                   ,49.06   ,3.70                   ,0.23           ,0.61                      ,105.84    , 
ABG   ,-2.91      ,60.15     ,101545    ,8.36     ,1.31B     ,38             ,+0.52                     ,34.65     ,61.79     ,-0.90,-78.57      ,10.64                  ,13.72             ,21.83                  ,61.80                  ,Specialty Retail                              ,NYSE    ,ASBURY AUTOMOTIVE GROUP I,Automotive Retail                   ,--      ,61.90         ,60.10 ,300     ,301055       ,248166      ,33.73                   ,40.92                  ,No        ,61.95 ,62.25 ,60.20 ,84.37                 ,287932        ,277031     ,35.27                    ,36.65                 ,No                ,Consumer Discretionary    ,--            ,61.90     ,59.90 ,200     ,276046      ,42.16                     ,36.79                  ,18.52M         ,Yes                 ,C  ,***      ,B                  ,30.77          ,7.69                  ,46.15           ,7.69                   ,7.69            ,13                ,2.54              ,167.20M   ,6.53B  ,167.20M ,21.15M            ,7.40    ,7.40      ,6.41      ,6.44        ,3.71      ,3.51      ,2.61      ,13.54                       ,2.56    ,826.30            ,-1.75 ,-5.85                  ,+0.16                      ,+1.68                  ,-3.50                   ,-26.16               ,+127.67              ,+16.13               ,+1.25     ,62.65        ,66.90    ,8.75                   ,59.25     ,47.50    ,89.36                   ,2.38                         ,-2.83   ,+0.05 ,-2.55                  ,-0.01                 ,-0.48                  ,+2.80                    ,+0.32                ,+9.44                ,+10.89               ,+56.28            ,1               ,63.05     ,71.00   ,61.10       ,59.25   ,-12.40               ,2.10           ,-1.80    ,+0.08 ,+0.32                   ,+0.10                    ,-0.76                    ,-2.25                 ,+1.40                ,+63.96               ,+21.28               ,+7.22             ,66.00      ,71.00     ,60.00    ,59.25  ,2.35         ,25.00            ,-0.25         ,0.36              ,--                   ,8.36                     ,12.77           ,326.81       ,9.61                 ,0.20     ,61.15     ,64.22     ,60.80      ,62.13     ,61.98      ,46.36                ,47.71     ,25.52                   ,21.43,63.89               ,-3.75                     ,-3.85          ,64.11     ,58.66      ,61.58     ,62.94     ,61.59      ,44.04     ,49.82                ,21.94         ,53.97,-0.95      ,-4.55          ,-0.60                     ,61.80     ,62.45      ,62.84     ,47.59                ,16.33                   ,62.19   ,59.71                  ,-5.15          ,-3.40                     ,500.75    , 
TPH   ,-2.68      ,12.53     ,2389820   ,10.63    ,2.05B     ,57             ,+0.81                     ,46.81     ,12.67     ,0.11 ,-77.52      ,25.00                  ,-0.18             ,21.77                  ,12.67                  ,Household Durables                            ,NYSE    ,TRI POINTE GROUP INC     ,Homebuilding                        ,--      ,12.86         ,12.52 ,1300    ,2060182      ,1869177     ,116.00                  ,127.85                 ,No        ,12.87 ,12.93 ,12.53 ,94.96                 ,2430195       ,1956756    ,98.34                    ,122.13                ,Yes               ,Consumer Discretionary    ,--            ,12.86     ,12.39 ,9800    ,2421218     ,119.49                    ,98.70                  ,26.29M         ,No                  ,D  ,--       ,--                 ,54.55          ,18.18                 ,18.18           ,--                     ,9.09            ,11                ,1.91              ,196.13M   ,2.41B  ,196.13M ,159.06M           ,1.21    ,1.21      ,1.27      ,1.28        ,0.58      ,-1.15     ,0.47      ,10.53                       ,8.11    ,2115.34           ,-0.34 ,+0.30                  ,+1.51                      ,+0.70                  ,+4.80                   ,-18.41               ,0.00                 ,+2.40                ,+1.68     ,12.99        ,13.37    ,1.27                   ,11.91     ,10.35    ,75.00                   ,1.49                         ,-2.60   ,+0.01 ,+0.86                  ,-0.01                 ,+0.25                  ,+5.79                    ,+12.02               ,0.00                 ,+2.75                ,+11.23            ,1               ,13.01     ,13.37   ,12.84       ,11.91   ,-2.04                ,0.41           ,-0.34    ,+0.08 ,+0.10                   ,+0.19                    ,+1.95                    ,+0.59                 ,+11.32               ,0.00                 ,-11.95               ,+5.85             ,13.37      ,14.20     ,12.35    ,11.31  ,0.54         ,56.00            ,-0.14         ,0.46              ,--                   ,10.63                    ,1.23            ,74.33        ,10.02                ,0.85     ,12.68     ,12.41     ,12.07      ,12.63     ,12.32      ,56.87                ,51.16     ,23.34                   ,22.48,13.15               ,0.77                      ,0.69           ,12.29     ,12.45      ,12.71     ,12.43     ,12.30      ,51.21     ,53.10                ,6.33          ,45.72,0.12       ,0.33           ,1.23                      ,12.67     ,12.10      ,12.39     ,54.48                ,26.49                   ,49.97   ,12.18                  ,0.26           ,0.56                      ,-68.69    , 
FMC   ,-2.62      ,69.75     ,11821840  ,39.51    ,8.23B     ,91             ,-2.66                     ,85.06     ,61.93     ,1.35 ,-17.92      ,14.23                  ,-20.44            ,19.41                  ,60.91                  ,Chemicals                                     ,NYSE    ,FMC CORP                 ,Fertilizers & Agricultural Chemicals,0.66    ,61.50         ,69.75 ,100     ,822985       ,1036217     ,1436.46                 ,1140.87                ,Yes       ,71.63 ,72.04 ,69.76 ,89.45                 ,1117523       ,1194679    ,1057.86                  ,989.54                ,No                ,Materials                 ,1.10          ,61.50     ,69.37 ,200     ,1166159     ,1842.56                   ,1013.74                ,50.56M         ,No                  ,C  ,****     ,B+                 ,19.05          ,14.29                 ,61.90           ,4.76                   ,--              ,21                ,2.52              ,211.70M   ,3.28B  ,211.70M ,133.83M           ,1.56    ,1.56      ,3.66      ,3.38        ,2.29      ,2.16      ,3.00      ,10.66                       ,6.37    ,556.34            ,+8.25 ,+11.36                 ,+0.98                      ,+5.96                  ,+3.42                   ,+6.65                ,+29.78               ,+22.56               ,+1.60     ,62.10        ,62.10    ,-9.20                  ,58.27     ,36.72    ,85.77                   ,-11.81                       ,+13.41  ,+10.13,+12.52                 ,+0.14                 ,+1.21                  ,+10.72                   ,+9.03                ,-19.04               ,+2.97                ,+11.07            ,23              ,62.10     ,62.84   ,61.25       ,58.27   ,-32.65               ,2.29           ,-1.88    ,+16.47,-1.68                   ,+0.59                    ,+2.01                    ,+2.03                 ,+52.94               ,+11.51               ,+23.53               ,+3.40             ,62.10      ,62.84     ,60.01    ,56.42  ,2.67         ,72.00            ,-0.38         ,1.69              ,--                   ,39.51                    ,23.36           ,91.66        ,18.17                ,2.51     ,62.08     ,59.91     ,56.46      ,61.43     ,57.63      ,59.39                ,67.34     ,8.99                    ,82.08,65.45               ,2.05                      ,11.54          ,59.70     ,52.85      ,61.51     ,59.84     ,56.79      ,72.07     ,57.47                ,69.72         ,79.21,0.76       ,9.27           ,4.47                      ,60.91     ,58.23      ,59.40     ,57.58                ,50.37                   ,82.22   ,56.36                  ,10.47          ,0.90                      ,-5254.42  , 
BEL   ,-2.24      ,12.03     ,205952    ,35.14    ,1.25B     ,15             ,+1.36                     ,39.78     ,12.20     ,-0.26,-53.57      ,36.84                  ,4.66              ,37.56                  ,12.11                  ,Hotels Restaurants & Leisure                  ,NYSE    ,BELMOND LTD              ,Hotels Resorts & Cruise Lines       ,--      ,12.30         ,12.00 ,800     ,235356       ,362716      ,87.51                   ,56.78                  ,No        ,12.30 ,12.33 ,12.05 ,77.87                 ,341201        ,305061     ,60.36                    ,67.51                 ,No                ,Consumer Discretionary    ,--            ,12.30     ,11.85 ,1500    ,367480      ,56.28                     ,56.04                  ,2.86M          ,Yes                 ,C  ,--       ,--                 ,--             ,33.33                 ,66.67           ,--                     ,--              ,6                 ,2.67              ,36.43M    ,549.82M,36.43M  ,101.81M           ,0.35    ,0.35      ,0.16      ,0.25        ,-0.02     ,-0.31     ,-0.07     ,1.00                        ,6.61    ,63.93             ,-0.28 ,-0.98                  ,+1.58                      ,-0.68                  ,-6.68                   ,-0.58                ,+17.10               ,+36.17               ,+1.11     ,12.40        ,13.05    ,2.13                   ,11.70     ,8.69     ,63.16                   ,0.53                         ,-2.24   ,0.00  ,-1.48                  ,0.00                  ,+0.13                  ,-5.21                    ,-7.87                ,-13.37               ,0.00                 ,+5.42             ,1               ,12.40     ,14.45   ,12.10       ,11.70   ,-3.16                ,0.30           ,-0.28    ,0.00  ,+0.17                   ,+0.19                    ,+1.03                    ,-0.88                 ,+29.99               ,+22.83               ,+15.94               ,+2.40             ,12.70      ,14.45     ,11.85    ,11.70  ,0.48         ,12.00            ,-0.18         ,1.51              ,--                   ,35.14                    ,2.24            ,85.44        ,48.95                ,2.28     ,12.09     ,13.11     ,13.03      ,12.30     ,12.80      ,49.72                ,44.73     ,24.17                   ,46.43,12.43               ,-0.15                     ,-1.43          ,13.15     ,12.31      ,12.09     ,12.75     ,12.71      ,41.11     ,46.43                ,31.00         ,65.48,-0.33      ,-1.88          ,-1.10                     ,12.11     ,13.16      ,12.81     ,43.77                ,12.73                   ,64.78   ,11.79                  ,-0.38          ,-1.80                     ,219.85    , 
KMX   ,-2.14      ,58.52     ,1820319   ,19.03    ,11.24B    ,149            ,+1.02                     ,27.26     ,60.79     ,-1.62,-88.80      ,21.31                  ,-0.94             ,43.41                  ,61.65                  ,Specialty Retail                              ,NYSE    ,CARMAX INC               ,Automotive Retail                   ,--      ,60.06         ,58.50 ,200     ,1993588      ,2187701     ,91.31                   ,83.21                  ,Yes       ,59.80 ,59.96 ,58.52 ,94.64                 ,2142357       ,2058380    ,84.97                    ,88.43                 ,No                ,Consumer Discretionary    ,--            ,60.06     ,58.13 ,200     ,2327533     ,134.34                    ,78.21                  ,118.75M        ,No                  ,D  ,***      ,B+                 ,40.00          ,15.00                 ,30.00           ,5.00                   ,10.00           ,20                ,2.30              ,623.43M   ,15.83B ,623.43M ,187.12M           ,3.16    ,3.03      ,2.73      ,3.28        ,2.16      ,1.87      ,1.79      ,13.31                       ,3.94    ,705.90            ,-1.54 ,-6.99                  ,-2.58                      ,-0.03                  ,-7.68                   ,-11.44               ,+74.52               ,+20.28               ,+1.32     ,60.73        ,66.44    ,9.15                   ,57.83     ,45.06    ,78.69                   ,3.98                         ,-2.56   ,-0.26 ,-6.51                  ,-0.02                 ,-2.19                  ,-0.05                    ,-6.72                ,+25.42               ,+11.68               ,+20.77            ,8               ,60.73     ,69.11   ,59.92       ,57.83   ,-13.07               ,1.44           ,-1.28    ,-0.43 ,+0.61                   ,-1.59                    ,-3.52                    ,-5.00                 ,+22.06               ,+47.71               ,+9.48                ,+4.08             ,65.55      ,69.11     ,57.83    ,57.83  ,1.83         ,18.00            ,-0.39         ,0.82              ,--                   ,19.82                    ,4.03            ,356.04       ,18.31                ,0.71     ,59.76     ,64.67     ,60.83      ,61.41     ,62.11      ,35.29                ,44.78     ,33.98                   ,11.20,65.69               ,-4.97                     ,-8.24          ,64.93     ,58.58      ,60.85     ,62.98     ,61.57      ,38.70     ,46.82                ,49.06         ,25.70,-1.47      ,-6.48          ,-4.75                     ,61.65     ,62.85      ,62.97     ,41.86                ,11.61                   ,27.01   ,57.61                  ,-6.35          ,-5.13                     ,-317.36   , 
PAG   ,-2.12      ,46.67     ,170070    ,11.95    ,4.07B     ,56             ,+1.55                     ,37.25     ,47.61     ,-1.14,-69.49      ,14.41                  ,7.32              ,29.55                  ,47.96                  ,Specialty Retail                              ,NYSE    ,PENSKE AUTOMOTIVE GROUP I,Automotive Retail                   ,1.20    ,47.66         ,46.66 ,100     ,274407       ,560781      ,61.98                   ,30.33                  ,No        ,47.68 ,47.68 ,46.68 ,41.61                 ,342778        ,402394     ,49.62                    ,42.26                 ,No                ,Consumer Discretionary    ,2.50          ,47.66     ,46.50 ,200     ,363672      ,75.77                     ,46.76                  ,12.78M         ,No                  ,D  ,***      ,B+                 ,38.46          ,15.38                 ,38.46           ,--                     ,7.69            ,13                ,2.23              ,346.40M   ,20.12B ,346.40M ,85.47M            ,3.99    ,3.99      ,3.63      ,4.29        ,3.17      ,2.70      ,2.05      ,8.00                        ,1.70    ,838.27            ,-0.99 ,-4.60                  ,-0.62                      ,-2.18                  ,-6.87                   ,-5.24                ,+108.44              ,+29.76               ,+1.29     ,47.89        ,51.38    ,8.37                   ,45.05     ,29.29    ,85.59                   ,2.08                         ,-2.08   ,+0.02 ,-5.69                  ,+0.01                 ,-0.67                  ,-4.38                    ,-7.55                ,+11.01               ,+1.35                ,+19.56            ,0               ,47.89     ,55.26   ,47.22       ,45.05   ,-17.21               ,1.01           ,-1.01    ,+0.04 ,+0.73                   ,-0.30                    ,-1.40                    ,-3.52                 ,+23.09               ,+49.03               ,+12.42               ,+4.11             ,50.73      ,56.05     ,45.05    ,45.05  ,1.18         ,11.00            ,-0.17         ,0.51              ,--                   ,11.95                    ,102.82          ,102.77       ,11.11                ,0.20     ,46.76     ,50.79     ,49.96      ,48.03     ,49.52      ,45.31                ,45.32     ,29.65                   ,30.51,50.63               ,-2.80                     ,-7.04          ,51.04     ,46.39      ,47.64     ,49.62     ,49.14      ,41.05     ,46.80                ,31.00         ,40.93,-1.20      ,-7.72          ,-4.65                     ,47.96     ,51.01      ,49.79     ,43.44                ,15.62                   ,38.52   ,45.28                  ,-3.04          ,-6.17                     ,290.13    , 
