Symbol,% Chg(Open),% Total Return (YTD3),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                              ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change ,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap   ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap ,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
OCLR  ,-2.58      ,+238.13              ,9.8201    ,8885076   ,30.47    ,1.69B     ,59             ,+0.98                     ,53.94     ,9.70      ,0.18 ,-28.85      ,36.98                  ,7.06              ,14.42                  ,9.42                   ,Communications Equipment                      ,NASDAQ  ,OCLARO INC               ,Communications Equipment                  ,--      ,10.13         ,9.82  ,2300    ,10763584     ,7227112     ,82.55                   ,122.94                 ,No        ,10.08 ,10.11 ,9.83  ,69.05                 ,11143441      ,9629572    ,79.73                    ,92.27                 ,No                ,Information Technology,--            ,10.12     ,9.65  ,5900    ,11033406    ,140.24                    ,80.53                  ,108.51M        ,No                  ,C  ,--       ,B-                 ,80.00          ,10.00                 ,10.00           ,--                     ,--              ,10                ,1.30              ,8.58M     ,407.91M,8.58M   ,166.59M           ,0.33    ,0.08      ,-0.53     ,0.74        ,0.18      ,-1.40     ,-1.32     ,17.50                       ,2.10    ,241.51            ,-0.2999,+1.1301                ,+7.40                      ,+1.1268                ,+7.85                   ,+423.83              ,+123.18              ,+69.66               ,+1.70     ,10.34        ,10.55    ,1.19                   ,8.02      ,4.25     ,63.02                   ,-3.22                        ,-2.96   ,-0.04 ,+1.0101                ,-0.03                 ,+0.76                  ,+12.53                   ,+13.13               ,-4.92                ,+16.28            ,2               ,10.55     ,11.30   ,10.07       ,8.02    ,-5.40                ,0.2899         ,-0.2599  ,-0.40 ,+0.098                  ,+0.6975                  ,+8.12                    ,+0.7367               ,+90.40               ,+660.15              ,+7.87                ,+10.28            ,10.55      ,11.30     ,9.52     ,8.02   ,0.46         ,67.00            ,-0.1701       ,1.31              ,--                   ,130.52                   ,6.89            ,38.51        ,13.63                ,4.13     ,9.86      ,9.61      ,9.01       ,9.63      ,9.09       ,61.46                ,52.87     ,22.61                   ,71.15,10.58               ,1.24                      ,1.38           ,9.42      ,8.13       ,9.50      ,9.45      ,8.91       ,52.75     ,54.13                ,11.60         ,79.84,0.09       ,0.21           ,1.70                      ,9.42      ,9.22       ,9.39      ,54.81                ,28.54                   ,84.60   ,8.26                   ,0.22           ,0.68                      ,11402.30  , 
IIVI  ,-4.55      ,+150.99              ,35.65     ,1088689   ,34.22    ,2.34B     ,51             ,-2.02                     ,43.88     ,36.86     ,0.46 ,-57.58      ,26.09                  ,15.97             ,21.86                  ,36.05                  ,Electronic Equipment Instruments & Components ,NGM/NGS ,II-VI INC                ,Electronic Components                     ,--      ,37.35         ,35.65 ,400     ,1006173      ,529093      ,108.20                  ,205.77                 ,No        ,37.35 ,37.35 ,35.70 ,80.07                 ,902673        ,648892     ,120.61                   ,167.78                ,No                ,Information Technology,--            ,37.35     ,35.05 ,1300    ,864474      ,129.88                    ,125.94                 ,38.89M         ,Yes                 ,C  ,--       ,B                  ,66.67          ,33.33                 ,--              ,--                     ,--              ,3                 ,1.33              ,65.49M    ,827.22M,65.49M  ,62.56M            ,1.09    ,1.04      ,1.05      ,1.29        ,0.60      ,0.79      ,0.93      ,20.00                       ,7.92    ,92.66             ,-1.70  ,-0.45                  ,+3.60                      ,+6.02                  ,+5.83                   ,+107.65              ,+60.61               ,+74.68               ,+0.16     ,38.95        ,39.79    ,3.75                   ,32.60     ,17.76    ,73.91                   ,1.62                         ,-4.55   ,0.00  ,+5.70                  ,-0.06                 ,+1.31                  ,+19.22                   ,+25.97               ,+17.88               ,+8.84             ,0               ,39.79     ,41.10   ,37.35       ,32.60   ,-17.29               ,1.70           ,-1.70    ,0.00  ,-0.77                   ,+1.30                    ,+3.63                    ,+2.06                 ,+82.25               ,+127.68              ,+68.00               ,+5.95             ,39.79      ,41.10     ,37.00    ,29.10  ,2.30         ,96.00            ,-0.60         ,1.47              ,--                   ,35.91                    ,5.46            ,27.60        ,28.95                ,2.82     ,37.34     ,36.61     ,32.14      ,36.70     ,33.26      ,53.12                ,53.75     ,27.89                   ,42.42,39.62               ,1.81                      ,5.60           ,35.48     ,27.73      ,36.23     ,35.64     ,32.38      ,51.00     ,56.79                ,6.05          ,63.98,0.32       ,-0.50          ,7.85                      ,36.05     ,33.29      ,35.18     ,55.26                ,24.71                   ,79.49   ,32.49                  ,0.05           ,1.00                      ,2494.34   , 
SKX   ,-1.40      ,+148.95              ,27.41     ,1522317   ,17.68    ,3.71B     ,52             ,-2.62                     ,48.90     ,27.71     ,0.67 ,-67.27      ,21.48                  ,10.41             ,19.33                  ,27.24                  ,Textiles Apparel & Luxury Goods               ,NYSE    ,SKECHERS U S A INC       ,Footwear                                  ,--      ,27.76         ,27.39 ,100     ,3440635      ,2753305     ,44.25                   ,55.29                  ,No        ,27.80 ,27.94 ,27.41 ,67.63                 ,2224943       ,2278305    ,68.42                    ,66.82                 ,Yes               ,Consumer Discretionary,--            ,27.76     ,27.27 ,200     ,2207174     ,58.49                     ,68.97                  ,98.81M         ,No                  ,C  ,*****    ,B                  ,45.45          ,--                    ,45.45           ,--                     ,9.09            ,11                ,2.27              ,285.36M   ,3.58B  ,285.36M ,133.77M           ,1.57    ,1.57      ,1.50      ,1.78        ,0.91      ,0.36      ,0.06      ,12.00                       ,6.81    ,518.43            ,-0.35  ,+1.41                  ,+1.90                      ,+3.45                  ,+7.21                   ,+19.15               ,+519.53              ,-17.65               ,+0.27     ,28.51        ,30.00    ,6.26                   ,25.16     ,18.81    ,78.52                   ,1.23                         ,-1.26   ,+0.04 ,+2.41                  ,-0.05                 ,+0.73                  ,+14.17                   ,+12.94               ,+12.69               ,+19.47            ,3               ,30.00     ,30.00   ,27.52       ,25.16   ,-8.46                ,0.53           ,-0.39    ,+0.14 ,-0.75                   ,+0.52                    ,+2.70                    ,+1.87                 ,-4.47                ,+315.00              ,+5.59                ,+12.87            ,30.00      ,34.20     ,27.52    ,22.30  ,0.68         ,90.00            ,-0.15         ,0.76              ,--                   ,17.68                    ,2.69            ,3.98         ,15.60                ,1.04     ,28.06     ,26.08     ,24.54      ,27.46     ,25.73      ,52.05                ,53.44     ,22.75                   ,32.73,29.67               ,1.90                      ,1.78           ,25.94     ,25.04      ,27.75     ,26.45     ,25.67      ,53.83     ,54.25                ,6.46          ,47.37,0.67       ,3.73           ,2.87                      ,27.24     ,25.19      ,26.22     ,55.14                ,25.89                   ,67.53   ,24.81                  ,1.80           ,3.47                      ,3688.47   , 
FN    ,-1.23      ,+116.33              ,42.39     ,456367    ,18.15    ,1.59B     ,51             ,-0.88                     ,49.43     ,42.52     ,0.14 ,-37.00      ,50.00                  ,33.61             ,12.63                  ,41.81                  ,Electronic Equipment Instruments & Components ,NYSE    ,FABRINET                 ,Electronic Manufacturering Services       ,--      ,42.96         ,42.37 ,200     ,655978       ,684901      ,69.57                   ,66.63                  ,No        ,42.92 ,42.96 ,42.41 ,93.18                 ,674458        ,897755     ,67.66                    ,50.83                 ,No                ,Information Technology,--            ,42.96     ,41.82 ,100     ,719592      ,68.80                     ,63.42                  ,28.61M         ,Yes                 ,D  ,--       ,--                 ,66.67          ,33.33                 ,--              ,--                     ,--              ,6                 ,1.33              ,61.90M    ,976.75M,61.90M  ,36.96M            ,2.37    ,1.68      ,1.21      ,3.48        ,2.58      ,1.98      ,-1.64     ,15.00                       ,6.34    ,104.69            ,-0.57  ,+0.47                  ,+2.76                      ,+1.18                  ,+3.45                   ,+126.25              ,+136.09              ,+17.04               ,+1.44     ,43.16        ,44.71    ,6.67                   ,38.44     ,29.78    ,50.00                   ,-1.13                        ,-1.33   ,-0.04 ,+1.34                  ,-0.02                 ,+1.20                  ,+2.83                    ,+6.60                ,-2.92                ,+15.73            ,1               ,44.71     ,49.63   ,42.38       ,38.44   ,-12.04               ,0.57           ,-0.53    ,-0.09 ,-0.38                   ,+1.16                    ,+2.88                    ,+1.43                 ,+42.01               ,+210.29              ,+7.03                ,+10.61            ,44.71      ,49.63     ,41.85    ,33.97  ,1.14         ,59.00            ,-0.57         ,0.78              ,--                   ,25.57                    ,2.81            ,6.57         ,12.33                ,1.63     ,42.66     ,42.72     ,41.46      ,42.47     ,41.62      ,52.96                ,50.92     ,25.21                   ,63.00,44.67               ,1.73                      ,3.74           ,41.65     ,40.71      ,41.91     ,42.23     ,41.29      ,50.51     ,51.61                ,2.18          ,68.53,-0.06      ,0.37           ,4.99                      ,41.81     ,41.53      ,42.12     ,51.64                ,24.13                   ,79.07   ,38.94                  ,0.03           ,0.84                      ,2839.66   , 
PPBI  ,-1.29      ,+112.99              ,38.20     ,115072    ,26.51    ,1.08B     ,7              ,+3.28                     ,51.63     ,37.76     ,-0.51,-35.04      ,23.53                  ,15.46             ,16.14                  ,38.10                  ,Banks                                         ,NCM     ,PACIFIC PREMIER BANCORP I,Regional Banks                            ,--      ,38.70         ,38.10 ,400     ,275319       ,205608      ,41.80                   ,55.97                  ,No        ,38.70 ,38.85 ,38.20 ,82.34                 ,241889        ,252414     ,47.57                    ,45.59                 ,No                ,Financials            ,--            ,38.70     ,38.00 ,800     ,237373      ,23.03                     ,48.48                  ,10.30M         ,No                  ,D  ,--       ,B                  ,42.86          ,42.86                 ,14.29           ,--                     ,--              ,7                 ,1.71              ,40.10M    ,186.19M,40.10M  ,27.93M            ,1.46    ,1.46      ,1.19      ,1.94        ,0.96      ,0.54      ,1.44      ,8.00                        ,24.47   ,367.45            ,-0.50  ,-2.70                  ,+1.59                      ,+4.99                  ,+0.70                   ,+125.53              ,+349.38              ,+60.00               ,+0.71     ,39.04        ,41.90    ,3.05                   ,34.35     ,20.05    ,76.47                   ,-1.36                        ,-1.29   ,0.00  ,+2.16                  ,+0.05                 ,+0.25                  ,+14.80                   ,+9.48                ,+24.80               ,+10.57            ,1               ,39.04     ,41.90   ,36.79       ,34.35   ,-17.95               ,0.65           ,-0.50    ,0.00  ,+1.23                   ,+0.60                    ,+0.66                    ,+0.27                 ,+75.68               ,+180.65              ,+48.20               ,+1.18             ,40.79      ,41.90     ,35.25    ,34.35  ,0.85         ,61.00            ,-0.20         ,1.14              ,--                   ,26.51                    ,3.10            ,--           ,19.95                ,5.81     ,36.86     ,38.98     ,34.50      ,37.98     ,35.92      ,55.86                ,54.02     ,24.79                   ,64.96,41.18               ,-1.70                     ,2.86           ,38.54     ,30.96      ,37.68     ,37.91     ,35.09      ,51.49     ,55.12                ,0.43          ,61.54,-0.55      ,-0.39          ,3.85                      ,38.10     ,36.22      ,37.58     ,53.09                ,24.58                   ,53.24   ,35.01                  ,-2.10          ,-0.34                     ,613.77    , 
SPR   ,-1.87      ,+103.31              ,58.11     ,264978    ,15.94    ,7.02B     ,47             ,+2.01                     ,48.10     ,58.19     ,-0.40,-38.98      ,3.36                   ,4.59              ,19.73                  ,58.71                  ,Aerospace & Defense                           ,NYSE    ,SPIRIT AEROSYSTEMS HOLDIN,Aerospace & Defense                       ,0.40    ,58.96         ,58.11 ,200     ,605716       ,1143681     ,43.75                   ,23.17                  ,No        ,59.22 ,59.26 ,58.13 ,81.85                 ,704340        ,1003603    ,37.62                    ,26.40                 ,No                ,Industrials           ,0.70          ,58.96     ,58.07 ,300     ,764699      ,29.78                     ,34.65                  ,34.87M         ,No                  ,C  ,--       ,B-                 ,28.57          ,14.29                 ,42.86           ,14.29                  ,--              ,21                ,2.43              ,469.70M   ,6.79B  ,469.70M ,119.13M           ,3.70    ,3.70      ,5.66      ,4.82        ,2.53      ,-4.40     ,0.24      ,10.75                       ,6.91    ,471.73            ,-0.85  ,-4.05                  ,+0.43                      ,+3.38                  ,+0.78                   ,+10.17               ,+128.38              ,+31.92               ,+1.31     ,59.06        ,62.90    ,3.64                   ,55.48     ,41.27    ,96.64                   ,-0.07                        ,-1.44   ,+0.26 ,-0.81                  ,+0.03                 ,-0.14                  ,+6.08                    ,+1.22                ,+5.95                ,+23.21            ,1               ,59.06     ,62.90   ,57.34       ,55.48   ,-16.80               ,1.15           ,-1.11    ,+0.44 ,+1.16                   ,+0.26                    ,-0.24                    ,+0.46                 ,+19.72               ,+209.80              ,+34.69               ,+8.41             ,61.61      ,62.90     ,55.48    ,54.36  ,1.19         ,22.00            ,-0.04         ,0.68              ,--                   ,15.94                    ,3.77            ,54.96        ,12.23                ,1.03     ,57.54     ,58.54     ,56.76      ,58.35     ,56.88      ,55.71                ,52.09     ,24.29                   ,61.02,61.57               ,-2.14                     ,-1.55          ,58.47     ,51.77      ,58.07     ,58.37     ,56.20      ,49.78     ,53.65                ,0.22          ,58.77,-0.34      ,3.41           ,0.18                      ,58.71     ,58.29      ,58.16     ,52.27                ,24.40                   ,47.56   ,55.84                  ,-3.11          ,3.16                      ,389.90    , 
TTC   ,-1.55      ,+97.58               ,62.37     ,443604    ,29.83    ,6.81B     ,74             ,+2.25                     ,60.33     ,61.48     ,0.57 ,-30.56      ,8.04                   ,33.81             ,24.80                  ,61.18                  ,Machinery                                     ,NYSE    ,TORO CO                  ,Agriculture & Farm Machinery              ,0.70    ,63.29         ,62.38 ,100     ,498422       ,565043      ,89.00                   ,78.51                  ,No        ,63.35 ,63.40 ,62.40 ,90.29                 ,439580        ,513751     ,100.92                   ,86.35                 ,Yes               ,Industrials           ,1.10          ,63.29     ,62.28 ,300     ,451395      ,45.26                     ,98.27                  ,30.88M         ,No                  ,C  ,***      ,A-                 ,12.50          ,12.50                 ,62.50           ,--                     ,12.50           ,8                 ,2.88              ,230.99M   ,2.39B  ,230.99M ,107.58M           ,2.12    ,2.06      ,1.78      ,2.30        ,1.51      ,1.31      ,1.07      ,12.00                       ,9.66    ,377.97            ,-0.92  ,+1.63                  ,+3.45                      ,+8.55                  ,+6.23                   ,+80.75               ,+270.75              ,+36.16               ,+0.45     ,63.47        ,63.47    ,0.07                   ,59.80     ,40.43    ,91.96                   ,-1.54                        ,-1.45   ,+0.06 ,+5.78                  ,+0.02                 ,+2.23                  ,+15.62                   ,+13.44               ,+14.11               ,+48.66            ,1               ,63.47     ,63.47   ,61.95       ,59.80   ,-21.85               ,1.03           ,-0.98    ,+0.09 ,+1.39                   ,+2.11                    ,+3.66                    ,+3.71                 ,+42.88               ,+175.50              ,+24.74               ,+16.93            ,63.47      ,63.47     ,59.87    ,55.77  ,1.12         ,75.00            ,-0.09         ,1.28              ,--                   ,30.72                    ,27.77           ,60.25        ,27.49                ,2.85     ,61.53     ,60.26     ,55.65      ,61.28     ,57.34      ,72.00                ,61.70     ,14.88                   ,69.44,62.62               ,2.91                      ,5.55           ,59.73     ,51.92      ,61.41     ,59.93     ,56.38      ,61.07     ,64.42                ,36.08         ,79.33,0.49       ,3.88           ,6.99                      ,61.18     ,57.38      ,59.41     ,65.51                ,31.67                   ,75.27   ,59.74                  ,1.88           ,4.44                      ,2145.24   , 
AMBA  ,-1.07      ,+96.94               ,54.69     ,747434    ,33.06    ,1.84B     ,73             ,+0.08                     ,44.93     ,55.38     ,0.05 ,-82.33      ,37.91                  ,-28.26            ,13.86                  ,55.20                  ,Semiconductors & Semiconductor Equipment      ,NASDAQ  ,AMBARELLA INC            ,Semiconductors                            ,--      ,55.54         ,54.66 ,500     ,543626       ,968885      ,137.49                  ,77.14                  ,No        ,55.28 ,55.64 ,54.74 ,64.68                 ,851774        ,973507     ,87.75                    ,76.78                 ,No                ,Information Technology,--            ,55.54     ,54.11 ,200     ,1045897     ,113.59                    ,71.46                  ,30.15M         ,No                  ,C  ,**       ,--                 ,41.67          ,25.00                 ,33.33           ,--                     ,--              ,12                ,1.92              ,57.81M    ,310.30M,57.81M  ,33.11M            ,1.68    ,1.68      ,2.27      ,2.19        ,1.57      ,0.85      ,0.60      ,16.33                       ,18.63   ,--                ,-0.85  ,-5.85                  ,+0.62                      ,-2.35                  ,+2.94                   ,-24.79               ,0.00                 ,+42.60               ,+1.53     ,56.02        ,60.68    ,19.31                  ,52.58     ,35.26    ,62.09                   ,1.73                         ,-1.53   ,-0.26 ,+0.20                  ,0.00                  ,+0.18                  ,-4.06                    ,+2.60                ,-4.18                ,+14.38            ,6               ,56.76     ,60.68   ,55.07       ,52.58   ,-18.85               ,0.95           ,-0.59    ,-0.47 ,+0.04                   ,+0.34                    ,+0.33                    ,+1.59                 ,+34.08               ,+323.95              ,-18.17               ,+12.53            ,58.37      ,74.95     ,53.90    ,46.80  ,1.53         ,29.00            ,-0.58         ,1.42              ,--                   ,33.06                    ,4.33            ,--           ,25.32                ,5.93     ,55.39     ,54.40     ,56.54      ,55.37     ,55.82      ,50.65                ,48.75     ,18.32                   ,17.67,57.54               ,-1.18                     ,1.07           ,53.99     ,58.59      ,55.64     ,55.20     ,55.99      ,48.82     ,49.68                ,3.16          ,35.04,0.16       ,4.14           ,3.00                      ,55.20     ,55.42      ,55.29     ,50.48                ,19.51                   ,45.85   ,52.85                  ,-0.91          ,5.50                      ,-2958.91  , 
RCL   ,-1.49      ,+96.46               ,98.18     ,619569    ,16.80    ,21.41B    ,89             ,+0.38                     ,51.65     ,98.24     ,1.19 ,-51.76      ,6.32                   ,3.74              ,23.39                  ,97.49                  ,Hotels Restaurants & Leisure                  ,NYSE    ,ROYAL CARIBBEAN CRUISES L,Hotels Resorts & Cruise Lines             ,1.92    ,99.65         ,98.15 ,500     ,1118864      ,1814874     ,55.37                   ,34.14                  ,Yes       ,99.66 ,99.88 ,98.18 ,78.96                 ,1243451       ,1585918    ,49.83                    ,39.07                 ,No                ,Consumer Discretionary,1.90          ,99.65     ,98.06 ,300     ,1224791     ,56.80                     ,50.59                  ,111.17M        ,No                  ,C  ,****     ,--                 ,66.67          ,8.33                  ,20.83           ,4.17                   ,--              ,24                ,1.63              ,1.28B     ,8.50B  ,1.28B   ,214.8M            ,5.93    ,5.93      ,3.02      ,7.05        ,3.43      ,2.14      ,0.08      ,21.50                       ,15.11   ,128.83            ,-1.48  ,+1.30                  ,+2.21                      ,+14.51                 ,+6.64                   ,+30.87               ,+267.74              ,+25.70               ,+1.23     ,99.74        ,101.11   ,1.23                   ,93.40     ,64.95    ,93.68                   ,-0.02                        ,-1.48   ,+0.01 ,+15.46                 ,0.00                  ,+2.30                  ,+17.04                   ,+22.08               ,+19.38               ,+14.94            ,9               ,101.11    ,101.11  ,98.92       ,93.40   ,-33.11               ,1.71           ,-1.48    ,+0.01 ,+0.38                   ,+2.16                    ,+2.37                    ,+6.21                 ,+35.33               ,+232.19              ,+36.81               ,+5.96             ,101.11     ,101.11    ,97.33    ,82.72  ,1.82         ,89.00            ,-0.12         ,0.72              ,--                   ,16.80                    ,2.43            ,89.45        ,14.13                ,2.52     ,98.80     ,95.55     ,86.53      ,97.83     ,90.09      ,61.89                ,59.43     ,23.14                   ,48.24,100.75              ,2.47                      ,13.68          ,93.83     ,80.28      ,98.16     ,94.85     ,88.65      ,58.96     ,61.53                ,2.16          ,61.29,1.23       ,4.15           ,15.78                     ,97.49     ,89.41      ,93.79     ,62.70                ,24.16                   ,70.46   ,94.23                  ,2.70           ,5.32                      ,581.02    , 
AAGIY ,-1.16      ,+44.69               ,25.36     ,114805    ,18.41    ,76.96B    ,2              ,+0.18                     ,43.95     ,25.62     ,0.13 ,-60.68      ,46.96                  ,43.93             ,14.09                  ,25.63                  ,Insurance                                     ,OTC     ,AIA GROUP LTD            ,Life & Health Insurance                   ,0.44    ,25.53         ,25.36 ,1200    ,154024       ,147040      ,74.54                   ,78.08                  ,No        ,25.66 ,25.66 ,25.39 ,47.54                 ,217385        ,188864     ,52.81                    ,60.79                 ,No                ,Financials            ,1.70          ,25.61     ,25.10 ,100     ,209858      ,194.88                    ,54.71                  ,3.96M          ,No                  ,-- ,--       ,--                 ,100.00         ,--                    ,--              ,--                     ,--              ,1                 ,1.00              ,4.21B     ,27.80B ,4.21B   ,12.06B            ,1.39    ,1.39      ,0.90      ,0.36        ,1.15      ,0.94      ,1.01      ,--                          ,14.98   ,--                ,-0.25  ,+0.12                  ,-0.08                      ,+0.64                  ,+2.84                   ,+7.17                ,+91.52               ,+8.48                ,+1.20     ,25.80        ,26.17    ,2.16                   ,24.78     ,21.89    ,53.04                   ,1.09                         ,-0.96   ,+0.05 ,+3.26                  ,-0.02                 ,-0.01                  ,+2.57                    ,+13.11               ,+3.62                ,+13.08            ,0               ,26.05     ,26.17   ,25.13       ,24.78   ,-3.21                ,0.30           ,-0.30    ,+0.20 ,+0.05                   ,-0.02                    ,-0.04                    ,+0.71                 ,+21.47               ,+56.13               ,-0.07                ,+2.39             ,26.17      ,27.82     ,25.00    ,22.10  ,0.56         ,85.00            ,-0.26         ,0.79              ,--                   ,18.41                    ,2.31            ,9.90         ,71.21                ,11.08    ,25.74     ,25.20     ,24.75      ,25.57     ,24.92      ,50.01                ,52.02     ,20.67                   ,39.32,26.18               ,0.32                      ,2.80           ,24.99     ,24.93      ,25.64     ,25.20     ,24.86      ,51.93     ,53.22                ,15.22         ,55.31,0.20       ,0.77           ,3.04                      ,25.63     ,24.41      ,25.11     ,53.98                ,15.21                   ,58.81   ,25.08                  ,-0.07          ,0.81                      ,1343.45   , 
