Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                    ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
INTU  ,+0.37      ,115.93    ,3569146   ,31.05    ,29.57B    ,1              ,-1.33                     ,19.31     ,119.83    ,-1.40,-93.74      ,57.80                  ,-16.83            ,29.97                  ,122.01                 ,Software                                    ,NGM/NGS ,INTUIT INC               ,Application Software                 ,1.36    ,115.62        ,115.93,300     ,2616861      ,1344855     ,136.39                  ,265.39                 ,Yes       ,115.50,116.39,115.95,87.60                 ,1769492       ,1439373    ,201.70                   ,247.97                ,No                ,Information Technology,1.20          ,115.62    ,115.30,100     ,1792562     ,170.50                    ,199.11                 ,308.48M        ,No                  ,C  ,***      ,B+                 ,22.22          ,11.11                 ,50.00           ,11.11                  ,5.56            ,18                ,2.67              ,979.00M   ,4.69B  ,979.00M ,255.79M           ,3.72    ,3.69      ,1.28      ,4.35        ,3.13      ,2.83      ,2.60      ,15.47                       ,20.86   ,594.18            ,+0.31 ,-9.96                  ,-5.24                      ,+0.10                  ,-3.58                   ,+22.87               ,+119.18              ,+18.63               ,+1.08     ,117.79       ,126.67   ,12.06                  ,115.43    ,99.20    ,42.20                   ,4.28                         ,+0.27   ,-0.12,+1.59                  ,-0.03                 ,-7.12                  ,+0.08                    ,+1.17                ,+57.11               ,+10.67               ,+135.90           ,53              ,120.63    ,128.44  ,115.43      ,115.43  ,-16.10               ,0.46           ,+0.43    ,-0.10,-1.56                   ,-6.39                    ,-5.80                    ,-4.29                 ,+18.86               ,+90.96               ,+13.23               ,+22.22            ,126.67     ,128.45    ,115.43   ,111.90 ,1.09         ,50.00            ,-0.63         ,1.33              ,--                   ,31.31                    ,--              ,42.03        ,26.60                ,6.30     ,119.12    ,120.75    ,116.18     ,120.39    ,118.03     ,16.03                ,47.21     ,34.81                   ,6.26 ,128.70              ,-9.55                     ,0.95           ,120.02    ,114.11     ,120.89    ,120.24    ,117.19     ,41.36     ,46.79                ,53.25         ,6.87 ,-0.39      ,-1.90          ,0.87                      ,122.01    ,117.92     ,119.83    ,40.58                ,10.62                   ,7.14    ,115.32                 ,-10.52         ,-2.09                     ,-4904.91  , 
SJM   ,-0.18      ,131.27    ,323886    ,22.85    ,15.28B    ,24             ,-0.73                     ,17.53     ,134.51    ,-1.76,-98.32      ,8.27                   ,-20.33            ,25.65                  ,136.26                 ,Food Products                               ,NYSE    ,SMUCKER (JM) CO          ,Packaged Foods & Meats               ,3.00    ,131.26        ,131.25,200     ,1384028      ,1005058     ,23.40                   ,32.23                  ,Yes       ,131.51,131.86,131.28,78.27                 ,1323576       ,1280851    ,24.47                    ,25.29                 ,No                ,Consumer Staples      ,2.30          ,131.26    ,131.22,300     ,1323267     ,34.92                     ,24.48                  ,183.62M        ,No                  ,C  ,***      ,A                  ,14.29          ,4.76                  ,71.43           ,9.52                   ,--              ,21                ,2.76              ,688.70M   ,7.81B  ,688.70M ,116.44M           ,5.74    ,5.76      ,3.33      ,7.65        ,5.42      ,--        ,4.06      ,6.39                        ,8.82    ,1130.42           ,+0.01 ,-10.01                 ,-3.67                      ,-1.68                  ,-3.48                   ,+23.43               ,+86.48               ,+11.51               ,+0.59     ,132.88       ,142.03   ,25.45                  ,131.12    ,122.05   ,91.73                   ,3.02                         ,+0.01   ,+0.25,+2.76                  ,-0.01                 ,-5.84                  ,-1.27                    ,+3.06                ,+48.02               ,+13.14               ,+9.24             ,5               ,133.69    ,143.68  ,131.12      ,131.12  ,-9.17                ,0.59           ,-0.24    ,+0.19,-0.97                   ,-5.00                    ,-4.26                    ,-4.73                 ,+5.58                ,+50.90               ,+1.07                ,+4.19             ,141.22     ,157.31    ,131.12   ,127.00 ,0.64         ,52.00            ,-0.05         ,0.98              ,--                   ,22.79                    ,--              ,73.43        ,17.16                ,1.96     ,133.41    ,137.28    ,132.70     ,135.21    ,135.21     ,17.41                ,45.43     ,34.04                   ,1.68 ,142.64              ,-9.68                     ,2.74           ,136.16    ,138.00     ,135.23    ,135.81    ,135.10     ,40.68     ,45.42                ,42.99         ,2.58 ,-1.04      ,-6.31          ,2.29                      ,136.26    ,132.96     ,135.64    ,40.65                ,13.57                   ,5.39    ,129.89                 ,-9.22          ,-4.24                     ,-3643.67  , 
SAIC  ,-0.33      ,74.98     ,546001    ,24.77    ,3.29B     ,32             ,-7.99                     ,18.21     ,83.79     ,-1.65,-85.79      ,30.61                  ,-4.51             ,22.28                  ,85.52                  ,IT Services                                 ,NYSE    ,SCIENCE APPLICATIONS INTL,IT Consulting & Other Services       ,1.24    ,74.97         ,74.95 ,200     ,620624       ,316170      ,87.98                   ,172.69                 ,No        ,75.23 ,76.34 ,75.00 ,70.69                 ,333648        ,296636     ,163.65                   ,184.06                ,Yes               ,Information Technology,1.70          ,74.97     ,74.38 ,100     ,329067      ,26.79                     ,165.92                 ,48.80M         ,No                  ,C  ,--       ,--                 ,57.14          ,--                    ,42.86           ,--                     ,--              ,7                 ,1.86              ,117.00M   ,4.32B  ,117.00M ,43.88M            ,3.03    ,2.47      ,2.91      ,3.35        ,2.27      ,3.66      ,3.66      ,5.00                        ,2.71    ,287.67            ,+0.01 ,-13.09                 ,-12.34                     ,-5.22                  ,-11.99                  ,+63.42               ,0.00                 ,+61.51               ,+1.61     ,81.50        ,89.63    ,13.53                  ,72.70     ,46.85    ,69.39                   ,13.50                        ,+0.01   ,+0.26,-9.98                  ,-0.13                 ,-11.46                 ,-6.51                    ,-11.27               ,+146.94              ,+5.71                ,+37.38            ,22              ,87.09     ,89.87   ,72.70       ,72.70   ,-27.53               ,1.36           ,-0.25    ,+0.35,-6.51                   ,-10.55                   ,-13.26                   ,-10.21                ,+85.77               ,0.00                 ,+37.41               ,+6.52             ,89.00      ,89.87     ,72.70    ,72.70  ,1.96         ,44.00            ,-0.60         ,1.06              ,--                   ,30.35                    ,--              ,266.58       ,22.39                ,0.76     ,83.93     ,85.10     ,81.33      ,84.43     ,81.95      ,18.11                ,42.75     ,49.25                   ,14.21,92.70               ,-13.88                    ,-10.44         ,85.02     ,73.85      ,85.10     ,84.76     ,80.53      ,35.33     ,42.72                ,63.48         ,24.10,-0.34      ,-7.04          ,-9.11                     ,85.52     ,83.92      ,84.37     ,35.30                ,11.00                   ,28.94   ,78.34                  ,-13.05         ,-5.82                     ,-265.69   , 
LULU  ,+0.70      ,51.59     ,12655915  ,24.51    ,6.46B     ,85             ,-14.38                    ,22.02     ,61.24     ,-2.22,-93.18      ,84.25                  ,-19.89            ,25.43                  ,62.92                  ,Textiles Apparel & Luxury Goods             ,NASDAQ  ,LULULEMON ATHLETICA INC  ,Apparel Accessories & Luxury Goods   ,--      ,50.76         ,51.58 ,2200    ,13144675     ,2421446     ,96.28                   ,522.66                 ,No        ,51.23 ,51.79 ,51.59 ,79.43                 ,4503566       ,2447031    ,281.02                   ,517.19                ,No                ,Consumer Discretionary,--            ,50.76     ,50.52 ,1500    ,4218091     ,25.51                     ,300.04                 ,713.98M        ,No                  ,NR ,****     ,B+                 ,38.89          ,11.11                 ,44.44           ,--                     ,5.56            ,36                ,2.22              ,266.05M   ,2.06B  ,266.05M ,127.27M           ,2.07    ,1.89      ,1.66      ,2.15        ,1.91      ,1.85      ,1.27      ,16.51                       ,12.91   ,187.32            ,+0.83 ,-14.50                 ,-19.33                     ,-12.10                 ,-23.16                  ,+0.62                ,-16.06               ,+0.35                ,+0.16     ,52.90        ,66.97    ,30.02                  ,50.50     ,50.50    ,15.75                   ,20.44                        ,+1.64   ,+0.47,-14.35                 ,-0.19                 ,-13.08                 ,-19.25                   ,-21.90               ,+29.14               ,+14.51               ,+25.14            ,77              ,66.34     ,70.50   ,50.50       ,50.50   ,-0.02                ,0.20           ,+0.36    ,+0.93,-8.53                   ,-12.16                   ,-20.49                   ,-15.30                ,+4.60                ,+2.15                ,-14.70               ,+20.33            ,66.56      ,81.81     ,50.50    ,50.50  ,1.27         ,30.00            ,-1.07         ,1.05              ,--                   ,26.86                    ,6.96            ,--           ,23.56                ,3.14     ,61.27     ,65.19     ,62.86      ,62.07     ,64.52      ,18.78                ,37.62     ,47.35                   ,6.82 ,70.98               ,-15.77                    ,-17.83         ,65.75     ,66.74      ,62.13     ,63.99     ,64.62      ,32.01     ,36.65                ,55.51         ,35.87,-1.11      ,-14.94         ,-16.08                    ,62.92     ,64.06      ,64.18     ,30.44                ,13.55                   ,50.26   ,54.86                  ,-14.12         ,-15.64                    ,-18453.59 , 
FDS   ,+0.43      ,165.10    ,176794    ,19.31    ,6.51B     ,1              ,-1.30                     ,22.20     ,172.22    ,-2.91,-84.43      ,51.69                  ,-9.33             ,23.05                  ,174.99                 ,Capital Markets                             ,NYSE    ,FACTSET RESEARCH SYSTEMS ,Financial Exchanges & Data           ,2.00    ,164.43        ,165.03,100     ,583577       ,328177      ,30.29                   ,53.87                  ,No        ,164.40,166.10,165.10,96.33                 ,317208        ,250883     ,55.73                    ,70.47                 ,Yes               ,Financials            ,1.20          ,164.43    ,164.03,500     ,306863      ,44.35                     ,57.61                  ,97.22M         ,No                  ,F  ,***      ,A+                 ,--             ,5.56                  ,66.67           ,22.22                  ,5.56            ,18                ,3.28              ,338.82M   ,--     ,338.82M ,39.57M            ,8.52    ,8.19      ,5.71      ,7.26        ,4.92      ,4.45      ,4.12      ,10.65                       ,30.06   ,134.58            ,+0.67 ,-14.58                 ,-6.04                      ,-2.88                  ,-6.05                   ,+14.87               ,+90.44               ,+12.81               ,+0.77     ,164.86       ,182.56   ,17.54                  ,161.88    ,145.48   ,48.31                   ,5.55                         ,+0.41   ,-0.03,+0.04                  ,-0.07                 ,-11.62                 ,-1.72                    ,+0.89                ,+69.26               ,+11.37               ,+66.59            ,39              ,178.21    ,183.64  ,163.11      ,161.88  ,-18.55               ,1.00           ,+0.70    ,-0.02,-2.17                   ,-10.56                   ,-6.60                    ,-10.58                ,+19.89               ,+104.20              ,+0.51                ,+33.06            ,182.56     ,183.64    ,161.88   ,161.88 ,2.07         ,73.00            ,-1.07         ,0.83              ,--                   ,20.08                    ,--              ,57.98        ,22.65                ,--       ,172.10    ,176.16    ,167.47     ,173.36    ,171.64     ,18.83                ,45.02     ,39.84                   ,15.57,185.73              ,-14.81                    ,-4.61          ,175.10    ,168.24     ,174.27    ,174.10    ,170.78     ,39.23     ,44.46                ,43.15         ,13.30,-1.16      ,-9.42          ,-0.71                     ,174.99    ,170.05     ,173.63    ,38.23                ,15.82                   ,10.26   ,164.25                 ,-13.24         ,-8.47                     ,-464.55   , 
PTHN  ,+0.69      ,26.38     ,164076    ,42.51    ,3.80B     ,4              ,+0.20                     ,27.30     ,27.31     ,-1.22,-67.04      ,83.78                  ,46.50             ,47.53                  ,28.34                  ,Life Sciences Tools & Services              ,NYSE    ,PATHEON NV               ,Life Sciences Tools & Services       ,--      ,26.17         ,26.37 ,200     ,467815       ,418385      ,35.07                   ,39.22                  ,No        ,26.20 ,26.44 ,26.39 ,24.15                 ,785011        ,467624     ,20.90                    ,35.09                 ,No                ,Health Care           ,--            ,26.17     ,26.07 ,200     ,756471      ,38.66                     ,21.69                  ,12.19M         ,No                  ,C  ,--       ,--                 ,36.36          ,36.36                 ,27.27           ,--                     ,--              ,11                ,1.91              ,31.70M    ,1.87B  ,31.70M  ,145.14M           ,0.62    ,0.26      ,1.20      ,1.14        ,-1.03     ,-0.26     ,-0.83     ,19.75                       ,1.70    ,205.13            ,+0.21 ,-5.32                  ,-7.64                      ,-2.35                  ,-10.63                  ,0.00                 ,0.00                 ,0.00                 ,0.00      ,26.25        ,32.33    ,6.51                   ,23.72     ,23.72    ,16.22                   ,3.89                         ,+0.80   ,+0.03,-2.62                  ,+0.01                 ,-2.73                  ,-8.25                    ,-8.85                ,0.00                 ,+15.13               ,-14.03            ,6               ,27.10     ,32.95   ,25.69       ,23.72   ,-2.35                ,0.06           ,+0.18    ,+0.11,+0.05                   ,-2.17                    ,-9.46                    ,-3.11                 ,0.00                 ,0.00                 ,+12.54               ,0.00              ,32.33      ,32.95     ,25.35    ,23.72  ,0.37         ,17.00            ,-0.31         ,1.82              ,--                   ,102.60                   ,--              ,-602.61      ,23.02                ,2.03     ,26.28     ,29.41     ,28.39      ,27.79     ,--         ,22.27                ,--        ,35.51                   ,32.96,32.94               ,-5.35                     ,-2.80          ,29.23     ,--         ,27.41     ,--        ,--         ,--        ,50.00                ,52.96         ,30.40,-1.01      ,-3.20          ,-3.17                     ,28.34     ,28.62      ,--        ,50.00                ,10.92                   ,29.16   ,23.73                  ,-5.89          ,-3.07                     ,6529.21   , 
STMP  ,+2.66      ,117.65    ,221946    ,27.88    ,1.93B     ,2              ,-0.75                     ,36.49     ,120.62    ,-3.00,-76.05      ,90.91                  ,-17.44            ,31.89                  ,124.09                 ,Internet Software & Services                ,NCM     ,STAMPS.COM INC           ,Internet Software & Services         ,--      ,114.85        ,117.60,100     ,393935       ,312574      ,56.34                   ,71.01                  ,No        ,114.60,118.00,117.70,94.13                 ,322595        ,275776     ,68.80                    ,80.48                 ,No                ,Information Technology,--            ,114.85    ,114.15,600     ,342109      ,71.10                     ,64.88                  ,45.49M         ,Yes                 ,D  ,--       ,B                  ,83.33          ,16.67                 ,--              ,--                     ,--              ,6                 ,1.17              ,75.23M    ,364.30M,75.23M  ,16.85M            ,4.12    ,4.12      ,-0.26     ,6.50        ,2.25      ,2.71      ,2.30      ,22.00                       ,20.65   ,520.43            ,+2.80 ,-9.95                  ,-7.44                      ,+2.42                  ,-7.09                   ,+100.69              ,+319.81              ,+38.59               ,+0.23     ,117.80       ,134.00   ,18.00                  ,112.50    ,68.82    ,9.09                    ,4.34                         ,+2.44   ,-0.25,+1.85                  ,+0.01                 ,-9.51                  ,+2.15                    ,+0.17                ,+243.21              ,+18.74               ,+24.60            ,46              ,118.80    ,136.00  ,114.55      ,112.50  ,-45.33               ,0.35           ,+3.05    ,-0.22,-0.87                   ,-9.24                    ,-7.65                    ,-8.76                 ,+8.13                ,+368.00              ,+30.38               ,+13.21            ,134.00     ,136.00    ,112.50   ,112.50 ,3.85         ,44.00            ,-3.50         ,1.19              ,--                   ,27.88                    ,53.94           ,37.84        ,17.67                ,5.31     ,118.68    ,125.14    ,114.43     ,121.81    ,117.58     ,23.31                ,49.98     ,32.30                   ,23.95,136.73              ,-10.20                    ,1.75           ,123.79    ,103.61     ,122.76    ,122.48    ,115.58     ,45.69     ,48.18                ,47.87         ,15.50,-1.73      ,-5.35          ,--                        ,124.09    ,118.54     ,121.67    ,42.42                ,11.39                   ,13.72   ,111.45                 ,-8.30          ,-7.85                     ,-886.56   , 
FLT   ,+3.23      ,151.91    ,1453606   ,31.18    ,13.61B    ,1              ,-3.37                     ,36.47     ,156.62    ,-2.29,-71.27      ,95.02                  ,-9.81             ,25.20                  ,158.66                 ,IT Services                                 ,NYSE    ,FLEETCOR TECHNOLOGIES INC,Data Processing & Outsourced Services,--      ,148.10        ,151.85,100     ,2089372      ,993571      ,69.57                   ,146.30                 ,No        ,147.16,152.18,151.91,92.29                 ,1097012       ,1016122    ,132.51                   ,143.05                ,No                ,Information Technology,--            ,148.10    ,146.76,200     ,1154787     ,40.87                     ,125.88                 ,318.08M        ,No                  ,D  ,****     ,--                 ,50.00          ,37.50                 ,12.50           ,--                     ,--              ,16                ,1.63              ,452.38M   ,1.83B  ,452.38M ,91.89M            ,4.75    ,4.75      ,3.85      ,8.24        ,4.24      ,3.36      ,2.52      ,15.73                       ,24.70   ,257.96            ,+3.81 ,-19.08                 ,-6.65                      ,-9.58                  ,-5.57                   ,+3.58                ,+298.12              ,+14.18               ,+1.26     ,153.16       ,171.77   ,24.24                  ,147.58    ,133.64   ,4.98                    ,3.73                         ,+2.57   ,-0.94,+8.26                  ,-0.03                 ,-11.59                 ,-6.08                    ,+4.65                ,+33.43               ,+13.83               ,+15.30            ,125             ,159.63    ,171.77  ,147.58      ,147.58  ,-13.12               ,0.27           ,+4.75    ,-0.63,-5.17                   ,-10.56                   ,-7.26                    ,-8.73                 ,+7.57                ,+106.94              ,+3.53                ,+5.17             ,165.37     ,176.42    ,147.58   ,142.62 ,5.42         ,76.00            ,-5.15         ,1.34              ,--                   ,31.18                    ,--              ,81.77        ,17.97                ,7.43     ,155.66    ,158.70    ,156.05     ,157.54    ,156.97     ,23.60                ,47.06     ,36.96                   ,28.73,166.72              ,-14.52                    ,4.85           ,157.12    ,157.08     ,157.58    ,157.91    ,156.69     ,44.55     ,44.68                ,51.00         ,17.12,-1.02      ,3.85           ,3.45                      ,158.66    ,153.35     ,157.66    ,40.42                ,11.99                   ,22.62   ,150.59                 ,-12.68         ,1.76                      ,-1763.47  , 
PAYX  ,-0.18      ,59.00     ,1495337   ,27.50    ,21.24B    ,25             ,-1.01                     ,24.54     ,60.80     ,-0.39,-90.67      ,36.90                  ,-32.10            ,28.99                  ,61.62                  ,IT Services                                 ,NGM/NGS ,PAYCHEX INC              ,Data Processing & Outsourced Services,1.84    ,59.13         ,58.99 ,500     ,3462432      ,2056552     ,43.19                   ,72.71                  ,Yes       ,59.10 ,59.26 ,59.00 ,69.69                 ,1910696       ,1860199    ,78.26                    ,80.39                 ,No                ,Information Technology,3.10          ,59.13     ,58.84 ,1000    ,1927904     ,52.03                     ,77.56                  ,207.68M        ,No                  ,D  ,***      ,A                  ,9.09           ,4.55                  ,54.55           ,9.09                   ,22.73           ,22                ,3.32              ,756.80M   ,2.95B  ,756.80M ,359.2M            ,2.15    ,2.09      ,1.85      ,2.22        ,1.71      ,1.56      ,1.51      ,9.17                        ,25.64   ,218.66            ,-0.14 ,-2.72                  ,-4.04                      ,-0.05                  ,-2.75                   ,+28.27               ,+131.34              ,+15.98               ,+0.89     ,59.33        ,63.03    ,3.77                   ,58.58     ,51.06    ,63.10                   ,4.07                         ,-0.23   ,-0.03,-2.16                  ,-0.04                 ,-2.74                  ,-0.08                    ,-2.14                ,+60.75               ,+4.98                ,+42.35            ,12              ,62.04     ,63.03   ,58.75       ,58.58   ,-7.78                ,0.27           ,-0.10    ,-0.05,-0.60                   ,-2.49                    ,-4.42                    ,-1.67                 ,+17.82               ,+102.77              ,+2.85                ,+13.19            ,63.03      ,63.03     ,58.58    ,57.07  ,0.42         ,33.00            ,-0.16         ,1.18              ,--                   ,28.29                    ,17.99           ,--           ,26.66                ,7.20     ,60.78     ,60.70     ,59.28      ,60.96     ,60.12      ,25.35                ,47.07     ,31.17                   ,9.33 ,64.05               ,-3.23                     ,-2.30          ,60.76     ,59.24      ,61.40     ,60.82     ,59.83      ,42.65     ,47.40                ,50.43         ,10.82,0.07       ,0.45           ,-1.93                     ,61.62     ,60.03      ,60.68     ,43.13                ,10.27                   ,8.90    ,59.19                  ,-3.51          ,0.61                      ,-9816.54  , 
NLSN  ,+0.32      ,41.23     ,1429461   ,29.55    ,14.69B    ,7              ,-0.19                     ,29.79     ,41.99     ,-0.75,-83.52      ,53.49                  ,-2.46             ,37.28                  ,42.65                  ,Professional Services                       ,NYSE    ,NIELSEN HOLDINGS NV      ,Research & Consulting Services       ,1.24    ,41.08         ,41.22 ,100     ,2399588      ,2856181     ,59.57                   ,50.05                  ,Yes       ,41.10 ,41.43 ,41.23 ,97.63                 ,2314170       ,2772803    ,61.77                    ,51.55                 ,No                ,Industrials           ,3.00          ,41.08     ,41.00 ,900     ,2359905     ,55.65                     ,60.57                  ,98.77M         ,No                  ,C  ,***      ,--                 ,35.00          ,25.00                 ,35.00           ,5.00                   ,--              ,20                ,2.10              ,507.00M   ,6.31B  ,507.00M ,357.54M           ,1.39    ,1.39      ,1.54      ,2.68        ,1.00      ,1.94      ,0.74      ,7.59                        ,7.96    ,146.72            ,+0.15 ,-3.25                  ,-3.69                      ,-3.87                  ,-4.07                   ,+0.29                ,+49.42               ,-15.23               ,+0.88     ,41.19        ,45.29    ,14.51                  ,40.63     ,40.28    ,46.51                   ,2.15                         ,+0.37   ,+0.02,-0.97                  ,0.00                  ,-1.95                  ,-8.60                    ,-1.39                ,+0.07                ,+3.64                ,+11.88            ,37              ,41.57     ,45.73   ,40.72       ,40.63   ,-0.72                ,0.20           ,+0.13    ,+0.05,-0.08                   ,-1.57                    ,-4.54                    ,-1.74                 ,-18.54               ,+30.68               ,-15.55               ,+3.27             ,45.08      ,55.94     ,40.63    ,40.27  ,0.43         ,24.00            ,-0.23         ,1.27              ,--                   ,29.55                    ,--              ,180.34       ,15.35                ,2.33     ,41.39     ,42.96     ,44.03      ,42.28     ,44.05      ,25.92                ,42.24     ,29.85                   ,16.48,45.36               ,-4.02                     ,-1.28          ,42.81     ,47.64      ,42.12     ,42.96     ,44.53      ,40.34     ,41.78                ,44.00         ,13.82,-0.55      ,-0.43          ,-1.19                     ,42.65     ,42.91      ,43.14     ,39.47                ,11.61                   ,13.89   ,39.94                  ,-3.55          ,-0.24                     ,-900.03   , 
