Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                    ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change ,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
SJM   ,-0.18      ,131.27    ,323862    ,22.85    ,15.28B    ,24             ,-0.73                     ,17.53     ,134.51    ,-1.76,-98.32      ,8.27                   ,-20.33            ,25.65                  ,136.26                 ,Food Products                                 ,NYSE    ,SMUCKER (JM) CO          ,Packaged Foods & Meats               ,3.00    ,131.26        ,131.25,200     ,1384028      ,1005058     ,23.40                   ,32.22                  ,Yes       ,131.51,131.86,131.28,78.27                 ,1323576       ,1280851    ,24.47                    ,25.28                 ,No                ,Consumer Staples          ,2.30          ,131.26    ,131.22,200     ,1323267     ,34.91                     ,24.47                  ,183.62M        ,No                  ,C  ,***      ,A                  ,14.29          ,4.76                  ,71.43           ,9.52                   ,--              ,21                ,2.76              ,688.70M   ,7.81B  ,688.70M ,116.44M           ,5.74    ,5.76      ,3.33      ,7.65        ,5.42      ,--        ,4.06      ,6.39                        ,8.82    ,1130.42           ,+0.01  ,-10.01                 ,-3.67                      ,-1.68                  ,-3.48                   ,+23.43               ,+86.48               ,+11.51               ,+0.59     ,132.88       ,142.03   ,25.45                  ,131.12    ,122.05   ,91.73                   ,3.02                         ,+0.01   ,+0.25,+2.76                  ,-0.01                 ,-5.84                  ,-1.27                    ,+3.06                ,+48.02               ,+13.14               ,+9.24             ,5               ,133.69    ,143.68  ,131.12      ,131.12  ,-9.17                ,0.59           ,-0.24    ,+0.19,-0.97                   ,-5.00                    ,-4.26                    ,-4.73                 ,+5.58                ,+50.90               ,+1.07                ,+4.19             ,141.22     ,157.31    ,131.12   ,127.00 ,0.64         ,52.00            ,-0.05         ,0.98              ,--                   ,22.79                    ,--              ,73.43        ,17.16                ,1.96     ,133.41    ,137.28    ,132.70     ,135.21    ,135.21     ,17.41                ,45.43     ,34.04                   ,1.68 ,142.64              ,-9.68                     ,2.74           ,136.16    ,138.00     ,135.23    ,135.81    ,135.10     ,40.68     ,45.42                ,42.99         ,2.58 ,-1.04      ,-6.31          ,2.29                      ,136.26    ,132.96     ,135.64    ,40.65                ,13.57                   ,5.39    ,129.89                 ,-9.22          ,-4.24                     ,-3643.64  , 
SAIC  ,-0.31      ,75.00     ,545166    ,24.77    ,3.29B     ,32             ,-7.99                     ,18.26     ,83.79     ,-1.65,-85.73      ,31.63                  ,-4.42             ,22.28                  ,85.52                  ,IT Services                                   ,NYSE    ,SCIENCE APPLICATIONS INTL,IT Consulting & Other Services       ,1.24    ,74.97         ,75.00 ,200     ,620624       ,316170      ,87.84                   ,172.43                 ,No        ,75.23 ,76.34 ,75.04 ,70.69                 ,333648        ,296636     ,163.40                   ,183.78                ,Yes               ,Information Technology    ,1.70          ,74.97     ,74.38 ,100     ,329067      ,26.75                     ,165.67                 ,48.80M         ,No                  ,C  ,--       ,--                 ,57.14          ,--                    ,42.86           ,--                     ,--              ,7                 ,1.86              ,117.00M   ,4.32B  ,117.00M ,43.88M            ,3.03    ,2.47      ,2.91      ,3.35        ,2.27      ,3.66      ,3.66      ,5.00                        ,2.71    ,287.67            ,+0.03  ,-13.07                 ,-12.34                     ,-5.22                  ,-11.99                  ,+63.42               ,0.00                 ,+61.51               ,+1.61     ,81.50        ,89.63    ,13.53                  ,72.70     ,46.85    ,68.37                   ,13.47                        ,+0.04   ,+0.26,-9.96                  ,-0.13                 ,-11.46                 ,-6.51                    ,-11.27               ,+146.94              ,+5.71                ,+37.38            ,22              ,87.09     ,89.87   ,72.70       ,72.70   ,-27.53               ,1.34           ,-0.23    ,+0.35,-6.51                   ,-10.55                   ,-13.26                   ,-10.21                ,+85.77               ,0.00                 ,+37.41               ,+6.52             ,89.00      ,89.87     ,72.70    ,72.70  ,1.96         ,44.00            ,-0.62         ,1.06              ,--                   ,30.35                    ,--              ,266.58       ,22.39                ,0.76     ,83.93     ,85.10     ,81.33      ,84.43     ,81.95      ,18.11                ,42.76     ,49.25                   ,14.27,92.70               ,-13.88                    ,-10.43         ,85.02     ,73.85      ,85.10     ,84.76     ,80.53      ,35.35     ,42.72                ,63.48         ,24.12,-0.34      ,-7.03          ,-9.11                     ,85.52     ,83.92      ,84.37     ,35.30                ,11.00                   ,28.95   ,78.35                  ,-13.04         ,-5.82                     ,-259.89   , 
FDS   ,+0.41      ,165.07    ,176594    ,19.31    ,6.51B     ,1              ,-1.30                     ,22.05     ,172.22    ,-2.91,-84.57      ,50.24                  ,-9.43             ,23.05                  ,174.99                 ,Capital Markets                               ,NYSE    ,FACTSET RESEARCH SYSTEMS ,Financial Exchanges & Data           ,2.00    ,164.43        ,165.02,100     ,583577       ,328177      ,30.26                   ,53.81                  ,No        ,164.40,166.10,165.10,96.33                 ,317208        ,250883     ,55.67                    ,70.39                 ,Yes               ,Financials                ,1.20          ,164.43    ,164.03,200     ,306863      ,44.30                     ,57.55                  ,97.22M         ,No                  ,F  ,***      ,A+                 ,--             ,5.56                  ,66.67           ,22.22                  ,5.56            ,18                ,3.28              ,338.82M   ,--     ,338.82M ,39.57M            ,8.52    ,8.19      ,5.71      ,7.26        ,4.92      ,4.45      ,4.12      ,10.65                       ,30.06   ,134.58            ,+0.64  ,-14.61                 ,-6.03                      ,-2.88                  ,-6.05                   ,+14.87               ,+90.44               ,+12.81               ,+0.77     ,164.86       ,182.56   ,17.54                  ,161.88    ,145.48   ,49.76                   ,5.57                         ,+0.39   ,-0.03,+0.01                  ,-0.07                 ,-11.62                 ,-1.72                    ,+0.89                ,+69.26               ,+11.37               ,+66.59            ,39              ,178.21    ,183.64  ,163.11      ,161.88  ,-18.55               ,1.03           ,+0.67    ,-0.02,-2.17                   ,-10.56                   ,-6.60                    ,-10.58                ,+19.89               ,+104.20              ,+0.51                ,+33.06            ,182.56     ,183.64    ,161.88   ,161.88 ,2.07         ,73.00            ,-1.04         ,0.83              ,--                   ,20.08                    ,--              ,57.98        ,22.65                ,--       ,172.10    ,176.16    ,167.47     ,173.36    ,171.64     ,18.83                ,44.99     ,39.84                   ,15.43,185.73              ,-14.81                    ,-4.64          ,175.10    ,168.24     ,174.27    ,174.10    ,170.78     ,39.19     ,44.46                ,43.15         ,13.25,-1.16      ,-9.45          ,-0.71                     ,174.99    ,170.05     ,173.63    ,38.23                ,15.82                   ,10.25   ,164.25                 ,-13.27         ,-8.47                     ,-469.67   , 
RAD   ,-1.29      ,4.2838    ,16711060  ,55.61    ,4.66B     ,19             ,-0.94                     ,24.05     ,4.65      ,-0.35,-92.47      ,37.53                  ,-23.00            ,40.25                  ,4.69                   ,Food & Staples Retailing                      ,NYSE    ,RITE AID CORP            ,Drug Retail                          ,--      ,4.42          ,4.28  ,32700   ,9790303      ,21118908    ,170.69                  ,79.13                  ,No        ,4.34  ,4.39  ,4.29  ,62.51                 ,22793396      ,25695982   ,73.32                    ,65.03                 ,No                ,Consumer Staples          ,--            ,4.42      ,4.22  ,25100   ,22043793    ,144.95                    ,75.81                  ,44.15M         ,No                  ,NR ,****     ,B-                 ,33.33          ,11.11                 ,55.56           ,--                     ,--              ,9                 ,2.22              ,165.46M   ,30.74B ,165.46M ,1.05B             ,0.08    ,0.16      ,2.08      ,0.06        ,0.23      ,0.12      ,-0.43     ,2.75                        ,0.54    ,435.49            ,-0.1362,-1.7162                ,-5.81                      ,-2.4628                ,-26.98                  ,-44.34               ,+155.31              ,-22.08               ,+1.86     ,4.55         ,6.02     ,4.38                   ,4.37      ,4.37     ,62.47                   ,8.11                         ,-3.08   ,-0.08,-3.9462                ,-0.06                 ,-0.43                  ,-35.78                   ,-46.36               ,-29.91               ,-24.62               ,+15.84            ,9               ,4.65      ,8.77    ,4.37        ,4.37    ,0.15                 ,0.1062         ,-0.0562  ,-1.81,-0.042                  ,-0.2725                  ,-8.87                    ,-1.633                ,-43.37               ,+139.27              ,-20.32               ,+0.78             ,5.81       ,8.77      ,4.37     ,4.37   ,0.17         ,1.00             ,-0.0638       ,2.38              ,--                   ,27.63                    ,--              ,1198.31      ,69.78                ,0.15     ,4.51      ,5.44      ,6.77       ,4.77      ,6.22       ,27.72                ,33.76     ,36.29                   ,7.53 ,5.16                ,-1.35                     ,-3.98          ,5.95      ,7.06       ,4.63      ,5.50      ,6.39       ,29.97     ,34.50                ,48.28         ,8.97 ,-0.36      ,-0.96          ,-3.76                     ,4.69      ,6.74       ,5.69      ,31.11                ,12.66                   ,13.95   ,4.22                   ,-1.16          ,-0.85                     ,-63386.75 , 
GWW   ,-0.08      ,232.94    ,427605    ,23.69    ,13.73B    ,52             ,-1.00                     ,24.74     ,240.05    ,-3.70,-86.50      ,55.40                  ,-20.37            ,28.13                  ,242.65                 ,Trading Companies & Distributors              ,NYSE    ,GRAINGER (W W) INC       ,Trading Companies & Distributors     ,4.88    ,233.86        ,232.91,100     ,701355       ,630214      ,60.97                   ,67.85                  ,Yes       ,233.13,234.84,233.01,82.80                 ,598023        ,626479     ,71.50                    ,68.26                 ,No                ,Industrials               ,2.10          ,233.86    ,230.58,100     ,595664      ,54.93                     ,71.79                  ,166.28M        ,No                  ,D  ,***      ,A                  ,13.64          ,4.55                  ,63.64           ,9.09                   ,9.09            ,22                ,2.95              ,632.84M   ,10.14B ,632.84M ,58.72M            ,9.87    ,9.87      ,11.58     ,11.88       ,11.45     ,11.13     ,9.52      ,12.50                       ,5.98    ,405.49            ,-0.92  ,-15.63                 ,-3.62                      ,+0.23                  ,-5.09                   ,+6.68                ,+22.06               ,+10.33               ,+0.76     ,235.70       ,252.98   ,27.88                  ,232.00    ,201.94   ,44.60                   ,3.34                         ,-0.39   ,-0.73,-0.48                  ,-0.03                 ,-10.24                 ,+0.10                    ,+1.18                ,+1.13                ,+8.06                ,+31.14            ,2               ,242.73    ,262.71  ,232.00      ,232.00  ,-28.64               ,1.90           ,-0.19    ,-0.31,-2.36                   ,-8.79                    ,-4.20                    ,-12.55                ,+6.76                ,+14.85               ,+8.62                ,+10.96            ,252.86     ,262.72    ,232.00   ,229.05 ,4.26         ,42.00            ,-2.36         ,1.01              ,--                   ,23.69                    ,20.09           ,96.60        ,19.68                ,1.35     ,238.34    ,248.59    ,234.93     ,241.49    ,240.04     ,26.05                ,46.23     ,33.29                   ,13.50,252.96              ,-14.35                    ,-3.39          ,246.55    ,230.68     ,240.71    ,243.65    ,238.54     ,40.63     ,46.67                ,47.59         ,17.73,-2.76      ,-19.13         ,-0.59                     ,242.65    ,240.15     ,243.14    ,41.30                ,11.82                   ,22.62   ,232.33                 ,-16.93         ,-19.82                    ,-1711.05  , 
BSBR  ,-0.73      ,8.845     ,1917631   ,15.97    ,34.27B    ,22             ,-1.52                     ,25.76     ,9.62      ,-0.43,-90.54      ,70.45                  ,-43.22            ,31.66                  ,9.94                   ,Banks                                         ,NYSE    ,BANCO SANTANDER BRASIL  -,Diversified Banks                    ,0.43    ,8.89          ,8.84  ,5900    ,5227117      ,1495980     ,36.69                   ,128.19                 ,No        ,8.91  ,8.91  ,8.85  ,0.62                  ,2395548       ,1725575    ,80.05                    ,111.13                ,No                ,Financials                ,4.80          ,8.89      ,8.69  ,1900    ,2341711     ,56.75                     ,81.89                  ,47.15M         ,No                  ,-- ,--       ,--                 ,--             ,--                    ,--              ,66.67                  ,33.33           ,6                 ,4.33              ,2.13B     ,27.27B ,2.13B   ,7.56B             ,0.56    ,0.56      ,0.74      ,--          ,0.43      ,0.43      ,0.41      ,9.23                        ,5.89    ,--                ,-0.045 ,-2.325                 ,-10.57                     ,+0.0198                ,-13.00                  ,+153.00              ,+53.04               ,+139.81              ,+1.47     ,8.96         ,11.28    ,2.84                   ,8.67      ,4.41     ,29.55                   ,10.33                        ,-0.51   ,+0.02,-0.425                 ,-0.11                 ,-1.2577                ,+0.22                    ,+4.24                ,+130.05              ,+38.48               ,+8.49             ,0               ,9.97      ,11.75   ,8.77        ,8.67    ,-4.28                ,0.065          ,-0.065   ,+0.22,-0.137                  ,-1.0513                  ,-12.39                   ,-1.3285               ,+126.53              ,+92.29               ,+63.20               ,+1.12             ,11.28      ,11.75     ,8.67     ,8.67   ,0.22         ,91.00            ,-0.155        ,0.68              ,--                   ,15.97                    ,2.03            ,--           ,--                   ,2.47     ,9.50      ,10.37     ,9.10       ,9.79      ,9.40       ,26.32                ,46.98     ,36.69                   ,9.46 ,11.19               ,-2.04                     ,-0.62          ,10.22     ,7.99       ,9.76      ,9.95      ,9.15       ,41.19     ,47.20                ,56.78         ,8.38 ,-0.27      ,-1.46          ,-0.41                     ,9.94      ,9.38       ,9.87      ,41.50                ,10.11                   ,6.00    ,8.69                   ,-2.36          ,-1.25                     ,-17372.20 , 
AHL   ,0.00       ,52.15     ,122250    ,20.00    ,3.13B     ,4              ,-0.19                     ,26.01     ,53.15     ,-0.96,-76.54      ,62.50                  ,-6.37             ,33.96                  ,53.66                  ,Insurance                                     ,NYSE    ,ASPEN INSURANCE HOLDINGS ,Property & Casualty Insurance        ,0.88    ,52.20         ,52.10 ,300     ,307357       ,267571      ,39.77                   ,45.69                  ,No        ,52.15 ,52.30 ,52.15 ,97.94                 ,253818        ,257151     ,48.16                    ,47.54                 ,Yes               ,Financials                ,1.70          ,52.20     ,51.90 ,500     ,247961      ,50.73                     ,49.30                  ,16.03M         ,No                  ,D  ,***      ,--                 ,--             ,--                    ,100.00          ,--                     ,--              ,4                 ,3.00              ,203.40M   ,2.88B  ,203.40M ,59.95M            ,2.61    ,2.61      ,4.54      ,4.05        ,4.82      ,4.14      ,3.39      ,16.34                       ,7.07    ,1794.82           ,-0.05  ,-4.50                  ,-2.73                      ,-0.61                  ,-5.95                   ,+14.29               ,+107.26              ,+18.69               ,+0.65     ,52.65        ,57.55    ,5.50                   ,51.20     ,43.27    ,37.50                   ,2.11                         ,-0.10   ,-0.05,-3.20                  ,0.00                  ,-1.96                  ,-1.16                    ,-4.72                ,+39.71               ,+10.44               ,+7.12             ,1               ,52.80     ,57.80   ,52.10       ,51.20   ,-8.63                ,0.15           ,0.00     ,-0.10,-0.10                   ,-1.46                    ,-3.61                    ,-3.30                 ,+13.39               ,+45.70               ,+22.98               ,+1.76             ,56.60      ,57.80     ,51.20    ,51.20  ,0.40         ,19.00            ,-0.25         ,0.86              ,--                   ,20.00                    ,1.13            ,18.21        ,12.89                ,1.09     ,52.56     ,55.38     ,53.43      ,53.52     ,53.63      ,26.44                ,45.76     ,32.13                   ,23.46,55.99               ,-4.25                     ,-3.45          ,55.45     ,50.31      ,53.25     ,54.39     ,53.19      ,39.03     ,45.89                ,47.48         ,26.75,-0.84      ,-4.65          ,-2.85                     ,53.66     ,54.35      ,54.34     ,39.22                ,11.44                   ,28.58   ,51.33                  ,-4.20          ,-4.25                     ,-251.00   , 
AEG   ,+0.29      ,5.145     ,801144    ,31.81    ,10.67B    ,5              ,-0.06                     ,26.69     ,5.39      ,-0.10,-92.67      ,68.55                  ,18.75             ,19.14                  ,5.54                   ,Insurance                                     ,NYSE    ,AEGON NV                 ,Life & Health Insurance              ,0.29    ,5.19          ,5.14  ,58600   ,2249722      ,1992564     ,35.61                   ,40.21                  ,No        ,5.13  ,5.16  ,5.15  ,45.14                 ,1829761       ,1842169    ,43.78                    ,43.49                 ,No                ,Financials                ,5.50          ,5.19      ,5.1123,45000   ,1884615     ,33.19                     ,42.51                  ,11.76M         ,No                  ,-- ,***      ,--                 ,--             ,--                    ,100.00          ,--                     ,--              ,2                 ,3.00              ,483.63M   ,55.10B ,483.63M ,2.07B             ,0.16    ,0.16      ,-0.30     ,--          ,0.32      ,0.41      ,0.82      ,47.40                       ,0.97    ,1875.31           ,-0.045 ,-0.335                 ,-6.24                      ,+0.0936                ,-5.96                   ,-29.67               ,+16.67               ,+7.67                ,+1.49     ,5.19         ,5.84     ,0.93                   ,5.09      ,3.36     ,31.45                   ,6.79                         ,-0.87   ,-0.06,-0.445                 ,-0.03                 ,-0.3636                ,+1.84                    ,-6.15                ,-31.76               ,+4.71                ,+1.81             ,6               ,5.33      ,5.84    ,5.14        ,5.09    ,-1.7523              ,0.015          ,+0.015   ,-1.16,-0.003                  ,-0.3453                  ,-6.55                    ,-0.329                ,+1.93                ,+2.72                ,+30.56               ,+0.11             ,5.84       ,6.09      ,5.09     ,5.09   ,0.0477       ,21.00            ,-0.0327       ,1.36              ,--                   ,31.81                    ,0.42            ,49.72        ,--                   ,0.20     ,5.37      ,5.51      ,5.22       ,5.43      ,5.31       ,28.62                ,47.66     ,39.08                   ,7.33 ,5.99                ,-0.28                     ,-0.55          ,5.51      ,4.74       ,5.49      ,5.46      ,5.25       ,42.82     ,48.26                ,26.64         ,10.00,-0.04      ,-0.35          ,-0.45                     ,5.54      ,5.42       ,5.44      ,43.75                ,22.64                   ,10.21   ,5.08                   ,-0.53          ,-0.36                     ,4448.23   , 
BRO   ,-0.83      ,41.73     ,440868    ,23.10    ,5.90B     ,16             ,-0.45                     ,26.88     ,42.61     ,-0.30,-97.72      ,12.50                  ,-2.53             ,20.70                  ,42.87                  ,Insurance                                     ,NYSE    ,BROWN & BROWN INC        ,Insurance Brokers                    ,0.54    ,42.05         ,41.73 ,100     ,477829       ,699771      ,92.26                   ,63.00                  ,No        ,42.08 ,42.08 ,41.74 ,74.08                 ,476469        ,651876     ,92.53                    ,67.63                 ,Yes               ,Financials                ,1.30          ,42.05     ,41.68 ,200     ,499390      ,77.90                     ,88.28                  ,20.23M         ,No                  ,C  ,**       ,A-                 ,7.14           ,7.14                  ,71.43           ,7.14                   ,7.14            ,14                ,3.00              ,257.49M   ,1.76B  ,257.49M ,140.27M           ,1.82    ,1.82      ,1.70      ,1.88        ,1.41      ,1.48      ,1.26      ,8.23                        ,14.61   ,212.46            ,-0.32  ,-1.80                  ,-1.91                      ,+0.37                  ,-2.85                   ,+32.81               ,+92.97               ,+20.75               ,+0.72     ,42.30        ,43.96    ,3.69                   ,41.96     ,34.23    ,87.50                   ,2.55                         ,-0.76   ,+0.03,-3.31                  ,-0.02                 ,-0.96                  ,+0.89                    ,-5.96                ,+44.39               ,-0.26                ,+11.42            ,0               ,42.75     ,45.77   ,42.01       ,41.96   ,-7.45                ,0.35           ,-0.35    ,+0.07,-0.19                   ,-0.82                    ,-2.24                    ,-1.23                 ,+22.65               ,+42.46               ,+15.82               ,+5.00             ,43.87      ,45.77     ,41.96    ,41.68  ,0.40         ,21.00            ,-0.05         ,0.99              ,--                   ,23.10                    ,--              ,43.15        ,22.40                ,3.35     ,42.47     ,42.96     ,42.11      ,42.72     ,42.28      ,31.15                ,47.85     ,32.03                   ,2.28 ,43.90               ,-1.10                     ,-3.83          ,43.19     ,40.04      ,42.79     ,42.92     ,41.91      ,42.41     ,49.01                ,42.66         ,9.14 ,-0.17      ,-0.53          ,-2.77                     ,42.87     ,43.13      ,42.86     ,44.24                ,12.87                   ,18.35   ,41.84                  ,-1.87          ,0.10                      ,-173.07   , 
PTHN  ,+0.69      ,26.38     ,164076    ,42.51    ,3.80B     ,4              ,+0.20                     ,27.30     ,27.31     ,-1.22,-67.04      ,83.78                  ,46.50             ,47.53                  ,28.34                  ,Life Sciences Tools & Services                ,NYSE    ,PATHEON NV               ,Life Sciences Tools & Services       ,--      ,26.17         ,26.37 ,200     ,467815       ,418385      ,35.07                   ,39.22                  ,No        ,26.20 ,26.44 ,26.39 ,24.15                 ,785011        ,467624     ,20.90                    ,35.09                 ,No                ,Health Care               ,--            ,26.17     ,26.07 ,200     ,756471      ,38.66                     ,21.69                  ,12.19M         ,No                  ,C  ,--       ,--                 ,36.36          ,36.36                 ,27.27           ,--                     ,--              ,11                ,1.91              ,31.70M    ,1.87B  ,31.70M  ,145.14M           ,0.62    ,0.26      ,1.20      ,1.14        ,-1.03     ,-0.26     ,-0.83     ,19.75                       ,1.70    ,205.13            ,+0.21  ,-5.32                  ,-7.64                      ,-2.35                  ,-10.63                  ,0.00                 ,0.00                 ,0.00                 ,0.00      ,26.25        ,32.33    ,6.51                   ,23.72     ,23.72    ,16.22                   ,3.89                         ,+0.80   ,+0.03,-2.62                  ,+0.01                 ,-2.73                  ,-8.25                    ,-8.85                ,0.00                 ,+15.13               ,-14.03            ,6               ,27.10     ,32.95   ,25.69       ,23.72   ,-2.35                ,0.06           ,+0.18    ,+0.11,+0.05                   ,-2.17                    ,-9.46                    ,-3.11                 ,0.00                 ,0.00                 ,+12.54               ,0.00              ,32.33      ,32.95     ,25.35    ,23.72  ,0.37         ,17.00            ,-0.31         ,1.82              ,--                   ,102.60                   ,--              ,-602.61      ,23.02                ,2.03     ,26.28     ,29.41     ,28.39      ,27.79     ,--         ,22.27                ,--        ,35.51                   ,32.96,32.94               ,-5.35                     ,-2.80          ,29.23     ,--         ,27.41     ,--        ,--         ,--        ,50.00                ,52.96         ,30.40,-1.01      ,-3.20          ,-3.17                     ,28.34     ,28.62      ,--        ,50.00                ,10.92                   ,29.16   ,23.73                  ,-5.89          ,-3.07                     ,6529.21   , 
