Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                    ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
CAL   ,-3.20      ,26.36     ,257319    ,17.89    ,1.17B     ,46             ,+1.15                     ,32.75     ,27.66     ,-1.03,-83.33      ,12.12                  ,24.15             ,22.23                  ,28.46                  ,Specialty Retail                            ,NYSE    ,CALERES INC              ,Apparel Retail                       ,0.28    ,27.19         ,26.35 ,100     ,386803       ,319714      ,66.52                   ,80.48                  ,No        ,27.23 ,27.23 ,26.37 ,88.57                 ,539589        ,331780     ,47.69                    ,77.56                 ,No                ,Consumer Discretionary,1.00          ,27.19     ,26.24 ,300     ,516984      ,62.53                     ,49.77                  ,10.40M         ,Yes                 ,C  ,--       ,B                  ,42.86          ,14.29                 ,42.86           ,--                     ,--              ,7                 ,2.00              ,66.09M    ,2.58B  ,66.09M  ,42.96M            ,1.52    ,1.52      ,1.85      ,2.17        ,1.89      ,0.88      ,0.64      ,11.00                       ,2.55    ,214.95            ,-0.83 ,-4.05                  ,-4.45                      ,-2.26                  ,-9.78                   ,-16.26               ,+200.13              ,+23.06               ,+0.48     ,27.34        ,32.83    ,9.38                   ,25.23     ,21.27    ,87.88                   ,5.78                         ,-3.05   ,+0.04,-6.79                  ,-0.01                 ,-1.58                  ,-7.66                    ,-16.95               ,+0.08                ,-8.58                ,+10.88            ,0               ,27.70     ,33.95   ,26.77       ,25.23   ,-4.97                ,0.87           ,-0.87    ,+0.15,+0.31                   ,-1.27                    ,-5.49                    ,-2.95                 ,+0.53                ,+66.51               ,+15.71               ,+4.76             ,32.83      ,36.61     ,26.05    ,25.23  ,0.99         ,5.00             ,-0.12         ,0.77              ,--                   ,17.89                    ,4.89            ,32.06        ,12.53                ,0.45     ,26.64     ,29.70     ,29.86      ,28.04     ,29.46      ,38.99                ,43.75     ,28.26                   ,16.67,32.38               ,-2.79                     ,-7.10          ,29.98     ,28.01      ,27.88     ,29.30     ,29.32      ,39.87     ,45.23                ,19.11         ,24.88,-0.91      ,-4.33          ,-5.42                     ,28.46     ,30.76      ,29.45     ,42.09                ,19.19                   ,25.88   ,24.53                  ,-3.97          ,-3.40                     ,2123.44   , 
BEL   ,-2.44      ,12.00     ,206474    ,35.14    ,1.25B     ,15             ,+1.40                     ,39.07     ,12.20     ,-0.27,-57.14      ,31.58                  ,4.19              ,37.56                  ,12.11                  ,Hotels Restaurants & Leisure                ,NYSE    ,BELMOND LTD              ,Hotels Resorts & Cruise Lines        ,--      ,12.30         ,12.00 ,900     ,235356       ,362716      ,87.73                   ,56.92                  ,No        ,12.30 ,12.33 ,12.05 ,77.87                 ,341201        ,305061     ,60.51                    ,67.68                 ,No                ,Consumer Discretionary,--            ,12.30     ,11.85 ,1400    ,367480      ,56.42                     ,56.19                  ,2.86M          ,Yes                 ,C  ,--       ,--                 ,--             ,33.33                 ,66.67           ,--                     ,--              ,6                 ,2.67              ,36.43M    ,549.82M,36.43M  ,101.81M           ,0.35    ,0.35      ,0.16      ,0.25        ,-0.02     ,-0.31     ,-0.07     ,1.00                        ,6.61    ,63.93             ,-0.30 ,-1.00                  ,+1.59                      ,-0.68                  ,-6.68                   ,-0.58                ,+17.10               ,+36.17               ,+1.11     ,12.40        ,13.05    ,2.13                   ,11.70     ,8.69     ,68.42                   ,0.72                         ,-2.44   ,0.00 ,-1.50                  ,0.00                  ,+0.13                  ,-5.21                    ,-7.87                ,-13.37               ,0.00                 ,+5.42             ,1               ,12.40     ,14.45   ,12.10       ,11.70   ,-3.16                ,0.33           ,-0.30    ,0.00 ,+0.17                   ,+0.19                    ,+1.03                    ,-0.88                 ,+29.99               ,+22.83               ,+15.94               ,+2.40             ,12.70      ,14.45     ,11.85    ,11.70  ,0.48         ,12.00            ,-0.15         ,1.51              ,--                   ,35.14                    ,2.24            ,85.44        ,48.95                ,2.28     ,12.09     ,13.11     ,13.03      ,12.30     ,12.79      ,49.72                ,44.58     ,24.17                   ,42.86,12.43               ,-0.15                     ,-1.45          ,13.15     ,12.31      ,12.09     ,12.75     ,12.71      ,40.89     ,46.43                ,31.00         ,64.29,-0.33      ,-1.90          ,-1.10                     ,12.11     ,13.16      ,12.81     ,43.77                ,12.73                   ,64.38   ,11.79                  ,-0.40          ,-1.80                     ,197.98    , 
KMX   ,-2.02      ,58.59     ,1878420   ,19.03    ,11.24B    ,149            ,+1.00                     ,27.55     ,60.80     ,-1.61,-87.66      ,25.15                  ,-0.61             ,43.41                  ,61.65                  ,Specialty Retail                            ,NYSE    ,CARMAX INC               ,Automotive Retail                    ,--      ,60.06         ,58.58 ,400     ,1993588      ,2187701     ,94.22                   ,85.86                  ,Yes       ,59.80 ,59.96 ,58.60 ,94.64                 ,2142357       ,2058380    ,87.68                    ,91.26                 ,No                ,Consumer Discretionary,--            ,60.06     ,58.13 ,200     ,2327533     ,138.63                    ,80.70                  ,118.75M        ,No                  ,D  ,***      ,B+                 ,40.00          ,15.00                 ,30.00           ,5.00                   ,10.00           ,20                ,2.30              ,623.43M   ,15.83B ,623.43M ,187.12M           ,3.16    ,3.03      ,2.73      ,3.28        ,2.16      ,1.87      ,1.79      ,13.31                       ,3.94    ,705.90            ,-1.47 ,-6.92                  ,-2.59                      ,-0.03                  ,-7.68                   ,-11.44               ,+74.52               ,+20.28               ,+1.32     ,60.73        ,66.44    ,9.15                   ,57.83     ,45.06    ,74.85                   ,3.86                         ,-2.45   ,-0.26,-6.44                  ,-0.02                 ,-2.19                  ,-0.05                    ,-6.72                ,+25.42               ,+11.68               ,+20.77            ,8               ,60.73     ,69.11   ,59.92       ,57.83   ,-13.07               ,1.37           ,-1.21    ,-0.43,+0.59                   ,-1.59                    ,-3.52                    ,-5.00                 ,+22.06               ,+47.71               ,+9.48                ,+4.08             ,65.55      ,69.11     ,57.83    ,57.83  ,1.83         ,18.00            ,-0.46         ,0.82              ,--                   ,19.82                    ,4.03            ,356.04       ,18.31                ,0.71     ,59.77     ,64.67     ,60.83      ,61.41     ,62.11      ,35.29                ,44.87     ,33.98                   ,12.34,65.69               ,-4.97                     ,-8.17          ,64.93     ,58.58      ,60.85     ,62.98     ,61.57      ,38.84     ,46.82                ,49.06         ,26.08,-1.47      ,-6.41          ,-4.75                     ,61.65     ,62.85      ,62.97     ,41.86                ,11.61                   ,27.13   ,57.62                  ,-6.28          ,-5.13                     ,-206.37   , 
MNK   ,-1.81      ,44.58     ,1039192   ,17.62    ,4.75B     ,59             ,+1.23                     ,37.45     ,45.81     ,-1.67,-61.61      ,10.07                  ,-23.60            ,39.83                  ,46.71                  ,Pharmaceuticals                             ,NYSE    ,MALLINCKRODT PLC         ,Pharmaceuticals                      ,--      ,45.39         ,44.56 ,200     ,1620487      ,2140614     ,64.13                   ,48.55                  ,Yes       ,45.40 ,45.83 ,44.58 ,86.70                 ,1913773       ,2236442    ,54.30                    ,46.47                 ,No                ,Health Care           ,--            ,45.39     ,44.44 ,200     ,1962660     ,58.59                     ,52.95                  ,72.28M         ,No                  ,C  ,****     ,--                 ,58.82          ,35.29                 ,5.88            ,--                     ,--              ,17                ,1.47              ,643.70M   ,3.38B  ,643.70M ,104.7M            ,2.58    ,5.78      ,2.75      ,7.57        ,-4.92     ,1.02      ,2.33      ,8.63                        ,19.04   ,751.29            ,-0.81 ,-8.54                  ,-2.83                      ,-9.94                  ,-8.16                   ,-66.77               ,0.00                 ,-17.27               ,+1.49     ,45.65        ,53.60    ,40.00                  ,41.57     ,41.57    ,89.93                   ,2.31                         ,-1.78   ,+0.01,-5.92                  ,+0.03                 ,-2.11                  ,-17.96                   ,-8.89                ,-35.32               ,-0.53                ,+5.49             ,14              ,45.93     ,55.32   ,44.71       ,41.57   ,-2.87                ,1.25           ,-0.82    ,+0.02,+0.55                   ,-1.32                    ,-4.45                    ,-4.04                 ,-28.26               ,0.00                 ,-29.68               ,+1.79             ,52.92      ,85.83     ,42.72    ,41.57  ,1.39         ,6.00             ,-0.14         ,0.75              ,--                   ,7.86                     ,--              ,109.83       ,6.00                 ,1.41     ,44.35     ,48.88     ,53.48      ,46.45     ,52.24      ,41.82                ,42.12     ,29.06                   ,38.39,51.99               ,-6.56                     ,-8.61          ,49.24     ,60.17      ,45.61     ,48.87     ,53.44      ,40.43     ,42.83                ,37.11         ,43.68,-1.63      ,-5.12          ,-6.34                     ,46.71     ,51.63      ,49.57     ,41.70                ,13.33                   ,40.19   ,41.44                  ,-7.31          ,-3.60                     ,-6658.33  , 
AKAM  ,-1.35      ,59.74     ,2323834   ,33.82    ,10.48B    ,115            ,-2.39                     ,23.15     ,62.87     ,-0.81,-96.10      ,17.02                  ,-30.60            ,18.56                  ,63.47                  ,Internet Software & Services                ,NGM/NGS ,AKAMAI TECHNOLOGIES INC  ,Internet Software & Services         ,--      ,60.53         ,59.74 ,300     ,2642725      ,2066296     ,87.93                   ,112.46                 ,Yes       ,60.56 ,60.91 ,59.75 ,92.77                 ,1706928       ,1963638    ,136.14                   ,118.34                ,No                ,Information Technology,--            ,60.53     ,59.50 ,200     ,1712712     ,38.72                     ,135.68                 ,163.96M        ,No                  ,C  ,****     ,B+                 ,50.00          ,8.33                  ,33.33           ,8.33                   ,--              ,24                ,2.00              ,316.13M   ,2.34B  ,316.13M ,173.19M           ,1.79    ,1.79      ,1.78      ,2.79        ,1.84      ,1.61      ,1.12      ,13.77                       ,13.51   ,360.56            ,-0.79 ,-3.08                  ,-4.63                      ,-3.45                  ,-8.01                   ,-12.37               ,+73.76               ,+14.69               ,+0.83     ,64.06        ,65.65    ,10.73                  ,60.37     ,47.80    ,82.98                   ,6.13                         ,-1.31   ,+0.03,-7.53                  ,-0.06                 ,-3.12                  ,-5.39                    ,-9.22                ,+6.80                ,-6.15                ,+9.96             ,11              ,64.31     ,71.64   ,60.37       ,60.37   ,-11.70               ,1.17           ,-0.82    ,+0.05,-1.48                   ,-2.94                    ,-4.89                    ,-5.27                 ,+16.03               ,+82.95               ,+14.03               ,+7.39             ,65.65      ,71.64     ,60.37    ,60.37  ,1.41         ,19.00            ,-0.24         ,1.45              ,--                   ,33.82                    ,5.69            ,19.85        ,21.73                ,4.48     ,62.88     ,64.80     ,65.10      ,63.16     ,63.93      ,26.11                ,43.38     ,37.33                   ,3.90 ,66.01               ,-3.26                     ,-8.59          ,65.63     ,60.53      ,63.40     ,64.25     ,63.51      ,37.48     ,44.46                ,45.16         ,12.18,-0.50      ,-9.66          ,-7.03                     ,63.47     ,65.96      ,64.35     ,39.11                ,14.10                   ,18.27   ,60.93                  ,-3.62          ,-8.17                     ,-8316.00  , 
TLRD  ,-1.31      ,15.11     ,426354    ,30.02    ,746.88M   ,27             ,+1.97                     ,35.16     ,15.74     ,-1.60,-30.38      ,28.57                  ,16.04             ,39.56                  ,16.13                  ,Specialty Retail                            ,NYSE    ,TAILORED BRANDS INC      ,Apparel Retail                       ,0.72    ,15.31         ,15.11 ,500     ,1012676      ,1483620     ,42.10                   ,28.74                  ,No        ,15.31 ,15.46 ,15.13 ,86.00                 ,2400354       ,1741701    ,17.76                    ,24.48                 ,No                ,Consumer Discretionary,4.70          ,15.31     ,14.97 ,400     ,2295871     ,51.36                     ,18.57                  ,15.13M         ,Yes                 ,C  ,**       ,B-                 ,16.67          ,16.67                 ,66.67           ,--                     ,--              ,6                 ,2.50              ,24.96M    ,3.38B  ,24.96M  ,48.78M            ,0.51    ,0.51      ,-21.26    ,1.63        ,-0.01     ,1.70      ,2.55      ,16.50                       ,0.74    ,173.71            ,-0.20 ,-8.00                  ,-5.10                      ,-4.21                  ,-24.25                  ,-70.35               ,-57.54               ,+73.18               ,+1.47     ,15.43        ,24.11    ,13.30                  ,14.01     ,10.90    ,71.43                   ,-2.01                        ,-1.31   ,0.00 ,-10.54                 ,+0.03                 ,-1.84                  ,-21.55                   ,-39.36               ,-68.19               ,+24.00               ,-24.03            ,5               ,15.59     ,26.20   ,15.04       ,14.01   ,-4.07                ,0.35           ,-0.20    ,0.00 ,+0.30                   ,-0.82                    ,-10.75                   ,-4.90                 ,-7.84                ,-51.16               ,+78.43               ,+1.15             ,23.99      ,28.76     ,14.26    ,14.01  ,0.49         ,1.00             ,-0.14         ,1.29              ,--                   ,30.02                    ,--              ,-1470.15     ,9.36                 ,0.22     ,14.77     ,19.62     ,19.91      ,16.34     ,--         ,36.94                ,--        ,34.49                   ,69.62,22.17               ,-8.27                     ,-9.74          ,19.98     ,17.65      ,14.81     ,18.62     ,--         ,37.18     ,50.00                ,35.33         ,73.62,-1.79      ,-6.64          ,-9.36                     ,16.13     ,20.67      ,18.93     ,37.67                ,16.48                   ,55.44   ,10.10                  ,-8.22          ,-6.17                     ,3031.34   , 
RAD   ,-1.27      ,4.285     ,16702075  ,55.61    ,4.66B     ,19             ,-0.92                     ,23.93     ,4.65      ,-0.35,-93.01      ,38.24                  ,-23.36            ,40.25                  ,4.69                   ,Food & Staples Retailing                    ,NYSE    ,RITE AID CORP            ,Drug Retail                          ,--      ,4.42          ,4.28  ,51000   ,9790303      ,21118908    ,170.60                  ,79.09                  ,No        ,4.34  ,4.39  ,4.29  ,62.51                 ,22793396      ,25695982   ,73.28                    ,65.00                 ,No                ,Consumer Staples      ,--            ,4.42      ,4.22  ,18100   ,22043793    ,144.88                    ,75.77                  ,44.15M         ,No                  ,NR ,****     ,B-                 ,33.33          ,11.11                 ,55.56           ,--                     ,--              ,9                 ,2.22              ,165.46M   ,30.74B ,165.46M ,1.05B             ,0.08    ,0.16      ,2.08      ,0.06        ,0.23      ,0.12      ,-0.43     ,2.75                        ,0.54    ,435.49            ,-0.135,-1.715                 ,-5.80                      ,-2.4628                ,-26.98                  ,-44.34               ,+155.31              ,-22.08               ,+1.86     ,4.55         ,6.02     ,4.38                   ,4.37      ,4.37     ,61.76                   ,8.07                         ,-3.05   ,-0.08,-3.945                 ,-0.06                 ,-0.43                  ,-35.78                   ,-46.36               ,-29.91               ,-24.62               ,+15.84            ,9               ,4.65      ,8.77    ,4.37        ,4.37    ,0.15                 ,0.105          ,-0.055   ,-1.81,-0.041                  ,-0.2723                  ,-8.87                    ,-1.633                ,-43.37               ,+139.27              ,-20.32               ,+0.78             ,5.81       ,8.77      ,4.37     ,4.37   ,0.17         ,1.00             ,-0.065        ,2.38              ,--                   ,27.63                    ,--              ,1198.31      ,69.78                ,0.15     ,4.51      ,5.44      ,6.77       ,4.77      ,6.22       ,27.72                ,33.73     ,36.29                   ,6.99 ,5.16                ,-1.35                     ,-3.99          ,5.95      ,7.06       ,4.63      ,5.50      ,6.39       ,29.93     ,34.50                ,48.28         ,8.80 ,-0.36      ,-0.97          ,-3.76                     ,4.69      ,6.74       ,5.69      ,31.11                ,12.66                   ,13.89   ,4.22                   ,-1.17          ,-0.85                     ,-64367.73 , 
MNRO  ,-1.15      ,51.75     ,129938    ,26.51    ,1.70B     ,20             ,+0.08                     ,29.66     ,53.24     ,-1.34,-91.79      ,12.12                  ,-4.09             ,20.20                  ,53.97                  ,Specialty Retail                            ,NGM/NGS ,MONRO MUFFLER BRAKE INC  ,Automotive Retail                    ,0.68    ,52.30         ,51.70 ,400     ,252693       ,299415      ,51.42                   ,43.40                  ,No        ,52.35 ,53.20 ,51.80 ,96.56                 ,311426        ,272178     ,41.72                    ,47.74                 ,No                ,Consumer Discretionary,1.30          ,52.30     ,51.55 ,400     ,301415      ,50.74                     ,43.11                  ,13.20M         ,Yes                 ,F  ,***      ,A-                 ,45.45          ,--                    ,54.55           ,--                     ,--              ,11                ,2.09              ,66.80M    ,943.65M,66.80M  ,32.57M            ,1.97    ,2.00      ,1.88      ,1.97        ,1.67      ,1.32      ,1.69      ,13.33                       ,7.08    ,140.32            ,-0.55 ,-6.55                  ,-3.10                      ,-5.14                  ,-7.91                   ,-19.25               ,+29.54               ,-7.86                ,+0.78     ,53.10        ,58.90    ,20.66                  ,51.35     ,51.35    ,87.88                   ,2.72                         ,-1.05   ,+0.05,-5.85                  ,-0.01                 ,-2.30                  ,-8.95                    ,-8.29                ,-7.88                ,-3.56                ,+11.98            ,1               ,53.20     ,61.10   ,51.67       ,51.35   ,-0.20                ,1.45           ,-0.60    ,+0.10,+0.04                   ,-1.67                    ,-4.21                    ,-4.49                 ,-24.27               ,+33.42               ,+2.23                ,+6.07             ,58.50      ,73.86     ,51.35    ,51.35  ,1.65         ,20.00            ,-0.20         ,1.14              ,--                   ,26.11                    ,17.48           ,50.18        ,26.61                ,1.80     ,52.30     ,56.25     ,57.01      ,53.74     ,56.76      ,33.18                ,42.44     ,21.04                   ,8.21 ,57.61               ,-5.95                     ,-7.80          ,56.66     ,58.61      ,53.16     ,55.48     ,57.17      ,38.96     ,43.14                ,7.75          ,20.19,-1.25      ,-3.35          ,-4.95                     ,53.97     ,56.97      ,55.80     ,40.13                ,18.01                   ,20.28   ,50.33                  ,-5.30          ,-3.60                     ,-185.95   , 
SABR  ,-1.07      ,21.30     ,963791    ,25.06    ,5.97B     ,21             ,+1.11                     ,42.81     ,21.44     ,-0.31,-58.45      ,--                     ,-22.59            ,34.05                  ,21.54                  ,IT Services                                 ,NASDAQ  ,SABRE CORP               ,Data Processing & Outsourced Services,0.56    ,21.54         ,21.30 ,1800    ,1612092      ,3054795     ,59.79                   ,31.55                  ,No        ,21.53 ,21.61 ,21.31 ,70.88                 ,1852683       ,3209581    ,52.02                    ,30.03                 ,No                ,Information Technology,2.60          ,21.54     ,21.30 ,2200    ,1913591     ,74.75                     ,50.37                  ,34.17M         ,No                  ,D  ,--       ,--                 ,66.67          ,25.00                 ,8.33            ,--                     ,--              ,12                ,1.42              ,246.94M   ,3.37B  ,246.94M ,277.13M           ,0.86    ,0.86      ,1.95      ,1.37        ,0.23      ,-0.74     ,-3.65     ,9.64                        ,7.19    ,337.34            ,-0.24 ,-0.73                  ,-0.01                      ,-2.97                  ,-6.03                   ,-6.30                ,0.00                 ,-21.07               ,+0.71     ,21.68        ,22.33    ,8.15                   ,20.71     ,20.72    ,100.00                  ,0.79                         ,-1.11   ,-0.01,-3.86                  ,+0.02                 ,-0.10                  ,-12.10                   ,-13.11               ,0.00                 ,-14.81               ,+44.67            ,4               ,21.68     ,25.89   ,21.47       ,20.71   ,-0.58                ,0.31           ,-0.23    ,-0.05,+0.24                   ,0.00                     ,-0.46                    ,-1.38                 ,-22.40               ,0.00                 ,-21.39               ,+4.44             ,22.21      ,29.76     ,20.71    ,20.71  ,0.31         ,8.00             ,0.00          ,1.07              ,--                   ,25.06                    ,--              ,523.69       ,15.75                ,1.77     ,21.24     ,22.42     ,24.16      ,21.55     ,23.52      ,49.68                ,40.09     ,26.23                   ,41.55,22.26               ,-0.61                     ,-3.52          ,22.83     ,25.57      ,21.47     ,22.37     ,23.87      ,39.15     ,40.96                ,25.20         ,52.21,-0.36      ,-3.34          ,-3.25                     ,21.54     ,23.86      ,22.64     ,40.71                ,15.67                   ,45.56   ,20.82                  ,-0.85          ,-2.99                     ,-6004.55  , 
RDY   ,-1.01      ,40.08     ,127038    ,47.55    ,6.67B     ,20             ,+0.79                     ,40.29     ,40.63     ,-0.81,-65.68      ,4.05                   ,-18.59            ,28.12                  ,40.78                  ,Pharmaceuticals                             ,NYSE    ,DR REDDY'S LABORATORIES L,Pharmaceuticals                      ,0.30    ,40.62         ,40.08 ,200     ,235881       ,291099      ,53.86                   ,43.64                  ,No        ,40.49 ,40.79 ,40.10 ,49.27                 ,308875        ,306041     ,41.13                    ,41.51                 ,No                ,Health Care           ,0.70          ,40.61     ,40.05 ,300     ,302264      ,45.04                     ,42.03                  ,9.48M          ,No                  ,-- ,--       ,--                 ,33.33          ,--                    ,33.33           ,--                     ,33.33           ,3                 ,3.00              ,305.94M   ,2.37B  ,305.94M ,165.68M           ,0.85    ,1.79      ,1.98      ,83.20       ,1.93      ,1.50      ,1.28      ,12.75                       ,0.20    ,106.65            ,-0.53 ,-3.68                  ,-0.42                      ,-4.44                  ,-6.06                   ,-28.84               ,+25.06               ,-8.40                ,+0.52     ,40.66        ,44.23    ,13.94                  ,39.04     ,39.04    ,95.95                   ,1.19                         ,-1.31   ,-0.12,-5.11                  ,+0.01                 ,-0.57                  ,-9.85                    ,-10.29               ,-9.47                ,-8.07                ,+7.82             ,9               ,40.66     ,46.95   ,40.03       ,39.04   ,-1.01                ,0.71           ,-0.41    ,-0.30,+0.32                   ,-0.17                    ,-1.37                    ,-2.62                 ,-11.51               ,+26.49               ,-5.60                ,+4.49             ,43.46      ,54.73     ,39.54    ,39.04  ,0.74         ,12.00            ,-0.03         ,2.04              ,--                   ,22.71                    ,4.43            ,8.33         ,0.49                 ,2.85     ,40.10     ,42.84     ,44.81      ,40.93     ,43.73      ,45.68                ,42.04     ,29.83                   ,34.32,42.76               ,-2.47                     ,-5.86          ,43.10     ,45.93      ,40.56     ,42.37     ,44.09      ,40.04     ,43.02                ,23.89         ,42.46,-0.89      ,-6.41          ,-4.83                     ,40.78     ,44.37      ,42.72     ,41.67                ,18.33                   ,41.01   ,38.81                  ,-3.04          ,-4.53                     ,-744.76   , 
