Symbol,% Chg(Open),Last Trade,P/E (ttm),Market Cap,Description              ,Industry                                    ,% Change,% Total Return (YTD3),Volume    ,% Vol Over Yesterday's Vol,% Vol Over 5 Day Avg Vol, 
CAL   ,-3.27      ,26.34     ,17.89    ,1.17B     ,CALERES INC              ,Specialty Retail                            ,-3.13   ,+0.08                ,258119    ,62.72                     ,66.73                   , 
KMX   ,-1.86      ,58.69     ,19.03    ,11.24B    ,CARMAX INC               ,Specialty Retail                            ,-2.28   ,+25.42               ,1944474   ,143.50                    ,97.54                   , 
BMY   ,-1.78      ,54.32     ,20.89    ,91.21B    ,BRISTOL-MYERS SQUIBB CO  ,Pharmaceuticals                             ,-1.89   ,+18.07               ,7840873   ,96.24                     ,97.72                   , 
ADTN  ,-1.66      ,20.70     ,29.24    ,1.02B     ,ADTRAN INC               ,Communications Equipment                    ,-1.66   ,-11.64               ,309917    ,128.69                    ,97.78                   , 
AKAM  ,-1.39      ,59.72     ,33.82    ,10.48B    ,AKAMAI TECHNOLOGIES INC  ,Internet Software & Services                ,-1.34   ,+6.80                ,2330076   ,38.83                     ,88.17                   , 
TLRD  ,-1.31      ,15.11     ,30.02    ,746.88M   ,TAILORED BRANDS INC      ,Specialty Retail                            ,-1.31   ,-68.19               ,427139    ,51.45                     ,42.18                   , 
MYL   ,-1.22      ,39.00     ,43.03    ,21.68B    ,MYLAN NV                 ,Pharmaceuticals                             ,-1.49   ,-18.03               ,4045643   ,55.17                     ,37.13                   , 
MNRO  ,-1.15      ,51.75     ,26.51    ,1.70B     ,MONRO MUFFLER BRAKE INC  ,Specialty Retail                            ,-1.05   ,-7.88                ,130138    ,50.82                     ,51.50                   , 
LKQ   ,-0.93      ,29.35     ,19.79    ,9.12B     ,LKQ CORP                 ,Distributors                                ,-0.86   ,+16.26               ,1789863   ,110.92                    ,66.73                   , 
BRO   ,-0.81      ,41.74     ,23.10    ,5.90B     ,BROWN & BROWN INC        ,Insurance                                   ,-0.74   ,+44.39               ,440968    ,77.92                     ,92.29                   , 
HII   ,-0.68      ,201.15    ,16.67    ,9.36B     ,HUNTINGTON INGALLS IND IN,Aerospace & Defense                         ,-0.65   ,+112.94              ,206017    ,68.51                     ,51.63                   , 
VZ    ,-0.64      ,48.78     ,15.28    ,200.00B   ,VERIZON COMMUNICATIONS IN,Diversified Telecommunication Services      ,-0.56   ,+20.99               ,11847864  ,101.93                    ,101.75                  , 
XLNX  ,-0.64      ,57.43     ,25.38    ,14.41B    ,XILINX INC               ,Semiconductors & Semiconductor Equipment    ,-0.78   ,+16.63               ,2927502   ,177.58                    ,163.33                  , 
XPER  ,-0.44      ,34.05     ,30.58    ,1.69B     ,XPERI CORPORATION        ,Semiconductors & Semiconductor Equipment    ,-0.58   ,+74.59               ,247614    ,50.85                     ,43.56                   , 
GRUB  ,-0.42      ,32.99     ,57.12    ,2.85B     ,GRUBHUB INC              ,Internet Software & Services                ,-0.39   ,0.00                 ,534959    ,33.85                     ,26.84                   , 
MTB   ,-0.39      ,155.28    ,20.14    ,24.09B    ,M & T BANK CORP          ,Banks                                       ,-0.86   ,+36.97               ,245999    ,32.53                     ,32.56                   , 
USB   ,-0.33      ,51.75     ,16.09    ,88.25B    ,U S BANCORP              ,Banks                                       ,-0.71   ,+30.22               ,4439123   ,47.47                     ,58.84                   , 
CME   ,-0.31      ,118.86    ,26.24    ,40.37B    ,CME GROUP INC            ,Capital Markets                             ,+0.01   ,+80.46               ,1027258   ,65.12                     ,72.44                   , 
FIS   ,-0.27      ,79.88     ,46.46    ,26.32B    ,FIDELITY NATIONAL INFO SV,IT Services                                 ,-0.21   ,+57.96               ,824777    ,56.54                     ,52.31                   , 
OGE   ,-0.27      ,35.02     ,20.81    ,7.02B     ,OGE ENERGY CORP          ,Electric Utilities                          ,-0.44   ,+9.40                ,526985    ,82.99                     ,40.48                   , 
SAIC  ,-0.24      ,75.04     ,24.77    ,3.29B     ,SCIENCE APPLICATIONS INTL,IT Services                                 ,+0.11   ,+146.94              ,547413    ,26.86                     ,88.19                   , 
NWL   ,-0.22      ,47.15     ,37.94    ,22.85B    ,NEWELL BRANDS INC        ,Household Durables                          ,-0.43   ,+68.61               ,1598189   ,75.55                     ,58.12                   , 
SJM   ,-0.18      ,131.27    ,22.85    ,15.28B    ,SMUCKER (JM) CO          ,Food Products                               ,+0.01   ,+48.02               ,324167    ,34.95                     ,23.42                   , 
PAYX  ,-0.17      ,59.00     ,27.50    ,21.24B    ,PAYCHEX INC              ,IT Services                                 ,-0.22   ,+60.75               ,1495647   ,52.04                     ,43.20                   , 
SCG   ,-0.17      ,65.44     ,15.76    ,9.37B     ,SCANA CORP               ,Multi-Utilities                             ,-0.17   ,+49.48               ,800165    ,68.18                     ,52.45                   , 
AAP   ,-0.11      ,148.11    ,23.98    ,10.97B    ,ADVANCE AUTO PARTS INC   ,Specialty Retail                            ,-0.38   ,+20.64               ,370104    ,52.81                     ,46.85                   , 
GWW   ,-0.07      ,232.97    ,23.69    ,13.73B    ,GRAINGER (W W) INC       ,Trading Companies & Distributors            ,-0.38   ,+1.13                ,427826    ,54.96                     ,61.00                   , 
AMGN  ,-0.04      ,164.25    ,16.05    ,121.06B   ,AMGEN INC                ,Biotechnology                               ,-0.08   ,+46.13               ,1506044   ,66.57                     ,36.25                   , 
AHL   ,0.00       ,52.15     ,20.00    ,3.13B     ,ASPEN INSURANCE HOLDINGS ,Insurance                                   ,-0.10   ,+39.71               ,122550    ,50.86                     ,39.87                   , 
EGOV  ,0.00       ,20.25     ,24.12    ,1.35B     ,NIC INC                  ,Internet Software & Services                ,0.00    ,+18.35               ,107728    ,31.78                     ,18.98                   , 
