Symbol,% Chg(Open),Last Trade,Change ,High ,Low  ,Volume    ,Prev Close,Open ,% Change,Market Cap,Sector                ,Exchange,P/E (ttm), 
JBLU  ,-4.17      ,19.30     ,-0.90  ,20.14,19.11,7911238   ,20.20     ,20.14,-4.46   ,6.81B     ,Industrials           ,NGM/NGS ,9.08     , 
RAD   ,-4.07      ,5.2475    ,-0.2025,5.49 ,5.20 ,22147878  ,5.45      ,5.47 ,-3.72   ,5.74B     ,Consumer Staples      ,NYSE    ,68.57    , 
RIG   ,-3.57      ,12.95     ,-0.58  ,13.44,12.76,11169694  ,13.53     ,13.43,-4.29   ,5.05B     ,Energy                ,NYSE    ,6.44     , 
AAL   ,-3.45      ,44.81     ,-2.01  ,46.68,44.38,8189320   ,46.82     ,46.41,-4.29   ,23.60B    ,Industrials           ,NASDAQ  ,9.73     , 
KSS   ,-3.21      ,39.25     ,-2.09  ,40.74,39.03,2777696   ,41.34     ,40.55,-5.06   ,7.30B     ,Consumer Discretionary,NYSE    ,13.29    , 
AEM   ,-3.03      ,39.73     ,-1.50  ,41.09,39.61,1578970   ,41.23     ,40.97,-3.64   ,9.27B     ,Materials             ,NYSE    ,58.90    , 
M     ,-3.01      ,30.38     ,-1.39  ,31.35,30.26,7247132   ,31.77     ,31.32,-4.38   ,9.66B     ,Consumer Discretionary,NYSE    ,15.96    , 
UAL   ,-2.85      ,72.72     ,-2.87  ,74.85,71.90,3659655   ,75.59     ,74.85,-3.80   ,23.78B    ,Industrials           ,NYSE    ,11.04    , 
ABEV  ,-2.52      ,5.41      ,-0.13  ,5.55 ,5.41 ,9687019   ,5.54      ,5.55 ,-2.35   ,86.59B    ,Consumer Staples      ,NYSE    ,26.51    , 
MYL   ,-2.49      ,44.18     ,-1.00  ,45.44,44.18,3099544   ,45.18     ,45.31,-2.21   ,23.91B    ,Health Care           ,NASDAQ  ,49.11    , 
UAA   ,-2.48      ,20.08     ,-0.51  ,20.62,19.99,3094538   ,20.59     ,20.59,-2.48   ,7.89B     ,Consumer Discretionary,NYSE    ,46.26    , 
MAS   ,-2.14      ,33.15     ,-0.92  ,33.96,33.14,4077422   ,34.06     ,33.87,-2.69   ,10.91B    ,Industrials           ,NYSE    ,23.17    , 
EW    ,-2.12      ,89.77     ,-2.67  ,92.10,89.23,3560029   ,92.44     ,91.71,-2.89   ,19.64B    ,Health Care           ,NYSE    ,35.42    , 
UA    ,-2.09      ,18.23     ,-0.41  ,18.65,18.20,2213900   ,18.64     ,18.62,-2.20   ,7.89B     ,Consumer Discretionary,NYSE    ,41.88    , 
ALK   ,-2.08      ,96.42     ,-2.52  ,98.81,95.53,1133545   ,98.94     ,98.47,-2.55   ,12.22B    ,Industrials           ,NYSE    ,15.13    , 
IP    ,-2.05      ,52.54     ,-1.46  ,53.88,52.13,2138368   ,54.00     ,53.64,-2.70   ,22.21B    ,Materials             ,NYSE    ,24.79    , 
TGT   ,-2.00      ,56.16     ,-1.20  ,57.35,56.01,7405652   ,57.35     ,57.30,-2.08   ,31.90B    ,Consumer Discretionary,NYSE    ,12.21    , 
LUV   ,-1.91      ,57.39     ,-1.47  ,58.60,57.16,4054983   ,58.86     ,58.51,-2.50   ,36.21B    ,Industrials           ,NYSE    ,16.59    , 
HCP   ,-1.84      ,31.46     ,-0.74  ,32.16,31.39,2148585   ,32.20     ,32.05,-2.30   ,15.08B    ,Real Estate           ,NYSE    ,24.06    , 
DAL   ,-1.76      ,48.63     ,-1.50  ,49.85,48.21,7361689   ,50.13     ,49.50,-2.99   ,36.63B    ,Industrials           ,NYSE    ,8.66     , 
