Symbol,% Chg(Open),Last Trade,Change,High  ,Low   ,Volume    ,Prev Close,Open  ,% Change,Market Cap,Sector                    ,Exchange,P/E (ttm),RSI 10 Day, 
HL    ,-5.34      ,4.96      ,-0.30 ,5.25  ,4.94  ,5489182   ,5.26      ,5.24  ,-5.70   ,2.08B     ,Materials                 ,NYSE    ,29.46    ,19.13     , 
RAD   ,-4.39      ,5.23      ,-0.22 ,5.49  ,5.20  ,22141182  ,5.45      ,5.47  ,-4.04   ,5.74B     ,Consumer Staples          ,NYSE    ,68.57    ,20.92     , 
PAAS  ,-3.23      ,16.19     ,-0.63 ,16.77 ,16.08 ,1411593   ,16.82     ,16.73 ,-3.75   ,2.55B     ,Materials                 ,NGM/NGS ,25.56    ,22.98     , 
AU    ,-2.97      ,10.12     ,-0.48 ,10.45 ,10.08 ,2376802   ,10.60     ,10.43 ,-4.53   ,4.25B     ,Materials                 ,NYSE    ,70.67    ,18.84     , 
AEM   ,-2.95      ,39.76     ,-1.47 ,41.09 ,39.61 ,1578369   ,41.23     ,40.97 ,-3.57   ,9.27B     ,Materials                 ,NYSE    ,58.90    ,19.68     , 
UAA   ,-2.48      ,20.08     ,-0.51 ,20.62 ,19.99 ,3085379   ,20.59     ,20.59 ,-2.48   ,7.89B     ,Consumer Discretionary    ,NYSE    ,46.26    ,24.72     , 
TGT   ,-2.03      ,56.14     ,-1.21 ,57.35 ,56.01 ,7390535   ,57.35     ,57.30 ,-2.12   ,31.90B    ,Consumer Discretionary    ,NYSE    ,12.21    ,20.77     , 
AFSI  ,-1.71      ,22.42     ,-0.61 ,22.97 ,22.32 ,666338    ,23.03     ,22.81 ,-2.65   ,3.93B     ,Financials                ,NASDAQ  ,9.68     ,21.37     , 
DRQ   ,-1.66      ,56.25     ,-1.30 ,57.34 ,55.93 ,392210    ,57.55     ,57.20 ,-2.26   ,2.18B     ,Energy                    ,NYSE    ,23.30    ,29.54     , 
TDS   ,-1.63      ,25.97     ,-0.41 ,26.40 ,25.55 ,850702    ,26.38     ,26.40 ,-1.55   ,2.72B     ,Telecommunication Services,NYSE    ,67.64    ,21.73     , 
COST  ,-1.62      ,166.66    ,-3.60 ,170.33,166.50,3853387   ,170.26    ,169.41,-2.12   ,74.79B    ,Consumer Staples          ,NGM/NGS ,31.07    ,29.78     , 
SEE   ,-1.46      ,45.27     ,-1.03 ,46.17 ,45.07 ,2236164   ,46.30     ,45.94 ,-2.22   ,8.96B     ,Materials                 ,NYSE    ,18.82    ,28.30     , 
UFS   ,-1.36      ,37.38     ,-0.62 ,37.97 ,37.29 ,328303    ,38.00     ,37.90 ,-1.62   ,2.38B     ,Materials                 ,NYSE    ,18.63    ,19.04     , 
LXP   ,-1.27      ,10.53     ,-0.14 ,10.67 ,10.51 ,788218    ,10.67     ,10.66 ,-1.36   ,2.56B     ,Real Estate               ,NYSE    ,28.84    ,29.38     , 
WRI   ,-1.19      ,33.91     ,-0.81 ,34.37 ,33.83 ,353767    ,34.72     ,34.32 ,-2.33   ,4.45B     ,Real Estate               ,NYSE    ,18.53    ,24.67     , 
GG    ,-1.19      ,14.89     ,-0.23 ,15.14 ,14.69 ,6208293   ,15.12     ,15.07 ,-1.52   ,12.89B    ,Materials                 ,NYSE    ,79.58    ,27.46     , 
CTL   ,-1.11      ,23.12     ,-0.36 ,23.42 ,22.96 ,5473671   ,23.48     ,23.38 ,-1.53   ,12.83B    ,Telecommunication Services,NYSE    ,20.24    ,18.74     , 
NAVI  ,-1.09      ,14.56     ,-0.34 ,14.85 ,14.36 ,1826423   ,14.90     ,14.72 ,-2.28   ,4.34B     ,Financials                ,NSC     ,7.03     ,23.31     , 
KIM   ,-0.92      ,23.10     ,-0.28 ,23.31 ,23.00 ,3164828   ,23.38     ,23.31 ,-1.22   ,9.95B     ,Real Estate               ,NYSE    ,29.59    ,23.43     , 
SBH   ,-0.88      ,21.39     ,-0.33 ,21.59 ,21.19 ,552817    ,21.72     ,21.58 ,-1.52   ,3.12B     ,Consumer Discretionary    ,NYSE    ,13.46    ,28.19     , 
