Symbol,% Chg(Open),Last Trade,Change,High ,Low  ,Volume    ,Prev Close,Open ,% Change,Market Cap,Sector                ,Exchange,P/E (ttm), 
GFI   ,-5.54      ,3.07      ,-0.17 ,3.25 ,3.05 ,5560329   ,3.24      ,3.25 ,-5.25   ,2.59B     ,Materials             ,NYSE    ,16.20    , 
HL    ,-5.44      ,4.955     ,-0.305,5.25 ,4.94 ,5516035   ,5.26      ,5.24 ,-5.80   ,2.08B     ,Materials             ,NYSE    ,29.46    , 
AKRX  ,-4.75      ,22.26     ,-1.85 ,23.90,22.13,2155224   ,24.11     ,23.37,-7.67   ,3.00B     ,Health Care           ,NASDAQ  ,16.40    , 
CAR   ,-4.61      ,32.48     ,-1.99 ,34.20,32.11,1805620   ,34.47     ,34.05,-5.77   ,2.96B     ,Industrials           ,NASDAQ  ,19.70    , 
RAD   ,-4.30      ,5.235     ,-0.215,5.49 ,5.20 ,22144778  ,5.45      ,5.47 ,-3.94   ,5.74B     ,Consumer Staples      ,NYSE    ,68.57    , 
JBLU  ,-4.12      ,19.31     ,-0.89 ,20.14,19.11,7908363   ,20.20     ,20.14,-4.40   ,6.81B     ,Industrials           ,NGM/NGS ,9.08     , 
TPX   ,-3.57      ,45.32     ,-2.22 ,47.00,45.04,1009328   ,47.54     ,47.00,-4.67   ,2.56B     ,Consumer Discretionary,NYSE    ,14.07    , 
RIG   ,-3.51      ,12.96     ,-0.57 ,13.44,12.76,11155915  ,13.53     ,13.43,-4.22   ,5.05B     ,Energy                ,NYSE    ,6.44     , 
AAL   ,-3.47      ,44.80     ,-2.02 ,46.68,44.38,8180200   ,46.82     ,46.41,-4.31   ,23.60B    ,Industrials           ,NASDAQ  ,9.73     , 
CXW   ,-3.28      ,33.07     ,-1.35 ,34.27,33.00,1066278   ,34.42     ,34.19,-3.92   ,4.05B     ,Real Estate           ,NYSE    ,18.41    , 
PAAS  ,-3.23      ,16.19     ,-0.63 ,16.77,16.08,1413294   ,16.82     ,16.73,-3.75   ,2.55B     ,Materials             ,NGM/NGS ,25.56    , 
KSS   ,-3.21      ,39.25     ,-2.09 ,40.74,39.03,2777671   ,41.34     ,40.55,-5.06   ,7.30B     ,Consumer Discretionary,NYSE    ,13.29    , 
M     ,-3.00      ,30.38     ,-1.39 ,31.35,30.26,7246282   ,31.77     ,31.32,-4.38   ,9.66B     ,Consumer Discretionary,NYSE    ,15.96    , 
AU    ,-2.97      ,10.12     ,-0.48 ,10.45,10.08,2379802   ,10.60     ,10.43,-4.53   ,4.25B     ,Materials             ,NYSE    ,70.67    , 
UAL   ,-2.83      ,72.73     ,-2.86 ,74.85,71.90,3657650   ,75.59     ,74.85,-3.78   ,23.78B    ,Industrials           ,NYSE    ,11.04    , 
AEM   ,-2.73      ,39.85     ,-1.38 ,41.09,39.61,1578708   ,41.23     ,40.97,-3.34   ,9.27B     ,Materials             ,NYSE    ,58.90    , 
ESV   ,-2.64      ,9.59      ,-0.32 ,9.86 ,9.44 ,5498919   ,9.91      ,9.85 ,-3.23   ,3.00B     ,Energy                ,NYSE    ,3.17     , 
UAA   ,-2.53      ,20.07     ,-0.52 ,20.62,19.99,3090482   ,20.59     ,20.59,-2.53   ,7.89B     ,Consumer Discretionary,NYSE    ,46.26    , 
ABEV  ,-2.52      ,5.41      ,-0.13 ,5.55 ,5.41 ,9685619   ,5.54      ,5.55 ,-2.35   ,86.59B    ,Consumer Staples      ,NYSE    ,26.51    , 
CIG   ,-2.38      ,3.485     ,-0.065,3.59 ,3.46 ,3128810   ,3.55      ,3.57 ,-1.83   ,4.80B     ,Utilities             ,NYSE    ,17.17    , 
