Symbol,% Chg(Open),Last Trade,Change,High  ,Low   ,Volume    ,Prev Close,Open  ,% Change,Market Cap,Sector                    ,Exchange,P/E (ttm), 
ZTO   ,-6.13      ,12.25     ,-0.71 ,13.12 ,12.14 ,2516472   ,12.96     ,13.05 ,-5.48   ,6.81B     ,Industrials               ,NYSE    ,29.55    , 
THO   ,-5.46      ,104.75    ,-10.67,111.00,102.55,3106975   ,115.42    ,110.80,-9.24   ,6.07B     ,Consumer Discretionary    ,NYSE    ,21.35    , 
TDG   ,-3.19      ,239.72    ,-7.47 ,248.34,233.75,1382343   ,247.19    ,247.61,-3.02   ,13.06B    ,Industrials               ,NYSE    ,28.89    , 
SIG   ,-3.09      ,62.68     ,-2.91 ,64.99 ,62.10 ,2045087   ,65.59     ,64.68 ,-4.44   ,5.11B     ,Consumer Discretionary    ,NYSE    ,9.82     , 
QVCA  ,-2.97      ,18.81     ,-0.40 ,19.38 ,18.72 ,1804644   ,19.21     ,19.38 ,-2.11   ,8.76B     ,Consumer Discretionary    ,NASDAQ  ,19.60    , 
MGM   ,-2.90      ,25.61     ,-0.94 ,26.41 ,25.33 ,15160888  ,26.55     ,26.37 ,-3.56   ,15.24B    ,Consumer Discretionary    ,NYSE    ,13.82    , 
UAA   ,-2.82      ,19.39     ,-0.66 ,20.00 ,19.26 ,5256533   ,20.05     ,19.95 ,-3.31   ,7.72B     ,Consumer Discretionary    ,NYSE    ,45.05    , 
RAD   ,-2.57      ,5.115     ,-0.115,5.28  ,5.07  ,13240277  ,5.23      ,5.25  ,-2.20   ,5.51B     ,Consumer Staples          ,NYSE    ,65.80    , 
CTL   ,-2.40      ,22.48     ,-0.62 ,23.09 ,22.47 ,7349892   ,23.10     ,23.03 ,-2.70   ,12.63B    ,Telecommunication Services,NYSE    ,19.91    , 
LB    ,-2.35      ,50.02     ,-1.42 ,51.73 ,50.00 ,2016799   ,51.44     ,51.22 ,-2.77   ,14.71B    ,Consumer Discretionary    ,NYSE    ,12.93    , 
HBAN  ,-2.27      ,14.23     ,-0.08 ,14.56 ,14.19 ,3923696   ,14.31     ,14.56 ,-0.56   ,15.54B    ,Financials                ,NGM/NGS ,20.44    , 
EXP   ,-2.16      ,102.12    ,-2.00 ,104.64,101.94,360355    ,104.12    ,104.37,-1.92   ,5.04B     ,Materials                 ,NYSE    ,25.19    , 
NUE   ,-2.08      ,61.47     ,-1.34 ,63.11 ,61.42 ,1406359   ,62.81     ,62.78 ,-2.13   ,20.03B    ,Materials                 ,NYSE    ,25.31    , 
BF/B  ,-2.07      ,47.25     ,-1.23 ,48.25 ,46.79 ,1476045   ,48.48     ,48.25 ,-2.54   ,18.78B    ,Consumer Staples          ,NYSE    ,18.35    , 
CSX   ,-2.07      ,48.67     ,-1.12 ,50.31 ,48.67 ,10941440  ,49.79     ,49.70 ,-2.25   ,46.13B    ,Industrials               ,NASDAQ  ,27.53    , 
STLD  ,-2.07      ,34.81     ,-0.84 ,35.91 ,34.80 ,2074820   ,35.65     ,35.54 ,-2.37   ,8.64B     ,Materials                 ,NGM/NGS ,22.86    , 
RS    ,-2.06      ,82.11     ,-1.71 ,83.84 ,82.11 ,214216    ,83.82     ,83.84 ,-2.04   ,6.11B     ,Materials                 ,NYSE    ,20.15    , 
MOS   ,-2.06      ,29.06     ,-0.59 ,29.71 ,28.96 ,5293895   ,29.65     ,29.67 ,-1.99   ,10.38B    ,Materials                 ,NYSE    ,34.89    , 
SGTPY ,-2.00      ,5.39      ,-0.13 ,5.50  ,5.3158,104965    ,5.52      ,5.50  ,-2.36   ,18.20B    ,Energy                    ,OTC     ,2.82     , 
HLF   ,-2.00      ,53.45     ,-1.25 ,54.70 ,53.20 ,1191032   ,54.70     ,54.54 ,-2.29   ,5.09B     ,Consumer Staples          ,NYSE    ,18.11    , 
