Symbol,% Chg(Open),Last Trade,Change,High  ,Low   ,Volume    ,Prev Close,Open  ,% Change,Market Cap,Sector                    ,Exchange,P/E (ttm), 
ZTO   ,-6.13      ,12.25     ,-0.71 ,13.12 ,12.14 ,2516572   ,12.96     ,13.05 ,-5.48   ,6.81B     ,Industrials               ,NYSE    ,29.55    , 
THO   ,-5.37      ,104.85    ,-10.57,111.00,102.55,3108243   ,115.42    ,110.80,-9.16   ,6.07B     ,Consumer Discretionary    ,NYSE    ,21.35    , 
SIG   ,-3.11      ,62.67     ,-2.92 ,64.99 ,62.10 ,2045487   ,65.59     ,64.68 ,-4.45   ,5.11B     ,Consumer Discretionary    ,NYSE    ,9.82     , 
TDG   ,-3.10      ,239.93    ,-7.26 ,248.34,233.75,1382887   ,247.19    ,247.61,-2.94   ,13.06B    ,Industrials               ,NYSE    ,28.89    , 
QVCA  ,-3.02      ,18.80     ,-0.42 ,19.38 ,18.72 ,1807983   ,19.21     ,19.38 ,-2.16   ,8.76B     ,Consumer Discretionary    ,NASDAQ  ,19.60    , 
MGM   ,-2.88      ,25.61     ,-0.94 ,26.41 ,25.33 ,15162488  ,26.55     ,26.37 ,-3.54   ,15.24B    ,Consumer Discretionary    ,NYSE    ,13.82    , 
UAA   ,-2.86      ,19.38     ,-0.67 ,20.00 ,19.26 ,5256637   ,20.05     ,19.95 ,-3.34   ,7.72B     ,Consumer Discretionary    ,NYSE    ,45.05    , 
RAD   ,-2.48      ,5.12      ,-0.11 ,5.28  ,5.07  ,13278377  ,5.23      ,5.25  ,-2.10   ,5.51B     ,Consumer Staples          ,NYSE    ,65.80    , 
CTL   ,-2.42      ,22.47     ,-0.63 ,23.09 ,22.47 ,7351784   ,23.10     ,23.03 ,-2.71   ,12.63B    ,Telecommunication Services,NYSE    ,19.91    , 
LB    ,-2.34      ,50.02     ,-1.42 ,51.73 ,50.00 ,2016915   ,51.44     ,51.22 ,-2.76   ,14.71B    ,Consumer Discretionary    ,NYSE    ,12.93    , 
HBAN  ,-2.27      ,14.23     ,-0.08 ,14.56 ,14.19 ,3929928   ,14.31     ,14.56 ,-0.56   ,15.54B    ,Financials                ,NGM/NGS ,20.44    , 
STLD  ,-2.08      ,34.80     ,-0.85 ,35.91 ,34.80 ,2076084   ,35.65     ,35.54 ,-2.38   ,8.64B     ,Materials                 ,NGM/NGS ,22.86    , 
BF/B  ,-2.07      ,47.25     ,-1.23 ,48.25 ,46.79 ,1476045   ,48.48     ,48.25 ,-2.54   ,18.78B    ,Consumer Staples          ,NYSE    ,18.35    , 
CSX   ,-2.05      ,48.68     ,-1.11 ,50.31 ,48.67 ,10948996  ,49.79     ,49.70 ,-2.23   ,46.13B    ,Industrials               ,NASDAQ  ,27.53    , 
SEE   ,-2.04      ,44.28     ,-1.01 ,45.25 ,44.28 ,1860111   ,45.29     ,45.20 ,-2.23   ,8.76B     ,Materials                 ,NYSE    ,18.41    , 
NUE   ,-1.96      ,61.55     ,-1.26 ,63.11 ,61.42 ,1408162   ,62.81     ,62.78 ,-2.00   ,20.03B    ,Materials                 ,NYSE    ,25.31    , 
MOS   ,-1.95      ,29.09     ,-0.56 ,29.71 ,28.96 ,5296629   ,29.65     ,29.67 ,-1.89   ,10.38B    ,Materials                 ,NYSE    ,34.89    , 
HLF   ,-1.95      ,53.48     ,-1.22 ,54.70 ,53.20 ,1195572   ,54.70     ,54.54 ,-2.24   ,5.09B     ,Consumer Staples          ,NYSE    ,18.11    , 
WRK   ,-1.94      ,50.95     ,-1.21 ,52.20 ,50.93 ,1128216   ,52.16     ,51.96 ,-2.32   ,13.06B    ,Materials                 ,NYSE    ,96.86    , 
BRX   ,-1.93      ,21.87     ,-0.43 ,22.34 ,21.86 ,1176654   ,22.30     ,22.30 ,-1.93   ,6.79B     ,Real Estate               ,NYSE    ,24.47    , 
