Symbol,Description              ,Last Trade,Volume    ,% Chg(Open),Exchange ,Dividend,Relative Strength, 
PRKR  ,PARKERVISION INC         ,2.79      ,16176131  ,-24.80     ,NCM      ,--      ,4.00             , 
EROS  ,EROS INTERNATIONAL PLC   ,9.35      ,1041182   ,-15.00     ,NYSE     ,--      ,6.00             , 
TELL  ,TELLURIAN INC            ,11.99     ,1944752   ,-13.39     ,NASDAQ   ,--      ,--               , 
UWTIF ,                         ,19.89     ,511115    ,-13.14     ,OTC      ,--      ,--               , 
UWT   ,                         ,20.20     ,13904238  ,-12.44     ,NYSE AMEX,--      ,--               , 
PQ    ,PETROQUEST ENERGY INC    ,3.20      ,533219    ,-12.33     ,NYSE     ,--      ,26.00            , 
CRC   ,CALIFORNIA RESOURCES CORP,15.20     ,4153077   ,-12.09     ,NYSE     ,--      ,28.00            , 
SRNE  ,SORRENTO THERAPEUTICS INC,4.20      ,514171    ,-11.58     ,NASDAQ   ,--      ,17.00            , 
DNR   ,DENBURY RESOURCES INC    ,2.38      ,11004806  ,-11.52     ,NYSE     ,--      ,2.00             , 
IDT   ,IDT CORP                 ,13.66     ,658077    ,-11.30     ,NYSE     ,0.76    ,9.00             , 
GUSH  ,DIREXION DLY S&P OIL&GAS ,64.38     ,797187    ,-10.58     ,NYSE     ,3.31    ,1.00             , 
HOV   ,HOVNANIAN ENTRPRS INC  -C,2.25      ,2746653   ,-10.00     ,NYSE     ,--      ,76.00            , 
REN   ,RESOLUTE ENERGY CORP     ,38.30     ,1992278   ,-9.88      ,NYSE     ,--      ,96.00            , 
BIOC  ,BIOCEPT INC              ,2.31      ,4848565   ,-9.41      ,NASDAQ   ,--      ,--               , 
SGY   ,                         ,18.25     ,588292    ,-9.34      ,NYSE     ,--      ,--               , 
UNT   ,UNIT CORP                ,22.72     ,618575    ,-9.23      ,NYSE     ,--      ,36.00            , 
PES   ,PIONEER ENERGY SERVICES C,4.594     ,1541644   ,-9.03      ,NYSE     ,--      ,14.00            , 
TGTX  ,TG THERAPEUTICS INC      ,9.92      ,3597804   ,-8.99      ,NASDAQ   ,--      ,17.00            , 
TRVN  ,TREVENA INC              ,3.58      ,2429397   ,-8.91      ,NASDAQ   ,--      ,4.00             , 
CLD   ,CLOUD PEAK ENERGY INC    ,4.00      ,2476833   ,-8.88      ,NYSE     ,--      ,2.00             , 
SM    ,SM ENERGY CO             ,22.43     ,3779200   ,-8.78      ,NYSE     ,0.10    ,1.00             , 
WLL   ,WHITING PETROLEUM CORP   ,9.357     ,24200550  ,-8.62      ,NYSE     ,--      ,7.00             , 
BAS   ,BASIC ENERGY SERVICES INC,32.84     ,1047754   ,-8.57      ,NYSE     ,--      ,--               , 
UCO   ,PROSHARES ULTRA BLOOMB CR,19.21     ,18220511  ,-8.02      ,NYSE     ,--      ,15.00            , 
SLCA  ,U S SILICA HOLDINGS INC  ,48.03     ,2857194   ,-7.95      ,NYSE     ,0.25    ,31.00            , 
ZSAN  ,ZOSANO PHARMA CORP       ,2.25      ,605191    ,-7.79      ,NASDAQ   ,--      ,--               , 
FMSA  ,FAIRMOUNT SANTROL HOLDING,8.60      ,6235414   ,-7.63      ,NYSE     ,--      ,71.00            , 
MRO   ,MARATHON OIL CORP        ,14.90     ,20146952  ,-7.57      ,NYSE     ,0.20    ,8.00             , 
